{' b': -9.0694, ' A': -5.038006, ' B': -0.0068035806, ' "': -9.309352, " '": -10.436121}
{' b': -9.221855, ' A': -5.7216053, 'B': -10.629875, ' B': -0.0035063312, ' "': -9.713204}
{' b': -9.001621, ' A': -5.418542, 'B': -10.543638, ' B': -0.0047124373, ' "': -9.597533}
{' b': -9.12111, ' A': -5.3397813, 'B': -10.585202, ' B': -0.0050554085, ' "': -9.707513}
{' b': -9.508652, ' A': -6.1820717, ' B': -0.0022758078, ' "': -9.665185, " '": -10.633646}
{' b': -9.317802, ' A': -5.5424767, 'B': -10.682112, ' B': -0.0041336226, ' "': -9.812876}
{' b': -9.223024, ' A': -5.2617493, 'B': -10.626083, ' B': -0.0054361895, ' "': -9.654358}
{' b': -9.159348, ' A': -5.515258, 'B': -10.595896, ' B': -0.004276978, ' "': -9.649193}
{' b': -9.163958, ' A': -5.098801, 'B': -10.579321, ' B': -0.0063693086, ' "': -9.655083}
{' b': -9.300149, ' A': -5.1942263, ' B': -0.005805186, ' "': -9.538316, " '": -10.497719}
{' B': -0.00405438, ' A': -5.579428, ' b': -9.018141, ' "': -9.61515, 'B': -10.507743}
{' B': -0.002307351, ' A': -6.1813197, ' b': -9.251286, ' "': -9.591271, " '": -10.592577}
{' B': -0.0029566076, ' A': -5.905245, ' b': -9.311833, ' "': -9.620733, " '": -10.609139}
{' B': -0.0021022737, ' A': -6.271979, ' b': -9.409479, ' "': -9.674623, " '": -10.677749}
{' b': -9.30027, ' A': -6.0841947, ' B': -0.002534339, ' "': -9.381812, " '": -10.3962965}
{' B': -0.0013916171, ' A': -6.756625, ' b': -9.304216, ' "': -9.639556, " '": -10.634505}
{' b': -9.200705, ' A': -6.637411, ' B': -0.0015602494, ' "': -9.494365, " '": -10.519483}
{' b': -9.253232, ' A': -7.1167765, ' B': -0.0010578377, ' "': -9.495358, " '": -10.463445}
{' b': -9.163002, ' A': -6.543371, ' B': -0.0016844291, ' "': -9.601886, " '": -10.600456}
{' b': -9.212618, ' A': -6.6041455, ' B': -0.0015913515, ' "': -9.595931, " '": -10.5742035}
{' B': -0.0010834384, ' A': -7.102712, ' b': -9.104767, ' "': -9.510121, " '": -10.512661}
{' b': -9.2038765, ' A': -6.9456425, ' B': -0.0012000377, ' "': -9.585908, " '": -10.618491}
{' B': -0.0011571911, ' A': -6.977547, ' b': -9.2888365, ' "': -9.630456, " '": -10.635004}
{' b': -9.466872, ' A': -7.9838576, ' B': -0.00056772784, ' "': -9.405541, " '": -10.4694}
{' B': -0.0015707565, ' A': -6.60604, ' b': -9.479851, ' "': -9.511338, " '": -10.529655}
{' B': -0.0034787564, ' A': -5.754457, ' b': -8.959916, ' "': -9.344143, 'B': -10.522832}
{' b': -8.907873, ' A': -5.9210086, 'B': -10.522199, ' B': -0.002986678, ' "': -9.519496}
{' b': -8.941432, ' A': -5.958549, 'B': -10.561872, ' B': -0.0028604832, ' "': -9.643003}
{' b': -8.955163, ' A': -5.1645327, 'B': -10.474503, ' B': -0.0060112597, ' "': -9.68608}
{' b': -9.033171, ' A': -5.7915163, 'B': -10.548026, ' B': -0.0033157796, ' "': -9.701452}
{' b': -9.003389, ' A': -5.169157, 'B': -10.514211, ' B': -0.0060084416, ' "': -9.380875}
{' b': -8.970485, ' A': -5.5252686, 'B': -10.481101, ' B': -0.004268957, ' "': -9.638984}
{' b': -8.942722, ' A': -5.3252544, 'B': -10.496412, ' B': -0.005131194, ' "': -9.920351}
{' b': -8.996436, ' A': -5.2536125, 'B': -10.512573, ' B': -0.005491388, ' "': -9.841777}
{' b': -8.959451, ' A': -5.534133, 'B': -10.508285, ' B': -0.004225858, ' "': -9.690623}
{' b': -9.032809, ' A': -5.007061, 'B': -10.588695, ' B': -0.0069790087, ' "': -9.632202}
{' b': -8.943316, ' A': -5.9726944, 'B': -10.538004, ' B': -0.002825036, ' "': -9.671575}
{' b': -9.03064, ' A': -6.214354, 'B': -10.578446, ' B': -0.0022568104, ' "': -9.702964}
{' b': -8.974631, ' A': -5.587214, 'B': -10.526269, ' B': -0.0040041697, ' "': -9.882231}
{' B': -0.0036591094, ' A': -5.683428, ' b': -9.080302, ' "': -9.709372, 'B': -10.635864}
{' b': -9.171243, ' A': -6.3146095, 'B': -10.68173, ' B': -0.002037768, ' "': -9.808598}
{' b': -9.079644, ' A': -5.528312, 'B': -10.594712, ' B': -0.0042129885, ' "': -9.883245}
{' b': -8.981241, ' A': -5.476338, 'B': -10.56628, ' B': -0.004452204, ' "': -9.804062}
{' b': -8.931818, ' A': -5.593588, 'B': -10.533249, ' B': -0.0039984835, ' "': -9.752551}
{' B': -0.006198367, ' A': -5.131246, ' b': -8.925373, ' "': -9.751963, 'B': -10.515921}
{' b': -8.8899555, ' A': -5.2514954, ' B': -0.005556477, ' "': -9.449859, " '": -10.614069}
{' b': -8.890652, ' A': -5.893843, 'B': -10.53058, ' B': -0.0030507671, ' "': -9.586449}
{' B': -0.0014322061, ' A': -6.763852, ' b': -8.957405, ' "': -9.552748, 'B': -10.618718}
{' b': -8.951189, ' A': -6.018607, 'B': -10.583857, ' B': -0.002718048, ' "': -9.532911}
{' b': -9.099524, ' A': -6.811049, 'B': -10.669448, ' B': -0.0013546699, ' "': -9.60492}
{' b': -8.872037, ' A': -5.9597797, ' B': -0.002910637, ' "': -9.249066, " '": -10.4383545}
{' b': -9.00397, ' A': -6.6679826, 'B': -10.613296, ' B': -0.0015382211, ' "': -9.621815}
{' b': -8.923686, ' A': -6.7631536, 'B': -10.642829, ' B': -0.0014426524, ' "': -9.497394}
{' B': -0.0012465853, ' A': -6.9262967, ' b': -9.011103, ' "': -9.593682, 'B': -10.649782}
{' b': -8.975456, ' A': -6.765959, 'B': -10.628318, ' B': -0.0014134023, ' "': -9.695534}
{' b': -8.9157505, ' A': -6.689013, ' B': -0.0015268202, ' "': -9.513999, " '": -10.692764}
{' b': -8.948819, ' A': -7.3296704, 'B': -10.644038, ' B': -0.0009182857, ' "': -9.671906}
{' b': -9.030558, ' A': -7.0182657, 'B': -10.692483, ' B': -0.0011266972, ' "': -9.881254}
{' b': -9.067003, ' A': -7.385511, 'B': -10.705724, ' B': -0.0008696636, ' "': -9.616755}
{' b': -9.25765, ' A': -7.4743733, 'B': -10.809405, ' B': -0.0007788107, ' "': -9.726442}
{' b': -9.157802, ' A': -6.1524706, 'B': -10.772484, ' B': -0.0023457662, ' "': -9.845407}
{' b': -9.048289, ' A': -5.600323, ' B': -0.0040081195, ' "': -9.294764, " '": -10.452507}
{' b': -9.073914, ' A': -5.0441103, 'B': -10.446496, ' B': -0.0067456705, ' "': -9.548901}
{' B': -0.0046802782, ' A': -5.4303546, ' b': -8.922435, ' "': -9.5824175, 'B': -10.434869}
{' b': -9.0004225, ' A': -4.6609263, 'B': -10.384856, ' B': -0.009782643, ' "': -9.631019}
{' b': -9.185293, ' A': -5.364931, 'B': -10.458179, ' B': -0.0049402146, ' "': -9.612631}
{' b': -9.074182, ' A': -4.9464307, 'B': -10.441347, ' B': -0.0074314354, ' "': -9.372886}
{' b': -9.049653, ' A': -5.3139873, 'B': -10.437388, ' B': -0.005204827, ' "': -9.625089}
{' b': -8.990744, ' A': -4.9778476, 'B': -10.459567, ' B': -0.0071809427, ' "': -9.727134}
{' B': -0.006663583, ' A': -5.0537996, ' b': -9.070207, ' "': -9.71578, 'B': -10.448004}
{' b': -9.05397, ' A': -5.3951955, 'B': -10.468892, ' B': -0.0048112576, ' "': -9.652385}
{' b': -9.147966, ' A': -4.767301, 'B': -10.503524, ' B': -0.00880779, ' "': -9.529471}
{' B': -0.003979153, ' A': -5.596998, ' b': -9.097259, ' "': -9.596358, 'B': -10.518108}
{' b': -9.11952, ' A': -5.6824565, 'B': -10.535713, ' B': -0.0036638353, ' "': -9.622016}
{' B': -0.00585309, ' A': -5.1893034, ' b': -9.077794, ' "': -9.694443, 'B': -10.472708}
{' b': -9.23073, ' A': -5.4262676, 'B': -10.591721, ' B': -0.0046522534, ' "': -9.653096}
{' b': -9.127743, ' A': -6.0757313, ' B': -0.0025777826, ' "': -9.4408045, " '": -10.534418}
{' b': -9.209531, ' A': -5.422851, 'B': -10.581163, ' B': -0.0046538096, ' "': -9.757067}
{' b': -9.107884, ' A': -5.129179, 'B': -10.524991, ' B': -0.0061874515, ' "': -9.773365}
{' b': -9.055468, ' A': -5.453011, 'B': -10.527662, ' B': -0.004555429, ' "': -9.680364}
{' B': -0.006938614, ' A': -5.012443, ' b': -9.031643, ' "': -9.732591, 'B': -10.491254}
{' b': -9.057585, ' A': -5.3805985, ' B': -0.0049081673, ' "': -9.348836, " '": -10.502124}
{' B': -0.0040291245, ' A': -5.586142, ' b': -9.020928, ' "': -9.624714, 'B': -10.487186}
{' B': -0.0020436214, ' A': -6.325596, ' b': -9.148716, ' "': -9.575899, 'B': -10.588373}
{' B': -0.003030799, ' A': -5.8954864, ' b': -9.046021, ' "': -9.470991, 'B': -10.529241}
{' b': -9.275042, ' A': -6.588316, 'B': -10.616759, ' B': -0.0016101575, ' "': -9.619783}
{' b': -8.9183235, ' A': -5.821694, ' B': -0.0032952083, ' "': -9.245056, " '": -10.369718}
{' b': -9.182699, ' A': -6.524393, 'B': -10.577187, ' B': -0.0017152355, ' "': -9.616421}
{' b': -9.093621, ' A': -6.3975306, 'B': -10.593794, ' B': -0.0019319399, ' "': -9.51694}
{' b': -9.14518, ' A': -6.6637797, 'B': -10.610104, ' B': -0.001533265, ' "': -9.548119}
{' b': -9.073757, ' A': -6.1655498, 'B': -10.567945, ' B': -0.002355863, ' "': -9.681078}
{' b': -9.004286, ' A': -6.510827, ' B': -0.0017807974, ' "': -9.356366, " '": -10.46033}
{' B': -0.0014271928, ' A': -6.777369, ' b': -8.937244, ' "': -9.5088415, 'B': -10.548298}
{' b': -9.042743, ' A': -6.6467543, 'B': -10.635446, ' B': -0.0015650262, ' "': -9.550052}
{' b': -9.089717, ' A': -6.598279, 'B': -10.636144, ' B': -0.0016283673, ' "': -9.510769}
{' B': -0.0013103854, ' A': -6.8580074, ' b': -9.138996, ' "': -9.457172, " '": -10.644262}
{' b': -9.188069, ' A': -6.8088555, ' B': -0.0013699502, ' "': -9.39007, " '": -10.56023}
{' b': -9.351241, ' A': -5.519192, ' B': -0.0042636893, ' "': -9.447151, " '": -10.507441}
{' b': -9.145555, ' A': -4.822166, 'B': -10.534168, ' B': -0.008353957, ' "': -9.47236}
{' b': -9.153081, ' A': -5.2007604, 'B': -10.5678005, ' B': -0.005781506, ' "': -9.533455}
{' b': -9.206618, ' A': -4.8511925, 'B': -10.533717, ' B': -0.008104377, ' "': -9.539311}
{' B': -0.0069451565, ' A': -5.009512, ' b': -9.232148, ' "': -9.53043, 'B': -10.537819}
{' b': -9.518844, ' A': -5.0946746, ' B': -0.006381728, ' "': -9.521368, " '": -10.501372}
{' b': -9.314327, ' A': -5.1619473, 'B': -10.491261, ' B': -0.005975824, ' "': -9.746667}
{' b': -9.078684, ' A': -5.0759263, 'B': -10.516424, ' B': -0.0065336856, ' "': -9.547798}
{' b': -9.356166, ' A': -4.9784045, 'B': -10.541935, ' B': -0.0071215094, ' "': -9.857622}
{' b': -9.192188, ' A': -4.9945116, 'B': -10.52268, ' B': -0.0070491764, ' "': -9.583888}
{' b': -9.458346, ' A': -4.711474, ' B': -0.009252925, ' "': -9.626817, " '": -10.6376505}
{' b': -9.326258, ' A': -5.266695, 'B': -10.577605, ' B': -0.005407244, ' "': -9.638726}
{' b': -9.250044, ' A': -5.513592, ' B': -0.0042937384, ' "': -9.438997, " '": -10.584731}
{' b': -9.329701, ' A': -5.260791, 'B': -10.576235, ' B': -0.0054411646, ' "': -9.597099}
{' b': -9.453547, ' A': -5.1785617, ' B': -0.005872756, ' "': -9.658051, " '": -10.6231165}
{' b': -9.552428, ' A': -6.006965, ' B': -0.0026817098, ' "': -9.587094, " '": -10.582103}
{' b': -9.458695, ' A': -5.369744, 'B': -10.632592, ' B': -0.0048795966, ' "': -9.661769}
{' b': -9.427201, ' A': -5.0576677, 'B': -10.634135, ' B': -0.0065894835, ' "': -9.770888}
{' b': -9.246271, ' A': -5.172762, 'B': -10.63818, ' B': -0.005901651, ' "': -9.898304}
{' B': -0.0076652328, ' A': -4.9044166, ' b': -9.348078, ' "': -9.696737, 'B': -10.584699}
{' B': -0.007890241, ' A': -4.875335, ' b': -9.390715, ' "': -9.561088, " '": -10.656005}
{' b': -9.292214, ' A': -5.4113784, 'B': -10.593004, ' B': -0.0047069886, ' "': -9.661884}
{' b': -9.369906, ' A': -6.1009684, ' B': -0.0024638278, ' "': -9.606813, " '": -10.685935}
{' b': -9.382168, ' A': -5.636398, 'B': -10.646152, ' B': -0.0037918645, ' "': -9.63934}
{' b': -9.500638, ' A': -6.3484073, 'B': -10.693656, ' B': -0.0019551057, ' "': -9.668913}
{' B': -0.003263036, ' A': -5.8144045, ' b': -9.2723465, ' "': -9.295598, " '": -10.342757}
{' b': -9.353512, ' A': -6.259434, 'B': -10.630946, ' B': -0.0021427118, ' "': -9.58915}
{' b': -9.400909, ' A': -6.573082, ' B': -0.0016280097, ' "': -9.512534, " '": -10.541493}
{' b': -9.288822, ' A': -6.493898, 'B': -10.756051, ' B': -0.0017241341, ' "': -9.79661}
{' b': -9.32507, ' A': -6.280058, ' B': -0.002098094, ' "': -9.63683, " '": -10.658488}
{' b': -9.326038, ' A': -6.211005, ' B': -0.002238589, ' "': -9.576152, " '": -10.594859}
{' b': -9.208751, ' A': -6.5461173, ' B': -0.0016841898, ' "': -9.547174, " '": -10.577905}
{' b': -9.301581, ' A': -6.430425, 'B': -10.710544, ' B': -0.0018324514, ' "': -9.661347}
{' B': -0.0019565409, ' A': -6.3561068, ' b': -9.373604, ' "': -9.601388, " '": -10.705782}
{' b': -9.493281, ' A': -7.264019, ' B': -0.0009157814, ' "': -9.538038, " '": -10.592709}
{' b': -9.417059, ' A': -7.13316, ' B': -0.0010345085, ' "': -9.448561, " '": -10.492425}
{' b': -9.368124, ' A': -5.4727974, ' B': -0.0044728606, ' "': -9.322658, " '": -10.268778}
{' b': -9.08724, ' A': -5.0208745, ' B': -0.0069148475, ' "': -9.324734, " '": -10.414272}
{' b': -8.976577, ' A': -4.901499, ' B': -0.0077688475, ' "': -9.321902, " '": -10.502689}
{' b': -9.069899, ' A': -4.6398563, 'B': -10.567291, ' B': -0.009990862, ' "': -9.402357}
{' b': -9.262628, ' A': -5.166661, ' B': -0.005972166, ' "': -9.44026, " '": -10.614124}
{' b': -9.348866, ' A': -5.0302944, ' B': -0.006851412, ' "': -9.084858, " '": -10.211649}
{' b': -9.1533375, ' A': -4.889954, 'B': -10.51391, ' B': -0.007820808, ' "': -9.492927}
{' b': -9.0003395, ' A': -4.920667, ' B': -0.007621328, ' "': -9.324723, " '": -10.528699}
{' b': -9.296868, ' A': -4.4903316, 'B': -10.561937, ' B': -0.011518365, ' "': -9.635143}
{' b': -8.996391, ' A': -4.8257604, 'B': -10.526069, ' B': -0.008352875, ' "': -9.351806}
{' b': -9.400499, ' A': -5.044089, ' B': -0.0066955653, ' "': -9.556765, " '": -10.564905}
{' B': -0.008405227, ' A': -4.814708, ' b': -9.186953, ' "': -9.476396, " '": -10.554627}
{' B': -0.005793077, ' A': -5.1982713, ' b': -9.302956, ' "': -9.42877, " '": -10.499472}
{' b': -9.151068, ' A': -4.8325143, ' B': -0.008263267, ' "': -9.479468, " '": -10.567463}
{' b': -9.169421, ' A': -4.954322, ' B': -0.0073483926, ' "': -9.394731, " '": -10.561829}
{' b': -9.516174, ' A': -5.727716, ' B': -0.0034924543, ' "': -9.423633, " '": -10.383765}
{' b': -9.352739, ' A': -5.0205207, ' B': -0.006856813, ' "': -9.547223, " '": -10.636661}
{' B': -0.009805577, ' A': -4.656183, ' b': -9.235018, ' "': -9.483521, " '": -10.550981}
{' b': -9.330418, ' A': -5.0424123, 'B': -10.612801, ' B': -0.0067070266, ' "': -9.646638}
{' b': -9.14185, ' A': -4.4523687, ' B': -0.011994569, ' "': -9.419742, " '": -10.524063}
{' b': -9.400892, ' A': -4.792056, ' B': -0.00857643, ' "': -9.424927, " '": -10.380773}
{' b': -9.174183, ' A': -5.0666513, ' B': -0.006592903, ' "': -9.426353, " '": -10.484777}
{' B': -0.00427626, ' A': -5.5190883, ' b': -9.223647, ' "': -9.405592, " '": -10.514519}
{' b': -9.31452, ' A': -5.2591815, ' B': -0.005462498, ' "': -9.407843, " '": -10.535831}
{' B': -0.0025400752, ' A': -6.070777, ' b': -9.429982, ' "': -9.495756, " '": -10.57348}
{' b': -9.328199, ' A': -5.720487, ' B': -0.0035668043, ' "': -9.159238, " '": -10.179496}
{' b': -9.302542, ' A': -6.0246143, ' B': -0.002677885, ' "': -9.36693, " '": -10.459945}
{' b': -9.273318, ' A': -6.3385625, ' B': -0.0020415902, ' "': -9.273613, " '": -10.284819}
{' b': -9.253787, ' A': -5.883081, ' B': -0.003055372, ' "': -9.321495, " '": -10.388478}
{' b': -9.218169, ' A': -5.8432484, ' B': -0.0031736384, ' "': -9.357615, " '": -10.360235}
{' b': -9.338068, ' A': -6.172405, ' B': -0.0023497685, ' "': -9.278197, " '": -10.283929}
{' b': -9.226224, ' A': -6.429078, ' B': -0.0018916896, ' "': -9.285244, " '": -10.29288}
{' b': -9.141623, ' A': -5.9737964, ' B': -0.0028206722, ' "': -9.298281, " '": -10.518437}
{' b': -9.338897, ' A': -6.0343637, ' B': -0.0026280398, ' "': -9.503472, " '": -10.611541}
{' b': -9.484589, ' A': -6.989282, ' B': -0.0011594589, ' "': -9.338681, " '": -10.361815}
{' b': -9.550158, ' A': -6.7683697, ' B': -0.0013870825, ' "': -9.31763, " '": -10.32441}
{' b': -9.558364, ' A': -6.2662687, 'B': -10.472647, ' B': -0.0020684693, ' "': -10.168704}
{' B': -0.002673583, ' A': -5.9904532, ' b': -9.477153, ' "': -10.221964, 'B': -10.509215}
{' b': -9.360474, ' A': -5.946785, 'B': -10.490648, ' B': -0.0027869025, ' "': -10.392106}
{' b': -9.365615, ' A': -5.179347, 'B': -10.431926, ' B': -0.0058201132, ' "': -10.403596}
{' b': -9.398753, ' A': -5.64674, 'B': -10.45888, ' B': -0.0037097803, ' "': -10.235285}
{' b': -9.528196, ' A': -5.461933, 'B': -10.422313, ' B': -0.004423348, ' "': -10.197521}
{' B': -0.0037125335, ' A': -5.641206, ' b': -9.507079, ' "': -10.449155, 'B': -10.454762}
{' b': -9.497452, ' A': -5.9959345, 'B': -10.493179, ' B': -0.0026412494, ' "': -10.584141}
{' b': -9.495433, ' A': -5.679361, 'B': -10.468559, ' B': -0.0035716507, ' "': -10.624811}
{' b': -9.368361, ' A': -5.84284, 'B': -10.443103, ' B': -0.0030784488, ' "': -10.321018}
{' b': -9.507722, ' A': -5.56107, 'B': -10.49841, ' B': -0.0040118904, ' "': -10.32225}
{' B': -0.0019668736, ' A': -6.311817, ' b': -9.487335, 'B': -10.5064125, ' "': -10.5469675}
{' b': -9.523815, ' A': -6.7259846, 'B': -10.541377, ' B': -0.0013549093, ' "': -10.340335}
{' b': -9.5032425, ' A': -6.1173496, 'B': -10.50708, ' B': -0.0023577753, ' "': -10.51428}
{' b': -9.38637, ' A': -5.789295, 'B': -10.499686, ' B': -0.0032428212, ' "': -10.229841}
{' b': -9.513841, ' A': -6.428029, 'B': -10.558057, ' B': -0.0017864106, ' "': -10.094785}
{' B': -0.002152809, ' A': -6.2053957, ' b': -9.681484, ' "': -10.591343, 'B': -10.613156}
{' b': -9.562924, ' A': -5.6971874, 'B': -10.55506, ' B': -0.003504178, ' "': -10.602942}
{' b': -9.564184, ' A': -6.210558, 'B': -10.565229, ' B': -0.002150298, ' "': -10.630762}
{' B': -0.0029624654, ' A': -5.8729744, ' b': -9.5420685, 'B': -10.537411, ' "': -10.587491}
{' b': -9.422177, ' A': -5.864625, 'B': -10.558483, ' B': -0.00301645, ' "': -10.133144}
{' b': -9.328501, ' A': -6.290858, 'B': -10.52118, ' B': -0.002030422, ' "': -10.272438}
{' b': -9.49011, ' A': -7.074174, 'B': -10.595346, ' B': -0.0009947699, ' "': -10.510534}
{' b': -9.554956, ' A': -6.834757, 'B': -10.606894, ' B': -0.0012233678, ' "': -10.393755}
{' B': -0.00074665993, ' A': -7.393847, ' b': -9.706529, ' "': -10.527684, 'B': -10.65234}
{' b': -9.375731, ' A': -6.3219185, 'B': -10.57375, ' B': -0.0019902263, ' "': -9.937181}
{' b': -9.571347, ' A': -7.176364, 'B': -10.597828, ' B': -0.00091136596, ' "': -10.423204}
{' b': -9.486528, ' A': -7.1321487, 'B': -10.613795, ' B': -0.0009503228, ' "': -10.436473}
{' b': -9.572713, ' A': -7.198933, 'B': -10.628837, ' B': -0.0008882761, ' "': -10.526402}
{' b': -9.4984255, ' A': -7.0957155, 'B': -10.591544, ' B': -0.0009798546, ' "': -10.472637}
{' b': -9.446478, ' A': -7.106547, 'B': -10.61077, ' B': -0.000990237, ' "': -10.135504}
{' b': -9.344794, ' A': -7.3888493, 'B': -10.547307, ' B': -0.000793249, ' "': -10.250447}
{' b': -9.203731, ' A': -7.2571836, 'B': -10.56241, ' B': -0.0009009244, ' "': -10.056374}
{' b': -9.447125, ' A': -7.2762866, 'B': -10.607573, ' B': -0.00085027673, ' "': -10.327753}
{' b': -9.548639, ' A': -7.5783734, 'B': -10.6625595, ' B': -0.00067770766, ' "': -10.02065}
{' b': -9.555224, ' A': -7.564849, 'B': -10.659827, ' B': -0.000685521, ' "': -10.020311}
{' b': -9.522536, ' A': -6.5338655, 'B': -10.712807, ' B': -0.0016431134, ' "': -9.865721}
{' b': -9.397008, ' A': -5.555364, 'B': -10.651504, ' B': -0.004066531, ' "': -10.060646}
{' b': -9.3914795, ' A': -5.7526584, 'B': -10.652576, ' B': -0.003363982, ' "': -10.14678}
{' b': -9.463428, ' A': -5.1416492, 'B': -10.630806, ' B': -0.0060428027, ' "': -10.174973}
{' b': -9.476085, ' A': -5.6722646, 'B': -10.609252, ' B': -0.0036250101, ' "': -10.114694}
{' B': -0.0019560622, ' A': -6.3385916, ' b': -9.638075, ' "': -9.781854, 'B': -10.652459}
{' b': -9.301997, ' A': -5.7010546, 'B': -10.61834, ' B': -0.0035437155, ' "': -10.153868}
{' b': -9.418366, ' A': -5.3986473, 'B': -10.657383, ' B': -0.0047111195, ' "': -10.198056}
{' b': -9.382463, ' A': -5.543835, 'B': -10.614489, ' B': -0.0040996266, ' "': -10.232895}
{' b': -9.4026375, ' A': -5.520358, 'B': -10.634753, ' B': -0.0041897623, ' "': -10.241642}
{' B': -0.003295686, ' A': -5.773359, ' b': -9.599637, ' "': -9.904355, 'B': -10.684327}
{' b': -9.4403925, ' A': -5.913761, 'B': -10.658302, ' B': -0.0028833167, ' "': -10.15482}
{' B': -0.0020574185, ' A': -6.2776155, ' b': -9.481, ' "': -10.065508, 'B': -10.695358}
{' b': -9.431377, ' A': -5.707994, 'B': -10.654524, ' B': -0.0035054928, ' "': -10.128571}
{' b': -9.714298, ' A': -6.169112, 'B': -10.784681, ' B': -0.002247728, ' "': -10.224398}
{' b': -9.795811, ' A': -6.826827, 'B': -10.796498, ' B': -0.0012447953, ' "': -9.989679}
{' b': -9.730666, ' A': -5.7344007, 'B': -10.780886, ' B': -0.0033851543, ' "': -10.277334}
{' B': -0.0034509432, ' A': -5.7179666, ' b': -9.620494, ' "': -10.196916, 'B': -10.750543}
{' b': -9.512875, ' A': -5.8890224, 'B': -10.71429, ' B': -0.002942736, ' "': -10.170414}
{' b': -9.484581, ' A': -5.5036397, 'B': -10.675464, ' B': -0.0042563267, ' "': -10.11859}
{' b': -9.522097, ' A': -5.797451, 'B': -10.752292, ' B': -0.0032234485, ' "': -9.91726}
{' b': -9.335641, ' A': -5.705545, 'B': -10.672372, ' B': -0.0035173958, ' "': -10.186521}
{' b': -9.60481, ' A': -6.6882977, 'B': -10.740772, ' B': -0.0014062395, ' "': -10.14675}
{' b': -9.633614, ' A': -6.2746577, 'B': -10.733849, ' B': -0.0020468447, ' "': -10.095484}
{' b': -9.623651, ' A': -7.0580134, 'B': -10.786288, ' B': -0.0010279454, ' "': -10.001114}
{' b': -9.679622, ' A': -6.373937, ' B': -0.0018825519, ' "': -9.847756, " '": -10.772453}
{' b': -9.647459, ' A': -7.1923227, 'B': -10.786365, ' B': -0.0009093366, ' "': -10.164073}
{' b': -9.602825, ' A': -6.8734617, 'B': -10.789368, ' B': -0.0011955021, ' "': -10.139461}
{' b': -9.566639, ' A': -7.221422, 'B': -10.794406, ' B': -0.0009027144, ' "': -10.01072}
{' b': -9.524048, ' A': -6.906721, 'B': -10.762572, ' B': -0.0011715721, ' "': -10.087027}
{' b': -9.535831, ' A': -7.385263, ' B': -0.0007986744, ' "': -9.909733, " '": -10.808798}
{' b': -9.50355, ' A': -7.4169827, 'B': -10.7717, ' B': -0.0007710564, ' "': -10.114563}
{' b': -9.55659, ' A': -7.5547066, 'B': -10.831887, ' B': -0.00069458643, ' "': -10.00367}
{' B': -0.00079962896, ' A': -7.338196, ' b': -9.7076, ' "': -10.13479, 'B': -10.865837}
{' b': -9.779932, ' A': -8.124394, ' B': -0.00045883397, ' "': -9.871778, " '": -10.791045}
{' B': -0.00054327596, ' A': -7.860999, ' b': -9.84397, ' "': -9.900871, " '": -10.840165}
{' b': -9.360512, ' A': -6.775157, 'B': -10.449769, ' B': -0.0013380183, ' "': -9.985442}
{' b': -9.396728, ' A': -6.5341864, 'B': -10.430155, ' B': -0.0016339213, ' "': -10.246178}
{' b': -9.382091, ' A': -6.6345267, 'B': -10.434121, ' B': -0.0014856285, ' "': -10.443954}
{' b': -9.4368105, ' A': -5.6834702, 'B': -10.434795, ' B': -0.003569078, ' "': -10.526095}
{' b': -9.564712, ' A': -6.545799, 'B': -10.467658, ' B': -0.0015886051, ' "': -10.452286}
{' b': -9.520039, ' A': -6.525196, 'B': -10.4462595, ' B': -0.0016564281, ' "': -9.898174}
{' b': -9.519964, ' A': -6.4548907, 'B': -10.463127, ' B': -0.0017243724, ' "': -10.613894}
{' b': -9.39422, ' A': -6.479077, 'B': -10.427568, ' B': -0.0017025806, ' "': -10.483371}
{' b': -9.417836, ' A': -6.188659, 'B': -10.437592, ' B': -0.002216366, ' "': -10.548824}
{' b': -9.506062, ' A': -6.60566, 'B': -10.457305, ' B': -0.0015074194, ' "': -10.529694}
{' B': -0.0018513782, ' A': -6.3956494, ' b': -9.483971, ' "': -10.008194, 'B': -10.492968}
{' B': -0.0014488597, ' A': -6.65516, ' b': -9.429591, 'B': -10.457697, ' "': -10.506885}
{' b': -9.559441, ' A': -7.1013813, 'B': -10.525723, ' B': -0.00097365293, ' "': -10.442889}
{' B': -0.0016908195, ' A': -6.4812555, ' b': -9.498066, ' "': -10.446272, 'B': -10.464935}
{' b': -9.403352, ' A': -6.044874, 'B': -10.484623, ' B': -0.0025575254, ' "': -10.157063}
{' b': -9.514892, ' A': -7.3170195, 'B': -10.584903, ' B': -0.0008444299, ' "': -9.957469}
{' b': -9.704111, ' A': -6.766234, 'B': -10.595956, ' B': -0.0012846608, ' "': -10.601916}
{' b': -9.603225, ' A': -6.3474183, 'B': -10.556075, ' B': -0.0018984957, ' "': -10.493073}
{' b': -9.517465, ' A': -6.6122713, 'B': -10.512634, ' B': -0.0014964361, ' "': -10.506258}
{' b': -9.469548, ' A': -6.156888, 'B': -10.454046, ' B': -0.0022830954, ' "': -10.386862}
{' b': -9.399547, ' A': -5.983686, 'B': -10.496882, ' B': -0.0027179276, ' "': -9.903942}
{' b': -9.476082, ' A': -6.4194326, 'B': -10.470564, ' B': -0.0017850974, ' "': -10.563111}
{' b': -9.555169, ' A': -7.243036, 'B': -10.561522, ' B': -0.0008694252, ' "': -10.323602}
