{':': -4.013479, ' 1': -3.0032432, ' odd': -0.8996038, ' 0': -2.3386698, ' even': -1.0329771}
{' odd': -0.6733685, ' even': -0.95750815, ' Odd': -3.141546, ':': -3.9791524, ' Even': -4.6711664}
{' ': -4.13661, ':': -4.5641537, ' odd': -3.2990093, ' 0': -4.1513224, ' even': -0.11370105}
{' Odd': -3.8053312, ' 1': -4.529607, ' odd': -0.29374316, ' 0': -3.8638182, ' even': -1.7165412}
{':': -3.2322261, ' 1': -2.6639802, ' odd': -1.115072, ' 0': -2.0048063, ' even': -1.0806128}
{' even': -0.17016137, ':': -3.3591146, ' odd': -3.5194025, ' 0': -3.7071648, ' Even': -3.8226702}
{' Odd': -2.999224, ' 1': -4.224685, ' odd': -0.48150292, ' 0': -3.3538554, ' even': -1.4708093}
{' even': -0.13104592, ' 0': -3.3378842, ' odd': -3.6556313, ' Even': -3.9830394, ':': -4.577971}
{' Odd': -3.7739139, ' ': -5.29542, ' odd': -0.49737585, ' 0': -3.810657, ' even': -1.1421942}
{':': -5.2160864, ' Even': -4.2925043, ' odd': -3.3001356, ' 0': -5.3292265, ' even': -0.082781926}
{' odd': -0.6699223, ' even': -1.111214, ' Odd': -2.4829106, ' 0': -4.05255, ' Even': -4.4888234}
{' ': -4.116962, ':': -4.834181, ' odd': -3.2742798, ' 0': -3.7923324, ' even': -0.116339386}
{' Odd': -2.9744244, ' 1': -5.17992, ' odd': -0.1721458, ' 0': -4.6859283, ' even': -2.6010292}
{' Odd': -3.847454, ' 1': -3.7295008, ' odd': -0.60137486, ' 0': -2.8736231, ' even': -1.2230438}
{' even': -0.10705499, ' 0': -3.8179293, ':': -3.9323657, ' Even': -4.2562943, ' ': -4.6119604}
{' odd': -0.37880695, ' even': -1.732601, ' Odd': -2.741597, ' 0': -4.184931, ' 1': -4.6429048}
{' 0': -0.7308251, ' even': -0.8284938, ' zero': -4.1482615, ':': -4.558804, ' 4': -4.70952}
{' Odd': -3.4324372, ' 1': -4.021282, ' odd': -0.28904104, ' 0': -3.368376, ' even': -1.9521421}
{':': -4.77722, ' Even': -3.9799402, ' odd': -2.9880514, ' 0': -3.5313277, ' even': -0.14857745}
{' Odd': -2.8820786, ':': -4.198319, ' Even': -4.442475, ' odd': -0.6336169, ' even': -1.0527549}
{':': -4.6647005, ' Even': -3.9250827, ' odd': -3.5604858, ' 0': -3.6373267, ' even': -0.13140681}
{' Odd': -3.7958696, ' "': -5.837116, ' odd': -0.23184833, ' 0': -5.3213983, ' even': -1.8155524}
{' even': -1.0143439, ' odd': -1.1681899, ' 0': -1.9365118, ':': -3.1430194, ' 1': -3.191263}
{':': -2.5506766, ' Even': -3.5804682, ' odd': -2.7839417, ' 0': -3.2742856, ' even': -0.3285593}
{' Odd': -2.6507068, ' 1': -4.209027, ' odd': -0.48180047, ' 0': -3.952951, ' even': -1.6421666}
{' even': -0.6612287, ' 0': -0.9471011, ' odd': -4.3251557, ' zero': -4.353232, ' Even': -4.430983}
{' Odd': -3.685032, ' 1': -3.6513414, ' odd': -0.66837215, ' 0': -2.8828764, ' even': -1.0735788}
{':': -4.9285955, ' Even': -4.0153055, ' odd': -3.5952766, ' 0': -4.493391, ' even': -0.086230315}
{' Odd': -3.7879179, ':': -4.3785768, ' Even': -4.9591193, ' odd': -0.82291114, ' even': -0.72949106}
{' ': -4.79469, ' Even': -4.4617586, ' odd': -3.3582306, ' 0': -1.991075, ' even': -0.2786649}
{' Odd': -3.9708443, ' 1': -4.143099, ' odd': -0.19523919, ' 0': -3.768486, ' even': -2.2850227}
{' Odd': -3.1795447, ' 1': -3.428778, ' odd': -0.40899998, ' 0': -2.6840453, ' even': -1.9077638}
{':': -3.3864942, ' Even': -3.626829, ' EVEN': -3.9618413, ' 0': -2.6694696, ' even': -0.2008616}
{' odd': -0.35201922, ' even': -2.1281433, ' Odd': -2.5299919, ' 0': -3.661227, ' 1': -4.1904206}
{':': -4.4653826, ' Even': -3.9144986, ' odd': -4.6832743, ' 0': -3.3115132, ' even': -0.11140558}
{' Odd': -4.413842, ':': -4.7662444, ' Even': -4.5858526, ' odd': -1.1987851, ' even': -0.44275966}
{':': -4.863595, ' Even': -4.460123, ' odd': -3.5525835, ' 0': -4.5313377, ' even': -0.08286312}
{' Odd': -2.902681, ':': -4.978455, ' odd': -0.52064383, ' 0': -3.938967, ' even': -1.2838085}
{':': -4.96249, ' Even': -3.8394427, ' odd': -3.3082278, ' 0': -3.887321, ' even': -0.1251778}
{' Odd': -3.799764, ' 1': -5.8567696, ' odd': -0.17651314, ' 0': -5.1534243, ' even': -2.14321}
{':': -4.069179, ' 1': -3.6188335, ' odd': -0.7780695, ' 0': -3.005744, ' even': -0.97228247}
{':': -3.9475005, ' Even': -4.245517, ' odd': -4.8568087, ' 0': -3.8890982, ' even': -0.08893037}
{' odd': -0.33764562, ' even': -1.6891937, ' Odd': -3.5150356, ' 0': -3.9200344, ' 1': -4.490742}
{':': -4.323453, ' odd': -4.290438, ' 0': -0.7034344, ' zero': -4.065437, ' even': -0.898518}
{' Odd': -3.0835352, ':': -4.09713, ' Even': -4.2330813, ' odd': -0.7038853, ' even': -0.9897053}
{':': -4.8037143, ' Even': -3.9145408, ' EVEN': -5.3783445, ' odd': -3.276985, ' even': -0.093838595}
{' odd': -0.3660424, ' even': -1.5697243, ' Odd': -2.9036849, ' Even': -4.9601245, ' 0': -5.180463}
{' ': -5.0470624, ' Even': -4.5865273, ' odd': -3.2206807, ' 0': -3.3283684, ' even': -0.13899107}
{' Odd': -2.931644, ' 1': -5.156807, ' odd': -0.19616175, ' 0': -4.3383183, ' even': -2.447614}
{' Odd': -3.8793297, ' 1': -3.2117224, ' odd': -0.99047387, ' 0': -2.2189903, ' even': -0.953396}
{' even': -0.09009518, ' 0': -3.5387995, ' Even': -4.0616927, ':': -4.238032, ' EVEN': -4.688069}
{' Odd': -3.5119562, ':': -3.9114468, ' odd': -0.52103645, ' 0': -4.463436, ' even': -1.2688078}
{':': -4.8231697, ' Even': -4.5200753, ' odd': -4.986534, ' 0': -2.9496212, ' even': -0.11344932}
{' odd': -0.47491023, ' even': -1.2773185, ' Odd': -3.190724, ' 0': -3.6446652, ' 1': -4.8685317}
{':': -4.594777, ' Even': -4.1484923, ' odd': -2.6619735, ' 0': -3.956937, ' even': -0.1555381}
{' Odd': -3.3019254, ' Even': -5.0130544, ' odd': -0.6328628, ' 0': -4.82494, ' even': -0.95216054}
{' ': -4.816024, ' Even': -5.25601, ' odd': -4.1794143, ' 0': -2.9568312, ' even': -0.11013951}
{' Odd': -3.8835301, ' ': -5.355948, ' odd': -0.23665977, ' 0': -5.18142, ' even': -1.8199917}
{' Odd': -4.253653, ' 1': -3.933394, ' odd': -0.91249716, ' 0': -3.1149707, ' even': -0.75925696}
{':': -3.8133051, ' Even': -3.6304448, ' EVEN': -4.312907, ' 0': -2.7673142, ' even': -0.17507868}
{' odd': -0.17740875, ' even': -2.411017, ' Odd': -3.443547, ' 0': -4.409578, ' 1': -4.7345853}
{':': -3.922527, ' Even': -3.6304789, ' EVEN': -3.9844627, ' 0': -2.2909486, ' even': -0.24859615}
{' Odd': -3.698396, ':': -4.063243, ' Even': -4.5464864, ' odd': -0.80377597, ' even': -0.8025458}
{':': -4.559346, ' Even': -4.28101, ' odd': -3.253076, ' 0': -3.3571982, ' even': -0.14170048}
{' odd': -0.6090555, ' even': -1.0155449, ' Odd': -3.1354988, ':': -4.439946, ' Even': -4.7421556}
{' Even': -4.6400323, ' "': -4.894321, ' odd': -3.8936167, ' 0': -3.2523193, ' even': -0.11182584}
{' odd': -0.1936677, ' even': -2.4537241, ' Odd': -2.8832436, ' 0': -4.6068316, ' 1': -5.203871}
{':': -3.1993814, ' 1': -2.798862, ' odd': -1.127956, ' 0': -2.0245233, ' even': -1.0794274}
{' even': -0.21539961, ' 0': -2.5279949, ':': -3.255819, ' Even': -3.813113, ' EVEN': -4.047002}
{' odd': -0.3678741, ' even': -1.7312431, ' Odd': -2.833209, ' 0': -4.0798497, ' 1': -4.6861486}
{':': -5.226223, ' Even': -4.923389, ' EVEN': -5.4259515, ' 0': -2.649227, ' even': -0.11673337}
{' Odd': -3.4639843, ' 1': -4.9851575, ' odd': -0.4605196, ' 0': -3.694803, ' even': -1.2676647}
{' even': -0.08771344, ' odd': -3.4000635, ' Even': -4.2038746, ' 0': -4.350807, ':': -5.4897823}
{' Odd': -2.7126386, ' Even': -4.9984293, ' O': -4.911412, ' odd': -0.42900077, ' even': -1.4452838}
{' ': -5.0152125, ' Even': -4.841547, ' odd': -3.324258, ' 0': -2.812386, ' even': -0.15831049}
{' Odd': -3.6972766, ':': -5.3248057, ' odd': -0.3401236, ' 0': -5.700326, ' even': -1.43296}
{' odd': -1.1317371, ' even': -1.178099, ' 0': -1.8566442, ' 1': -2.643023, ':': -3.0442708}
{' ': -4.79093, ':': -3.8532362, ' Even': -4.3377953, ' 0': -4.236972, ' even': -0.08135724}
{' Odd': -2.720503, ' 1': -4.731824, ' odd': -0.3040333, ' 0': -4.293867, ' even': -2.0090828}
{':': -4.639274, ' Even': -4.1636806, ' odd': -3.4581506, ' 0': -3.769965, ' even': -0.11378627}
{' Odd': -3.447551, ' 1': -4.9315276, ' odd': -0.3630099, ' 0': -3.77543, ' even': -1.492473}
{' even': -0.09977505, ' odd': -3.664659, ' 0': -3.8225446, ' Even': -3.9053264, ':': -5.1974115}
{' Odd': -2.9411743, ' Even': -5.2567525, ' odd': -0.32937327, ' 0': -5.2646275, ' even': -1.6377038}
{' Even': -4.8160424, ' "': -5.0427103, ' odd': -3.608513, ' 0': -4.92677, ' even': -0.0705894}
{' Odd': -2.9639916, ' 1': -5.1912246, ' odd': -0.17496358, ' 0': -4.6851745, ' even': -2.5784926}
{' even': -1.0025797, ' odd': -1.1127464, ' 0': -2.0515623, ' 1': -2.8031886, ':': -3.2475975}
{':': -3.893116, ' Even': -4.03722, ' odd': -4.3912716, ' 0': -4.2756414, ' even': -0.094566345}
{' Odd': -3.1452293, ' 1': -4.304365, ' odd': -0.20942302, ' 0': -3.523518, ' even': -2.6506758}
{':': -4.163146, ' Even': -3.6418972, ' odd': -3.214343, ' 0': -4.208061, ' even': -0.1426165}
{' Odd': -3.8482862, ' 1': -4.423701, ' odd': -0.3765989, ' 0': -3.3375745, ' even': -1.5040584}
{' even': -0.25570923, ' odd': -2.0992513, ' Even': -3.4944308, ' Odd': -4.053658, ':': -4.2041297}
{' odd': -0.6157605, ' even': -1.0001856, ' Odd': -3.1266541, ' Even': -4.790443, ':': -4.9182076}
{' even': -0.13419151, ' odd': -3.0341177, ' 0': -3.934123, ' Even': -4.4157267, ' ': -4.6089926}
{' odd': -0.2649155, ' even': -1.8802699, ' Odd': -3.3549852, ' 0': -4.0647135, ' 1': -4.922398}
{':': -4.052398, ' 1': -3.3504128, ' odd': -0.73283136, ' 0': -2.653248, ' even': -1.1186785}
{':': -3.6401687, ' Even': -3.7064662, ' odd': -2.8142, ' 0': -3.5014036, ' even': -0.20789222}
{' Odd': -3.2756865, ':': -4.10091, ' odd': -0.30945036, ' 0': -4.0449276, ' even': -1.9427321}
{':': -3.5362263, ' Even': -3.490735, ' odd': -2.4585352, ' 0': -3.2938013, ' even': -0.27233896}
{' Odd': -2.7254622, ' 1': -4.2871237, ' odd': -0.5354615, ' 0': -3.2809658, ' even': -1.3478546}
{':': -5.0234394, ' Even': -3.5925426, ' EVEN': -5.117215, ' odd': -3.4631767, ' even': -0.09513179}
{' odd': -0.47794017, ' even': -1.4801383, ' Odd': -2.5562901, ' 0': -4.058862, ' Even': -4.564113}
{' even': -0.12189644, ' 0': -3.1807837, ' odd': -3.729328, ' Even': -4.7824473, ' ': -4.942228}
{' Odd': -4.2099857, ' ': -5.541668, ' odd': -0.21500038, ' 0': -5.476677, ' even': -1.8513167}
{':': -3.7381105, ' 1': -2.7293727, ' odd': -0.64256465, ' 0': -2.353509, ' even': -1.4794347}
{':': -3.5419168, ' Even': -3.3934581, ' EVEN': -4.1966753, ' 0': -2.7813644, ' even': -0.19781406}
{' odd': -0.4075529, ' even': -1.501529, ' Odd': -3.0604658, ' 0': -4.1549606, ':': -4.7261724}
{' even': -0.17174055, ' 0': -2.5802755, ':': -4.0200067, ' odd': -4.146766, ' Even': -4.481066}
{' odd': -0.35446087, ' even': -1.7915728, ' 0': -2.859395, ' Odd': -3.5126019, ' 1': -4.095745}
{' even': -0.104128644, ' odd': -3.2220054, ' Even': -4.1287713, ' 0': -4.6630435, ':': -4.6833434}
{' Odd': -3.0281491, ' Even': -4.9653645, ' odd': -0.59617, ' 0': -4.922584, ' even': -1.033775}
{' ': -4.838299, ' Even': -4.2272944, ' odd': -3.780241, ' 0': -4.2010827, ' even': -0.09263266}
{' odd': -0.23850083, ' even': -1.851245, ' Odd': -4.096052, ' 0': -4.4012346, ' 1': -4.5907803}
{':': -4.2374034, ' 1': -3.1566384, ' odd': -1.0280567, ' 0': -2.3251805, ' even': -0.86681414}
{' even': -0.27493638, ':': -2.7109354, ' odd': -2.9198108, ' 0': -3.4634607, ' Even': -3.6742957}
{' Odd': -2.8013048, ' Even': -4.419134, ' odd': -0.50499636, ' 0': -4.4332294, ' even': -1.3967209}
{' even': -0.1707136, ' 0': -2.725815, ' odd': -3.743578, ' Even': -4.1573143, ':': -4.3262377}
{' Odd': -3.0280197, ' 1': -4.2040224, ' odd': -0.3667781, ' 0': -3.1852841, ' even': -1.7244288}
{':': -5.146443, ' Even': -4.716947, ' odd': -3.187469, ' 0': -5.4989142, ' even': -0.078797825}
{' odd': -0.42172033, ' even': -1.5454797, ' Odd': -2.675184, ' 0': -4.3477187, ' Even': -4.8547583}
{' ': -4.278636, ' Even': -4.7874384, ' odd': -2.8529136, ' 0': -4.0918984, ' even': -0.13419145}
{' Odd': -3.1172917, ' 1': -5.0111704, ' odd': -0.23747, ' 0': -4.2906275, ' even': -2.0897715}
{':': -3.01318, ' 1': -2.6732993, ' odd': -1.2685217, ' 0': -1.6717408, ' even': -1.1277307}
{' even': -0.05608303, ' 0': -4.0063815, ' Even': -4.4868655, ':': -5.0331016, ' EVEN': -5.430637}
{' Odd': -2.7695863, ' 1': -4.3850093, ' odd': -0.4543951, ' 0': -3.7514405, ' even': -1.6055143}
{':': -4.325854, ' Even': -3.9568155, ' odd': -3.403776, ' 0': -2.6273963, ' even': -0.20449336}
{' Odd': -3.4687152, ' 1': -4.608893, ' odd': -0.4478422, ' 0': -3.8528597, ' even': -1.2954298}
{' Odd': -5.464035, ' Even': -3.8236, ' odd': -3.3047822, ' 0': -5.1200237, ' even': -0.090689994}
{' Odd': -3.8603845, ' not': -4.6380353, ' odd': -0.8770318, ' 0': -3.344475, ' even': -0.7561249}
{':': -4.6081753, ' Even': -4.900158, ' odd': -3.710457, ' 0': -2.793477, ' even': -0.14715303}
{' Odd': -4.003181, ' 1': -5.988231, ' odd': -0.13786042, ' 0': -5.2892146, ' even': -2.3740551}
{':': -3.7961717, ' 1': -3.1026492, ' odd': -0.9188781, ' 0': -2.3977883, ' even': -1.013658}
{':': -3.392266, ' Even': -3.8401783, ' EVEN': -4.1982913, ' 0': -2.3855124, ' even': -0.22387303}
{' Odd': -3.4600732, ':': -4.46201, ' odd': -0.27262834, ' 0': -4.122971, ' even': -2.0203538}
{' ': -4.2144275, ':': -4.161795, ' Even': -4.5154157, ' 0': -2.6844904, ' even': -0.16339254}
{' even': -0.7577215, ' odd': -0.8457724, ' Odd': -3.7182314, ':': -4.2533135, ' right': -4.3882318}
{' even': -0.099572636, ' odd': -3.347443, ' Even': -3.781983, ':': -4.688476, ' ': -5.082704}
{' odd': -0.46928686, ' even': -1.2584561, ' Odd': -3.2304657, ' 0': -4.346052, ' Even': -5.2352066}
{' even': -0.21375658, ' 0': -2.483348, ' odd': -3.1838443, ' Even': -3.9891253, ' ': -4.8318563}
{' Odd': -3.540426, ' 1': -5.0261965, ' odd': -0.17339325, ' 0': -4.4838543, ' even': -2.3436186}
{' odd': -0.6467852, ' even': -1.229153, ' 0': -2.8658164, ' 1': -3.3502429, ' Odd': -3.9294734}
{':': -3.544116, ' Even': -3.7717352, ' odd': -4.2550507, ' 0': -1.8553087, ' even': -0.33420473}
{' Odd': -3.3674285, ' 1': -3.7931497, ' odd': -0.26195058, ' 0': -3.787346, ' even': -2.2036123}
{':': -3.729519, ' Even': -3.6999626, ' odd': -3.906444, ' 0': -2.063364, ' even': -0.3005399}
{' Odd': -3.2471104, ' 1': -4.4417586, ' odd': -0.53693783, ' 0': -3.8773403, ' even': -1.1802264}
{' even': -0.10725238, ' odd': -3.2430677, ' 0': -3.9900837, ' Even': -4.275799, ' an': -4.9070625}
{' Odd': -3.12692, ':': -4.428766, ' Even': -4.691998, ' odd': -0.6283335, ' even': -0.9910579}
{':': -5.2250333, ' Even': -4.3680005, ' odd': -3.2806616, ' 0': -4.453477, ' even': -0.098366566}
{' Odd': -3.3367739, ' 1': -4.411021, ' odd': -0.1681092, ' 0': -3.972215, ' even': -2.6834366}
{' Odd': -3.7445624, ' 1': -3.6353836, ' odd': -0.5253567, ' 0': -2.919144, ' even': -1.3656458}
{':': -4.9729676, ' Even': -4.880388, ' odd': -5.2450175, ' 0': -3.7490172, ' even': -0.062302075}
{' Odd': -3.389043, ':': -3.6414745, ' odd': -0.58255726, ' 0': -4.351312, ' even': -1.2372786}
{' even': -0.40885288, ' 0': -1.4184972, ':': -3.9984303, ' Even': -4.0881534, ' odd': -4.476759}
{' Odd': -3.6168106, ' 1': -4.0750027, ' odd': -0.46537298, ' 0': -2.8521497, ' even': -1.415387}
{' even': -0.098978095, ' odd': -2.899558, ' Even': -4.3511295, ':': -5.394248, ' Odd': -5.4434013}
{' Odd': -2.8610325, ' Even': -5.321005, ' odd': -0.31230164, ' 0': -4.879295, ' even': -1.7589332}
{' even': -0.13321382, ' odd': -2.9074829, ' ': -4.089518, ' 0': -4.193096, ' Even': -4.607636}
{' odd': -0.2649155, ' even': -1.8802699, ' Odd': -3.3549852, ' 0': -4.0647135, ' 1': -4.922398}
{' Odd': -3.9676588, ' 1': -3.4074686, ' odd': -0.6601112, ' 0': -2.8786256, ' even': -1.191056}
{' even': -0.094594784, ':': -3.667796, ' Even': -3.9903018, ' EVEN': -4.5244985, ' 0': -4.7241044}
{' Odd': -3.6295457, ':': -4.579472, ' Even': -4.816546, ' odd': -0.46412644, ' even': -1.2740515}
{' even': -0.15968433, ' 0': -2.6755285, ':': -4.2210665, ' odd': -4.321883, ' Even': -4.3750954}
{' odd': -0.38172016, ' even': -1.5717283, ' Odd': -3.275024, ' 0': -3.5191588, ' 1': -4.1696377}
{' even': -0.1286786, ' odd': -3.2892125, ' 0': -3.486207, ' Even': -4.1708527, ':': -4.659403}
{' Odd': -3.4233093, ' O': -5.209977, ' odd': -0.58171684, ' 0': -4.7290597, ' even': -1.0115188}
{' even': -0.12921098, ' odd': -3.2140172, ' 0': -3.4190495, ' Even': -4.842036, ' ': -4.8591733}
{' Odd': -3.1752064, ' 1': -5.3981295, ' odd': -0.24613221, ' 0': -4.557746, ' even': -1.9526085}
{' Odd': -3.8537183, ' 1': -3.1221442, ' odd': -0.9038349, ' 0': -2.2681565, ' even': -1.0201517}
{':': -3.2033591, ' Even': -3.6984534, ' EVEN': -3.994122, ' 0': -2.1636093, ' even': -0.27872923}
{' Odd': -3.3742373, ':': -4.529461, ' Even': -4.807868, ' odd': -0.40810692, ' even': -1.4392633}
{':': -3.8005655, ' Even': -3.72393, ' odd': -3.5008419, ' 0': -1.589077, ' even': -0.45216367}
{' Odd': -3.3760037, ' 1': -4.5194745, ' odd': -0.38599968, ' 0': -3.5474384, ' even': -1.5708542}
{' even': -0.11037817, ' odd': -3.0760574, ' Even': -4.313771, ' 0': -4.434681, ':': -4.7589097}
{' odd': -0.61345327, ' even': -0.9733118, ' Odd': -3.2982686, ' 0': -4.969224, ' Even': -4.98206}
{' ': -4.788558, ' Even': -4.5553417, ' odd': -3.206198, ' 0': -3.7306418, ' even': -0.117858365}
{' Odd': -3.8147893, ' "': -5.861183, ' odd': -0.22712669, ' 0': -5.3376155, ' even': -1.8343138}
{' odd': -0.9351801, ' even': -1.2297195, ' 0': -1.8874229, ' 1': -2.7782042, ':': -3.558676}
{':': -3.8693337, ' Even': -4.000509, ' odd': -3.5546737, ' 0': -5.160374, ' even': -0.10393591}
{' Odd': -3.5687501, ':': -3.704783, ' odd': -0.59379256, ' Right': -3.9010034, ' even': -1.2632158}
{' even': -0.13512102, ' 0': -3.14745, ' odd': -3.916247, ':': -4.2662425, ' Even': -4.3402553}
{' Odd': -4.3084598, ':': -4.9369454, ' Even': -4.9293895, ' odd': -0.94957507, ' even': -0.58302647}
{':': -4.815283, ' Even': -4.248384, ' odd': -2.7228463, ' 0': -3.254822, ' even': -0.16886441}
{' Odd': -3.3944573, ':': -4.0454936, ' odd': -1.1200625, ' 0': -3.932718, ' even': -0.59321076}
{' even': -0.10767174, ' odd': -3.1450918, ' 0': -4.333805, ' ': -4.3691626, ' Even': -4.8216534}
{' odd': -0.13598952, ' even': -2.6158879, ' Odd': -3.5930226, ' 0': -4.7383704, ' 1': -5.1662426}
{':': -2.9638145, ' 1': -2.3758476, ' odd': -1.1204411, ' 0': -1.9015642, ' even': -1.1846691}
{':': -3.4153385, ' Even': -3.806557, ' odd': -3.8385699, ' 0': -4.2481213, ' even': -0.133339}
{' Odd': -3.4403796, ':': -4.435224, ' odd': -0.3629033, ' 0': -4.305821, ' even': -1.5995127}
{':': -4.573918, ' Even': -4.0910926, ' odd': -3.592626, ' 0': -2.722717, ' even': -0.1723879}
{' odd': -0.38940254, ' even': -1.9207374, ' Odd': -2.6963885, ' 0': -2.9435904, ' 1': -3.6246948}
{':': -5.047893, ' Even': -3.8226469, ' odd': -4.0536265, ' 0': -3.9759357, ' even': -0.089201555}
{' odd': -0.63635343, ' even': -0.9526491, ' Odd': -3.5444944, ':': -3.8522494, ' Even': -5.130396}
{':': -5.0204973, ' Even': -4.6812468, ' odd': -3.1984012, ' 0': -4.0280657, ' even': -0.10811512}
{' Odd': -3.4762807, ' 1': -5.027407, ' odd': -0.15275632, ' 0': -4.4833584, ' even': -2.579595}
{':': -3.5759032, ' 1': -2.2615104, ' odd': -0.8999096, ' 0': -1.7463862, ' even': -1.5265948}
{':': -3.7765183, ' Even': -3.97775, ' EVEN': -4.8257284, ' 0': -3.5895388, ' even': -0.10525476}
{' odd': -0.29842186, ' even': -2.3852463, ' Odd': -2.4474258, ' 0': -3.9212453, ' 1': -4.379339}
{':': -3.9607832, ' Even': -4.0799117, ' odd': -4.219058, ' 0': -1.5942425, ' even': -0.3740077}
{' Odd': -3.5922666, ' 1': -4.735654, ' odd': -0.46245253, ' 0': -3.4256241, ' even': -1.2770326}
{':': -5.240508, ' Even': -4.419556, ' odd': -4.189173, ' 0': -3.98325, ' even': -0.06967118}
{' Odd': -3.0040696, ':': -3.4475138, ' Even': -4.5941095, ' odd': -0.6939594, ' even': -1.0148938}
{' even': -0.08310967, ' 0': -3.3948448, ' odd': -4.1811185, ' ': -4.624864, ' Even': -5.358178}
{' Odd': -4.111876, ' 1': -4.397685, ' odd': -0.12962067, ' 0': -4.544089, ' even': -2.687275}
{' Odd': -3.6419804, ' 1': -2.7680032, ' odd': -0.6877629, ' 0': -1.9596268, ' even': -1.5871816}
{':': -3.8638816, ' Even': -4.112004, ' EVEN': -4.858211, ' odd': -4.413958, ' even': -0.08187443}
{' Odd': -3.134894, ' Even': -5.100023, ' odd': -0.35437858, ' 0': -4.8203645, ' even': -1.5736291}
{' ': -4.4493628, ':': -4.350156, ' Even': -4.4132814, ' 0': -2.919814, ' even': -0.134247}
{' Odd': -3.7158554, ':': -4.2691402, ' odd': -0.90409636, ' even': -0.71517926, ' right': -4.3342037}
{':': -4.915054, ' Even': -3.951263, ' odd': -3.4452481, ' 0': -3.8734012, ' even': -0.107263334}
{' Odd': -2.8174915, ' Even': -4.7598944, ' O': -5.0395765, ' odd': -0.5682108, ' even': -1.1370088}
{' even': -0.1345566, ' odd': -3.2950988, ' 0': -3.638767, ' Even': -4.02853, ':': -4.7358994}
{' Odd': -3.5823774, ':': -5.553747, ' Even': -5.499735, ' odd': -0.392566, ' even': -1.3125519}
