{' odd': -1.1430392, ' even': -1.5204941, ' 0': -1.5531594, ' 1': -1.6788993, ':': -4.5269637}
{' even': -0.19240503, ' 0': -2.7734158, ' odd': -3.0033903, ' Even': -4.0737586, ':': -4.5384727}
{' odd': -0.40801758, ' even': -1.3203367, ' Odd': -3.4535296, ' 0': -4.54722, ' Even': -5.67209}
{' ': -3.5837636, ':': -4.2799897, ' odd': -4.111319, ' 0': -1.6080917, ' even': -0.36004886}
{' odd': -0.20489581, ' even': -2.3713005, ' Odd': -3.482373, ' 0': -3.7530735, ' 1': -3.8668933}
{' 1': -0.769277, ' 0': -1.1434884, ' odd': -2.1481252, ' even': -3.3145995, ':': -4.026881}
{':': -3.0429237, ' 1': -3.4219604, ' odd': -3.516091, ' 0': -1.375698, ' even': -0.61195546}
{' Odd': -3.0562532, ' 1': -2.6387196, ' odd': -0.46779355, ' 0': -2.2460804, ' even': -2.5059862}
{' even': -0.45698932, ' 0': -1.2489787, ' odd': -4.161952, ' zero': -4.221138, ' 1': -4.548397}
{' Odd': -3.1770248, ' 1': -3.42551, ' odd': -0.23887056, ' 0': -2.938071, ' even': -2.6905458}
{' an': -5.8997602, ' odd': -4.080727, ' 0': -3.6213555, ' zero': -5.332082, ' even': -0.06668077}
{' odd': -0.530554, ' even': -1.0646307, ' 0': -3.6730988, ' Odd': -4.5722837, ' zero': -5.334381}
{' even': -0.14525662, ' 0': -3.1804261, ' odd': -3.300961, ' Even': -4.3995843, ' ': -4.4167333}
{' Odd': -3.9647882, ' 1': -5.2306404, ' odd': -0.116008855, ' 0': -4.5723543, ' even': -2.735179}
{':': -3.6621137, ' 1': -1.2882533, ' odd': -2.087027, ' 0': -0.82957697, ' even': -2.5024428}
{':': -3.907801, ' 1': -3.5897098, ' odd': -3.3515131, ' 0': -1.4334913, ' even': -0.49113235}
{' Odd': -3.4628484, ' 1': -3.3898902, ' odd': -0.394389, ' 0': -2.6568344, ' even': -1.9687012}
{' even': -0.4140316, ' 0': -1.3347899, ' odd': -4.0448775, ' zero': -4.4206405, ':': -4.8322062}
{' Odd': -3.505915, ' 1': -3.1813378, ' odd': -0.3482214, ' 0': -2.7925684, ' even': -2.1164107}
{':': -4.6560645, ' odd': -2.6967187, ' 0': -1.135465, ' zero': -4.731167, ' even': -0.5981555}
{' odd': -0.34778672, ' even': -1.752566, ' 0': -2.7890584, ' 1': -4.2068295, ' Odd': -4.4675307}
{' even': -0.31636986, ' 0': -2.0875432, ' odd': -2.5267112, ' ': -4.211403, ':': -4.569483}
{' Odd': -4.62328, ' 1': -4.757173, ' odd': -0.10230995, ' 0': -4.971173, ' even': -2.7705514}
{' 0': -1.2506452, ' 1': -1.3624797, ' odd': -1.6669345, ' even': -2.0888476, ':': -2.7740731}
{':': -3.7195199, ' 1': -2.8361285, ' odd': -3.8585355, ' 0': -1.0228287, ' even': -0.7556739}
{' Odd': -4.1649394, ' 1': -3.696334, ' odd': -0.06456773, ' 0': -5.100771, ' even': -4.881109}
{' 1': -4.1188455, ' odd': -2.200323, ' 0': -1.6357821, ' zero': -4.5074816, ' even': -0.47705925}
{' Odd': -4.3137145, ' 1': -3.258846, ' odd': -0.23451982, ' 0': -3.252459, ' even': -2.3143766}
{' even': -0.40119848, ' odd': -1.9543906, ' 0': -2.2135506, ' Odd': -4.2251616, ':': -4.2533607}
{' odd': -0.3764001, ' even': -1.3985225, ' Odd': -3.619339, ' 0': -4.2866783, ' 1': -5.4773054}
{' ': -4.389172, ':': -4.847063, ' odd': -2.434345, ' 0': -2.4441497, ' even': -0.26012215}
{' odd': -0.17891774, ' even': -2.7763326, ' Odd': -3.0892606, ' 0': -3.9570966, ' 1': -3.9674747}
{':': -3.7081854, ' 1': -1.0558053, ' odd': -1.8948146, ' 0': -1.0681201, ' even': -2.715061}
{':': -4.017984, ' 1': -4.2676406, ' 0': -1.3513914, ' zero': -3.9933655, ' even': -0.45734262}
{' odd': -0.16474563, ' 1': -2.80423, ' 0': -3.5107462, ' even': -3.803234, ' Odd': -3.9157422}
{' 1': -4.606794, ' odd': -4.2581353, ' 0': -0.9538697, ' zero': -4.3977237, ' even': -0.60314447}
{' Odd': -3.5296345, ' 1': -4.238273, ' odd': -0.31699255, ' 0': -2.9568336, ' even': -1.8334757}
{':': -4.6104193, ' odd': -2.501509, ' 0': -1.4753957, ' zero': -4.7855563, ' even': -0.46152443}
{' Odd': -3.2680771, ' 1': -5.630079, ' odd': -0.30124623, ' 0': -4.617679, ' even': -1.6467347}
{' even': -0.20164485, ' 0': -2.591978, ' odd': -3.0879562, ' Even': -4.2977777, ' ': -4.5229073}
{' Odd': -3.758234, ' 1': -4.0843663, ' odd': -0.12006986, ' 0': -4.1669655, ' even': -3.057173}
{' 1': -0.84919614, ' 0': -1.1413391, ' odd': -2.0971582, ' even': -3.053206, ':': -3.6509035}
{':': -4.363507, ' 1': -2.89454, ' 0': -0.33850527, ' zero': -3.923791, ' even': -1.800565}
{' Odd': -3.1371655, ' 1': -2.6131446, ' odd': -0.56828576, ' 0': -1.6952609, ' even': -2.7653291}
{' 1': -3.6649516, ' odd': -3.8310845, ' 0': -0.4994731, ' zero': -3.6758761, ' even': -1.2745557}
{' Odd': -4.010204, ' 1': -3.498753, ' odd': -0.25756422, ' 0': -2.9946773, ' even': -2.189302}
{':': -4.7078447, ' 1': -4.469027, ' odd': -2.0412774, ' 0': -1.7966572, ' even': -0.43611482}
{' odd': -0.21673992, ' even': -2.0206149, ' 0': -3.742937, ' Odd': -4.4347515, ' 1': -4.9249125}
{' even': -0.11844491, ' odd': -3.1195312, ' 0': -3.7436776, ' Even': -4.491285, ' ': -4.538481}
{' Odd': -3.8782928, ' 1': -4.905777, ' odd': -0.10031057, ' 0': -4.6671977, ' even': -3.0338528}
{':': -4.222445, ' 1': -1.3605095, ' odd': -1.5000387, ' 0': -1.0871779, ' even': -2.1677701}
{' even': -0.23558646, ' 0': -2.1511426, ':': -3.8211727, ' Even': -4.083798, ' odd': -4.684548}
{' Odd': -3.7748506, ' 1': -3.638603, ' odd': -0.15472865, ' 0': -3.3222651, ' even': -3.3247628}
{' even': -0.47474894, ' 0': -1.6248716, ' odd': -2.2319586, ' 1': -4.12981, ' zero': -4.5110297}
{' odd': -0.21655856, ' even': -2.1842043, ' 0': -3.3513832, ' Odd': -3.8887937, ' 1': -4.1860924}
{' even': -0.2971965, ' odd': -2.1224272, ' 0': -2.549553, ' Even': -4.557617, ':': -4.583433}
{' odd': -0.48232818, ' even': -1.2011746, ' Odd': -3.573112, ' 0': -3.7389467, ' Even': -5.4567075}
{':': -4.854011, ' Even': -4.5742373, ' odd': -3.2518141, ' 0': -2.3655114, ' even': -0.20676388}
{' Odd': -3.9648526, ' 1': -3.4997733, ' odd': -0.19640763, ' 0': -3.630604, ' even': -2.4301074}
{' 1': -0.7126507, ' 0': -1.5046077, ' odd': -2.2705703, ':': -2.6933475, ' even': -3.2590916}
{' 1': -3.647292, ' odd': -3.9562862, ' 0': -1.1282585, ' zero': -3.8159597, ' even': -0.6073625}
{' Odd': -3.3405836, ' 1': -3.450007, ' odd': -0.32624123, ' 0': -2.333261, ' even': -2.4737031}
{' 1': -3.5870826, ' odd': -3.3361685, ' 0': -0.87024033, ' zero': -3.9475613, ' even': -0.79599005}
{' odd': -0.18166982, ' even': -2.274823, ' Odd': -3.6210272, ' 0': -4.321882, ' 1': -4.7981515}
{':': -4.4504194, ' Even': -5.0240583, ' odd': -2.4128704, ' 0': -2.315625, ' even': -0.2797594}
{' odd': -0.18756098, ' even': -2.154085, ' Odd': -3.3283842, ' 0': -5.382734, ' an': -6.3617334}
{' even': -0.18858075, ' 0': -2.4344072, ' odd': -3.5587168, ' Even': -4.3029613, ' ': -4.6571712}
{' odd': -0.12913509, ' even': -2.4730577, ' Odd': -4.5126553, ' 0': -4.9105363, ' 1': -5.237513}
{':': -3.9919763, ' 1': -1.5894965, ' odd': -1.6647586, ' 0': -0.88490194, ' even': -2.309822}
{' even': -0.2954984, ' 0': -1.9034351, ' odd': -3.4537547, ' 1': -3.8846812, ' zero': -4.3037567}
{' odd': -0.29162434, ' even': -2.5013354, ' 0': -2.5773878, ' 1': -3.374219, ' Odd': -3.5288572}
{':': -4.0468307, ' 1': -3.7469623, ' 0': -0.38656825, ' zero': -4.3965726, ' even': -1.5003635}
{' Odd': -4.210937, ' 1': -3.0966048, ' odd': -0.2911469, ' 0': -3.0325484, ' even': -2.0881371}
{':': -4.521249, ' 1': -4.681035, ' odd': -2.4400103, ' 0': -1.4170781, ' even': -0.5102369}
{' odd': -0.46259037, ' even': -1.2173978, ' Odd': -3.4131746, ' 0': -4.2247324, ' Even': -5.6337776}
{':': -4.7103553, ' Even': -4.4891295, ' odd': -3.0873482, ' 0': -2.1046755, ' even': -0.26233044}
{' Odd': -3.921425, ' 1': -4.2535143, ' odd': -0.110326186, ' 0': -4.508046, ' even': -3.0344114}
{' 0': -1.1387274, ' odd': -1.2620738, ' 1': -1.7045099, ' even': -1.8775036, ' zero': -4.669284}
{':': -4.18716, ' 1': -3.6721995, ' 0': -0.5735936, ' zero': -3.7439044, ' even': -1.1110023}
{' Odd': -3.6479661, ' 1': -3.2999954, ' odd': -0.26027882, ' 0': -2.6012402, ' even': -2.7208376}
{' 1': -3.1995215, ' odd': -2.4840562, ' 0': -0.8945529, ' zero': -4.007054, ' even': -0.92645997}
{' Odd': -3.2058957, ' 1': -3.246339, ' odd': -0.18381728, ' 0': -3.5041487, ' even': -3.2402487}
{' ': -4.864659, ':': -4.3694634, ' odd': -2.8213525, ' 0': -1.5130277, ' even': -0.42191657}
{' Odd': -3.8985567, ' 1': -4.5385027, ' odd': -0.3920907, ' 0': -3.2733297, ' even': -1.4571398}
{' ': -4.2616973, ' Even': -4.525169, ' odd': -3.4465768, ' 0': -2.5412796, ' even': -0.18569446}
{' Odd': -3.59739, ' 1': -3.9997356, ' odd': -0.21487594, ' 0': -3.8087468, ' even': -2.194698}
{':': -3.5725548, ' 1': -1.6409409, ' odd': -1.5424826, ' 0': -1.1732754, ' even': -1.7410225}
{' 1': -4.3036222, ' odd': -4.351428, ' 0': -1.8272368, ' zero': -4.4690433, ' even': -0.2784821}
{' Odd': -3.5933344, ' 1': -3.1654255, ' odd': -0.2433628, ' 0': -3.0644248, ' even': -2.7062392}
{':': -4.6763372, ' 1': -4.340274, ' odd': -2.1351104, ' 0': -1.9268041, ' even': -0.40789363}
{' Odd': -3.4630005, ' 1': -3.08764, ' odd': -0.2492956, ' 0': -2.8836386, ' even': -2.6485722}
{' even': -0.25066933, ' odd': -2.3699377, ' 0': -2.4796503, ' Even': -4.8305387, ':': -5.0048647}
{' 1': -4.1144056, ' odd': -0.1720362, ' 0': -2.7975092, ' zero': -3.914954, ' even': -4.124201}
{' ': -3.9662952, ' Even': -4.5764294, ' odd': -3.1201346, ' 0': -2.7315218, ' even': -0.1884607}
{' Odd': -3.6163902, ' 1': -4.942804, ' odd': -0.1217795, ' 0': -4.4272165, ' even': -2.8140476}
{':': -3.4429917, ' 1': -0.9085832, ' odd': -1.7628819, ' 0': -1.4153782, ' even': -2.6664798}
{' 1': -3.6449275, ' odd': -3.9455402, ' 0': -1.1236428, ' zero': -3.9085605, ' even': -0.6117122}
{' odd': -0.2659594, ' even': -2.1218364, ' Odd': -3.2413547, ' 0': -3.5761294, ' 1': -4.8369694}
{' 1': -3.2180877, ' odd': -3.8740525, ' 0': -0.3360839, ' zero': -4.060903, ' even': -1.9041142}
{' Odd': -3.7168648, ' 1': -4.0226555, ' odd': -0.3135798, ' 0': -3.3614922, ' even': -1.7990628}
{':': -4.541095, ' 1': -5.0193233, ' odd': -2.1070797, ' 0': -2.5274966, ' even': -0.29304612}
{' Odd': -3.7981446, ' 1': -5.7591887, ' odd': -0.17806372, ' 0': -4.9559393, ' even': -2.139292}
{' even': -0.20228013, ' odd': -2.6042328, ' 0': -2.7591991, ' ': -4.4729285, ' Even': -4.848976}
{' odd': -0.16739984, ' even': -2.2987998, ' Odd': -3.9816961, ' 0': -4.3859577, ' 1': -4.5179167}
{':': -4.1970167, ' 1': -1.4198105, ' odd': -1.5512518, ' 0': -1.0147526, ' even': -2.255378}
{':': -3.3006928, ' 1': -2.824656, ' odd': -3.9035256, ' 0': -0.8987079, ' even': -0.96667624}
{' Odd': -3.50992, ' 1': -3.4946907, ' odd': -0.25477475, ' 0': -2.6881673, ' even': -2.6818101}
{' even': -0.7618175, ' 0': -0.93133974, ' odd': -3.412272, ' 1': -3.4784274, ' ': -4.085092}
{' Odd': -3.830072, ' 1': -3.022863, ' odd': -0.36154327, ' 0': -2.4580464, ' even': -2.0707803}
{' Odd': -4.707661, ' Even': -4.691184, ' odd': -1.7916381, ' 0': -2.629792, ' even': -0.34890246}
{' odd': -0.22615048, ' 0': -2.7266014, ' even': -2.9756439, ' 1': -4.1192274, ' Odd': -4.4033275}
{' even': -0.67898184, ' 0': -0.921736, ' ': -3.6352959, ' 1': -4.348113, ':': -4.4092474}
{' Odd': -3.668628, ' 1': -3.4508593, ' odd': -0.22251153, ' 0': -3.4197714, ' even': -2.360882}
{':': -3.637414, ' 1': -1.6929762, ' odd': -1.5179188, ' 0': -1.1511433, ' even': -1.7496892}
{':': -4.2805066, ' 1': -3.280483, ' 0': -1.2011077, ' zero': -4.289928, ' even': -0.5250957}
{' Odd': -3.5160034, ' 1': -3.0813963, ' odd': -0.3132211, ' 0': -2.277259, ' even': -2.9427245}
{':': -4.13727, ' odd': -4.0541053, ' 0': -1.804919, ' zero': -4.4872103, ' even': -0.28955352}
{' Odd': -3.5896947, ' 1': -4.7116966, ' odd': -0.2786447, ' 0': -3.695801, ' even': -1.8301554}
{' even': -0.38638568, ' 0': -1.545389, ' odd': -3.0046222, ':': -4.6337247, ' Even': -4.732165}
{' 1': -3.9592943, ' odd': -0.27952504, ' 0': -2.0629551, ' zero': -4.214908, ' even': -3.548029}
{' ': -4.448562, ' 1': -4.0963497, ' odd': -3.323662, ' 0': -1.1933177, ' even': -0.5387251}
{' Odd': -4.246386, ' 1': -3.3290372, ' odd': -0.28209347, ' 0': -2.8342316, ' even': -2.1478407}
{':': -3.8399765, ' 1': -1.3253491, ' odd': -2.1303084, ' 0': -0.8099587, ' even': -2.378203}
{' ': -4.5292325, ' Even': -4.7697797, ' 1': -4.735205, ' 0': -1.7894424, ' even': -0.2709737}
{' odd': -0.12100376, ' even': -3.5189424, ' 0': -3.751946, ' 1': -3.7933404, ' Odd': -3.8790376}
{':': -4.4884562, ' 1': -4.7547092, ' 0': -0.6814489, ' zero': -4.3077464, ' even': -0.85931575}
{' odd': -0.22518243, ' even': -2.4774501, ' 0': -3.0464172, ' 1': -3.532833, ' Odd': -3.638482}
{':': -4.771991, ' Even': -4.9298973, ' odd': -2.788992, ' 0': -1.6744673, ' even': -0.35878587}
{' odd': -0.43123627, ' even': -1.287157, ' Odd': -3.8102663, ' 0': -3.8972616, ' 1': -5.350949}
{' ': -4.4439487, ' Even': -4.8261304, ' odd': -2.3263297, ' 0': -2.5252643, ' even': -0.26464126}
{' Odd': -3.7937257, ' 1': -4.5564833, ' odd': -0.1665389, ' 0': -4.638783, ' even': -2.2916408}
{' 0': -0.8169681, ' 1': -1.3991157, ' odd': -1.8540441, ' even': -2.374649, ':': -4.37438}
{':': -3.975626, ' 1': -4.1058593, ' 0': -0.6835651, ' zero': -3.8504047, ' even': -0.9233074}
{' Odd': -3.4822612, ' 1': -3.57206, ' odd': -0.16558212, ' 0': -3.3063207, ' even': -3.143963}
{' even': -0.6618244, ' 0': -0.9559224, ' odd': -3.6191578, ' 1': -4.0217867, ' zero': -4.362446}
{' odd': -0.28454942, ' even': -1.9411236, ' 0': -3.5729196, ' Odd': -3.6156144, ' 1': -4.176618}
{':': -4.65319, ' odd': -3.0923772, ' 0': -1.7940756, ' zero': -4.974705, ' even': -0.30753192}
{' Odd': -4.5235467, ' 1': -4.1043143, ' odd': -0.21800688, ' 0': -2.6377017, ' even': -3.1894774}
{' ': -5.00746, ' Even': -4.99412, ' odd': -3.5109696, ' 0': -3.3473954, ' even': -0.10306042}
{' odd': -0.19631203, ' even': -2.2307034, ' 0': -3.6819918, ' Odd': -4.0447206, ' 1': -4.1516266}
{':': -3.1675303, ' 1': -1.3423103, ' odd': -1.542762, ' 0': -1.2781672, ' even': -2.2327332}
{':': -4.326849, ' 1': -3.2536285, ' 0': -0.49594462, ' zero': -3.4887068, ' even': -1.2935569}
{' Odd': -3.6080246, ' 1': -4.1005154, ' odd': -0.26597163, ' 0': -3.496528, ' even': -2.2032943}
{':': -4.364309, ' odd': -4.108793, ' 0': -1.2127633, ' zero': -4.2380767, ' even': -0.4844852}
{' odd': -0.25013056, ' even': -2.352924, ' Odd': -3.0758111, ' 0': -3.1266866, ' 1': -4.0379415}
{' ': -4.6534767, ':': -4.360551, ' odd': -3.3208685, ' 0': -0.9309369, ' even': -0.68561566}
{' Odd': -3.8069625, ' 1': -5.6885753, ' odd': -0.16353376, ' 0': -4.9180746, ' even': -2.2446752}
{' even': -0.10476544, ' 0': -2.8922677, ' odd': -4.5202117, ' Even': -4.561647, ':': -5.3062987}
{' Odd': -4.421591, ' 1': -3.6017272, ' odd': -0.13270949, ' 0': -3.4253416, ' even': -4.210395}
{' 0': -0.85230786, ' 1': -1.0732313, ' odd': -2.1532333, ' even': -2.9008956, ':': -4.3959546}
{':': -3.9857142, ' 1': -4.004549, ' 0': -1.4017537, ' zero': -4.01033, ' even': -0.44447643}
{' odd': -0.28480867, ' even': -2.041904, ' Odd': -3.5229228, ' 0': -3.788219, ' left': -4.1154695}
{' even': -0.6208908, ' 0': -0.9903758, ':': -4.134454, ' zero': -4.37018, ' odd': -4.400731}
{' Odd': -3.621519, ' 1': -3.6108646, ' odd': -0.26746953, ' 0': -2.9774563, ' even': -2.1859019}
{'\n': -4.489878, ':': -4.2530317, ' odd': -3.0505857, ' 0': -1.0188322, ' even': -0.6589632}
{' Odd': -4.4632154, ' 1': -5.160595, ' odd': -0.18812583, ' 0': -4.0675488, ' even': -2.1112616}
{':': -4.6166334, ' Even': -4.4150863, ' odd': -3.2999852, ' 0': -2.7883475, ' even': -0.16562699}
{' Odd': -3.0572636, ' 1': -3.3341393, ' odd': -0.2895665, ' 0': -3.0153534, ' even': -2.3508391}
{':': -3.9369876, ' 1': -0.9909342, ' odd': -1.7261027, ' 0': -1.1652753, ' even': -2.8054235}
{':': -4.335523, ' 1': -4.050637, ' 0': -1.6854517, ' zero': -4.546233, ' even': -0.3101686}
{' Odd': -3.352951, ' 1': -3.8554535, ' odd': -0.26415154, ' 0': -2.7037687, ' even': -2.4701824}
{' even': -0.09835281, ' 0': -2.7472463, ' zero': -4.8657284, ' odd': -5.6096816, ' Even': -5.895874}
{' Odd': -3.0227585, ' 1': -3.9795778, ' odd': -0.2204227, ' 0': -4.173725, ' even': -2.3228722}
{' Odd': -4.586364, ':': -4.214821, ' odd': -2.1557379, ' 0': -2.0908566, ' even': -0.377699}
{' Odd': -3.3671725, ' Even': -5.2167406, ' odd': -0.5515856, ' 0': -3.6242878, ' even': -1.1171001}
{' ': -4.3706117, ' Even': -4.4079294, ' odd': -3.332887, ' 0': -2.8154047, ' even': -0.17148374}
{' odd': -0.1031744, ' even': -2.999445, ' Odd': -4.0306025, ' 0': -4.532834, ' 1': -4.6167326}
{':': -4.333323, ' 1': -0.9016596, ' odd': -2.1502073, ' 0': -0.97391284, ' even': -3.276217}
{':': -4.3688183, ' Even': -4.801555, ' 0': -1.1298532, ' zero': -3.8874214, ' even': -0.5111302}
{' Odd': -3.9373128, ' 1': -3.850458, ' odd': -0.18058577, ' 0': -3.0706365, ' even': -2.773943}
{' even': -0.6660663, ' 0': -1.2495759, ' odd': -2.2360744, ' 1': -3.5135841, ' zero': -4.3597956}
{' Odd': -4.1788216, ' 1': -4.433057, ' odd': -0.3735546, ' 0': -3.7328837, ' even': -1.4334652}
{' even': -0.1935563, ' odd': -2.5132947, ' 0': -2.8845723, ' Even': -4.9094243, ':': -5.0619955}
{' Odd': -3.3582442, ' 1': -5.369357, ' odd': -0.34730822, ' 0': -4.1553044, ' even': -1.5485486}
{' even': -0.22970122, ' odd': -2.1004534, ' 0': -3.3186755, ' ': -4.447626, ' Even': -4.802557}
{' Odd': -4.0314713, ' 1': -4.344571, ' odd': -0.09014044, ' 0': -4.623621, ' even': -3.3076086}
{':': -4.233721, ' 1': -1.2508373, ' odd': -1.9993609, ' 0': -0.7980423, ' even': -2.7627363}
{' even': -0.21858706, ' 0': -2.0950527, ':': -4.2048073, ' 1': -4.349658, ' Even': -4.766302}
{' Odd': -3.1293373, ' 1': -3.7061357, ' odd': -0.26105237, ' 0': -2.9197645, ' even': -2.874033}
{' even': -0.6145236, ' 0': -1.0379893, ' odd': -3.7354293, ' 1': -4.214392, ' zero': -4.278813}
{' Odd': -4.127615, ' 1': -3.8554113, ' odd': -0.434228, ' 0': -2.6055682, ' even': -1.5029602}
{' even': -0.053460497, ' odd': -3.7498276, ' 0': -4.2650967, ' Even': -5.5250244, ' an': -6.1416287}
{' Odd': -3.879308, ' an': -4.856325, ' odd': -0.19520985, ' 0': -4.614817, ' even': -2.1327603}
{' ': -4.404053, ' Even': -4.8314953, ' odd': -3.0181546, ' 0': -2.4469018, ' even': -0.20016336}
{' Odd': -3.534197, ' 1': -3.9505246, ' odd': -0.14402705, ' 0': -4.4288926, ' even': -2.7457867}
{':': -3.5484977, ' 1': -1.4394699, ' odd': -1.4123789, ' 0': -1.7265116, ' even': -1.415174}
{' 0': -0.315732, ' even': -1.8606623, ' 1': -2.8153684, ' zero': -3.9803588, ':': -4.6590195}
{' odd': -0.20838559, ' even': -2.6124897, ' 0': -3.3594618, ' Odd': -3.5042067, ' 1': -4.056757}
{' Even': -4.519637, ' odd': -3.4281247, ' 0': -1.712332, ' zero': -4.694454, ' even': -0.31584963}
{' odd': -0.23170502, ' even': -2.2889206, ' 0': -3.1176472, ' Odd': -3.4839833, ' 1': -4.1019773}
{' an': -5.840016, ' odd': -4.2269816, ' 0': -3.6434166, ' zero': -5.3045173, ' even': -0.062318254}
{' odd': -0.4016122, ' even': -1.4368277, ' Odd': -3.3557699, ' 0': -3.773938, ' 1': -4.9325447}
{' ': -4.7016945, ' Even': -4.3063574, ' odd': -3.2074606, ' 0': -2.340096, ' even': -0.21801601}
{' Odd': -3.6620107, ' 1': -3.7858927, ' odd': -0.105239466, ' 0': -4.346108, ' even': -3.5638223}
{':': -3.7036827, ' 1': -1.3745003, ' odd': -1.5236034, ' 0': -1.183815, ' even': -2.0523672}
{':': -3.654907, ' Even': -3.761791, ' odd': -3.2707014, ' 0': -1.9163752, ' even': -0.3700591}
{' Odd': -4.4315715, ' 1': -3.7045715, ' odd': -0.061084386, ' 0': -4.9611716, ' even': -4.933022}
{' Even': -4.7626886, ' odd': -2.887819, ' 0': -1.9481208, ' zero': -4.6706185, ' even': -0.28911856}
{' odd': -0.23528627, ' even': -2.3712745, ' 0': -3.0459692, ' 1': -3.3593266, ' Odd': -3.8817227}
{' even': -0.4872766, ' odd': -1.8257661, ' 0': -1.8979278, ' 1': -4.399051, ':': -4.540176}
{' odd': -0.27037603, ' even': -2.1450698, ' 0': -3.213147, ' Odd': -3.272411, ' 1': -4.3066297}
{' even': -0.12728667, ' odd': -3.202604, ' 0': -3.4184682, ' ': -4.312927, ' Even': -5.1320586}
{' odd': -0.10130356, ' even': -3.0773966, ' 1': -4.2216287, ' Odd': -4.33715, ' 0': -4.431723}
{':': -4.1772337, ' 1': -1.1969874, ' odd': -2.082227, ' 0': -0.8191417, ' even': -2.728986}
{':': -4.29069, ' 1': -3.721285, ' 0': -0.5536268, ' zero': -3.406429, ' even': -1.1423948}
{' Odd': -3.879197, ' 1': -3.542747, ' odd': -0.21035935, ' 0': -2.8199694, ' even': -2.7919497}
{' even': -0.6867112, ' 0': -0.91358644, ' odd': -3.936357, ' 1': -4.318501, ' zero': -4.3731217}
{' odd': -0.35107732, ' even': -1.98236, ' 0': -2.969621, ' Odd': -3.2457237, ' 1': -3.4275286}
{' even': -0.19250749, ' 0': -2.6871123, ' odd': -2.8310752, ' Even': -4.549717, ':': -4.7715297}
{' odd': -0.4982598, ' even': -1.1578411, ' Odd': -3.579998, ' 0': -3.9815722, ' 1': -5.4617157}
{' even': -0.13049479, ' 0': -3.3444963, ' odd': -3.385901, ' Even': -4.304727, ' ': -4.498365}
{' odd': -0.21917298, ' even': -2.696033, ' Odd': -3.0970025, ' 1': -3.4559493, ' 0': -3.5093827}
