{' Odd': -5.348096, ' 1': -5.963485, ' "': -5.626325, ' odd': -0.31360403, ' even': -1.3776909}
{' Odd': -5.4126716, ' 1': -5.836877, ' "': -7.659615, ' odd': -0.016434362, ' even': -4.916681}
{' odd': -0.17702982, ' even': -1.9230396, ' Odd': -4.8945494, ' 1': -5.6521235, ' 0': -6.48565}
{' an': -8.909616, ' Even': -7.069065, ' "': -7.5451875, ' odd': -6.358837, ' even': -0.003984361}
{' Odd': -4.7250414, ':': -8.029709, ' 1': -5.345864, ' odd': -0.04105955, ' even': -3.698661}
{' ': -8.88761, ' Even': -7.4885335, ' "': -9.028089, ' odd': -8.574857, ' even': -0.0014077919}
{' Odd': -4.855319, ' 1': -4.3703675, ' "': -7.1203136, ' odd': -0.09331223, ' even': -2.7402601}
{' an': -8.205626, ' Even': -6.937198, ' "': -8.281879, ' odd': -7.7075224, ' even': -0.0027644283}
{' odd': -0.024177814, ' even': -4.4255743, ' 1': -5.0340624, ' Odd': -5.686971, ' an': -7.181253}
{' ': -8.107401, ' an': -7.756378, ' Even': -7.28324, ' odd': -8.095163, ' even': -0.0024694453}
{' odd': -0.0995056, ' even': -2.516677, ' Odd': -4.5640974, ' 1': -6.8782167, ':': -7.661096}
{' odd': -0.28291166, ' even': -1.58439, ' Odd': -4.2948813, ' 0': -4.773039, ':': -5.1112757}
{':': -8.45674, ' Even': -6.658916, ' "': -8.405338, ' odd': -6.255996, ' even': -0.004480765}
{' odd': -0.03536264, ' even': -4.080149, ' Odd': -4.3702984, ' 1': -6.3592777, ' "': -6.7607055}
{' Even': -6.333268, ' "': -8.593192, ' EVEN': -8.425172, ' odd': -8.093318, ' even': -0.0031306462}
{' odd': -0.052892804, ' even': -3.118889, ' 1': -5.7740593, ' Odd': -6.1650906, ' "': -7.595888}
{' an': -8.2927065, ' Even': -6.7534704, ' EVEN': -8.937378, ' odd': -7.4243994, ' even': -0.0027460195}
{' Odd': -5.6459684, ' 1': -5.960492, 'odd': -8.892722, ' odd': -0.010349738, ' even': -5.6540575}
{' ': -7.6984277, ' an': -7.325146, ' Even': -6.402878, ' odd': -7.221935, ' even': -0.004635188}
{' odd': -0.013046028, ' Odd': -5.0135055, ' even': -5.540075, ' 1': -6.465822, 'odd': -8.601229}
{' Odd': -5.264238, ' 1': -5.752794, ' "': -6.01281, ' odd': -0.36286893, ' even': -1.2531068}
{' Even': -6.2539563, ' "': -7.643348, ' EVEN': -8.103921, ' odd': -5.502033, ' even': -0.008372531}
{' Odd': -4.8665586, ' an': -7.308862, ' 1': -6.089316, ' odd': -0.05093427, ' even': -3.3049338}
{' ': -8.508552, ' Even': -6.6467476, ' "': -8.605449, ' odd': -8.655872, ' even': -0.0023660795}
{' odd': -0.14806703, ' even': -2.0830874, ' Odd': -5.304136, ' 1': -5.5788574, ' "': -7.1243086}
{' even': -0.0027306585, ' Even': -6.777415, ' odd': -7.4360023, ' an': -8.269104, ' EVEN': -8.943011}
{' Odd': -6.2997656, ' an': -8.330348, ' 1': -6.375848, ' odd': -0.009338593, ' even': -5.3727617}
{' even': -0.0030776116, ' an': -7.039174, ' Even': -7.0761113, ' odd': -7.904593, ' ': -8.236499}
{' Odd': -5.188323, ' an': -7.0527663, ' 1': -6.0778646, ' odd': -0.023160238, ' even': -4.355996}
{' Odd': -5.346208, ' 1': -5.960401, ' odd': -0.2666517, ' 0': -5.731614, ' even': -1.5386872}
{' even': -0.016819496, ' odd': -5.0939136, ' "': -5.5412507, ' Even': -6.005316, ':': -7.086966}
{' Odd': -4.4690022, ':': -7.183889, ' 1': -5.941913, ' odd': -0.061289564, ' even': -3.1779914}
{' even': -0.0012900336, ' Even': -7.5698667, ' odd': -8.345392, ' ': -8.839791, ' 0': -9.471208}
{' Odd': -4.70199, ':': -7.022112, ' 1': -4.3604813, ' odd': -0.07956156, ' even': -2.994259}
{' even': -0.0024473355, ' Even': -7.149129, ' odd': -7.4226913, ' an': -7.910717, ' ': -8.417549}
{' odd': -0.018872045, ' even': -4.875611, ' 1': -5.1225553, ' Odd': -5.584293, ' an': -8.21264}
{' even': -0.005175529, ' Even': -6.1565604, ' an': -7.124993, ' "': -7.1868777, ' odd': -7.996242}
{' Odd': -5.1870117, ' an': -7.525866, ' 1': -6.110667, ' odd': -0.030931585, ' even': -3.8694975}
{' odd': -0.4337123, ' even': -1.1044352, ' Odd': -4.7323675, ':': -5.9926815, ' 1': -6.1611857}
{' an': -8.102844, ' Even': -6.9217834, ' "': -6.679624, ' odd': -5.0402303, ' even': -0.010650067}
{' Odd': -4.50104, ' 1': -7.14448, ' "': -6.4816, ' odd': -0.033448126, ' even': -4.061692}
{' even': -0.0023917714, ' Even': -6.5917263, ' odd': -8.454344, ' EVEN': -8.494101, ' ': -8.977142}
{' odd': -0.04037466, ' even': -3.6889207, ' 1': -4.5004396, ' Odd': -6.3357654, ' "': -8.230335}
{' even': -0.0029965402, ' Even': -6.5501633, ' odd': -7.8428135, ' EVEN': -8.118038, ' an': -8.468153}
{' Odd': -5.963317, ' an': -7.628582, ' 1': -6.2646947, ' odd': -0.013302948, ' even': -4.913739}
{':': -8.0508175, ' an': -7.978093, ' Even': -6.670676, ' odd': -6.5100675, ' even': -0.0043845545}
{' odd': -0.024179706, ' even': -4.183029, ' Odd': -5.4099636, ' 1': -5.9397573, ' "': -7.75757}
{' odd': -0.283825, ' even': -1.467808, ' Odd': -5.262594, ' 1': -5.801454, ' "': -6.3835826}
{':': -7.244327, ' Even': -6.296273, ' EVEN': -7.4993677, ' odd': -5.692052, ' even': -0.008212306}
{' Odd': -4.3809285, ':': -7.672807, ' 1': -5.8357334, ' odd': -0.042366374, ' even': -3.7592812}
{' ': -8.740588, ' Even': -6.9786158, ' "': -8.100021, ' odd': -8.339525, ' even': -0.002145341}
{' odd': -0.021534974, ' even': -4.499173, ' 1': -5.1907854, ' Odd': -5.6726923, ' ': -8.24702}
{' ': -8.593707, ' Even': -7.0418324, ' EVEN': -8.4794855, ' odd': -7.511385, ' even': -0.0025475468}
{' Odd': -5.1524653, ' ': -8.291059, ' 1': -5.280647, ' odd': -0.016688818, ' even': -5.421788}
{' even': -0.008208277, ' Even': -6.0606527, ':': -6.4894705, ' an': -6.7695484, ' odd': -6.800929}
{' Odd': -4.4674044, ' ': -7.8726916, ' 1': -6.0878015, ' odd': -0.07047964, ' even': -2.9576216}
{' Odd': -5.0566564, ' 1': -5.852974, ' odd': -0.29476205, ' 0': -5.4488144, ' even': -1.4530356}
{' even': -0.009559302, ' Even': -5.818814, ' odd': -5.8355856, ':': -7.0762753, ' "': -7.238569}
{' Odd': -4.8878736, ' an': -7.9774547, ' 1': -5.553183, ' odd': -0.029652838, ' even': -4.155427}
{' Even': -6.5577226, ' "': -8.217006, ' EVEN': -8.835029, ' odd': -8.445777, ' even': -0.002664557}
{' Odd': -6.1834083, ' 1': -5.635399, ' "': -7.222404, ' odd': -0.024768401, ' even': -4.104474}
{' an': -7.010984, ' Even': -6.622228, ' "': -7.9301257, ' odd': -6.9862037, ' even': -0.0047818488}
{' odd': -0.020097623, ' even': -4.4300895, ' Odd': -5.3138423, ' 1': -6.544776, ' an': -7.9175787}
{' ': -8.094148, ' an': -7.798171, ' Even': -7.061508, ' odd': -8.068329, ' even': -0.0026065279}
{' Odd': -4.2130103, ' 1': -6.0683937, ' "': -6.399648, ' odd': -0.029536739, ' even': -4.8835664}
{' Odd': -5.3843794, ' 1': -5.187241, ' odd': -0.3443987, ' 0': -6.3304467, ' even': -1.292431}
{' an': -8.499394, ' Even': -6.8898616, ' "': -7.5787444, ' odd': -6.661748, ' even': -0.0038207064}
{' odd': -0.040645655, ' even': -3.655444, ' Odd': -4.66949, ' "': -6.5264125, ' 1': -7.0737786}
{' ': -8.629442, ' Even': -7.2158327, ' odd': -8.126273, ' 0': -8.930799, ' even': -0.0016827573}
{' Odd': -5.324606, ' ': -7.3162513, ' 1': -4.5092416, ' odd': -0.088727586, ' even': -2.7210345}
{' an': -7.6804786, ' Even': -6.974124, ' "': -8.42574, ' odd': -7.3720098, ' even': -0.0027971233}
{' odd': -0.019247733, ' even': -4.8757157, ' Odd': -5.152636, ' 1': -5.51649, ' an': -7.70102}
{':': -6.9460616, ' an': -7.19832, ' Even': -6.1156774, ' odd': -6.9429383, ' even': -0.006740449}
{' Odd': -4.456156, ' 1': -5.886612, ' "': -8.213293, ' odd': -0.025369918, ' even': -4.677311}
{' Odd': -5.0727925, ' 1': -6.0474133, ' odd': -0.25689012, ' 0': -6.679404, ' even': -1.5486459}
{':': -7.113437, ' Even': -5.694567, ' EVEN': -7.309179, ' odd': -5.477373, ' even': -0.011214281}
{' Odd': -4.853309, ' 1': -6.8429756, ' "': -6.856497, ' odd': -0.030837962, ' even': -3.9911325}
{' Even': -6.815339, ' "': -8.86282, ' EVEN': -8.662596, ' odd': -7.937636, ' even': -0.00232802}
{' odd': -0.064321086, ' even': -3.1170037, ' 1': -4.4187675, ' Odd': -5.468297, ' ': -7.9746413}
{' even': -0.0017914869, ' odd': -7.683008, ' an': -7.7066293, ' Even': -8.032331, ' ': -8.856801}
{' Odd': -5.1279225, ' ': -8.144562, ' 1': -5.0831704, ' odd': -0.023285603, ' even': -4.6559243}
{' ': -7.9358954, ' an': -7.774995, ' Even': -6.6862955, ' odd': -7.692071, ' even': -0.0030909441}
{' odd': -0.04385164, ' Odd': -3.8224962, ' even': -4.2326007, ' 1': -6.215374, ' "': -6.3357496}
{' Odd': -5.1961265, ' 1': -5.5980864, ' "': -6.440776, ' odd': -0.25329238, ' even': -1.5806869}
{':': -7.7707186, ' Even': -6.1581473, ' odd': -5.5197563, ' 0': -7.028676, ' even': -0.009497742}
{' odd': -0.04194895, ' even': -3.844935, ' Odd': -4.438368, ' 1': -5.9635725, ' "': -6.3344293}
{' even': -0.0026084408, ' Even': -6.5919747, ' "': -7.9668946, ' odd': -8.554416, ' EVEN': -8.753329}
{' odd': -0.09118395, ' even': -2.611972, ' Odd': -5.0296135, ' 1': -5.6510572, ':': -7.243368}
{' even': -0.0017442558, ' Even': -7.3068748, ' odd': -7.7631087, ' an': -8.665611, ' ': -8.8126}
{' odd': -0.017715128, ' even': -4.8662124, ' Odd': -5.1707745, ' 1': -6.455137, ' an': -7.172938}
{':': -6.954979, ' Even': -6.1358013, ' EVEN': -7.587865, ' odd': -7.52664, ' even': -0.005308729}
{' odd': -0.039901253, ' even': -4.008591, ' Odd': -4.1360784, ' 1': -5.9490466, ' "': -7.540314}
{' odd': -0.33137688, ' even': -1.3312624, ' 1': -5.4316688, ' Odd': -5.557692, ':': -6.1940966}
{':': -8.280598, ' Even': -6.6667504, ' "': -6.897066, ' odd': -5.411154, ' even': -0.008222037}
{' Odd': -5.185712, ' ': -8.11958, ' 1': -5.831578, ' odd': -0.03090884, ' even': -3.9002476}
{' even': -0.0014902842, ' Even': -7.5103006, ' "': -8.620859, ' odd': -8.817364, ' ': -8.970151}
{' odd': -0.13215977, ' even': -2.181871, ' Odd': -5.3979697, ' 1': -5.854838, ':': -7.2793145}
{' an': -8.259455, ' Even': -6.7872596, ' EVEN': -8.429033, ' odd': -7.055513, ' even': -0.0031771066}
{' odd': -0.016650941, ' even': -4.5598774, ' Odd': -5.786556, ' 1': -6.501203, ' an': -7.4523196}
{' even': -0.004230826, ' Even': -6.638255, ' odd': -7.1406183, ':': -7.5531483, ' ': -7.6344614}
{' Odd': -4.4822974, ' 1': -6.2405, ' "': -6.998706, ' odd': -0.03270297, ' even': -4.1128235}
{' odd': -0.19424212, ' even': -1.8788697, ' Odd': -4.6630673, ' 1': -5.125254, ' 0': -6.010031}
{' an': -8.651214, ' Even': -6.9363055, ' "': -7.82827, ' odd': -6.689496, ' even': -0.0036253687}
{' Odd': -4.2704525, ':': -7.154871, ' 1': -5.8761077, ' odd': -0.04791662, ' even': -3.6307414}
{':': -8.727556, ' Even': -6.4239564, ' EVEN': -7.979146, ' odd': -7.886019, ' even': -0.003174835}
{' Odd': -5.6616473, ' ': -7.984842, ' 1': -4.3608274, ' odd': -0.066451035, ' even': -3.079009}
{' even': -0.0029252837, ' Even': -7.0795264, ' odd': -7.427205, ' an': -7.457028, ' "': -8.35649}
{' odd': -0.0074431463, ' Odd': -5.8143425, ' even': -6.0667267, ' 1': -6.501478, 'odd': -8.658783}
{' ': -7.9873075, ' an': -7.323146, ' Even': -7.058174, ' odd': -8.26317, ' even': -0.0028802087}
{' Odd': -4.066821, ' ': -7.9104395, ' 1': -4.8303514, ' odd': -0.040930692, ' even': -4.342631}
{' Odd': -4.3500686, ':': -5.3156204, ' 1': -5.8748875, ' odd': -0.23584208, ' even': -1.7153018}
{':': -7.6426053, ' Even': -6.1984324, ' "': -7.336493, ' odd': -5.148537, ' even': -0.011029188}
{' odd': -0.04290622, ' even': -3.3615975, ' Odd': -5.693411, ' 1': -6.3784375, ' "': -7.566779}
{' ': -8.440284, ' Even': -6.6117477, ' "': -8.143585, ' odd': -8.572822, ' even': -0.0025864474}
{' odd': -0.13772441, ' even': -2.352221, ' 1': -3.8430858, ' Odd': -4.86554, ' ': -7.290898}
{' ': -8.672239, ' an': -8.611748, ' Even': -7.9030523, ' odd': -8.228152, ' even': -0.001206841}
{' Odd': -5.5221467, ' 1': -5.7948594, 'odd': -8.898425, ' odd': -0.010087615, ' even': -6.060751}
{' even': -0.0034022601, ' Even': -6.7548575, ' an': -7.232502, ' odd': -7.9203053, ' ': -7.9949794}
{' Odd': -4.6942105, ' 1': -5.8234124, ' "': -7.4543214, ' odd': -0.06278856, ' even': -3.0890548}
{' Odd': -4.3320637, ':': -4.433407, ' odd': -0.36091322, ' 0': -5.5461717, ' even': -1.353588}
{' an': -7.6965504, ' Even': -6.1473675, ' "': -6.1959767, ' odd': -5.8758583, ' even': -0.009157758}
{' Odd': -6.2116537, ' 1': -5.8595223, ' "': -7.952633, ' odd': -0.031755812, ' even': -3.6952705}
{' ': -8.917454, ' Even': -6.2770104, ' EVEN': -8.244742, ' odd': -8.497805, ' even': -0.0029895464}
{' Odd': -5.5638003, ' 1': -4.330155, ' odd': -0.13622923, ' 0': -7.6033883, ' even': -2.2266643}
{' ': -8.401371, ' an': -8.417814, ' Even': -7.1959176, ' odd': -6.719544, ' even': -0.0029585194}
{' Odd': -6.256121, ' an': -8.363258, ' 1': -6.3098555, ' odd': -0.008856978, ' even': -5.5274277}
{':': -7.542542, ' an': -8.05069, ' Even': -6.6027675, ' odd': -7.8211503, ' even': -0.0034475331}
{' Odd': -5.2216334, ' an': -7.118148, ' 1': -5.7613087, ' odd': -0.028002158, ' even': -4.0806108}
{' odd': -0.18712462, ' even': -1.923302, ' Odd': -4.582476, ' 1': -5.061378, ':': -5.986739}
{':': -7.428536, ' Even': -6.3597927, ' "': -6.592814, ' odd': -5.2221723, ' even': -0.011095662}
{' Odd': -5.7668943, ' 1': -6.062503, ' "': -7.258624, ' odd': -0.020491658, ' even': -4.36115}
{':': -8.631505, ' Even': -6.4687614, ' EVEN': -8.202342, ' odd': -7.987633, ' even': -0.0031054153}
{' Odd': -5.1435924, ' 1': -5.445412, ' "': -7.509664, ' odd': -0.04945172, ' even': -3.3227153}
{' even': -0.0029384312, ' Even': -6.7487793, ' odd': -7.5504003, ' EVEN': -7.978471, ':': -8.513644}
{' Odd': -4.883328, ' ': -8.207325, ' 1': -5.9774094, ' odd': -0.027496895, ' even': -4.161795}
{':': -6.53802, ' Even': -5.882258, ' EVEN': -7.573448, ' odd': -7.704989, ' even': -0.006760553}
{' odd': -0.048661858, ' even': -3.574722, ' Odd': -4.3041778, ' 1': -5.795162, ' "': -7.3456793}
{' Odd': -4.5356426, ':': -5.397858, ' odd': -0.2766289, ' 0': -5.2972317, ' even': -1.566131}
{' an': -8.422492, ' Even': -6.6941457, ' "': -7.477353, ' odd': -6.2974644, ' even': -0.004967946}
{' odd': -0.07666061, ' even': -2.889584, ' Odd': -4.5120754, ' 1': -5.93899, ' "': -6.9732804}
{':': -8.647065, ' Even': -6.4969306, ' EVEN': -7.8578844, ' odd': -7.7446632, ' even': -0.003236007}
{' Odd': -4.7332034, ' 1': -5.034792, ' "': -6.7668777, ' odd': -0.04359247, ' even': -3.7226217}
{' ': -8.401371, ' an': -8.417814, ' Even': -7.1959176, ' odd': -6.719544, ' even': -0.0029585194}
{' Odd': -5.006131, ' an': -7.938885, ' 1': -7.1085544, ' odd': -0.022584256, ' even': -4.324072}
{' even': -0.0025385227, ' Even': -7.43156, ' an': -7.5943127, ' "': -7.8098383, ' ': -8.274846}
{' odd': -0.039150357, ' Odd': -4.10464, ' even': -4.2407513, ' 1': -5.4250937, ' "': -7.3659086}
{' Odd': -4.600835, ':': -5.42718, ' odd': -0.25573224, ' 0': -5.3520865, ' even': -1.6350294}
{' Even': -6.3534513, ' "': -7.629751, ' odd': -5.533597, ' 0': -7.8685656, ' even': -0.008151065}
{' odd': -0.0186947, ' even': -4.4070296, ' Odd': -5.996873, ' 1': -6.284461, ' "': -7.2559958}
{' ': -8.333605, ' Even': -6.3527737, ' EVEN': -8.130583, ' odd': -7.8616996, ' even': -0.0035311535}
{' odd': -0.07689644, ' even': -2.8485484, ' 1': -5.0119815, ' Odd': -5.1988196, ' "': -6.714225}
{' an': -7.4536414, ' Even': -6.6306624, ' EVEN': -7.760453, ' odd': -7.1163507, ' even': -0.004221667}
{' odd': -0.011871937, ' 1': -5.477367, ' Odd': -5.5127225, ' even': -5.8852487, ' an': -8.666788}
{' even': -0.002361958, ' Even': -7.0788054, ' odd': -7.59914, ' ': -8.290427, ':': -8.407574}
{' Odd': -5.3845887, ' an': -7.18974, ' 1': -6.0070815, ' odd': -0.032745097, ' even': -3.7626283}
{' Odd': -4.443449, ' "': -5.299694, ' odd': -0.25866094, ' 0': -5.0179267, ' even': -1.6710765}
{':': -7.1562157, ' Even': -6.231042, ' "': -6.7261147, ' odd': -5.4829116, ' even': -0.010337334}
{' odd': -0.039095562, ' even': -3.7422154, ' Odd': -4.5731206, ' "': -6.608362, ' 1': -7.2199445}
{' Even': -6.481125, ' "': -8.138453, ' EVEN': -8.512386, ' odd': -8.334127, ' even': -0.0030288862}
{' Odd': -6.672919, ' ': -8.06359, ' 1': -5.587119, ' odd': -0.06887043, ' even': -2.8141649}
{' an': -8.045303, ' Even': -6.650858, ' EVEN': -7.856393, ' odd': -7.8070803, ' even': -0.003281215}
{' odd': -0.024306847, ' even': -4.2297196, ' Odd': -5.079331, ' 1': -6.3493195, ' an': -8.343771}
{':': -6.961254, ' an': -7.330662, ' Even': -6.506217, ' odd': -7.148262, ' even': -0.0056652077}
{' Odd': -3.9765487, ' ': -7.526992, ' 1': -5.259027, ' odd': -0.06473712, ' even': -3.3218038}
{' odd': -0.30565816, ' even': -1.3967397, ' 1': -5.396436, ' Odd': -5.5425687, ':': -6.443781}
{' ': -8.55057, ' Even': -7.001608, ' "': -7.621475, ' odd': -6.3190947, ' even': -0.004442207}
{' Odd': -5.807655, ' an': -7.5741706, ' 1': -6.4750595, ' odd': -0.04319365, ' even': -3.324737}
{' ': -8.299467, ' Even': -6.9924083, ' "': -8.672764, ' odd': -6.8421254, ' even': -0.0031317228}
{' Odd': -5.263432, ' ': -8.003946, ' 1': -4.926105, ' odd': -0.046199538, ' even': -3.4670408}
{' an': -7.8636904, ' Even': -6.973354, ' "': -8.320207, ' odd': -8.201521, ' even': -0.0023525187}
{' Odd': -5.2529635, ' an': -7.898601, ' 1': -6.8414187, ' odd': -0.026922751, ' even': -3.9808335}
{':': -6.794391, ' Even': -6.083029, ' EVEN': -7.6005406, ' odd': -7.526667, ' even': -0.0056668865}
{' odd': -0.029583396, ' even': -4.0571294, ' Odd': -5.086716, ' 1': -5.801954, ' an': -6.846453}
{' Odd': -4.3207297, ' 1': -5.19659, ' odd': -0.24181318, ' 0': -5.1134763, ' even': -1.7485979}
{' even': -0.0112572005, ' odd': -5.526554, ' Even': -5.643068, ' EVEN': -7.006684, ':': -7.0797577}
{' Odd': -4.545578, ':': -8.090938, ' 1': -5.833452, ' odd': -0.04900741, ' even': -3.435625}
{' ': -8.619388, ' Even': -6.5753846, ' EVEN': -8.394464, ' odd': -7.847109, ' even': -0.0026450744}
{' Odd': -6.4582105, ' ': -8.097237, ' 1': -4.2098274, ' odd': -0.0553866, ' even': -3.334897}
{' even': -0.0012432437, ' Even': -8.0128145, ' odd': -8.227981, ' "': -8.745009, ' an': -8.826631}
{' Odd': -5.0901, ' an': -8.339039, ' 1': -6.521551, ' odd': -0.016815739, ' even': -4.8689947}
{' ': -7.6696854, ' an': -7.279967, ' Even': -5.968539, ' odd': -6.7165365, ' even': -0.0062134215}
{' Odd': -4.3214364, ' 1': -7.015225, ' "': -6.653984, ' odd': -0.03996825, ' even': -3.8462527}
{' odd': -0.21762908, ' even': -1.7801845, ' Odd': -4.4655137, ' "': -5.354748, ':': -6.1203804}
{':': -7.194789, ' Even': -6.1602054, ' "': -6.830506, ' odd': -5.615348, ' even': -0.009523615}
{' Odd': -4.830446, ' 1': -7.1614423, ' "': -6.8413534, ' odd': -0.04267461, ' even': -3.5132499}
{' even': -0.0013189797, ' Even': -7.6738667, ' odd': -8.483506, ' "': -8.683467, ' ': -8.949226}
{' Odd': -5.057635, ' 1': -4.7329583, ' "': -7.493577, ' odd': -0.07175588, ' even': -2.9660351}
{' even': -0.00434157, ' Even': -6.4702845, ' odd': -7.420917, ' an': -7.6913223, ' EVEN': -7.785404}
{' odd': -0.02670467, ' even': -4.444093, ' Odd': -4.8938155, ' 1': -5.19025, ' ': -7.949249}
{' even': -0.0019305066, ' Even': -7.3964825, ' an': -7.9578395, ' odd': -8.347869, ' "': -8.401455}
{' odd': -0.03096005, ' even': -3.8249643, ' Odd': -5.3853617, ' 1': -6.217174, ' an': -7.235389}
{' odd': -0.23602304, ' even': -1.6760406, ' Odd': -4.944092, ' "': -5.665384, ' 1': -5.8098583}
{':': -8.376387, ' Even': -6.635931, ' odd': -5.868915, ' 0': -8.376411, ' even': -0.005656696}
{' Odd': -4.654409, ' ': -8.078104, ' 1': -6.204983, ' odd': -0.04457555, ' even': -3.5002294}
{' ': -8.530075, ' Even': -6.3125353, ' EVEN': -8.081751, ' odd': -8.107187, ' even': -0.0032717055}
{' Odd': -5.897671, ' ': -8.315821, ' 1': -4.526722, ' odd': -0.050196882, ' even': -3.3780415}
{' ': -8.882111, ' an': -8.246087, ' Even': -7.8549376, ' odd': -8.101771, ' even': -0.0014698085}
{' odd': -0.007816424, ' even': -5.740314, ' Odd': -5.923778, ' 1': -6.666747, 'odd': -8.772905}
{':': -7.7937355, ' an': -8.109319, ' Even': -6.7188044, ' odd': -7.5130296, ' even': -0.0033150618}
{' odd': -0.030579142, ' even': -4.1569705, ' Odd': -4.547187, ' 1': -6.0612164, ' ': -7.8886747}
{' Odd': -4.9446015, ':': -6.599752, ' 1': -6.0851574, ' odd': -0.23554572, ' even': -1.6404185}
{':': -6.5932446, ' Even': -5.808469, ' "': -6.672966, ' odd': -4.998843, ' even': -0.0153618995}
{' Odd': -5.010923, ' ': -8.04149, ' 1': -5.954826, ' odd': -0.029027507, ' even': -4.0517}
{' ': -8.652349, ' an': -8.93702, ' Even': -7.168158, ' odd': -8.474293, ' even': -0.001770112}
{' Odd': -6.504172, ' 1': -5.7121334, ' "': -7.7319283, ' odd': -0.05825882, ' even': -3.002158}
{':': -8.541725, ' Even': -6.804698, ' EVEN': -8.17696, ' odd': -7.1628547, ' even': -0.0031142037}
{' Odd': -5.254032, ' an': -8.435225, ' 1': -6.291019, ' odd': -0.01485439, ' even': -5.0132504}
{':': -7.1516943, ' an': -8.051515, ' Even': -6.5348635, ' odd': -7.17175, ' even': -0.004351087}
{' Odd': -4.249883, ' 1': -5.77953, ' "': -7.464139, ' odd': -0.053607643, ' even': -3.442117}
