{' Odd': -5.5208697, ':': -7.6079073, ' 1': -7.179145, ' odd': -0.029677026, ' even': -3.7682366}
{' even': -0.0041630673, ' Even': -6.4742103, ':': -7.252217, ' odd': -7.442969, ' "': -7.972124}
{' Odd': -5.0208983, ':': -7.4070244, ' 1': -7.2728953, ' odd': -0.019130467, ' even': -4.67481}
{' ': -9.6674, ':': -9.345984, ' Even': -7.113036, ' EVEN': -9.571404, ' even': -0.0012406164}
{' Odd': -5.6036396, ':': -7.611495, ' 1': -7.091367, ' odd': -0.008684408, ' even': -5.9090695}
{'\n': -8.698421, ':': -8.443592, ' Even': -8.241634, ' EVEN': -8.800584, ' even': -0.0011950243}
{' odd': -0.018143125, ' even': -4.3655477, ' Odd': -5.4461727, '\n': -8.476464, ' an': -8.852277}
{' even': -0.009735335, ' ': -5.692665, ':': -6.40436, '\n': -6.715854, ' an': -7.0971146}
{' Odd': -3.6336405, ':': -7.8357706, ' 1': -6.464042, ' odd': -0.034393758, ' even': -5.493134}
{' odd': -0.07930273, ' even': -2.7513664, ' Odd': -5.090284, ':': -6.186796, ' 1': -6.7620344}
{' even': -0.0008421639, ' Even': -7.7322693, ' odd': -9.179998, ':': -9.733169, '\n': -9.773792}
{'\n': -7.1928687, ' Odd': -6.3206773, ' ': -7.357049, ' 1': -4.850447, ' odd': -0.012058576}
{'\n': -9.925669, ' ': -9.201605, ' Even': -8.2353115, ' EVEN': -10.039516, ' even': -0.00061323267}
{' Odd': -5.5944357, ':': -8.066797, ' 1': -6.497088, ' odd': -0.012296538, ' even': -5.099481}
{' an': -9.876839, ' Even': -8.3006735, ' EVEN': -11.106789, ' odd': -11.156996, ' even': -0.00037875108}
{' Odd': -6.1938553, ' ': -8.5161, ' 1': -7.683542, ' odd': -0.0032428212, ' even': -8.544692}
{' even': -0.0014069555, ' Even': -6.9920816, ':': -8.975492, '\n': -9.221753, ' an': -9.517577}
{' Odd': -4.42731, ' ': -8.280182, ' 1': -6.2818375, ' odd': -0.028681988, ' even': -4.3209276}
{' Odd': -5.120039, ':': -6.791001, ' 1': -6.2388196, ' odd': -0.1264813, ' even': -2.2365925}
{' even': -0.002987516, ' odd': -7.245391, ' Even': -7.253673, ':': -7.90847, ' EVEN': -8.444412}
{' Odd': -5.1102667, ':': -7.5812445, ' 1': -6.5462255, ' odd': -0.010829787, ' even': -6.3673096}
{' even': -0.0010454879, ' Even': -7.3391147, '\n': -9.676775, ' an': -9.83765, ' EVEN': -9.842442}
{' Odd': -5.813391, ':': -7.934541, ' 1': -7.157289, ' odd': -0.017775556, ' even': -4.369584}
{' even': -0.0015419222, ':': -7.9365277, ' Even': -8.154194, ' ': -8.574548, ' odd': -8.62846}
{' odd': -0.007102723, ' 1': -5.8782363, ' Odd': -5.9802613, ':': -8.050146, ' even': -8.082072}
{' even': -0.0010041384, ' Even': -7.361443, ':': -9.069366, ' odd': -9.448356, ' an': -9.953312}
{'\n': -7.493368, ' Odd': -4.135614, ' 1': -4.223106, ' odd': -0.037555274, ' even': -5.423906}
{' Odd': -5.68199, ':': -6.5764065, ' 1': -5.7994657, ' odd': -0.25319955, ' even': -1.5503073}
{'\n': -7.6661143, ' ': -7.6215, ':': -7.5874705, ' odd': -7.0515018, ' even': -0.0037191736}
{' Odd': -5.902437, ' ': -8.701611, ' 1': -5.5445476, ' odd': -0.008900336, ' even': -6.5817895}
{' even': -0.0006302908, ' Even': -8.04432, '\n': -9.481253, ':': -9.551701, ' ': -9.823239}
{'\n': -7.255335, ' Odd': -5.5383477, ' 1': -4.352937, ' odd': -0.089058585, ' even': -2.7323327}
{' even': -0.0009984109, ' Even': -7.742084, ' an': -8.810383, '\n': -9.303768, ' odd': -9.540903}
{' odd': -0.0057032728, ' Odd': -5.957538, ' even': -6.046568, ' ': -8.550766, '\n': -8.710135}
{'\n': -9.514848, ':': -9.150018, ' Even': -7.554757, ' odd': -9.037006, ' even': -0.001011536}
{' Odd': -5.149975, ' 1': -7.597556, 'odd': -8.809587, ' odd': -0.007304501, ' even': -8.144658}
{' Odd': -4.893319, ':': -6.47869, ' an': -5.924385, ' odd': -0.26560518, ' even': -1.5272895}
{' even': -0.0018341213, ' odd': -7.615743, ' Even': -7.7487116, ':': -8.334848, '\n': -8.687192}
{' Odd': -5.529966, ' ': -7.4337435, ' 1': -7.5518575, ' odd': -0.008394531, ' even': -6.259267}
{' even': -0.0012687262, ' Even': -6.9863796, '\n': -8.889535, ' ': -9.739555, ':': -9.853952}
{' Odd': -5.726343, ':': -7.700418, ' 1': -6.050475, ' odd': -0.021433031, ' even': -4.277155}
{'\n': -8.96563, ' ': -9.419665, ' Even': -8.747497, ' odd': -7.536544, ' even': -0.0011650071}
{' Odd': -7.271366, ' ': -7.8278985, ' 1': -7.348484, ' odd': -0.0027074674, ' even': -7.87409}
{' even': -0.0035151246, ' Even': -6.1005235, ' an': -7.35904, ':': -8.493832, ' odd': -9.140235}
{'\n': -8.019112, ' Odd': -4.5974736, ' 1': -6.2789044, ' odd': -0.022207985, ' even': -4.716746}
{' Odd': -5.123696, ':': -7.1702886, ' an': -7.652208, ' odd': -0.1540943, ' even': -2.0085692}
{' even': -0.0018399127, ' Even': -7.2762113, ':': -8.149232, ' odd': -8.24665, ' "': -8.583993}
{' Odd': -4.24379, ':': -6.9628453, ' 1': -7.5790024, ' odd': -0.019619795, ' even': -6.3271503}
{' even': -0.0032227312, ' Even': -5.884406, ':': -9.129684, ' an': -9.522243, '\n': -9.644555}
{' Odd': -5.4426184, ':': -8.232905, ' 1': -4.574834, ' odd': -0.06275855, ' even': -3.0998433}
{' an': -9.267618, ' Even': -8.260805, ' EVEN': -10.020779, ' odd': -10.106723, ' even': -0.0005510283}
{'\n': -7.718676, ' Odd': -6.201718, ' 1': -7.549089, ' odd': -0.0077626007, ' even': -5.5039587}
{'\n': -8.011078, ':': -7.053289, ' an': -8.323153, ' Even': -6.4861465, ' even': -0.0035362393}
{'\n': -7.547643, ' Odd': -4.375571, ' 1': -6.787534, ' odd': -0.023182383, ' even': -4.8729386}
{' Odd': -5.453158, ':': -6.826357, ' 1': -7.240776, ' odd': -0.12648833, ' even': -2.2020917}
{'\n': -7.915864, ':': -8.509791, ' Even': -7.9527907, ' odd': -8.412068, ' even': -0.0015348166}
{'\n': -7.676549, ' Odd': -4.8721676, ':': -8.019715, ' 1': -6.543607, ' odd': -0.01086413}
{' even': -0.0010919089, ' Even': -7.6844263, ' EVEN': -9.074807, ':': -9.260395, ' ': -9.27503}
{' Odd': -5.814822, ':': -7.5743694, ' 1': -5.6643615, ' odd': -0.030930538, ' even': -3.7883902}
{' ': -9.113338, ' an': -8.681908, ' Even': -8.057413, ' odd': -9.954774, ' even': -0.0008036858}
{' odd': -0.009484744, ' Odd': -5.4650164, ' 1': -6.0233483, ' even': -6.260608, '\n': -8.623744}
{':': -7.930092, ' an': -6.8552327, ' Even': -6.764406, ' odd': -8.459213, ' even': -0.003532709}
{' odd': -0.048232857, ' even': -3.3416305, ' Odd': -4.6316414, ' an': -7.6258016, ' 1': -7.7214074}
{' Odd': -6.202283, ':': -6.78242, ' 1': -5.0549164, ' odd': -0.017419165, ' even': -5.626683}
{' ': -8.985593, ':': -6.7002816, ' Even': -6.8882823, ' odd': -8.2077265, ' even': -0.003099256}
{' Odd': -4.558875, ':': -7.1417046, ' 1': -6.9583483, ' odd': -0.01772065, ' even': -5.4577026}
{'\n': -6.58903, ' ': -5.7291474, ' odd': -6.7652926, ' 0': -7.058686, ' even': -0.009867395}
{'\n': -8.297599, ' Odd': -6.3800564, ' 1': -4.405405, ' odd': -0.02182558, ' even': -5.09078}
{'\n': -8.330911, ' ': -8.394126, ':': -8.403992, ' Even': -7.481904, ' even': -0.0018592029}
{'\n': -8.439764, ' Odd': -5.814381, ' an': -8.302821, ' odd': -0.0334284, ' even': -3.5514812}
{'\n': -9.0365305, ' ': -9.15906, ':': -8.899528, ' Even': -7.799007, ' even': -0.0010667878}
{' odd': -0.016219165, ' even': -5.063401, ' Odd': -5.3543153, ' 1': -5.7536883, ' an': -7.059869}
{' odd': -0.13856857, ' even': -2.0977168, ' Odd': -6.07366, ' 1': -6.727003, ' an': -6.792533}
{':': -8.409738, ' Even': -7.190858, ' "': -9.0408125, ' odd': -9.042541, ' even': -0.0015295639}
{'\n': -7.4037647, ' Odd': -5.8916626, ' 1': -1.6348425, ' odd': -0.22435252, ' 0': -7.5289507}
{' even': -0.0022313597, ' Even': -7.0983095, ' ': -8.243946, ' EVEN': -8.270761, ':': -8.353147}
{' Odd': -5.9057417, ' 1': -7.6894884, ' "': -8.679908, ' odd': -0.041873746, ' even': -3.2981794}
{' even': -0.00087276584, ' ': -8.565108, ' Even': -8.576616, '\n': -8.747742, ':': -9.278533}
{' odd': -0.009999109, ' Odd': -5.3408933, ' even': -5.5485635, ':': -8.285786, ' 1': -8.287439}
{' even': -0.006787558, ' ': -6.3219123, ' an': -6.589803, ':': -6.7833195, '\n': -7.2834086}
{'\n': -7.6491237, ' Odd': -5.256829, ' 1': -6.180084, ' odd': -0.00911499, ' even': -8.014689}
{' Odd': -5.4532604, ':': -7.2015533, ' "': -7.350162, ' odd': -0.11605578, ' even': -2.290393}
{' even': -0.0024778699, ' Even': -6.619895, ':': -8.143786, ' EVEN': -8.704455, ' odd': -8.896205}
{'\n': -8.087474, ' Odd': -4.8665533, ' 1': -5.532539, ' odd': -0.017116494, ' even': -5.5206227}
{'\n': -9.96239, ':': -10.266305, ' Even': -8.003885, ' EVEN': -10.180995, ' even': -0.0005617646}
{' odd': -0.05440556, ' even': -3.0005763, ' Odd': -6.532465, ' 1': -7.2932644, ' ': -8.478052}
{' even': -0.00139705, ' Even': -7.9202657, ' odd': -8.242314, ' an': -8.508437, ' EVEN': -8.967477}
{' odd': -0.0024110698, ' Odd': -6.552463, ' even': -7.6659985, 'odd': -9.007175, ' an': -9.3152685}
{' even': -0.00087646506, ' ': -8.209837, ' Even': -8.4395, ':': -9.417043, ' an': -9.68062}
{'\n': -6.9791055, ' Odd': -4.224671, ' ': -7.8393283, ' 1': -7.2743335, ' odd': -0.018208195}
{' odd': -0.13845272, ' even': -2.0898037, ' Odd': -6.008998, ':': -7.186952, ' an': -7.595545}
{' ': -8.2176485, ':': -7.629042, ' Even': -7.6391134, ' odd': -7.0362296, ' even': -0.0030929784}
{'\n': -7.780098, ' Odd': -6.086205, ' 1': -2.9529226, ' odd': -0.059426945, ' even': -6.5368695}
{' ': -9.555219, ':': -9.429552, ' Even': -7.1523495, ' EVEN': -9.221956, ' even': -0.0012051711}
{' odd': -0.035739638, ' even': -3.484083, ' Odd': -5.667583, ' 1': -8.257381, ' an': -8.767242}
{' even': -0.00035597567, ' Even': -8.523306, '\n': -10.108543, ' odd': -10.713197, ' an': -10.748819}
{' Odd': -6.2748547, ' an': -8.713104, 'odd': -8.84832, ' odd': -0.009913446, ' even': -4.9132986}
{'\n': -8.021993, ' ': -6.8289986, ':': -7.993197, ' Even': -6.8098445, ' even': -0.0037656012}
{' odd': -0.02862642, ' Odd': -4.015776, ' even': -4.765904, ' an': -7.8888927, ' 1': -8.136607}
{' odd': -0.08058738, ' even': -2.7810497, ' Odd': -4.7259274, ':': -6.1501703, ' 1': -6.8507357}
{'\n': -8.147791, ':': -7.4903345, ' Even': -7.6888795, ' odd': -5.670035, ' even': -0.0054969606}
{' Odd': -5.9261255, ':': -7.494964, ' 1': -5.2172527, ' odd': -0.0122704115, ' even': -6.0621614}
{'\n': -10.451405, ' ': -9.419391, ' Even': -8.206226, ' EVEN': -9.959505, ' even': -0.000541011}
{' odd': -0.014419273, ' even': -4.813206, ' Odd': -5.625079, ' 1': -6.6451764, '\n': -7.9248652}
{' ': -9.394033, ' an': -8.816456, ' Even': -7.821552, ' EVEN': -9.525202, ' even': -0.00094197073}
{'\n': -7.377472, ' Odd': -5.6813664, ' ': -7.532951, ' 1': -5.00723, ' odd': -0.01254204}
{' even': -0.00096864055, ' Even': -7.421983, ' an': -9.309863, ':': -9.502411, '\n': -9.951458}
{' odd': -0.091084644, ' even': -2.807929, ' Odd': -4.357856, ' 1': -4.4757223, '\n': -7.415221}
{' odd': -0.28853488, ' even': -1.4265258, ' Odd': -5.632198, ' 1': -6.139089, ':': -6.6363397}
{' even': -0.0038923298, ' odd': -6.618106, ':': -7.648487, ' Even': -7.8569355, ' 0': -7.8763475}
{' odd': -0.0068265065, ' even': -5.685291, ' Odd': -6.0917287, ' 1': -8.219808, ' "': -8.703116}
{'\n': -9.639825, ' ': -8.782404, ' Even': -7.5748825, ' EVEN': -8.855869, ' even': -0.0011266972}
{' Odd': -7.797857, ' 1': -8.240281, 'odd': -9.367426, ' odd': -0.014387889, ' even': -4.3308225}
{' even': -0.00141209, ' an': -8.014434, ' Even': -8.056003, ' odd': -8.57698, ' EVEN': -8.980922}
{'\n': -7.955893, ' Odd': -5.273676, ' 1': -6.559693, ' odd': -0.010975432, ' even': -5.737336}
{' ': -8.999004, ':': -9.30019, ' an': -7.757147, ' Even': -7.4018555, ' even': -0.0015206101}
{' odd': -0.03899454, ' Odd': -3.3929317, ' even': -5.8003635, '\n': -7.6904974, ' 1': -8.166657}
{' Odd': -4.99127, ':': -6.5287447, ' 1': -4.737563, ' odd': -0.09888966, ' even': -2.631881}
{':': -8.112768, ' Even': -8.418348, ' odd': -6.837739, ' 0': -8.764746, ' even': -0.0023898592}
{' odd': -0.0066890847, ' Odd': -5.700184, ' even': -6.248164, ' 1': -7.4901767, '\n': -8.618293}
{' even': -0.0019699815, ' ': -7.353063, ' Even': -7.9417415, '\n': -8.299988, ':': -8.758276}
{' Odd': -6.42493, ':': -8.444101, ' 1': -6.551207, ' odd': -0.021447038, ' even': -4.068614}
{' ': -9.732539, ' an': -10.251799, ' Even': -8.563398, ' EVEN': -9.994744, ' even': -0.00045609125}
{'\n': -8.143914, ' Odd': -5.2067537, ' 1': -8.190696, ' odd': -0.00947686, ' even': -5.979803}
{' ': -9.494511, ' an': -9.617521, ' Even': -8.641302, ' odd': -9.52636, ' even': -0.0005479298}
{' odd': -0.010058835, ' Odd': -5.0404615, ' even': -5.8951063, ' an': -8.3390045, ' 1': -9.040451}
{' odd': -0.17429283, ' even': -1.8669466, ' Odd': -5.7607245, ':': -7.4707885, ' 1': -7.641722}
{' even': -0.006540764, ':': -5.8476143, ' Even': -7.00686, ' odd': -7.207323, ' ': -7.594375}
{' Odd': -4.6006765, ':': -7.734935, ' 1': -7.539445, ' odd': -0.014073082, ' even': -6.3478703}
{' ': -9.3788, ':': -9.573302, ' Even': -7.3021708, ' EVEN': -9.656129, ' even': -0.0010562862}
{' odd': -0.022679793, ' even': -4.0151668, ' 1': -6.173224, ' Odd': -6.4116087, ' an': -8.470274}
{' ': -8.809962, ':': -8.812443, ' an': -9.257443, ' Even': -8.103631, ' even': -0.0009831962}
{' odd': -0.005070685, ' Odd': -6.108807, ' even': -6.116205, ' an': -8.955999, 'odd': -9.123176}
{' even': -0.0013394516, ' Even': -7.359037, ':': -8.642342, ' an': -8.655001, ' ': -9.351593}
{'\n': -7.9743934, ' Odd': -4.545055, ' 1': -7.076883, ' odd': -0.01968502, ' even': -4.9722166}
{' Odd': -5.1438556, ':': -6.642811, ' 1': -5.6889424, ' odd': -0.117882505, ' even': -2.318734}
{' ': -8.172476, ':': -6.974288, ' Even': -7.7932615, ' odd': -7.679837, ' even': -0.002681829}
{'\n': -8.618116, ' Odd': -6.491855, ' 1': -5.9644346, ' odd': -0.0071610715, ' even': -6.0467787}
{' even': -0.00063112524, ' Even': -8.139834, ' ': -9.543666, ' EVEN': -9.885713, ' odd': -9.940853}
{' odd': -0.06737843, ' Odd': -2.9917786, '\n': -4.941348, ' even': -5.448863, ' ': -6.176339}
{' even': -0.00052341784, ' Even': -8.753564, ' odd': -9.251177, '\n': -9.595314, ' ': -9.787486}
{' Odd': -5.884152, ' 1': -7.848078, 'odd': -8.919882, ' odd': -0.0050170696, ' even': -6.5942388}
{' even': -0.0019290731, ' odd': -7.4032893, ' Even': -7.724977, ':': -8.025938, ' an': -8.389291}
{'\n': -7.415288, ' Odd': -4.6127024, ' ': -6.957752, ' 1': -4.34031, ' odd': -0.02645671}
{' Odd': -4.937526, ':': -6.1884937, ' 1': -5.6289144, ' odd': -0.09637388, ' even': -2.5803673}
{':': -8.046458, ' Even': -7.329174, ' EVEN': -9.091193, ' odd': -7.7456913, ' even': -0.001929671}
{' Odd': -6.3761396, ' ': -7.927954, ' 1': -5.547511, ' odd': -0.0074694483, ' even': -7.895913}
{'\n': -8.713246, ' ': -8.521913, ' Even': -7.273447, ' EVEN': -8.505229, ' even': -0.001692968}
{' odd': -0.05208466, ' even': -3.1763155, ' 1': -5.3025384, ' Odd': -5.7813897, ' an': -8.544935}
{' even': -0.0005591391, ' Even': -8.672925, ' ': -9.174087, '\n': -9.677086, ' an': -9.772569}
{' Odd': -5.512592, ' an': -8.33457, ' 1': -6.3816237, ' odd': -0.007253466, ' even': -7.497892}
{' ': -9.737579, ':': -10.87939, ' an': -9.435683, ' Even': -8.896998, ' even': -0.00037147748}
{' Odd': -4.071242, ' ': -8.316218, ':': -8.157772, ' odd': -0.030430678, ' even': -4.4807534}
{' Odd': -5.474305, ':': -7.1227064, ' 1': -7.087763, ' odd': -0.30653426, ' even': -1.3619351}
{':': -8.421225, ' Even': -7.3583846, ' odd': -8.688927, ' 0': -8.97, ' even': -0.0016592939}
{' Odd': -5.2295613, ':': -7.6202364, ' 1': -5.971917, ' odd': -0.011736839, ' even': -6.222178}
{' even': -0.00086172915, ' Even': -7.8114486, ' an': -9.369382, '\n': -9.450157, ' EVEN': -9.663176}
{' odd': -0.17934902, ' even': -1.8495684, ' Odd': -5.5610795, ':': -6.998056, ' 1': -7.488677}
{':': -7.833707, ' Even': -6.506882, ' EVEN': -8.30657, ' odd': -8.604144, ' even': -0.0028903114}
{' odd': -0.00550697, ' 1': -5.7526655, ' Odd': -7.1704326, ' ': -7.296873, '\n': -8.062172}
{' even': -0.0011877441, ' Even': -7.960105, '\n': -8.415052, ':': -8.864049, ' ': -9.005341}
{' odd': -0.028766211, ' Odd': -3.8422122, ' even': -5.5769296, ' 1': -6.73823, '\n': -7.609947}
{' Odd': -5.7916036, ':': -7.2857385, ' 1': -5.938841, ' odd': -0.2929226, ' even': -1.4055191}
{':': -8.592964, ' Even': -7.9475136, ' odd': -7.176061, ' 0': -8.912016, ' even': -0.0019917197}
{'\n': -7.5409746, ' Odd': -5.6093464, ' 1': -4.3752995, ' odd': -0.019420559, ' even': -6.6331797}
{' ': -10.629578, ' Even': -7.9599304, ' "': -10.657383, ' EVEN': -10.497309, ' even': -0.00049968314}
{' Odd': -6.8043513, ' ': -7.6304626, ' 1': -5.887084, ' odd': -0.0064847902, ' even': -6.534618}
{' even': -0.00049479277, ' Even': -8.392589, ' an': -9.942438, ' ': -9.965528, ':': -10.073349}
{' odd': -0.009683815, ' even': -5.3641415, ' Odd': -5.6922183, ' 1': -7.109039, '\n': -8.467059}
{' even': -0.0014306537, ' Even': -7.361354, ' odd': -8.7712, ' an': -8.829514, ':': -9.061093}
{'\n': -8.031295, ' Odd': -4.5991597, ' an': -8.370828, ' odd': -0.028265953, ' even': -4.099847}
{' Odd': -5.288058, ':': -6.2436075, ' "': -6.3604903, ' odd': -0.41702273, ' even': -1.1171875}
{' ': -8.439554, ':': -7.8200636, ' Even': -7.6709523, ' odd': -7.261206, ' even': -0.0022637977}
{' odd': -0.0059640105, ' Odd': -5.923927, ' 1': -6.4952254, ' even': -7.139287, ':': -7.997004}
{' even': -0.00074152835, ' Even': -7.6518707, ' EVEN': -9.742259, ' an': -10.101386, ' ': -10.194279}
{'\n': -7.50091, ' Odd': -6.4731617, ' 1': -3.9977715, ' odd': -0.03221275, ' even': -4.581539}
{' even': -0.00069685513, ' odd': -8.288868, ' Even': -9.021669, '\n': -9.313538, ' ': -9.566337}
{' Odd': -5.667205, ' ': -7.8438644, ' 1': -4.7432165, ' odd': -0.015746018, ' even': -6.181747}
{':': -9.782594, ' an': -9.017651, ' Even': -7.985586, ' odd': -8.489818, ' even': -0.0008941239}
{' odd': -0.0075155688, ' Odd': -5.504645, ' even': -6.0099893, ' 1': -7.701826, ' an': -8.757798}
{' odd': -0.12305778, ' even': -2.3075345, ' Odd': -4.783106, ' 1': -6.045235, ':': -6.2429667}
{' even': -0.0044652587, ' odd': -6.7446294, ' ': -7.5210733, ':': -7.594709, '\n': -7.6836386}
{'\n': -8.642935, ' Odd': -5.557905, ' 1': -5.900922, ' odd': -0.010321072, ' even': -5.8412533}
{'\n': -8.3614235, ' ': -8.518059, ':': -8.159811, ' Even': -7.6339326, ' even': -0.0016429952}
{' odd': -0.0052737333, ' even': -6.0748563, ' Odd': -6.307619, ' 1': -7.6042933, ':': -9.0709505}
{' even': -0.0006552833, ' Even': -8.325793, ' an': -9.573045, ':': -9.605314, ' EVEN': -9.7074995}
{' odd': -0.012486935, ' Odd': -5.0166106, ' even': -5.3629503, ':': -8.311932, '\n': -8.315941}
{' even': -0.002604019, ' an': -7.0978217, ' Even': -7.222041, ' "': -8.4198475, '\n': -8.597342}
{' odd': -0.030205507, ' Odd': -4.0162435, ' even': -4.826369, '\n': -6.6677794, ' 1': -6.838117}
{' Odd': -5.7682505, ':': -7.1753225, ' 1': -5.238409, ' odd': -0.017304476, ' even': -5.0744977}
{' even': -0.0012306508, ' Even': -7.941148, ' odd': -8.710122, ' EVEN': -9.048548, ' ': -9.287386}
{'\n': -7.2316484, ' Odd': -5.8712254, ' 1': -6.6759505, ' odd': -0.008466478, ' even': -6.014094}
{' ': -9.105231, ':': -8.621587, ' Even': -7.2769175, ' EVEN': -9.584482, ' even': -0.0012643117}
{' Odd': -6.111734, ' 1': -8.255163, ' "': -9.0114565, ' odd': -0.012652925, ' even': -4.6713862}
{' even': -0.0005908092, ' ': -8.870379, ' odd': -9.400257, '\n': -9.439623, ' Even': -9.50334}
{' Odd': -5.548016, ' an': -8.762493, ' 1': -8.94207, ' odd': -0.0072679366, ' even': -5.9448323}
{' ': -7.920189, ':': -8.287416, ' an': -8.367952, ' Even': -7.647321, ' even': -0.0018566939}
{' Odd': -4.961058, ' ': -7.892009, ' 1': -4.9798512, ' odd': -0.017298475, ' even': -6.2629747}
{' Odd': -5.447469, ':': -7.0009995, ' 1': -5.5924582, ' odd': -0.18903425, ' even': -1.8318851}
{' even': -0.0036273429, ' Even': -6.8572407, ':': -7.440821, ' odd': -7.5644674, '\n': -8.057727}
{' odd': -0.033235393, ' Odd': -3.6206832, ':': -6.669911, '\n': -6.956485, ' even': -7.007873}
{'\n': -10.069732, ' ': -9.669132, ' Even': -8.243499, ' EVEN': -10.1204195, ' even': -0.00050468993}
{' odd': -0.022557797, ' 1': -4.65726, ' even': -4.886012, ' Odd': -5.614338, ':': -7.375552}
{' ': -8.661721, ':': -8.521841, ' an': -8.748301, ' Even': -7.2917857, ' even': -0.0015674131}
{' odd': -0.006952839, ' even': -5.729421, ' Odd': -5.874544, ' an': -8.448795, 'odd': -8.88959}
{' even': -0.0012666996, ' Even': -7.900575, ' odd': -8.293685, ' an': -8.750205, ':': -8.827372}
{'\n': -7.931543, ' Odd': -3.7688856, ' 1': -7.7523518, ' odd': -0.029727131, ' even': -5.401185}
