{' No': -0.0012985077, ' ': -10.666913, 'No': -6.681705, ' no': -11.2756815, ' NO': -11.998761}
{' No': -0.0012227726, ' ': -10.816279, 'No': -6.746263, ' no': -11.025646, ' NO': -11.662496}
{' No': -0.0018110126, ' ': -10.600449, 'No': -6.336016, ' no': -12.1274605, ' NO': -12.190584}
{' No': -0.0011746744, ' ': -11.006256, 'No': -6.771419, ' no': -12.050261, ' NO': -12.360597}
{' No': -0.0013544315, ' ': -10.856207, 'No': -6.631765, ' no': -11.620752, ' NO': -12.0453415}
{' No': -0.016137324, ' ': -9.814464, 'No': -6.8259325, ' Yes': -4.211936, 'Yes': -10.071015}
{' No': -0.0016406073, ' ': -11.092875, 'No': -6.4288783, ' no': -12.522561, ' NO': -12.264492}
{' No': -0.0020633913, ' ': -10.912047, 'No': -6.2055445, ' Yes': -11.039742, ' NO': -12.54503}
{' No': -0.0015955905, 'No': -6.4496136, ' ': -11.976105, ' no': -12.51148, ' NO': -12.992275}
{' No': -0.0014427716, 'No': -6.5613027, ' no': -11.424948, ' ': -11.533689, ' NO': -12.092442}
{' No': -0.0012930175, 'No': -6.669983, ' ': -11.479457, ' no': -11.754501, ' NO': -12.327281}
{' No': -0.0013741902, ' ': -11.563065, 'No': -6.612568, ' no': -11.217529, ' NO': -12.074329}
{' No': -0.0018104156, ' ': -11.621283, 'No': -6.325304, ' no': -12.4196415, ' NO': -12.609096}
{' No': -0.0014536356, 'No': -6.5474186, ' ': -11.572739, ' no': -12.24981, ' NO': -12.60636}
{' No': -0.001789098, ' ': -11.62988, 'No': -6.339569, ' no': -11.710212, ' NO': -12.425778}
{' No': -0.046514697, ' ': -10.513159, 'No': -6.7385445, ' Yes': -3.1214542, 'Yes': -8.92816}
{' No': -0.002150298, 'No': -6.1511273, ' ': -11.695986, ' NO': -12.474927, ' no': -12.54439}
{' No': -0.0023592096, 'No': -6.0630455, ' Yes': -11.11068, ' ': -11.673334, ' no': -12.987735}
{' No': -0.0033791133, ' ': -11.586193, 'No': -5.697701, ' no': -12.926794, ' NO': -11.980589}
{' No': -0.0027109345, ' ': -11.211106, 'No': -5.9264417, ' no': -11.887307, ' NO': -10.991387}
{' No': -0.0026015672, ' ': -11.177915, 'No': -5.9671474, ' no': -12.118977, ' NO': -11.075213}
{' No': -0.0026389777, ' ': -11.1617, 'No': -5.9559703, ' no': -11.620177, ' NO': -10.831964}
{' No': -0.004253633, ' ': -11.442916, 'No': -5.467905, ' no': -12.538715, ' NO': -11.710382}
{' No': -0.0028168464, ' ': -11.391432, 'No': -5.883077, ' no': -12.412579, ' NO': -11.544383}
{' No': -0.003000846, ' ': -11.357512, 'No': -5.820746, ' no': -12.03181, ' NO': -11.36949}
{' No': -0.1264077, ' ': -9.480148, 'No': -5.8466754, ' Yes': -2.1629143, 'Yes': -7.1968193}
{' No': -0.0043146308, 'No': -5.4540176, ' NO': -11.366101, ' ': -11.570667, ' no': -12.617907}
{' No': -0.0052917693, ' ': -11.112543, 'No': -5.2696633, ' Yes': -9.164324, ' NO': -11.968563}
{' No': -0.0029457246, 'No': -5.8365507, ' ': -11.408975, ' no': -12.083447, ' NO': -12.419227}
{' No': -0.0028273074, ' ': -11.125393, 'No': -5.885396, ' no': -10.98952, ' NO': -11.548151}
{' No': -0.002751935, ' ': -11.119733, 'No': -5.9112964, ' no': -11.182543, ' NO': -11.639385}
{' No': -0.0028256348, ' ': -11.105293, 'No': -5.889437, ' no': -10.608419, ' NO': -11.433513}
{' No': -0.0033365313, 'No': -5.712166, ' ': -11.224837, ' NO': -12.187229, ' no': -12.236982}
{' No': -0.0022695328, ' ': -11.214429, 'No': -6.101024, ' no': -11.947576, ' NO': -12.213402}
{' No': -0.002678004, ' ': -11.055252, 'No': -5.938034, ' no': -11.309052, ' NO': -11.856589}
{' No': -0.14375602, ' ': -9.025232, 'No': -5.975207, ' Yes': -2.0373316, 'Yes': -7.123317}
{' No': -0.0030740842, ' ': -11.364818, 'No': -5.794461, ' no': -12.107539, ' NO': -11.995791}
{' No': -0.0038766519, 'No': -5.5693536, ' Yes': -10.3616, ' ': -11.161408, ' no': -12.418946}
{' No': -0.0016256217, ' ': -11.385439, 'No': -6.434101, ' no': -12.515566, ' NO': -12.96363}
{' No': -0.0015990542, 'No': -6.456076, ' ': -11.194975, ' no': -11.821083, ' NO': -12.274832}
{' No': -0.0016586959, ' ': -11.039077, 'No': -6.4195642, ' no': -12.01062, ' NO': -12.277749}
{' No': -0.0014322061, ' ': -11.146438, 'No': -6.569946, ' no': -11.610625, ' NO': -12.273965}
{' No': -0.0018074298, ' ': -11.117824, 'No': -6.328948, ' no': -12.664509, ' NO': -12.889716}
{' No': -0.0012631178, ' ': -11.239845, 'No': -6.690403, ' no': -12.650995, ' NO': -12.952688}
{' No': -0.0015575048, ' ': -11.156442, 'No': -6.4812155, ' no': -12.118296, ' NO': -12.604031}
{' No': -0.18036939, ' ': -9.50038, 'No': -6.779313, ' Yes': -1.8119936, 'Yes': -7.6623654}
{' No': -0.0017605574, ' ': -11.380585, 'No': -6.3528366, ' no': -12.958512, ' NO': -12.85889}
{' No': -0.0017157134, ' ': -11.301352, 'No': -6.4198427, ' Yes': -9.592689, ' no': -13.129862}
{' No': -0.0012070803, 'No': -6.737013, ' ': -11.15236, ' no': -12.835528, ' NO': -13.0207205}
{' No': -0.001033077, 'No': -6.9063916, ' ': -10.882844, ' no': -11.888928, ' NO': -12.305582}
{' No': -0.0009268772, 'No': -7.014131, ' ': -10.951809, ' no': -12.170633, ' NO': -12.432297}
{' No': -0.0012342327, ' ': -10.9321995, 'No': -6.728176, ' no': -11.324796, ' NO': -12.072759}
{' No': -0.0015311155, ' ': -10.574544, 'No': -6.505002, ' no': -12.750268, ' NO': -12.510858}
{' No': -0.0010522894, 'No': -6.8825946, ' ': -10.899659, ' no': -12.463123, ' NO': -12.731707}
{' No': -0.0012831083, ' ': -10.811692, 'No': -6.6843467, ' no': -11.967706, ' NO': -12.380454}
{' No': -1.3639857, ' ': -9.1090145, 'No': -8.41683, ' Yes': -0.29750305, 'Yes': -6.6668873}
{' No': -0.0017186992, ' ': -10.802649, 'No': -6.3838725, ' no': -12.743006, ' NO': -12.3715105}
{' No': -0.002015551, ' ': -10.660502, 'No': -6.252437, ' Yes': -9.7543745, ' NO': -12.904742}
{' No': -0.0011769431, ' ': -11.577777, 'No': -6.7584414, ' no': -12.905007, ' NO': -12.823511}
{' No': -0.0010287808, ' ': -11.554716, 'No': -6.901247, ' no': -11.987383, ' NO': -12.147929}
{' No': -0.0009769945, ' ': -11.61056, 'No': -6.9526086, ' no': -12.108068, ' NO': -12.179414}
{' No': -0.0011506272, ' ': -11.435572, 'No': -6.7926464, ' no': -11.611406, ' NO': -11.838586}
{' No': -0.0013611156, ' ': -11.252392, 'No': -6.6154757, ' no': -12.844406, ' NO': -12.401919}
{' No': -0.0010428615, 'No': -6.8842783, ' ': -11.414142, ' NO': -12.415513, ' no': -12.784816}
{' No': -0.001295046, ' ': -11.245265, 'No': -6.670055, ' no': -12.021836, ' NO': -12.070983}
{' No': -0.46959367, ' ': -9.710939, 'No': -7.65572, ' Yes': -0.98491156, 'Yes': -7.2722263}
{' No': -0.0015933217, ' ': -11.550884, 'No': -6.4536743, ' no': -12.9170265, ' NO': -12.30294}
{' No': -0.0016468165, ' ': -11.337496, 'No': -6.4412446, ' Yes': -10.320973, ' NO': -12.788644}
{' No': -0.0017775733, ' ': -11.104072, 'No': -6.349209, ' no': -12.218015, ' NO': -12.11362}
{' No': -0.0017266412, ' ': -10.843458, 'No': -6.3897324, ' no': -11.305481, ' NO': -11.323625}
{' No': -0.0013737123, ' ': -10.991743, 'No': -6.6170616, ' no': -11.778046, ' NO': -11.600595}
{' No': -0.0016404871, 'No': -6.4424305, ' ': -10.890291, ' no': -11.22705, ' NO': -11.300487}
{' No': -0.0020326898, ' ': -10.80689, 'No': -6.2172937, ' no': -12.358473, ' NO': -11.790568}
{' No': -0.001400631, ' ': -10.928044, 'No': -6.594238, ' no': -12.216635, ' NO': -11.934252}
{' No': -0.0019211895, ' ': -10.799053, 'No': -6.277996, ' no': -11.621001, ' NO': -11.540875}
{' No': -0.17642865, ' ': -9.453505, 'No': -6.776697, ' Yes': -1.8324002, 'Yes': -7.6894403}
{' No': -0.0022324945, 'No': -6.120293, ' ': -11.01025, ' NO': -11.6762295, ' no': -12.299025}
{' No': -0.0024657408, ' ': -11.09114, 'No': -6.0283594, ' Yes': -10.474875, ' NO': -12.29558}
{' No': -0.0016437114, ' ': -11.520361, 'No': -6.4228067, ' no': -12.330974, ' NO': -12.785641}
{' No': -0.0014749438, ' ': -11.218806, 'No': -6.542147, ' no': -11.465592, ' NO': -11.848853}
{' No': -0.0013688764, ' ': -11.234441, 'No': -6.6155763, ' no': -11.707546, ' NO': -12.046395}
{' No': -0.0016435912, 'No': -6.435844, ' ': -11.107984, ' no': -11.134139, ' NO': -11.743348}
{' No': -0.0021734159, ' ': -11.032355, 'No': -6.1455355, ' no': -12.307359, ' NO': -12.219199}
{' No': -0.0014273111, 'No': -6.5695786, ' ': -11.210165, ' no': -12.27259, ' NO': -12.338284}
{' No': -0.0018023546, ' ': -10.989514, 'No': -6.3396964, ' no': -11.471267, ' NO': -11.924605}
{' No': -0.38167337, ' ': -9.41362, 'No': -7.05824, ' Yes': -1.1537815, 'Yes': -7.0735736}
{' No': -0.0022332119, ' ': -11.064809, 'No': -6.1180396, ' no': -12.45209, ' NO': -11.944222}
{' No': -0.0025607527, ' ': -11.095051, 'No': -5.9940267, ' Yes': -10.111458, ' NO': -12.616388}
{' No': -0.0024037804, ' ': -11.189825, 'No': -6.042069, ' no': -12.487999, ' NO': -12.270366}
{' No': -0.0023270645, 'No': -6.0843577, ' ': -10.782089, ' no': -11.378769, ' NO': -11.394957}
{' No': -0.002009099, ' ': -10.890739, 'No': -6.230025, ' no': -11.731947, ' NO': -11.613674}
{' No': -0.002311832, ' ': -10.799885, 'No': -6.092148, ' no': -11.1933565, ' NO': -11.342661}
{' No': -0.002980877, ' ': -10.786181, 'No': -5.8288474, ' no': -12.529873, ' NO': -11.883074}
{' No': -0.0021843503, ' ': -10.862261, 'No': -6.1420693, ' no': -12.350655, ' NO': -12.071589}
{' No': -0.0025124685, 'No': -6.0042343, ' ': -10.732323, ' NO': -11.667414, ' no': -11.7849455}
{' No': -0.23054454, ' ': -9.42423, 'No': -6.4007125, ' Yes': -1.5930626, 'Yes': -7.115726}
{' No': -0.0032599252, 'No': -5.739052, ' ': -10.882875, ' NO': -11.522529, ' no': -12.176739}
{' No': -0.003489701, ' ': -10.983584, 'No': -5.677829, ' Yes': -10.257033, ' NO': -12.253265}
{' No': -0.0013944828, ' ': -11.925324, 'No': -6.5843177, ' no': -13.126841, ' NO': -12.890878}
{' No': -0.0012527916, ' ': -11.760577, 'No': -6.699947, ' no': -11.958025, ' NO': -12.024903}
{' No': -0.0011460906, ' ': -11.85583, 'No': -6.786319, ' no': -12.383402, ' NO': -12.325142}
{' No': -0.0014246848, ' ': -11.7219095, 'No': -6.571338, ' no': -11.671173, ' NO': -11.998134}
{' No': -0.0017385243, ' ': -11.54177, 'No': -6.365594, ' no': -12.95988, ' NO': -12.439515}
{' No': -0.0011935929, ' ': -11.801144, 'No': -6.743003, ' no': -12.862047, ' NO': -12.700624}
{' No': -0.0015147005, ' ': -11.562278, 'No': -6.506571, ' no': -12.245678, ' NO': -12.267462}
{' No': -0.6622427, 'No': -7.4795794, ' Yes': -0.7286414, ' yes': -9.973916, 'Yes': -6.829591}
{' No': -0.0019247732, ' ': -11.76657, 'No': -6.262241, ' no': -12.935259, ' NO': -12.234042}
{' No': -0.0021802878, ' ': -11.73029, 'No': -6.151516, ' Yes': -10.302786, ' NO': -12.757091}
{' No': -0.0013680401, ' ': -11.699914, 'No': -6.606936, ' no': -12.674611, ' NO': -12.386364}
{' No': -0.0009815245, ' ': -11.601067, 'No': -6.95406, ' no': -11.845172, ' NO': -11.584581}
{' No': -0.0010154736, ' ': -11.446235, 'No': -6.9185567, ' no': -11.994483, ' NO': -11.703344}
{' No': -0.0011172693, 'No': -6.829738, ' ': -11.338619, ' no': -11.348506, ' NO': -11.420434}
{' No': -0.0017497487, ' ': -11.550917, 'No': -6.360041, ' no': -12.735273, ' NO': -12.132593}
{' No': -0.0010102238, ' ': -11.667165, 'No': -6.9142404, ' no': -12.778167, ' NO': -12.336491}
{' No': -0.0013072822, ' ': -11.431442, 'No': -6.660193, ' no': -11.891055, ' NO': -11.856454}
{' Yes': -0.20890895, ' No': -1.6824635, 'Yes': -6.1176, 'No': -8.242015, ' yes': -9.425274}
{' No': -0.0015693234, ' ': -11.743666, 'No': -6.4695106, ' no': -12.8663225, ' NO': -11.870266}
{' No': -0.0041560074, ' ': -10.8908615, 'No': -6.3647327, ' Yes': -6.036144, 'Yes': -11.568847}
{' No': -0.0011364253, ' ': -11.452052, 'No': -6.79437, ' no': -12.827323, ' NO': -13.217956}
{' No': -0.0010316446, ' ': -11.171983, 'No': -6.9056373, ' no': -11.538682, ' NO': -12.372127}
{' No': -0.00088970846, ' ': -11.170834, 'No': -7.054137, ' no': -11.803656, ' NO': -12.619141}
{' No': -0.000999844, 'No': -6.940336, ' ': -11.182368, ' no': -11.300304, ' NO': -12.3619}
{' No': -0.0017167891, ' ': -11.29106, 'No': -6.3799725, ' no': -12.562177, ' NO': -12.659}
{' No': -0.000910769, ' ': -11.282078, 'No': -7.023182, ' no': -12.468685, ' NO': -12.94098}
{' No': -0.0010892844, ' ': -11.322935, 'No': -6.8433986, ' no': -11.98124, ' NO': -12.664456}
{' No': -1.3995782, 'No': -7.8339806, ' Yes': -0.2872049, ' yes': -9.165282, 'Yes': -6.054361}
{' No': -0.0020964222, ' ': -11.372584, 'No': -6.17765, ' no': -12.59474, ' NO': -12.744729}
{' No': -0.002949849, ' ': -10.755319, 'No': -6.2714415, ' Yes': -6.8828382, 'Yes': -12.1831255}
{' No': -0.0009099346, ' ': -11.4732895, 'No': -7.020923, ' no': -12.680522, ' NO': -12.867971}
{' No': -0.00078954885, ' ': -11.363748, 'No': -7.176286, ' no': -11.7823515, ' NO': -12.224633}
{' No': -0.00070079096, ' ': -11.30113, 'No': -7.2965016, ' no': -12.046434, ' NO': -12.45926}
{' No': -0.0007857313, 'No': -7.185537, ' ': -11.296803, ' no': -11.536065, ' NO': -12.170797}
{' No': -0.0010585549, ' ': -11.51962, 'No': -6.86639, ' no': -12.906216, ' NO': -12.768212}
{' No': -0.00075715786, ' ': -11.503073, 'No': -7.207887, ' no': -12.805462, ' NO': -12.784992}
{' No': -0.00085779064, ' ': -11.420412, 'No': -7.086528, ' no': -12.058104, ' NO': -12.474807}
{' No': -1.8995414, 'No': -9.035525, ' Yes': -0.16400117, ' yes': -9.204772, 'Yes': -6.61706}
{' No': -0.0010388028, ' ': -11.611838, 'No': -6.885339, ' no': -12.842243, ' NO': -12.583721}
{' No': -0.0023170896, ' ': -10.9729, 'No': -6.8371463, ' Yes': -6.71186, 'Yes': -12.595456}
{' No': -0.00075751456, ' ': -12.032179, 'No': -7.198965, ' no': -13.236502, ' NO': -13.16805}
{' No': -0.00060392875, 'No': -7.443265, ' ': -11.802518, ' no': -12.003837, ' NO': -12.316747}
{' No': -0.00063005235, ' ': -11.726854, 'No': -7.3987527, ' no': -12.240564, ' NO': -12.313618}
{' No': -0.00066291733, ' ': -11.724426, 'No': -7.355067, ' no': -11.60661, ' NO': -12.075983}
{' No': -0.00094805687, 'No': -6.9767647, ' ': -11.727739, ' NO': -12.710458, ' no': -12.738712}
{' No': -0.0005435153, ' ': -11.953514, 'No': -7.5399647, ' no': -12.781942, ' NO': -12.899723}
{' No': -0.0007441528, 'No': -7.2291446, ' ': -11.733513, ' no': -12.004991, ' NO': -12.382586}
{' No': -4.4288816, ' ': -11.475925, ' Yes': -0.013453789, ' yes': -9.279395, 'Yes': -6.6315928}
{' No': -0.0010958484, ' ': -11.906302, 'No': -6.8286576, ' no': -12.834727, ' NO': -12.660391}
{' No': -0.008038281, ' ': -10.875077, 'No': -6.8030114, ' Yes': -4.9831815, 'Yes': -10.850269}
{' No': -0.0016967892, ' ': -11.185659, 'No': -6.3943715, ' no': -12.047693, ' NO': -12.535221}
{' No': -0.00149315, ' ': -10.80973, 'No': -6.5408053, ' no': -10.917651, ' NO': -11.629053}
{' No': -0.0012518389, ' ': -10.85557, 'No': -6.716387, ' no': -11.267156, ' NO': -11.883803}
{' No': -0.0014065988, ' ': -10.792414, 'No': -6.609057, ' no': -10.542749, ' NO': -11.627002}
{' No': -0.0020012741, 'No': -6.22933, ' ': -11.057268, ' no': -12.02118, ' NO': -12.184881}
{' No': -0.0012555382, ' ': -11.111709, 'No': -6.702566, ' no': -11.943907, ' NO': -12.333482}
{' No': -0.0015321913, 'No': -6.5066795, ' ': -10.961895, ' no': -11.280156, ' NO': -11.982455}
{' No': -1.4768243, 'No': -8.042515, ' Yes': -0.26253957, ' yes': -8.973171, 'Yes': -6.218117}
{' No': -0.0019047668, ' ': -11.219733, 'No': -6.2777925, ' no': -12.109452, ' NO': -12.1726}
{' No': -0.0034180502, ' ': -10.667221, 'No': -6.2196426, ' Yes': -6.5812964, 'Yes': -11.954708}
{' No': -0.0013426759, ' ': -11.642642, 'No': -6.627006, ' no': -12.383098, ' NO': -12.400035}
{' No': -0.0011526573, 'No': -6.7960987, ' no': -11.331555, ' ': -11.358685, ' NO': -11.57034}
{' No': -0.0009929797, ' ': -11.4226055, 'No': -6.944171, ' no': -11.748278, ' NO': -11.649461}
{' No': -0.0011850595, ' ': -11.317846, 'No': -6.770632, ' no': -11.149923, ' NO': -11.516791}
{' No': -0.0017991302, ' ': -11.435544, 'No': -6.3338337, ' no': -12.313097, ' NO': -12.001796}
{' No': -0.0011046783, 'No': -6.825993, ' ': -11.513812, ' NO': -12.330319, ' no': -12.441379}
{' No': -0.001440504, ' ': -11.354886, 'No': -6.5639725, ' no': -11.584358, ' NO': -11.816393}
{' Yes': -0.018148042, ' No': -4.138679, 'Yes': -6.282741, ' yes': -9.006021, ' ': -10.75265}
{' No': -0.0018040854, ' ': -11.59423, 'No': -6.330278, ' no': -12.400162, ' NO': -11.902888}
{' No': -0.0055253087, ' ': -10.563947, 'No': -6.354409, ' Yes': -5.5931635, 'Yes': -11.135199}
{' No': -0.0011946685, ' ': -11.598905, 'No': -6.7442727, ' no': -12.601938, ' NO': -12.571376}
{' No': -0.00097365293, ' ': -11.414488, 'No': -6.964705, ' no': -11.590858, ' NO': -11.774728}
{' No': -0.0009051615, ' ': -11.414085, 'No': -7.0352254, ' no': -11.911238, ' NO': -11.998125}
{' No': -0.0010053325, ' ': -11.312079, 'No': -6.9351864, ' no': -11.385373, ' NO': -11.782676}
{' No': -0.0013054331, 'No': -6.657311, ' ': -11.426795, ' NO': -12.188448, ' no': -12.618003}
{' No': -0.0010016323, 'No': -6.9254665, ' ': -11.440119, ' NO': -12.4170265, ' no': -12.593469}
{' No': -0.0012635946, ' ': -11.1770735, 'No': -6.6970887, ' no': -11.804549, ' NO': -12.003019}
{' No': -1.0242257, 'No': -7.9132195, ' Yes': -0.44776776, ' yes': -9.681173, 'Yes': -6.5902143}
{' No': -0.00138553, ' ': -11.6917925, 'No': -6.5949697, ' no': -12.766142, ' NO': -12.091493}
{' No': -0.0033934668, ' ': -10.915443, 'No': -6.582733, ' Yes': -6.2278633, 'Yes': -11.938329}
{' No': -0.00102711, ' ': -12.074974, 'No': -6.892174, ' no': -12.849384, ' NO': -13.004217}
{' No': -0.00085194845, 'No': -7.090306, ' ': -11.890696, ' no': -11.980394, ' NO': -12.230473}
{' No': -0.00079879357, 'No': -7.154874, ' ': -11.740169, ' no': -12.303709, ' NO': -12.314443}
{' No': -0.0009424484, ' ': -11.677662, 'No': -6.9927783, ' no': -11.669385, ' NO': -12.021751}
{' No': -0.0013532366, ' ': -11.689493, 'No': -6.6179457, ' no': -12.618919, ' NO': -12.455638}
{' No': -0.0007591272, ' ': -11.842853, 'No': -7.200632, ' no': -12.927235, ' NO': -12.79903}
{' No': -0.0010753811, ' ': -11.655045, 'No': -6.854427, ' no': -12.011522, ' NO': -12.265103}
{' No': -4.0889535, 'No': -10.971962, ' Yes': -0.018802922, ' yes': -9.337263, 'Yes': -6.3502045}
{' No': -0.0016263388, ' ': -11.851481, 'No': -6.4318056, ' no': -12.642437, ' NO': -12.304818}
{' No': -0.007704996, ' ': -10.872861, 'No': -6.580256, ' Yes': -5.0763083, 'Yes': -10.816075}
{' No': -0.002124854, ' ': -11.561852, 'No': -6.1677094, ' no': -11.940889, ' NO': -11.550421}
{' No': -0.0017866499, ' ': -11.409505, 'No': -6.3542604, ' no': -11.153825, ' NO': -10.859633}
{' No': -0.0016559504, 'No': -6.430788, ' NO': -10.93107, ' no': -11.292205, ' ': -11.326302}
{' No': -0.001937016, ' ': -11.224484, 'No': -6.277676, ' no': -10.781173, ' NO': -10.72877}
{' No': -0.0027779965, 'No': -5.8986287, ' NO': -11.23216, ' ': -11.470186, ' no': -12.080833}
{' No': -0.0020897898, ' ': -11.431643, 'No': -6.1857786, ' no': -11.859278, ' NO': -11.48309}
{' No': -0.0021594996, ' ': -11.223858, 'No': -6.1597457, ' no': -11.241669, ' NO': -11.001055}
{' No': -2.6820056, 'No': -8.736387, ' Yes': -0.07491386, ' yes': -8.935893, 'Yes': -5.6881795}
{' No': -0.002523523, ' ': -11.602128, 'No': -5.995733, ' no': -12.1512575, ' NO': -11.078081}
{' No': -0.0038619319, 'No': -5.629178, ' Yes': -8.382285, ' ': -11.047788, ' NO': -11.466397}
{' No': -0.0029537962, ' ': -10.689282, 'No': -5.840644, ' no': -11.386045, ' NO': -11.9298935}
{' No': -0.0027987969, ' ': -10.544905, 'No': -5.9085355, ' no': -10.248773, ' NO': -11.135637}
{' No': -0.0024435145, ' ': -10.4683075, 'No': -6.044836, ' no': -10.473389, ' NO': -11.347793}
{' No': -0.0028458384, ' ': -10.439491, 'No': -5.8956666, ' no': -10.066681, ' NO': -11.03536}
{' No': -0.0029251638, 'No': -5.8520384, ' ': -10.512635, ' no': -11.505793, ' NO': -11.788748}
{' No': -0.002466578, ' ': -10.543602, 'No': -6.026512, ' no': -11.1605625, ' NO': -11.810232}
{' No': -0.0024571961, ' ': -10.458014, 'No': -6.0403275, ' no': -10.399603, ' NO': -11.324406}
{' No': -0.10649391, ' ': -8.618136, 'No': -6.1251225, ' Yes': -2.3210266, 'Yes': -7.7296724}
{' No': -0.003221894, ' ': -10.700048, 'No': -5.754517, ' no': -11.126955, ' NO': -11.6157055}
{' No': -0.0043364814, ' ': -10.334731, 'No': -5.466859, ' Yes': -9.838019, ' no': -11.662129}
{' No': -0.0016377416, ' ': -10.771117, 'No': -6.4386888, ' no': -11.638665, ' NO': -11.921229}
{' No': -0.0013326483, ' ': -10.84517, 'No': -6.659007, ' no': -10.984717, ' NO': -11.344941}
{' No': -0.0014347135, ' ': -10.717182, 'No': -6.583561, ' no': -10.990116, ' NO': -11.464786}
{' No': -0.0014944649, ' ': -10.67695, 'No': -6.5526013, ' no': -10.473459, ' NO': -11.184935}
{' No': -0.0019081113, ' ': -10.635105, 'No': -6.283655, ' no': -11.969937, ' NO': -11.791683}
{' No': -0.0015462193, ' ': -10.619397, 'No': -6.5012426, ' no': -11.537628, ' NO': -11.789532}
{' No': -0.0015466972, ' ': -10.642047, 'No': -6.5079336, ' no': -10.876842, ' NO': -11.556969}
{' No': -0.1530453, ' ': -8.689818, 'No': -6.5695243, ' Yes': -1.9668804, 'Yes': -7.801267}
{' No': -0.0020598082, ' ': -10.551081, 'No': -6.209718, ' no': -11.622875, ' NO': -11.438683}
{' No': -0.0028755467, ' ': -10.202956, 'No': -5.909402, ' Yes': -9.164826, ' NO': -11.919375}
{' No': -0.0009953076, ' ': -11.591974, 'No': -6.93102, ' no': -12.293213, ' NO': -12.52096}
{' No': -0.0008644729, ' ': -11.4333935, 'No': -7.088135, ' no': -11.576716, ' NO': -11.694684}
{' No': -0.0008709767, ' ': -11.384805, 'No': -7.0789304, ' no': -11.657425, ' NO': -11.814186}
{' No': -0.00089579565, ' ': -11.5254135, 'No': -7.0575476, ' no': -11.068776, ' NO': -11.687514}
{' No': -0.0014037351, 'No': -6.5858455, ' ': -11.339182, ' NO': -11.983785, ' no': -12.413133}
{' No': -0.0009425686, ' ': -11.444129, 'No': -6.990295, ' no': -12.190098, ' NO': -12.19441}
{' No': -0.0009956652, ' ': -11.325177, 'No': -6.9441776, ' no': -11.491649, ' NO': -11.741693}
{' No': -0.9013459, ' ': -9.576781, 'No': -7.64758, ' Yes': -0.52410084, 'Yes': -6.673833}
{' No': -0.0013672047, 'No': -6.6115546, ' ': -11.495673, ' NO': -11.894586, ' no': -12.40947}
{' No': -0.0019539173, ' ': -11.318616, 'No': -6.286595, ' Yes': -9.55995, ' NO': -12.448134}
{' No': -0.0019608408, ' ': -11.047375, 'No': -6.252634, ' no': -11.660334, ' NO': -11.797916}
{' No': -0.0015631152, ' ': -10.947503, 'No': -6.4970264, ' no': -10.885731, ' NO': -11.0244255}
{' No': -0.0015525487, ' ': -10.893409, 'No': -6.5016055, ' no': -10.988249, ' NO': -11.210931}
{' No': -0.0016831169, ' ': -10.842615, 'No': -6.4292855, ' no': -10.506772, ' NO': -10.845474}
{' No': -0.0024746456, 'No': -6.0203824, ' ': -10.75506, ' NO': -11.362119, ' no': -11.796854}
{' No': -0.0017007297, 'No': -6.4028025, ' ': -10.840148, ' NO': -11.44514, ' no': -11.455685}
{' No': -0.0016959528, ' ': -10.787687, 'No': -6.4128666, ' no': -10.975916, ' NO': -11.131971}
{' No': -0.57894343, ' ': -8.872711, 'No': -6.88245, ' Yes': -0.828068, 'Yes': -6.59868}
{' No': -0.002401032, ' ': -10.8338785, 'No': -6.051091, ' no': -11.70641, ' NO': -11.226215}
{' No': -0.0035382733, ' ': -10.646396, 'No': -5.6944156, ' Yes': -8.989565, ' NO': -11.577427}
{' No': -0.0014638434, ' ': -11.738102, 'No': -6.538764, ' no': -12.448928, ' NO': -12.374733}
{' No': -0.0009280702, ' ': -11.641069, 'No': -7.0131655, ' no': -11.700271, ' NO': -11.499594}
{' No': -0.0011548041, ' ': -11.500105, 'No': -6.788348, ' no': -11.779256, ' NO': -11.615587}
{' No': -0.001065117, ' ': -11.50216, 'No': -6.8774996, ' no': -11.363806, ' NO': -11.37521}
{' No': -0.0021400845, ' ': -11.325906, 'No': -6.158962, ' no': -12.60173, ' NO': -11.86028}
{' No': -0.0015432355, 'No': -6.489021, ' ': -11.391298, ' NO': -12.010238, ' no': -12.430193}
{' No': -0.0014549479, ' ': -11.28689, 'No': -6.5553303, ' no': -11.688347, ' NO': -11.5622635}
{' No': -3.0241737, 'No': -9.423877, ' Yes': -0.05267715, ' yes': -9.376349, 'Yes': -5.989837}
{' No': -0.0020578974, 'No': -6.1974277, ' ': -11.604291, ' NO': -11.740103, ' no': -12.607896}
{' No': -0.0034299495, ' ': -11.023195, 'No': -5.7375197, ' Yes': -8.66334, ' NO': -11.958118}
