{' A': -0.80889344, 'A': -10.1387825, ' B': -0.59010154, ' "': -8.692387, " '": -9.863986}
{' A': -0.03926646, ' B': -3.2641466, ' "': -9.079582, 'A': -9.702227, " '": -10.310988}
{' A': -0.06095685, 'A': -9.757616, ' B': -2.8320732, ' "': -9.345793, " '": -10.257237}
{' A': -0.031645022, 'A': -9.774396, ' B': -3.4767282, ' "': -9.37871, " '": -10.260162}
{' A': -0.02998444, 'A': -9.73686, ' B': -3.5299597, ' "': -9.4364805, " '": -10.347564}
{' A': -0.023152007, 'A': -9.766237, ' B': -3.786919, ' "': -9.496081, " '": -10.3809805}
{' A': -0.008243794, ' B': -4.8306394, ' "': -9.461287, 'A': -9.762333, " '": -10.312423}
{' A': -0.031480532, 'A': -9.750757, ' B': -3.4817045, ' "': -9.400526, " '": -10.304717}
{' A': -0.022407895, 'A': -9.752397, ' B': -3.8197978, ' "': -9.471809, " '": -10.385767}
{' A': -0.02302678, 'A': -9.767575, ' B': -3.7924438, ' "': -9.44242, " '": -10.357353}
{' A': -0.047417387, 'A': -9.737413, ' B': -3.0778568, ' "': -9.254835, " '": -10.225113}
{' A': -0.011281733, 'A': -9.753334, ' B': -4.512666, ' "': -9.2886305, " '": -10.180248}
{' A': -0.02558349, ' B': -3.6875842, ' "': -9.502315, 'A': -9.730584, " '": -10.410574}
{' A': -0.013673351, 'A': -9.769229, ' B': -4.3155646, ' "': -9.506438, " '": -10.429814}
{' A': -0.02379716, 'A': -9.720833, ' B': -3.7592077, ' "': -9.562834, " '": -10.547003}
{' A': -0.014033911, 'A': -9.787679, ' B': -4.2873588, ' "': -9.686765, " '": -10.6271925}
{' A': -0.016280772, 'A': -9.730126, ' B': -4.139808, ' "': -9.460331, " '": -10.385454}
{' A': -0.017814692, 'A': -9.750186, ' B': -4.048874, ' "': -9.524891, " '": -10.486915}
{' A': -0.01546704, 'A': -9.780651, ' B': -4.189852, ' "': -9.625149, " '": -10.596511}
{' A': -0.009146871, ' B': -4.7212687, ' "': -9.613836, 'A': -9.790551, " '": -10.548566}
{' A': -0.12986645, 'A': -9.853756, ' B': -2.107804, ' "': -8.974242, " '": -10.209457}
{' A': -0.1421149, 'A': -9.78259, ' B': -2.023558, ' "': -9.050677, " '": -10.001736}
{' b': -9.990213, ' A': -1.2575138, ' B': -0.33502835, ' (': -10.311243, ' "': -8.952125}
{' b': -10.089941, ' A': -1.0780026, ' B': -0.41639087, ' (': -10.210122, ' "': -9.084822}
{' b': -10.072247, ' A': -1.0790086, ' B': -0.4158616, ' (': -10.259537, ' "': -9.114864}
{' A': -0.6644273, 'A': -10.02412, ' B': -0.72333765, ' (': -10.141823, ' "': -9.133601}
{' b': -10.165298, ' A': -1.1151798, 'A': -10.42318, ' B': -0.3976486, ' "': -9.373443}
{' A': -0.3402773, 'A': -9.6275625, ' B': -1.2444807, ' (': -10.276159, ' "': -8.983415}
{' A': -0.42613682, 'A': -9.821214, ' B': -1.0592945, ' (': -10.251057, ' "': -9.373133}
{' A': -0.35310715, 'A': -9.797168, ' B': -1.2132947, ' (': -10.253011, ' "': -9.237819}
{' A': -0.2549972, 'A': -9.720837, ' B': -1.4924049, ' (': -10.392214, ' "': -9.466911}
{' A': -0.26226038, 'A': -9.7198925, ' B': -1.4677752, ' (': -10.413664, ' "': -9.449808}
{' A': -0.23544775, 'A': -9.689055, ' B': -1.5629814, ' (': -10.405209, ' "': -9.267047}
{' A': -0.13810195, 'A': -9.651453, ' B': -2.0500262, ' (': -10.301977, ' "': -9.380185}
{' A': -0.11636048, 'A': -9.672748, ' B': -2.2106292, ' (': -10.634463, ' "': -9.644686}
{' A': -0.07594269, ' B': -2.618757, ' "': -9.520212, 'A': -9.645738, ' (': -10.372033}
{' A': -0.34678385, 'A': -9.831841, ' B': -1.2282953, ' (': -10.379226, ' "': -9.452384}
{' A': -0.06637397, ' B': -2.7492793, 'A': -9.514886, ' "': -9.526784, ' (': -10.390159}
{' A': -0.12532704, 'A': -9.644538, ' B': -2.1409729, ' (': -10.3633, ' "': -9.42879}
{' A': -0.047792505, 'A': -9.624688, ' B': -3.0694044, ' (': -10.400784, ' "': -9.679506}
{' A': -0.08209382, 'A': -9.610349, ' B': -2.5438209, ' (': -10.319417, ' "': -9.468033}
{' A': -0.05012375, 'A': -9.63103, ' B': -3.0228639, ' (': -10.439284, ' "': -9.595001}
{' A': -0.02060963, ' B': -3.903834, ' "': -9.513289, 'A': -9.606834, ' (': -10.399226}
{' A': -0.064959586, 'A': -9.618248, ' B': -2.7701006, ' (': -10.354593, ' "': -9.524537}
{' A': -0.07393089, 'A': -9.615942, ' B': -2.6446667, ' (': -10.456643, ' "': -9.511761}
{' A': -0.034510665, ' B': -3.3898363, 'A': -9.630917, ' "': -9.677052, ' (': -10.643901}
{' A': -0.12610465, 'A': -9.645405, ' B': -2.134989, ' (': -10.622718, ' "': -9.514406}
{' A': -0.028738298, 'A': -9.56296, ' B': -3.5729008, ' (': -10.390857, ' "': -9.397429}
{' A': -0.091065064, 'A': -9.596248, ' B': -2.4441438, ' (': -10.316081, ' "': -9.536831}
{' A': -0.041601174, 'A': -9.606539, ' B': -3.205654, ' (': -10.521529, ' "': -9.657019}
{' A': -0.05008013, 'A': -9.566683, ' B': -3.0234268, ' (': -10.588974, ' "': -9.728301}
{' A': -0.035879623, 'A': -9.613209, ' B': -3.351336, ' (': -10.611783, ' "': -9.75133}
{' A': -0.025648493, 'A': -9.592736, ' B': -3.6850302, ' (': -10.488321, ' "': -9.595022}
{' A': -0.057369705, 'A': -9.576402, ' B': -2.890805, ' (': -10.425493, ' "': -9.642899}
{' A': -0.025174182, 'A': -9.62119, ' B': -3.7024772, ' (': -10.663861, ' "': -9.810596}
{' A': -0.017388474, ' B': -4.0723615, 'A': -9.633069, ' "': -9.799859, ' (': -10.569694}
{' A': -0.18029043, 'A': -9.693832, ' B': -1.8034154, ' "': -9.413548, " '": -10.726676}
{' A': -0.16226181, 'A': -9.68219, ' B': -1.9003333, ' (': -10.559198, ' "': -9.235106}
{' B': -0.43219388, ' A': -1.0483322, ' "': -8.716564, ' (': -9.90988, " '": -10.040571}
{' B': -0.43121573, ' A': -1.0500246, ' "': -8.892773, ' (': -9.986837, ' b': -10.026451}
{' b': -9.873793, ' A': -1.2126595, ' B': -0.353437, ' (': -10.124716, ' "': -9.041213}
{' A': -0.68597376, 'A': -9.965992, ' B': -0.70106465, ' (': -9.929595, ' "': -9.00633}
{' b': -9.84084, ' A': -1.312665, ' B': -0.3139048, ' (': -10.0569935, ' "': -9.142364}
{' A': -0.3321046, 'A': -9.625598, ' B': -1.2653189, ' (': -9.760432, ' "': -8.590905}
{' A': -0.4566857, 'A': -9.759894, ' B': -1.004335, ' (': -9.871712, ' "': -9.106455}
{' A': -0.34141254, 'A': -9.720835, ' B': -1.2417383, ' (': -9.80309, ' "': -8.958188}
{' A': -0.31794745, 'A': -9.761243, ' B': -1.3018341, ' (': -9.915013, ' "': -9.031648}
{' A': -0.29773188, 'A': -9.657568, ' B': -1.3579658, ' (': -9.994154, ' "': -9.129055}
{' A': -0.34318972, 'A': -9.738746, ' B': -1.2373759, ' (': -10.005291, ' "': -8.894694}
{' A': -0.16948633, 'A': -9.566939, ' B': -1.8606577, ' (': -9.843749, ' "': -9.048087}
{' A': -0.13954479, 'A': -9.609955, ' B': -2.0403626, ' (': -10.262869, ' "': -9.384914}
{' A': -0.0928526, ' B': -2.4262857, ' "': -9.119156, 'A': -9.557801, ' (': -9.947797}
{' A': -0.46834502, 'A': -9.859512, ' B': -0.9844582, ' (': -9.976831, ' "': -9.07405}
{' A': -0.16420238, 'A': -9.542101, ' B': -1.8898093, ' (': -9.950064, ' "': -9.044679}
{' A': -0.18989016, 'A': -9.619383, ' B': -1.7564491, ' (': -10.010093, ' "': -9.239973}
{' A': -0.08791328, 'A': -9.5658865, ' B': -2.4782045, ' (': -10.1197405, ' "': -9.417116}
{' A': -0.12156502, 'A': -9.581579, ' B': -2.1699638, ' (': -10.149818, ' "': -9.251165}
{' A': -0.08213051, 'A': -9.540911, ' B': -2.5435486, ' (': -10.227096, ' "': -9.4316435}
{' A': -0.029360685, ' B': -3.552695, ' "': -9.239268, 'A': -9.534782, ' (': -10.110841}
{' A': -0.08561592, 'A': -9.558925, ' B': -2.5037713, ' (': -10.104535, ' "': -9.353484}
{' A': -0.11493516, 'A': -9.593466, ' B': -2.222996, ' (': -10.14667, ' "': -9.203243}
{' A': -0.11150826, 'A': -9.593435, ' B': -2.2515285, ' (': -10.295762, ' "': -9.246878}
{' A': -0.21851978, 'A': -9.739569, ' B': -1.6296296, ' (': -10.237289, ' "': -9.147025}
{' A': -0.03153134, 'A': -9.578383, ' B': -3.4817631, ' (': -10.133237, ' "': -9.201184}
{' A': -0.13358036, ' B': -2.0814657, ' "': -9.231532, 'A': -9.611263, ' (': -9.899974}
{' A': -0.05820739, 'A': -9.61025, ' B': -2.877385, ' (': -10.156393, ' "': -9.351422}
{' A': -0.09811635, 'A': -9.538175, ' B': -2.3729844, ' (': -10.284647, ' "': -9.468708}
{' A': -0.096071474, 'A': -9.568304, ' B': -2.3930628, ' (': -10.3230715, ' "': -9.454908}
{' A': -0.045046195, 'A': -9.509903, ' B': -3.1288395, ' (': -10.190335, ' "': -9.291459}
{' A': -0.06016135, 'A': -9.531829, ' B': -2.8450487, ' (': -10.211678, ' "': -9.45007}
{' A': -0.040506423, 'A': -9.542114, ' B': -3.232498, ' (': -10.378236, ' "': -9.533249}
{' A': -0.02983668, 'A': -9.544899, ' B': -3.5351808, ' (': -10.289147, ' "': -9.511927}
{' A': -0.25044268, 'A': -9.663511, ' B': -1.5086825, ' (': -10.235832, ' "': -8.872438}
{' A': -0.2815445, ' B': -1.4063423, ' "': -8.892435, 'A': -9.771055, ' (': -10.117142}
{' A': -0.70747715, 'A': -10.038205, ' B': -0.6798033, ' "': -8.680156, " '": -9.875444}
{' A': -0.60058564, 'A': -9.991106, ' B': -0.79594773, ' "': -8.925194, " '": -10.052339}
{' A': -0.67801744, ' B': -0.70919114, ' "': -8.940103, " '": -10.120178, 'A': -10.122339}
{' A': -0.36713126, 'A': -9.801177, ' B': -1.1810294, ' (': -10.008041, ' "': -9.157868}
{' b': -10.107722, ' A': -0.8299956, 'A': -10.221578, ' B': -0.5733199, ' "': -9.193587}
{' A': -0.2695071, 'A': -9.715005, ' B': -1.4444281, ' "': -8.809326, " '": -9.951878}
{' A': -0.32515106, 'A': -9.783175, ' B': -1.2828099, ' (': -10.023973, ' "': -9.110781}
{' A': -0.2284912, 'A': -9.775347, ' B': -1.5897545, ' (': -10.14607, ' "': -9.220584}
{' A': -0.1939508, 'A': -9.67868, ' B': -1.7370225, ' (': -10.284728, ' "': -9.521645}
{' A': -0.16670056, ' B': -1.87558, ' "': -9.242465, 'A': -9.708519, ' (': -10.277146}
{' A': -0.17485814, 'A': -9.670026, ' B': -1.8318291, ' "': -9.131078, " '": -10.092674}
{' A': -0.06898883, 'A': -9.621404, ' B': -2.7118871, ' (': -10.199075, ' "': -9.525731}
{' A': -0.07597195, 'A': -9.655568, ' B': -2.618603, ' (': -10.302964, ' "': -9.451518}
{' A': -0.03867108, 'A': -9.668153, ' B': -3.2783618, ' (': -10.215886, ' "': -9.532029}
{' A': -0.2779224, 'A': -9.785643, ' B': -1.4173076, ' "': -9.355675, " '": -10.199008}
{' A': -0.11074405, 'A': -9.568228, ' B': -2.2583709, ' "': -9.111656, " '": -10.118883}
{' A': -0.09230309, ' B': -2.4312372, ' "': -9.516225, 'A': -9.682234, ' (': -10.285679}
{' A': -0.03424201, ' B': -3.3984978, ' "': -9.538413, 'A': -9.6925535, ' (': -10.205226}
{' A': -0.04224991, 'A': -9.652279, ' B': -3.191233, ' (': -10.208558, ' "': -9.483458}
{' A': -0.033876803, 'A': -9.660176, ' B': -3.4089968, ' (': -10.275862, ' "': -9.587707}
{' A': -0.013897309, 'A': -9.658998, ' B': -4.3012643, ' (': -10.226459, ' "': -9.47284}
{' A': -0.04059767, 'A': -9.659523, ' B': -3.2306535, ' (': -10.223672, ' "': -9.467293}
{' A': -0.040060993, ' B': -3.2435274, ' "': -9.494112, 'A': -9.667703, ' (': -10.295856}
{' A': -0.0486633, ' B': -3.0518715, ' "': -9.563267, 'A': -9.695403, ' (': -10.425569}
{' A': -0.08064178, ' B': -2.5609715, ' "': -9.416371, 'A': -9.6867895, " '": -10.368613}
{' A': -0.028858168, 'A': -9.606844, ' B': -3.5688705, ' "': -9.382637, " '": -10.265831}
{' A': -0.046489406, 'A': -9.621513, ' B': -3.0972133, ' (': -10.177879, ' "': -9.506218}
{' A': -0.024962718, 'A': -9.680184, ' B': -3.7120829, ' (': -10.304845, ' "': -9.620675}
{' A': -0.03836575, 'A': -9.624789, ' B': -3.285886, ' (': -10.347333, ' "': -9.605649}
{' A': -0.03096257, 'A': -9.66148, ' B': -3.497824, ' (': -10.402977, ' "': -9.620194}
{' A': -0.019847218, 'A': -9.632239, ' B': -3.941775, ' (': -10.380665, ' "': -9.527537}
{' A': -0.029476456, 'A': -9.646937, ' B': -3.5466845, ' (': -10.365385, ' "': -9.626763}
{' A': -0.021793718, 'A': -9.676375, ' B': -3.8467677, ' (': -10.502801, ' "': -9.714598}
{' A': -0.014095265, ' B': -4.2843704, ' "': -9.66742, 'A': -9.705458, ' (': -10.442052}
{' A': -0.11151539, 'A': -9.717863, ' B': -2.2516253, ' "': -9.0629635, " '": -10.185488}
{' A': -0.21219112, 'A': -9.765252, ' B': -1.6562313, ' "': -8.910643, " '": -10.017648}
{' b': -10.099524, ' A': -0.8414047, ' B': -0.5647761, ' "': -8.590841, " '": -9.860895}
{' A': -0.6847146, ' B': -0.7023919, ' "': -8.786425, " '": -9.973346, ' (': -10.083886}
{' b': -10.049605, ' A': -0.901832, ' B': -0.52116525, ' "': -8.8376045, " '": -10.048868}
{' A': -0.5271116, 'A': -10.09986, ' B': -0.89314705, ' "': -8.924489, " '": -10.101928}
{' b': -10.213104, ' A': -0.8934388, ' B': -0.52685404, ' "': -8.995285, " '": -10.282547}
{' A': -0.3522036, 'A': -9.857719, ' B': -1.2157462, ' "': -8.697065, " '": -9.954663}
{' A': -0.4288204, 'A': -10.012995, ' B': -1.0544021, ' "': -8.979889, " '": -10.087322}
{' A': -0.30120862, 'A': -9.876423, ' B': -1.3480283, ' "': -8.988792, " '": -9.968368}
{' A': -0.2154447, 'A': -9.8495035, ' B': -1.6424276, ' "': -9.010752, " '": -10.102604}
{' A': -0.14015695, ' B': -2.036479, ' "': -9.068303, 'A': -9.809007, " '": -10.165422}
{' A': -0.1693367, 'A': -9.794654, ' B': -1.8615267, ' "': -8.80155, " '": -9.967187}
{' A': -0.066854276, 'A': -9.743734, ' B': -2.743059, ' "': -9.096786, " '": -10.018138}
{' A': -0.08347102, 'A': -9.772163, ' B': -2.5279691, ' "': -9.237632, " '": -10.223176}
{' A': -0.051775515, 'A': -9.762385, ' B': -2.9919455, ' "': -9.219888, " '": -10.165753}
{' A': -0.2992735, 'A': -9.905949, ' B': -1.3534384, ' "': -9.126838, " '": -10.083199}
{' A': -0.06410531, 'A': -9.682099, ' B': -2.7843106, ' "': -8.884874, " '": -10.088151}
{' A': -0.07209732, 'A': -9.77568, ' B': -2.669639, ' "': -9.131905, " '": -10.05344}
{' A': -0.061089516, 'A': -9.782903, ' B': -2.8305712, ' "': -9.151594, " '": -10.040723}
{' A': -0.06041129, 'A': -9.731509, ' B': -2.8414285, ' "': -9.157295, " '": -10.086826}
{' A': -0.049874853, 'A': -9.770271, ' B': -3.0288136, ' "': -9.166212, " '": -10.03335}
{' A': -0.017246926, 'A': -9.736519, ' B': -4.085358, ' "': -9.138838, " '": -10.010321}
{' A': -0.04452071, 'A': -9.755072, ' B': -3.1403248, ' "': -9.200388, " '": -10.117184}
{' A': -0.033183638, 'A': -9.743479, ' B': -3.4299104, ' "': -9.327808, " '": -10.2515135}
{' A': -0.039056454, ' B': -3.268701, ' "': -9.304328, 'A': -9.768969, " '": -10.217818}
{' A': -0.07038499, 'A': -9.746664, ' B': -2.6927013, ' "': -9.183046, " '": -10.148571}
{' A': -0.022386683, 'A': -9.687777, ' B': -3.8239517, ' "': -9.075113, " '": -9.940828}
{' A': -0.049841523, 'A': -9.69209, ' B': -3.0294862, ' "': -9.199987, " '": -10.142178}
{' A': -0.023356983, ' B': -3.7792637, ' "': -9.34673, 'A': -9.761897, ' (': -10.308819}
{' A': -0.041896246, 'A': -9.781521, ' B': -3.199802, ' "': -9.156409, " '": -10.299934}
{' A': -0.020810565, 'A': -9.775664, ' B': -3.8939965, ' "': -9.413685, " '": -10.376833}
{' A': -0.021583637, ' B': -3.8590527, ' "': -9.214715, 'A': -9.727661, " '": -10.139416}
{' A': -0.026859378, 'A': -9.735307, ' B': -3.640192, ' (': -10.274947, ' "': -9.297659}
{' A': -0.020780196, 'A': -9.772655, ' B': -3.8951755, ' "': -9.420165, " '": -10.434684}
{' A': -0.014686224, 'A': -9.784805, ' B': -4.2438197, ' "': -9.429134, " '": -10.403558}
{' A': -0.1492758, 'A': -9.870986, ' B': -1.9778186, ' "': -8.931293, " '": -10.100646}
{' A': -0.17208165, 'A': -9.808296, ' B': -1.8465867, ' "': -8.963912, " '": -9.920197}
{' b': -10.245286, ' A': -1.831458, 'B': -10.281742, ' B': -0.17482656, ' "': -9.5443}
{' b': -10.231144, ' A': -1.4213737, 'B': -10.366976, ' B': -0.2765547, ' "': -9.633552}
{' B': -0.15538402, ' A': -1.9400101, ' "': -9.655619, ' b': -10.055327, 'B': -10.333222}
{' b': -10.350271, ' A': -1.2365481, 'B': -10.399548, ' B': -0.34335575, ' "': -9.534173}
{' b': -10.042869, ' A': -2.0009615, 'B': -10.397008, ' B': -0.14549264, ' "': -9.691039}
{' A': -0.4986798, 'A': -9.794958, ' B': -0.9354588, ' (': -10.485917, ' "': -9.33846}
{' b': -10.236266, ' A': -1.0075332, 'A': -10.263983, ' B': -0.45472443, ' "': -9.4006405}
{' B': -0.57586455, ' A': -0.8266618, ' "': -9.242106, 'A': -10.202847, ' (': -10.20792}
{' A': -0.58514595, 'A': -9.986817, ' B': -0.8147736, ' (': -10.427154, ' "': -9.5468}
{' A': -0.53623956, 'A': -9.963154, ' B': -0.87990373, ' (': -10.478325, ' "': -9.516901}
{' A': -0.47022137, 'A': -9.80284, ' B': -0.98117703, ' (': -10.387446, ' "': -9.305371}
{' A': -0.19926175, 'A': -9.644507, ' B': -1.7124244, ' (': -10.385839, ' "': -9.504235}
{' A': -0.2268127, 'A': -9.681777, ' B': -1.5960602, ' (': -10.4973135, ' "': -9.504031}
{' A': -0.12771651, ' B': -2.123011, ' "': -9.523008, 'A': -9.633015, ' (': -10.475931}
{' A': -0.4835869, 'A': -9.919783, ' B': -0.95923394, ' (': -10.470591, ' "': -9.419635}
{' A': -0.21133818, 'A': -9.48217, ' B': -1.6594659, ' (': -10.379753, ' "': -9.415404}
{' A': -0.28303555, 'A': -9.681955, ' B': -1.4014722, ' (': -10.163125, ' "': -9.292003}
{' A': -0.12304551, 'A': -9.639349, ' B': -2.158133, ' (': -10.359481, ' "': -9.461755}
{' A': -0.18771607, ' B': -1.7666459, ' "': -9.410393, 'A': -9.639017, ' (': -10.446193}
{' A': -0.09789559, ' B': -2.374919, ' "': -9.477712, 'A': -9.572551, ' (': -10.455923}
{' A': -0.02927531, 'A': -9.532344, ' B': -3.5535443, ' (': -10.428632, ' "': -9.52984}
{' A': -0.088549845, ' B': -2.4708035, ' "': -9.57154, 'A': -9.590199, ' (': -10.40929}
{' A': -0.1414597, 'A': -9.651481, ' B': -2.027446, ' (': -10.458089, ' "': -9.409029}
{' A': -0.077624515, 'A': -9.6274805, ' B': -2.5973027, ' (': -10.607758, ' "': -9.551359}
{' A': -0.23864844, ' B': -1.5508184, ' "': -9.475959, 'A': -9.712837, ' (': -10.585349}
{' A': -0.068893865, 'A': -9.525722, ' B': -2.7132533, ' (': -10.459954, ' "': -9.320054}
{' A': -0.17911641, ' B': -1.8094208, ' "': -9.453728, 'A': -9.600602, ' (': -10.418205}
{' A': -0.06410638, 'A': -9.589869, ' B': -2.7825396, ' (': -10.539017, ' "': -9.598595}
{' A': -0.13816969, 'A': -9.60924, ' B': -2.0493615, ' (': -10.508132, ' "': -9.474974}
{' A': -0.08075318, ' B': -2.5591962, 'A': -9.600818, ' "': -9.601371, ' (': -10.655459}
{' A': -0.09735107, ' B': -2.3804185, ' "': -9.352477, 'A': -9.505405, ' (': -10.478494}
{' A': -0.058026087, 'A': -9.572656, ' B': -2.8795726, ' (': -10.523356, ' "': -9.576823}
{' A': -0.054683216, 'A': -9.566686, ' B': -2.9374516, ' (': -10.586785, ' "': -9.607841}
{' A': -0.046876423, 'A': -9.582511, ' B': -3.0881438, ' (': -10.561566, ' "': -9.640111}
{' A': -0.51675075, 'A': -9.929559, ' B': -0.9081502, ' (': -10.578682, ' "': -9.120432}
{' A': -0.76805633, 'A': -10.149496, 'B': -10.62296, ' B': -0.6239314, ' "': -9.213546}
{' A': -0.7495998, 'A': -10.1948185, ' B': -0.64022475, ' "': -9.1782, " '": -10.289028}
{' A': -0.51811945, ' B': -0.9060818, ' "': -9.364123, 'A': -10.021807, " '": -10.310775}
{' A': -0.67708665, ' B': -0.7099807, ' "': -9.384037, 'A': -10.17996, " '": -10.324105}
{' A': -0.4442287, 'A': -10.034559, ' B': -1.0259855, ' "': -9.436545, " '": -10.378705}
{' B': -0.47451112, ' A': -0.97398263, ' "': -9.275072, " '": -10.429608, ' b': -10.513491}
{' A': -0.19153398, 'A': -9.638951, ' B': -1.7484379, ' "': -9.289063, " '": -10.377861}
{' A': -0.2516485, 'A': -9.818876, ' B': -1.5040232, ' "': -9.416581, " '": -10.271126}
{' A': -0.17815828, 'A': -9.80423, ' B': -1.8142531, ' "': -9.47742, " '": -10.373023}
{' A': -0.10714318, 'A': -9.748639, ' B': -2.2886388, ' "': -9.723643, " '": -10.605317}
{' A': -0.07883723, 'A': -9.747854, ' B': -2.5821655, ' "': -9.690276, " '": -10.565586}
{' A': -0.07318062, 'A': -9.6860895, ' B': -2.6542637, ' "': -9.556295, " '": -10.473579}
{' A': -0.025408741, 'A': -9.701974, ' B': -3.6932364, ' "': -9.686696, " '": -10.546646}
{' A': -0.047796696, 'A': -9.74157, ' B': -3.0688043, ' "': -9.656697, " '": -10.561175}
{' A': -0.033071075, 'A': -9.748553, ' B': -3.431312, ' "': -9.764706, " '": -10.655311}
{' A': -0.18963428, 'A': -9.837108, ' B': -1.757311, ' "': -9.412581, " '": -10.295066}
{' A': -0.035757676, 'A': -9.635198, ' B': -3.3555398, ' "': -9.420407, " '": -10.367378}
{' A': -0.03796368, 'A': -9.728862, ' B': -3.295633, ' "': -9.575362, " '": -10.40994}
{' A': -0.019490024, 'A': -9.797344, ' B': -3.957051, ' "': -9.755657, " '": -10.633495}
{' A': -0.016891936, 'A': -9.76334, ' B': -4.100638, ' "': -9.718422, " '": -10.60863}
{' A': -0.019573962, 'A': -9.734354, ' B': -3.9540167, ' "': -9.593285, " '": -10.416141}
{' A': -0.0035130894, 'A': -9.771855, ' B': -5.7082896, ' "': -9.7372875, " '": -10.57778}
{' A': -0.010825568, 'A': -9.776486, ' B': -4.548101, ' "': -9.833793, " '": -10.666867}
{' A': -0.017138992, 'A': -9.767202, ' B': -4.0858665, ' "': -9.756238, " '": -10.6213455}
{' A': -0.009063925, 'A': -9.812112, ' B': -4.7264957, ' "': -9.8705225, " '": -10.764138}
{' A': -0.035327874, 'A': -9.760191, ' B': -3.3662965, ' "': -9.652489, " '": -10.527351}
{' A': -0.008830577, 'A': -9.715687, ' B': -4.7587256, ' "': -9.515955, " '": -10.3764515}
{' A': -0.015226269, 'A': -9.739632, ' B': -4.2046084, ' "': -9.820058, " '": -10.683062}
{' A': -0.009122508, ' B': -4.7191997, 'A': -9.785666, ' "': -10.008425, " '": -10.911486}
{' A': -0.016850593, 'A': -9.728282, ' B': -4.102235, ' "': -9.884738, " '": -10.780343}
{' A': -0.009924281, 'A': -9.787126, ' B': -4.6350517, ' "': -9.88133, " '": -10.780031}
{' A': -0.0063780686, 'A': -9.7495775, ' B': -5.08658, ' "': -9.809056, " '": -10.676756}
{' A': -0.0067469315, ' B': -5.027188, 'A': -9.777412, ' "': -9.925391, " '": -10.8090105}
{' A': -0.0060378243, 'A': -9.808368, ' B': -5.1401453, ' "': -9.927294, " '": -10.844307}
{' A': -0.0048085027, 'A': -9.771364, ' B': -5.3807507, ' "': -9.667106, " '": -10.547578}
{' A': -0.05233705, 'A': -9.787449, ' B': -2.980857, ' "': -9.214313, " '": -10.308528}
{' A': -0.061584733, 'A': -9.776836, ' B': -2.8227158, ' "': -9.022976, " '": -10.030666}
{' b': -10.404379, ' A': -1.2191476, 'A': -10.393261, ' B': -0.35058296, ' "': -9.312713}
{' B': -0.68658847, ' A': -0.7002794, ' "': -9.268187, 'A': -10.00152, ' b': -10.52534}
{' b': -10.629838, ' A': -0.6894932, 'A': -10.03805, ' B': -0.6972847, ' "': -9.436372}
{' A': -0.3403832, ' B': -1.2438046, ' "': -9.66744, 'A': -9.728025, " '": -10.907054}
{' b': -10.491162, ' A': -1.0710444, 'A': -10.44523, ' B': -0.41982237, ' "': -9.735065}
{' A': -0.17281815, 'A': -9.489442, ' B': -1.8425397, ' "': -9.110875, " '": -10.511926}
{' A': -0.3847289, 'A': -9.74429, ' B': -1.1420684, ' "': -9.799705, " '": -10.973009}
{' A': -0.16927783, ' B': -1.8609625, 'A': -9.588682, ' "': -9.792082, " '": -10.998562}
{' a': -11.161175, ' A': -0.10790197, 'A': -9.515158, ' B': -2.2818084, ' "': -10.042309}
{' A': -0.088112585, 'A': -9.534426, ' B': -2.47506, ' "': -9.985261, " '": -11.151339}
{' A': -0.06478475, ' B': -2.772354, 'A': -9.537116, ' "': -9.574648, " '": -10.895508}
{' a': -11.163117, ' A': -0.019242687, 'A': -9.541091, ' B': -3.969091, ' "': -10.098076}
{' A': -0.044011325, 'A': -9.541701, ' B': -3.1495774, ' "': -9.860307, " '": -11.018584}
{' a': -11.165755, ' A': -0.017212847, 'A': -9.565446, ' B': -4.080102, ' "': -10.190163}
{' A': -0.21964788, 'A': -9.656123, ' B': -1.6245971, ' "': -9.747054, " '": -10.898566}
{' a': -10.978953, ' A': -0.030198812, 'A': -9.452926, ' B': -3.5217643, ' "': -9.808064}
{' A': -0.040075142, 'A': -9.552626, ' B': -3.2414432, ' "': -9.9988985, " '": -11.09667}
{' a': -11.14916, ' A': -0.01583014, 'A': -9.6122, ' B': -4.163892, ' "': -10.180415}
{' A': -0.016490048, ' B': -4.123311, 'A': -9.551018, ' "': -10.160592, ' a': -11.126099}
{' a': -11.076902, ' A': -0.015401788, 'A': -9.545631, ' B': -4.1921177, ' "': -10.090714}
{' a': -10.836797, ' A': -0.0023708593, 'A': -9.59295, ' B': -6.1299376, ' "': -9.840792}
{' A': -0.0088829575, ' B': -4.7469754, 'A': -9.541286, ' "': -10.188375, ' a': -10.981643}
{' A': -0.008734432, ' B': -4.761601, 'A': -9.581791, ' "': -10.389729, ' a': -11.177583}
{' A': -0.0058277277, ' B': -5.1772637, 'A': -9.592835, ' "': -10.041595, ' a': -11.039533}
{' a': -11.1455, ' A': -0.021079896, 'A': -9.503695, ' B': -3.8780744, ' "': -10.104374}
{' a': -10.821401, ' A': -0.0025481428, 'A': -9.529518, ' B': -6.04944, ' "': -9.932831}
{' A': -0.014286247, ' B': -4.266285, 'A': -9.551605, ' "': -10.368873, ' a': -11.171604}
{' A': -0.0037003274, ' B': -5.6426125, 'A': -9.5930605, ' "': -10.340066, ' a': -10.996136}
