{' No': -0.008999929, ' ': -10.2733345, ' Generally': -10.194226, 'No': -4.7260695, ' Yes': -10.883266}
{' No': -0.023713361, ' ': -9.476403, ' Generally': -9.6834, 'No': -5.1323466, ' Yes': -4.0562663}
{' No': -1.9286013, ' Generally': -2.7285051, ' A': -5.7147927, ' Yes': -0.31563857, ' It': -3.1679676}
{' That': -4.2835803, ' No': -1.691614, ' Generally': -2.0622807, ' Yes': -0.8456286, ' It': -1.4885366}
{' That': -4.714532, ' No': -0.8785849, ' Generally': -2.8000572, ' Yes': -1.1374426, ' It': -1.7366554}
{' No': -0.85192347, ' Generally': -2.8547559, 'No': -5.0997815, ' Yes': -0.7323137, ' It': -3.9595551}
{' No': -0.037171096, ' Generally': -6.4817204, 'No': -4.6577687, ' Yes': -3.6938713, ' It': -8.882107}
{' Generally': -2.7238717, ' Typically': -6.5647206, ' Yes': -0.103695616, 'Yes': -6.0648217, ' It': -3.7229962}
{' Yes': -0.055460434, ' Generally': -3.321459, ' No': -4.715245, ' It': -5.6772447, 'Yes': -5.8675213}
{' No': -3.2622201, ' Generally': -2.437134, ' Yes': -0.17271422, 'Yes': -5.910367, ' It': -3.8304975}
{' No': -0.5952272, ' Generally': -6.1600924, 'No': -5.117179, ' Yes': -0.8244888, 'Yes': -6.426907}
{' Generally': -4.7066255, ' Typically': -8.852985, ' A': -9.2301655, ' Yes': -0.011118563, 'Yes': -6.4594135}
{' Generally': -4.4339814, ' Typically': -8.786003, ' Yes': -0.014597373, 'Yes': -6.4575725, ' It': -7.5527954}
{' No': -5.550654, ' ': -9.834479, ' Generally': -6.4287615, ' Yes': -0.0081091225, 'Yes': -6.0557775}
{' Yes': -0.090153225, ' Generally': -2.9154341, ' It': -3.8985791, ' No': -5.214253, 'Yes': -6.245159}
{' Yes': -0.0110225575, ' Generally': -5.4659176, ' No': -5.530166, 'Yes': -6.1068225, ' It': -8.805737}
{' Yes': -0.0011289659, 'Yes': -6.886427, ' Generally': -9.713824, ' yes': -10.339206, ' ': -11.63886}
{' An': -8.664952, ' No': -0.019205868, ' Generally': -6.6384435, 'No': -4.0927873, ' Yes': -7.6929083}
{' An': -8.294989, ' No': -0.019102275, ' Generally': -6.661846, 'No': -4.146501, ' Yes': -6.7702765}
{' An': -8.823196, ' No': -0.01969973, ' Generally': -6.230107, 'No': -4.136206, ' Yes': -6.9162884}
{' No': -0.017851096, 'No': -4.1256847, ' Generally': -7.3426147, ' Yes': -7.5090327, ' An': -8.951574}
{' No': -0.011988236, 'No': -4.568503, ' Yes': -7.0539474, ' Generally': -7.7500706, ' An': -8.995367}
{' No': -0.020527309, 'No': -4.1534367, ' Yes': -5.461476, ' ': -8.738035, ' Generally': -9.22262}
{' That': -5.6285787, ' No': -1.6724309, ' Generally': -3.0662446, ' Yes': -0.36889923, ' It': -2.941338}
{' That': -4.148417, ' No': -1.6064361, ' Generally': -2.363072, ' Yes': -0.8775563, ' It': -1.3827481}
{' That': -4.406492, ' No': -0.6999856, ' Generally': -2.902237, ' Yes': -1.6189556, ' It': -1.5407829}
{' No': -0.45431146, ' Yes': -1.2261028, ' Generally': -3.441322, ' It': -3.9168339, 'No': -4.583189}
{' No': -0.061776515, ' ': -8.216229, ' Generally': -6.5329447, 'No': -4.3836017, ' Yes': -3.0972717}
{' That': -6.127792, ' Generally': -2.9954033, ' Yes': -0.09919765, 'Yes': -5.6261234, ' It': -3.4817202}
{' No': -4.3913097, ' Generally': -3.1680663, ' Yes': -0.07708183, 'Yes': -5.5136375, ' It': -4.537945}
{' No': -3.5553656, ' Generally': -3.0066807, ' Yes': -0.114798695, 'Yes': -5.4934473, ' It': -4.0440817}
{' No': -0.5640049, ' Generally': -5.874208, 'No': -4.323368, ' Yes': -0.888752, 'Yes': -5.871357}
{' Generally': -4.268279, ' Typically': -7.948102, ' Yes': -0.018996386, 'Yes': -5.7855463, ' It': -7.50521}
{' Yes': -0.019467417, ' Generally': -4.354333, 'Yes': -6.0118184, ' It': -6.018051, ' In': -7.973391}
{' No': -4.6929526, ' ': -8.4769125, ' Generally': -6.0488443, ' Yes': -0.016961833, 'Yes': -5.404381}
{' No': -5.2824726, ' Generally': -3.3427603, ' Yes': -0.07756629, 'Yes': -5.8809795, ' It': -3.689518}
{' Yes': -0.018978525, ' Generally': -4.986664, ' No': -5.1086903, 'Yes': -5.432312, ' It': -8.071045}
{' Yes': -0.002231599, 'Yes': -6.2650676, ' Generally': -8.5241165, ' yes': -9.323329, ' ': -10.794632}
{' No': -0.010434778, ' ': -9.647012, ' Generally': -10.433408, 'No': -4.58554, ' Yes': -9.4580145}
{' No': -0.010768332, 'No': -4.5707045, ' Yes': -8.233926, ' ': -9.842177, ' Generally': -10.467148}
{' No': -0.009112404, ' ': -9.807286, ' Generally': -10.960254, 'No': -4.7208395, ' Yes': -9.38277}
{' No': -0.007518271, ' ': -9.979861, ' Generally': -11.494499, 'No': -4.908803, ' Yes': -9.984624}
{' No': -0.007316329, 'No': -4.9649577, ' Yes': -8.3288765, ' ': -9.836098, ' Generally': -11.771018}
{' No': -0.0064405766, ' ': -9.632039, ' Generally': -13.683005, 'No': -5.1024923, ' Yes': -8.2275915}
{' No': -0.070450604, ' Generally': -5.7775807, 'No': -4.648188, ' Yes': -2.9222627, ' It': -7.2941074}
{' No': -0.04220216, ' Generally': -5.6619773, 'No': -4.6282387, ' Yes': -3.6291065, ' It': -7.074789}
{' No': -0.01560882, 'No': -4.641509, ' Yes': -5.352784, ' Generally': -7.283963, ' It': -8.801688}
{' No': -0.011511792, ' ': -9.265354, ' Generally': -8.0536375, 'No': -4.749327, ' Yes': -6.075541}
{' No': -0.008178409, ' ': -9.293208, ' Generally': -10.954318, 'No': -4.9747996, ' Yes': -6.799793}
{' No': -5.2670636, ' Generally': -4.82301, ' Yes': -0.016245937, 'Yes': -6.2390604, ' It': -7.970666}
{' No': -2.1594658, ' Generally': -5.479912, 'No': -6.534673, ' Yes': -0.132288, 'Yes': -6.0663357}
{' No': -0.33806103, ' Generally': -4.46467, 'No': -4.604006, ' Yes': -1.3346392, 'Yes': -7.0876946}
{' No': -0.016224433, ' ': -9.573941, ' Generally': -9.915926, 'No': -4.8160043, ' Yes': -4.849587}
{' No': -9.7830715, ' ': -10.160835, ' Generally': -7.114201, ' Yes': -0.002613638, 'Yes': -6.4274406}
{' No': -7.6515465, ' ': -10.150508, ' Generally': -6.6485476, ' Yes': -0.0033532176, 'Yes': -6.5598826}
{' No': -1.0830972, ' Generally': -8.05321, 'No': -5.9382815, ' Yes': -0.42083716, 'Yes': -6.4302745}
{' No': -1.3774408, ' Generally': -4.2238913, 'No': -6.0115156, ' Yes': -0.31766638, 'Yes': -6.5762763}
{' Yes': -0.5732477, ' No': -0.8444039, 'No': -5.6538424, 'Yes': -6.6529117, ' Generally': -6.783233}
{' ': -10.699013, ' Generally': -10.992651, ' Yes': -0.0011825524, ' yes': -10.331883, 'Yes': -6.8088517}
{' No': -0.009222124, ' ': -9.717152, ' Generally': -9.308046, 'No': -4.7120814, ' Yes': -10.470785}
{' No': -0.009577833, ' ': -9.973611, ' Generally': -9.16863, 'No': -4.6818476, ' Yes': -9.299863}
{' No': -0.009252925, ' ': -9.890886, ' Generally': -9.359892, 'No': -4.709366, ' Yes': -9.970985}
{' No': -0.0076550837, ' ': -10.048502, ' Generally': -10.401586, 'No': -4.8940377, ' Yes': -9.891733}
{' No': -0.008789811, ' ': -9.877244, ' Generally': -10.196302, 'No': -4.7754445, ' Yes': -8.471057}
{' No': -0.0066479826, ' ': -9.666294, ' Generally': -12.755828, 'No': -5.039561, ' Yes': -9.445897}
{' No': -0.108525, ' Generally': -4.57732, 'No': -4.6460214, ' Yes': -2.5479877, ' It': -6.0242825}
{' No': -0.06666866, ' Yes': -3.2452898, ' Generally': -4.4486227, 'No': -4.6090937, ' It': -6.1004415}
{' No': -0.022193601, ' Generally': -6.0823603, 'No': -4.4657893, ' Yes': -4.997045, ' It': -7.139186}
{' No': -0.018609377, ' ': -9.099879, ' Generally': -6.519946, 'No': -4.6321173, ' Yes': -4.987172}
{' No': -0.0073749903, ' ': -9.471857, ' Generally': -10.916734, 'No': -4.958625, ' Yes': -8.416186}
{' No': -4.507715, ' Generally': -3.0516162, ' Yes': -0.07499686, 'Yes': -6.188772, ' It': -4.7488213}
{' No': -1.7669054, ' Generally': -3.9482484, 'No': -5.903826, ' Yes': -0.21995427, 'Yes': -5.9834466}
{' No': -0.22098422, ' Generally': -3.2928343, 'No': -4.318457, ' Yes': -1.9462306, ' It': -6.226954}
{' No': -0.010190216, ' ': -10.139536, ' Generally': -10.377881, 'No': -4.6786475, ' Yes': -7.1778665}
{' No': -8.987414, ' Generally': -5.466748, ' Yes': -0.006329483, ' yes': -9.340253, 'Yes': -6.408738}
{' No': -7.0258546, ' Generally': -5.0649996, ' Yes': -0.00927446, 'Yes': -6.508372, ' It': -8.935044}
{' No': -0.59373224, ' Generally': -7.008025, 'No': -5.430742, ' Yes': -0.81917894, 'Yes': -6.7604227}
{' No': -1.324648, ' Generally': -3.098078, 'No': -5.7060375, ' Yes': -0.38696876, ' It': -6.1834965}
{' No': -0.4761247, ' Generally': -5.467633, 'No': -5.090796, ' Yes': -1.0032587, 'Yes': -6.909886}
{' ': -10.531383, ' Generally': -10.428559, ' Yes': -0.0011934736, ' yes': -9.725169, 'Yes': -6.839093}
{' No': -0.008889092, ' ': -9.718491, ' Generally': -11.278801, 'No': -4.737311, ' Yes': -11.522365}
{' No': -0.007910546, ' ': -9.975605, ' Generally': -11.727774, 'No': -4.8540025, ' Yes': -10.662442}
{' No': -0.0070547597, 'No': -4.965289, ' ': -10.312066, ' Yes': -11.534756, ' Generally': -11.7285385}
{' No': -0.0057202973, 'No': -5.173498, ' ': -10.480372, ' Yes': -11.975404, ' Generally': -12.810044}
{' No': -0.0060242135, ' ': -10.316302, ' Generally': -12.669699, 'No': -5.1378884, ' Yes': -9.237876}
{' No': -0.0047398075, ' ': -10.419407, 'No': -5.3679123, ' Yes': -10.30085, ' no': -14.889371}
{' No': -0.047753744, ' Yes': -3.44148, 'No': -4.7222986, ' Generally': -5.8560166, ' It': -6.1738462}
{' No': -0.029974367, ' Generally': -5.7442756, 'No': -4.591923, ' Yes': -4.3511453, ' It': -5.9280167}
{' No': -0.012187746, ' Generally': -8.0080385, 'No': -4.663841, ' Yes': -6.368482, ' It': -7.7733974}
{' No': -0.009494189, ' ': -9.157964, ' Generally': -8.618159, 'No': -4.8477964, ' Yes': -6.676919}
{' No': -0.0054873712, ' ': -9.550272, ' Generally': -12.520246, 'No': -5.2497425, ' Yes': -8.842041}
{' No': -4.1893916, ' Generally': -4.30031, ' Yes': -0.03849403, 'Yes': -6.108054, ' It': -5.1800036}
{' No': -0.13537335, ' Generally': -5.3467894, 'No': -4.5305357, ' Yes': -2.2140362, ' It': -7.174329}
{' No': -0.04065149, ' Generally': -5.2243767, 'No': -4.5156765, ' Yes': -3.822754, ' It': -6.8799815}
{' No': -0.0057943957, 'No': -5.1669707, ' Yes': -10.147854, ' ': -10.386251, ' Generally': -12.662024}
{' No': -8.274397, ' ': -9.532566, ' Generally': -6.967739, ' Yes': -0.003044371, 'Yes': -6.400511}
{' No': -5.503621, ' Generally': -6.465873, ' Yes': -0.007514067, 'Yes': -6.469825, ' It': -9.411717}
{' No': -0.037730303, ' ': -8.722496, 'No': -5.2515593, ' Yes': -3.4585273, 'Yes': -9.364082}
{' No': -0.34548274, ' Generally': -4.0178056, 'No': -5.0099397, ' Yes': -1.3372965, ' It': -5.899237}
{' No': -0.050599396, ' Yes': -3.1572695, 'No': -5.1043844, ' Generally': -7.9597387, ' ': -8.434596}
{' No': -11.962638, ' ': -10.218991, ' Yes': -0.00138565, ' yes': -10.119065, 'Yes': -6.651095}
{' No': -0.0108475005, 'No': -4.545777, ' Generally': -9.277999, ' ': -9.861158, ' Yes': -10.8505745}
{' No': -0.011107838, ' ': -10.046454, ' Generally': -8.918338, 'No': -4.534074, ' Yes': -9.111999}
{' No': -0.011038891, ' ': -10.353713, ' Generally': -9.308547, 'No': -4.5260725, ' Yes': -10.826568}
{' No': -0.010560187, ' ': -10.729598, ' Generally': -10.833039, 'No': -4.5614557, ' Yes': -11.444366}
{' No': -0.009646861, ' ': -10.2457, ' Generally': -10.00019, 'No': -4.680528, ' Yes': -8.355376}
{' No': -0.007924063, ' ': -10.516559, ' Generally': -13.603132, 'No': -4.853741, ' Yes': -9.659772}
{' No': -0.35936305, ' Yes': -1.4726079, ' Generally': -3.5497468, ' It': -3.594333, 'No': -4.5716414}
{' No': -0.2042482, ' Generally': -3.2572608, 'No': -4.4365573, ' Yes': -2.8243937, ' It': -2.6745508}
{' No': -0.07312759, ' Generally': -4.466638, 'No': -4.1825213, ' Yes': -4.199556, ' It': -3.643392}
{' No': -0.048929665, ' Yes': -3.5353377, 'No': -4.449261, ' Generally': -5.2792497, ' It': -7.0115695}
{' No': -0.009357786, ' ': -9.648209, ' Generally': -9.910196, 'No': -4.8311977, ' Yes': -6.718811}
{' No': -4.433972, ' Generally': -2.5165622, ' Yes': -0.17756727, 'Yes': -5.944081, ' It': -2.7967708}
{' No': -0.54571587, ' Generally': -2.4351983, 'No': -4.476765, ' Yes': -1.2006232, ' It': -4.25042}
{' No': -0.31183484, ' Generally': -2.6467843, 'No': -4.1870294, ' Yes': -1.8054032, ' It': -4.3855615}
{' No': -0.010888175, ' ': -10.102907, ' Generally': -9.750453, 'No': -4.60588, ' Yes': -7.2316923}
{' Generally': -5.0756264, ' Typically': -9.26734, ' Yes': -0.008732268, 'Yes': -6.1780095, ' It': -9.698896}
{' No': -7.923945, ' Generally': -4.7540383, ' Yes': -0.011860416, 'Yes': -6.323357, ' It': -7.3983045}
{' No': -1.5811658, ' Generally': -7.1350064, 'No': -6.1198564, ' Yes': -0.23784107, 'Yes': -5.9600415}
{' No': -2.8152275, ' Generally': -3.1403773, ' Yes': -0.12326656, 'Yes': -6.19243, ' It': -4.888964}
{' No': -1.2085638, ' Generally': -5.205928, 'No': -5.7053246, ' Yes': -0.37164786, 'Yes': -6.1974607}
{' ': -10.691876, ' Generally': -10.082963, ' Yes': -0.0014413383, ' yes': -10.093547, 'Yes': -6.6234713}
{' No': -0.009561166, ' ': -10.077532, ' Generally': -8.414684, 'No': -4.6901393, ' Yes': -10.397336}
{' No': -0.009238427, ' ': -10.22502, ' Generally': -8.268756, 'No': -4.7415876, ' Yes': -9.17895}
{' No': -0.009076613, ' ': -10.090288, ' Generally': -8.249658, 'No': -4.751329, ' Yes': -9.916337}
{' No': -0.008147884, ' ': -10.394876, ' Generally': -9.061434, 'No': -4.838792, ' Yes': -10.575676}
{' No': -0.0075758044, ' ': -10.2697115, ' Generally': -9.183507, 'No': -4.9249663, ' Yes': -9.073733}
{' No': -0.005755186, 'No': -5.1850877, ' Yes': -9.280742, ' ': -10.235482, ' Generally': -12.006955}
{' No': -0.4715768, ' Generally': -3.266493, 'No': -4.9139805, ' Yes': -1.2588674, ' It': -3.307125}
{' No': -0.3915273, ' Generally': -2.7730541, 'No': -4.8120995, ' Yes': -2.267622, ' It': -2.0056934}
{' No': -0.15699558, ' Generally': -4.0448055, 'No': -4.4927897, ' Yes': -2.932817, ' It': -2.8711238}
{' No': -0.08847118, ' Generally': -4.4321275, 'No': -4.649045, ' Yes': -2.875611, ' It': -5.4774785}
{' No': -0.009808286, ' ': -9.482975, ' Generally': -8.460241, 'No': -5.0183263, ' Yes': -5.8781266}
{' No': -4.9374433, ' Generally': -2.762738, ' Yes': -0.117638424, 'Yes': -6.1547685, ' It': -3.4275274}
{' No': -1.6291479, ' Generally': -2.9930868, 'No': -5.7542086, ' Yes': -0.31020483, ' It': -4.570153}
{' No': -0.740096, ' Yes': -0.92378896, ' Generally': -2.44266, ' It': -3.860547, 'No': -4.805596}
{' No': -0.015031599, ' ': -9.846927, ' Generally': -8.783754, 'No': -4.8705344, ' Yes': -4.963819}
{' Generally': -4.424451, ' Typically': -8.436507, ' Yes': -0.014766188, 'Yes': -6.347243, ' It': -8.495597}
{' No': -7.5962706, ' Generally': -4.3564467, ' Yes': -0.01675561, 'Yes': -6.4453635, ' It': -6.8506956}
{' No': -1.9169556, ' Generally': -6.022187, 'No': -6.7317696, ' Yes': -0.16627653, 'Yes': -6.164175}
{' Yes': -0.121569805, ' Generally': -3.005923, ' No': -3.2196436, ' It': -3.9709272, 'Yes': -6.360932}
{' Yes': -0.17628011, ' No': -1.8887187, ' Generally': -5.085168, 'Yes': -6.2491636, 'No': -6.677769}
{' ': -11.0508175, ' Generally': -9.665287, ' Yes': -0.001072399, ' yes': -10.268454, 'Yes': -6.958761}
{' An': -8.80568, ' No': -0.012604089, ' ': -8.409078, ' Generally': -7.3319035, 'No': -4.4985847}
{' No': -0.012384521, 'No': -4.589798, ' Generally': -7.04945, ' An': -7.6722994, ' Yes': -7.9217834}
{' An': -8.112064, ' No': -0.01210895, ' ': -8.616803, ' Generally': -6.5088434, 'No': -4.640023}
{' An': -8.508013, ' No': -0.009348159, ' Generally': -7.453729, 'No': -4.8179417, ' Yes': -8.874975}
{' An': -7.3462014, ' No': -0.010289515, ' Generally': -7.2934747, 'No': -4.783052, ' Yes': -8.324657}
{' No': -0.0073240153, ' ': -9.022405, ' Generally': -9.154159, 'No': -5.0049853, ' Yes': -8.326561}
{' No': -0.97539985, ' Generally': -3.005103, ' A': -4.5255075, ' Yes': -0.7056455, ' It': -3.1119392}
{' That': -3.3839033, ' No': -0.78294164, ' Generally': -2.3805768, ' Yes': -1.8625028, ' It': -1.4845693}
{' That': -3.9966912, ' No': -0.59385145, ' Generally': -2.940312, ' Yes': -1.5182939, ' It': -2.0527117}
{' No': -0.19522266, ' Yes': -2.0961568, ' Generally': -3.9624689, ' It': -4.231342, 'No': -4.812429}
{' No': -0.081698425, ' Generally': -6.1680512, 'No': -4.9111524, ' A': -7.560147, ' Yes': -2.6991012}
{' That': -5.3770328, ' No': -5.344251, ' Generally': -2.577695, ' Yes': -0.14674114, ' It': -3.2824318}
{' No': -4.133513, ' Generally': -3.5101933, ' Yes': -0.0593, 'Yes': -5.9150567, ' It': -5.6334515}
{' No': -2.2063103, ' Generally': -2.6114714, ' A': -5.403515, ' Yes': -0.2711947, ' It': -3.4484844}
{' No': -0.30424023, ' Yes': -1.3913774, 'No': -4.8380647, ' Generally': -5.663832, 'Yes': -6.933144}
{' Generally': -4.343315, ' Typically': -7.80081, ' A': -7.3661723, ' Yes': -0.017433295, 'Yes': -6.1083565}
{' Generally': -3.8393555, ' A': -7.1143494, ' Yes': -0.030241136, 'Yes': -6.2447543, ' It': -5.7796974}
{' No': -3.3922668, ' Generally': -4.92308, ' A': -7.6633763, ' Yes': -0.046683867, 'Yes': -5.8693953}
{' No': -3.4848042, ' Generally': -2.605133, ' A': -5.787958, ' Yes': -0.16161355, ' It': -3.6225379}
{' No': -2.9797454, ' Generally': -4.2818255, ' A': -7.20099, ' Yes': -0.07323051, 'Yes': -6.03729}
{' ': -9.559104, ' Generally': -7.5305014, ' Yes': -0.0025456338, ' yes': -8.915133, 'Yes': -6.3949947}
{' An': -9.69791, ' No': -0.01483007, ' ': -9.528099, ' Generally': -7.4680214, 'No': -4.2742066}
{' An': -9.489729, ' No': -0.01673349, ' Generally': -7.460007, 'No': -4.1525273, ' Yes': -9.350147}
{' An': -10.075445, ' No': -0.017992549, ' ': -9.523439, ' Generally': -7.41473, 'No': -4.0718884}
{' An': -10.019348, ' No': -0.015033475, ' ': -9.801666, ' Generally': -7.9226336, 'No': -4.2414775}
{' An': -9.530787, ' No': -0.013829922, ' ': -9.870579, ' Generally': -8.686217, 'No': -4.3145404}
{' No': -0.012252308, 'No': -4.4220114, ' ': -9.937564, ' Generally': -9.956, ' Yes': -10.018377}
{' No': -0.18201885, ' Generally': -3.2212472, 'No': -4.2006116, ' Yes': -2.4784932, ' It': -4.002093}
{' No': -0.21514775, ' Generally': -2.679358, 'No': -4.176598, ' Yes': -3.1049564, ' It': -2.9522805}
{' No': -0.07898312, ' Generally': -3.763246, 'No': -3.9604604, ' Yes': -4.8359046, ' It': -3.927114}
{' No': -0.03957349, ' Generally': -4.731199, 'No': -4.0883117, ' Yes': -4.535602, ' It': -7.1042376}
{' No': -0.012256533, ' ': -9.360582, ' Generally': -7.899246, 'No': -4.477651, ' Yes': -8.112533}
{' That': -5.7379704, ' No': -4.3020444, ' Generally': -2.406693, ' Yes': -0.16078053, ' It': -3.4401538}
{' No': -1.7879148, ' Generally': -1.8673655, ' Typically': -5.287785, ' Yes': -0.45347077, ' It': -3.7500842}
{' Yes': -0.7260465, ' No': -1.061759, ' Generally': -1.9772366, ' It': -4.53275, 'No': -4.7022257}
{' No': -0.017817603, ' ': -9.697978, ' Generally': -7.1640177, 'No': -4.2483263, ' Yes': -6.016774}
{' Generally': -3.731895, ' Typically': -7.862823, ' Yes': -0.027488194, 'Yes': -6.2602262, ' It': -7.9485006}
{' No': -7.8816643, ' Generally': -3.9795842, ' Yes': -0.022562673, 'Yes': -6.3620877, ' It': -7.2437572}
{' No': -1.1896185, ' Generally': -4.412027, 'No': -5.648265, ' Yes': -0.39009795, 'Yes': -6.1468134}
{' No': -1.6845747, ' Generally': -1.9872671, 'No': -5.6565747, ' Yes': -0.43448707, ' It': -4.2177434}
{' Yes': -0.71697026, ' No': -0.7425039, ' Generally': -3.661554, 'No': -5.041942, 'Yes': -6.4000645}
{' ': -10.524843, ' Generally': -8.028471, ' Yes': -0.001761513, ' yes': -9.781441, 'Yes': -6.624827}
{' No': -0.012667772, ' ': -9.452565, ' Generally': -9.285943, 'No': -4.4015036, ' Yes': -8.898284}
{' No': -0.015089748, ' ': -9.560333, ' Generally': -9.598107, 'No': -4.2512765, ' Yes': -7.4742284}
{' No': -0.013859474, ' ': -9.57722, ' Generally': -9.795817, 'No': -4.321469, ' Yes': -7.9800324}
{' No': -0.01144764, ' ': -9.579343, ' Generally': -10.083852, 'No': -4.5155406, ' Yes': -8.066089}
{' No': -0.012029921, ' ': -9.584969, ' Generally': -10.425528, 'No': -4.5368443, ' Yes': -6.783745}
{' No': -0.009929396, ' ': -9.264062, 'No': -4.6824775, ' Yes': -7.5622435, 'Yes': -12.731005}
{' No': -0.47586128, ' Yes': -1.0826536, ' Generally': -4.038424, 'No': -4.718901, ' It': -4.862284}
{' No': -0.2547959, ' Generally': -3.9283304, 'No': -4.460435, ' Yes': -1.74265, ' It': -4.248437}
{' No': -0.17479113, ' Generally': -4.788757, 'No': -4.295257, ' Yes': -2.111078, ' It': -4.2777686}
{' No': -0.2158225, ' Generally': -5.1139874, 'No': -4.5326366, ' Yes': -1.7435879, 'Yes': -7.325485}
{' No': -0.019857613, ' ': -8.782524, ' Generally': -9.47258, 'No': -4.4982834, ' Yes': -4.7997856}
{' No': -6.1388664, ' Generally': -4.5385284, ' Yes': -0.018552905, 'Yes': -5.9129386, ' It': -6.251581}
{' No': -4.1481414, ' Generally': -5.012218, ' Yes': -0.028274415, 'Yes': -5.534538, ' It': -7.8353324}
{' Yes': -0.20146629, ' No': -1.8844953, ' Generally': -3.8254151, 'No': -5.7016964, 'Yes': -5.786633}
{' No': -0.03168852, ' ': -9.069892, 'No': -4.335054, ' Yes': -4.029264, 'Yes': -9.172214}
{' No': -9.686384, ' Generally': -6.257603, ' Yes': -0.00477508, ' yes': -9.515098, 'Yes': -5.968798}
{' No': -8.621524, ' Generally': -5.975393, ' Yes': -0.005107708, ' yes': -9.5479765, 'Yes': -6.1721487}
{' No': -2.8403971, ' Generally': -8.287229, 'No': -7.096745, ' Yes': -0.065432034, 'Yes': -5.651097}
{' No': -3.1505308, ' Generally': -4.247411, ' Yes': -0.06567686, 'Yes': -5.9182024, ' It': -6.317818}
{' No': -3.070805, ' Generally': -6.9525247, 'No': -7.166567, ' Yes': -0.053265467, 'Yes': -5.7009315}
{' ': -10.722626, ' Generally': -11.384368, ' Yes': -0.002044697, ' yes': -9.833059, 'Yes': -6.2398753}
{' No': -0.007409338, ' ': -10.157095, ' Generally': -10.83286, 'No': -4.9193373, ' Yes': -11.267579}
{' No': -0.0071766796, 'No': -4.9526453, ' Yes': -10.328494, ' ': -10.398818, ' Generally': -11.005065}
{' No': -0.0069317725, ' ': -10.12603, ' Generally': -10.506727, 'No': -4.9936357, ' Yes': -9.855494}
{' No': -0.006613484, ' ': -10.377857, ' Generally': -11.237997, 'No': -5.032809, ' Yes': -10.749514}
{' No': -0.0058620833, 'No': -5.1812997, ' Yes': -8.70168, ' ': -10.25883, ' Generally': -11.128238}
{' No': -0.0049423687, ' ': -10.217848, ' Generally': -13.595732, 'No': -5.338312, ' Yes': -9.365372}
{' No': -0.055124745, ' Yes': -3.1624873, 'No': -4.9834366, ' Generally': -5.7157288, ' It': -7.5940685}
{' No': -0.042740982, ' Generally': -5.228757, 'No': -4.8905115, ' Yes': -3.5967073, ' It': -7.130936}
{' No': -0.010600667, ' ': -9.439811, ' Generally': -7.530664, 'No': -4.96861, ' Yes': -5.880994}
{' No': -0.021613846, ' Yes': -4.294849, 'No': -5.041267, ' Generally': -6.9115787, ' ': -9.501662}
{' No': -0.006139112, ' ': -9.776105, ' Generally': -11.130993, 'No': -5.2031584, ' Yes': -7.521875}
{' No': -3.8571002, ' Generally': -3.858674, ' Yes': -0.049014114, 'Yes': -6.529139, ' It': -5.85007}
{' No': -1.5132302, ' Generally': -4.6853933, 'No': -6.045304, ' Yes': -0.267251, 'Yes': -6.323956}
{' No': -0.7458106, ' Generally': -3.7242959, 'No': -5.3771925, ' Yes': -0.70506966, 'Yes': -6.884901}
{' No': -0.013499642, ' ': -9.854619, ' Generally': -10.031641, 'No': -5.0868006, ' Yes': -4.9476085}
{' No': -8.844141, ' Generally': -6.838024, ' Yes': -0.0025981006, ' yes': -10.440937, 'Yes': -6.6691475}
{' No': -6.856544, ' Generally': -6.041576, ' Yes': -0.004662973, 'Yes': -6.8787885, ' It': -10.08294}
{' No': -1.2265334, ' Generally': -7.914468, 'No': -6.225295, ' Yes': -0.3530382, 'Yes': -6.4722967}
{' Yes': -0.29203174, ' No': -1.467361, ' Generally': -4.013459, 'No': -6.39018, 'Yes': -6.8463125}
{' Yes': -0.6313543, ' No': -0.77100265, 'No': -5.786124, ' Generally': -6.7665644, 'Yes': -6.884318}
{' ': -11.127803, ' Generally': -10.70072, ' Yes': -0.0010536597, ' yes': -10.422742, 'Yes': -6.9274487}
{' No': -0.008144818, ' ': -9.8418255, ' Generally': -8.592403, 'No': -4.8498197, ' Yes': -10.875952}
{' No': -0.00844406, ' ': -9.784664, ' Generally': -7.993929, 'No': -4.8526726, ' Yes': -8.856543}
{' No': -0.007850352, ' ': -9.8934965, ' Generally': -8.063394, 'No': -4.9084277, ' Yes': -10.353475}
{' No': -0.0067069065, ' ': -10.08773, ' Generally': -8.895852, 'No': -5.0457063, ' Yes': -10.108003}
{' No': -0.006450535, ' ': -10.088758, ' Generally': -9.189614, 'No': -5.1025023, ' Yes': -8.742264}
{' No': -0.0050815875, ' ': -9.9714985, ' Generally': -11.855105, 'No': -5.3124065, ' Yes': -9.435825}
{' No': -0.2185556, ' Yes': -1.9736081, ' Generally': -3.4679527, ' It': -4.4347267, 'No': -4.860525}
{' No': -0.103276715, ' Generally': -3.3204222, 'No': -4.713964, ' Yes': -3.7262187, ' It': -3.7408652}
{' No': -0.03488024, ' Generally': -4.686728, 'No': -4.6586957, ' Yes': -4.789856, ' It': -5.2257543}
{' No': -0.02251116, 'No': -4.7327676, ' Yes': -4.826073, ' Generally': -5.418345, ' It': -8.128678}
{' No': -0.006491147, ' ': -9.478104, ' Generally': -9.115261, 'No': -5.168764, ' Yes': -7.4750805}
