{' Odd': -5.2988777, ' an': -5.418198, ' "': -5.5695252, ' odd': -0.7049424, ' even': -0.75354266}
{' even': -0.06350581, ' odd': -4.279593, ' ': -4.7363496, '\n': -4.756779, ' 1': -4.919788}
{'\n': -5.816106, ' Odd': -4.7548103, ' 1': -4.375433, ' odd': -0.14103904, ' even': -2.3579638}
{' even': -0.013082263, ' Even': -6.307894, ' ': -6.3304815, ' 0': -6.51113, ' an': -6.5705385}
{' Odd': -5.691901, ':': -5.622744, ' 1': -5.2835054, ' odd': -0.6703607, ' even': -0.77099234}
{' ': -6.738307, ' an': -6.263673, ' Even': -6.097566, ' odd': -6.4662166, ' even': -0.011514023}
{'\n': -5.0602174, ' Odd': -5.356156, ' 1': -3.2868075, ' odd': -0.39986193, ' even': -1.3218294}
{' even': -0.01483255, ' an': -5.6039586, ' odd': -5.899879, ':': -6.189142, ' Even': -6.590611}
{' Odd': -3.8951457, ' an': -5.1338334, ' 1': -4.610197, ' odd': -0.22675985, ' even': -1.8621272}
{' Odd': -5.3884354, ' 1': -4.6757164, ' odd': -0.61355066, ' 0': -5.304446, ' even': -0.879684}
{'\n': -4.53651, ' ': -4.619834, ' 1': -5.0271506, ' odd': -4.2730217, ' even': -0.06613163}
{' Odd': -4.7587595, ' an': -5.580978, ' 1': -4.986157, ' odd': -0.16093889, ' even': -2.1182792}
{' ': -5.846887, ' an': -5.709772, ' Even': -6.2107673, ' "': -6.527078, ' even': -0.016757125}
{'\n': -4.573257, ' ': -5.052054, ' 1': -2.7654293, ' odd': -0.68264735, ' even': -0.92217225}
{' ': -6.3594675, ' an': -5.071785, ' Even': -6.328929, ' odd': -6.19983, ' even': -0.017030157}
{' Odd': -4.32778, ' an': -5.411332, ' 1': -2.9585364, ' odd': -0.17136572, ' even': -2.6014729}
{' even': -0.016458418, ' an': -5.4374495, ':': -6.0507984, ' odd': -6.223648, ' ': -6.3360305}
{' Odd': -3.727581, ' an': -5.686172, ' 1': -5.266354, ' odd': -0.15717559, ' even': -2.2625415}
{'\n': -3.5591304, ' 1': -3.5138836, ' odd': -1.3466417, ' 0': -4.2758436, ' even': -0.45608434}
{'\n': -5.4852834, ' ': -5.4394445, ' an': -5.711183, ' odd': -4.5247655, ' even': -0.04094777}
{' odd': -0.11837513, ' even': -2.5766652, ' Odd': -4.4637837, ' 1': -4.6280212, ':': -5.999034}
{' ': -6.7830124, ' an': -6.020747, ' Even': -5.95137, ' odd': -6.7492285, ' even': -0.01210521}
{' Odd': -5.65881, ' an': -6.099358, ' 1': -4.66264, ' odd': -0.393979, ' even': -1.1984167}
{':': -6.6204014, ' an': -5.7530456, ' Even': -6.0854387, ' odd': -6.1712055, ' even': -0.013902023}
{' odd': -0.21463524, ' even': -1.8822014, ' 1': -3.9910512, ' Odd': -4.7050104, ':': -5.472373}
{':': -6.6769066, ' an': -4.839052, ' Even': -5.8593965, ' "': -6.52591, ' even': -0.017661376}
{' Odd': -4.0948443, ' an': -5.1790743, ' 1': -3.6516607, ' odd': -0.24962887, ' even': -1.8464526}
{' Odd': -5.5415554, ' 1': -4.48123, ' odd': -0.69534135, ' 0': -5.348274, ' even': -0.76973087}
{' even': -0.025033485, ' odd': -5.027473, ' an': -5.540061, ' Even': -5.9590592, ' "': -6.3152924}
{' odd': -0.108332485, ' even': -2.6863658, ' 1': -4.430679, ' Odd': -4.6326966, ' an': -5.343764}
{'\n': -5.2839923, ' ': -5.265328, ':': -5.8897786, ' odd': -5.7981524, ' even': -0.02750547}
{' odd': -0.34934735, ' even': -1.6059668, ' 1': -2.7355607, ' ': -5.175111, ' Odd': -5.23829}
{' ': -6.1227694, ' an': -5.173356, ' Even': -5.9598055, ' odd': -6.00338, ' even': -0.020345049}
{' Odd': -5.4575357, ' an': -4.861123, ' 1': -3.908857, ' odd': -0.28644484, ' even': -1.586695}
{' even': -0.01870642, ' an': -4.861766, ' odd': -6.269234, ' ': -6.2854395, ' Even': -6.523681}
{'\n': -5.660348, ' Odd': -4.340434, ' 1': -4.150099, ' odd': -0.38778138, ' even': -1.309952}
{' even': -0.55185676, ' odd': -0.9925563, ' 1': -4.1427393, '\n': -4.9887986, ' 0': -5.1854453}
{'\n': -4.624116, ' ': -4.7165084, ' 1': -5.19886, ' odd': -4.4943213, ' even': -0.058875896}
{' Odd': -4.509171, ' 1': -5.216761, ' "': -5.8643794, ' odd': -0.16872372, ' even': -2.0828671}
{' ': -6.016418, ' an': -5.9280457, ' Even': -5.976858, ' 0': -6.553305, ' even': -0.015904082}
{' Odd': -5.169524, ' ': -5.211276, ' 1': -2.8687766, ' odd': -0.3461105, ' even': -1.5809872}
{' ': -6.194651, ' an': -6.1634994, ' Even': -6.333407, ' odd': -6.4507356, ' even': -0.01332379}
{' odd': -0.17016144, ' even': -2.4110806, ' 1': -3.125434, ' Odd': -5.1526766, '\n': -5.5806513}
{' even': -0.015947748, ' an': -5.06359, ' ': -6.1163483, ' Even': -6.466997, ' odd': -6.8147984}
{' odd': -0.17261313, ' even': -2.3496559, ' 1': -3.6859748, ' Odd': -4.0152483, ' an': -5.3833838}
{' even': -0.5431687, ' odd': -0.9597669, ' 1': -4.842488, ' Odd': -5.436766, ' 0': -5.463344}
{' an': -5.733274, ' Even': -5.9072123, ' "': -6.158955, ' odd': -5.2532578, ' even': -0.02378837}
{' odd': -0.24059185, ' even': -1.7541894, ' 1': -3.957096, '\n': -5.303565, ' Odd': -5.6435256}
{' ': -6.90601, ' an': -6.0692177, ' Even': -6.1517825, ' 0': -6.711466, ' even': -0.011905294}
{' odd': -0.6172421, ' even': -0.9264777, ' 1': -3.3479426, ' ': -5.2300377, '\n': -5.273341}
{' ': -6.738307, ' an': -6.263673, ' Even': -6.097566, ' odd': -6.4662166, ' even': -0.011514023}
{'\n': -5.3192854, ' ': -5.5338364, ' 1': -3.4426053, ' odd': -0.17431378, ' even': -2.2423162}
{' ': -6.030207, ' an': -5.9483385, ' Even': -6.053196, ' odd': -6.126737, ' even': -0.017007725}
{' Odd': -4.372359, ' an': -4.770981, ' 1': -3.4518306, ' odd': -0.33723384, ' even': -1.5569259}
{' odd': -0.57952785, ' even': -0.8886481, ' Odd': -5.0262604, ' an': -5.423358, ' "': -5.800927}
{' even': -0.02447181, ' odd': -5.0815835, ' an': -5.3401313, ' Even': -6.2083035, ' 1': -6.318726}
{' odd': -0.34292808, ' even': -1.4258186, ' 1': -3.9205942, '\n': -4.9067554, ' Odd': -5.0657825}
{' even': -0.022685828, ' ': -5.5783706, ':': -5.8086715, '\n': -5.982202, ' odd': -6.0040717}
{' odd': -0.25998124, ' even': -1.8986511, ' 1': -2.918636, '\n': -5.200924, ' ': -5.2901487}
{' even': -0.012101891, ' an': -5.5879326, ' ': -6.463922, ' Even': -6.535428, ' odd': -6.855683}
{' Odd': -4.7245245, ' an': -6.036501, ' 1': -5.1415977, ' odd': -0.15856855, ' even': -2.0930452}
{' even': -0.020293586, ' an': -4.704394, ' ': -6.0879254, ' Even': -6.2443314, ' odd': -6.576987}
{' odd': -0.51035345, ' even': -1.1087202, ' 1': -3.495881, '\n': -4.5785007, ' Odd': -4.910219}
{' Odd': -5.363083, ' an': -5.2222834, ' "': -5.3216424, ' odd': -0.7239599, ' even': -0.7475339}
{' an': -5.7075963, ' Even': -6.4327374, ' "': -6.4018736, ' odd': -4.267811, ' even': -0.029993037}
{' odd': -0.1785261, ' even': -2.244176, ' 1': -3.6204052, ' Odd': -4.7638617, ' an': -5.3982744}
{' ': -5.4322085, ' an': -5.8734636, ' Even': -6.010454, ' odd': -5.714184, ' even': -0.024261229}
{' Odd': -5.377031, ':': -5.8691654, ' 1': -3.9887002, ' odd': -0.4243427, ' even': -1.185581}
{' even': -0.01212886, ' an': -5.8454447, ' odd': -6.3060703, ' Even': -6.4084854, ':': -6.7918086}
{' Odd': -5.401071, ' an': -5.494306, ' 1': -3.3134294, ' odd': -0.32312375, ' even': -1.5293005}
{' even': -0.0222735, ':': -4.89562, ' Even': -5.618926, ' an': -5.8270764, ' odd': -6.0836916}
{'\n': -4.945667, ' Odd': -4.768536, ' 1': -4.1119885, ' odd': -0.3942402, ' even': -1.2795924}
{' even': -0.5810418, ' odd': -0.9134936, ' 1': -4.5872536, ' 0': -5.111972, ' Odd': -5.699538}
{' even': -0.049735025, ' odd': -4.463245, ' ': -4.9552183, '\n': -5.0150037, ' 1': -5.2964234}
{' Odd': -4.683967, ' an': -5.5645194, ' 1': -4.4076033, ' odd': -0.10787455, ' even': -2.6853263}
{' ': -6.231416, ':': -6.297704, ' Even': -6.5095673, ' odd': -5.9045157, ' even': -0.015342411}
{' Odd': -4.559331, ':': -5.317643, ' 1': -4.3279095, ' odd': -0.2791109, ' even': -1.5860299}
{' ': -6.9195237, ' an': -5.389553, ' Even': -6.3169146, ' odd': -6.4912724, ' even': -0.013323428}
{' odd': -0.51298034, ' even': -0.9832867, ' 1': -4.337703, ' an': -5.7679563, ' Odd': -6.204254}
{':': -5.8495493, ' an': -5.845499, ' Even': -5.9051547, ' odd': -5.8474016, ' even': -0.019643016}
{' odd': -0.26605242, ' even': -1.8552018, ' Odd': -3.6053257, ' 1': -3.7185411, ':': -5.260276}
{' even': -0.59855765, ' odd': -0.87092036, ' 1': -4.5793533, ' 0': -5.37486, ' Odd': -5.990756}
{' even': -0.03611418, ' an': -4.657388, ' odd': -4.9082713, ' ': -5.6179743, ' considered': -6.0596747}
{' Odd': -4.7743626, ' an': -5.2352552, ' 1': -4.727361, ' odd': -0.20541763, ' even': -1.9084165}
{' ': -6.9810243, ' an': -6.295923, ' Even': -7.102859, ' odd': -5.8195653, ' even': -0.010803877}
{' Odd': -5.144351, ' 1': -3.2625408, ' odd': -0.51481926, ' 0': -5.3820295, ' even': -1.0847522}
{' even': -0.013633712, ' an': -5.83664, ' odd': -6.1328683, ' Even': -6.2259836, ':': -6.54551}
{' odd': -0.2716311, ' even': -1.7058886, ' 1': -3.4467647, ' an': -4.9363666, ' Odd': -5.4962754}
{':': -7.123558, ' an': -4.8015924, ' Even': -5.944148, ' "': -6.632256, ' even': -0.016515134}
{' odd': -0.39921197, ' even': -1.3588544, ' 1': -3.3154116, ' Odd': -4.634186, '\n': -5.101304}
{' Odd': -5.5105066, ' an': -4.9887705, ' "': -5.172907, ' odd': -0.7982629, ' even': -0.6590893}
{' ': -5.4206862, ' an': -5.482796, ' Even': -5.926165, ' odd': -5.1498895, ' even': -0.032777432}
{'\n': -5.2048664, ' Odd': -4.756269, ' 1': -4.5546265, ' odd': -0.11890008, ' even': -2.5796697}
{' an': -5.9308496, ' Even': -6.8203483, ' "': -6.9497175, ' odd': -5.6921353, ' even': -0.012226965}
{' odd': -0.58849704, ' even': -1.0901726, ' 1': -2.582688, ' 0': -5.1287727, '\n': -5.1529365}
{' even': -0.012303054, ' an': -5.6771526, ' odd': -6.1920166, ' Even': -6.3296523, ' "': -6.849348}
{' Odd': -5.5779696, ' an': -5.8543253, ' 1': -4.497123, ' odd': -0.28421015, ' even': -1.5219259}
{' even': -0.017364455, ' an': -5.4484057, ':': -6.0132117, ' odd': -6.015894, ' Even': -6.166074}
{' Odd': -4.3332863, ' an': -5.0898347, ' 1': -3.8696373, ' odd': -0.3323965, ' even': -1.484807}
{' ': -5.6309853, ' an': -5.709684, ' 1': -5.465345, ' odd': -0.7006456, ' even': -0.7551777}
{' an': -5.2569475, ' Even': -5.956778, ' "': -5.826157, ' odd': -5.0871906, ' even': -0.029818747}
{'\n': -4.8749228, ' Odd': -4.5900087, ' 1': -3.2480946, ' odd': -0.19357878, ' even': -2.2851524}
{' ': -6.625948, ' an': -5.377181, ' Even': -6.3330207, ' odd': -5.4936028, ' even': -0.018087529}
{'\n': -5.5625205, ' ': -5.562603, ' 1': -3.8787394, ' odd': -1.0928231, ' even': -0.47667804}
{' ': -6.8599205, ' an': -6.352083, ' Even': -7.1656218, ' odd': -6.5868363, ' even': -0.0077277}
{' Odd': -5.001806, ':': -5.7247515, ' 1': -4.2565475, ' odd': -0.26342905, ' even': -1.6334908}
{':': -6.2495866, ' an': -5.12352, ' Even': -6.264583, ' odd': -6.0003242, ' even': -0.01872628}
{' Odd': -5.0049844, ' an': -5.1871853, ' 1': -3.6731567, ' odd': -0.46005818, ' even': -1.1550579}
{' ': -5.5657606, ' an': -5.716386, ' "': -5.6835933, ' odd': -0.7107131, ' even': -0.74338317}
{':': -4.6308045, ' Even': -5.4528966, ' "': -5.6100907, ' odd': -5.693159, ' even': -0.03305875}
{'\n': -5.214246, ' Odd': -5.1385703, ' 1': -3.9857552, ' odd': -0.17262779, ' even': -2.1970017}
{' ': -5.7294846, ' an': -6.0380583, ' Even': -6.015391, ' odd': -6.131508, ' even': -0.019310199}
{' even': -0.65150183, ' odd': -0.876776, ' 1': -3.2785406, '\n': -5.4492245, ' ': -5.594964}
{' ': -6.612578, ' an': -6.4570637, ' Even': -6.2589226, ' odd': -6.4105, ' even': -0.011011046}
{' odd': -0.37066197, ' even': -1.3180134, ' 1': -3.6229658, ' an': -5.5880175, ' Odd': -5.9610243}
{' even': -0.01712941, ' an': -4.92887, ' odd': -6.3203216, ' ': -6.339013, ' Even': -6.6130304}
{' Odd': -4.186603, ':': -5.631504, ' 1': -3.8085182, ' odd': -0.25417295, ' even': -1.7902801}
{' an': -5.375264, ' 1': -5.5973783, ' odd': -0.81430084, ' 0': -5.7819085, ' even': -0.6409304}
{' even': -0.030982427, ' odd': -4.6451063, ' an': -5.6023045, ':': -5.8549423, ' Even': -6.146617}
{' Odd': -4.4274106, ' an': -5.978449, ' 1': -4.96092, ' odd': -0.17626733, ' even': -2.0478418}
{' even': -0.01845351, ' ': -5.612873, ' odd': -6.0493793, '\n': -6.2325935, ' an': -6.239843}
{' even': -0.66822654, ' odd': -0.78238714, ' 1': -4.579819, ' Odd': -5.5259156, ' an': -5.831961}
{':': -6.4142404, ' an': -6.2143216, ' Even': -5.978844, ' odd': -6.155798, ' even': -0.013140358}
{' Odd': -4.892988, ' an': -5.247869, ' 1': -4.2068987, ' odd': -0.19074564, ' even': -1.9799168}
{' even': -0.015951017, ' an': -4.862434, ' Even': -5.9994874, ' "': -6.6474614, ':': -7.036651}
{' odd': -0.37898752, ' even': -1.3200247, ' 1': -4.002432, ' Odd': -4.70767, ' an': -5.2358894}
{' even': -0.499091, ' odd': -1.0151604, ':': -5.280153, ' 0': -5.28239, ' 1': -5.3474374}
{' even': -0.030551, ' odd': -5.181105, ' an': -5.4758606, ' Even': -5.8982167, ' ': -6.086226}
{'\n': -5.0920033, ' Odd': -5.0570226, ' 1': -3.9127202, ' odd': -0.16379042, ' even': -2.2439477}
{' ': -6.0252776, ' an': -6.054325, ' Even': -6.3979473, ' 0': -6.512538, ' even': -0.01515395}
{'\n': -5.0823307, ' ': -5.0799885, ' 1': -2.0989664, ' odd': -0.8810061, ' even': -0.8430364}
{' even': -0.018554848, ' odd': -5.5385323, ' an': -5.698825, ' Even': -6.0900774, ':': -6.319433}
{' odd': -0.19346601, ' even': -1.8840176, ' Odd': -4.8563094, ' 1': -5.2042785, ' an': -5.6360226}
{' ': -6.500272, ' an': -6.3171387, ' Even': -6.41193, ' odd': -6.327667, ' even': -0.012184668}
{' Odd': -4.2092056, ' an': -5.0519133, ' 1': -3.8223782, ' odd': -0.24500178, ' even': -1.8352137}
{' Odd': -5.15684, ' an': -5.652954, ' 1': -5.4634748, ' odd': -0.5766895, ' even': -0.9013984}
{' even': -0.029182207, ' odd': -5.1679273, ' an': -5.6828113, ' "': -5.8871365, ':': -5.942448}
{' Odd': -4.7103024, ' an': -5.4978104, ' 1': -4.6486025, ' odd': -0.20125604, ' even': -1.9039853}
{' ': -6.364296, ' an': -6.3205366, ' Even': -6.236247, ' 0': -6.262959, ' even': -0.01517967}
{'\n': -5.156942, ' ': -5.3625784, ' 1': -2.9475121, ' odd': -0.71249384, ' even': -0.8534192}
{' ': -6.145809, ' an': -5.2868357, ' Even': -5.9379635, ' odd': -5.917513, ' even': -0.019318828}
{' odd': -0.42290044, ' even': -1.1873773, ' 1': -3.8237822, ' Odd': -5.5564632, ':': -5.625388}
{':': -6.0283318, ' an': -5.474689, ' Even': -6.1904836, ' odd': -6.057181, ' even': -0.016897816}
{' Odd': -3.7798362, ' an': -5.4284716, ' 1': -3.8652718, ' odd': -0.18519537, ' even': -2.2625735}
{'\n': -5.3009186, ' ': -5.527997, ' 1': -4.8425274, ' odd': -0.74230605, ' even': -0.72416335}
{' even': -0.037648723, ' odd': -4.9839463, ' an': -5.1626496, ' ': -5.579813, ' "': -5.825722}
{' odd': -0.14516965, ' even': -2.244326, ' Odd': -4.438045, ' 1': -5.5470595, ' an': -5.571683}
{' even': -0.019457996, ' ': -5.807369, ':': -6.0051055, ' odd': -6.021764, '\n': -6.2247167}
{' odd': -0.43474782, ' even': -1.2058889, ' 1': -3.6922874, ' Odd': -4.7814884, ':': -5.3856983}
{' even': -0.014099255, ' an': -5.468523, ' Even': -6.216005, ' odd': -6.226315, ' ': -6.63794}
{' odd': -0.31781983, ' even': -1.6302855, ' 1': -2.9926624, ' Odd': -5.092086, '\n': -5.46036}
{' even': -0.016845744, ' an': -5.3113766, ' Even': -6.000274, ' ': -6.191658, ':': -6.312219}
{' odd': -0.3119975, ' even': -1.5340778, ' 1': -4.1781816, ' Odd': -4.198204, ' an': -4.744419}
{' Odd': -6.0697947, ':': -5.542736, ' "': -5.526423, ' odd': -1.1352408, ' even': -0.42473805}
{' ': -5.553046, ' an': -4.95787, ' 1': -5.261563, ' odd': -4.4886723, ' even': -0.044382498}
{' odd': -0.22645548, ' even': -1.716995, ' 1': -4.904787, ' Odd': -5.6945434, '\n': -5.9898868}
{' ': -6.129965, ' an': -5.982392, ' Even': -5.9014645, ' odd': -5.8743353, ' even': -0.017787388}
{' odd': -0.79175055, ' even': -0.8435637, ' 1': -2.5755637, '\n': -4.403868, ' ': -4.86021}
{' ': -6.2833133, ' an': -5.1979938, ' Even': -6.3382907, ' odd': -6.5547338, ' even': -0.015533145}
{' Odd': -4.9911623, ' an': -5.088471, ' 1': -3.3091338, ' odd': -0.20773837, ' even': -2.087336}
{' even': -0.018875081, ' an': -4.9461694, ' ': -5.939514, ' Even': -6.306784, ':': -6.6327553}
{'\n': -5.0750246, ' Odd': -4.019998, ' 1': -4.9225183, ' odd': -0.32286522, ' even': -1.4886787}
{' Odd': -5.4896154, ' 1': -4.7831035, ' odd': -0.9088745, ' 0': -5.57984, ' even': -0.5809135}
{' even': -0.019309347, ' odd': -5.304648, ' an': -6.009019, ':': -6.3439913, ' Even': -6.400629}
{' Odd': -4.5978613, ' an': -5.548694, ' 1': -5.043604, ' odd': -0.18853109, ' even': -1.961322}
{' an': -6.1130137, ' Even': -5.7732, ' "': -6.6027603, ' odd': -6.442631, ' even': -0.013368732}
{' even': -0.6952426, ' odd': -0.8157127, ' 1': -3.4784856, ' ': -5.2546067, ' an': -5.3770723}
{' even': -0.014652232, ' an': -5.3301077, ' odd': -6.2243476, ' Even': -6.294649, ' "': -6.5030518}
{' Odd': -5.08527, ' an': -5.4506755, ' 1': -4.264782, ' odd': -0.28230274, ' even': -1.5580863}
{' ': -5.8146186, ' an': -4.96052, ' Even': -6.196405, ' odd': -6.245161, ' even': -0.020547813}
{' odd': -0.33658883, ' even': -1.4278706, ' Odd': -3.929032, ' an': -4.9283957, ' 1': -5.284655}
{'\n': -5.607962, ' ': -5.5309615, ' 1': -5.1828704, ' odd': -0.8429238, ' even': -0.6280533}
{' ': -5.4603343, ' an': -5.026445, ' "': -5.6918344, ' odd': -4.793797, ' even': -0.039657455}
{' odd': -0.26094064, ' even': -1.8470536, ' 1': -3.4555342, '\n': -4.523445, ' Odd': -4.8537636}
{' even': -0.0168983, ' an': -5.7095547, ' ': -5.829917, ' Even': -6.2056203, ' "': -6.5394235}
{'\n': -5.6118517, ':': -5.6371665, ' 1': -3.9911506, ' odd': -0.8201532, ' even': -0.66266805}
{' even': -0.016816467, ' an': -5.0994115, ' ': -6.2552814, ' odd': -6.2696543, ' Even': -6.352477}
{' Odd': -5.827505, ' ': -6.224343, ' 1': -4.013503, ' odd': -0.28960145, ' even': -1.5158722}
{' even': -0.012911855, ' an': -5.4684253, ' Even': -6.0316396, ' "': -6.3932996, ' odd': -6.4240255}
{' Odd': -4.6254034, ' an': -5.2470713, ' 1': -3.6849508, ' odd': -0.36092028, ' even': -1.4123615}
{' odd': -0.58256614, ' even': -0.90429956, ' 1': -5.086759, '\n': -5.413543, ' ': -5.55557}
{'\n': -5.347686, ' ': -5.250012, ' an': -5.3017893, ' odd': -4.8783703, ' even': -0.04653574}
{'\n': -5.0852637, ' Odd': -5.066591, ' 1': -3.8997164, ' odd': -0.16599411, ' even': -2.230083}
{'\n': -6.111364, ' ': -5.5387225, ' an': -5.7334313, ' odd': -6.1086245, ' even': -0.023361865}
{' ': -5.4019494, ' an': -5.4576783, ' 1': -3.2719646, ' odd': -0.668452, ' even': -0.860999}
{' ': -6.9576883, ' an': -6.3361006, ' Even': -6.803399, ' odd': -6.8105555, ' even': -0.008403606}
{' odd': -0.1598865, ' even': -2.2569754, ' 1': -3.9324715, ' Odd': -4.4956646, ':': -5.532609}
{':': -7.065819, ' an': -5.0278387, ' Even': -6.2519393, ' "': -6.4190903, ' even': -0.014450053}
{'\n': -4.9859543, ' Odd': -4.549095, ' 1': -3.7092218, ' odd': -0.25189912, ' even': -1.8379463}
{' odd': -0.4381231, ' even': -1.1581836, ' 1': -5.0331187, ' Odd': -5.057817, '\n': -5.222175}
{' even': -0.023002625, ' odd': -4.7601147, ' "': -5.654732, ' an': -6.1504083, ':': -6.6199107}
{' odd': -0.12383314, ' even': -2.496426, ' 1': -4.2252584, ' Odd': -5.1827874, '\n': -5.545966}
{' even': -0.012298889, ' an': -5.88961, ' Even': -6.1193123, ' "': -6.8662977, ' odd': -6.907756}
{'\n': -4.216552, ' ': -4.7091064, ' 1': -3.0939186, ' odd': -0.94434434, ' even': -0.64595497}
{' even': -0.011054438, ' an': -6.2312694, ' ': -6.412144, '\n': -6.582835, ' odd': -6.628587}
{'\n': -5.093351, ' Odd': -5.3445797, ' 1': -3.7606263, ' odd': -0.2273927, ' even': -1.8795705}
{':': -5.797659, ' an': -5.539998, ' Even': -6.077524, ' odd': -5.720703, ' even': -0.019289598}
{' odd': -0.339736, ' even': -1.4564047, ' 1': -3.9577951, ' Odd': -4.4850597, '\n': -5.1972303}
{' Odd': -5.053977, ' an': -5.196359, ' "': -5.3692756, ' odd': -0.53544885, ' even': -0.9602651}
{' even': -0.020746602, ' odd': -5.537078, ' an': -6.0269194, ' ': -6.256202, '\n': -6.3890085}
{' Odd': -5.3882008, ' an': -6.3522325, ' 1': -4.356915, ' odd': -0.13413256, ' even': -2.3141558}
{' even': -0.020233491, ' ': -5.8137765, ' an': -5.842759, ' Even': -5.978809, ' odd': -6.157916}
{'\n': -5.132114, ' Odd': -5.401874, ' 1': -3.1361656, ' odd': -0.3723243, ' even': -1.4282612}
{' even': -0.013300173, ' an': -5.7205715, ' Even': -6.2591662, ' odd': -6.3800516, ' ': -6.6786556}
{'\n': -5.2901096, ' Odd': -4.8239436, ' 1': -3.2503388, ' odd': -0.31757295, ' even': -1.5928595}
{' ': -6.041287, ':': -6.460948, ' an': -4.840648, ' Even': -6.185282, ' even': -0.020479063}
{' odd': -0.20444189, ' even': -2.1488616, ' 1': -3.4571445, ' Odd': -4.272304, ' an': -5.0672555}
