{' No': -0.27960142, ' Yes': -1.828668, '\n': -2.867862, 'No': -4.083987, ' Not': -5.576015}
{' No': -0.031601034, ' Not': -8.143936, '\n': -4.8809924, ' ': -8.038712, 'No': -3.7944698}
{' No': -0.021254499, 'No': -4.494246, ' Yes': -4.80938, '\n': -6.6204705, ' ': -8.360173}
{' No': -0.04566634, '\n': -4.777325, ' ': -8.131216, 'No': -3.383242, ' Yes': -6.2975206}
{' No': -0.053315386, ' Not': -7.6047754, '\n': -3.5176938, 'No': -4.2791777, ' Yes': -5.0299425}
{' No': -0.014245378, 'No': -4.3635993, '\n': -6.7059526, ' ': -9.779605, ' Not': -9.861432}
{' No': -0.053733047, 'No': -3.537183, '\n': -3.8049726, ' ': -7.934068, ' Not': -8.539472}
{' No': -0.05793431, 'No': -3.0767503, '\n': -4.6995835, ' ': -7.928681, ' Not': -8.281696}
{' No': -0.012225336, '\n': -6.8978033, ' ': -9.739169, 'No': -4.6393805, ' Yes': -6.5807867}
{' No': -0.020164095, '\n': -5.5216823, ' ': -8.549432, 'No': -4.2592883, ' Yes': -6.453835}
{' No': -0.15539299, ' Yes': -2.403337, '\n': -3.276416, 'No': -4.417526, 'Yes': -6.487197}
{' No': -0.019528257, 'No': -4.1704507, '\n': -5.7873445, ' Yes': -7.7808285, ' ': -8.800316}
{' No': -0.033344835, 'No': -3.7682233, '\n': -4.745335, ' Yes': -8.045071, ' ': -8.079653}
{' No': -0.07721163, '\n': -3.8260558, ' ': -7.6601806, 'No': -3.0428526, ' Yes': -5.534008}
{' No': -0.018148283, 'No': -4.2982154, ' Yes': -6.044027, '\n': -6.278742, ' ': -9.321215}
{' No': -0.01584752, 'No': -4.3231955, '\n': -6.103423, ' ': -9.139632, ' Yes': -9.220443}
{' No': -0.30249253, '\n': -2.387112, 'No': -2.3894255, ' Yes': -4.2809563, ' Unfortunately': -3.0695803}
{' No': -0.120494775, 'No': -2.5061588, '\n': -4.2482185, ' Unfortunately': -4.371847, ' Not': -6.083062}
{' No': -0.23525989, 'No': -2.4654176, '\n': -2.6275785, ' Unfortunately': -3.1801162, ' Not': -5.4328017}
{' No': -0.12804815, '\n': -3.5443325, 'No': -2.8240168, ' The': -6.1958485, ' Unfortunately': -3.7171156}
{' No': -0.09766206, 'No': -2.9473684, '\n': -4.0313244, ' Unfortunately': -4.232374, ' Yes': -5.3946757}
{' No': -0.15064345, '\n': -3.0851562, 'No': -2.6117315, ' Yes': -5.3599024, ' Unfortunately': -4.389146}
{' No': -0.15187794, '\n': -2.8369174, ' Yes': -2.8930352, 'No': -3.8006432, 'Yes': -6.744642}
{' No': -0.018978646, 'No': -4.3713894, '\n': -5.466381, ' Yes': -7.1406555, ' The': -7.620026}
{' No': -0.049430866, '\n': -4.3794117, 'No': -3.4196088, ' Yes': -6.528276, ' The': -7.841539}
{' No': -0.07135393, '\n': -3.8574505, ' ': -7.819774, 'No': -3.1244981, ' Yes': -5.824432}
{' No': -0.036178138, 'No': -3.793321, ' Yes': -4.59222, '\n': -6.012414, 'Yes': -8.787181}
{' No': -0.019713288, 'No': -3.997643, '\n': -6.9561734, ' Yes': -9.216633, ' ': -9.766912}
{' No': -0.053928357, '\n': -3.6278548, ' Yes': -4.225994, 'No': -4.684215, ' Not': -7.0871863}
{' No': -0.016805917, 'No': -4.412474, '\n': -5.5445523, ' Yes': -8.367136, ' The': -8.966006}
{' No': -0.056530073, ' Not': -7.6814456, '\n': -3.9683683, ' ': -7.6004343, 'No': -3.3738651}
{' No': -0.062148824, '\n': -4.084369, 'No': -3.2598968, ' Yes': -5.680679, ' Unfortunately': -7.6387706}
{' No': -0.019534335, 'No': -4.5366774, ' Yes': -4.9266486, '\n': -6.7963157, ' ': -9.5654955}
{' No': -0.02668214, '\n': -6.7626286, ' ': -9.642292, 'No': -3.7017825, ' Yes': -8.016569}
{' No': -0.033327516, '\n': -4.0148926, 'No': -4.5214353, ' Yes': -5.8344517, ' ': -7.809805}
{' No': -0.028589435, '\n': -5.8021355, ' ': -8.511786, 'No': -3.6993163, ' no': -9.653555}
{' No': -0.058290854, 'No': -3.036429, '\n': -4.8714757, ' ': -7.6875443, ' Not': -9.133643}
{' No': -0.053062875, 'No': -3.1704657, '\n': -4.7301865, ' ': -7.9882545, ' Yes': -8.109684}
{' No': -0.028962655, 'No': -4.0623946, ' Yes': -5.0235553, '\n': -5.4133887, ' ': -8.821355}
{' No': -0.037808295, '\n': -5.1616526, ' ': -8.644943, 'No': -3.4849424, ' Yes': -7.654597}
{' No': -0.103870444, '\n': -3.5496767, 'No': -4.794586, ' Yes': -2.827465, 'Yes': -7.1690373}
{' No': -0.017265545, 'No': -4.478401, '\n': -5.338167, ' Yes': -7.8737936, ' ': -8.300785}
{' No': -0.043885764, 'No': -3.6103222, '\n': -4.2531867, ' ': -7.3686347, ' Yes': -7.910809}
{' No': -0.019033384, '\n': -5.5934067, ' ': -8.420706, 'No': -4.2210746, ' Yes': -9.110819}
{' No': -0.023933532, '\n': -5.929022, ' ': -8.73691, 'No': -4.555538, ' Yes': -4.5906715}
{' No': -0.02277546, '\n': -5.9907947, ' ': -8.743073, 'No': -3.938791, ' Yes': -8.067209}
{' No': -0.17660359, 'No': -2.1250803, '\n': -3.2335055, ' ': -6.401658, ' Unfortunately': -7.882855}
{' No': -0.12499002, 'No': -2.239698, '\n': -4.634113, ' ': -7.35699, ' Unfortunately': -8.033205}
{' No': -0.15121648, '\n': -3.722181, ' ': -6.7782173, 'No': -2.1714783, ' Unfortunately': -7.457437}
{' No': -0.18781044, 'No': -1.9542727, '\n': -3.6061873, ' ': -6.754766, ' Yes': -7.8646693}
{' No': -0.130535, '\n': -4.095733, ' ': -6.989183, 'No': -2.275894, ' Unfortunately': -6.938091}
{' No': -0.16048163, '\n': -3.4638145, ' ': -6.793164, 'No': -2.1626217, ' Unfortunately': -7.8489423}
{' No': -0.78498006, '\n': -1.3074068, 'No': -2.4052708, ' Yes': -2.1042416, ' Unfortunately': -3.5325558}
{' No': -0.3356464, '\n': -2.1028676, 'No': -2.1303318, ' Yes': -4.7351003, ' Unfortunately': -3.7837322}
{' No': -0.5939055, '\n': -1.3742248, 'No': -2.2251234, ' Yes': -3.22536, ' Unfortunately': -3.6746054}
{' No': -0.39925453, '\n': -1.7714506, 'No': -2.2093837, ' Yes': -4.7969694, ' Unfortunately': -3.5660522}
{' No': -0.34307858, ' Yes': -2.0939102, 'No': -2.557043, '\n': -2.8535116, ' Unfortunately': -4.046545}
{' No': -0.37043, '\n': -2.1419735, 'No': -2.2041378, ' Yes': -2.8776128, ' Unfortunately': -4.2069244}
{' No': -0.2445366, ' Not': -4.502986, '\n': -2.5535707, 'No': -3.2366955, ' Yes': -2.5961297}
{' No': -0.08885356, 'No': -2.8568015, '\n': -3.8797774, ' Unfortunately': -5.5688047, ' Not': -6.6469584}
{' No': -0.22475728, '\n': -2.1042569, 'No': -2.8481224, ' Unfortunately': -4.237134, ' Not': -5.939179}
{' No': -0.15693352, 'No': -2.5262935, '\n': -2.824883, ' Unfortunately': -6.403193, ' Yes': -6.5076795}
{' No': -0.17145658, '\n': -3.4964898, 'No': -3.5645914, ' Yes': -2.3888962, ' The': -5.91183}
{' No': -0.16640308, '\n': -2.5073187, 'No': -2.9763548, ' Yes': -4.154524, ' ': -6.4221325}
{' No': -0.8163042, '\n': -1.050767, 'No': -2.8636005, ' Yes': -3.1086776, ' Unfortunately': -2.5905616}
{' No': -0.3277627, '\n': -2.0370102, 'No': -2.4909744, ' Unfortunately': -3.0185964, ' ': -5.1336}
{' No': -0.6873704, '\n': -1.236847, ' ': -4.372032, 'No': -2.646656, ' Unfortunately': -2.2935126}
{' No': -0.45132357, '\n': -1.5698118, 'No': -2.692235, ' Unfortunately': -2.8804216, ' ': -4.5659933}
{' No': -0.40068957, '\n': -1.8145212, 'No': -3.150682, ' Yes': -2.4476657, ' Unfortunately': -3.9894018}
{' No': -0.50634027, '\n': -1.2603284, 'No': -2.7127898, ' Yes': -4.0190053, ' Unfortunately': -4.09153}
{' No': -0.026532052, 'No': -4.1259546, '\n': -5.0067625, ' Yes': -6.064677, ' ': -7.9377494}
{' No': -0.016593974, 'No': -4.1731186, '\n': -7.064514, ' ': -9.465627, ' Not': -10.460707}
{' No': -0.04922841, 'No': -3.2541711, '\n': -4.7417808, ' ': -7.970643, ' Not': -9.102853}
{' No': -0.037773013, '\n': -4.7000346, ' ': -8.09415, 'No': -3.6142557, ' Yes': -7.7049656}
{' No': -0.0770716, ' Yes': -3.0622573, 'No': -3.8954957, '\n': -5.100284, 'Yes': -7.4134965}
{' No': -0.04555417, 'No': -3.5178194, '\n': -4.618937, ' Yes': -5.4242964, ' ': -7.916499}
{' No': -0.083793946, '\n': -3.1108382, 'No': -4.3228784, ' Yes': -3.9376354, ' The': -6.948676}
{' No': -0.021722812, ' Not': -9.800951, '\n': -5.9015594, ' ': -9.147737, 'No': -3.9918118}
{' No': -0.055024486, '\n': -3.5930989, 'No': -3.6946115, ' ': -7.685015, ' Not': -8.428876}
{' No': -0.06579985, 'No': -2.9923341, '\n': -4.4012775, ' ': -7.8404975, ' Yes': -8.383255}
{' No': -0.01223288, '\n': -6.711121, ' ': -9.866651, 'No': -4.874486, ' Yes': -5.7452364}
{' No': -0.022337252, '\n': -5.5339336, ' ': -8.526951, 'No': -4.2942696, ' Yes': -5.475971}
{' No': -0.15761049, '\n': -3.515301, 'No': -4.76911, ' Yes': -2.2686238, 'Yes': -6.341225}
{' No': -0.015333029, 'No': -4.478275, '\n': -5.769014, ' Yes': -8.555672, ' no': -8.618075}
{' No': -0.028973637, 'No': -3.830741, '\n': -5.1752043, ' Yes': -8.009796, ' ': -8.271369}
{' No': -0.059704036, '\n': -4.4537244, ' ': -8.063633, 'No': -3.1186848, ' Yes': -6.4984527}
{' No': -0.02139753, '\n': -6.557999, ' ': -9.444318, 'No': -4.0573606, ' Yes': -6.0755157}
{' No': -0.020812329, 'No': -3.9809694, '\n': -6.444886, ' Yes': -8.385934, ' ': -9.429072}
{' No': -0.3163406, '\n': -2.1016972, 'No': -2.8390074, ' Yes': -4.6433325, ' Unfortunately': -2.72466}
{' No': -0.15488577, 'No': -2.512363, '\n': -3.2541497, ' Unfortunately': -4.0168695, ' ': -6.2072783}
{' No': -0.26411974, '\n': -2.3143744, 'No': -2.5137172, ' Unfortunately': -3.230989, ' Not': -5.229699}
{' No': -0.15548526, '\n': -3.367174, ' ': -6.059635, 'No': -2.5726032, ' Unfortunately': -3.5638082}
{' No': -0.12817444, '\n': -3.4577127, 'No': -2.8786435, ' Yes': -5.0684743, ' Unfortunately': -3.857451}
{' No': -0.16458379, '\n': -2.7952085, 'No': -2.6497617, ' Yes': -5.4764295, ' Unfortunately': -4.3756104}
{' No': -0.95684534, '\n': -2.7289743, 'No': -4.890296, ' Yes': -0.646823, 'Yes': -4.423686}
{' No': -0.01655834, 'No': -4.378228, '\n': -6.0206723, ' Yes': -7.1648335, ' The': -8.612563}
{' No': -0.08352675, '\n': -3.17235, 'No': -3.841343, ' Yes': -4.5836353, ' Not': -5.8158646}
{' No': -0.43335998, '\n': -1.365815, 'No': -2.8278263, ' Yes': -3.4614701, ' ': -5.9577756}
{' Yes': -0.59830654, ' No': -0.82177734, 'Yes': -5.3816566, 'No': -5.5470767, '\n': -6.4060626}
{' No': -0.014457794, '\n': -6.3169365, ' ': -9.005247, 'No': -4.4757366, ' Yes': -6.9871516}
{' No': -0.104671724, ' Yes': -2.8516083, '\n': -4.1767597, 'No': -4.78889, ' The': -5.2020674}
{' No': -0.008816991, 'No': -5.0554514, '\n': -6.714326, ' Nope': -8.094429, ' Yes': -8.222211}
{' No': -0.032559242, ' Not': -6.708018, '\n': -4.2283483, ' ': -7.40231, 'No': -4.2508817}
{' No': -0.021319466, 'No': -4.170888, '\n': -5.5578065, ' Yes': -6.9616094, ' Not': -7.8038735}
{' No': -0.13695173, '\n': -6.1518803, 'No': -5.2786255, ' Yes': -2.1265566, 'Yes': -6.971607}
{' No': -0.0077832034, '\n': -7.442113, ' ': -9.564544, 'No': -5.038806, ' Yes': -7.5660715}
{' No': -0.048285585, '\n': -4.4225264, 'No': -4.09089, ' Yes': -4.089883, 'Yes': -7.74609}
{' No': -0.025871847, 'No': -3.7235758, '\n': -6.932865, ' Yes': -9.058891, ' Not': -9.650542}
{' No': -0.052994236, ' Not': -8.362587, '\n': -3.9085217, ' ': -8.081949, 'No': -3.484234}
{' No': -0.03927644, 'No': -3.3745039, '\n': -5.5829563, ' ': -8.976698, ' Yes': -9.041254}
{' No': -0.41864485, '\n': -4.499621, 'No': -4.919757, ' Yes': -1.141406, 'Yes': -5.6063943}
{' No': -0.069171935, '\n': -3.5383604, ' ': -7.4082255, 'No': -3.6110687, ' Yes': -4.626814}
{' No': -0.046455063, ' Yes': -3.651895, '\n': -4.83114, 'No': -4.980922, ' The': -6.1833243}
{' No': -0.010179197, 'No': -4.8381605, '\n': -6.873885, ' Yes': -7.4230886, ' Nope': -8.6956835}
{' No': -0.031534046, '\n': -4.3106213, ' ': -6.8789062, 'No': -4.265833, ' no': -6.918208}
{' No': -0.013791607, 'No': -4.478885, ' Yes': -6.5366564, '\n': -7.3821745, ' ': -9.114467}
{' No': -0.26473227, ' Yes': -1.4951304, 'No': -5.338075, '\n': -6.378633, 'Yes': -6.4947376}
{' No': -0.029054692, '\n': -5.0681243, ' ': -8.160302, 'No': -4.652582, ' Yes': -4.4014473}
{' No': -0.2487847, '\n': -2.0248942, ' ': -5.975742, 'No': -2.529062, ' Yes': -6.0356593}
{' No': -0.13283616, 'No': -2.5709846, '\n': -3.1303716, ' Unfortunately': -6.1976285, ' ': -6.859991}
{' No': -0.21211226, '\n': -2.2150438, 'No': -2.573221, ' Unfortunately': -6.1580634, ' ': -6.2122455}
{' No': -0.25863823, '\n': -2.0707853, 'No': -2.3589761, ' ': -5.8761725, ' Unfortunately': -6.285602}
{' No': -0.254206, 'No': -2.2630734, '\n': -2.3769038, ' Yes': -4.051754, ' Unfortunately': -5.793028}
{' No': -0.2542352, '\n': -2.0716562, 'No': -2.3986537, ' ': -5.8962007, ' Yes': -6.106095}
{'\n': -0.8171087, ' No': -1.3034712, ' Yes': -1.809338, ' Unfortunately': -3.1282885, 'No': -3.3417876}
{' No': -0.7709399, '\n': -1.0314932, 'No': -2.703536, ' Unfortunately': -2.7607985, ' ': -3.8373559}
{' No': -1.2794926, '\n': -0.6353484, 'No': -3.0697184, ' Yes': -3.0091927, ' Unfortunately': -2.9531202}
{'\n': -0.902064, ' No': -0.9446646, ' Yes': -2.6567066, 'No': -3.0128274, ' Unfortunately': -3.034537}
{'\n': -0.87598777, ' Yes': -1.413158, ' No': -1.4777448, ' Unfortunately': -3.246759, ' ': -3.6129053}
{'\n': -0.5303668, ' Yes': -1.6485307, ' No': -2.0302696, ' ': -3.4877524, ' Unfortunately': -3.7757833}
{'\n': -0.7012541, ' No': -1.4106219, ' Yes': -1.5819019, 'No': -4.027649, 'Yes': -4.51067}
{' No': -0.28023657, '\n': -1.9089291, ' ': -5.892349, 'No': -2.6884031, ' Unfortunately': -3.8681614}
{'\n': -0.6115014, ' No': -0.974241, 'No': -3.4120955, ' Unfortunately': -3.4806285, ' ': -4.8476424}
{' No': -0.32972133, '\n': -1.6091745, 'No': -2.990196, ' Yes': -5.351867, ' Unfortunately': -4.03634}
{' No': -0.87568533, ' Yes': -1.0209185, '\n': -1.692889, 'No': -3.8336835, 'Yes': -4.760464}
{' No': -0.9010116, '\n': -0.8130713, ' ': -5.1221776, 'No': -3.770131, ' Yes': -2.1922026}
{' No': -2.017062, '\n': -0.46601358, ' ': -4.091433, ' Yes': -1.9741541, ' Unfortunately': -3.0270772}
{' No': -0.79472595, '\n': -0.9040074, ' ': -4.4663053, 'No': -3.2574773, ' Unfortunately': -2.5839734}
{' No': -1.2858037, '\n': -0.58231044, ' ': -3.965304, 'No': -3.5626264, ' Unfortunately': -2.4275882}
{'\n': -0.82130533, ' No': -0.86302674, ' Unfortunately': -2.6487856, 'No': -3.4693458, ' ': -4.1635427}
{' No': -1.2644867, '\n': -1.1317638, 'No': -4.0387425, ' Yes': -1.1291221, ' Unfortunately': -3.7470841}
{'\n': -0.67265713, ' No': -1.3002968, ' Yes': -1.9022924, ' Unfortunately': -3.6897962, 'No': -4.175411}
{' No': -0.1924061, '\n': -2.4215376, ' Yes': -2.8949933, 'No': -4.1832128, ' Unfortunately': -5.2624784}
{' No': -0.07008402, '\n': -3.41218, 'No': -3.5012743, ' Unfortunately': -6.483223, ' The': -7.0395765}
{' No': -0.2392542, '\n': -1.8163551, 'No': -3.4779088, ' Unfortunately': -4.7897587, ' Yes': -5.4906197}
{' No': -0.043927055, '\n': -3.7896104, ' ': -7.4973106, 'No': -4.0079637, ' Yes': -6.8500466}
{' No': -0.27215388, '\n': -3.2627068, 'No': -3.973993, ' Yes': -1.7421247, 'Yes': -5.9733157}
{' No': -0.1229715, '\n': -2.8400333, ' Yes': -3.552094, 'No': -3.7456234, ' Unfortunately': -6.5283895}
{' No': -0.4363358, '\n': -1.714412, 'No': -3.9522374, ' Yes': -2.1653378, ' Unfortunately': -4.4201636}
{' No': -0.1476223, '\n': -2.5283482, 'No': -3.0289757, ' Unfortunately': -5.310935, ' Not': -6.5172787}
{' No': -0.54091257, '\n': -1.0356044, 'No': -3.3767028, ' Unfortunately': -4.0392947, ' ': -5.5276866}
{' No': -0.12476317, '\n': -3.1395795, ' ': -6.7752085, 'No': -2.870927, ' Unfortunately': -4.3334365}
{' No': -0.068237066, ' Yes': -3.3210537, '\n': -4.192159, 'No': -4.361156, ' The': -7.3422236}
{' No': -0.46279296, '\n': -1.319265, ' ': -5.7580843, 'No': -3.773313, ' Yes': -2.6569877}
{' No': -0.038565453, '\n': -5.5008893, 'No': -4.2786846, ' Yes': -4.235824, ' Nope': -6.775019}
{' No': -0.01349928, '\n': -8.266258, 'No': -4.3806634, ' Nope': -8.267935, ' no': -8.80054}
{' No': -0.034528866, 'No': -4.1535416, '\n': -4.2218456, ' no': -6.570347, ' ': -7.2716002}
{' No': -0.043022517, 'No': -3.2581158, '\n': -5.992192, ' Yes': -7.9437585, ' no': -8.476519}
{' No': -0.037721142, '\n': -7.5346975, 'No': -5.2827444, ' Yes': -3.4725049, 'Yes': -8.443503}
{' No': -0.013951405, 'No': -4.5525217, ' Yes': -5.9687796, '\n': -7.4559984, ' ': -9.400418}
{'\n': -0.73484945, ' No': -1.1352725, ' Unfortunately': -2.5751584, ' Yes': -2.983802, 'No': -3.3084118}
{' No': -0.54613686, '\n': -1.3243905, ' Unfortunately': -2.692448, 'No': -2.799194, ' ': -4.417257}
{'\n': -0.8584648, ' No': -0.8885379, ' Unfortunately': -2.490108, 'No': -3.1716094, ' ': -4.083108}
{' No': -0.47081348, '\n': -1.438566, ' ': -4.3654246, 'No': -3.1457784, ' Unfortunately': -2.6055562}
{' No': -0.46030965, '\n': -2.0388885, 'No': -3.4942927, ' Yes': -2.0272806, ' Unfortunately': -2.9017313}
{' No': -0.8444956, '\n': -0.9224052, 'No': -3.2822378, ' Yes': -2.6420593, ' Unfortunately': -3.1642585}
{' No': -0.1856514, '\n': -2.4467332, ' Yes': -3.0358155, 'No': -3.9699528, ' Not': -4.5174665}
{' No': -0.03333436, 'No': -4.0507255, '\n': -4.3626666, ' Not': -7.075784, ' Yes': -7.3673944}
{' No': -0.09769855, '\n': -3.510113, 'No': -2.8454764, ' Yes': -6.6216836, ' Unfortunately': -6.669312}
{' No': -0.15324551, '\n': -2.906612, ' ': -6.956384, 'No': -2.5282912, ' Yes': -5.215814}
{' No': -0.05745347, ' Not': -7.377499, '\n': -5.544304, 'No': -4.3008347, ' Yes': -3.2967207}
{' No': -0.0328203, 'No': -3.5545774, '\n': -5.904305, ' Yes': -7.3875713, ' Not': -8.888618}
{' No': -0.17408638, ' Not': -4.01615, '\n': -2.4038188, 'No': -4.2733865, ' Yes': -3.5098464}
{' No': -0.023885734, 'No': -4.120695, '\n': -5.162235, ' Not': -7.005233, ' The': -8.659213}
{' No': -0.07327304, '\n': -3.2946055, 'No': -3.5178301, ' Not': -6.3826175, ' Unfortunately': -7.08757}
{' No': -0.06846076, 'No': -3.251652, '\n': -3.8597643, ' Yes': -5.4384384, ' Not': -7.0265903}
{' No': -0.030382076, 'No': -4.134559, ' Yes': -4.681318, '\n': -5.6842227, ' Not': -7.3732777}
{' No': -0.06161054, ' Not': -7.7441187, '\n': -4.4610415, 'No': -3.069909, ' Unfortunately': -7.5209856}
{' No': -0.06552647, 'No': -3.2022758, '\n': -3.879531, ' Not': -7.0775304, ' Yes': -7.4340534}
{' No': -0.09002617, ' Not': -9.486147, '\n': -6.0958834, ' ': -8.808309, 'No': -2.4832392}
{' No': -0.12601784, 'No': -2.2485077, '\n': -4.453336, ' ': -7.543255, ' Not': -8.308519}
{' No': -0.058597457, 'No': -2.9366527, '\n': -5.68134, ' ': -8.803002, ' Yes': -8.888839}
{' No': -0.060927454, 'No': -3.2557402, ' Yes': -4.615161, '\n': -4.6417837, ' Not': -8.035576}
{' No': -0.055789802, '\n': -5.572244, ' ': -8.881075, 'No': -3.0076025, ' Yes': -7.1406074}
{' No': -0.059207793, '\n': -3.2802255, 'No': -4.192213, ' Yes': -6.4658165, ' Not': -6.758289}
{' No': -0.020049943, 'No': -4.2241993, '\n': -5.390852, ' Not': -8.420548, ' ': -8.642737}
{' No': -0.062485553, '\n': -3.5060222, ' ': -7.130345, 'No': -3.5597026, ' Unfortunately': -7.644877}
{' No': -0.018448714, 'No': -4.231219, '\n': -5.757624, ' Yes': -8.349551, ' ': -8.716459}
{' No': -0.018974094, ' Not': -9.165725, '\n': -6.3900657, 'No': -4.2313385, ' Yes': -6.0944343}
{' No': -0.03374887, 'No': -3.5080245, '\n': -5.920978, ' Yes': -8.567232, ' ': -8.987764}
{' No': -0.28836426, '\n': -2.3184927, 'No': -2.0147343, ' Yes': -5.5374312, ' Unfortunately': -4.695379}
{' No': -0.14994319, '\n': -3.8576956, ' ': -7.2465806, 'No': -2.1912181, ' Unfortunately': -5.388781}
{' No': -0.18854007, '\n': -3.225964, ' ': -6.6417146, 'No': -2.0856824, ' Unfortunately': -5.246859}
{' No': -0.22146378, '\n': -3.4213042, ' ': -6.8721485, 'No': -1.8303181, ' Unfortunately': -5.98249}
{' No': -0.16316047, '\n': -3.9140015, 'No': -2.1022415, ' Yes': -6.434789, ' Unfortunately': -5.39501}
{' No': -0.14820169, '\n': -3.7416751, ' ': -7.004779, 'No': -2.2146554, ' Unfortunately': -5.9031687}
{' No': -0.7121954, '\n': -1.4762068, 'No': -1.8921822, ' Yes': -2.5786486, ' Unfortunately': -3.6118515}
{' No': -0.26377988, '\n': -3.101226, 'No': -1.8012516, ' Yes': -5.8942094, ' Unfortunately': -4.2626657}
{' No': -0.52188146, '\n': -1.9895616, 'No': -1.6452221, ' Yes': -3.6559854, ' Unfortunately': -3.371758}
{' No': -0.31703117, '\n': -2.7324307, 'No': -1.7896874, ' Yes': -5.6367826, ' Unfortunately': -3.5110426}
{' No': -0.3708504, '\n': -3.2007756, 'No': -2.1205165, ' Yes': -2.2160099, ' Unfortunately': -3.7908924}
{' No': -0.3981854, '\n': -2.3741395, 'No': -1.7577264, ' Yes': -3.503879, ' Unfortunately': -3.8621612}
{' No': -0.6926977, '\n': -1.1594374, 'No': -2.5597918, ' Yes': -2.7460556, ' Not': -3.6858482}
{' No': -0.2403843, ' Not': -6.120406, '\n': -3.079181, 'No': -1.8699448, ' Unfortunately': -4.7461042}
{' No': -0.43079263, '\n': -1.6237209, 'No': -2.0848017, ' Unfortunately': -4.05963, ' Not': -5.625531}
{' No': -0.18415552, '\n': -2.7155752, 'No': -2.4653177, ' Yes': -5.5883737, ' Unfortunately': -4.720244}
{' No': -0.18301703, '\n': -2.9189005, 'No': -2.924678, ' Yes': -2.970935, ' Not': -5.821482}
{' No': -0.2598238, '\n': -2.079465, 'No': -2.555005, ' Yes': -4.016904, ' Unfortunately': -6.11658}
{' No': -1.1486757, '\n': -0.6395795, 'No': -2.7066762, ' Yes': -3.643949, ' Unfortunately': -3.3499255}
{' No': -0.4403005, '\n': -1.6509252, ' ': -5.2164807, 'No': -2.114184, ' Unfortunately': -3.506945}
{'\n': -0.8031721, ' No': -0.9822741, 'No': -2.2695436, ' Unfortunately': -3.1314669, ' ': -4.2754126}
{' No': -0.7201065, '\n': -0.98757404, ' ': -4.631447, 'No': -2.4300368, ' Unfortunately': -3.5388224}
{' No': -0.36499432, '\n': -1.863621, 'No': -2.7077792, ' Yes': -3.1005974, ' Unfortunately': -3.6997702}
{' No': -0.4964807, '\n': -1.2981948, 'No': -2.5765264, ' Yes': -4.149908, ' Unfortunately': -4.1944556}
{' No': -0.071469344, ' Not': -6.259301, '\n': -3.4829528, 'No': -4.0647497, ' Yes': -4.1448145}
{' No': -0.018127343, 'No': -4.0896473, '\n': -7.046661, ' Not': -9.114373, ' ': -9.461588}
{' No': -0.057553727, 'No': -3.3100462, '\n': -4.0599623, ' Unfortunately': -7.4211974, ' ': -7.57072}
{' No': -0.05727919, 'No': -3.3915057, '\n': -4.097942, ' Yes': -5.5662875, ' Not': -7.0930114}
{' No': -0.10975083, ' Yes': -2.535595, 'No': -4.0347514, '\n': -5.236908, 'Yes': -6.7994576}
{' No': -0.051497027, '\n': -4.867686, ' ': -7.888546, 'No': -3.8037682, ' Yes': -3.9492571}
{' No': -0.13797592, '\n': -2.6061842, ' Yes': -3.539427, 'No': -4.0317345, ' Not': -5.643446}
{' No': -0.04627513, 'No': -3.312886, '\n': -4.9955964, ' Unfortunately': -7.0160127, ' Not': -7.430899}
{' No': -0.120111994, 'No': -2.9533525, '\n': -3.0238786, ' Unfortunately': -4.8067117, ' Not': -6.0542564}
{' No': -0.13514258, '\n': -3.3439722, 'No': -2.4817743, ' Yes': -6.548888, ' Unfortunately': -5.624051}
{' No': -0.04258678, 'No': -3.8905118, '\n': -4.40495, ' Yes': -4.83969, ' ': -7.8577666}
{' No': -0.1355863, '\n': -2.7855418, 'No': -2.8598638, ' Yes': -5.3412175, ' ': -6.5426297}
{' No': -0.08637509, ' Not': -5.9591336, '\n': -2.9851215, 'No': -3.9227664, ' Yes': -4.9448876}
{' No': -0.024370486, 'No': -3.7906532, '\n': -6.7648225, ' Not': -9.027899, ' ': -9.406535}
{' No': -0.044969257, 'No': -3.7226882, '\n': -3.9820647, ' Not': -7.8389482, ' ': -7.887489}
{' No': -0.064905524, 'No': -3.010756, '\n': -4.423119, ' Yes': -7.3691764, ' ': -8.093435}
{' No': -0.04647554, 'No': -3.4924557, ' Yes': -4.661893, '\n': -5.408202, ' Not': -7.9473867}
{' No': -0.020786159, 'No': -4.0207653, '\n': -6.4307723, ' Yes': -7.1638217, ' Not': -9.156965}
{' No': -0.61689425, '\n': -1.2791924, 'No': -2.5570436, ' Yes': -4.3388257, ' Unfortunately': -2.6081357}
{' No': -0.17018102, 'No': -2.5119703, '\n': -2.8699412, ' Unfortunately': -4.21536, ' ': -6.3787374}
{' No': -0.9403208, '\n': -0.860687, ' ': -4.3569007, 'No': -2.1313837, ' Unfortunately': -3.1466308}
{' No': -0.33696046, '\n': -2.0180955, ' ': -4.648415, 'No': -2.3836925, ' Unfortunately': -3.058848}
{' No': -0.19782278, '\n': -2.740612, 'No': -2.828194, ' Unfortunately': -3.493248, ' Yes': -4.028244}
{' No': -0.31331396, '\n': -1.9485909, 'No': -2.551496, ' Unfortunately': -3.5883229, ' Yes': -4.298724}
{' No': -0.10647754, '\n': -3.0320373, ' Yes': -3.6330621, 'No': -3.7402704, 'Yes': -7.233166}
