{' number': -6.5517163, ' #': -6.544743, ' 1': -2.2409306, ' 2': -0.15288188, ' two': -3.472717}
{' number': -6.391478, ' #': -6.2137494, ' 1': -2.984555, ' 2': -0.08722404, ' two': -3.5598476}
{' number': -6.4312105, ' #': -6.2111144, ' 1': -2.4246593, ' 2': -0.128593, ' two': -3.6009057}
{' number': -6.4308805, ' #': -6.266652, ' 1': -2.2746758, ' 2': -0.14621958, ' two': -3.5674152}
{' 2': -0.10757198, ' 1': -2.6695056, ' two': -3.5631115, ' #': -6.281774, ' number': -6.5103817}
{' 2': -0.05989786, ' two': -3.416921, ' 1': -3.8401463, ' #': -6.3107853, ' number': -6.460871}
{' number': -6.7397084, ' #': -6.3491554, ' 1': -2.6704016, ' 2': -0.103667386, ' two': -3.6751187}
{' number': -6.607474, ' #': -6.477947, ' 1': -3.1475754, ' 2': -0.07393487, ' two': -3.694731}
{' 2': -0.07080441, ' 1': -3.1891897, ' two': -3.729282, ' #': -6.564141, ' number': -6.7212715}
{' number': -6.5847893, ' #': -6.5150657, ' 1': -3.3079746, ' 2': -0.06658845, ' two': -3.7108905}
{' number': -6.566497, ' #': -6.508924, ' 1': -2.9689918, ' 2': -0.08133063, ' two': -3.762109}
{' 2': -0.051551625, ' two': -3.715, ' 1': -3.785541, ' #': -6.547623, ' number': -6.5690913}
{' number': -6.468334, ' #': -6.2368584, ' 1': -2.4440403, ' 2': -0.12356758, ' two': -3.6977022}
{' number': -6.572732, ' #': -6.439212, ' 1': -2.4992468, ' 2': -0.11664048, ' two': -3.7327633}
{' 2': -0.17134522, ' 1': -2.046694, ' two': -3.767748, ' #': -6.160545, ' number': -6.436088}
{' number': -6.5677934, ' #': -6.3932505, ' 1': -2.533983, ' 2': -0.1128308, ' two': -3.7600455}
{' number': -6.574899, ' #': -6.476603, ' 1': -2.5678487, ' 2': -0.10922475, ' two': -3.7758012}
{' 2': -0.1100244, ' 1': -2.6070032, ' two': -3.6391952, ' #': -6.3632383, ' number': -6.5665}
{' 2': -0.1669827, ' 1': -2.055088, ' two': -3.853691, ' #': -6.3864365, ' number': -6.5503497}
{' number': -6.563346, ' #': -6.388779, ' 1': -2.6403122, ' 2': -0.10457225, ' two': -3.7308443}
{' number': -6.493616, ' #': -6.402273, ' 1': -2.448244, ' 2': -0.11955852, ' two': -3.812971}
{' number': -6.4580083, ' #': -6.4560947, ' 1': -2.859692, ' 2': -0.08975671, ' two': -3.7023778}
{' number': -6.4145193, ' #': -6.1704707, ' 1': -2.4314876, ' 2': -0.12486784, ' two': -3.7044022}
{' 2': -0.08802002, ' 1': -2.8846278, ' two': -3.708078, ' #': -6.3926897, ' number': -6.5401354}
{' #': -6.2448883, ' 1': -1.5040994, ' 2': -0.28246543, ' one': -6.2938843, ' two': -3.9975264}
{' number': -6.5463347, ' #': -6.4245644, ' 1': -1.957684, ' 2': -0.18235646, ' two': -3.8661675}
{' #': -6.4058447, ' 1': -1.7119803, ' 2': -0.22830155, ' one': -6.4858255, ' two': -3.9719825}
{' #': -6.1678085, ' 1': -1.2033299, ' 2': -0.39090052, ' one': -5.9816594, ' two': -4.0755887}
{' 2': -0.21095727, ' 1': -1.7922084, ' two': -3.9708393, ' #': -6.403994, ' number': -6.5064015}
{' number': -6.4772854, ' #': -6.4602857, ' 1': -1.798808, ' 2': -0.21147446, ' two': -3.8944807}
{' number': -6.539494, ' #': -6.453738, ' 1': -1.9537482, ' 2': -0.1819434, ' two': -3.9014525}
{' number': -6.4891343, ' #': -6.4282327, ' 1': -2.2644453, ' 2': -0.13967425, ' two': -3.8086517}
{' #': -6.2210665, ' 1': -1.3053297, ' 2': -0.3496641, ' one': -6.0473776, ' two': -4.020509}
{' number': -6.4764156, ' #': -6.3656797, ' 1': -2.2857077, ' 2': -0.13724932, ' two': -3.8107226}
{' #': -6.2939324, ' 1': -1.3742858, ' 2': -0.3245536, ' one': -6.123523, ' two': -3.997363}
{' number': -6.4984837, ' #': -6.4133525, ' 1': -2.3227541, ' 2': -0.13365217, ' two': -3.7816374}
{' number': -6.487464, ' #': -6.3595533, ' 1': -2.1337886, ' 2': -0.15670335, ' two': -3.8129458}
{' number': -6.4486003, ' #': -6.335938, ' 1': -2.3640518, ' 2': -0.13002773, ' two': -3.756069}
{' 2': -0.2717161, ' 1': -1.5368851, ' two': -4.030841, ' one': -6.3325887, ' #': -6.3509183}
{' number': -6.531319, ' #': -6.4113503, ' 1': -2.02929, ' 2': -0.17207034, ' two': -3.812911}
{' number': -6.5703692, ' #': -6.41684, ' 1': -2.3445606, ' 2': -0.13032918, ' two': -3.8083744}
{' number': -6.54948, ' #': -6.4294786, ' 1': -3.8408482, ' 2': -0.051520564, ' two': -3.675935}
{' number': -6.76597, ' #': -6.4390655, ' 1': -2.2636902, ' 2': -0.13742012, ' two': -3.8867314}
{' 2': -0.08163556, ' 1': -3.149451, ' two': -3.4438868, ' #': -6.3796964, ' number': -6.7488947}
{' number': -6.9242353, ' #': -6.6165705, ' 1': -3.3585403, ' 2': -0.07009016, ' two': -3.506152}
{' number': -6.9211426, ' #': -6.610569, ' 1': -3.6023154, ' 2': -0.05975276, ' two': -3.5775998}
{' number': -6.860617, ' #': -6.5674243, ' 1': -3.0198836, ' 2': -0.082385354, ' two': -3.6070397}
{' number': -6.8680897, ' #': -6.6035786, ' 1': -3.4795012, ' 2': -0.06298432, ' two': -3.5999277}
{' 2': -0.15991084, ' 1': -2.1975408, ' two': -3.4546113, ' #': -6.2179255, ' one': -6.4373}
{' #': -6.489786, ' 1': -2.4411654, ' 2': -0.12620696, ' one': -6.8048, ' two': -3.5871406}
{' #': -6.357258, ' 1': -2.1861327, ' 2': -0.15694258, ' one': -6.540034, ' two': -3.5614073}
{' #': -6.3651605, ' 1': -2.1157846, ' 2': -0.16508774, ' one': -6.485208, ' two': -3.6080027}
{' #': -6.437862, ' 1': -2.3393276, ' 2': -0.13741568, ' one': -6.674928, ' two': -3.582011}
{' #': -6.3003364, ' 1': -2.219223, ' 2': -0.15921217, ' one': -6.387301, ' two': -3.3952386}
{' #': -6.3268275, ' 1': -1.6937921, ' 2': -0.24122976, ' one': -6.149154, ' two': -3.6791337}
{' #': -6.2580647, ' 1': -2.2189987, ' 2': -0.15433566, ' one': -6.525415, ' two': -3.5240102}
{' #': -6.2701135, ' 1': -2.0453594, ' 2': -0.17483592, ' one': -6.49456, ' two': -3.6420143}
{' number': -6.7043223, ' #': -6.4399276, ' 1': -2.7515764, ' 2': -0.101387925, ' two': -3.5469043}
{' number': -6.637141, ' #': -6.233715, ' 1': -2.6941373, ' 2': -0.108058736, ' two': -3.4882753}
{' #': -6.294142, ' 1': -2.2435122, ' 2': -0.15148269, ' one': -6.5566354, ' two': -3.5132568}
{' #': -6.215711, ' 1': -1.5073309, ' 2': -0.2888441, ' one': -6.0445213, ' two': -3.7498426}
{' #': -6.3922834, ' 1': -1.4825613, ' 2': -0.29401803, ' one': -6.018674, ' two': -3.8033485}
{' #': -6.3063974, ' 1': -1.5100342, ' 2': -0.28764498, ' one': -6.07435, ' two': -3.7487998}
{' #': -6.246467, ' 1': -1.1673774, ' 2': -0.41233233, ' one': -5.758525, ' two': -3.905094}
{' #': -6.2758803, ' 1': -1.134155, ' 2': -0.42748424, ' one': -5.7290416, ' two': -3.931545}
{' #': -6.328871, ' 1': -1.5584104, ' 2': -0.27369875, ' one': -6.0939164, ' two': -3.7499502}
{' 2': -0.21177262, ' 1': -1.8082061, ' two': -3.7947192, ' one': -6.4342313, ' #': -6.468582}
{' #': -6.4389024, ' 1': -1.8766391, ' 2': -0.19811502, ' one': -6.5130343, ' two': -3.8056188}
{' 2': -0.35903805, ' 1': -1.3003395, ' two': -3.7857077, ' one': -5.78839, ' #': -6.231909}
{' #': -6.2968297, ' 1': -1.8615122, ' 2': -0.20378216, ' one': -6.355746, ' two': -3.7301588}
{' #': -6.189367, ' 1': -1.0995785, ' 2': -0.446325, ' one': -5.6822658, ' two': -3.9091675}
{' #': -6.4002256, ' 1': -2.1644392, ' 2': -0.15686525, ' one': -6.560639, ' two': -3.6504872}
{' #': -6.276037, ' 1': -1.5968404, ' 2': -0.266026, ' one': -6.0465927, ' two': -3.6768975}
{' number': -6.7114754, ' #': -6.3561993, ' 1': -2.327333, ' 2': -0.13626051, ' two': -3.668302}
{' #': -6.353779, ' 1': -1.5075898, ' 2': -0.2819332, ' one': -6.19045, ' two': -3.9536214}
{' #': -6.227528, ' 1': -1.467119, ' 2': -0.30162606, ' one': -5.9453015, ' two': -3.7395475}
{' #': -6.299144, ' 1': -2.0186694, ' 2': -0.17955826, ' one': -6.468388, ' two': -3.6195128}
{' number': -6.741551, ' #': -6.4177537, ' 1': -3.1077235, ' 2': -0.080292106, ' two': -3.543837}
{' 2': -0.20788562, ' 1': -1.8265969, ' two': -3.7984443, ' #': -6.3710127, ' one': -6.5017366}
{' number': -6.7855663, ' #': -6.5849175, ' 1': -3.2334292, ' 2': -0.070215404, ' two': -3.677168}
{' number': -6.9263463, ' #': -6.6580973, ' 1': -3.0600927, ' 2': -0.07615834, ' two': -3.747442}
{' number': -6.8669395, ' #': -6.680743, ' 1': -3.4524164, ' 2': -0.059882227, ' two': -3.7419252}
{' number': -6.840785, ' #': -6.6558037, ' 1': -2.9137902, ' 2': -0.08286344, ' two': -3.8049223}
{' 2': -0.05500893, ' 1': -3.6116743, ' two': -3.7379596, ' #': -6.6979446, ' number': -6.831827}
{' 2': -0.09160291, ' 1': -2.831444, ' two': -3.6757052, ' #': -6.5915527, ' number': -6.8245907}
{' number': -6.8755817, ' #': -6.6573553, ' 1': -2.653805, ' 2': -0.10132057, ' two': -3.7808383}
{' number': -6.8341336, ' #': -6.5600896, ' 1': -2.3730268, ' 2': -0.1272479, ' two': -3.7845814}
{' number': -6.8777046, ' #': -6.6137486, ' 1': -2.5010493, ' 2': -0.11426185, ' two': -3.7889826}
{' number': -6.855187, ' #': -6.643486, ' 1': -2.6099677, ' 2': -0.105909035, ' two': -3.743194}
{' number': -6.8707314, ' #': -6.6203094, ' 1': -2.4634535, ' 2': -0.12146421, ' two': -3.6600268}
{' #': -6.660694, ' 1': -2.197659, ' 2': -0.14576967, ' one': -6.855671, ' two': -3.8589463}
{' number': -6.8677487, ' #': -6.6402473, ' 1': -2.7224622, ' 2': -0.09807454, ' two': -3.7077699}
{' number': -6.7685757, ' #': -6.5770288, ' 1': -2.2215161, ' 2': -0.14317, ' two': -3.85105}
{' number': -6.7754254, ' #': -6.6742625, ' 1': -2.8611317, ' 2': -0.087957345, ' two': -3.7359293}
{' number': -6.841119, ' #': -6.5760145, ' 1': -3.3347218, ' 2': -0.06471747, ' two': -3.7277193}
{' number': -6.8351045, ' #': -6.632908, ' 1': -2.7312274, ' 2': -0.09839018, ' two': -3.6756718}
{' #': -6.5211205, ' 1': -1.805859, ' 2': -0.20964278, ' one': -6.5557413, ' two': -3.8826904}
{' #': -6.6355724, ' 1': -2.0835161, ' 2': -0.16195773, ' one': -6.740355, ' two': -3.847457}
{' #': -6.629427, ' 1': -1.8001261, ' 2': -0.2086651, ' one': -6.622074, ' two': -3.9532368}
{' 2': -0.29780748, ' 1': -1.4503554, ' two': -4.001346, ' one': -6.223254, ' #': -6.5170555}
{' #': -6.564783, ' 1': -1.6348914, ' 2': -0.24552895, ' one': -6.4221597, ' two': -3.9942434}
{' #': -6.664189, ' 1': -1.9353454, ' 2': -0.18495458, ' one': -6.638189, ' two': -3.8812683}
{' #': -6.6834044, ' 1': -1.9673169, ' 2': -0.1790956, ' one': -6.7239075, ' two': -3.887109}
{' 2': -0.1442784, ' 1': -2.2113044, ' two': -3.8476036, ' #': -6.682606, ' number': -6.822078}
{' #': -6.538075, ' 1': -1.6514107, ' 2': -0.24508066, ' one': -6.3018966, ' two': -3.8635042}
{' number': -6.79915, ' #': -6.589934, ' 1': -2.1945522, ' 2': -0.14547996, ' two': -3.8946903}
{' #': -6.5058475, ' 1': -1.7134178, ' 2': -0.2292086, ' one': -6.4558516, ' two': -3.9017663}
{' 2': -0.104925506, ' 1': -2.6004775, ' two': -3.8207037, ' #': -6.5643406, ' number': -6.738795}
{' 2': -0.14093453, ' 1': -2.2505918, ' two': -3.7978823, ' #': -6.613894, ' number': -6.7603703}
{' number': -6.7226954, ' #': -6.5445695, ' 1': -2.4673846, ' 2': -0.119305044, ' two': -3.7331278}
{' #': -6.5930586, ' 1': -1.8876657, ' 2': -0.19116509, ' one': -6.6857057, ' two': -3.9750452}
{' number': -6.8165936, ' #': -6.6249595, ' 1': -2.233181, ' 2': -0.14118002, ' two': -3.867054}
{' number': -6.907118, ' #': -6.6828513, ' 1': -2.4147832, ' 2': -0.12155702, ' two': -3.8243787}
{' number': -6.8533473, ' #': -6.6697125, ' 1': -3.3523517, ' 2': -0.06316151, ' two': -3.7559676}
{' number': -7.1722293, ' #': -6.7583127, ' 1': -2.636455, ' 2': -0.099568814, ' two': -3.8908093}
{' number': -6.5835795, ' #': -6.088366, ' 1': -3.74215, ' 2': -0.061490033, ' two': -3.4510295}
{' number': -6.69326, ' #': -6.25146, ' 1': -3.5491743, ' 2': -0.06417941, ' two': -3.517516}
{' number': -6.640858, ' #': -6.2405396, ' 1': -3.6879027, ' 2': -0.060688656, ' two': -3.5043833}
{' number': -6.6409807, ' #': -6.232279, ' 1': -3.3237844, ' 2': -0.07056285, ' two': -3.56815}
{' number': -6.6233525, ' #': -6.2802467, ' 1': -4.0846353, ' 2': -0.05258655, ' two': -3.4813738}
{' number': -6.6404133, ' #': -6.120976, ' 1': -2.988244, ' 2': -0.090190016, ' two': -3.4605339}
{' number': -6.6397557, ' #': -6.189195, ' 1': -3.053595, ' 2': -0.08576619, ' two': -3.4815924}
{' number': -6.630186, ' #': -6.086972, ' 1': -2.719063, ' 2': -0.10494834, ' two': -3.53982}
{' number': -6.6619406, ' #': -6.1304045, ' 1': -2.9128149, ' 2': -0.09209413, ' two': -3.5323272}
{' 2': -0.08588445, ' 1': -3.0101647, ' two': -3.5467453, ' #': -6.2248106, ' number': -6.617252}
{' number': -6.6372304, ' #': -6.1123304, ' 1': -3.0382297, ' 2': -0.089419164, ' two': -3.4072883}
{' number': -6.641797, ' #': -6.1587524, ' 1': -2.5282927, ' 2': -0.11846652, ' two': -3.6018572}
{' number': -6.6322675, ' #': -6.148326, ' 1': -3.1502082, ' 2': -0.08029805, ' two': -3.504311}
{' number': -6.542634, ' #': -6.111151, ' 1': -2.9999893, ' 2': -0.085913554, ' two': -3.5742881}
{' 2': -0.06835386, ' 1': -3.4464016, ' two': -3.5020826, ' #': -6.1991253, ' number': -6.5677395}
{' 2': -0.06277143, ' two': -3.5202737, ' 1': -3.603455, ' #': -6.142891, ' number': -6.6607075}
{' number': -6.542074, ' #': -6.07334, ' 1': -3.077954, ' 2': -0.0850474, ' two': -3.4775357}
{' number': -6.5737767, ' #': -6.1076584, ' 1': -2.591376, ' 2': -0.11227307, ' two': -3.627196}
{' number': -6.649644, ' #': -6.1461234, ' 1': -2.4109383, ' 2': -0.12855165, ' two': -3.6435127}
{' number': -6.6406436, ' #': -6.155507, ' 1': -2.1625972, ' 2': -0.15556672, ' two': -3.723453}
{' number': -6.5382686, ' #': -6.0490327, ' 1': -2.2099411, ' 2': -0.15344937, ' two': -3.6077282}
{' #': -6.1206484, ' 1': -2.0129042, ' 2': -0.1771117, ' one': -6.487199, ' two': -3.7539852}
{' #': -6.1539736, ' 1': -2.1554534, ' 2': -0.15847474, ' one': -6.5537925, ' two': -3.6656575}
{' 2': -0.17490374, ' 1': -2.0299833, ' two': -3.7249525, ' #': -6.160508, ' one': -6.549776}
{' number': -6.5844417, ' #': -6.108764, ' 1': -2.689301, ' 2': -0.103556246, ' two': -3.6555731}
{' #': -6.093814, ' 1': -2.1862915, ' 2': -0.15546672, ' one': -6.5467725, ' two': -3.6336637}
{' number': -6.5522375, ' #': -6.0518937, ' 1': -2.494047, ' 2': -0.120096065, ' two': -3.6652064}
{' #': -6.024486, ' 1': -1.8823746, ' 2': -0.20114999, ' one': -6.3558555, ' two': -3.723525}
{' number': -6.5972886, ' #': -6.108438, ' 1': -2.7203093, ' 2': -0.102837704, ' two': -3.603526}
{' number': -6.5673237, ' #': -6.173841, ' 1': -2.5799909, ' 2': -0.11274773, ' two': -3.640677}
{' number': -6.5791354, ' #': -6.0102353, ' 1': -2.7932122, ' 2': -0.096438855, ' two': -3.6540902}
{' number': -6.607942, ' #': -6.124697, ' 1': -2.596962, ' 2': -0.10978489, ' two': -3.6937275}
{' 2': -0.11452797, ' 1': -2.5684369, ' two': -3.6186895, ' #': -6.1178865, ' number': -6.5932074}
{' number': -6.64459, ' #': -6.12398, ' 1': -2.9553924, ' 2': -0.088058226, ' two': -3.5799458}
{' number': -6.594533, ' #': -6.0532284, ' 1': -3.8070729, ' 2': -0.055400208, ' two': -3.5954735}
{' number': -6.8879747, ' #': -6.14545, ' 1': -2.9005659, ' 2': -0.08766541, ' two': -3.693031}
{' number': -6.814664, ' #': -6.567227, ' 1': -3.4290917, ' 2': -0.06473457, ' two': -3.602687}
{' number': -6.9118323, ' #': -6.6380925, ' 1': -3.4129858, ' 2': -0.06443697, ' two': -3.624158}
{' number': -6.8089156, ' #': -6.592955, ' 1': -3.4856296, ' 2': -0.062747695, ' two': -3.6033683}
{' number': -6.748411, ' #': -6.5070195, ' 1': -3.0221848, ' 2': -0.08131867, ' two': -3.6461737}
{' number': -6.742893, ' #': -6.632863, ' 1': -3.5610373, ' 2': -0.060102858, ' two': -3.6128163}
{' number': -6.6862807, ' #': -6.479431, ' 1': -2.717159, ' 2': -0.103546, ' two': -3.5572028}
{' number': -6.809551, ' #': -6.526682, ' 1': -2.4899452, ' 2': -0.118202984, ' two': -3.6907623}
{' number': -6.7029138, ' #': -6.4453692, ' 1': -2.3638563, ' 2': -0.13358772, ' two': -3.614516}
{' number': -6.74884, ' #': -6.4669223, ' 1': -2.4866543, ' 2': -0.12053108, ' two': -3.6305594}
{' number': -6.7336183, ' #': -6.513187, ' 1': -2.5511217, ' 2': -0.113854475, ' two': -3.6534624}
{' #': -6.4883966, ' 1': -2.2678504, ' 2': -0.1447844, ' one': -6.646436, ' two': -3.6069615}
{' #': -6.531459, ' 1': -2.1113925, ' 2': -0.1618077, ' one': -6.618399, ' two': -3.7193694}
{' number': -6.7288074, ' #': -6.470433, ' 1': -2.6472628, ' 2': -0.10597663, ' two': -3.6494126}
{' number': -6.7218738, ' #': -6.4927306, ' 1': -2.4389176, ' 2': -0.1217486, ' two': -3.7454476}
{' number': -6.6827936, ' #': -6.536589, ' 1': -3.0127654, ' 2': -0.08262803, ' two': -3.621572}
{' number': -6.754505, ' #': -6.466888, ' 1': -3.2169304, ' 2': -0.07300371, ' two': -3.6129682}
{' number': -6.6677446, ' #': -6.456012, ' 1': -2.817754, ' 2': -0.09659897, ' two': -3.553449}
{' #': -6.403429, ' 1': -1.7233787, ' 2': -0.22940959, ' one': -6.3622923, ' two': -3.829238}
{' #': -6.482739, ' 1': -2.1020005, ' 2': -0.16286215, ' one': -6.6163974, ' two': -3.7336454}
{' #': -6.4780617, ' 1': -1.9569207, ' 2': -0.18383239, ' one': -6.58274, ' two': -3.7982218}
{' #': -6.4103217, ' 1': -1.3944659, ' 2': -0.3186298, ' one': -6.0581174, ' two': -3.9375832}
{' #': -6.4519577, ' 1': -1.66851, ' 2': -0.2397267, ' one': -6.352468, ' two': -3.9140544}
{' #': -6.537036, ' 1': -1.7522776, ' 2': -0.22153676, ' one': -6.426525, ' two': -3.8663063}
{' #': -6.5777397, ' 1': -2.030157, ' 2': -0.17286505, ' one': -6.6282935, ' two': -3.7550757}
{' #': -6.5254464, ' 1': -2.0878685, ' 2': -0.16309248, ' one': -6.7175493, ' two': -3.7921169}
{' 2': -0.21479592, ' 1': -1.7968996, ' two': -3.7866762, ' one': -6.3335223, ' #': -6.416004}
{' #': -6.436322, ' 1': -2.0283847, ' 2': -0.17276537, ' one': -6.581552, ' two': -3.7840188}
{' #': -6.401002, ' 1': -1.5208737, ' 2': -0.2802465, ' one': -6.15545, ' two': -3.8805711}
{' #': -6.501098, ' 1': -2.2190442, ' 2': -0.14615701, ' one': -6.7578087, ' two': -3.7583032}
{' number': -6.7170944, ' #': -6.492749, ' 1': -2.2245417, ' 2': -0.14577602, ' two': -3.7497282}
{' number': -6.6860237, ' #': -6.441866, ' 1': -2.3855586, ' 2': -0.12870377, ' two': -3.7026842}
{' #': -6.444857, ' 1': -1.6932124, ' 2': -0.2346554, ' one': -6.3335614, ' two': -3.8840635}
{' number': -6.6925936, ' #': -6.4810038, ' 1': -2.3022268, ' 2': -0.13681579, ' two': -3.7376266}
{' number': -6.8000584, ' #': -6.5052547, ' 1': -2.3031087, ' 2': -0.13560548, ' two': -3.76788}
{' number': -6.730675, ' #': -6.546256, ' 1': -3.3793464, ' 2': -0.065599345, ' two': -3.6401994}
{' 2': -0.14314255, ' 1': -2.2321699, ' two': -3.7926712, ' #': -6.5797863, ' one': -6.799595}
{' number': -6.830783, ' #': -6.7536464, ' 1': -2.4270601, ' 2': -0.12558083, ' two': -3.632762}
{' number': -6.937884, ' #': -6.8693647, ' 1': -2.5224516, ' 2': -0.11461092, ' two': -3.6836853}
{' number': -6.8177476, ' #': -6.822487, ' 1': -2.592805, ' 2': -0.109542, ' two': -3.653785}
{' number': -6.713343, ' #': -6.734772, ' 1': -2.3182096, ' 2': -0.13581178, ' two': -3.6846797}
{' number': -6.7701783, ' #': -6.830436, ' 1': -2.6452737, ' 2': -0.10500964, ' two': -3.6631532}
{' #': -6.539216, ' 1': -1.5971026, ' 2': -0.26488444, ' one': -6.2076883, ' two': -3.676345}
{' #': -6.767983, ' 1': -1.9121264, ' 2': -0.19302738, ' one': -6.583643, ' two': -3.7289333}
{' #': -6.6198406, ' 1': -1.6018772, ' 2': -0.26121536, ' one': -6.2740607, ' two': -3.7393093}
{' 2': -0.25393987, ' 1': -1.6275609, ' two': -3.7576745, ' one': -6.284217, ' #': -6.643996}
{' #': -6.716503, ' 1': -1.7887806, ' 2': -0.21635859, ' one': -6.472186, ' two': -3.7587953}
{' #': -6.610944, ' 1': -1.7464242, ' 2': -0.23011625, ' one': -6.2741504, ' two': -3.6273062}
{' 2': -0.3943936, ' 1': -1.1961, ' two': -3.9873025, ' one': -5.992187, ' #': -6.7102103}
{' #': -6.6162057, ' 1': -1.7296995, ' 2': -0.22997227, ' one': -6.395959, ' two': -3.738864}
{' #': -6.608545, ' 1': -1.6485757, ' 2': -0.24766055, ' one': -6.387299, ' two': -3.792668}
{' number': -6.623607, ' 1': -2.0641358, ' 2': -0.17019789, ' one': -6.669997, ' two': -3.665464}
{' #': -6.5033135, ' 1': -1.9796126, ' 2': -0.1851068, ' one': -6.5314946, ' two': -3.6330245}
{' #': -6.642258, ' 1': -1.6724455, ' 2': -0.24312067, ' one': -6.362474, ' two': -3.744906}
{' number': -6.6100707, ' 1': -1.0922753, ' 2': -0.44579095, ' one': -5.9092035, ' two': -3.9792361}
{' #': -6.6620655, ' 1': -1.1948354, ' 2': -0.39646894, ' one': -5.9638286, ' two': -3.944227}
{' #': -6.670833, ' 1': -1.055018, ' 2': -0.46337554, ' one': -5.9163303, ' two': -4.0535355}
{' #': -6.5862164, ' 1': -0.82362807, ' 2': -0.6182943, ' one': -5.619845, ' two': -4.1436543}
{' 2': -0.45027718, ' 1': -1.0783995, ' two': -4.0668597, ' one': -5.9139686, ' #': -6.6822453}
{' #': -6.684307, ' 1': -1.085192, ' 2': -0.44926664, ' one': -5.867756, ' two': -3.9835587}
{' 2': -0.33562246, ' 1': -1.3495785, ' two': -3.8590753, ' one': -6.145322, ' number': -6.7251186}
{' number': -6.670404, ' 1': -1.5407081, ' 2': -0.27569345, ' one': -6.294083, ' two': -3.8065066}
{' #': -6.5686345, ' 1': -0.748805, ' 2': -0.68288887, ' one': -5.522578, ' two': -4.1883554}
{' #': -6.6466074, ' 1': -1.3577149, ' 2': -0.3318896, ' one': -6.141387, ' two': -3.8963733}
{' 2': -0.61139274, ' 1': -0.83523726, ' two': -4.069944, ' one': -5.602935, ' #': -6.5773683}
{' #': -6.6679807, ' 1': -1.4495919, ' 2': -0.30212533, ' one': -6.162858, ' two': -3.8468466}
{' 2': -0.3246003, ' 1': -1.3783782, ' two': -3.8897989, ' one': -6.154394, ' #': -6.6632667}
{' #': -6.6042285, ' 1': -1.5861363, ' 2': -0.26384607, ' one': -6.238694, ' two': -3.7949777}
{' #': -6.611464, ' 1': -1.314288, ' 2': -0.34673786, ' one': -6.0960927, ' two': -3.941218}
{' 2': -0.3062702, ' 1': -1.4366832, ' two': -3.849855, ' one': -6.1686506, ' #': -6.614224}
{' #': -6.665784, ' 1': -1.521207, ' 2': -0.2804957, ' one': -6.2799435, ' two': -3.830493}
{' 2': -0.13866824, ' 1': -2.3110678, ' two': -3.630213, ' number': -6.6244392, ' #': -6.64761}
{' #': -6.7486944, ' 1': -1.5134876, ' 2': -0.28156155, ' one': -6.2802362, ' two': -3.8577921}
{' 2': -0.0930173, ' 1': -2.9218001, ' two': -3.4551196, ' #': -6.598418, ' number': -6.7253585}
{' number': -6.890532, ' #': -6.820918, ' 1': -3.1161146, ' 2': -0.0833005, ' two': -3.4171038}
{' 2': -0.0726801, ' 1': -3.3686185, ' two': -3.4116883, ' number': -6.8428307, ' #': -6.8752065}
{' number': -6.7720194, ' #': -6.8016562, ' 1': -2.7387946, ' 2': -0.10260803, ' two': -3.5143356}
{' number': -6.8566365, ' #': -6.89192, ' 1': -3.163827, ' 2': -0.078637384, ' two': -3.484708}
{' number': -6.712118, ' #': -6.6236014, ' 1': -2.382279, ' 2': -0.13655509, ' two': -3.4612408}
{' #': -6.7958198, ' 1': -2.286558, ' 2': -0.14507069, ' one': -6.6902666, ' two': -3.5121052}
{' 2': -0.17627344, ' 1': -2.0386963, ' two': -3.5953598, ' one': -6.5568275, ' #': -6.6687083}
{' 2': -0.12917578, ' 1': -2.4105916, ' two': -3.573912, ' #': -6.788208, ' one': -6.848974}
{' number': -6.8084188, ' #': -6.791635, ' 1': -2.3876972, ' 2': -0.13297457, ' two': -3.5335023}
{' 2': -0.14092568, ' 1': -2.3489048, ' two': -3.435805, ' one': -6.6741633, ' #': -6.6922135}
{' #': -6.737546, ' 1': -2.1873245, ' 2': -0.15493602, ' one': -6.6779456, ' two': -3.5887566}
{' number': -6.7982926, ' #': -6.7094903, ' 1': -2.439967, ' 2': -0.12877338, ' two': -3.5021825}
{' number': -6.7353654, ' #': -6.647058, ' 1': -2.3797996, ' 2': -0.13331679, ' two': -3.5563476}
{' number': -6.7073936, ' #': -6.733829, ' 1': -2.6511536, ' 2': -0.111234695, ' two': -3.4645405}
{' number': -6.73663, ' #': -6.585892, ' 1': -2.897274, ' 2': -0.094871834, ' two': -3.445326}
{' number': -6.72471, ' #': -6.657874, ' 1': -2.845944, ' 2': -0.09908734, ' two': -3.415011}
{' #': -6.7050533, ' 1': -1.874673, ' 2': -0.20204645, ' one': -6.497822, ' two': -3.6702015}
{' 2': -0.21756174, ' 1': -1.8005999, ' two': -3.6472492, ' one': -6.3444614, ' #': -6.7373133}
{' #': -6.680569, ' 1': -1.8953298, ' 2': -0.19683011, ' one': -6.54831, ' two': -3.7137806}
{' #': -6.618549, ' 1': -1.4365786, ' 2': -0.3076857, ' one': -6.1122923, ' two': -3.8078666}
{' number': -6.68554, ' 1': -1.730049, ' 2': -0.23138984, ' one': -6.3076615, ' two': -3.6944537}
{' number': -6.714076, ' 1': -1.6534864, ' 2': -0.24931334, ' one': -6.2494907, ' two': -3.6947153}
{' number': -6.7407384, ' 1': -1.8140974, ' 2': -0.21232125, ' one': -6.479354, ' two': -3.7181346}
