{'\n': -2.2317417, ' 4': -2.1409109, ' 5': -2.2281368, ' 6': -2.2501428, ' 8': -1.6070192}
{'\n': -1.3696368, ' 4': -2.3134873, ' 5': -2.3883383, ' 6': -2.48679, ' 8': -1.7978803}
{'\n': -1.2503308, ' 4': -2.3514729, ' 5': -2.4400787, ' 6': -2.5392704, ' 8': -1.8637407}
{'\n': -1.3836081, ' 8': -1.7965404, ' 4': -2.3099365, ' 5': -2.3829327, ' 6': -2.4749491}
{'\n': -1.3339585, ' 8': -1.8385544, ' 4': -2.3193722, ' 5': -2.3930492, ' 6': -2.4876652}
{'\n': -1.4959356, ' 8': -1.7608931, ' 4': -2.2762291, ' 5': -2.3539193, ' 6': -2.4349291}
{'\n': -1.4406967, ' 8': -1.8025397, ' 4': -2.294441, ' 5': -2.367341, ' 6': -2.4471216}
{'\n': -1.2594886, ' 4': -2.363896, ' 5': -2.4350514, ' 6': -2.5195308, ' 8': -1.8745626}
{'\n': -1.2824314, ' 8': -1.8723943, ' 4': -2.3499973, ' 5': -2.426115, ' 6': -2.501684}
{'\n': -1.7452012, ' 4': -2.2171783, ' 5': -2.283685, ' 6': -2.3487005, ' 8': -1.7087165}
{'\n': -1.3654423, ' 8': -1.8321754, ' 4': -2.2870512, ' 5': -2.3821821, ' 6': -2.48596}
{'\n': -1.441831, ' 4': -2.2802281, ' 5': -2.3519301, ' 6': -2.4528108, ' 8': -1.7958302}
{'\n': -1.3397514, ' 4': -2.3006916, ' 5': -2.3860438, ' 6': -2.495696, ' 8': -1.8499748}
{'\n': -1.6280657, ' 4': -2.2415109, ' 5': -2.3106868, ' 6': -2.3846097, ' 8': -1.7297207}
{'\n': -1.5564309, ' 8': -1.7661086, ' 4': -2.256551, ' 5': -2.3272765, ' 6': -2.3970215}
{'\n': -1.6225146, ' 4': -2.2341194, ' 5': -2.3034105, ' 6': -2.374919, ' 8': -1.753869}
{'\n': -1.5809953, ' 8': -1.7705877, ' 4': -2.2555082, ' 5': -2.3281927, ' 6': -2.386809}
{'\n': -1.8927088, ' 4': -2.1945047, ' 5': -2.2607746, ' 6': -2.3287783, ' 8': -1.6879311}
{'\n': -1.6684442, ' 8': -1.74602, ' 4': -2.2120128, ' 5': -2.2972658, ' 6': -2.372065}
{'\n': -1.6841241, ' 8': -1.7325051, ' 4': -2.2204857, ' 5': -2.2872765, ' 6': -2.3630307}
{'\n': -1.6195332, ' 4': -2.2399821, ' 5': -2.3136919, ' 6': -2.374644, ' 8': -1.7542874}
{'\n': -1.9511824, ' 4': -2.1779501, ' 5': -2.2453282, ' 6': -2.2967656, ' 8': -1.6872941}
{'\n': -1.6714777, ' 8': -1.7506374, ' 4': -2.232877, ' 5': -2.2982173, ' 6': -2.3429132}
{' 8': -1.7103026, '\n': -1.8483328, ' 4': -2.2079206, ' 5': -2.2634642, ' 6': -2.3057132}
{'\n': -1.9306309, ' 4': -2.1829426, ' 5': -2.2454512, ' 6': -2.2905447, ' 8': -1.7050679}
{' 4': -2.0174835, ' 5': -2.1094112, ' 6': -2.0704613, ' 7': -2.4023445, ' 8': -1.4943094}
{' 8': -1.501289, ' 4': -2.0327976, ' 5': -2.0974422, ' 6': -2.1117425, ' 7': -2.405764}
{'\n': -1.5917993, ' 8': -1.6892676, ' 4': -2.2044222, ' 5': -2.3465, ' 6': -2.4342113}
{' 8': -1.4849539, ' 4': -1.9706928, ' 5': -2.0121737, ' 6': -2.111083, ' 7': -2.3477774}
{'\n': -1.8983661, ' 4': -2.164032, ' 5': -2.2879696, ' 6': -2.3288584, ' 8': -1.6596584}
{' 4': -1.9911202, ' 5': -2.0344763, ' 6': -2.1588776, ' 7': -2.377262, ' 8': -1.5117446}
{'\n': -1.4286977, ' 4': -2.25622, ' 5': -2.389556, ' 6': -2.4925776, ' 8': -1.7551156}
{' 8': -1.640217, '\n': -1.9913703, ' 4': -2.1110566, ' 5': -2.2365096, ' 6': -2.3357718}
{' 8': -1.6686516, '\n': -1.9341401, ' 4': -2.1552649, ' 5': -2.2811022, ' 6': -2.321021}
{'\n': -1.4990222, ' 8': -1.7484149, ' 4': -2.2463255, ' 5': -2.392951, ' 6': -2.4695063}
{'\n': -1.8187313, ' 4': -2.1902196, ' 5': -2.2980468, ' 6': -2.3398685, ' 8': -1.6697234}
{' 8': -1.7038407, '\n': -1.7576127, ' 4': -2.1992745, ' 5': -2.3158717, ' 6': -2.3490577}
{'\n': -1.6336664, ' 4': -2.2287781, ' 5': -2.3433328, ' 6': -2.39755, ' 8': -1.7216363}
{'\n': -1.6284816, ' 8': -1.7251546, ' 4': -2.225084, ' 5': -2.357105, ' 6': -2.4103801}
{'\n': -1.4928966, ' 8': -1.7595326, ' 4': -2.267203, ' 5': -2.381995, ' 6': -2.4504628}
{' 4': -1.9147587, ' 5': -2.1091137, ' 6': -2.2116766, ' 7': -2.406107, ' 8': -1.5270824}
{'\n': -2.274909, ' 4': -2.1573007, ' 5': -2.2509258, ' 6': -2.273461, ' 8': -1.6103599}
{' 4': -2.0243835, ' 5': -2.163, ' 6': -2.271288, ' 7': -2.4244022, ' 8': -1.5295142}
{'\n': -1.5224106, ' 8': -1.7085556, ' 4': -2.2448046, ' 5': -2.3850377, ' 6': -2.4532006}
{'\n': -1.6232767, ' 8': -1.7106408, ' 4': -2.2207649, ' 5': -2.3590631, ' 6': -2.4289045}
{'\n': -2.1854856, ' 4': -2.1715236, ' 5': -2.263069, ' 6': -2.2854116, ' 8': -1.6226709}
{'\n': -1.59058, ' 4': -2.232544, ' 5': -2.365222, ' 6': -2.422329, ' 8': -1.7157745}
{'\n': -1.4624559, ' 4': -2.294367, ' 5': -2.3870182, ' 6': -2.4373448, ' 8': -1.7770454}
{'\n': -1.4956087, ' 8': -1.7468286, ' 4': -2.2729945, ' 5': -2.3926406, ' 6': -2.4472127}
{'\n': -2.2341156, ' 4': -2.162197, ' 5': -2.2445946, ' 6': -2.274031, ' 8': -1.6315013}
{' 8': -1.550137, ' 4': -2.0115685, ' 5': -2.1510692, ' 6': -2.158903, ' 7': -2.470141}
{'\n': -1.7765929, ' 4': -2.2104108, ' 5': -2.2968338, ' 6': -2.335386, ' 8': -1.6960609}
{'\n': -1.6925143, ' 4': -2.2115116, ' 5': -2.3293102, ' 6': -2.4067574, ' 8': -1.7149323}
{' 8': -1.6399637, ' 4': -2.1543643, ' 5': -2.232641, ' 6': -2.259706, '\n': -2.268825}
{'\n': -1.5615169, ' 8': -1.757557, ' 4': -2.254596, ' 5': -2.3558714, ' 6': -2.4105618}
{' 8': -1.7233121, '\n': -1.7435626, ' 4': -2.1893766, ' 5': -2.2867718, ' 6': -2.3440988}
{'\n': -2.3386552, ' 4': -2.0226228, ' 5': -2.1676195, ' 6': -2.2904394, ' 8': -1.5927532}
{' 8': -1.5717278, ' 4': -2.101368, ' 5': -2.2225494, ' 6': -2.2463417, ' 7': -2.4122677}
{' 4': -2.018615, ' 5': -2.118113, ' 6': -2.0819468, ' 7': -2.3924003, ' 8': -1.5427623}
{'\n': -1.7769349, ' 4': -2.1883347, ' 5': -2.302505, ' 6': -2.3475974, ' 8': -1.6914362}
{' 8': -1.5387971, ' 4': -1.9893738, ' 5': -2.111175, ' 6': -2.1297853, ' 7': -2.364572}
{' 8': -1.6615882, '\n': -1.9048991, ' 4': -2.1949875, ' 5': -2.3164945, ' 6': -2.344357}
{'\n': -2.0421488, ' 4': -2.162991, ' 5': -2.2956107, ' 6': -2.3355772, ' 8': -1.6371528}
{'\n': -1.4729928, ' 8': -1.777993, ' 4': -2.2937171, ' 5': -2.3974311, ' 6': -2.4348419}
{' 8': -1.6782804, '\n': -1.9444185, ' 4': -2.164354, ' 5': -2.289167, ' 6': -2.3290334}
{'\n': -2.413309, ' 4': -2.1459806, ' 5': -2.2434464, ' 6': -2.2582471, ' 8': -1.6168449}
{' 4': -2.1405373, ' 5': -2.2500908, ' 6': -2.2773602, ' 7': -2.4413178, ' 8': -1.5887309}
{' 4': -2.1508803, ' 5': -2.2411277, ' 6': -2.2461667, ' 7': -2.4332623, ' 8': -1.629664}
{' 8': -1.6389838, ' 4': -2.1413233, ' 5': -2.2473757, ' 6': -2.2751544, '\n': -2.3371737}
{'\n': -2.2594707, ' 4': -2.1583478, ' 5': -2.250345, ' 6': -2.2722776, ' 8': -1.6433858}
{' 8': -1.6262985, ' 4': -2.1423738, ' 5': -2.240127, ' 6': -2.247312, ' 3': -2.446575}
{' 8': -1.654338, ' 4': -2.142887, ' 5': -2.2391615, ' 6': -2.2528775, '\n': -2.3332176}
{' 8': -1.622325, ' 4': -2.132989, ' 5': -2.2354822, ' 6': -2.2423878, ' 3': -2.4339094}
{'\n': -2.3498623, ' 4': -2.153663, ' 5': -2.2424624, ' 6': -2.2711957, ' 8': -1.6348232}
{' 8': -1.5479349, ' 4': -2.0506575, ' 6': -2.1156971, ' 5': -2.1311066, ' 7': -2.3974528}
{'\n': -1.871349, ' 4': -2.2121284, ' 5': -2.2843702, ' 6': -2.3457763, ' 8': -1.7054889}
{' 8': -1.6793762, '\n': -2.116015, ' 4': -2.1710238, ' 5': -2.253183, ' 6': -2.3051744}
{' 8': -1.6516896, ' 4': -2.1673892, ' 5': -2.2423975, ' 6': -2.2554724, '\n': -2.3121407}
{'\n': -2.353919, ' 4': -2.159546, ' 5': -2.2532222, ' 6': -2.2526255, ' 8': -1.6478728}
{'\n': -2.0032976, ' 4': -2.190852, ' 5': -2.2601125, ' 6': -2.3025682, ' 8': -1.6985205}
{'\n': -1.8727499, ' 4': -2.206273, ' 5': -2.305985, ' 6': -2.3368146, ' 8': -1.7350005}
{' 8': -1.6649929, ' 4': -2.1855779, '\n': -2.2172952, ' 5': -2.2538962, ' 6': -2.2994561}
{' 8': -1.7056911, '\n': -1.9541881, ' 4': -2.195567, ' 5': -2.2698057, ' 6': -2.3452785}
{' 8': -1.6893417, '\n': -2.0049238, ' 4': -2.1987078, ' 5': -2.2602684, ' 6': -2.3065014}
{'\n': -1.9895154, ' 4': -2.1777794, ' 5': -2.2611163, ' 6': -2.3282359, ' 8': -1.712909}
{' 8': -1.6406591, ' 4': -2.130972, ' 5': -2.2033136, ' 6': -2.2421281, '\n': -2.3920145}
{'\n': -2.404087, ' 4': -2.1166193, ' 5': -2.2075567, ' 6': -2.2386227, ' 8': -1.6483642}
{' 8': -1.6561782, ' 4': -2.1198254, ' 5': -2.1897, ' 6': -2.1979513, ' 3': -2.4606035}
{' 8': -1.5451088, ' 4': -2.0064354, ' 5': -2.1255884, ' 6': -2.1402273, ' 7': -2.4041348}
{' 4': -2.0126467, ' 5': -2.1364005, ' 6': -2.0673258, ' 8': -1.5274364, ' 9': -2.3967698}
{' 4': -1.971313, ' 5': -2.113608, ' 6': -2.0717158, ' 7': -2.4378743, ' 8': -1.5453}
{'\n': -1.5247784, ' 8': -1.7479687, ' 4': -2.2390845, ' 5': -2.3617117, ' 6': -2.4379807}
{'\n': -1.4186893, ' 8': -1.8002115, ' 4': -2.2630918, ' 5': -2.4065015, ' 6': -2.475536}
{'\n': -1.5189832, ' 4': -2.2243438, ' 5': -2.3670287, ' 6': -2.460191, ' 8': -1.7469267}
{'\n': -1.5141889, ' 8': -1.7587999, ' 4': -2.2023728, ' 5': -2.3688087, ' 6': -2.4590333}
{'\n': -1.5334413, ' 4': -2.2424946, ' 5': -2.3622406, ' 6': -2.4492273, ' 8': -1.7578409}
{'\n': -1.6225219, ' 8': -1.7376903, ' 4': -2.2032447, ' 5': -2.3516803, ' 6': -2.4222178}
{' 8': -1.6669656, '\n': -2.0727434, ' 4': -2.1978598, ' 5': -2.2794075, ' 6': -2.3103113}
{'\n': -1.4242448, ' 8': -1.7897586, ' 4': -2.2711544, ' 5': -2.4129112, ' 6': -2.4795609}
{'\n': -1.5110452, ' 8': -1.7631794, ' 4': -2.2567186, ' 5': -2.3760548, ' 6': -2.4532096}
{'\n': -1.4022812, ' 4': -2.2923036, ' 5': -2.403811, ' 6': -2.4791036, ' 8': -1.8117499}
{'\n': -1.536401, ' 8': -1.762689, ' 4': -2.2604089, ' 5': -2.3684475, ' 6': -2.434195}
{'\n': -1.5278264, ' 4': -2.2529852, ' 5': -2.3694317, ' 6': -2.434788, ' 8': -1.7771045}
{'\n': -1.4281086, ' 4': -2.2937932, ' 5': -2.3965075, ' 6': -2.4685938, ' 8': -1.8072579}
{'\n': -1.3807385, ' 4': -2.2836392, ' 5': -2.40685, ' 6': -2.496794, ' 8': -1.8262293}
{' 8': -1.6433727, ' 4': -2.1468432, ' 5': -2.2213166, ' 6': -2.2461045, ' 7': -2.4441636}
{' 8': -1.6817908, '\n': -2.017345, ' 4': -2.171186, ' 5': -2.2838416, ' 6': -2.3042645}
{' 8': -1.6976471, '\n': -1.8222693, ' 4': -2.1968708, ' 5': -2.2946863, ' 6': -2.3457146}
{'\n': -1.6551968, ' 4': -2.2193048, ' 5': -2.32983, ' 6': -2.3888795, ' 8': -1.746103}
{'\n': -2.1757169, ' 4': -2.16048, ' 5': -2.249345, ' 6': -2.2670827, ' 8': -1.6634115}
{'\n': -2.1201756, ' 4': -2.162677, ' 5': -2.26487, ' 6': -2.258201, ' 8': -1.6782879}
{'\n': -1.7371331, ' 4': -2.215869, ' 5': -2.3107595, ' 6': -2.3656104, ' 8': -1.7179012}
{' 8': -1.706069, '\n': -1.9689418, ' 4': -2.174285, ' 5': -2.2818253, ' 6': -2.30301}
{' 8': -1.6852227, '\n': -2.0721922, ' 4': -2.1911945, ' 5': -2.2703686, ' 6': -2.2924929}
{' 8': -1.7371117, '\n': -1.8278482, ' 4': -2.2253976, ' 5': -2.3149838, ' 6': -2.345349}
{' 8': -1.7128835, '\n': -1.8208156, ' 4': -2.2006342, ' 5': -2.2956517, ' 6': -2.346742}
{' 8': -1.733866, '\n': -1.7754433, ' 4': -2.201791, ' 5': -2.3023655, ' 6': -2.3531945}
{' 8': -1.7217343, '\n': -1.903603, ' 4': -2.2165349, ' 5': -2.2964976, ' 6': -2.3163016}
{' 8': -1.7174784, '\n': -1.9551806, ' 4': -2.185473, ' 5': -2.290421, ' 6': -2.3045745}
{'\n': -1.8615469, ' 4': -2.2029135, ' 5': -2.2882626, ' 6': -2.3279243, ' 8': -1.7258676}
{' 8': -1.7466861, '\n': -1.8819971, ' 4': -2.207961, ' 5': -2.2983723, ' 6': -2.3179677}
{' 8': -1.6702538, ' 4': -2.176283, '\n': -2.2309113, ' 5': -2.2451973, ' 6': -2.266842}
{'\n': -2.0079582, ' 4': -2.1583354, ' 5': -2.2791536, ' 6': -2.2991104, ' 8': -1.6833075}
{' 8': -1.7187023, '\n': -1.7400705, ' 4': -2.2364924, ' 5': -2.309063, ' 6': -2.347458}
{'\n': -1.4663963, ' 8': -1.8109598, ' 4': -2.2683876, ' 5': -2.3653421, ' 6': -2.433446}
{'\n': -1.6803026, ' 4': -2.234684, ' 5': -2.3208656, ' 6': -2.3720267, ' 8': -1.7292757}
{'\n': -1.6167549, ' 8': -1.7614282, ' 4': -2.228758, ' 5': -2.3338616, ' 6': -2.3834794}
{'\n': -1.6798736, ' 8': -1.7455647, ' 4': -2.2283003, ' 5': -2.3121321, ' 6': -2.3759663}
{'\n': -1.6310067, ' 4': -2.2350242, ' 5': -2.3254945, ' 6': -2.3895774, ' 8': -1.7687392}
{'\n': -1.9007685, ' 4': -2.2127154, ' 5': -2.2839358, ' 6': -2.3046076, ' 8': -1.7103341}
{'\n': -1.6112162, ' 8': -1.7559785, ' 4': -2.2547538, ' 5': -2.3454149, ' 6': -2.388692}
{'\n': -1.7022681, ' 8': -1.7435365, ' 4': -2.2329545, ' 5': -2.310203, ' 6': -2.353328}
{'\n': -1.7123756, ' 8': -1.7453185, ' 4': -2.228142, ' 5': -2.309622, ' 6': -2.352211}
{'\n': -1.8171008, ' 4': -2.2330992, ' 5': -2.3033812, ' 6': -2.3118498, ' 8': -1.742406}
{'\n': -1.6724789, ' 4': -2.2497408, ' 5': -2.3253539, ' 6': -2.357175, ' 8': -1.7571148}
{' 8': -1.7279645, '\n': -1.8616526, ' 4': -2.235963, ' 5': -2.287655, ' 6': -2.300846}
{'\n': -1.7116512, ' 4': -2.217849, ' 5': -2.3057234, ' 6': -2.3428833, ' 8': -1.753569}
{'\n': -2.4255855, ' 4': -2.1443088, ' 5': -2.2205694, ' 6': -2.2333028, ' 8': -1.6264284}
{'\n': -1.933435, ' 4': -2.1490836, ' 5': -2.259932, ' 6': -2.3000948, ' 8': -1.683825}
{' 8': -1.67175, '\n': -1.9645405, ' 4': -2.1686344, ' 5': -2.2504473, ' 6': -2.286313}
{'\n': -1.7573547, ' 4': -2.2087288, ' 5': -2.2860327, ' 6': -2.3278475, ' 8': -1.7324858}
{'\n': -1.8875926, ' 4': -2.2027276, ' 5': -2.2743418, ' 6': -2.300047, ' 8': -1.6925212}
{'\n': -1.7488385, ' 4': -2.2001088, ' 5': -2.3001502, ' 6': -2.3269897, ' 8': -1.7270995}
{'\n': -1.7518634, ' 4': -2.2291362, ' 5': -2.301625, ' 6': -2.3257253, ' 8': -1.7378366}
{'\n': -1.7263554, ' 4': -2.215984, ' 5': -2.3000515, ' 6': -2.3384464, ' 8': -1.7493504}
{' 8': -1.6844852, '\n': -2.071073, ' 4': -2.1723135, ' 5': -2.2499683, ' 6': -2.268483}
{' 8': -1.7231871, '\n': -1.8299919, ' 4': -2.1950755, ' 5': -2.2809198, ' 6': -2.3204713}
{' 8': -1.68211, '\n': -2.026434, ' 4': -2.1862822, ' 5': -2.2511063, ' 6': -2.2763577}
{' 8': -1.721365, '\n': -1.9009408, ' 4': -2.2095108, ' 5': -2.2773206, ' 6': -2.2944002}
{'\n': -1.9507468, ' 4': -2.2007296, ' 5': -2.2696688, ' 6': -2.2732253, ' 8': -1.7115738}
{'\n': -1.9440374, ' 4': -2.1942568, ' 5': -2.2723866, ' 6': -2.2637987, ' 8': -1.7206955}
{' 8': -1.7269617, '\n': -1.9505736, ' 4': -2.1860158, ' 5': -2.2573686, ' 6': -2.259236}
{' 8': -1.7211859, '\n': -1.9816238, ' 4': -2.163401, ' 6': -2.2475884, ' 5': -2.254596}
{' 8': -1.4862694, ' 4': -1.9961019, ' 6': -2.111816, ' 5': -2.1810088, ' 7': -2.3889585}
{' 8': -1.4915885, ' 4': -1.9727523, ' 6': -2.1291788, ' 5': -2.1694183, ' 7': -2.3811646}
{'\n': -1.5117799, ' 4': -2.2169065, ' 5': -2.3762047, ' 6': -2.4539604, ' 8': -1.7372371}
{' 8': -1.4935266, ' 4': -1.9782106, ' 5': -2.1760082, ' 6': -2.2797985, ' 7': -2.3436413}
{' 8': -1.6869344, '\n': -1.7136992, ' 4': -2.1523302, ' 5': -2.3427675, ' 6': -2.4259212}
{'\n': -1.5531956, ' 4': -2.1833596, ' 5': -2.3839154, ' 6': -2.4521308, ' 8': -1.7333493}
{'\n': -1.6376095, ' 8': -1.7119093, ' 4': -2.1906176, ' 5': -2.348568, ' 6': -2.4289255}
{' 8': -1.6968077, '\n': -1.7792491, ' 4': -2.166294, ' 5': -2.3332567, ' 6': -2.3932858}
{'\n': -1.7021275, ' 4': -2.1947527, ' 5': -2.3468513, ' 6': -2.400961, ' 8': -1.7169343}
{'\n': -1.6069646, ' 8': -1.7502332, ' 4': -2.22449, ' 5': -2.3859422, ' 6': -2.4060876}
{'\n': -1.431268, ' 4': -2.2663891, ' 5': -2.4099658, ' 6': -2.4856846, ' 8': -1.7779335}
{'\n': -1.5976409, ' 4': -2.2182167, ' 5': -2.3565235, ' 6': -2.4082174, ' 8': -1.7516431}
{'\n': -1.6088618, ' 4': -2.230519, ' 5': -2.3728027, ' 6': -2.4252145, ' 8': -1.7395934}
{'\n': -1.6085103, ' 8': -1.7496445, ' 4': -2.2336419, ' 5': -2.3709426, ' 6': -2.4189312}
{'\n': -1.5554345, ' 8': -1.7622912, ' 4': -2.2498295, ' 5': -2.3845398, ' 6': -2.4359448}
{'\n': -1.7001513, ' 4': -2.2144134, ' 5': -2.3479822, ' 6': -2.3821704, ' 8': -1.7339151}
{' 8': -1.6925075, '\n': -2.0771666, ' 4': -2.157582, ' 5': -2.2664106, ' 6': -2.2850635}
{'\n': -1.873034, ' 4': -2.1594472, ' 5': -2.3084733, ' 6': -2.326735, ' 8': -1.7017541}
{'\n': -1.7437544, ' 4': -2.1875172, ' 5': -2.328763, ' 6': -2.3654242, ' 8': -1.7067777}
{'\n': -1.7878145, ' 4': -2.1889324, ' 5': -2.3185303, ' 6': -2.3323357, ' 8': -1.7227204}
{' 8': -1.7165287, '\n': -1.7794462, ' 4': -2.2171962, ' 5': -2.3395193, ' 6': -2.357353}
{' 8': -1.7243453, '\n': -1.8327916, ' 4': -2.1880639, ' 5': -2.320389, ' 6': -2.327349}
{'\n': -1.5622956, ' 8': -1.7678211, ' 4': -2.2461078, ' 5': -2.3680532, ' 6': -2.4145877}
{'\n': -1.6036619, ' 4': -2.2475398, ' 5': -2.3562007, ' 6': -2.3928826, ' 8': -1.7748207}
{'\n': -2.3288314, ' 4': -2.1587658, ' 5': -2.2452402, ' 6': -2.2624834, ' 8': -1.6573828}
{'\n': -1.8040841, ' 4': -2.2033353, ' 5': -2.3173375, ' 6': -2.3297665, ' 8': -1.7379763}
{'\n': -1.7497249, ' 4': -2.2184694, ' 5': -2.3310208, ' 6': -2.3584428, ' 8': -1.733009}
{'\n': -1.8841736, ' 4': -2.185117, ' 5': -2.2972636, ' 6': -2.3168204, ' 8': -1.7159054}
{' 8': -1.717561, '\n': -1.9291041, ' 4': -2.2091184, ' 5': -2.3095315, ' 6': -2.319524}
{'\n': -2.0024307, ' 4': -2.1983266, ' 5': -2.2945447, ' 6': -2.290237, ' 8': -1.7138858}
{' 8': -1.7097925, '\n': -2.0649352, ' 4': -2.1890187, ' 6': -2.2777553, ' 5': -2.2833552}
{' 8': -1.7215688, '\n': -2.0694454, ' 4': -2.1915119, ' 6': -2.261629, ' 5': -2.2784975}
{' 8': -1.6867077, '\n': -2.1038935, ' 4': -2.15354, ' 5': -2.2646918, ' 6': -2.2703478}
{' 8': -1.687081, '\n': -1.8943259, ' 4': -2.167342, ' 5': -2.316079, ' 6': -2.3350987}
{'\n': -1.5622407, ' 8': -1.7511655, ' 4': -2.2362053, ' 5': -2.374509, ' 6': -2.4245625}
{'\n': -1.7671152, ' 4': -2.1828504, ' 5': -2.3183007, ' 6': -2.3550038, ' 8': -1.7163311}
{'\n': -1.7988703, ' 4': -2.2170975, ' 5': -2.3358014, ' 6': -2.35044, ' 8': -1.7205517}
{'\n': -1.5201024, ' 4': -2.2588959, ' 5': -2.394413, ' 6': -2.4289923, ' 8': -1.7765417}
{'\n': -1.5249523, ' 8': -1.7667335, ' 4': -2.2614827, ' 5': -2.3886142, ' 6': -2.4295037}
{'\n': -1.7170669, ' 8': -1.7302275, ' 4': -2.2261248, ' 5': -2.3426611, ' 6': -2.3776407}
{'\n': -2.039024, ' 4': -2.1982343, ' 5': -2.2859344, ' 6': -2.2855422, ' 8': -1.6942365}
{'\n': -1.8063326, ' 4': -2.210761, ' 5': -2.3307989, ' 6': -2.3360147, ' 8': -1.721777}
{'\n': -2.0069244, ' 4': -2.1913517, ' 5': -2.2993324, ' 6': -2.298167, ' 8': -1.6851863}
{'\n': -1.7839047, ' 4': -2.2146726, ' 5': -2.3265064, ' 6': -2.3526044, ' 8': -1.7308593}
{'\n': -2.0464034, ' 4': -2.1916156, ' 5': -2.2844605, ' 6': -2.2824826, ' 8': -1.6883435}
{' 8': -1.7089895, '\n': -1.9150853, ' 4': -2.217033, ' 6': -2.3033688, ' 5': -2.3126893}
{'\n': -2.0662165, ' 4': -2.1786547, ' 5': -2.2763977, ' 6': -2.2837896, ' 8': -1.6722735}
{'\n': -1.7040616, ' 4': -2.2288752, ' 5': -2.3420124, ' 6': -2.3666801, ' 8': -1.7555801}
{'\n': -2.308645, ' 4': -2.1695726, ' 5': -2.2549827, ' 6': -2.255307, ' 8': -1.6650884}
{' 8': -1.7410291, '\n': -1.771441, ' 4': -2.2130342, ' 5': -2.3281033, ' 6': -2.3454862}
{'\n': -1.822188, ' 4': -2.2044065, ' 5': -2.3142629, ' 6': -2.3376298, ' 8': -1.7081877}
{'\n': -1.806794, ' 4': -2.2013016, ' 5': -2.315746, ' 6': -2.3278265, ' 8': -1.7259042}
{' 8': -1.7128407, '\n': -1.9399946, ' 4': -2.2063386, ' 6': -2.2968156, ' 5': -2.3049111}
{' 8': -1.7454704, '\n': -1.7733625, ' 4': -2.2295966, ' 5': -2.3347733, ' 6': -2.3417687}
{' 8': -1.737585, '\n': -1.775133, ' 4': -2.227411, ' 5': -2.3318348, ' 6': -2.3360367}
{'\n': -1.9058831, ' 4': -2.2031596, ' 5': -2.2984974, ' 6': -2.3110468, ' 8': -1.7232058}
{' 8': -1.6640458, ' 4': -2.1654916, ' 6': -2.2455935, ' 5': -2.252542, '\n': -2.3693395}
{'\n': -1.7932618, ' 4': -2.2276337, ' 5': -2.3221257, ' 6': -2.340171, ' 8': -1.7401564}
{' 8': -1.7018113, '\n': -1.9712766, ' 4': -2.1884427, ' 5': -2.287415, ' 6': -2.295402}
{' 8': -1.7222823, '\n': -1.9377049, ' 4': -2.1966674, ' 5': -2.289273, ' 6': -2.2930915}
{'\n': -2.055667, ' 4': -2.1892567, ' 5': -2.277356, ' 6': -2.2714968, ' 8': -1.7055196}
{'\n': -1.9525224, ' 4': -2.227752, ' 5': -2.3026078, ' 6': -2.2850735, ' 8': -1.7440169}
{'\n': -2.0329256, ' 4': -2.193758, ' 5': -2.2761478, ' 6': -2.2637856, ' 8': -1.7213193}
{' 8': -1.7311683, '\n': -1.9890019, ' 4': -2.193438, ' 6': -2.2641609, ' 5': -2.2817025}
{' 4': -2.1112933, ' 5': -2.211047, ' 6': -2.2154157, ' 7': -2.4456584, ' 8': -1.6284558}
{' 8': -1.6900582, '\n': -1.7024895, ' 4': -2.1886868, ' 5': -2.3410678, ' 6': -2.4002404}
{' 8': -1.6730499, '\n': -1.7163173, ' 4': -2.1801682, ' 5': -2.3115695, ' 6': -2.3773224}
{' 8': -1.670922, '\n': -1.7300614, ' 4': -2.1776083, ' 5': -2.3142536, ' 6': -2.367461}
{'\n': -1.5872084, ' 4': -2.199021, ' 5': -2.3584535, ' 6': -2.4514406, ' 8': -1.687679}
{' 8': -1.6649036, '\n': -1.7614201, ' 4': -2.1598644, ' 5': -2.3158836, ' 6': -2.3854055}
{' 8': -1.6534824, '\n': -1.7867432, ' 4': -2.1602764, ' 5': -2.3041925, ' 6': -2.3772955}
{' 8': -1.6582268, '\n': -1.8201942, ' 4': -2.1617012, ' 5': -2.2986124, ' 6': -2.3610294}
{' 8': -1.6824816, '\n': -1.7291572, ' 4': -2.1969812, ' 5': -2.3272216, ' 6': -2.374396}
{'\n': -1.8601013, ' 4': -2.1876686, ' 5': -2.3101337, ' 6': -2.3343856, ' 8': -1.6606756}
{' 8': -1.6702374, '\n': -1.7739524, ' 4': -2.1942222, ' 5': -2.3073988, ' 6': -2.3598402}
{' 8': -1.6879944, '\n': -1.760754, ' 4': -2.2086568, ' 5': -2.3139176, ' 6': -2.3425438}
{'\n': -1.770315, ' 4': -2.1975381, ' 5': -2.323452, ' 6': -2.358138, ' 8': -1.6783274}
{' 8': -1.6660496, '\n': -1.8718792, ' 4': -2.188025, ' 5': -2.3066745, ' 6': -2.3325372}
{' 8': -1.6718295, '\n': -1.8932585, ' 4': -2.1886704, ' 5': -2.294824, ' 6': -2.3131468}
{' 8': -1.6591626, '\n': -1.9890071, ' 4': -2.1768866, ' 5': -2.2825854, ' 6': -2.2917643}
{'\n': -2.148502, ' 4': -2.164708, ' 5': -2.2523792, ' 6': -2.2570932, ' 8': -1.6482522}
