{' b': -9.33841, ' A': -1.2189229, ' B': -0.3510315, ' "': -8.545751, " '": -9.839435}
{' B': -0.005830306, ' A': -5.205972, ' "': -8.973571, ' b': -9.19927, " '": -10.151256}
{' b': -9.12769, ' A': -4.0921464, ' B': -0.01722631, ' "': -8.777087, " '": -10.030055}
{' b': -9.267595, ' A': -3.6046839, ' B': -0.027911507, ' "': -8.953388, " '": -10.208257}
{' b': -9.196237, ' A': -4.388116, ' B': -0.012860294, ' "': -8.848426, " '": -10.030786}
{' b': -9.171475, ' A': -5.2974424, ' B': -0.0053148395, ' "': -9.169333, " '": -10.327493}
{' b': -9.1787615, ' A': -5.24146, ' B': -0.005639371, ' "': -8.96525, " '": -10.083355}
{' b': -9.19431, ' A': -3.7326555, ' B': -0.024567898, ' "': -8.904575, " '": -10.20404}
{' b': -9.162174, ' A': -4.2793374, ' B': -0.01429955, ' "': -8.902868, " '": -10.094433}
{' b': -9.272271, ' A': -3.2435024, ' B': -0.040167768, ' "': -8.857353, " '": -10.127277}
{' b': -9.209876, ' A': -4.1361537, ' B': -0.016443027, ' "': -9.008814, " '": -10.189558}
{' b': -9.213648, ' A': -5.5343595, ' B': -0.004280571, ' "': -8.998473, " '": -10.171531}
{' b': -9.11502, ' A': -4.575099, ' B': -0.0107339285, ' "': -8.820203, " '": -10.007739}
{' b': -9.239544, ' A': -5.5811305, ' B': -0.0040773028, ' "': -9.090914, " '": -10.267034}
{' B': -0.009515852, ' A': -4.69561, ' "': -8.905118, ' b': -9.196651, " '": -10.168439}
{' b': -9.233408, ' A': -5.562743, ' B': -0.00416283, ' "': -9.024362, " '": -10.158399}
{' b': -9.151433, ' A': -5.452124, ' B': -0.0046510547, ' "': -8.879739, " '": -10.018402}
{' b': -9.197681, ' A': -4.760415, ' B': -0.008925836, ' "': -8.971448, " '": -10.250401}
{' b': -9.224356, ' A': -4.0692782, ' B': -0.01757414, ' "': -8.933486, " '": -10.213931}
{' b': -9.338731, ' A': -2.8394291, ' B': -0.0606302, ' "': -8.732761, " '": -10.119814}
{' b': -9.136695, ' A': -4.53658, ' B': -0.01108861, ' "': -9.0905075, " '": -10.310741}
{' B': -0.2180366, ' A': -1.6321068, ' "': -8.971939, ' b': -9.16502, ' (': -10.158681}
{' b': -9.054951, ' A': -3.0791686, 'B': -10.450431, ' B': -0.047445823, ' "': -9.115899}
{' b': -9.067385, ' A': -2.2322552, ' B': -0.11388914, ' (': -10.271965, ' "': -9.092098}
{' B': -0.0748696, ' A': -2.6342149, ' "': -9.0054455, ' b': -9.081926, 'B': -10.424337}
{' b': -9.061221, ' A': -2.4032638, 'B': -10.416749, ' B': -0.09519105, ' "': -8.912419}
{' b': -9.110258, ' A': -2.088098, ' B': -0.13271473, ' (': -10.352922, ' "': -9.02743}
{' B': -0.021675548, ' A': -3.857237, ' b': -9.045914, ' "': -9.227738, 'B': -10.4908905}
{' b': -8.990588, ' A': -3.1107352, 'B': -10.398, ' B': -0.04596354, ' "': -9.081388}
{' b': -9.103525, ' A': -3.6847196, 'B': -10.48597, ' B': -0.025732702, ' "': -9.286814}
{' b': -9.111738, ' A': -2.8183196, 'B': -10.518544, ' B': -0.061903395, ' "': -9.19094}
{' b': -9.061538, ' A': -3.4774904, 'B': -10.594401, ' B': -0.031670675, ' "': -9.384124}
{' b': -9.020262, ' A': -3.6365092, 'B': -10.566042, ' B': -0.027025562, ' "': -9.194401}
{' b': -9.206624, ' A': -2.4063876, 'B': -10.499644, ' B': -0.09480512, ' "': -9.237924}
{' b': -9.103193, ' A': -2.7988842, 'B': -10.517542, ' B': -0.06314729, ' "': -9.218313}
{' b': -9.277069, ' A': -1.9018056, ' B': -0.16211306, ' (': -10.377757, ' "': -8.9917755}
{' b': -9.005024, ' A': -4.224351, 'B': -10.553161, ' B': -0.015059553, ' "': -9.25238}
{' b': -9.043634, ' A': -5.3741107, 'B': -10.619786, ' B': -0.004953152, ' "': -9.206971}
{' b': -8.996282, ' A': -4.316846, ' B': -0.013772328, ' "': -9.056911, " '": -10.558246}
{' B': -0.020735834, ' A': -3.9014273, ' b': -9.102809, ' "': -9.177382, 'B': -10.552896}
{' b': -9.079711, ' A': -4.732079, ' B': -0.009157878, ' "': -9.159701, " '": -10.584259}
{' b': -9.026037, ' A': -5.2173877, 'B': -10.635956, ' B': -0.0057219765, ' "': -9.381554}
{' b': -9.022869, ' A': -5.3982778, ' B': -0.0048510265, ' "': -9.13551, " '": -10.532793}
{' b': -9.070176, ' A': -3.9872916, 'B': -10.600101, ' B': -0.01903782, ' "': -9.183185}
{' b': -9.0475855, ' A': -4.601847, 'B': -10.640327, ' B': -0.010378646, ' "': -9.309049}
{' b': -9.139343, ' A': -3.558106, 'B': -10.538731, ' B': -0.029219339, ' "': -9.179998}
{' B': -0.01740661, ' A': -4.076956, ' b': -9.083958, ' "': -9.276021, 'B': -10.593622}
{' b': -9.066006, ' A': -5.3854704, 'B': -10.632598, ' B': -0.004897024, ' "': -9.209491}
{' b': -8.97597, ' A': -4.7395, ' B': -0.009123231, ' "': -9.058585, " '": -10.504709}
{' b': -9.069468, ' A': -5.2698917, 'B': -10.648753, ' B': -0.0054495535, ' "': -9.274553}
{' b': -9.062316, ' A': -4.568115, 'B': -10.608264, ' B': -0.010747725, ' "': -9.139453}
{' b': -9.129177, ' A': -5.3101554, ' B': -0.005252822, ' "': -9.177348, " '": -10.627295}
{' b': -8.991744, ' A': -5.3992376, ' B': -0.0048801964, ' "': -8.986747, " '": -10.450823}
{' b': -9.059414, ' A': -4.711746, 'B': -10.605127, ' B': -0.009340699, ' "': -9.156343}
{' b': -9.08318, ' A': -4.2946095, 'B': -10.676211, ' B': -0.014033004, ' "': -9.258326}
{' b': -9.204291, ' A': -2.9101362, 'B': -10.580148, ' B': -0.05633281, ' "': -9.119572}
{' b': -9.062573, ' A': -4.3570523, 'B': -10.58578, ' B': -0.01320323, ' "': -9.273882}
{' B': -0.30395165, ' A': -1.3407216, ' "': -8.677545, ' b': -9.459181, ' (': -9.829177}
{' B': -0.0643488, ' A': -2.781571, ' "': -8.871424, ' b': -9.231044, ' (': -10.132804}
{' b': -9.240863, ' A': -1.9127289, ' B': -0.16027978, ' (': -9.841979, ' "': -8.831074}
{' B': -0.095844604, ' A': -2.3969882, ' "': -8.755809, ' b': -9.303663, ' (': -10.0751915}
{' b': -9.295516, ' A': -2.2330341, ' B': -0.11383631, ' (': -10.210907, ' "': -8.775308}
{' b': -9.395445, ' A': -2.0241256, ' B': -0.14212947, ' (': -10.151564, ' "': -8.827108}
{' b': -9.2371645, ' A': -3.5573056, ' B': -0.029283041, ' (': -10.282253, ' "': -9.003227}
{' B': -0.05993792, ' A': -2.850839, ' "': -8.872998, ' b': -9.221214, ' (': -10.203478}
{' b': -9.282627, ' A': -3.32056, ' B': -0.037139546, ' (': -10.399342, ' "': -9.086019}
{' b': -9.360597, ' A': -2.4435203, ' B': -0.091254085, ' (': -10.175651, ' "': -8.931285}
{' b': -9.309854, ' A': -3.3004122, ' B': -0.037885055, ' (': -10.449268, ' "': -9.142023}
{' b': -9.188242, ' A': -3.3627148, ' B': -0.03564093, ' (': -10.258694, ' "': -8.862014}
{' b': -9.4046545, ' A': -2.3141944, ' B': -0.10447207, ' (': -10.230457, ' "': -8.922426}
{' B': -0.08659728, ' A': -2.493816, ' "': -8.9216385, ' b': -9.317595, ' (': -10.239343}
{' b': -9.405292, ' A': -1.9172992, ' B': -0.15945424, ' (': -10.073855, ' "': -8.804852}
{' b': -9.194934, ' A': -3.9509282, ' B': -0.019789398, ' "': -8.897178, " '": -10.24255}
{' b': -9.171937, ' A': -4.927809, ' B': -0.0076276357, ' "': -8.916971, " '": -10.264106}
{' b': -9.153517, ' A': -3.9936264, ' B': -0.018984724, ' "': -8.831266, " '": -10.277402}
{' b': -9.248796, ' A': -3.7628956, ' B': -0.023838425, ' (': -10.396002, ' "': -8.956729}
{' B': -0.013830163, ' A': -4.312763, ' "': -8.943807, ' b': -9.247241, " '": -10.329978}
{' B': -0.0077671655, ' A': -4.9022737, ' "': -9.115658, ' b': -9.231769, " '": -10.52505}
{' B': -0.007393725, ' A': -4.9597216, ' "': -8.91321, ' b': -9.170007, " '": -10.226423}
{' B': -0.022772165, ' A': -3.8084774, ' "': -8.952218, ' b': -9.261769, " '": -10.421763}
{' b': -9.285921, ' A': -4.148918, ' B': -0.016241336, ' "': -8.975023, " '": -10.364576}
{' b': -9.313674, ' A': -3.3418481, ' B': -0.036363434, ' "': -8.921956, " '": -10.3387985}
{' b': -9.121236, ' A': -3.8357556, ' B': -0.022195125, ' "': -8.9122505, " '": -10.29544}
{' b': -9.222196, ' A': -5.093193, ' B': -0.0064794505, ' (': -10.387922, ' "': -9.068047}
{' b': -9.096243, ' A': -4.549407, ' B': -0.011023522, ' "': -8.798193, " '": -10.1532345}
{' b': -9.184744, ' A': -4.9740353, ' B': -0.007268957, ' (': -10.401856, ' "': -9.041016}
{' b': -9.222591, ' A': -4.278977, ' B': -0.014300034, ' "': -8.930159, " '": -10.382277}
{' b': -9.319951, ' A': -5.115363, ' B': -0.006327802, ' "': -9.080252, " '": -10.466341}
{' b': -9.220461, ' A': -4.918458, ' B': -0.007697668, ' "': -8.879078, " '": -10.218425}
{' b': -9.217503, ' A': -4.52454, ' B': -0.011234774, ' "': -8.971405, " '": -10.391226}
{' b': -9.278717, ' A': -3.9648294, ' B': -0.019492576, ' "': -8.948778, " '": -10.369012}
{' B': -0.07609684, ' A': -2.6184533, ' "': -8.795685, ' b': -9.443773, ' (': -10.314964}
{' B': -0.02045838, ' A': -3.9161742, ' "': -8.974455, ' b': -9.286368, " '": -10.34535}
{' b': -9.525912, ' A': -1.6992865, ' B': -0.20234784, ' (': -10.119306, ' "': -8.849029}
{' b': -9.247495, ' A': -2.9920292, ' B': -0.05187796, ' "': -8.885407, " '": -10.137841}
{' b': -9.428515, ' A': -2.2775962, ' B': -0.10857849, ' (': -10.232771, ' "': -8.870993}
{' b': -9.280675, ' A': -2.5246735, ' B': -0.083894804, ' "': -8.825093, " '": -10.114573}
{' b': -9.243545, ' A': -2.457991, ' B': -0.08990507, ' "': -8.878037, " '": -10.155067}
{' b': -9.306569, ' A': -2.1320508, ' B': -0.12669683, ' "': -8.759958, " '": -9.986393}
{' b': -9.202346, ' A': -3.812562, ' B': -0.022683084, ' "': -9.058214, " '": -10.281182}
{' b': -9.303101, ' A': -3.1278899, ' B': -0.045170594, ' "': -8.886906, " '": -10.181607}
{' b': -9.279775, ' A': -3.4398093, ' B': -0.032930125, ' "': -9.086989, " '": -10.273483}
{' b': -9.348871, ' A': -2.80085, ' B': -0.06304945, ' "': -8.964853, " '": -10.203091}
{' b': -9.264884, ' A': -3.4430408, ' B': -0.032802682, ' "': -9.199435, " '": -10.387482}
{' b': -9.204974, ' A': -3.518606, ' B': -0.030458393, ' "': -8.91352, " '": -10.123192}
{' b': -9.414307, ' A': -2.5200279, ' B': -0.08424658, ' "': -8.97533, " '": -10.263978}
{' b': -9.263347, ' A': -2.7592654, ' B': -0.06582048, ' "': -8.909468, " '": -10.160469}
{' b': -9.383424, ' A': -2.2279282, ' B': -0.11440273, ' "': -8.964957, " '": -10.238412}
{' b': -9.161334, ' A': -4.095114, ' B': -0.017166762, ' "': -8.891895, " '": -10.034862}
{' b': -9.138452, ' A': -5.1286917, ' B': -0.006306747, ' "': -8.909649, " '": -10.116585}
{' B': -0.013847208, ' A': -4.3104415, ' "': -8.948525, ' b': -9.306789, " '": -10.294622}
{' b': -9.272867, ' A': -3.5794854, ' B': -0.028635435, ' "': -8.973798, " '": -10.225265}
{' b': -9.248323, ' A': -4.372785, ' B': -0.013045787, ' "': -8.921761, " '": -10.144438}
{' b': -9.268358, ' A': -5.0446715, ' B': -0.006755452, ' "': -9.225705, " '": -10.422547}
{' b': -9.266701, ' A': -5.143821, ' B': -0.00618877, ' "': -8.930606, " '": -10.159951}
{' b': -9.372886, ' A': -4.09448, ' B': -0.017122013, ' "': -8.974303, " '": -10.346562}
{' b': -9.375746, ' A': -4.5921893, ' B': -0.010490134, ' "': -9.01946, " '": -10.286715}
{' b': -9.417814, ' A': -3.5964181, ' B': -0.028125925, ' "': -8.973879, " '": -10.297169}
{' b': -9.412625, ' A': -4.1071095, ' B': -0.016899817, ' "': -9.053337, " '": -10.295201}
{' b': -9.400692, ' A': -5.5383997, ' B': -0.004242918, ' "': -9.033567, " '": -10.268295}
{' b': -9.036685, ' A': -4.74252, ' B': -0.009159501, ' "': -8.79487, " '": -10.000869}
{' b': -9.319769, ' A': -5.4603233, ' B': -0.004562793, ' "': -9.074406, " '": -10.412412}
{' b': -9.313964, ' A': -4.619924, ' B': -0.010219361, ' "': -9.00807, " '": -10.340758}
{' b': -9.229298, ' A': -5.232811, ' B': -0.005687628, ' "': -8.995585, " '": -10.221012}
{' B': -0.0069587827, ' A': -5.029465, ' "': -8.809171, ' b': -9.093878, " '": -9.97762}
{' b': -9.174199, ' A': -4.741912, ' B': -0.009100915, ' "': -8.97816, " '": -10.303151}
{' b': -9.272661, ' A': -4.2651224, ' B': -0.014475815, ' "': -9.000442, " '": -10.295962}
{' b': -9.379613, ' A': -2.9490142, ' B': -0.05417611, ' "': -8.879651, " '": -10.267645}
{' b': -9.261206, ' A': -4.1327276, ' B': -0.016503803, ' "': -9.022355, " '": -10.1712885}
{' B': -0.34704065, ' A': -1.2284245, ' "': -8.52783, ' b': -9.486728, " '": -9.808652}
{' b': -9.2233095, ' A': -2.644666, ' B': -0.07414385, ' "': -8.613723, " '": -9.825807}
{' b': -9.297461, ' A': -1.7902706, ' B': -0.18317507, ' "': -8.562677, " '": -9.815506}
{' b': -9.252397, ' A': -2.2389913, ' B': -0.11320759, ' "': -8.499404, " '": -9.738691}
{' b': -9.251013, ' A': -2.0507762, ' B': -0.13823226, ' "': -8.489107, " '": -9.743637}
{' b': -9.259844, ' A': -2.0781267, ' B': -0.13424857, ' "': -8.529624, " '": -9.701639}
{' B': -0.03089759, ' A': -3.5054345, ' "': -8.763746, ' b': -9.181633, " '": -9.923429}
{' b': -9.10612, ' A': -2.9616365, ' B': -0.053582553, ' "': -8.643533, " '": -9.772708}
{' b': -9.183839, ' A': -3.3323328, ' B': -0.036755033, ' "': -8.832873, " '": -9.947399}
{' b': -9.324377, ' A': -2.3347578, ' B': -0.10230942, ' "': -8.644842, " '": -9.845468}
{' B': -0.04047291, ' A': -3.2361116, ' "': -8.945502, ' b': -9.18402, " '": -10.166051}
{' b': -9.2022915, ' A': -3.2263124, ' B': -0.04093746, ' "': -8.673369, " '": -9.826619}
{' B': -0.08872309, ' A': -2.4708126, ' "': -8.788515, ' b': -9.297974, " '": -9.972441}
{' b': -9.25998, ' A': -2.6074295, ' B': -0.07698836, ' "': -8.838458, " '": -9.989754}
{' b': -9.463919, ' A': -1.6625566, ' B': -0.21083172, ' "': -8.586393, " '": -9.84667}
{' b': -9.094966, ' A': -3.9115834, ' B': -0.02063038, ' "': -8.683543, " '": -9.850001}
{' b': -9.13211, ' A': -5.000891, ' B': -0.007141742, ' "': -8.763706, " '": -9.869584}
{' b': -9.125545, ' A': -4.0477686, ' B': -0.018027686, ' "': -8.676574, " '": -9.843938}
{' b': -9.211595, ' A': -3.7168794, ' B': -0.024994556, ' "': -8.771678, " '": -9.985007}
{' b': -9.271907, ' A': -4.1197925, ' B': -0.016742516, ' "': -8.817503, " '": -9.973057}
{' b': -9.154661, ' A': -5.3103004, ' B': -0.0052849976, ' "': -9.008897, " '": -10.111746}
{' b': -9.205017, ' A': -5.1609755, ' B': -0.0061082887, ' "': -8.85311, " '": -9.92113}
{' B': -0.024138127, ' A': -3.7515438, ' "': -8.780332, ' b': -9.207851, " '": -10.00608}
{' B': -0.014858987, ' A': -4.241959, ' "': -8.78092, ' b': -9.210101, " '": -9.937278}
{' b': -9.275009, ' A': -3.5310237, ' B': -0.030075833, ' "': -8.830543, " '": -10.006276}
{' b': -9.138709, ' A': -4.2752647, ' B': -0.014387344, ' "': -8.819861, " '": -9.93143}
{' b': -9.227178, ' A': -5.255809, ' B': -0.005580212, ' "': -8.877068, " '": -10.010516}
{' b': -9.099833, ' A': -4.9139533, ' B': -0.0077719116, ' "': -8.708721, " '": -9.847087}
{' b': -9.188729, ' A': -5.4882536, ' B': -0.004483398, ' "': -8.922526, " '": -10.065863}
{' b': -9.215459, ' A': -4.4409533, ' B': -0.012234508, ' "': -8.744004, " '": -9.908249}
{' B': -0.004933203, ' A': -5.3898187, ' "': -8.834683, ' b': -9.205231, " '": -9.933555}
{' b': -9.173721, ' A': -5.3238907, ' B': -0.0052761906, ' "': -8.7370825, " '": -9.833693}
{' b': -9.1789055, ' A': -4.726761, ' B': -0.009246788, ' "': -8.87536, " '": -10.084198}
{' b': -9.217275, ' A': -4.1718388, ' B': -0.015922738, ' "': -8.7585945, " '": -9.959279}
{' b': -9.36431, ' A': -2.6591246, ' B': -0.073005885, ' "': -8.638061, " '": -9.959817}
{' B': -0.0155296335, ' A': -4.197342, ' "': -8.817347, ' b': -9.135916, " '": -9.981478}
{' B': -0.09851066, ' A': -2.369814, ' "': -9.205763, ' b': -9.46648, ' (': -10.17931}
{' b': -9.2921915, ' A': -3.5637882, 'B': -10.276044, ' B': -0.029063283, ' "': -9.180238}
{' b': -9.429608, ' A': -2.8239894, 'B': -10.215498, ' B': -0.061545942, ' "': -9.114267}
{' B': -0.04377099, ' A': -3.1582174, ' "': -9.074704, ' b': -9.389132, 'B': -10.21523}
{' b': -9.341854, ' A': -3.212229, 'B': -10.258735, ' B': -0.04142037, ' "': -9.183837}
{' b': -9.406803, ' A': -2.7814493, 'B': -10.201093, ' B': -0.064294, ' "': -9.119592}
{' b': -9.301171, ' A': -4.3732967, 'B': -10.283118, ' B': -0.012979785, ' "': -9.363012}
{' b': -9.316989, ' A': -3.560159, 'B': -10.196684, ' B': -0.029174414, ' "': -9.134061}
{' B': -0.015498035, ' A': -4.1931524, ' "': -9.328164, ' b': -9.374472, 'B': -10.25245}
{' b': -9.375434, ' A': -3.3411422, 'B': -10.254863, ' B': -0.036365166, ' "': -9.117474}
{' b': -9.328897, ' A': -4.243076, 'B': -10.302502, ' B': -0.014730019, ' "': -9.516044}
{' b': -9.223581, ' A': -4.284805, 'B': -10.286953, ' B': -0.014186248, ' "': -9.192241}
{' b': -9.456486, ' A': -3.2869089, 'B': -10.278893, ' B': -0.03839102, ' "': -9.191161}
{' b': -9.402736, ' A': -3.4300828, 'B': -10.269091, ' B': -0.033226896, ' "': -9.192976}
{' b': -9.551518, ' A': -2.6695378, 'B': -10.242171, ' B': -0.07213338, ' "': -9.1121855}
{' B': -0.01312828, ' A': -4.3642445, ' "': -9.071842, ' b': -9.284458, 'B': -10.266578}
{' B': -0.003287853, ' A': -5.8113675, ' b': -9.282104, ' "': -9.286105, 'B': -10.34042}
{' b': -9.255707, ' A': -4.8664036, 'B': -10.345986, ' B': -0.008054803, ' "': -9.068419}
{' b': -9.296256, ' A': -4.827116, 'B': -10.37661, ' B': -0.008335503, ' "': -9.262155}
{' b': -9.337159, ' A': -4.9435124, 'B': -10.356129, ' B': -0.0074489703, ' "': -9.204621}
{' B': -0.0040872963, ' A': -5.57292, ' b': -9.28209, ' "': -9.327449, 'B': -10.374293}
{' B': -0.0026717894, ' A': -6.044036, ' "': -9.190175, ' b': -9.275126, 'B': -10.407397}
{' b': -9.268046, ' A': -4.639677, 'B': -10.351303, ' B': -0.010015906, ' "': -9.1505}
{' b': -9.329983, ' A': -4.659835, 'B': -10.302688, ' B': -0.009808646, ' "': -9.210783}
{' b': -9.395305, ' A': -4.29838, 'B': -10.353582, ' B': -0.01396597, ' "': -9.247271}
{' b': -9.280088, ' A': -4.688673, 'B': -10.285331, ' B': -0.009540826, ' "': -9.224268}
{' b': -9.322898, ' A': -6.0019374, 'B': -10.362956, ' B': -0.0027594066, ' "': -9.287318}
{' b': -9.233006, ' A': -5.4023504, 'B': -10.31459, ' B': -0.0048440173, ' "': -9.055948}
{' B': -0.0024582718, ' A': -6.1321363, ' b': -9.250838, ' "': -9.32398, 'B': -10.394551}
{' B': -0.005623729, ' A': -5.238484, ' "': -9.149012, ' b': -9.302616, 'B': -10.365729}
{' b': -9.289219, ' A': -5.8155117, 'B': -10.353884, ' B': -0.003283188, ' "': -9.185442}
{' b': -9.290785, ' A': -5.8650966, 'B': -10.3385105, ' B': -0.0031435622, ' "': -9.170019}
{' b': -9.299528, ' A': -5.645957, 'B': -10.384834, ' B': -0.003825851, ' "': -9.240545}
{' B': -0.008654165, ' A': -4.7882233, ' "': -9.188739, ' b': -9.361513, 'B': -10.360945}
{' b': -9.547931, ' A': -3.6454003, 'B': -10.295696, ' B': -0.026734605, ' "': -9.262351}
{' b': -9.361195, ' A': -4.860906, 'B': -10.2908945, ' B': -0.008056126, ' "': -9.299856}
{' b': -9.443319, ' A': -1.8806554, ' B': -0.16590522, ' "': -8.815083, " '": -10.065961}
{' b': -9.485541, ' A': -3.3561714, ' B': -0.03579622, ' "': -9.10243, " '": -10.255598}
{' b': -9.430031, ' A': -2.4492874, ' B': -0.090694435, ' "': -8.904688, " '": -10.135662}
{' b': -9.441658, ' A': -2.8924313, ' B': -0.05738864, ' "': -8.93614, " '": -10.144055}
{' b': -9.491421, ' A': -2.9910092, ' B': -0.05186924, ' "': -8.992409, " '": -10.190249}
{' b': -9.43298, ' A': -2.434705, ' B': -0.092099555, ' "': -8.827697, " '": -10.036734}
{' b': -9.495001, ' A': -4.6132073, ' B': -0.0102355005, ' "': -9.27251, " '": -10.328623}
{' B': -0.033256963, ' A': -3.42968, ' "': -9.054083, ' b': -9.400849, " '": -10.115736}
{' b': -9.448363, ' A': -4.0872498, ' B': -0.017210241, ' "': -9.191778, " '": -10.347941}
{' b': -9.664059, ' A': -3.021369, ' B': -0.050244395, ' "': -9.175996, " '": -10.374638}
{' b': -9.372199, ' A': -4.1696906, ' B': -0.015855394, ' "': -9.257415, " '": -10.418466}
{' b': -9.44109, ' A': -4.199545, ' B': -0.015409657, ' "': -9.114418, " '": -10.235675}
{' b': -9.585616, ' A': -2.9543314, ' B': -0.053824626, ' "': -9.094235, " '": -10.319822}
{' B': -0.046409175, ' A': -3.0998032, ' "': -9.073469, ' b': -9.545333, " '": -10.311693}
{' b': -9.644025, ' A': -2.1406813, ' B': -0.12546434, ' "': -8.867419, " '": -10.082069}
{' b': -9.36248, ' A': -4.4950047, ' B': -0.011533922, ' "': -9.053305, " '": -10.153048}
{' b': -9.681078, ' A': -6.1671224, ' B': -0.0023430188, ' "': -9.280651, " '": -10.282451}
{' b': -9.554144, ' A': -4.671469, ' B': -0.009663411, ' "': -9.210345, " '": -10.341943}
{' b': -9.471273, ' A': -4.5762906, ' B': -0.010628137, ' "': -9.149488, " '": -10.257906}
{' b': -9.502975, ' A': -5.1701775, ' B': -0.005966349, ' "': -9.212432, " '": -10.247649}
{' b': -9.41988, ' A': -5.980171, ' B': -0.002785229, ' "': -9.351756, " '": -10.383682}
{' b': -9.475192, ' A': -6.1194854, ' B': -0.0024625147, ' "': -9.248413, " '": -10.274366}
{' B': -0.010492481, ' A': -4.5893936, ' "': -9.137146, ' b': -9.453785, " '": -10.272291}
{' b': -9.503765, ' A': -4.948329, ' B': -0.0073821354, ' "': -9.231388, " '": -10.397344}
{' b': -9.681602, ' A': -4.041986, ' B': -0.017978532, ' "': -9.19418, " '": -10.261207}
{' b': -9.306041, ' A': -4.77009, ' B': -0.008831059, ' "': -9.048837, " '": -10.2058525}
{' b': -9.767705, ' A': -6.3097634, ' B': -0.002022178, ' "': -9.53979, " '": -10.541402}
{' b': -9.504998, ' A': -5.717681, ' B': -0.003575719, ' "': -9.095878, " '": -10.246876}
{' b': -9.474998, ' A': -6.3548713, ' B': -0.0019914203, ' "': -9.27952, " '": -10.545297}
{' b': -9.528203, ' A': -5.4279094, ' B': -0.004674232, ' "': -9.115929, " '": -10.317907}
{' b': -9.415403, ' A': -6.260908, ' B': -0.002209436, ' "': -9.086829, " '": -10.143846}
{' B': -0.00217712, ' A': -6.254187, ' "': -9.247529, ' b': -9.659163, " '": -10.181783}
{' B': -0.0036304544, ' A': -5.7020783, ' "': -9.110883, ' b': -9.415315, " '": -10.267852}
{' b': -9.502317, ' A': -4.8595552, ' B': -0.0080655, ' "': -9.095038, " '": -10.235017}
{' B': -0.030579574, ' A': -3.512717, ' "': -8.95647, ' b': -9.574926, " '": -10.219822}
{' b': -9.262615, ' A': -5.276186, ' B': -0.00541731, ' "': -9.212191, " '": -10.298492}
{' b': -9.377556, ' A': -1.9996283, 'B': -10.358946, ' B': -0.14586878, ' "': -9.040481}
{' B': -0.022569317, ' A': -3.8157456, ' "': -9.205949, ' b': -9.244523, 'B': -10.488667}
{' b': -9.253436, ' A': -2.7938156, 'B': -10.429825, ' B': -0.06349965, ' "': -9.019851}
{' B': -0.044831228, ' A': -3.1346445, ' "': -9.073273, ' b': -9.20039, 'B': -10.48215}
{' b': -9.2190075, ' A': -3.1113002, 'B': -10.420519, ' B': -0.045910623, ' "': -9.023341}
{' b': -9.197218, ' A': -2.6133113, 'B': -10.385731, ' B': -0.07650714, ' "': -8.921239}
{' B': -0.0073873005, ' A': -4.948963, ' b': -9.26903, ' "': -9.339976, 'B': -10.551931}
{' b': -9.140039, ' A': -3.865864, 'B': -10.412742, ' B': -0.021488568, ' "': -9.180981}
{' b': -9.20296, ' A': -4.4590063, 'B': -10.4734745, ' B': -0.011935453, ' "': -9.260106}
{' b': -9.3555155, ' A': -3.3223953, 'B': -10.475075, ' B': -0.03703717, ' "': -9.17882}
{' b': -9.21175, ' A': -4.7142363, 'B': -10.518552, ' B': -0.0092802355, ' "': -9.366498}
{' b': -9.192275, ' A': -4.6852365, 'B': -10.521273, ' B': -0.009571935, ' "': -9.177574}
{' b': -9.354704, ' A': -3.190545, 'B': -10.4539385, ' B': -0.042348094, ' "': -9.042003}
{' b': -9.324757, ' A': -3.4787405, 'B': -10.496196, ' B': -0.03163899, ' "': -9.136739}
{' b': -9.458531, ' A': -2.2658648, 'B': -10.430043, ' B': -0.109891534, ' "': -8.993329}
{' b': -9.096872, ' A': -5.0195084, 'B': -10.475067, ' B': -0.006939095, ' "': -9.189284}
{' b': -9.392598, ' A': -6.7327433, 'B': -10.614211, ' B': -0.0014294606, ' "': -9.463172}
{' b': -9.155119, ' A': -5.4571586, ' B': -0.0045812964, ' "': -9.1199465, " '": -10.612048}
{' b': -9.231549, ' A': -5.41988, 'B': -10.583469, ' B': -0.0047229785, ' "': -9.228037}
{' b': -9.234918, ' A': -5.65926, 'B': -10.631149, ' B': -0.0037725414, ' "': -9.221027}
{' B': -0.0017311795, ' A': -6.5236917, ' b': -9.215263, ' "': -9.398654, 'B': -10.60529}
{' B': -0.0016072908, ' A': -6.59472, ' b': -9.388789, ' "': -9.424348, 'B': -10.663987}
{' B': -0.00724422, ' A': -4.9709353, ' b': -9.206182, ' "': -9.248954, 'B': -10.56835}
{' B': -0.004018653, ' A': -5.5889297, ' b': -9.23377, ' "': -9.304638, 'B': -10.568371}
{' b': -9.3211775, ' A': -4.5861197, 'B': -10.542253, ' B': -0.010527721, ' "': -9.183494}
{' b': -9.1323595, ' A': -5.121349, 'B': -10.473432, ' B': -0.006295833, ' "': -9.150841}
{' b': -9.406346, ' A': -6.727725, 'B': -10.626048, ' B': -0.0014300576, ' "': -9.478015}
{' b': -9.129908, ' A': -5.987516, 'B': -10.570045, ' B': -0.0028343012, ' "': -9.0497265}
{' b': -9.231031, ' A': -6.6896896, 'B': -10.624706, ' B': -0.0015206101, ' "': -9.259651}
{' B': -0.0036890204, ' A': -5.684978, ' "': -9.172859, ' b': -9.241769, 'B': -10.586071}
