{' odd': -0.07231655, ' even': -3.1923, ' Odd': -3.978082, ':': -5.562586, ' 1': -5.7901106}
{'\n': -7.535398, ' Odd': -5.0714846, ' 1': -5.71794, ' odd': -0.012456095, ' even': -6.919505}
{' even': -0.000869306, ' Even': -8.213065, ' 0': -8.832957, ':': -9.263185, ' ': -9.2701645}
{' odd': -0.024821073, ' Odd': -4.082566, ' 1': -5.499005, ' even': -6.580895, ':': -7.2582383}
{' even': -0.0012718304, ' Even': -7.2629533, ':': -8.893947, ' ': -9.093699, ' an': -9.269817}
{' Odd': -4.0134797, ':': -4.4622545, ' odd': -0.6009405, ' 0': -3.5628088, ' even': -0.9695966}
{':': -6.9054017, ' Even': -7.006771, ' odd': -7.020569, ' 0': -6.478139, ' even': -0.0055857855}
{' odd': -0.046686612, ' 1': -3.412921, ':': -5.4901295, ' Odd': -5.897377, '\n': -6.245797}
{' even': -0.012943979, ':': -5.0539813, ' 0': -6.1152997, ' ': -6.124824, '\n': -7.466824}
{' odd': -0.27647087, ' 1': -1.4836203, ':': -5.4483724, ' Odd': -5.659386, ' one': -6.132722}
{' ': -8.707494, ':': -7.195782, ' an': -8.839455, ' Even': -7.4701276, ' even': -0.0019936298}
{' odd': -0.038882803, ' 1': -3.516733, ' even': -5.724563, ' Odd': -5.7347536, ' one': -7.6031623}
{' ': -7.112701, ':': -6.641092, ' Even': -6.4747043, ' ->': -6.8712697, ' even': -0.0063755494}
{' odd': -0.18408902, ' 1': -1.8641008, ' Odd': -5.1124268, ' one': -6.4336314, ' even': -6.450593}
{' even': -0.008251126, ' Even': -5.347267, ':': -6.533622, ' an': -7.221738, '\n': -7.8799934}
{' odd': -0.014739031, ' 1': -4.9925675, ' Odd': -5.8264117, ':': -6.518916, ' even': -7.2011228}
{' ': -7.703297, ':': -8.216065, ' Even': -7.5121317, ' 0': -7.487098, ' even': -0.0025416305}
{' odd': -0.022670707, ' 1': -4.2710714, ':': -5.828471, ' Odd': -5.961347, ' ': -7.2894034}
{' even': -0.0026896556, ' ': -7.3204093, ' 0': -7.486506, ' odd': -7.8242226, ':': -7.961747}
{' odd': -0.012694032, ' Odd': -5.043061, ' even': -5.637259, ' ': -6.880839, ' 1': -7.449434}
{' ': -6.3434224, ':': -4.8455944, ' Even': -4.3818645, ' 0': -6.008036, ' even': -0.027063468}
{' Odd': -3.6351326, ' ': -6.788177, ' 1': -5.2390327, ' odd': -0.040787697, ' even': -5.3874063}
{' even': -0.0015913515, ' Even': -7.728184, ' an': -7.734656, ':': -8.516988, ' odd': -8.974566}
{' odd': -0.02935909, ' 1': -3.89234, ' Odd': -5.3244057, ':': -6.842279, ' ': -7.152873}
{' ': -8.682569, ':': -7.547617, ' Even': -7.936219, ' 0': -6.4178214, ' even': -0.0032076614}
{' Odd': -6.3456116, ' ': -6.9430127, ' 1': -2.9392877, ' odd': -0.06046144, ' even': -6.980709}
{' ': -7.9765086, ':': -7.667542, ' Even': -7.359198, ' 0': -8.338767, ' even': -0.0022522693}
{'\n': -6.4049225, ' Odd': -5.801387, ':': -6.9086013, ' 1': -5.6115, ' odd': -0.011172568}
{'\n': -6.143813, ' ': -6.3567653, ':': -5.0373607, ' Even': -4.9834685, ' even': -0.018510401}
{' odd': -0.018505119, ' Odd': -4.5039873, ' even': -5.796341, ' 1': -6.3031154, ':': -6.7925816}
{' even': -0.00078763964, ':': -8.37709, ' Even': -8.859248, ' 0': -9.044293, ' EVEN': -9.4062195}
{'\n': -7.8517194, ' Odd': -6.937223, ' 1': -5.8131776, ' odd': -0.008107199, ' even': -5.9426146}
{':': -7.981177, ' an': -7.905447, ' Even': -6.5645385, ' 0': -6.8323684, ' even': -0.003988969}
{' Odd': -3.1208177, ' ': -5.2937436, ':': -4.008364, ' 1': -3.462481, ' odd': -0.110088676}
{' ': -7.7148333, ':': -7.264322, ' Even': -6.037317, ' EVEN': -8.421552, ' even': -0.0045579425}
{'\n': -6.679523, ' Odd': -3.280763, ' ': -6.0390234, ':': -5.2166986, ' odd': -0.050225593}
{' even': -0.008284781, ' 0': -5.718514, ' Even': -6.0263176, ':': -6.938556, ' EVEN': -7.296852}
{' Odd': -2.4826252, ' ': -7.99631, ':': -7.4174953, ' 1': -7.0009146, ' odd': -0.09049345}
{' even': -0.001982702, ' Even': -6.4709916, ' EVEN': -9.098154, ':': -9.3139515, ' odd': -9.525171}
{' Odd': -5.1929593, ' ': -8.023055, ' 1': -6.0819325, ' odd': -0.0106582, ' even': -6.34937}
{' even': -0.0010941776, ' Even': -7.3018017, ' an': -9.087933, ' ': -9.4445, ' EVEN': -9.835986}
{' Odd': -2.6197953, ':': -6.814607, ' 1': -4.970548, ' odd': -0.09525543, ' even': -4.8678718}
{' ': -8.617344, ':': -8.441733, ' Even': -8.184324, ' EVEN': -9.379496, ' even': -0.0009843901}
{' odd': -0.040396195, ' Odd': -3.3516371, ' 1': -6.628968, '\n': -7.162426, ':': -7.1867642}
{'\n': -6.8834662, ' ': -7.3874326, ':': -4.868969, ' Even': -3.9632046, ' even': -0.029885747}
{' Odd': -4.0130434, ' ': -6.0639043, ':': -6.414656, ' 1': -3.0667124, ' odd': -0.0723106}
{' even': -0.0034674522, ' Even': -6.0339627, ':': -8.212297, ' 0': -8.282182, ' ': -8.929116}
{' Odd': -6.2690725, ':': -7.9568453, ' 1': -5.2281914, ' odd': -0.008943575, ' even': -7.770511}
{':': -6.943823, ' Even': -5.567252, ' EVEN': -7.8281045, ' 0': -7.2129045, ' even': -0.0068402486}
{'\n': -5.084736, ' Odd': -2.1749325, ' ': -5.985915, ':': -4.9027834, ' odd': -0.14365582}
{' ': -8.225479, ':': -8.358456, ' Even': -8.947117, ' 0': -9.196691, ' even': -0.001002109}
{' odd': -0.014894317, ' Odd': -4.8125653, ' 1': -5.4431405, ' even': -6.656606, ' ': -8.157466}
{' even': -0.0008051182, ' Even': -8.070568, ':': -8.950564, ' 0': -9.632472, ' ': -9.693658}
{' odd': -0.020746117, ' Odd': -4.188928, ' even': -5.7945924, ' 1': -7.397274, ' ': -7.470415}
{' even': -0.0031595274, ' Even': -6.6178584, ':': -6.988877, ' ': -7.904247, ' an': -8.51157}
{' Odd': -5.090651, ':': -5.3138013, ' odd': -0.077426456, ' 0': -5.9649963, ' even': -2.8869078}
{':': -6.3693395, ' Even': -7.5487742, ' odd': -8.224697, ' 0': -6.4755, ' even': -0.0048676175}
{' odd': -0.058551192, ' 1': -3.5195608, ' Odd': -4.3699436, ' even': -4.5508857, ':': -6.708598}
{':': -6.9570274, ' Even': -6.655255, ' EVEN': -8.590771, ' 0': -7.6166425, ' even': -0.0032639315}
{' Odd': -5.109895, ':': -5.327274, ' 1': -3.4663513, ' odd': -0.056706622, ' even': -4.596287}
{'\n': -8.144107, ' ': -7.986145, ':': -5.0988164, ' Even': -6.8237214, ' even': -0.008503631}
{' Odd': -6.1470156, ' ': -7.0360556, ':': -6.584963, ' 1': -4.5133038, ' odd': -0.017649546}
{' ': -7.67376, ':': -5.4871254, ' an': -8.216958, ' Even': -6.6670904, ' even': -0.006682425}
{' odd': -0.23992625, ' 1': -1.6774682, ' Odd': -4.667247, ' even': -5.086097, ' ': -5.839688}
{' ': -9.26272, ':': -6.955782, ' an': -8.531753, ' Even': -5.5965195, ' even': -0.005278108}
{' Odd': -5.235338, ':': -6.3500366, ' 1': -2.7721212, ' odd': -0.088794544, ' even': -4.667314}
{' ': -7.719515, ':': -7.238575, ' Even': -6.6057453, ' 0': -6.4852934, ' even': -0.0046620145}
{' Odd': -4.4537764, ':': -7.117094, ' 1': -5.426317, ' odd': -0.019054646, ' even': -7.7309732}
{':': -9.1544895, ' an': -9.346418, ' Even': -7.641971, ' odd': -8.620064, ' even': -0.001179331}
{' Odd': -3.7194817, ' ': -6.8217964, ':': -6.95203, ' odd': -0.03099792, ' even': -6.011866}
{' even': -0.00918916, ' ': -5.6842437, ' Even': -6.161959, ':': -6.3836055, '\n': -7.0986023}
{' odd': -0.011057934, ' Odd': -5.495372, ' even': -5.878649, ' 1': -6.0297284, ' ': -7.6496973}
{' ': -8.304283, ':': -8.619876, ' an': -8.848115, ' Even': -8.002824, ' even': -0.0011857749}
{' odd': -0.036288712, ' 1': -3.460189, ' Odd': -6.6049805, ' ': -7.0334845, ' even': -7.1802363}
{'\n': -8.933398, ' ': -9.485384, ':': -8.53818, ' Even': -6.984647, ' even': -0.0014950611}
{' odd': -0.37882808, ' Odd': -2.0982838, '\n': -2.394744, ':': -3.2610972, ' ': -3.2924864}
{' ': -6.996202, ':': -4.5720778, ' Even': -4.615932, ' 0': -5.3434715, ' even': -0.029133236}
{' Odd': -5.457451, ':': -6.8804975, ' 1': -3.8392048, ' odd': -0.029259045, ' even': -7.4558268}
{'\n': -8.972966, ' ': -7.7720885, ':': -7.9786463, ' Even': -6.934119, ' even': -0.0021669657}
{' Odd': -5.6614056, ' ': -7.3248076, ' 1': -1.9477491, ' odd': -0.16421433, ' even': -5.656676}
{' even': -0.0011308742, ' odd': -8.17235, ':': -8.561947, ' ': -8.691617, ' EVEN': -8.937456}
{' Odd': -6.379913, ' ': -8.050856, ' 1': -4.0929413, ' odd': -0.021060966, ' even': -6.6644483}
{' even': -0.0031068495, ' Even': -6.2725935, ':': -7.9331117, '\n': -8.259298, ' ': -8.409245}
{' odd': -0.028200353, ' Odd': -3.740479, ':': -6.606977, ' even': -7.257152, ' 1': -7.2603254}
{' -->': -5.918536, ' ': -4.863199, ':': -3.8184946, ' Even': -4.154436, ' even': -0.05644594}
{' odd': -0.016620334, ' Odd': -4.24307, ' 1': -6.8351316, ' even': -7.72747, ':': -8.365961}
{' ': -7.748963, ':': -5.959965, ' Even': -5.648849, ' EVEN': -7.5777397, ' even': -0.008187362}
{' Odd': -5.6265464, ':': -6.6975217, ' 1': -1.2683954, ' odd': -0.34316158, ' even': -6.28661}
{' ': -7.846451, ':': -6.4427533, ' Even': -4.4137516, ' EVEN': -8.788265, ' even': -0.014930861}
{' Odd': -4.7786546, ':': -5.967624, ' 1': -6.0185127, ' odd': -0.020330936, ' even': -6.1769123}
{' ': -9.076818, ':': -9.237309, ' Even': -7.2397647, ' EVEN': -9.2697735, ' even': -0.0011808807}
{' odd': -0.05172379, ' 1': -3.8960156, ' Odd': -3.9349682, ' even': -5.0649476, ':': -6.3202734}
{' even': -0.0026614491, ':': -7.214185, ' ': -7.3095756, '\n': -7.345137, ' Even': -8.225008}
{' Odd': -5.3390636, ':': -8.81772, ' 1': -6.5805197, ' odd': -0.007145763, ' even': -8.860412}
{' ': -9.251316, ':': -8.164875, ' Even': -8.066861, ' 0': -8.118554, ' even': -0.0012300529}
{' Odd': -3.4775975, ' ': -5.1044836, ':': -5.4462075, ' 1': -5.09718, ' odd': -0.054460064}
{' even': -0.004356535, ' Even': -5.944644, ':': -7.2305374, ' EVEN': -7.966587, ' ': -8.60719}
{' Odd': -4.8801503, ':': -8.044077, ' 1': -6.4327145, ' odd': -0.011647527, ' even': -6.8768115}
{' even': -0.0021988647, ' Even': -6.2435946, ' EVEN': -8.870312, ':': -10.007942, 'Even': -11.087306}
{' odd': -0.079869345, ' Odd': -2.6986837, ' even': -5.679687, ':': -5.719551, '\n': -7.18243}
{' ': -8.197293, ':': -8.69929, ' Even': -7.546397, ' odd': -9.4265585, ' even': -0.0013297836}
{' odd': -0.016881993, ' Odd': -4.398367, ' 1': -6.6205964, '\n': -7.0396123, ' ': -7.229912}
{' ': -11.127147, ':': -10.810903, ' Even': -8.896543, ' EVEN': -11.027982, ' even': -0.0002192039}
{' Odd': -5.8368473, ' ': -7.230595, ':': -7.3730264, ' odd': -0.0067424895, ' even': -6.673597}
{' even': -0.0015943956, ':': -7.3015532, ' Even': -7.5185432, ' ': -8.8881235, '?': -9.846061}
{' Odd': -6.3982368, ' 1': -5.523043, ' odd': -0.7994427, ' 0': -4.3669376, ' even': -0.63924825}
{' ': -7.7716136, ':': -5.729617, ' Even': -6.029595, ' 0': -7.890419, ' even': -0.007916015}
{' Odd': -4.3448415, ':': -5.225821, ' 1': -4.7287736, ' odd': -0.03203155, ' even': -6.0894136}
{':': -6.4426684, ' an': -7.7596154, ' Even': -5.8550696, ' 0': -7.3287253, ' even': -0.0068736156}
{' Odd': -5.421111, ':': -5.8058667, ' 1': -2.9358006, ' odd': -0.07439455, ' even': -4.735958}
{'\n': -9.651585, ' ': -8.90112, ':': -8.584196, ' Even': -9.08031, ' even': -0.00068814546}
{' Odd': -6.268257, ':': -8.788451, ' 1': -4.5973015, ' odd': -0.013941189, ' even': -6.8614125}
{' even': -0.003579845, ' an': -6.673879, ':': -7.136247, ' Even': -7.805029, ' odd': -7.9982157}
{' odd': -0.49418887, ' 1': -0.97066367, ' Odd': -5.6806984, ' one': -6.4291553, ':': -6.4924946}
{':': -6.6961, ' an': -7.0088477, ' Even': -6.5786786, ' 0': -7.203652, ' even': -0.0054607014}
{' 11': -5.1416764, ' Odd': -5.190966, ':': -5.00157, ' 1': -2.1963248, ' odd': -0.1482979}
{'\n': -8.396663, ' ': -7.3137045, ':': -7.2379847, ' Even': -6.3483496, ' even': -0.0040431293}
{' Odd': -5.98652, ' ': -7.8680873, ':': -6.726861, ' 1': -4.965279, ' odd': -0.013066743}
{' even': -0.003914165, ':': -6.301564, ' Even': -7.753721, ' odd': -7.896814, ' ': -7.9827137}
{' odd': -0.054073114, ' Odd': -3.262022, ' even': -4.7017355, ':': -6.207215, ' ': -7.306417}
{' even': -0.0023935633, ' Even': -6.752306, ' ': -7.6543775, ':': -7.8938766, ' an': -9.619335}
{' Odd': -4.703005, ' 1': -7.261612, 'odd': -8.3122015, ' odd': -0.011404293, ' even': -7.186434}
{' even': -0.0012591783, ' Even': -7.779449, ' ': -8.1188755, ':': -8.429204, ' an': -9.771663}
{' odd': -0.16745396, ' 1': -1.9290354, ' Odd': -5.5292997, ' ': -6.7450795, ':': -6.7660513}
{' even': -0.0012341125, ' Even': -7.7294636, ':': -7.9172955, ' ': -9.07626, '\n': -9.344832}
{' Odd': -4.5866895, ':': -7.279424, ' 1': -4.6907687, ' odd': -0.023409395, ' even': -6.581174}
{'\n': -8.073457, ' ': -7.491263, ':': -6.7492895, ' Even': -7.3624916, ' even': -0.0033461608}
{'\n': -8.065318, ' Odd': -4.6823416, ':': -7.800487, ' 1': -5.35631, ' odd': -0.016232552}
{'\n': -8.984254, ' ': -8.403984, ':': -8.188565, ' Even': -6.581059, ' even': -0.0022909227}
{' odd': -0.030943511, ' Odd': -4.239733, ' even': -5.5250077, ' 1': -5.668907, ' ': -5.8815947}
{' ': -7.1794624, ':': -7.2585745, ' Even': -7.9801016, ' 0': -6.245786, ' even': -0.0047781356}
{' Odd': -5.2057443, ' ': -8.595072, ' 1': -7.470623, ' odd': -0.009394306, ' even': -6.0225754}
{' even': -0.0016884304, ' Even': -7.6015778, ' ': -7.862074, ':': -8.095262, '\n': -8.744312}
{' Odd': -4.3292103, ' ': -7.504595, ' 1': -4.3955426, ' "': -7.3776617, ' odd': -0.028938541}
{' even': -0.04168761, ' Even': -3.5871062, ':': -4.6443143, '\n': -6.753967, ' ': -6.995907}
{' Odd': -5.2052393, ' ': -8.168293, ':': -8.119173, ' 1': -7.2655954, ' odd': -0.0073467116}
{':': -6.252945, ' Even': -5.368244, ' 0': -3.6542225, ' zero': -6.434932, ' even': -0.037181243}
{' Odd': -4.627947, ':': -5.866446, ' 1': -2.3802433, ' odd': -0.11447536, ' even': -7.153696}
{' even': -0.0015494456, ' Even': -7.4027667, ' ': -8.155987, ':': -8.413605, ' EVEN': -8.825195}
{' odd': -0.1370298, ' Odd': -2.0765517, ':': -7.1854796, ' even': -7.5468082, ' 1': -7.9982834}
{':': -9.272118, ' an': -9.711253, ' Even': -5.8193436, ' EVEN': -9.277463, ' even': -0.003359976}
{' odd': -0.038751815, ' Odd': -3.9493866, ' 1': -4.2562027, ' even': -5.6556964, ':': -8.543614}
{' ': -9.039408, ' an': -8.236471, ' Even': -7.7338777, ' 0': -8.524774, ' even': -0.0013056096}
{'\n': -7.245901, ' Odd': -3.1985443, ' ': -6.8627872, ' 1': -5.6683736, ' odd': -0.04884398}
{' even': -0.000999844, ' Even': -7.33549, ':': -9.278591, ' 0': -9.578932, ' EVEN': -9.736572}
{' Odd': -3.3330195, ' ': -5.772129, ':': -5.2267904, ' 1': -4.406733, ' odd': -0.06322037}
{'\n': -8.765131, ' ': -7.979238, ':': -8.605142, ' Even': -7.1023326, ' even': -0.0017400761}
{' odd': -0.044915207, ' Odd': -3.3196878, ' 1': -5.41151, ':': -6.910482, ' ': -7.2558484}
{' even': -0.0011763452, ' Even': -7.1280055, ':': -8.985886, ' EVEN': -9.080987, ' ': -10.0302925}
{' Odd': -5.046981, ':': -7.932961, ' 1': -6.9306846, ' odd': -0.010171068, ' even': -6.421679}
{' ': -8.556184, ':': -8.244463, ' Even': -8.367403, ' 0': -7.572107, ' even': -0.00150897}
{' Odd': -4.421165, ':': -7.557783, ' 1': -5.5962605, ' odd': -0.021393145, ' even': -5.7119803}
{' ': -9.497659, ':': -9.258437, ' an': -9.5811615, ' Even': -7.912166, ' even': -0.00076211017}
{' odd': -0.05956105, ' Odd': -2.9778864, ' 1': -5.9106846, ':': -6.527294, ' ': -6.667579}
{' even': -0.0021543605, ' Even': -6.5800953, ':': -8.394348, ' an': -8.398221, ' ': -8.6919}
{':': -4.509874, ' 1': -4.927935, ' odd': -0.21295333, ' 0': -5.049564, ' even': -1.8324201}
{':': -5.8280325, ' Even': -7.2828584, ' odd': -7.119094, ' 0': -7.6073437, ' even': -0.006799979}
{' Odd': -5.437843, ':': -7.4927163, ' 1': -3.8494642, ' odd': -0.0629157, ' even': -3.4358726}
{' even': -0.0054607014, ':': -6.722399, ' 0': -6.8829913, ' ': -7.025249, '\n': -7.166685}
{' Odd': -6.5583677, ':': -7.03226, ' 1': -3.3284178, ' odd': -0.058304943, ' even': -4.0864096}
{' even': -0.0011459723, ':': -7.6738634, ' Even': -8.313615, ' ': -8.712425, ' an': -9.508917}
{' odd': -0.11382662, ':': -3.2172096, ' Odd': -3.4953392, ' ': -4.243511, '\n': -4.6048946}
{'\n': -7.220816, ':': -5.2894454, ' an': -7.617894, ' Even': -6.3979654, ' even': -0.009174302}
{' Odd': -5.851987, ':': -7.9107428, ' 1': -3.5766928, ' odd': -0.03843748, ' even': -5.2257214}
{' ': -9.470974, ':': -7.2609086, ' Even': -7.3001213, ' 0': -8.931421, ' even': -0.0018680412}
{' odd': -0.055406187, ' Odd': -4.006719, ':': -4.2575545, ' 1': -4.5486255, ' ': -5.8355865}
{' ': -8.671834, ':': -8.347608, ' an': -9.214129, ' Even': -6.9617434, ' even': -0.0017865307}
{' Odd': -5.6790376, ':': -7.628278, ' 1': -5.0318704, ' odd': -0.011978583, ' even': -7.82598}
{' ': -6.9785037, ':': -7.9697595, ' Even': -8.300154, ' 0': -8.754114, ' even': -0.0021229438}
{' odd': -0.015529271, ' Odd': -4.5864024, ' 1': -5.9272003, ' even': -6.556501, ' 0': -7.8234286}
{' even': -0.010867506, ' 0': -5.3001432, ' Even': -6.168418, ':': -6.253853, ' ': -7.155373}
{' Odd': -4.3327184, ' ': -6.8608565, ' 1': -5.6999316, ' odd': -0.028917741, ' even': -4.660667}
{' ': -8.899528, ':': -8.576863, ' an': -9.141973, ' Even': -7.5211053, ' even': -0.0013274547}
{'\n': -6.1722565, ' Odd': -5.0853972, ' ': -6.186878, ' 1': -3.1503239, ' odd': -0.057550695}
{' even': -0.0015099256, ' Even': -7.497644, ':': -8.136759, ' ': -8.269238, '\n': -9.179369}
{' Odd': -4.900814, ' ': -7.63906, ':': -6.348878, ' 1': -3.6143045, ' odd': -0.038630813}
{' even': -0.0029171533, ' Even': -7.199493, ':': -7.4433813, ' 0': -7.6018095, ' ': -7.973255}
{' Odd': -6.044759, ' ': -7.6044354, ' 1': -5.4897223, ' odd': -0.009238307, ' even': -6.8313823}
{' even': -0.0019281176, ' Even': -6.9300213, ':': -8.063863, ' ': -8.62599, ' EVEN': -8.920425}
{' odd': -0.13578919, ' 1': -2.1045086, ' Odd': -5.8951163, ' even': -7.3689847, ' one': -7.578654}
{' even': -0.00059748866, ' ': -8.523362, ' odd': -9.032843, ':': -9.5115595, ' Even': -9.89043}
{' odd': -0.004829764, ' 1': -6.6268244, ' Odd': -6.851078, '\n': -7.218835, ' ': -7.3013015}
{'\n': -7.096283, ' ': -6.896031, ':': -6.239161, ' Even': -6.039765, ' even': -0.007299757}
{'\n': -5.646408, ' Odd': -4.737551, ' ': -5.732649, ' 1': -4.7573767, ' odd': -0.02676093}
{' ': -6.5444846, ':': -4.646869, '?': -7.927155, ' Even': -5.3753047, ' even': -0.017116373}
{' odd': -0.058681708, ' Odd': -2.9687328, ':': -6.121216, ' 1': -6.598137, ' ': -7.412063}
{' ': -8.11671, ':': -6.980378, ' Even': -4.9382496, ' EVEN': -8.4116, ' even': -0.009068555}
{' Odd': -4.1268964, ':': -6.5678725, ' 1': -3.7108467, ' odd': -0.045409955, ' even': -7.3957686}
{' ': -7.91729, ':': -8.276234, ' Even': -8.036255, ' 0': -6.0028806, ' even': -0.0039263153}
{' odd': -0.045464903, ' Odd': -3.3367894, ' even': -5.039056, ' ': -7.2646337, ':': -7.6822844}
{' ': -10.943059, ':': -10.73053, ' Even': -8.941687, ' EVEN': -10.135381, ' even': -0.00024990342}
{' Odd': -3.8379786, ':': -6.4185987, ' 1': -5.116526, ' odd': -0.04442755, ' even': -4.472041}
{' even': -0.0019403605, ' Even': -7.0776124, ':': -8.139466, ' EVEN': -8.445435, ' ': -8.531242}
{' odd': -0.032114763, ' Odd': -3.563874, ' 1': -6.498523, ':': -7.8500834, ' ': -8.109901}
{' even': -0.0010589125, ' Even': -7.204293, ':': -8.713351, ' EVEN': -9.766875, ' ': -10.803897}
{' Odd': -5.3925734, ' ': -7.565794, ' 1': -3.760226, ' odd': -0.03027628, ' even': -7.736475}
{':': -8.850941, ' Even': -7.5274777, ' odd': -9.450354, ' 0': -7.65755, ' even': -0.0014594261}
{' Odd': -5.402226, ' ': -8.458286, ':': -8.140641, ' 1': -6.3401327, ' odd': -0.0076703383}
{' even': -0.0014030179, ' Even': -7.4694653, ' 0': -7.9612103, ':': -8.819009, ' ': -9.10637}
{' odd': -0.012701578, ' Odd': -4.609408, ' even': -6.70344, ':': -7.64342, ' 1': -8.252401}
{'\n': -9.624158, ' ': -7.81801, ':': -9.157531, ' Even': -7.226865, ' even': -0.0015519508}
{' Odd': -4.680247, ' ': -7.8986826, ' 1': -5.150746, ' odd': -0.017687524, ' even': -6.8851495}
{' ': -7.8037996, ':': -9.21448, ' Even': -7.748533, ' 0': -8.659753, ' even': -0.0014482627}
{' odd': -0.013658967, ' Odd': -5.124296, ' 1': -6.2423425, ':': -6.295844, ' ': -6.380139}
{':': -9.365487, ' an': -8.76279, ' Even': -7.283625, ' EVEN': -10.184415, ' even': -0.0010457273}
{' Odd': -4.9628153, ':': -5.7385683, ' 1': -4.8307447, ' odd': -0.1219753, ' even': -2.3822637}
{':': -5.964557, ' Even': -6.378164, ' odd': -7.4486413, ' 0': -6.0335026, ' even': -0.008548175}
{' Odd': -6.1454306, ':': -7.900503, ' 1': -2.9046302, ' odd': -0.062066376, ' even': -6.3573217}
{':': -6.4546237, ' an': -8.529304, ' Even': -7.083429, ' 0': -7.966847, ' even': -0.0039223647}
{' Odd': -5.382556, ':': -6.076612, ' 1': -5.399109, ' odd': -0.01801913, ' even': -5.2037945}
{'\n': -5.2179694, ' ': -4.302285, ':': -4.6855626, ' 0': -4.0673556, ' even': -0.05224008}
{' Odd': -4.6930294, ' ': -5.94037, ':': -4.558401, ' 1': -5.0612593, ' odd': -0.03379474}
{'\n': -3.219499, ' ': -2.6907182, ':': -2.3446517, ' 0': -2.5595584, ' even': -0.36137164}
{' odd': -0.4825241, ' 1': -1.0803653, ':': -4.0571814, '\n': -4.877983, ' even': -5.0328417}
{' ': -7.6428246, ':': -5.71003, ' an': -7.375549, ' Even': -5.682743, ' even': -0.009312002}
{' odd': -0.10943925, ' 1': -2.461507, ' Odd': -4.8951573, ' even': -6.056427, ':': -6.108222}
{' ': -8.731041, ':': -7.665689, ' an': -8.423599, ' Even': -6.278263, ' even': -0.003027451}
{' Odd': -5.635665, ' 1': -3.87426, ' one': -7.3890123, ' odd': -0.026645903, ' even': -7.550115}
{':': -7.2154136, ' Even': -7.9603596, ' odd': -7.878883, ' 0': -6.8016434, ' even': -0.003310876}
{' odd': -0.14244893, ' Odd': -2.2003694, ':': -4.478648, ' ': -5.5048633, '\n': -5.68046}
{':': -7.5015187, ' an': -8.067489, ' Even': -6.940361, ' 0': -7.2988343, ' even': -0.003195522}
{' Odd': -4.953611, ' ': -7.625299, ' 1': -5.16116, ' odd': -0.016101405, ' even': -6.728372}
{' even': -0.004851684, ':': -6.165954, ' Even': -6.886592, ' ': -6.979592, '\n': -8.010069}
{' odd': -0.18908793, ' 1': -1.7894545, ' Odd': -6.0389357, ' even': -7.1668115, ' ': -7.2829313}
{' even': -0.005952018, ' Even': -5.5770216, ':': -6.740018, ' ': -8.315956, ' EVEN': -8.565921}
{' Odd': -4.3696895, ' ': -6.2316437, ':': -5.986141, ' 1': -4.674218, ' odd': -0.030320698}
{' even': -0.0022992252, ' Even': -6.905453, ' 0': -7.8257775, ':': -7.899895, ' EVEN': -8.379557}
{' Odd': -5.5526094, ':': -7.6517653, ' 1': -5.6792264, ' odd': -0.00939575, ' even': -7.7257257}
{' even': -0.0034989729, ' ': -7.117289, ' 0': -7.201397, ' Even': -7.34412, ':': -7.3591204}
{' odd': -0.0151284775, ' even': -4.7911158, ' Odd': -5.546524, ' 1': -6.6859417, ' ': -7.5164714}
{' ': -8.358521, ':': -7.572352, ' an': -8.197379, ' Even': -6.353307, ' even': -0.0032148974}
{' Odd': -6.041135, ' 1': -8.028213, 'odd': -8.6982155, ' odd': -0.006226556, ' even': -5.8815722}
{' ': -8.264419, ':': -8.739328, ' Even': -7.541891, ' 0': -8.335105, ' even': -0.001652607}
{' odd': -0.31892097, ' 1': -1.3327664, ' Odd': -5.2221136, ':': -6.597169, ' ': -7.456933}
{':': -7.089147, ' an': -8.057887, ' Even': -5.938641, ' 0': -7.3359904, ' even': -0.005427141}
{' Odd': -5.976668, ' ': -6.878468, ':': -8.48824, ' 1': -4.7153835, ' odd': -0.013452823}
{':': -7.2757616, ' Even': -6.1799226, ' 0': -4.885538, ' zero': -7.7310624, ' even': -0.011581919}
{' Odd': -5.4612646, ':': -7.6324363, ' 1': -3.267881, ' odd': -0.045957305, ' even': -7.3786745}
{' even': -0.0014199099, ' 0': -7.565585, ' ': -8.026186, ' Even': -8.609762, ' odd': -9.17363}
{' Odd': -5.571416, ' ': -6.6608653, ' 1': -5.492993, ' odd': -0.012483436, ' even': -6.560945}
{' ': -8.430744, ':': -8.861122, ' Even': -6.7389283, ' EVEN': -9.028998, ' even': -0.0018446904}
{' Odd': -5.173064, ':': -7.237908, ' 1': -4.3315086, ' odd': -0.0380594, ' even': -4.109804}
{' ': -8.846493, ':': -9.334089, ' Even': -8.78257, ' 0': -8.808469, ' even': -0.0007534595}
{' Odd': -2.2996972, ' ': -8.099742, ':': -7.7732334, ' 1': -7.009962, ' odd': -0.10851411}
{' even': -0.024859807, ' Even': -3.8761046, ':': -6.2737637, '\n': -7.546664, ' ': -7.830797}
{' odd': -0.01682665, ' 1': -4.559238, ' Odd': -5.393178, ' ': -8.0324135, ' even': -8.171673}
{' even': -0.0015370273, ' Even': -7.093616, ':': -8.412155, ' EVEN': -8.850967, ' 0': -9.255007}
{' odd': -0.024047393, ' Odd': -4.1736403, ' 1': -5.0647044, ':': -7.2169714, ' even': -8.528946}
