{' Odd': -5.2571063, ':': -6.1377196, ' 1': -6.0909314, ' odd': -0.12720275, ' even': -2.2342947}
{' even': -0.0030480188, ' Even': -6.227001, ':': -7.6294904, ' ': -8.103958, ' an': -9.707436}
{' Odd': -6.465127, ':': -8.547784, ' 1': -5.777755, ' odd': -0.01767648, ' even': -4.4073305}
{' ': -9.227638, ':': -10.037822, ' an': -8.5342455, ' Even': -7.182279, ' even': -0.001257805}
{' odd': -0.01069332, ' Odd': -4.729758, ' 1': -7.249048, ' even': -7.916068, ':': -8.363431}
{' even': -0.0015996492, ' Even': -6.985011, ':': -8.738625, ' an': -8.816502, ' ': -8.835832}
{' Odd': -6.7246494, ' ': -8.87762, ' 1': -7.2003207, ' odd': -0.009547926, ' even': -4.953195}
{' Odd': -5.954468, ':': -7.6182966, ' 1': -6.5444765, ' odd': -0.20776184, ' even': -1.7063043}
{' even': -0.0026845194, ' odd': -7.2442617, ' Even': -7.3198423, ' "': -8.12573, ':': -8.302984}
{' Odd': -4.006192, ':': -7.467373, ' 1': -5.063223, ' odd': -0.039963655, ' even': -4.35295}
{' ': -9.440234, ':': -9.319648, ' Even': -7.1005616, ' EVEN': -9.109741, ' even': -0.0012338732}
{' Odd': -4.7391353, ':': -6.2720475, ' 1': -4.7768736, ' odd': -0.03231506, ' even': -4.760459}
{' even': -0.0007924126, ' Even': -7.8979244, ' an': -9.108796, ':': -9.43809, ' ': -9.473253}
{' odd': -0.0036310512, ' Odd': -6.0092344, ' even': -7.337239, ' an': -8.777081, ' 1': -8.817715}
{'\n': -7.327273, ' ': -5.572286, ':': -6.1699815, ' Even': -6.7295537, ' even': -0.009219416}
{' odd': -0.036137413, ' even': -3.8709762, ' Odd': -4.4950166, ' 1': -6.230264, ':': -7.803706}
{' odd': -0.4313584, ' even': -1.1081524, ':': -5.1494613, ' Odd': -5.2820153, ' 1': -6.194455}
{' even': -0.003396219, ' odd': -6.48698, ' Even': -7.0086136, ':': -8.03019, ' ': -8.966029}
{' odd': -0.006774656, ' Odd': -5.405948, ' even': -6.9803057, ' "': -7.8590274, ' an': -8.495463}
{' ': -9.011614, ' an': -8.33114, ' Even': -6.6211824, ' "': -9.340608, ' even': -0.0021847063}
{' Odd': -5.4913907, ':': -7.469783, ' 1': -7.1066847, ' odd': -0.02643688, ' even': -3.9156792}
{' even': -0.0013020895, ' Even': -7.7490263, ' an': -7.807111, ' odd': -9.042539, ' ': -9.195797}
{' Odd': -5.2921543, ':': -8.442175, ' 1': -7.4364257, ' odd': -0.008577453, ' even': -6.123361}
{' ': -8.900271, ':': -8.906189, ' an': -8.9673605, ' Even': -7.22054, ' even': -0.0013189797}
{' Odd': -4.7109694, ' an': -8.237665, ' 1': -7.4680586, ' odd': -0.012857275, ' even': -6.0710254}
{' odd': -0.3306595, ' even': -1.3610188, ' Odd': -4.1689315, ':': -5.972313, ' an': -6.254316}
{'\n': -7.3417807, ' ': -6.6248975, ':': -3.5833082, ' Even': -4.3035746, ' even': -0.046494648}
{' Odd': -4.8614655, ' 1': -7.137599, ' "': -8.269159, ' odd': -0.012821473, ' even': -5.7742167}
{' ': -9.382712, ':': -8.298793, ' Even': -5.546321, ' EVEN': -9.110137, ' even': -0.0045427326}
{' Odd': -4.8968167, ':': -7.9498463, ' 1': -6.522308, ' odd': -0.022924744, ' even': -4.376738}
{' ': -9.238629, ' an': -8.798431, ' Even': -8.224964, ' odd': -9.845075, ' even': -0.00073341565}
{' odd': -0.0057092076, ' Odd': -5.3592954, ' even': -8.024109, 'odd': -8.65597, ':': -9.085352}
{' ': -8.8541155, ':': -9.848845, ' an': -9.144389, ' Even': -8.289179, ' even': -0.00068289746}
{' Odd': -3.9967906, ' ': -8.500889, ' 1': -7.211572, ' odd': -0.028725483, ' even': -4.793362}
{' odd': -0.1095152, ' even': -2.487439, ':': -5.170892, ' Odd': -5.279958, ' 1': -5.487791}
{':': -8.191489, ' Even': -7.1139536, ' EVEN': -9.575798, ' odd': -8.521167, ' even': -0.0016043067}
{' odd': -0.0127317, ' Odd': -5.1742287, ' even': -5.4103947, ' 1': -6.533145, 'odd': -8.329618}
{' ': -8.582443, ':': -7.651428, ' Even': -5.86574, ' EVEN': -9.205766, ' even': -0.0038327333}
{' Odd': -6.365681, ':': -8.872474, ' 1': -7.3499303, ' odd': -0.011758069, ' even': -4.744855}
{':': -8.136279, ' Even': -7.532331, ' EVEN': -8.575463, ' odd': -7.1984606, ' even': -0.002344452}
{' odd': -0.009031084, ' Odd': -5.6052856, ' even': -6.115354, ' 1': -6.5400476, ':': -7.4761457}
{' even': -0.0011144064, ' Even': -7.255005, ' ': -8.799843, ' an': -9.394242, ' EVEN': -10.17228}
{' Odd': -4.1658144, ' an': -7.9384418, ' 1': -7.1693077, ' odd': -0.032784577, ' even': -4.2258635}
{' Odd': -4.9719887, ':': -7.5090156, ' 1': -7.3088503, ' odd': -0.057887137, ' even': -3.0605266}
{' ': -8.645384, ':': -8.204726, ' Even': -6.388361, ' EVEN': -9.473631, ' even': -0.0025230444}
{' Odd': -5.375951, ' ': -7.4051905, ' 1': -4.421883, ' odd': -0.02205308, ' even': -5.6913385}
{'\n': -7.618164, ' ': -6.7265763, ':': -6.2548156, ' Even': -3.4734824, ' even': -0.036039468}
{' odd': -0.028218193, ' even': -3.8568618, ' Odd': -5.7534084, ' 1': -6.4855285, ':': -7.288394}
{' ': -9.330118, ' an': -7.173013, ' Even': -7.2195787, ' odd': -8.94916, ' even': -0.0020599277}
{' Odd': -4.673666, ' an': -8.816121, ' 1': -6.5257716, ' odd': -0.017958017, ' even': -5.0503693}
{' ': -8.932067, ':': -9.92524, ' an': -8.626033, ' Even': -7.128824, ' even': -0.0013401678}
{' Odd': -4.623724, ' an': -8.565342, ' 1': -6.9585624, ' odd': -0.01749601, ' even': -5.1692467}
{' Odd': -5.614706, ':': -6.552066, ' 1': -5.8867598, ' odd': -0.22690126, ' even': -1.6431342}
{' -->': -5.2550874, ' ': -5.230842, ':': -2.1605766, ' Even': -4.4626336, ' even': -0.1580398}
{' Odd': -6.111153, ' ': -8.448135, ' 1': -5.0188174, ' odd': -0.014051199, ' even': -5.4358144}
{' ': -7.5952973, ':': -8.628692, ' Even': -5.5859976, ' EVEN': -8.640704, ' even': -0.004913017}
{' odd': -0.09497781, ' even': -2.672975, ' 1': -4.092914, ' Odd': -5.7980723, ' ': -7.5005603}
{' even': -0.0014612162, ' Even': -7.244588, ':': -8.31525, ' ': -8.748349, ' an': -8.983336}
{' Odd': -5.4654503, ' 1': -8.82922, 'odd': -8.836025, ' odd': -0.0056403303, ' even': -7.0366116}
{' ': -8.566721, ' an': -7.8811526, ' Even': -7.323808, ' odd': -8.560073, ' even': -0.0019329555}
{' odd': -0.022295013, ' Odd': -4.7739277, ' even': -4.9551125, ' 1': -5.2440314, ':': -7.947729}
{' Odd': -5.309404, ':': -6.642715, ' 1': -6.4716897, ' odd': -0.32558116, ' even': -1.322148}
{' ': -9.207762, ' Even': -7.5532317, ' "': -9.52321, ' odd': -9.43103, ' even': -0.0009786607}
{' odd': -0.010156196, ' Odd': -5.3146644, ' even': -5.651505, ' 1': -7.0487432, 'odd': -8.561404}
{' even': -0.0011730036, ' Even': -7.827026, ' ': -8.121029, ':': -8.164372, '\n': -9.424225}
{' odd': -0.025394924, ' even': -4.229155, ' Odd': -5.1181183, ' 1': -6.1737504, ':': -6.753215}
{' even': -0.0024859386, ' Even': -6.577662, ' an': -8.070171, ':': -8.193735, ' ': -8.599604}
{' Odd': -5.9178553, ' ': -8.326007, ' 1': -7.5898585, ' odd': -0.009789144, ' even': -5.156382}
{' even': -0.0020425466, ' Even': -6.559125, ' an': -8.862118, ' ': -9.260209, ':': -9.277504}
{' odd': -0.013324937, ' Odd': -5.0276165, ' 1': -5.6297345, ' even': -6.2157283, ' an': -7.972776}
{' Odd': -4.549755, ':': -5.891788, ' an': -7.000085, ' odd': -0.18901835, ' even': -1.8641797}
{' even': -0.006938614, ' Even': -6.1615386, ':': -6.5197935, ' odd': -6.9121504, ' ': -7.0348577}
{' Odd': -4.4594526, ':': -7.585494, ' 1': -7.4185324, ' odd': -0.017684247, ' even': -5.711339}
{' even': -0.0031035603, ' Even': -6.2846804, ':': -7.7695446, ' ': -8.254876, ' an': -8.956911}
{' Odd': -5.173666, ' ': -8.551865, ' 1': -7.9480352, ' odd': -0.009256715, ' even': -6.02194}
{' even': -0.0067259893, ':': -6.062028, ' Even': -6.604374, '\n': -7.172134, ' ->': -7.3096805}
{' Odd': -6.7097535, ' 1': -8.836169, 'odd': -8.923031, ' odd': -0.0030108283, ' even': -6.6965995}
{' even': -0.0006061975, ' Even': -8.41551, ' ': -8.879477, ':': -9.370366, ' an': -9.787071}
{' Odd': -4.79866, ' 1': -4.633468, 'odd': -8.738549, ' odd': -0.026225757, ' even': -4.9319873}
{' odd': -0.2666047, ' even': -1.5022538, ' Odd': -5.0962124, ' 1': -6.463577, ':': -6.7183475}
{' ': -8.933031, ':': -8.168378, ' Even': -6.96472, ' odd': -6.9146385, ' even': -0.0027354392}
{' odd': -0.006910466, ' Odd': -5.403281, ' 1': -7.017954, ' even': -7.3195744, ':': -8.355252}
{' even': -0.0012273083, ' Even': -7.2064576, ' an': -9.155733, ' ': -9.3961, ':': -9.491584}
{' odd': -0.011284446, ' Odd': -5.190844, ' even': -5.5447526, ' 1': -6.884398, ' an': -8.740622}
{' even': -0.0006698352, ' Even': -8.211702, ' an': -8.721071, ' odd': -9.559055, ' ': -9.776862}
{' odd': -0.007648176, ' Odd': -5.1179953, ' even': -7.9482355, ' 1': -8.012254, ' an': -8.021845}
{' ': -6.6177387, ':': -5.700014, ' an': -6.14941, ' odd': -6.7927313, ' even': -0.011133754}
{' Odd': -4.928358, ' ': -8.273901, ' 1': -5.503274, ' odd': -0.021501722, ' even': -4.714615}
{' Odd': -5.3029437, ':': -5.761185, ' 1': -5.9813266, ' odd': -0.06742638, ' even': -2.9447968}
{':': -8.313805, ' Even': -7.4065967, ' EVEN': -8.981338, ' odd': -7.5061145, ' even': -0.002065064}
{' Odd': -6.0973945, ' ': -8.651148, ' 1': -5.2151074, ' odd': -0.0118758585, ' even': -5.6646147}
{' even': -0.0009031922, ' Even': -7.7142177, ' ': -8.508781, ' EVEN': -9.4781685, ':': -9.781171}
{' odd': -0.0149357, ' even': -4.4345713, ' Odd': -6.2857842, ' 1': -7.5990496, ' an': -8.389998}
{' even': -0.024917126, ':': -4.569114, ' Even': -4.573774, ' an': -6.8795395, ' ': -6.9829974}
{' odd': -0.005349715, ' Odd': -5.9647703, ' 1': -6.3954086, 'odd': -8.132849, ' even': -8.497193}
{' ': -8.238254, ':': -7.330873, ' an': -7.7363453, ' Even': -6.708408, ' even': -0.002947221}
{' Odd': -5.327407, ' an': -7.3741875, ' 1': -5.2264414, ' odd': -0.017216789, ' even': -5.227252}
{' Odd': -4.4905453, ' ': -6.4125686, ':': -5.216901, ' odd': -0.24224201, ' even': -1.64878}
{':': -7.085907, ' an': -7.469084, ' Even': -5.481869, ' "': -6.956232, ' even': -0.008174983}
{' Odd': -6.898854, ' 1': -7.9555078, ' "': -8.953285, ' odd': -0.0021885294, ' even': -8.256696}
{'\n': -9.259399, ' ': -8.811255, ':': -7.5305824, ' Even': -5.5103574, ' even': -0.005054929}
{' Odd': -4.9607363, ' an': -7.125713, ' 1': -5.0657234, ' odd': -0.037108433, ' even': -3.8844917}
{' even': -0.0017824701, ' Even': -7.3495584, ' odd': -8.185918, ' EVEN': -8.355947, ':': -8.535059}
{' odd': -0.0060650487, ' even': -5.8253465, ' Odd': -6.2544703, ' 1': -7.5941324, ' an': -8.388377}
{' ': -8.45716, ' an': -8.017058, ' Even': -7.0355215, ' odd': -8.362697, ' even': -0.0021277207}
{' Odd': -3.27535, ' ': -7.324802, ':': -7.609724, ' odd': -0.047626086, ' even': -5.0686526}
{' Odd': -4.2648716, ':': -6.2417493, ' 1': -6.557118, ' odd': -0.1512759, ' even': -2.122391}
{' even': -0.0037641048, ' Even': -6.1873655, ':': -6.9905725, ' odd': -8.244548, ' ': -9.075958}
{' odd': -0.0123637, ' Odd': -4.716294, ' even': -6.8380733, ' "': -7.775125, ' 1': -7.9166093}
{' ': -8.886099, ':': -8.217179, ' Even': -7.268374, ' EVEN': -10.120051, ' even': -0.0012664603}
{' Odd': -5.0451474, ':': -7.7111745, ' 1': -7.8402543, ' odd': -0.009531439, ' even': -6.371072}
{' ': -10.034025, ' an': -10.099728, ' Even': -7.920413, ' EVEN': -10.016946, ' even': -0.0005697553}
{' Odd': -6.081885, ' an': -8.401523, 'odd': -8.906058, ' odd': -0.003540785, ' even': -7.3871098}
{' ': -8.784577, ':': -9.690933, ' an': -8.445553, ' Even': -7.1420455, ' even': -0.0013753822}
{' odd': -0.04423103, ' Odd': -3.4610631, ':': -5.475223, ' even': -5.7702355, '\n': -6.691411}
{' Odd': -5.4648285, ':': -6.280524, ' 1': -5.9861674, ' odd': -0.24961488, ' even': -1.559658}
{' ': -8.241238, ' Even': -7.3309436, ' "': -8.23456, ' odd': -7.6762514, ' even': -0.0023198389}
{' odd': -0.0051329313, ' even': -5.878011, ' 1': -6.5607743, ' Odd': -7.6058474, 'odd': -9.222572}
{'\n': -10.817056, ' ': -10.240668, ' Even': -9.300106, ' EVEN': -10.63487, ' even': -0.00024954765}
{' Odd': -5.6014395, ' ': -7.893131, ':': -7.832821, ' odd': -0.014598826, ' even': -4.6912646}
{' ': -9.63283, ' an': -9.098998, ' Even': -7.8588862, ' EVEN': -10.470008, ' even': -0.0007313909}
{'\n': -8.251411, ' Odd': -6.442818, ' ': -7.5460024, ' 1': -5.4655395, ' odd': -0.00741084}
{':': -9.256415, ' an': -8.652492, ' Even': -7.191953, ' odd': -8.4264145, ' even': -0.0015086123}
{' odd': -0.0200795, ' Odd': -4.8374543, ' even': -5.066033, ' 1': -5.3551946, ' an': -8.021009}
{' odd': -0.038692765, ' even': -3.6209981, ' Odd': -4.983565, ':': -6.405635, ' 1': -6.473047}
{' ': -8.128228, ':': -6.872001, ' an': -8.074908, ' Even': -5.172558, ' even': -0.008207015}
{' odd': -0.02065831, ' Odd': -4.226932, ' even': -6.303757, ':': -6.635735, ' ': -6.931995}
{' even': -0.0018507823, ' Even': -6.5457926, ' an': -9.02865, ':': -9.335537, ' EVEN': -9.897148}
{' Odd': -5.8738523, ':': -8.1204405, ' 1': -7.3735304, ' odd': -0.005757165, ' even': -6.454898}
{' ': -6.6036034, ':': -5.3307247, ' Even': -4.4395638, ' ->': -6.7978163, ' even': -0.020506015}
{' Odd': -5.8110166, ':': -8.007469, ' 1': -8.317909, ' odd': -0.005696378, ' even': -6.5455856}
{' ': -9.380209, ' an': -8.078348, ' Even': -7.7259326, ' "': -9.299645, ' even': -0.0011297984}
{' Odd': -4.41901, ' an': -8.32849, ' 1': -6.039338, ' odd': -0.021081965, ' even': -5.2605977}
{' odd': -0.27240407, ' even': -1.5824072, ' Odd': -3.8973677, ':': -5.0405307, ' ': -6.725216}
{':': -6.394856, ' Even': -6.3004475, ' "': -6.462319, ' odd': -4.2976265, ' even': -0.026290802}
{' Odd': -5.974873, ' 1': -5.9961123, 'odd': -8.99062, ' odd': -0.014096112, ' even': -4.774258}
{' ': -8.576169, ':': -7.769503, ' Even': -5.5137563, ' EVEN': -9.148852, ' even': -0.005022878}
{' odd': -0.0053953775, ' even': -5.915506, ' Odd': -6.5174627, ' 1': -7.238815, ' ': -9.085681}
{' ': -9.068852, ':': -8.076915, ' an': -9.250448, ' Even': -7.409489, ' even': -0.0014081495}
{' Odd': -5.9550104, ' 1': -6.9890976, 'odd': -8.749071, ' odd': -0.0072946534, ' even': -5.721324}
{' ': -9.191871, ':': -8.862348, ' an': -8.576901, ' Even': -7.540536, ' even': -0.0011964577}
{' odd': -0.026096167, ' Odd': -3.9562948, ' even': -5.574222, ' 1': -6.6029987, ' ': -7.7022653}
{' Odd': -4.713675, ':': -6.6832104, ' 1': -6.7462587, ' odd': -0.059799712, ' even': -3.1250873}
{' an': -8.520434, ' Even': -7.159398, ' "': -8.208872, ' odd': -6.1931915, ' even': -0.004000279}
{' Odd': -4.7321877, ' 1': -5.8877044, ' "': -7.7296906, ' odd': -0.019749274, ' even': -5.074166}
{' ': -8.786658, ':': -8.51438, ' an': -9.106885, ' Even': -6.6391, ' even': -0.0021010798}
{' Odd': -5.184757, ' ': -8.572808, ' 1': -6.905061, ' odd': -0.011187517, ' even': -5.592464}
{' even': -0.0009388675, ' Even': -7.5262985, ' an': -9.094154, ' EVEN': -9.567933, ' ': -9.807882}
{' odd': -0.15398312, ' Odd': -2.1382494, ':': -4.5628257, '\n': -5.0662823, ' ': -5.5192075}
{' even': -0.0031390772, ' Even': -6.445623, ':': -7.7540045, ' an': -7.7970843, ' odd': -8.468823}
{' Odd': -4.4603033, ':': -7.7616467, ' 1': -7.7183175, ' odd': -0.028571036, ' even': -4.2385855}
{' Odd': -4.7251153, ':': -6.579925, ' an': -7.0356045, ' odd': -0.19162703, ' even': -1.8371099}
{' ': -8.733358, ':': -8.845174, ' Even': -7.765674, ' odd': -8.4525, ' even': -0.0013066843}
{' Odd': -5.3962274, ' ': -8.301642, ' 1': -7.596184, ' odd': -0.010241161, ' even': -5.548759}
{' ': -9.134484, ' an': -9.232556, ' Even': -6.8434434, ' "': -9.527054, ' even': -0.0016443083}
{' Odd': -4.785606, ' ': -7.727351, ' 1': -6.99004, ' odd': -0.013560784, ' even': -5.798928}
{':': -9.155456, ' an': -8.086031, ' Even': -8.50109, ' odd': -8.721015, ' even': -0.0010808703}
{' Odd': -5.211243, ' an': -8.850008, ' 1': -7.1270995, ' odd': -0.009531619, ' even': -5.9515386}
{' ': -9.4331045, ':': -9.131837, ' an': -8.765763, ' Even': -7.1032634, ' even': -0.0013631459}
{' Odd': -5.1288548, ' 1': -4.851732, 'odd': -8.88839, ' odd': -0.02099784, ' even': -5.056347}
{' Odd': -4.088227, ':': -3.4055724, ' 1': -5.1097674, ' odd': -0.18231283, ' even': -2.2436683}
{' ': -7.977556, ':': -6.423798, ' Even': -7.0348268, ' odd': -8.081673, ' even': -0.003795694}
{' Odd': -5.925249, ' 1': -7.2856607, 'odd': -8.988654, ' odd': -0.005321012, ' even': -6.646388}
{' ': -9.076159, ' an': -8.781564, ' Even': -6.4118447, ' "': -8.764166, ' even': -0.0023898592}
{' Odd': -4.502481, ':': -4.7913175, ' 1': -5.509627, ' odd': -0.057396717, ' even': -3.5796762}
{' ': -8.6123495, ' an': -7.9167924, ' Even': -7.913284, ' odd': -7.9822392, ' even': -0.0018232545}
{' odd': -0.006577003, ' Odd': -5.2882447, ' even': -6.9714527, ' an': -8.834817, 'odd': -8.979723}
{':': -8.438299, ' an': -8.154459, ' Even': -6.7697177, ' odd': -8.754807, ' even': -0.0021836322}
{' Odd': -4.6671824, ' an': -7.477837, ' 1': -6.498136, ' odd': -0.020322664, ' even': -4.850097}
{' Odd': -4.928361, ':': -6.8329134, ' an': -7.2122035, ' odd': -0.12024226, ' even': -2.2833261}
{':': -8.277745, ' an': -8.44346, ' Even': -7.1335816, ' odd': -6.7639327, ' even': -0.0033635034}
{' Odd': -5.5721126, ' ': -8.123263, ' 1': -6.975772, ' odd': -0.0075899777, ' even': -6.344942}
{' ': -8.9978, ':': -9.1166315, ' an': -9.661424, ' Even': -6.8290772, ' even': -0.0016188136}
{' Odd': -4.3442335, ':': -6.6278076, ' 1': -4.8855257, ' odd': -0.038117416, ' even': -4.2784376}
{' even': -0.0051902076, ' Even': -5.587421, ':': -7.9288063, ' ': -7.976982, ' an': -8.478079}
{'\n': -8.474606, ' Odd': -5.2861285, ' ': -8.662986, ' odd': -0.008869005, ' even': -5.840314}
{' even': -0.002918468, ' Even': -6.148, ' an': -8.271832, ':': -8.964965, ' "': -9.209755}
{' Odd': -3.9234092, ' ': -7.7678657, ' an': -7.803599, ' odd': -0.033780128, ' even': -4.4887075}
{' even': -0.61097515, ' odd': -0.81939113, ' Odd': -4.9829216, ' Even': -5.862393, ':': -6.1926827}
{' even': -0.002055268, ' Even': -7.0844436, ':': -7.858739, ' odd': -8.309912, ' ': -8.901566}
{' odd': -0.0066716243, ' Odd': -5.3687873, ' 1': -7.352351, ' even': -7.9023848, ' an': -8.312671}
{' ': -9.264354, ':': -9.319185, ' Even': -7.1264415, ' EVEN': -9.961255, ' even': -0.0011820747}
{' Odd': -6.7258306, ' ': -8.4562025, ' 1': -7.3863792, ' odd': -0.009844758, ' even': -4.902518}
{' even': -0.0007439153, ' Even': -7.7613783, ' an': -9.1791725, ' odd': -9.613339, ' EVEN': -10.267981}
{' Odd': -4.2988954, ':': -7.81634, ' 1': -7.8973184, ' odd': -0.015606701, ' even': -8.204279}
{' ': -9.498951, ':': -8.819932, ' an': -8.170207, ' Even': -6.7619715, ' even': -0.0018635018}
{' Odd': -4.372531, ' ': -7.5163894, ' 1': -7.711477, ' odd': -0.016024541, ' even': -6.628837}
{' Odd': -3.9555733, ' ': -6.2938843, ':': -5.280535, ' odd': -0.1901084, ' even': -1.9512035}
{' even': -0.0045490204, ' Even': -6.1538043, ':': -7.1847525, ' an': -7.9413176, ' "': -7.9906793}
{' odd': -0.010148307, ' Odd': -5.354039, ' even': -5.421563, ' 1': -8.11627, ':': -8.513368}
{' ': -9.4513, ' an': -10.272603, ' Even': -7.20726, ' EVEN': -9.216486, ' even': -0.0011047975}
{' odd': -0.024934115, ' even': -4.4445105, ' 1': -4.5483503, ' Odd': -6.5356016, ' ': -8.7349825}
{':': -9.165201, ' an': -7.4053516, ' Even': -6.3879695, ' odd': -8.731318, ' even': -0.0029552311}
{' odd': -0.008801417, ' even': -5.358015, ' Odd': -5.788905, ' an': -8.15144, 'odd': -8.684132}
{':': -9.3786, ' an': -8.652002, ' Even': -7.5786114, ' "': -9.772808, ' even': -0.0010041384}
{' odd': -0.02118071, ' 1': -4.3152156, ' Odd': -5.089849, ' ': -7.563142, 'odd': -8.070435}
{' Odd': -4.0292854, ' ': -5.7602253, ':': -4.6619296, ' odd': -0.22577891, ' even': -1.8032057}
{':': -7.328035, ' an': -7.5864086, ' Even': -5.8402634, ' "': -7.396574, ' even': -0.006008322}
{' odd': -0.012925744, ' Odd': -5.1403728, ' even': -5.3145747, ' 1': -6.842687, ':': -8.16597}
{'\n': -8.894053, ' ': -8.576482, ':': -8.28068, ' Even': -6.483357, ' even': -0.0023148188}
{' odd': -0.05145047, ' even': -3.303653, ' 1': -5.0139785, ' Odd': -5.1855674, ' an': -8.2201395}
{' an': -9.337654, ' Even': -7.684647, ' EVEN': -10.009893, ' odd': -10.060624, ' even': -0.0007485673}
{' odd': -0.017641356, ' Odd': -4.625435, ' even': -5.18059, ' 1': -7.3239803, ' ': -7.8278823}
{' ': -8.665176, ':': -8.243851, ' an': -8.000893, ' Even': -7.564206, ' even': -0.0016601294}
{' Odd': -5.673879, ' an': -7.8623304, ' 1': -7.204186, ' odd': -0.00974665, ' even': -5.4838862}
