{' Yes': -0.0011409608, 'Yes': -6.832336, ' yes': -10.393673, ' ': -11.210345, ' Generally': -11.526474}
{' No': -0.0060213353, 'No': -5.12174, ' ': -10.383497, ' An': -13.327675, ' no': -13.434769}
{' ': -10.886051, ' Generally': -10.222843, ' Yes': -0.0012089905, ' yes': -10.309335, 'Yes': -6.80104}
{' No': -4.719468, ' ': -9.090093, 'No': -9.799209, ' Yes': -0.011019666, 'Yes': -6.3085756}
{' No': -9.206012, ' ': -9.953383, ' Yes': -0.0015827563, ' yes': -10.19913, 'Yes': -6.576654}
{' No': -0.46824846, ' Yes': -0.99198353, 'No': -6.102937, 'Yes': -7.3076715, ' ': -9.031286}
{' ': -10.36511, ' Generally': -10.146216, ' Yes': -0.0015435931, ' yes': -9.962886, 'Yes': -6.5634522}
{' No': -9.331589, ' ': -9.891628, ' Yes': -0.0016201288, ' yes': -10.115413, 'Yes': -6.552658}
{' No': -0.34625897, ' ': -8.793445, 'No': -5.706127, ' Yes': -1.242896, 'Yes': -7.580519}
{' No': -0.3977292, ' ': -8.096382, 'No': -5.564199, ' Yes': -1.1290125, 'Yes': -7.430925}
{' No': -0.0042181374, ' ': -9.900252, 'No': -5.489962, ' A': -12.829541, ' Yes': -10.595452}
{' No': -0.006291933, 'No': -5.0787115, ' ': -10.233453, ' An': -12.754572, ' no': -13.557069}
{' Yes': -0.0011275334, 'Yes': -6.845762, ' yes': -10.452902, ' Generally': -11.068979, ' ': -11.320462}
{' No': -4.1795588, ' ': -9.198272, 'No': -9.409531, ' Yes': -0.017384592, 'Yes': -6.377795}
{' No': -9.376, ' ': -10.209832, ' Yes': -0.0014857479, ' yes': -10.267917, 'Yes': -6.626497}
{' No': -0.19116957, ' Yes': -1.7658592, 'No': -5.959686, 'Yes': -8.113582, ' ': -9.578879}
{' Yes': -0.0014191928, 'Yes': -6.636701, ' yes': -10.10026, ' Generally': -10.539442, ' ': -10.5921}
{' No': -8.328153, ' ': -9.99369, ' Yes': -0.001541206, ' yes': -10.311803, 'Yes': -6.7159595}
{' No': -0.1787935, ' ': -9.417902, 'No': -5.716776, ' Yes': -1.8324475, 'Yes': -8.239062}
{' No': -0.22683044, ' ': -8.364475, 'No': -5.60826, ' Yes': -1.616002, 'Yes': -8.047719}
{' No': -0.0037753538, ' ': -10.276644, 'No': -5.594828, ' A': -13.270898, ' Yes': -11.326908}
{' An': -13.516772, ' No': -0.0055604326, ' ': -10.536051, 'No': -5.2007084, ' no': -13.607834}
{' ': -11.544508, ' Generally': -8.332477, ' Yes': -0.001192519, ' yes': -10.246434, 'Yes': -7.018801}
{' No': -6.343062, ' ': -10.502721, ' Yes': -0.0030184211, ' yes': -10.411275, 'Yes': -6.737618}
{' No': -10.066884, ' ': -11.290982, ' Yes': -0.0011444216, ' yes': -10.487675, 'Yes': -6.8509636}
{' No': -0.70794845, ' ': -9.562566, 'No': -6.2891154, ' Yes': -0.68414843, 'Yes': -7.0786967}
{' ': -10.88663, ' Generally': -8.820253, ' Yes': -0.001443607, ' yes': -9.861415, 'Yes': -6.7207584}
{' No': -9.334373, ' ': -10.514931, ' Yes': -0.0014673024, ' yes': -9.858208, 'Yes': -6.6706676}
{' No': -0.8240039, 'No': -5.888911, ' A': -7.285511, ' Yes': -0.5873095, 'Yes': -6.723883}
{' No': -0.4457913, ' ': -8.654514, 'No': -5.683595, ' Yes': -1.0346622, 'Yes': -7.5047035}
{' No': -0.0051993765, 'No': -5.272112, ' ': -10.376594, ' Yes': -11.296454, ' A': -12.142896}
{' An': -11.58496, ' No': -0.0076419297, ' ': -10.652373, ' Generally': -12.320321, 'No': -4.883519}
{' ': -11.169113, ' Generally': -8.936139, ' Yes': -0.0017521377, ' yes': -10.024406, 'Yes': -6.469306}
{' No': -5.456144, ' ': -9.810775, ' Yes': -0.0068564536, ' yes': -9.925345, 'Yes': -6.0329394}
{' No': -9.087463, ' ': -10.571926, ' Yes': -0.002129034, ' yes': -9.927073, 'Yes': -6.2481422}
{' No': -1.2159758, ' ': -8.544155, 'No': -6.0850053, ' Yes': -0.35811892, 'Yes': -6.2070217}
{' Yes': -0.0020340048, 'Yes': -6.333169, ' Generally': -8.859883, ' yes': -9.728274, ' ': -10.6362705}
{' Yes': -0.0028577328, 'Yes': -6.1978493, ' No': -7.309153, ' yes': -9.779942, ' ': -10.077353}
{' No': -0.5209154, ' Generally': -7.6381373, 'No': -5.0124884, ' Yes': -0.9234689, 'Yes': -6.6250424}
{' No': -0.39061227, ' Yes': -1.1499239, 'No': -5.160954, 'Yes': -7.2676606, ' ': -8.69783}
{' No': -0.009328186, ' ': -10.039601, 'No': -4.6866145, ' A': -12.713419, ' Yes': -11.005265}
{' An': -12.074625, ' No': -0.012144789, ' ': -10.210573, ' Generally': -13.111862, 'No': -4.4210267}
{' ': -10.834445, ' Generally': -11.014651, ' Yes': -0.0017048494, ' yes': -9.49707, 'Yes': -6.4459643}
{' No': -6.805914, ' ': -9.156191, ' Yes': -0.003872044, ' yes': -9.223042, 'Yes': -5.9771113}
{' Yes': -0.0024557628, 'Yes': -6.0793877, ' yes': -9.3219, ' ': -9.745175, ' No': -11.678961}
{' No': -2.992563, ' ': -8.10991, 'No': -7.9928846, ' Yes': -0.055284355, 'Yes': -5.8652225}
{' ': -10.40206, ' Generally': -10.628818, ' Yes': -0.0018758639, ' yes': -9.26144, 'Yes': -6.3683896}
{' No': -11.605584, ' ': -9.788142, ' Yes': -0.0024853407, ' yes': -9.2670145, 'Yes': -6.0688357}
{' No': -4.022787, ' ': -8.616593, 'No': -8.606831, ' Yes': -0.02165971, 'Yes': -5.81986}
{' Yes': -0.19391015, ' No': -1.7581897, 'Yes': -6.242414, 'No': -6.563035, ' ': -7.8030844}
{' No': -0.007897088, 'No': -4.9268155, ' Yes': -7.696356, ' ': -8.843189, '\n': -11.840743}
{' No': -0.009073248, '\n': -12.306331, ' ': -9.4725, 'No': -4.7174582, ' Yes': -12.248072}
{' ': -11.045262, ' Generally': -9.190564, ' Yes': -0.0010616562, ' yes': -10.35793, 'Yes': -7.010293}
{' Yes': -0.0015385778, 'Yes': -6.656928, ' No': -8.725295, ' ': -10.075181, ' yes': -10.141034}
{' Yes': -0.0012637138, 'Yes': -6.732546, ' yes': -10.358083, ' ': -10.6004095, ' No': -11.406905}
{' No': -2.268579, ' ': -9.44078, 'No': -7.586076, ' Yes': -0.11198383, 'Yes': -6.3346853}
{' ': -10.681693, ' Generally': -9.608503, ' Yes': -0.0012567322, ' yes': -10.03085, 'Yes': -6.8086333}
{' No': -9.121801, ' ': -10.248707, ' Yes': -0.0014726752, ' yes': -9.944855, 'Yes': -6.6791415}
{' No': -0.6006944, ' Generally': -7.6723776, 'No': -5.710128, ' Yes': -0.80701613, 'Yes': -6.95305}
{' No': -0.8102108, ' ': -8.552344, 'No': -6.0736723, ' Yes': -0.5947356, 'Yes': -7.0617385}
{' No': -0.005020182, 'No': -5.3208637, ' Yes': -9.602764, ' ': -10.13776, ' A': -11.941204}
{' An': -10.817145, ' No': -0.007282226, ' ': -10.031369, ' Generally': -11.910945, 'No': -4.9369807}
{' ': -10.78322, ' Generally': -7.2778993, ' Yes': -0.0019897474, ' yes': -9.711607, 'Yes': -6.741339}
{' No': -10.180837, ' ': -10.044812, ' Yes': -0.001838241, ' yes': -9.667121, 'Yes': -6.3906627}
{' No': -12.744467, ' ': -10.345623, ' Yes': -0.00157219, ' yes': -9.795975, 'Yes': -6.5196652}
{' No': -4.15043, ' ': -9.023649, 'No': -9.269913, ' Yes': -0.018703384, 'Yes': -6.0517654}
{' ': -10.25798, ' Generally': -7.9817123, ' Yes': -0.0019195178, ' yes': -9.483686, 'Yes': -6.5489807}
{' Yes': -0.0018188945, 'Yes': -6.4180803, ' yes': -9.470538, ' ': -10.090903, ' Generally': -10.217004}
{' No': -4.5545187, ' Generally': -7.309323, ' A': -7.4267626, ' Yes': -0.015056045, 'Yes': -5.908441}
{' No': -1.0190738, ' Generally': -7.3376365, 'No': -6.0018654, ' Yes': -0.45582613, 'Yes': -6.680229}
{' No': -0.008497076, ' ': -8.464825, 'No': -5.047266, ' A': -9.101103, ' Yes': -6.3936367}
{' An': -9.186646, ' No': -0.007684394, ' ': -9.1537695, 'No': -4.908973, ' Yes': -10.546256}
{' ': -11.472047, ' Generally': -9.339948, ' Yes': -0.0010123714, ' yes': -10.247666, 'Yes': -7.0467944}
{' No': -5.8209095, ' ': -10.0380535, ' Yes': -0.0043664733, ' yes': -10.145298, 'Yes': -6.651556}
{' No': -11.109109, ' ': -10.984359, ' Yes': -0.0011577881, ' yes': -10.25971, 'Yes': -6.824238}
{' No': -2.4591293, ' ': -9.807171, 'No': -8.276037, ' Yes': -0.09143656, 'Yes': -6.508528}
{' ': -11.069061, ' Generally': -9.781452, ' Yes': -0.0012003971, ' yes': -9.878304, 'Yes': -6.849542}
{' Yes': -0.0012428861, 'Yes': -6.8247056, ' No': -9.506238, ' yes': -9.976636, ' ': -10.810052}
{' No': -1.4571178, 'No': -6.8750687, ' A': -8.557364, ' Yes': -0.26866806, 'Yes': -6.7031727}
{' No': -0.48365974, ' Yes': -0.96822935, 'No': -5.881719, 'Yes': -7.518932, ' ': -8.771226}
{' No': -0.0042979876, 'No': -5.5065312, ' Yes': -8.595097, ' ': -10.301489, ' A': -11.821059}
{' An': -11.462338, ' No': -0.0051344885, ' ': -10.336157, 'No': -5.2843356, ' Yes': -12.822008}
{' ': -11.141453, ' Generally': -8.646995, ' Yes': -0.001025259, ' yes': -10.283005, 'Yes': -7.143525}
{' Yes': -0.0018495874, 'Yes': -6.73887, ' No': -7.466945, ' ': -9.989803, ' yes': -10.193061}
{' No': -12.919939, ' ': -10.885801, ' Yes': -0.0010765732, ' yes': -10.217365, 'Yes': -6.893746}
{' No': -2.6095626, ' ': -9.356498, 'No': -8.501302, ' Yes': -0.07822305, 'Yes': -6.6324444}
{' ': -10.568034, ' Generally': -8.747796, ' Yes': -0.0013038795, ' yes': -9.748773, 'Yes': -6.8723936}
{' No': -10.74707, ' ': -10.459576, ' Yes': -0.0011595789, ' yes': -9.854663, 'Yes': -6.868379}
{' Yes': -0.12167664, ' No': -2.1912737, 'Yes': -6.5188665, 'No': -7.511658, ' A': -7.8617277}
{' No': -2.0069218, ' Generally': -8.742872, 'No': -7.3495173, ' Yes': -0.14691152, 'Yes': -6.800775}
{' No': -0.004017934, 'No': -5.5732813, ' Yes': -8.967601, ' ': -9.552297, ' A': -11.629542}
{' An': -11.184505, ' No': -0.0049167327, ' ': -9.843024, 'No': -5.3337164, ' Yes': -12.364437}
{' ': -11.517839, ' Generally': -9.457407, ' Yes': -0.0009622559, ' yes': -10.337873, 'Yes': -7.0884805}
{' No': -8.548503, ' ': -10.463771, ' Yes': -0.0014754217, ' yes': -10.248225, 'Yes': -6.7155714}
{' No': -13.128099, ' ': -11.02569, ' Yes': -0.0011939513, ' yes': -10.393168, 'Yes': -6.775196}
{' Yes': -0.023238627, ' No': -3.8471596, 'Yes': -6.5211873, 'No': -9.655761, ' ': -9.981401}
{' ': -11.08936, ' Generally': -9.792476, ' Yes': -0.0011396467, ' yes': -9.960492, 'Yes': -6.8978467}
{' No': -11.423749, ' ': -10.835146, ' Yes': -0.0011869096, ' yes': -10.009336, 'Yes': -6.811207}
{' No': -2.930155, 'No': -8.199773, ' A': -8.990869, ' Yes': -0.057236522, 'Yes': -6.4277143}
{' No': -2.4293287, ' ': -9.07491, 'No': -7.7665324, ' Yes': -0.0943315, 'Yes': -6.7173514}
{' No': -0.0049163722, 'No': -5.5131025, ' Yes': -7.1670785, ' ': -9.494294, ' A': -11.046803}
{' An': -11.099243, ' No': -0.0054963618, ' ': -9.880332, 'No': -5.222661, ' Yes': -11.191633}
{' ': -11.231658, ' Generally': -8.188927, ' Yes': -0.0012801862, ' yes': -9.947729, 'Yes': -6.985712}
{' ': -10.809668, ' A': -12.826985, ' Yes': -0.0015318318, ' yes': -9.726292, 'Yes': -6.5431457}
{' Yes': -0.0012473016, 'Yes': -6.7385325, ' yes': -10.015176, ' ': -11.27119, ' YES': -13.201716}
{' No': -8.535938, ' ': -10.291229, ' Yes': -0.0021456995, ' yes': -9.555349, 'Yes': -6.3115788}
{' ': -10.769011, ' Generally': -9.009078, ' Yes': -0.0014707642, ' yes': -9.594589, 'Yes': -6.6942196}
{' Yes': -0.0012459892, 'Yes': -6.772307, ' yes': -9.724684, ' ': -10.826237, ' Generally': -11.81624}
{' No': -5.4504514, ' Generally': -8.489404, ' A': -8.129771, ' Yes': -0.0071613123, 'Yes': -6.163783}
{' Yes': -0.021017319, ' No': -3.9708922, 'Yes': -6.5400066, 'No': -9.0647335, ' A': -9.135984}
{' No': -0.010306561, ' ': -8.840266, 'No': -5.2071543, ' A': -8.962857, ' Yes': -5.412523}
{' No': -0.006712968, 'No': -5.045207, ' An': -9.018804, ' ': -9.525853, ' Yes': -10.605458}
{' ': -11.77657, ' Generally': -8.56298, ' Yes': -0.000962376, ' yes': -10.22843, 'Yes': -7.2388177}
{' No': -9.4277, ' ': -10.779095, ' Yes': -0.0011370213, ' yes': -10.300564, 'Yes': -6.910614}
{' Yes': -0.0009363632, 'Yes': -7.0256476, ' yes': -10.3531885, ' ': -11.4324465, ' No': -13.222747}
{' No': -4.134428, 'No': -9.822456, ' Yes': -0.01776506, ' yes': -9.97412, 'Yes': -6.549787}
{' ': -11.252216, ' Generally': -8.597923, ' Yes': -0.0011625, ' yes': -9.938756, 'Yes': -7.0128965}
{' ': -10.923272, ' Generally': -10.707301, ' Yes': -0.0011891765, ' yes': -9.931418, 'Yes': -6.83355}
{' No': -3.2114909, ' Generally': -7.711115, ' A': -7.7874374, ' Yes': -0.04435203, 'Yes': -6.3207393}
{' No': -1.8408693, ' Generally': -8.023805, 'No': -7.117492, ' Yes': -0.17585513, 'Yes': -6.7937727}
{' No': -0.0048723496, ' ': -9.753797, 'No': -5.4596586, ' A': -10.505715, ' Yes': -7.576468}
{' An': -9.978743, ' No': -0.0055046924, ' ': -10.125864, ' Generally': -11.415294, 'No': -5.22516}
{' Yes': -0.0016802502, 'Yes': -6.594941, ' Generally': -8.521101, ' yes': -9.41843, ' ': -10.961129}
{' Yes': -0.0020533581, 'Yes': -6.2578363, ' yes': -9.313832, ' ': -10.275222, ' No': -12.417024}
{' YES': -12.877176, ' ': -10.356199, ' Yes': -0.0018971825, ' yes': -9.374623, 'Yes': -6.3353395}
{' No': -6.430382, ' ': -9.138966, ' Yes': -0.004572195, ' yes': -9.03886, 'Yes': -5.9235206}
{' ': -10.5896015, ' Generally': -9.357399, ' Yes': -0.0019041689, ' yes': -9.112503, 'Yes': -6.3990464}
{' ': -10.332504, ' Generally': -11.571597, ' Yes': -0.0021863787, ' yes': -9.1559925, 'Yes': -6.2073383}
{' No': -6.7264667, ' A': -9.129547, ' Yes': -0.0046999827, ' yes': -8.64744, 'Yes': -5.814754}
{' No': -3.3686442, ' ': -8.479281, 'No': -8.076373, ' Yes': -0.038106643, 'Yes': -6.1660438}
{' No': -0.011497865, ' ': -8.047836, 'No': -4.7703896, ' A': -9.606209, ' Yes': -5.979557}
{' An': -9.286418, ' No': -0.01361631, ' ': -8.431878, 'No': -4.335754, ' Yes': -9.470744}
{' ': -11.115466, ' Generally': -10.629646, ' Yes': -0.00086650223, ' yes': -10.313314, 'Yes': -7.142521}
{' Yes': -0.0011339772, 'Yes': -6.879456, ' yes': -10.281962, ' ': -10.283414, ' No': -10.305728}
{' No': -10.628623, ' ': -10.378564, ' Yes': -0.0010729932, ' yes': -10.398437, 'Yes': -6.9234605}
{' No': -2.3717935, ' ': -8.937993, 'No': -8.193079, ' Yes': -0.09994874, 'Yes': -6.616024}
{' ': -10.708647, ' Generally': -9.761978, ' Yes': -0.0011183412, ' yes': -9.866545, 'Yes': -6.9327703}
{' No': -9.96219, ' ': -10.479829, ' Yes': -0.0012352474, ' yes': -9.933417, 'Yes': -6.8138547}
{' Yes': -0.12311805, ' No': -2.1818738, 'Yes': -6.4191723, 'No': -7.3535, ' Generally': -8.08956}
{' No': -1.2575892, ' ': -7.919984, 'No': -6.6841655, ' Yes': -0.3384398, 'Yes': -6.916776}
{' No': -0.0043275636, ' ': -9.634385, 'No': -5.4968333, ' A': -11.91443, ' Yes': -8.855231}
{' An': -11.692815, ' No': -0.0059499783, ' ': -9.526689, 'No': -5.1448274, ' Yes': -11.134933}
{' ': -10.711928, ' Generally': -9.366847, ' Yes': -0.0012602521, ' yes': -9.572946, 'Yes': -6.8360643}
{' No': -9.634391, ' ': -9.760299, ' Yes': -0.0017120114, ' yes': -9.489854, 'Yes': -6.499351}
{' No': -12.109951, ' ': -10.181482, ' Yes': -0.0014062395, ' yes': -9.678724, 'Yes': -6.649178}
{' No': -4.454892, ' ': -9.053571, ' Yes': -0.013688518, ' yes': -9.487086, 'Yes': -6.3756437}
{' ': -10.295865, ' Generally': -9.701355, ' Yes': -0.0014439647, ' yes': -9.368399, 'Yes': -6.6853824}
{' No': -10.439903, ' ': -9.879566, ' Yes': -0.0016469347, ' yes': -9.407571, 'Yes': -6.5269723}
{' No': -4.28278, ' ': -8.598011, ' A': -8.95025, ' Yes': -0.016590761, 'Yes': -6.191899}
{' No': -0.9619854, ' ': -7.605931, 'No': -6.17611, ' Yes': -0.48784712, 'Yes': -6.8301244}
{' No': -0.005288534, ' ': -8.789258, 'No': -5.3531013, ' A': -10.957389, ' Yes': -7.918975}
{' An': -11.161125, ' No': -0.0060799834, ' ': -9.132512, 'No': -5.129754, ' Yes': -11.269766}
{' ': -11.08243, ' Generally': -8.973421, ' Yes': -0.0011159552, ' yes': -9.841681, 'Yes': -7.0005355}
{' Yes': -0.00142182, 'Yes': -6.6702204, ' No': -9.833486, ' yes': -9.839729, ' ': -10.097696}
{' No': -12.814287, ' ': -10.414082, ' Yes': -0.0011693042, ' yes': -9.885738, 'Yes': -6.8288956}
{' No': -4.285216, ' ': -9.053515, ' Yes': -0.0155761875, ' yes': -9.676124, 'Yes': -6.545178}
{' ': -10.736923, ' Generally': -9.173364, ' Yes': -0.0013371839, ' yes': -9.592873, 'Yes': -6.7870345}
{' No': -11.199042, ' ': -10.320317, ' Yes': -0.0014588282, ' yes': -9.567327, 'Yes': -6.626681}
{' No': -4.034552, ' ': -8.649524, ' Generally': -8.7578535, ' Yes': -0.020750683, 'Yes': -6.138079}
{' No': -1.9159042, ' ': -8.1155615, 'No': -7.125701, ' Yes': -0.16265216, 'Yes': -6.6151795}
{' No': -0.005519375, 'No': -5.333902, ' Yes': -7.604318, ' ': -8.839442, ' A': -10.566314}
{' An': -10.739881, ' No': -0.0058660996, ' ': -9.443116, 'No': -5.163329, ' Yes': -11.289208}
{' ': -10.973962, ' Generally': -8.925427, ' Yes': -0.0013018502, ' yes': -9.653521, 'Yes': -6.8326077}
{' No': -9.337006, ' ': -9.691465, ' Yes': -0.0017077151, ' yes': -9.53558, 'Yes': -6.517321}
{' No': -12.321284, ' ': -10.127531, ' Yes': -0.0014651567, ' yes': -9.708782, 'Yes': -6.6035194}
{' No': -3.8535886, ' ': -8.846655, 'No': -9.291476, ' Yes': -0.023508612, 'Yes': -6.3780255}
{' ': -10.348758, ' Generally': -8.939107, ' Yes': -0.0018400329, ' yes': -9.2862425, 'Yes': -6.4597483}
{' No': -10.476572, ' ': -10.060604, ' Yes': -0.0018414661, ' yes': -9.360746, 'Yes': -6.400469}
{' No': -3.3746252, ' Generally': -7.739175, ' A': -7.914429, ' Yes': -0.03903148, 'Yes': -5.9719996}
{' No': -1.2814159, ' ': -7.694738, 'No': -6.3283973, ' Yes': -0.33086565, 'Yes': -6.567462}
{' No': -0.005338449, ' ': -8.891282, 'No': -5.2884383, ' A': -11.425821, ' Yes': -9.038678}
{' An': -11.027799, ' No': -0.0064367973, ' ': -9.283589, 'No': -5.068885, ' Yes': -11.971293}
{' ': -10.998763, ' Generally': -8.705369, ' Yes': -0.0014069555, ' yes': -9.661744, 'Yes': -6.7688932}
{' Yes': -0.0017380466, 'Yes': -6.432179, ' yes': -9.5504, ' ': -10.177288, ' No': -11.242253}
{' Yes': -0.0016004865, 'Yes': -6.4984784, ' yes': -9.690784, ' ': -10.506842, ' YES': -13.36615}
{' No': -6.8360987, ' ': -9.399432, ' Yes': -0.0035473022, ' yes': -9.313539, 'Yes': -6.087545}
{' ': -10.438496, ' Generally': -8.747702, ' Yes': -0.001833284, ' yes': -9.292488, 'Yes': -6.480242}
{' Yes': -0.0019702208, 'Yes': -6.317762, ' yes': -9.319186, ' ': -10.130478, ' Generally': -11.211958}
{' No': -4.60068, ' Generally': -7.7292843, ' A': -8.431967, ' Yes': -0.014502122, 'Yes': -5.739182}
{' No': -2.4110827, ' ': -8.105849, 'No': -7.40289, ' Yes': -0.09735067, 'Yes': -6.374757}
{' No': -0.008466719, 'No': -5.0618954, ' Yes': -6.2903233, ' ': -8.56801, ' A': -10.337085}
{' An': -10.465714, ' No': -0.008096323, ' ': -9.245498, 'No': -4.8419166, ' Yes': -10.702014}
{' ': -11.004327, ' Generally': -7.525547, ' Yes': -0.0015791744, ' yes': -9.692221, 'Yes': -6.9718018}
{' Yes': -0.0015765481, 'Yes': -6.5657625, ' yes': -9.528213, ' No': -10.033452, ' ': -10.0645075}
{' No': -11.641625, ' ': -10.359876, ' Yes': -0.0013516861, ' yes': -9.765455, 'Yes': -6.6861353}
{' No': -4.016288, ' ': -9.287021, 'No': -9.294688, ' Yes': -0.020484297, 'Yes': -6.248353}
{' ': -10.447817, ' Generally': -8.235809, ' Yes': -0.0017643785, ' yes': -9.322767, 'Yes': -6.6064625}
{' ': -10.079254, ' Generally': -10.261857, ' Yes': -0.0018518561, ' yes': -9.34496, 'Yes': -6.415445}
{' Yes': -0.054524515, ' No': -3.0656269, 'Yes': -5.8388276, ' Generally': -6.3382673, ' A': -7.0918775}
{' Yes': -0.32164434, ' No': -1.3092676, 'No': -6.2593594, 'Yes': -6.485668, ' Generally': -7.412508}
{' No': -0.006077163, ' ': -8.839691, 'No': -5.1946793, ' A': -10.161947, ' Yes': -8.062744}
{' An': -10.189263, ' No': -0.0071885074, ' ': -9.4623995, ' Generally': -11.089942, 'No': -4.959312}
{' ': -11.315596, ' Generally': -8.631166, ' Yes': -0.0011250263, ' yes': -9.964375, 'Yes': -7.0376983}
{' No': -11.519667, ' ': -10.570548, ' Yes': -0.0013362283, ' yes': -9.876002, 'Yes': -6.690213}
{' No': -12.947241, ' ': -10.897081, ' Yes': -0.001240379, ' yes': -10.08587, 'Yes': -6.747214}
{' No': -5.509941, ' ': -9.848073, ' Yes': -0.0058975155, ' yes': -9.737887, 'Yes': -6.3908114}
{' Yes': -0.0015237144, 'Yes': -6.706331, ' Generally': -8.55126, ' yes': -9.571065, ' ': -10.883113}
{' No': -10.338346, ' Generally': -10.364584, ' Yes': -0.0015651464, ' yes': -9.696996, 'Yes': -6.5759892}
{' No': -3.873429, ' Generally': -6.993584, ' A': -7.4587483, ' Yes': -0.025799856, 'Yes': -5.9152493}
{' No': -2.1627285, ' Generally': -8.0399885, 'No': -7.2709856, ' Yes': -0.12547806, 'Yes': -6.5554457}
{' No': -0.0060994118, ' ': -9.162835, 'No': -5.1915393, ' A': -10.548625, ' Yes': -7.8859115}
{' No': -0.0067334305, 'No': -5.021445, ' ': -9.745184, ' An': -10.4641285, ' Generally': -11.336128}
{' ': -11.501729, ' Generally': -8.064105, ' Yes': -0.0021867384, ' yes': -9.274972, 'Yes': -6.350707}
{' Yes': -0.0023969086, 'Yes': -6.1020865, ' yes': -9.129016, ' ': -10.755871, ' No': -11.515104}
{' Yes': -0.0025242402, 'Yes': -6.0312634, ' yes': -9.255005, ' ': -11.250073, ' YES': -12.371922}
{' Yes': -0.0032483828, 'Yes': -5.8417153, ' yes': -8.940968, ' No': -8.970497, ' ': -10.289772}
{' ': -11.282383, ' Generally': -9.152494, ' Yes': -0.0021530474, ' yes': -9.118117, 'Yes': -6.2634006}
{' ': -10.971553, ' Generally': -11.404816, ' Yes': -0.0023834642, ' yes': -9.06509, 'Yes': -6.1098733}
{' No': -6.06126, ' Generally': -8.709655, ' Yes': -0.006330322, ' yes': -8.678793, 'Yes': -5.6907554}
{' No': -4.275721, 'No': -8.773754, ' Yes': -0.016792646, ' yes': -9.2444, 'Yes': -6.0902233}
{' No': -0.01924518, 'No': -4.5275364, ' Yes': -4.8440037, ' ': -8.768908, ' A': -8.848093}
{' An': -9.239183, ' No': -0.013536434, ' ': -9.435369, 'No': -4.333132, ' Yes': -9.4275255}
{' ': -9.704578, ' Generally': -8.07642, ' Yes': -0.0031839812, ' yes': -8.977596, 'Yes': -5.9319954}
{' No': -10.761049, ' ': -8.843779, ' Yes': -0.0036336842, ' yes': -8.690495, 'Yes': -5.723393}
{' Yes': -0.0037860635, 'Yes': -5.6473327, ' yes': -8.830543, ' ': -9.330427, ' YES': -12.092042}
{' Yes': -0.007770709, 'Yes': -5.428364, ' No': -5.9100914, ' ': -8.136564, ' yes': -8.474867}
{' Yes': -0.0029019688, 'Yes': -5.9565115, ' yes': -8.835324, ' Generally': -9.470256, ' ': -9.697745}
{' ': -9.28048, ' Generally': -11.070387, ' Yes': -0.004290147, ' yes': -8.705988, 'Yes': -5.5270734}
{' No': -4.107679, ' ': -7.6907187, ' A': -7.764568, ' Yes': -0.02421738, 'Yes': -5.177957}
{' No': -2.5480766, ' ': -7.387777, 'No': -6.6716876, ' Yes': -0.087966785, 'Yes': -5.59297}
{' No': -0.014736128, ' ': -7.8969626, 'No': -4.299099, ' A': -9.598665, ' Yes': -7.500507}
{' An': -9.606315, ' No': -0.021132737, ' ': -8.252734, 'No': -3.886842, ' Yes': -10.810391}
{' ': -10.841203, ' Generally': -7.7802534, ' Yes': -0.0020271959, ' yes': -9.212163, 'Yes': -6.5265875}
{' No': -8.961494, ' ': -9.661446, ' Yes': -0.0024473355, ' yes': -9.156082, 'Yes': -6.1498356}
{' No': -13.153733, ' ': -10.332266, ' Yes': -0.0017994888, ' yes': -9.306667, 'Yes': -6.3962674}
{' No': -4.5195713, ' ': -9.293923, ' Yes': -0.013719637, ' yes': -8.9447975, 'Yes': -6.036794}
{' Yes': -0.0016749966, 'Yes': -6.5226483, ' yes': -9.209192, ' Generally': -9.635481, ' ': -10.529219}
{' No': -11.823591, ' ': -10.227063, ' Yes': -0.0018225383, ' yes': -9.222068, 'Yes': -6.397534}
{' No': -2.824272, 'No': -7.5917006, ' A': -8.457283, ' Yes': -0.064990945, 'Yes': -6.0612955}
{' Yes': -0.06737206, ' No': -2.7754407, 'Yes': -6.2694283, 'No': -7.5666013, ' ': -8.704979}
{' No': -0.008922407, ' ': -9.095546, 'No': -4.864656, ' A': -10.383243, ' Yes': -6.895629}
{' An': -9.95037, ' No': -0.009890747, ' ': -9.095954, 'No': -4.643214, ' Yes': -10.50269}
{' Generally': -7.4051046, ' Typically': -11.233027, ' Yes': -0.0019320599, ' yes': -9.524896, 'Yes': -6.717813}
{' No': -9.46234, ' ': -10.2270975, ' Yes': -0.001862905, ' yes': -9.496327, 'Yes': -6.4010763}
{' YES': -13.330195, ' ': -11.233204, ' Yes': -0.0015339822, ' yes': -9.739565, 'Yes': -6.5319457}
{' No': -6.6275954, ' ': -10.151757, ' Yes': -0.003241865, ' yes': -9.471633, 'Yes': -6.336662}
{' ': -11.059361, ' Generally': -9.02148, ' Yes': -0.0015676515, ' yes': -9.527772, 'Yes': -6.61367}
{' ': -10.862385, ' Generally': -12.106454, ' Yes': -0.0015660999, ' yes': -9.574923, 'Yes': -6.527618}
{' Yes': -0.027281016, ' No': -3.736935, 'Yes': -6.0979886, ' A': -8.375393, ' Generally': -8.459749}
