{' number': -5.9342136, ' 1': -1.799021, ' 2': -0.25823066, ' one': -5.402187, ' two': -2.9497304}
{' number': -5.7127743, ' #': -5.6126747, ' 1': -2.3454762, ' 2': -0.17071134, ' two': -2.970884}
{' #': -5.6276546, ' 1': -1.7908643, ' 2': -0.25010064, ' one': -5.5374722, ' two': -3.1335864}
{' #': -5.659099, ' 1': -1.9224604, ' 2': -0.22297068, ' one': -5.6988306, ' two': -3.1389117}
{' number': -5.7473345, ' #': -5.6653533, ' 1': -2.4026897, ' 2': -0.16025417, ' two': -3.0298142}
{' number': -5.6187735, ' #': -5.5448675, ' 1': -2.3313208, ' 2': -0.16636373, ' two': -3.0824327}
{' number': -5.921513, ' #': -5.744923, ' 1': -2.2680311, ' 2': -0.16738228, ' two': -3.1672945}
{' number': -5.9632883, ' 1': -1.3224902, ' 2': -0.36938432, ' one': -5.3461795, ' two': -3.4243577}
{' number': -5.977549, ' 1': -1.2926986, ' 2': -0.37751833, ' one': -5.4164066, ' two': -3.49219}
{' number': -5.962857, ' 1': -1.3943166, ' 2': -0.34078673, ' one': -5.518533, ' two': -3.4516892}
{' number': -6.017002, ' 1': -1.2643846, ' 2': -0.38756874, ' one': -5.4224625, ' two': -3.520635}
{' 2': -0.22843741, ' 1': -1.8393135, ' two': -3.3056793, ' number': -5.821015, ' one': -5.845094}
{' number': -6.09155, ' 1': -1.4767878, ' 2': -0.31630927, ' one': -5.4295206, ' two': -3.389967}
{' number': -5.8455405, ' 1': -1.2623299, ' 2': -0.39364338, ' one': -5.344098, ' two': -3.445094}
{' number': -5.859884, ' 1': -1.0319343, ' 2': -0.50587994, ' one': -5.0581174, ' two': -3.5547154}
{' 2': -0.4092807, ' 1': -1.2259139, ' two': -3.4634798, ' one': -5.2504716, ' number': -5.843042}
{' number': -5.8683405, ' 1': -1.0211174, ' 2': -0.51219296, ' one': -5.0635996, ' two': -3.558597}
{' 2': -0.4920443, ' 1': -1.0593793, ' two': -3.5113125, ' one': -5.063967, ' #': -5.826301}
{' number': -5.854364, ' 1': -1.2984145, ' 2': -0.3829023, ' one': -5.2569857, ' two': -3.3776414}
{' 2': -0.37899414, ' 1': -1.3063433, ' two': -3.3871174, ' one': -5.3069096, ' number': -5.844243}
{' number': -5.8122396, ' 1': -1.3486243, ' 2': -0.36170885, ' one': -5.35732, ' two': -3.4052534}
{' number': -5.807856, ' 1': -1.4822322, ' 2': -0.31681186, ' one': -5.5073066, ' two': -3.369691}
{' #': -5.9581213, ' 1': -1.6697158, ' 2': -0.26774603, ' one': -5.596593, ' two': -3.2823641}
{' number': -5.7622805, ' 1': -1.2420189, ' 2': -0.40674135, ' one': -5.226033, ' two': -3.3885984}
{' number': -5.766724, ' 1': -1.3445277, ' 2': -0.3653082, ' one': -5.3459406, ' two': -3.3681824}
{' number': -5.8229065, ' 1': -1.1795622, ' 2': -0.4311262, ' one': -5.1882577, ' two': -3.4664025}
{' 2': -0.4481597, ' 1': -1.1389213, ' two': -3.5250468, ' one': -5.1711535, ' number': -5.8339148}
{' number': -5.7834916, ' 1': -1.1685134, ' 2': -0.4401656, ' one': -5.1025467, ' two': -3.4105806}
{' number': -5.7731624, ' 1': -1.1510247, ' 2': -0.4464102, ' one': -5.1326246, ' two': -3.4540508}
{' number': -5.8096385, ' 1': -1.3769251, ' 2': -0.35166243, ' one': -5.4027057, ' two': -3.391789}
{' number': -5.80039, ' 1': -1.2848278, ' 2': -0.38972056, ' one': -5.2383504, ' two': -3.361869}
{' 2': -0.32817996, ' 1': -1.4417454, ' two': -3.408321, ' one': -5.4951844, ' number': -5.7874155}
{' #': -5.9985647, ' 1': -2.0836804, ' 2': -0.18856756, ' one': -5.88619, ' two': -3.2328963}
{' number': -5.828265, ' 1': -1.6572044, ' 2': -0.2687862, ' one': -5.662499, ' two': -3.3342881}
{' 2': -0.18817827, ' 1': -2.1955712, ' two': -2.9861271, ' #': -5.6897473, ' number': -5.7432585}
{' number': -5.818249, ' 1': -1.6594471, ' 2': -0.27368012, ' one': -5.5369015, ' two': -3.2415774}
{' 2': -0.29906583, ' 1': -1.5563974, ' two': -3.2886326, ' one': -5.4657607, ' number': -5.833273}
{' number': -5.816913, ' #': -5.6819024, ' 1': -2.7322147, ' 2': -0.13609202, ' two': -2.9234796}
{' number': -5.8178854, ' #': -5.7104497, ' 1': -2.383387, ' 2': -0.16501668, ' two': -2.978747}
{' number': -5.7443986, ' 1': -1.7639352, ' 2': -0.24938975, ' one': -5.661395, ' two': -3.2351587}
{' number': -5.8327775, ' 1': -1.9562002, ' 2': -0.20852713, ' one': -5.8716345, ' two': -3.2682822}
{' 2': -0.18020342, ' 1': -2.1517973, ' two': -3.2288177, ' number': -5.690888, ' #': -5.8250365}
{' number': -5.977404, ' #': -5.943486, ' 1': -2.0041244, ' 2': -0.19458866, ' two': -3.3721282}
{' #': -5.9008827, ' 1': -2.0290444, ' 2': -0.21437582, ' one': -5.6199803, ' two': -2.9462633}
{' #': -5.944739, ' 1': -2.4235563, ' 2': -0.15849213, ' one': -5.992853, ' two': -2.9876223}
{' 2': -0.17226638, ' 1': -2.2801003, ' two': -3.0393715, ' #': -5.878028, ' one': -5.911724}
{' #': -5.8318315, ' 1': -2.0340097, ' 2': -0.21071029, ' one': -5.5949764, ' two': -3.0003543}
{' #': -5.933747, ' 1': -1.9097861, ' 2': -0.21820267, ' one': -5.737066, ' two': -3.2390954}
{' #': -5.7815194, ' 1': -1.7783428, ' 2': -0.26296964, ' one': -5.3326535, ' two': -2.9618125}
{' #': -5.7270827, ' 1': -2.1712942, ' 2': -0.1922809, ' one': -5.7395263, ' two': -2.9667845}
{' #': -5.683852, ' 1': -1.749106, ' 2': -0.26823297, ' one': -5.281074, ' two': -2.9983885}
{' #': -5.689465, ' 1': -1.8960708, ' 2': -0.23827016, ' one': -5.4075556, ' two': -2.977877}
{' #': -5.73032, ' 1': -1.877129, ' 2': -0.2376827, ' one': -5.462252, ' two': -3.032042}
{' #': -5.668201, ' 1': -1.7618934, ' 2': -0.26961815, ' one': -5.280388, ' two': -2.9355767}
{' #': -5.756522, ' 1': -2.1001067, ' 2': -0.20540573, ' one': -5.556168, ' two': -2.9291909}
{' #': -5.613414, ' 1': -2.1346455, ' 2': -0.19944, ' one': -5.7147193, ' two': -2.9462602}
{' #': -5.621888, ' 1': -2.0721784, ' 2': -0.2071195, ' one': -5.6672773, ' two': -2.9748309}
{' number': -5.904796, ' #': -5.7154803, ' 1': -2.5100112, ' 2': -0.15648426, ' two': -2.9039032}
{' #': -5.75082, ' 1': -2.1631448, ' 2': -0.1967733, ' one': -5.7029085, ' two': -2.908485}
{' #': -5.6853185, ' 1': -1.9542285, ' 2': -0.2284253, ' one': -5.511278, ' two': -2.9571888}
{' #': -5.6639943, ' 1': -1.7752125, ' 2': -0.262729, ' one': -5.4169116, ' two': -2.9862337}
{' #': -5.718028, ' 1': -1.841876, ' 2': -0.24792407, ' one': -5.383684, ' two': -2.9909947}
{' #': -5.615987, ' 1': -1.5142796, ' 2': -0.32381374, ' one': -5.247813, ' two': -3.1081402}
{' #': -5.6339355, ' 1': -1.4135171, ' 2': -0.35983676, ' one': -5.1237354, ' two': -3.071724}
{' #': -5.612805, ' 1': -1.9530388, ' 2': -0.22809188, ' one': -5.4711185, ' two': -2.971643}
{' #': -5.630374, ' 1': -2.0137393, ' 2': -0.21930389, ' one': -5.603371, ' two': -2.937844}
{' #': -5.74394, ' 1': -2.3419874, ' 2': -0.17419967, ' one': -5.8552303, ' two': -2.9029994}
{' 2': -0.14767252, ' 1': -2.5727594, ' two': -2.9461226, ' #': -5.7275543, ' number': -5.9219804}
{' #': -5.6656594, ' 1': -1.3061516, ' 2': -0.38254288, ' one': -5.204056, ' two': -3.3381283}
{' number': -5.9039645, ' #': -5.6613274, ' 1': -2.640517, ' 2': -0.14629817, ' two': -2.879523}
{' #': -5.4934025, ' 1': -2.0080261, ' 2': -0.22418611, ' one': -5.5780325, ' two': -2.8941364}
{' 2': -0.14555152, ' 1': -2.703842, ' two': -2.8132646, ' #': -5.7046533, ' number': -5.92722}
{' #': -5.672106, ' 1': -2.5262423, ' 2': -0.15773688, ' one': -5.9591618, ' two': -2.8619967}
{' number': -5.906924, ' #': -5.6500425, ' 1': -2.894963, ' 2': -0.13300419, ' two': -2.7987354}
{' #': -5.646278, ' 1': -2.5047035, ' 2': -0.15999414, ' one': -5.934346, ' two': -2.8619688}
{' number': -5.9445453, ' #': -5.6848574, ' 1': -2.7988913, ' 2': -0.13631456, ' two': -2.841225}
{' number': -5.996508, ' #': -5.67296, ' 1': -3.0488658, ' 2': -0.11351923, ' two': -2.9506488}
{' 2': -0.10976454, ' two': -2.8813522, ' 1': -3.218363, ' #': -5.6619325, ' number': -5.8597317}
{' 2': -0.2281846, ' 1': -1.8449237, ' two': -3.2752006, ' one': -5.7809453, ' #': -5.908962}
{' number': -6.0690694, ' 1': -2.2603676, ' 2': -0.1813024, ' one': -5.824532, ' two': -2.9210598}
{' number': -6.036805, ' 1': -2.221598, ' 2': -0.18259475, ' one': -5.8468, ' two': -2.9803069}
{' number': -6.002153, ' 1': -2.3276339, ' 2': -0.16836463, ' one': -5.9750905, ' two': -2.99574}
{' number': -6.0837307, ' 1': -2.317207, ' 2': -0.1692998, ' one': -5.9531198, ' two': -2.9962726}
{' 2': -0.25802615, ' 1': -1.700308, ' two': -3.3049698, ' one': -5.703125, ' number': -5.965188}
{' number': -6.066838, ' 1': -1.8046159, ' 2': -0.25179002, ' one': -5.4319787, ' two': -3.0174053}
{' number': -6.013406, ' 1': -1.3695829, ' 2': -0.3521897, ' one': -5.4270444, ' two': -3.3929036}
{' number': -5.9710336, ' 1': -1.1569227, ' 2': -0.4438717, ' one': -5.124379, ' two': -3.4064016}
{' number': -5.9302783, ' 1': -1.9564626, ' 2': -0.22248042, ' one': -5.5729012, ' two': -3.0162046}
{' number': -6.039855, ' 1': -2.0436823, ' 2': -0.20449483, ' one': -5.7355595, ' two': -3.053322}
{' number': -6.0335283, ' 1': -1.9249206, ' 2': -0.23210299, ' one': -5.4783053, ' two': -2.9553466}
{' #': -6.0274925, ' 1': -1.7907802, ' 2': -0.24950701, ' one': -5.5238647, ' two': -3.1006172}
{' 2': -0.1626929, ' 1': -2.3950365, ' two': -2.9718566, ' #': -5.9445314, ' number': -5.9890523}
{' number': -6.0555696, ' #': -6.0284085, ' 1': -2.43871, ' 2': -0.15270513, ' two': -3.0540724}
{' number': -5.942705, ' 1': -1.6211712, ' 2': -0.28081834, ' one': -5.5368004, ' two': -3.2638943}
{' #': -6.038392, ' 1': -2.4144683, ' 2': -0.16474304, ' one': -5.9451065, ' two': -2.9015956}
{' number': -5.9380674, ' 1': -2.1268556, ' 2': -0.19489065, ' one': -5.785983, ' two': -3.0051017}
{' number': -5.90627, ' 1': -1.8849639, ' 2': -0.23498164, ' one': -5.5557423, ' two': -3.0286386}
{' 2': -0.21537182, ' 1': -2.0061011, ' two': -2.9857612, ' one': -5.6062427, ' number': -5.9721065}
{' number': -5.9987664, ' 1': -1.7712765, ' 2': -0.25306126, ' one': -5.5213504, ' two': -3.115747}
{' number': -5.9780955, ' 1': -1.7393588, ' 2': -0.26587296, ' one': -5.4258785, ' two': -3.0318222}
{' number': -6.0168695, ' 1': -2.1435523, ' 2': -0.19232692, ' one': -5.7737703, ' two': -3.004289}
{' number': -6.0005755, ' 1': -2.162452, ' 2': -0.18504462, ' one': -5.9145885, ' two': -3.0773363}
{' number': -5.9991755, ' 1': -2.1028712, ' 2': -0.19928385, ' one': -5.7618012, ' two': -2.9886627}
{' number': -5.956945, ' #': -6.008257, ' 1': -2.3859582, ' 2': -0.16063163, ' two': -3.0186427}
{' #': -6.0496383, ' 1': -1.7604996, ' 2': -0.2503048, ' one': -5.572135, ' two': -3.2007654}
{' number': -6.033102, ' #': -6.0666113, ' 1': -2.5908384, ' 2': -0.14455119, ' two': -2.9429805}
{' number': -5.953595, ' #': -5.9752207, ' 1': -2.4078903, ' 2': -0.16403972, ' two': -2.927605}
{' number': -5.9772396, ' #': -6.0105743, ' 1': -2.6414592, ' 2': -0.14547238, ' two': -2.8685937}
{' number': -6.02987, ' #': -5.969383, ' 1': -2.473879, ' 2': -0.15682627, ' two': -2.9298956}
{' number': -5.9898705, ' #': -5.9994473, ' 1': -2.7525036, ' 2': -0.13734354, ' two': -2.8568203}
{' 2': -0.13712448, ' 1': -2.6700776, ' two': -2.954202, ' #': -5.9914017, ' number': -6.1106863}
{' number': -6.0394063, ' #': -6.003298, ' 1': -2.867321, ' 2': -0.124752164, ' two': -2.922594}
{' number': -6.0422316, ' #': -6.002184, ' 1': -2.834294, ' 2': -0.1230077, ' two': -2.9877138}
{' 2': -0.16405159, ' 1': -2.2905335, ' two': -3.1565135, ' number': -5.9244924, ' #': -6.0508842}
{' #': -6.139426, ' 1': -1.7366048, ' 2': -0.24668515, ' one': -5.788662, ' two': -3.3496513}
{' #': -5.548287, ' 1': -2.137073, ' 2': -0.20325817, ' one': -5.551683, ' two': -2.8987575}
{' #': -5.5205865, ' 1': -2.3143404, ' 2': -0.1774842, ' one': -5.7671437, ' two': -2.9250617}
{' #': -5.4995713, ' 1': -2.2328677, ' 2': -0.18360282, ' one': -5.77108, ' two': -2.992719}
{' 2': -0.22020909, ' 1': -1.9901104, ' two': -3.0027542, ' #': -5.472991, ' one': -5.51556}
{' #': -5.569468, ' 1': -1.9083755, ' 2': -0.22141923, ' one': -5.6657844, ' two': -3.2258327}
{' #': -5.5425863, ' 1': -2.0204668, ' 2': -0.22064303, ' one': -5.421949, ' two': -2.915784}
{' #': -5.428756, ' 1': -1.9791303, ' 2': -0.22127026, ' one': -5.554606, ' two': -3.0217404}
{' 2': -0.24298234, ' 1': -1.8538318, ' two': -3.050235, ' one': -5.3887525, ' #': -5.5244308}
{' #': -5.379865, ' 1': -1.859505, ' 2': -0.24353077, ' one': -5.3837967, ' two': -3.0418038}
{' #': -5.4129434, ' 1': -1.7454518, ' 2': -0.26796037, ' one': -5.2990003, ' two': -3.0418897}
{' #': -5.467695, ' 1': -2.029923, ' 2': -0.21874095, ' one': -5.4233003, ' two': -2.929688}
{' #': -5.455834, ' 1': -1.9280156, ' 2': -0.23185809, ' one': -5.412396, ' two': -3.0023885}
{' #': -5.4073515, ' 1': -2.30845, ' 2': -0.17898111, ' one': -5.777257, ' two': -2.9260914}
{' #': -5.431586, ' 1': -2.3278754, ' 2': -0.17363027, ' one': -5.807287, ' two': -2.9698167}
{' 2': -0.16587462, ' 1': -2.432707, ' two': -2.9082546, ' #': -5.438307, ' number': -5.79694}
{' 2': -0.15642118, ' 1': -2.5459895, ' two': -2.880151, ' #': -5.407108, ' number': -5.8792253}
{' #': -5.346799, ' 1': -1.9855949, ' 2': -0.22030175, ' one': -5.55585, ' two': -3.034015}
{' 2': -0.18363392, ' 1': -2.2423668, ' two': -2.9797533, ' #': -5.466199, ' one': -5.7537317}
{' #': -5.3806715, ' 1': -1.8501648, ' 2': -0.24559252, ' one': -5.390891, ' two': -3.0374608}
{' #': -5.4195027, ' 1': -1.7240094, ' 2': -0.26628384, ' one': -5.3694377, ' two': -3.1415257}
{' #': -5.45871, ' 1': -2.039008, ' 2': -0.21180429, ' one': -5.560571, ' two': -3.006211}
{' #': -5.3596773, ' 1': -1.8798093, ' 2': -0.24305639, ' one': -5.3763847, ' two': -2.985242}
{' #': -5.4018106, ' 1': -2.2494802, ' 2': -0.18556494, ' one': -5.738743, ' two': -2.9419906}
{' 2': -0.21168268, ' 1': -2.0494206, ' two': -2.9848454, ' #': -5.425662, ' one': -5.595835}
{' number': -5.809967, ' #': -5.412678, ' 1': -2.2874823, ' 2': -0.17631246, ' two': -3.0070293}
{' number': -5.9335637, ' #': -5.434969, ' 1': -2.6700864, ' 2': -0.14660875, ' two': -2.8561845}
{' number': -5.8256454, ' #': -5.410486, ' 1': -2.6096473, ' 2': -0.14606224, ' two': -2.9483922}
{' number': -5.7631726, ' #': -5.353867, ' 1': -2.349242, ' 2': -0.17672619, ' two': -2.8946044}
{' number': -5.8241477, ' #': -5.372141, ' 1': -2.5426095, ' 2': -0.15689586, ' two': -2.8817682}
{' #': -5.3930426, ' 1': -2.384821, ' 2': -0.17337036, ' one': -5.789364, ' two': -2.8765278}
{' number': -5.808297, ' #': -5.343032, ' 1': -2.628194, ' 2': -0.1500199, ' two': -2.8713715}
{' number': -5.8670487, ' #': -5.363936, ' 1': -2.4846716, ' 2': -0.16062818, ' two': -2.9083984}
{' number': -5.8229337, ' #': -5.3633842, ' 1': -2.7176542, ' 2': -0.14040871, ' two': -2.9010613}
{' number': -5.8530254, ' #': -5.402469, ' 1': -2.80016, ' 2': -0.132384, ' two': -2.926028}
{' number': -5.734981, ' #': -5.330139, ' 1': -3.2910814, ' 2': -0.10622503, ' two': -2.9192016}
{' 2': -0.17307083, ' 1': -2.2058525, ' two': -3.2274358, ' #': -5.5665708, ' one': -5.951756}
{' number': -5.9685187, ' 1': -2.3135831, ' 2': -0.17885941, ' one': -5.799478, ' two': -2.870956}
{' number': -5.9865875, ' 1': -2.4750216, ' 2': -0.16012782, ' one': -5.967369, ' two': -2.8801787}
{' #': -5.917925, ' 1': -2.190502, ' 2': -0.18815222, ' one': -5.7967854, ' two': -2.974508}
{' #': -5.9654374, ' 1': -2.3318965, ' 2': -0.17196748, ' one': -5.888091, ' two': -2.940425}
{' number': -5.871031, ' #': -5.9810934, ' 1': -2.8085132, ' 2': -0.13013628, ' two': -2.9109724}
{' #': -5.9344773, ' 1': -2.047825, ' 2': -0.21429087, ' one': -5.521901, ' two': -2.9094317}
{' number': -5.8641105, ' 1': -2.237864, ' 2': -0.18595967, ' one': -5.7855535, ' two': -2.9165027}
{' 2': -0.25224325, ' 1': -1.8223612, ' two': -2.9816246, ' one': -5.3831735, ' number': -5.8487434}
{' #': -5.838804, ' 1': -2.1233337, ' 2': -0.20353203, ' one': -5.594909, ' two': -2.9046733}
{' #': -5.9386725, ' 1': -2.2772899, ' 2': -0.17893925, ' one': -5.8024316, ' two': -2.9409535}
{' #': -5.8357525, ' 1': -1.940155, ' 2': -0.23655139, ' one': -5.3871927, ' two': -2.8731363}
{' #': -5.898655, ' 1': -2.3279316, ' 2': -0.17697838, ' one': -5.782802, ' two': -2.8822815}
{' number': -5.8897038, ' #': -5.830452, ' 1': -2.5871477, ' 2': -0.15200353, ' two': -2.856107}
{' 2': -0.16761288, ' 1': -2.3743808, ' two': -2.9429557, ' #': -5.870434, ' one': -5.897543}
{' number': -5.864764, ' #': -5.897113, ' 1': -2.6454892, ' 2': -0.14582518, ' two': -2.8695648}
{' #': -5.84443, ' 1': -2.2804039, ' 2': -0.1807373, ' one': -5.8681984, ' two': -2.907105}
{' number': -5.7936254, ' 1': -2.1608448, ' 2': -0.19827287, ' one': -5.696734, ' two': -2.8976727}
{' number': -5.8514686, ' 1': -2.351772, ' 2': -0.17335285, ' one': -5.8624573, ' two': -2.8964667}
{' #': -5.859151, ' 1': -2.0698016, ' 2': -0.21233004, ' one': -5.5503116, ' two': -2.8952143}
{' #': -5.8354173, ' 1': -1.8404751, ' 2': -0.24619089, ' one': -5.440054, ' two': -3.0130897}
{' #': -5.752881, ' 1': -1.9813381, ' 2': -0.22499044, ' one': -5.528189, ' two': -2.9312072}
{' #': -5.829932, ' 1': -2.1122642, ' 2': -0.20296453, ' one': -5.6283846, ' two': -2.9329715}
{' number': -5.895044, ' #': -5.8729153, ' 1': -2.5842023, ' 2': -0.14951554, ' two': -2.8936028}
{' number': -5.933468, ' #': -5.935355, ' 1': -2.4627562, ' 2': -0.16427332, ' two': -2.8438997}
{' number': -5.8923326, ' #': -5.8790193, ' 1': -2.7900982, ' 2': -0.13118958, ' two': -2.918705}
{' #': -5.830867, ' 1': -2.455072, ' 2': -0.162622, ' one': -5.945751, ' two': -2.8831286}
{' number': -5.893759, ' #': -5.8395276, ' 1': -2.8146877, ' 2': -0.13131946, ' two': -2.8911173}
{' number': -5.841546, ' #': -5.8052907, ' 1': -2.5836728, ' 2': -0.15301259, ' two': -2.8490136}
{' number': -5.8781734, ' #': -5.832612, ' 1': -2.8350923, ' 2': -0.13609509, ' two': -2.802616}
{' number': -5.948671, ' #': -5.8553762, ' 1': -2.6777787, ' 2': -0.14372098, ' two': -2.8592548}
{' number': -5.8819933, ' #': -5.8269854, ' 1': -2.8313224, ' 2': -0.137721, ' two': -2.7833567}
{' number': -5.9955225, ' #': -5.8992796, ' 1': -2.7864034, ' 2': -0.13776383, ' two': -2.8193092}
{' number': -5.888388, ' #': -5.8206115, ' 1': -2.9717216, ' 2': -0.126114, ' two': -2.818773}
{' number': -5.9708314, ' #': -5.878944, ' 1': -3.068945, ' 2': -0.116028, ' two': -2.8799002}
{' 2': -0.10234204, ' two': -2.8544304, ' 1': -3.4228396, ' number': -5.837534, ' #': -5.837894}
{' #': -5.9907737, ' 1': -1.8703341, ' 2': -0.22551884, ' one': -5.7470837, ' two': -3.2271879}
{' number': -5.9669085, ' 1': -1.2239294, ' 2': -0.42071232, ' one': -5.1251493, ' two': -3.2636118}
{' number': -5.9616227, ' 1': -1.1754351, ' 2': -0.43834588, ' one': -5.186738, ' two': -3.3363025}
{' number': -5.9234676, ' 1': -1.1231642, ' 2': -0.46312988, ' one': -5.1946144, ' two': -3.3671653}
{' number': -5.929542, ' 1': -1.1700234, ' 2': -0.4400983, ' one': -5.2177196, ' two': -3.3411946}
{' number': -5.9074063, ' 1': -1.4650002, ' 2': -0.32522398, ' one': -5.500818, ' two': -3.2851846}
{' 2': -0.515882, ' 1': -1.0305077, ' two': -3.3637745, ' one': -4.9372554, ' number': -6.0635886}
{' number': -5.921161, ' 1': -1.1291525, ' 2': -0.4599231, ' one': -5.198431, ' two': -3.3675978}
{' #': -6.038484, ' 1': -1.0698235, ' 2': -0.49702176, ' one': -4.942442, ' two': -3.3124666}
{' number': -5.9113383, ' 1': -0.9756705, ' 2': -0.5468052, ' one': -4.987169, ' two': -3.4429767}
{' 2': -0.58548963, ' 1': -0.9149248, ' two': -3.4970207, ' one': -4.9318504, ' number': -5.9878607}
{' number': -5.9809046, ' 1': -0.9446415, ' 2': -0.57464063, ' one': -4.7976437, ' two': -3.3586507}
{' number': -6.002235, ' 1': -0.9464383, ' 2': -0.5647113, ' one': -4.9258943, ' two': -3.4735453}
{' #': -5.934824, ' 1': -1.2188966, ' 2': -0.4219072, ' one': -5.110769, ' two': -3.2922456}
{' #': -5.7855306, ' 1': -1.2090621, ' 2': -0.4244876, ' one': -5.192795, ' two': -3.339639}
{' number': -5.8793144, ' 1': -1.3794404, ' 2': -0.35889462, ' one': -5.2876787, ' two': -3.22867}
{' number': -5.96759, ' 1': -1.9205582, ' 2': -0.23495036, ' one': -5.530724, ' two': -2.927268}
{' #': -5.8374424, ' 1': -1.1389655, ' 2': -0.46199983, ' one': -5.0775447, ' two': -3.2814121}
{' number': -5.871559, ' 1': -1.0990796, ' 2': -0.47871247, ' one': -5.088445, ' two': -3.340353}
{' 2': -0.47145498, ' 1': -1.1122421, ' two': -3.3570294, ' one': -5.0847864, ' #': -5.840259}
{' 2': -0.49443159, ' 1': -1.0666763, ' two': -3.391158, ' one': -5.0281925, ' #': -5.8463674}
{' 2': -0.55391985, ' 1': -0.96976006, ' two': -3.401101, ' one': -4.9012003, ' number': -5.9499707}
{' number': -5.933847, ' 1': -1.1496495, ' 2': -0.45164207, ' one': -5.119914, ' two': -3.3473177}
{' number': -5.849307, ' 1': -1.2267977, ' 2': -0.41753632, ' one': -5.1926236, ' two': -3.2885137}
{' #': -6.0476327, ' 1': -1.2177479, ' 2': -0.42527884, ' one': -5.0699778, ' two': -3.237895}
{' number': -5.9055924, ' 1': -1.3722285, ' 2': -0.3606338, ' one': -5.3060594, ' two': -3.2414205}
{' number': -5.9313836, ' 1': -2.2853067, ' 2': -0.18423635, ' one': -5.8466487, ' two': -2.8431816}
{' 2': -0.17168896, ' 1': -2.4046695, ' two': -2.8261116, ' number': -5.874362, ' one': -5.953397}
{' number': -5.840196, ' 1': -1.342925, ' 2': -0.37567225, ' one': -5.274944, ' two': -3.1933064}
{' 2': -0.33437368, ' 1': -1.4604075, ' two': -3.180725, ' one': -5.3514175, ' number': -5.883663}
{' number': -5.7907743, ' 1': -1.9835812, ' 2': -0.22937937, ' one': -5.557976, ' two': -2.8558743}
{' number': -5.8069224, ' 1': -1.5599264, ' 2': -0.30882782, ' one': -5.359854, ' two': -3.1090138}
{' 2': -0.33840585, ' 1': -1.4392626, ' two': -3.2243137, ' one': -5.315776, ' #': -5.904083}
{' #': -5.858893, ' 1': -1.6134117, ' 2': -0.28915468, ' one': -5.451918, ' two': -3.1743855}
{' 2': -0.2827663, ' 1': -1.6281222, ' two': -3.2187138, ' one': -5.559659, ' #': -5.8081026}
{' number': -5.78465, ' 1': -1.8804189, ' 2': -0.23365231, ' one': -5.691896, ' two': -3.063267}
{' number': -6.0404134, ' 1': -1.5138727, ' 2': -0.30952516, ' one': -5.5673223, ' two': -3.2820745}
{' number': -6.0870066, ' 1': -1.4082884, ' 2': -0.35579038, ' one': -5.188563, ' two': -3.1122868}
{' number': -5.954555, ' 1': -1.4609386, ' 2': -0.33659476, ' one': -5.332429, ' two': -3.1229331}
{' number': -5.949049, ' 1': -1.3429912, ' 2': -0.37525022, ' one': -5.2806892, ' two': -3.17557}
{' 2': -0.41528016, ' 1': -1.2320985, ' two': -3.2722077, ' one': -5.2125173, ' number': -6.018395}
{' number': -5.903914, ' 1': -1.7183559, ' 2': -0.2652214, ' one': -5.589994, ' two': -3.1066327}
{' number': -6.131505, ' 1': -1.3680402, ' 2': -0.36795813, ' one': -5.157461, ' two': -3.1428356}
{' number': -5.9541326, ' 1': -1.3182887, ' 2': -0.38361725, ' one': -5.26229, ' two': -3.1995482}
{' #': -5.9353228, ' 1': -1.0477359, ' 2': -0.509608, ' one': -4.96645, ' two': -3.3187642}
{' number': -5.9530697, ' 1': -1.23279, ' 2': -0.42101094, ' one': -5.0952272, ' two': -3.1967888}
{' number': -5.933579, ' 1': -1.2970979, ' 2': -0.3957574, ' one': -5.149683, ' two': -3.158424}
{' #': -5.921363, ' 1': -1.1360697, ' 2': -0.46957916, ' one': -4.9191585, ' two': -3.1922696}
{' #': -5.91704, ' 1': -1.2710353, ' 2': -0.4064151, ' one': -5.104163, ' two': -3.1704664}
{' #': -5.8091235, ' 1': -1.3013582, ' 2': -0.3946142, ' one': -5.182029, ' two': -3.1610265}
{' number': -5.850066, ' 1': -1.4321551, ' 2': -0.34765002, ' one': -5.2674513, ' two': -3.1209173}
{' number': -5.8638725, ' 1': -1.6652519, ' 2': -0.28503913, ' one': -5.4121847, ' two': -3.0176404}
{' #': -5.93826, ' 1': -1.6371249, ' 2': -0.29235458, ' one': -5.3444314, ' two': -3.01799}
{' #': -5.8837914, ' 1': -1.4616431, ' 2': -0.3391418, ' one': -5.3054442, ' two': -3.1004903}
{' 2': -0.4034958, ' 1': -1.2744656, ' two': -3.1895196, ' one': -5.171318, ' #': -5.920304}
{' number': -5.965056, ' 1': -1.1349639, ' 2': -0.46472535, ' one': -5.016554, ' two': -3.2539253}
{' 2': -0.5541904, ' 1': -0.9768607, ' two': -3.327458, ' one': -4.849741, ' number': -5.9309926}
{' #': -5.95056, ' 1': -1.0998379, ' 2': -0.4858147, ' one': -4.9426436, ' two': -3.2335887}
{' number': -5.8870764, ' 1': -1.2327453, ' 2': -0.42336002, ' one': -5.0646305, ' two': -3.1694176}
{' number': -5.8754907, ' 1': -1.5058261, ' 2': -0.3235581, ' one': -5.3385286, ' two': -3.1099522}
{' number': -5.9638543, ' 1': -1.5224732, ' 2': -0.31862348, ' one': -5.3742657, ' two': -3.1002278}
