{' even': -1.0942594, ' odd': -1.5870781, ' Right': -2.7791169, ' the': -3.3494256, ' 0': -3.576772}
{' odd': -0.071975164, ' Odd': -3.033233, ' ': -5.4041266, ':': -5.852067, '\n': -5.9038935}
{' ': -5.3074393, ':': -5.181393, ' Even': -4.7835994, ' odd': -5.5097756, ' even': -0.03676202}
{' odd': -0.1730084, ' Odd': -1.9076849, '\n': -6.0955224, ' ': -6.1363053, ':': -6.82106}
{'\n': -5.895833, ' ': -5.0322747, ':': -4.9000974, ' Even': -3.2193027, ' even': -0.07038754}
{' Odd': -3.4071343, ' 1': -4.4866786, ' odd': -0.0772654, ' 0': -5.260464, ' even': -5.3430533}
{' an': -5.687633, ' Even': -4.3987947, ' odd': -3.399853, ' 0': -5.1605277, ' even': -0.087798744}
{':': -4.034743, ' 1': -3.4183497, ' odd': -2.3250377, ' 0': -2.1189916, ' even': -0.5078961}
{' even': -0.041380424, ' 0': -4.7349524, ':': -4.815777, ' Even': -4.993972, ' EVEN': -5.6034555}
{' odd': -0.9330331, ' even': -1.4964371, ':': -2.7096424, ' Odd': -2.8899965, ' 1': -3.0526476}
{' ': -5.136386, ':': -5.2152586, ' Even': -4.61304, ' odd': -5.5057983, ' even': -0.043739602}
{' odd': -0.48080695, ' even': -1.374745, ' Odd': -3.4830139, ' 1': -3.6394193, ' 0': -4.040917}
{' ': -5.486257, ':': -4.08017, ' Even': -3.5710864, ' odd': -5.22722, ' even': -0.070450604}
{' odd': -0.18602076, ' even': -2.451001, ' Odd': -3.5613754, ':': -3.7077835, ' ': -5.088005}
{' even': -0.058089066, ':': -3.8236747, ' Even': -3.9903085, ' ': -5.44035, ' an': -5.650173}
{' Odd': -4.181918, ' ': -6.2694464, ':': -5.8152194, ' odd': -0.043966603, ' even': -4.212557}
{':': -3.2710423, ' 1': -4.2926345, ' odd': -2.663699, ' 0': -2.9181736, ' even': -0.26102048}
{' odd': -0.19143835, ':': -3.1750302, ' even': -3.5990052, ' ': -3.6144767, ' Odd': -3.7329361}
{' even': -0.065057985, ' Even': -3.6645682, ':': -4.0460987, ' ': -4.9360447, '\n': -5.7107177}
{' Odd': -4.821587, ' an': -5.8577023, ' ->': -6.1008906, ' odd': -0.030365918, ' even': -4.956705}
{' ': -4.7272096, ':': -4.9791036, ' Even': -4.469058, ' odd': -4.9966383, ' even': -0.049564704}
{' Odd': -2.6167438, ':': -4.2787147, ' Even': -4.787344, ' odd': -0.35932437, ' even': -1.693176}
{' even': -0.150709, ' 0': -3.1848502, ' Even': -3.385962, ':': -4.5012584, ' ': -4.726541}
{' Odd': -2.7239344, ':': -5.138114, ' 1': -4.5437984, ' odd': -0.107412696, ' even': -5.157963}
{' even': -0.107335456, ':': -3.989628, ' 0': -3.9911385, '\n': -4.0033216, ' ': -4.0174723}
{' odd': -0.19716196, ' Odd': -2.1836703, ' 1': -3.6308596, ' ': -4.03284, '\n': -5.1115046}
{' ': -6.0277324, ' Even': -4.785306, ' odd': -6.4104066, ' 0': -6.070182, ' even': -0.02155696}
{' Odd': -2.8784132, ':': -4.1318784, ' 1': -4.166833, ' odd': -0.250698, ' even': -2.4304225}
{'\n': -5.7484655, ' ': -5.218537, ':': -5.5878763, ' Even': -4.510236, ' even': -0.034765694}
{' Odd': -4.8146973, ' ': -7.0905437, ' an': -7.6614766, ' odd': -0.014674431, ' even': -5.6210303}
{'\n': -5.4716134, ' ': -4.65568, ':': -5.3608127, ' Even': -3.2424731, ' even': -0.07908698}
{' odd': -0.24395956, ' 1': -2.208114, ' Odd': -3.0289192, ' ': -4.1409616, ':': -4.2648582}
{'\n': -4.853253, ' ': -3.964323, ':': -3.993901, ' Even': -3.9383774, ' even': -0.096712604}
{' Odd': -3.5001934, ':': -7.1540494, ' 1': -5.2023273, ' odd': -0.0578992, ' even': -4.082898}
{' even': -0.024708956, ' ': -5.2916183, ' Even': -5.690039, '\n': -5.844866, ':': -5.991927}
{' odd': -0.1184366, ' Odd': -3.0263257, ' 1': -3.973196, ':': -4.4465694, ' ': -4.570987}
{' even': -0.1404557, ' odd': -3.3153567, ' 0': -3.8180506, ' Even': -4.136066, ':': -4.452137}
{'\n': -2.5966005, ' Odd': -2.929675, ' 1': -2.9390507, ' odd': -0.54220796, ' even': -2.6068478}
{' ': -3.9968004, ':': -3.3413718, ' Even': -3.694442, ' 0': -1.2306883, ' even': -0.58710897}
{' odd': -0.075962044, ' Odd': -3.2619581, ' 1': -5.372419, ':': -5.376563, '\n': -5.458587}
{' even': -0.03253375, ' odd': -3.81334, ' Even': -5.287032, ' ': -6.9746413, ' Odd': -7.608246}
{' Odd': -2.7869015, ' ': -5.8724303, ':': -6.779594, ' 1': -5.1971197, ' odd': -0.07740507}
{' ': -5.384813, ':': -5.374761, ' Even': -5.263144, ' odd': -4.7301326, ' even': -0.047398075}
{'\n': -6.457264, ' Odd': -3.7284226, ' ': -6.267364, ' odd': -0.044243556, ' even': -4.6008105}
{'\n': -6.5320444, ' ': -5.9195194, ':': -5.5230064, ' Even': -5.3288536, ' even': -0.019848011}
{' odd': -0.030055564, ' Odd': -4.3790617, ' even': -4.441287, ' ': -7.0417643, ' an': -7.093886}
{'\n': -6.0237536, ' ': -5.911055, ' Even': -4.9114213, ' odd': -4.4174027, ' even': -0.041025702}
{'\n': -4.2480116, ' Odd': -2.7251794, ':': -4.576865, ' odd': -0.23756795, ' even': -2.5074713}
{' even': -0.019818945, ' odd': -5.084844, ' Even': -5.1857734, ':': -5.842229, ' ': -6.7605467}
{' odd': -0.0480778, ' Odd': -3.4953647, ' even': -5.659772, ' ': -5.89194, '\n': -5.909157}
{' even': -0.07061293, ' Even': -4.198843, '\n': -4.382338, ':': -4.4551325, ' ': -4.816217}
{' -->': -5.363468, '\n': -4.710686, ' Odd': -2.0967307, ':': -4.6418653, ' odd': -0.18186826}
{' even': -0.02567485, ' Even': -4.608366, ':': -5.58629, ' ': -5.633439, '?': -6.490686}
{' odd': -0.26871982, ' Odd': -2.459822, ' 1': -2.790845, '\n': -3.4944458, ' ': -4.0857162}
{' ': -4.5170016, ':': -4.6949778, ' Even': -3.9968994, ' 0': -4.8569694, ' even': -0.07405078}
{' Odd': -3.5428352, ' 1': -3.173089, ' odd': -0.146764, ' 0': -4.0756793, ' even': -3.7074206}
{' even': -0.046834826, ' odd': -3.7612848, ' Even': -4.9665365, ' an': -5.4900045, ' 0': -6.550671}
{' even': -0.87078863, ' odd': -0.89546406, ' 1': -3.6084082, ' 0': -3.6893158, ':': -3.6897476}
{' even': -0.08443199, ':': -3.4307578, ' Even': -4.196189, ' EVEN': -4.840806, ' 0': -5.335106}
{' odd': -0.057705577, ' Odd': -3.5447793, ' even': -4.84333, ':': -5.534678, ' ': -5.5442376}
{' even': -0.049506772, ':': -4.487764, ' Even': -4.7143397, ' 0': -5.289989, ' ': -5.2903876}
{' odd': -0.10632479, ' 1': -3.1070504, ' Odd': -3.8130136, ' even': -4.041322, ':': -5.4047704}
{' ': -6.6366024, ':': -6.321932, ' Even': -5.5339413, ' odd': -6.8682575, ' even': -0.010462245}
{' Odd': -3.0632496, ' ': -6.5092463, ':': -6.386512, ' odd': -0.0986586, ' even': -3.2669983}
{' ': -4.8690863, ':': -4.1466765, ' an': -5.456746, ' Even': -4.2853394, ' even': -0.059076518}
{' odd': -0.20704728, ' Odd': -2.7616518, ' 1': -3.2411964, ' even': -3.3050337, ':': -4.781346}
{' even': -0.059219554, ' Even': -3.5247107, ':': -4.4789066, ' odd': -5.5262585, ' ': -5.795733}
{' odd': -0.7457086, ' even': -1.835953, ' 1': -2.0103333, ' 0': -2.2178755, ':': -3.569704}
{' ': -6.3573494, ' an': -6.0510907, ' Even': -4.6628885, ' odd': -6.3938704, ' even': -0.019551411}
{' odd': -0.084499575, ' Odd': -3.2004042, ':': -5.1368685, ' "': -5.3885508, ' an': -5.567175}
{' even': -0.03994889, ' ': -4.5397563, ' Even': -4.896372, ':': -5.237809, '\n': -5.2388906}
{' Odd': -2.6888144, ' ': -4.08786, ':': -3.9531624, ' 1': -3.9818003, ' odd': -0.16874164}
{' even': -0.12843445, ' 0': -3.191323, ':': -3.8524857, ' Even': -4.523381, ' ': -4.708111}
{' Odd': -3.431881, ' ': -5.830356, ' 1': -5.5388117, ' odd': -0.06561754, ' even': -4.068016}
{'\n': -7.3131056, ' ': -7.346668, ':': -6.9157796, ' Even': -5.357111, ' even': -0.0086545255}
{' Odd': -3.4610393, ' ': -4.709563, ':': -5.1836147, ' 1': -2.6162536, ' odd': -0.15370373}
{' ': -5.1797614, ' Even': -4.5438323, ' odd': -4.868499, ' 0': -3.648537, ' even': -0.080516316}
{' odd': -0.09554703, ' even': -2.838377, ' Odd': -4.454132, '\n': -5.4809914, ':': -5.61667}
{' ': -5.2231007, ':': -4.6422253, ' Even': -4.1028113, ' EVEN': -4.7236323, ' even': -0.05665054}
{'\n': -6.5394096, ' Odd': -3.6745825, ' ': -6.0379605, ' 1': -5.483224, ' odd': -0.041675925}
{' -->': -4.0813026, ' ': -3.848252, ':': -2.9321656, ' Even': -2.2679238, ' even': -0.2842575}
{' odd': -0.30502722, ' 1': -1.7507486, ' Odd': -3.502222, ' ': -3.9747114, ' 0': -4.544668}
{' ': -3.9623983, ':': -3.8371983, ' Even': -4.4562507, ' odd': -4.338131, ' even': -0.10327632}
{' odd': -0.10104291, ' Odd': -2.608081, ':': -5.3837757, '\n': -5.444727, ' ': -5.621986}
{' even': -0.028391473, ':': -4.533995, ' Even': -5.1348557, ' ': -5.6059537, '\n': -6.0053144}
{' Odd': -3.6700149, ':': -5.640857, ' 1': -5.066455, ' odd': -0.059419166, ' even': -4.5966825}
{' even': -0.023998365, ' Even': -4.9864483, ' odd': -5.2094374, ' 0': -5.2288685, ':': -6.6807346}
{' odd': -0.46338415, ' Odd': -2.223023, ' 1': -2.726975, ' ': -3.0790255, ' even': -3.5592484}
{' even': -0.4890279, ' 0': -1.311142, ' Even': -3.6939247, ':': -3.745059, ' ': -4.2330084}
{'\n': -6.924499, ' Odd': -3.252346, ' ': -6.811975, ' 1': -5.762284, ' odd': -0.047495827}
{'\n': -4.783647, ' ': -4.376779, ':': -5.089726, ' 0': -3.2581105, ' even': -0.08548243}
{' odd': -0.050995737, ' Odd': -3.6667945, ' even': -4.648909, ' ': -5.7546163, ' 1': -6.1377115}
{' ': -4.739181, ':': -3.9799917, ' Even': -3.1778078, ' odd': -4.565522, ' even': -0.114466615}
{' odd': -0.18942824, ' Odd': -2.230624, ' even': -4.3027577, '\n': -4.422735, ' ': -4.556147}
{' even': -0.03174586, ' Even': -4.4592257, ':': -4.935265, ' ': -6.0987806, '\n': -6.1072154}
{'\n': -4.0996804, ' Odd': -2.4740298, ' ': -4.540514, ' 1': -4.3000126, ' odd': -0.15158097}
{' Even': -4.5630937, ' EVEN': -5.438128, ' odd': -5.796284, ' 0': -5.096994, ' even': -0.04308474}
{'\n': -3.0974708, ' 1': -1.7832438, ' odd': -0.64281905, ' 0': -2.585361, ' even': -2.694818}
{':': -5.1107783, ' Even': -5.1343436, ' odd': -5.211141, ' 0': -5.1188483, ' even': -0.046434898}
{' odd': -0.10307469, ' Odd': -3.3446333, ' even': -3.8889194, ':': -4.5729117, '\n': -4.585539}
{'\n': -6.2482457, ' ': -5.832234, ':': -6.090292, ' Even': -5.155668, ' even': -0.022280324}
{' odd': -0.07377122, ' Odd': -2.9101815, ' ': -5.575998, ' 1': -6.1102757, ':': -6.128779}
{'\n': -4.8406534, ' ': -5.485545, ':': -4.47174, ' Even': -3.8372746, ' even': -0.060987577}
{' odd': -0.28553236, ' Odd': -1.5590624, ' O': -4.8668976, ' ': -5.2875347, ':': -5.292018}
{' ': -5.6392775, ':': -5.6155653, ' Even': -3.5378504, ' EVEN': -5.854293, ' even': -0.047053214}
{' Odd': -3.7464442, ' ': -5.432611, ' 1': -5.526893, ' odd': -0.054700714, ' even': -5.147911}
{' even': -0.13294128, ' odd': -2.6603165, ' Even': -4.197619, ' an': -4.789546, ' Odd': -4.8751717}
{' even': -0.5661615, ' odd': -1.5697788, ' 0': -3.1011062, ':': -3.4499772, ' Even': -3.463212}
{':': -3.5951843, ' 1': -2.7713041, ' odd': -1.6410103, ' 0': -2.1340885, ' even': -0.70596594}
{' Odd': -4.2899, ':': -6.168602, ' 1': -5.1318293, ' odd': -0.034725394, ' even': -5.3529654}
{' even': -0.50041395, ' ': -2.80848, ' 0': -2.8265848, ':': -3.1604328, ' 4': -3.5906277}
{' Odd': -2.9452848, ' ': -5.669336, ':': -5.6947436, ' odd': -0.114335224, ' even': -3.207968}
{' ': -5.121267, ':': -4.129969, ' Even': -3.606202, ' odd': -4.9583535, ' even': -0.08312885}
{' -->': -3.638596, ' Odd': -2.812804, ' ': -3.4700408, ' odd': -0.23892005, ' even': -3.197554}
{':': -3.7202115, ' Even': -3.359996, ' odd': -4.2747006, ' 0': -4.576816, ' even': -0.121142015}
{' Odd': -2.9641552, ' ': -5.227708, ':': -4.128274, ' odd': -0.12002691, ' even': -3.768426}
{':': -4.5610185, ' Even': -4.9313684, ' odd': -3.4646666, ' 0': -4.903953, ' even': -0.09333199}
{' odd': -0.14041378, ' Odd': -3.3336513, ':': -3.777308, ' ': -3.9604125, ' even': -4.182735}
{' even': -0.020710276, ':': -5.4008822, ' an': -5.6214466, ' Even': -5.7246833, ' ': -6.008447}
{' odd': -0.07368384, ' Odd': -3.0898066, ':': -4.53391, ' ': -5.709671, '\n': -5.8046055}
{'\n': -4.825286, ' ': -4.303794, ':': -4.300376, ' Even': -4.8876514, ' even': -0.07132173}
{' Odd': -3.2250347, ' ': -4.0701647, ':': -5.256283, ' odd': -0.09228151, ' even': -4.3806477}
{' ': -4.23765, ':': -3.689909, ' Even': -4.5484858, ' 0': -1.046524, ' even': -0.63175005}
{' odd': -0.18860915, ' Odd': -1.9591419, ':': -5.08204, ' ': -5.1337276, '\n': -5.327977}
{' even': -0.06764741, ' Even': -4.132143, ' ': -4.3750634, '\n': -4.686629, ':': -4.803343}
{' odd': -0.09597234, ' 1': -3.2249813, ' Odd': -3.7657814, ' ': -4.683139, '\n': -5.4481378}
{' ': -4.8105354, ':': -4.9624968, ' Even': -3.7954829, ' 0': -3.1850007, ' even': -0.114572756}
{' odd': -0.48108625, ' Odd': -1.479631, '\n': -3.149877, ':': -3.1893091, ' ': -3.425572}
{' ': -5.1719375, ':': -5.016458, ' Even': -4.5373073, ' EVEN': -5.169512, ' even': -0.045995746}
{'\n': -7.354629, ' Odd': -4.008882, ' ': -6.59806, ' 1': -6.635579, ' odd': -0.025475077}
{' even': -0.14324565, ' Even': -2.9030952, ':': -3.1947258, ' ': -4.3275614, '?': -4.814983}
{' odd': -0.18493868, ' Odd': -2.5192578, ' even': -3.450513, ' 1': -4.431447, ':': -4.44736}
{' even': -0.031456854, ' Even': -4.699912, ' ': -5.4767237, ' odd': -5.5727158, ':': -5.6461606}
{'\n': -6.6995406, ' Odd': -4.265775, ' ': -6.239841, ' 1': -6.8114996, ' odd': -0.022018103}
{'\n': -4.540288, ' ': -4.42642, ':': -4.663687, ' Even': -4.100427, ' even': -0.087437585}
{' odd': -0.11313263, ' Odd': -2.515562, ' even': -4.7802277, ' ': -5.5036316, ' 1': -5.5748844}
{' ': -5.947522, ' Even': -5.2800064, ' odd': -4.4596205, ' 0': -4.1842775, ' even': -0.048855055}
{'\n': -4.304703, ' Odd': -1.6162517, ' ': -3.8339658, ':': -4.020702, ' odd': -0.35227746}
{' ': -3.3679821, ':': -4.0803947, ' Even': -4.808905, ' 0': -1.5083697, ' even': -0.4186042}
{' odd': -0.0872165, ' Odd': -3.5518656, ' 1': -4.2289267, ' ': -4.6372385, ' even': -4.930326}
{'\n': -4.23267, ' ': -3.848141, ' Even': -4.0516067, ' 0': -3.8874364, ' even': -0.120675795}
{'\n': -6.183528, ' Odd': -3.3004289, ' ': -5.3982196, ' 1': -5.101029, ' odd': -0.058500763}
{' ': -4.7600594, ':': -4.4993296, ' Even': -4.029073, ' 0': -3.0660486, ' even': -0.12184063}
{' odd': -0.27889162, ' Odd': -1.8077966, ' even': -3.5179882, ':': -4.306149, ' ': -4.637685}
{'\n': -5.0908613, ' ': -4.9889097, ':': -5.4965887, ' Even': -4.7320123, ' even': -0.03364777}
{' odd': -0.1843364, ' Odd': -2.176783, ' 1': -3.5644472, ' ': -5.094311, '\n': -5.908704}
{' ': -6.1939864, ' an': -6.073287, ' Even': -4.410335, ' odd': -4.575686, ' even': -0.047170926}
{' odd': -0.14471559, ' even': -3.0935392, '\n': -3.490001, ' Odd': -4.2251086, ' ': -4.3177433}
{' even': -0.03694724, ' odd': -4.4058576, ' Even': -4.789912, ' ': -5.6790657, ':': -5.8023524}
{' Odd': -3.845841, ' ': -6.1461687, ':': -6.4781156, ' odd': -0.038882803, ' even': -5.014259}
{' even': -0.24750862, ' -->': -2.7026172, '\n': -3.4016411, ' ': -3.520394, ' Even': -3.8085263}
{'\n': -6.7177095, ' Odd': -4.130364, ' ': -6.333775, ':': -6.6999373, ' odd': -0.024547433}
{'\n': -4.347806, ' ': -4.90269, ':': -4.130824, ' Even': -4.5970583, ' even': -0.06435224}
{'\n': -5.7321687, ' Odd': -2.3180568, ' ': -6.089012, ':': -6.5983496, ' odd': -0.11627825}
{' even': -0.05584054, ' ': -4.5379715, ':': -4.7380915, ' Even': -4.9479103, '\n': -5.08663}
{' odd': -0.076652125, ' Odd': -3.8552816, ' even': -3.875815, ' ': -4.696312, ':': -5.1880746}
{' even': -0.033643883, ' Even': -4.25478, ' odd': -5.627065, ' ': -5.947608, ' an': -6.1319804}
{':': -2.927258, ' 1': -2.6707218, ' odd': -1.4804331, ' 0': -2.1588075, ' even': -0.8627069}
{' even': -0.20967712, ':': -2.8784852, ' 0': -3.5558617, ' Even': -3.7419274, ' odd': -4.306945}
{' Odd': -4.6961102, ' ': -6.491824, ':': -7.2610297, ' odd': -0.018722454, ' even': -5.7963357}
{' even': -0.015970035, ' Even': -4.8792076, ':': -6.2333193, ' ': -6.2697167, '\n': -7.262128}
{' Odd': -3.8189094, ' 1': -3.489497, ' odd': -0.22557424, ' 0': -3.9302077, ' even': -2.5165327}
{'\n': -5.66823, ' ': -5.0988693, ':': -3.7820446, ' Even': -3.5328236, ' even': -0.08104147}
{' Odd': -3.2402844, ' ': -4.88191, ':': -4.320892, ' odd': -0.3161218, ' even': -1.6703459}
{' even': -0.031681873, ' Even': -4.772659, ' odd': -5.673905, ' an': -5.6837716, ':': -5.7633004}
{' odd': -0.085721314, ' even': -2.781482, ' Odd': -4.5944595, ':': -6.152267, ' an': -6.3528385}
{':': -6.3708334, ' an': -7.037907, ' Even': -4.6022406, ' odd': -6.6178527, ' even': -0.016900482}
{' Odd': -3.5319383, ' ': -4.3718767, ':': -4.757038, ' odd': -0.08406854, ' even': -4.7766066}
{' even': -0.1382664, ' Even': -2.9673662, ':': -3.7396123, ' EVEN': -4.322824, ' ': -4.442641}
{' Odd': -3.9256787, ' ': -5.775993, ':': -5.4655056, ' 1': -5.0891857, ' odd': -0.047353264}
{' even': -0.04839612, ' Even': -3.491519, ':': -5.281992, ' ': -5.81021, '\n': -6.116456}
{' odd': -0.0736429, ' -->': -3.7133868, ' Odd': -4.062338, ' ': -5.176216, '-->': -5.3149176}
{' even': -0.22276115, ' 0': -2.86868, ' EVEN': -3.342163, ' Even': -3.606165, ':': -3.7389708}
{'\n': -6.081161, ' Odd': -2.3949306, ' ': -4.9968567, ':': -5.8186684, ' odd': -0.121336}
{'\n': -5.3112907, ' ': -4.638751, ':': -5.1855965, ' Even': -4.1751013, ' even': -0.058984008}
{' odd': -0.34021986, ' 1': -1.6301311, ' Odd': -3.3512986, ':': -4.294652, ' ': -4.3554587}
{' -->': -4.686437, ':': -4.96312, ' Even': -4.620724, ' 0': -4.3682857, ' even': -0.07669427}
{' odd': -0.05958105, ' Odd': -3.4988155, ' even': -4.7931843, ' 1': -5.3435774, ' ': -5.5072174}
{' even': -0.12948225, ':': -3.6610928, ' Even': -3.6999283, ' ': -4.025734, ' 0': -4.5364656}
{'\n': -6.130158, ' Odd': -3.521118, ' ': -5.7552104, ' 1': -5.453027, ' odd': -0.052427307}
{'\n': -4.406634, ' ': -3.9788508, ':': -4.1309466, ' Even': -4.385795, ' even': -0.094422944}
{' Odd': -3.3104172, ' ': -3.98236, ':': -4.4715395, ' 1': -0.77267087, ' odd': -0.8256532}
{'\n': -5.3710027, ' ': -4.997434, ':': -4.5649323, ' Even': -3.7244918, ' even': -0.058853902}
{' -->': -5.6479807, '\n': -5.707691, ' Odd': -2.4356642, ':': -5.343378, ' odd': -0.11624055}
{' even': -0.021485643, ' odd': -4.1421623, ' Even': -6.138334, ' 0': -7.3408365, ' EVEN': -7.3909917}
{' Odd': -3.4478505, ' ': -4.8564944, ' 1': -4.6495724, ' odd': -0.07490577, ' even': -4.5542064}
{' ': -5.6872864, ' Even': -4.946412, ' odd': -3.832141, ' 0': -4.1404047, ' even': -0.077763796}
{' Odd': -2.5968542, ' ': -2.944286, ' 1': -2.8936663, ' odd': -0.3559751, ' even': -3.2210305}
{'\n': -4.336788, ' ': -3.786938, ':': -3.4744914, ' 0': -0.30442357, ' even': -1.9857523}
{' odd': -0.09314048, ' Odd': -2.8824728, ' ': -4.966491, '\n': -5.196667, ' 1': -5.2020764}
{'\n': -3.2129638, ' ': -3.997151, ':': -4.1573596, ' 0': -3.2999122, ' even': -0.15153465}
{' Odd': -3.3495226, ' ': -6.4237323, ' 1': -7.3426394, ' odd': -0.05169209, ' even': -4.704525}
{'\n': -3.885126, ' ': -3.4988248, ':': -3.833436, ' 0': -2.5737035, ' even': -0.25718296}
{'\n': -5.298357, ' Odd': -2.1736097, ' ': -5.084627, ' 1': -5.351412, ' odd': -0.14686477}
{' even': -0.10263049, ' Even': -3.5836582, ' EVEN': -4.1149898, ' ': -4.2045665, ':': -4.5570884}
{' odd': -0.24883361, ' 1': -2.2313728, ' Odd': -3.5590112, ' even': -3.6361587, ' ': -4.7094846}
{' even': -0.04344032, ' odd': -4.0845385, ' Even': -5.2340274, ' 0': -5.361596, ' ': -6.1669335}
{'\n': -4.699817, ' Odd': -1.9348557, ' ': -4.375922, ':': -3.8463824, ' odd': -0.25103387}
{' ': -4.9084296, ':': -4.632035, ' Even': -4.475289, ' odd': -4.583157, ' even': -0.067200564}
{' Odd': -3.7702494, ':': -5.6117973, ' 1': -4.549841, ' odd': -0.06520004, ' even': -4.50455}
{'\n': -4.7611732, ' ': -4.9981117, ':': -5.422598, ' Even': -3.7535522, ' even': -0.055185463}
{' odd': -0.041498158, ' Odd': -3.675265, ' ': -5.662615, ' even': -5.7302704, '\n': -6.1058226}
{' even': -0.034578227, ' Even': -3.796868, ':': -5.961206, '\n': -6.065349, ' ': -6.167594}
{'\n': -5.5897055, ' Odd': -2.5333855, ' ': -5.89251, ' 1': -5.947365, ' odd': -0.101237535}
{' even': -0.024734672, ' Even': -5.3159456, ' ': -5.4834976, ':': -5.5809116, '\n': -6.076903}
{' Odd': -2.782922, ' ': -4.850609, ' 1': -4.3785996, ' odd': -0.12882756, ' even': -4.213565}
{' an': -5.793302, ' Even': -5.5899334, ' odd': -6.3785644, ' neither': -7.6543207, ' even': -0.01154821}
{':': -4.4935503, ' Even': -3.6647685, ' odd': -1.7838205, ' 0': -4.2617974, ' even': -0.42187446}
{' even': -0.09259565, ' Even': -3.712106, ':': -3.9878297, ' 0': -4.8738093, ' ': -4.9412494}
{' -->': -3.150459, ' Odd': -1.938669, ':': -3.0352473, ' odd': -0.74551845, ' even': -1.9689891}
{' ': -5.187742, ':': -4.5010695, ' Even': -4.026964, ' odd': -6.0432844, ' even': -0.05245344}
{' odd': -0.19833165, ' even': -2.2029808, ' Odd': -3.5322137, ' 1': -4.3557982, ':': -5.2291703}
{' even': -0.06163127, ' ->': -3.9143019, ' -->': -4.4125156, ' Even': -4.797525, ':': -5.0146117}
{' odd': -0.15353951, ' even': -2.3883226, ' Odd': -4.206021, ' ': -4.367829, ':': -4.915938}
{' ': -5.316697, ':': -3.885663, ' an': -5.0334415, ' Even': -3.6846797, ' even': -0.0765545}
{' odd': -0.053122208, ' Odd': -3.8037505, ' even': -4.4401646, ':': -4.865746, ' an': -6.3451834}
{' even': -0.14737707, ' odd': -2.80188, ' 0': -4.1509604, ':': -4.2519407, ' Even': -4.3328123}
{' odd': -0.30686358, ' 1': -2.568195, ':': -3.00539, ' Odd': -3.1717584, ' ': -3.419851}
{' ': -5.602958, ':': -5.2012405, ' Even': -4.4879417, ' EVEN': -5.122157, ' even': -0.04062883}
{' Odd': -4.562879, ' ': -5.75093, ':': -5.833076, ' 1': -5.1983485, ' odd': -0.033442948}
{' even': -0.026137039, ':': -4.9946766, ' ': -5.279221, ' Even': -5.52272, ' odd': -5.7702413}
{' Odd': -3.1769233, ' ': -6.035938, ':': -5.972566, ' odd': -0.052715033, ' even': -6.1958995}
{' even': -0.43365687, ':': -2.2602923, ' 0': -2.3878405, '\n': -3.2318652, ' Even': -3.347683}
{' odd': -0.08487252, ' Odd': -3.0064976, ' ': -4.724954, ':': -5.194329, '\n': -5.720946}
{' even': -0.040421143, ' Even': -4.065865, ' ': -5.332646, ':': -5.4379315, ' EVEN': -6.298495}
{'\n': -4.8781815, ' Odd': -3.7107246, ' ': -4.446039, ' 1': -2.5353491, ' odd': -0.15567125}
{' ': -5.2040334, ' Even': -4.570604, ' odd': -4.2640424, ' 0': -3.9484622, ' even': -0.07379882}
{'\n': -3.334402, ' Odd': -2.6842654, ':': -3.5436966, ' 1': -1.8138753, ' odd': -0.47564322}
{'\n': -6.8965697, ' ': -6.2338634, ':': -5.6415315, ' Even': -4.8949533, ' even': -0.016931094}
{' odd': -0.038705714, ' Odd': -4.2500362, ' ': -5.804248, ':': -5.9341307, ' 1': -5.9597373}
{' even': -0.27707568, ':': -2.716297, ' Even': -2.9829583, ' ': -3.2964942, '\n': -3.5502908}
{' Odd': -2.627157, ' ': -4.477988, ' 1': -2.5429866, ' odd': -0.23468857, ' even': -3.8188856}
{' ': -3.83584, ':': -3.4117367, ' Even': -3.159704, ' EVEN': -4.273979, ' even': -0.15844618}
{' odd': -0.06547881, ' Odd': -3.1654181, ' 1': -5.1916275, ':': -5.590556, '\n': -5.7800293}
{' even': -0.026650677, ' Even': -5.340824, ':': -5.721942, '?': -5.8684764, ' ': -5.960759}
{' odd': -0.12887618, ' Odd': -2.9507785, ' 1': -3.4104636, ':': -4.827174, '\n': -4.8340826}
{' ': -8.201252, ' an': -8.066164, ' Even': -6.0276656, ' odd': -5.270845, ' even': -0.00933017}
{' odd': -0.20631163, ' Odd': -2.0901062, ' ': -3.908297, ':': -4.3146753, '\n': -4.8802447}
{'\n': -4.6662593, ':': -3.9730432, ' Even': -3.923414, ' 0': -4.562765, ' even': -0.09074195}
{'\n': -4.7228866, ' Odd': -3.6720805, ' ': -4.581348, ' 1': -4.850289, ' odd': -0.07525323}
{' even': -0.17870827, ' odd': -2.434089, ' ': -3.7891016, ' Even': -4.23963, '\n': -4.402215}
{' odd': -0.084413566, ' Odd': -2.728568, ' ': -5.6769967, ':': -5.7337766, ' 1': -5.963136}
{'\n': -5.8704543, ' ': -5.365478, ':': -6.0873523, ' Even': -5.218426, ' even': -0.02472478}
{' odd': -0.49191874, ' even': -1.5026534, ' Odd': -2.5551436, ' ': -3.6983957, '\n': -4.187604}
{' even': -0.073271945, ':': -4.112855, ' odd': -4.4695625, '\n': -4.509806, ' ': -4.78897}
{' Odd': -3.150641, ':': -4.5166364, ' Even': -5.567117, ' odd': -0.33883727, ' even': -1.5619141}
{' even': -0.03923131, ' Even': -3.8854063, ' odd': -5.4400344, ' ': -6.0594845, ':': -6.1354737}
