{' Odd': -3.8927994, ':': -2.7249298, ' odd': -1.0518513, ' 0': -3.9049375, ' even': -0.8212777}
{' odd': -0.12919524, ' even': -2.6514509, ' Odd': -3.9274194, ':': -4.7623806, ' ': -5.499403}
{' even': -0.04221484, ' Even': -4.5749936, ':': -4.758644, ' odd': -5.5205817, ' ': -5.7279477}
{' odd': -0.25448766, ' even': -2.2983062, ' Odd': -3.35148, ':': -3.4862905, ' -->': -4.3429427}
{' ': -5.3383145, ':': -5.488894, ' Even': -5.151931, ' odd': -6.1368604, ' even': -0.024609556}
{' Odd': -2.5436962, ' ': -4.990763, ':': -4.5378003, ' odd': -0.1485879, ' even': -4.174401}
{'\n': -5.6394477, ' ': -4.8231444, ':': -3.985517, ' Even': -5.679544, ' even': -0.051515356}
{' odd': -0.08183594, ' Odd': -3.3106487, ' even': -3.7754118, ':': -5.2473125, ' ': -6.03767}
{':': -3.2125287, ' Even': -4.2009873, ' odd': -1.7410305, ' 0': -4.5917144, ' even': -0.37059098}
{':': -5.8097854, ' Even': -4.908387, ' EVEN': -6.0791683, ' odd': -5.6705413, ' even': -0.024282662}
{' Odd': -4.181711, ' ': -5.6972938, ':': -5.989302, ' odd': -0.04771042, ' even': -4.4139657}
{'\n': -6.782633, ' ': -6.6127095, ':': -5.978362, ' Even': -4.5698357, ' even': -0.02004295}
{' Odd': -4.574807, ' 1': -3.8919253, ' odd': -0.06312646, ' 0': -6.3259053, ' even': -3.8171353}
{' ': -5.3585205, ':': -4.2138267, ' Even': -4.0952487, ' odd': -5.38779, ' even': -0.06390368}
{' Odd': -2.931084, ':': -3.539447, ' Even': -5.285116, ' odd': -0.33532736, ' even': -1.7398503}
{' even': -0.35261238, ':': -2.534274, ' 0': -2.641675, ' Even': -3.6034417, ' odd': -3.7374015}
{' odd': -0.061240833, ' even': -3.5986, ' Odd': -4.208114, ' 1': -5.463389, ':': -5.647401}
{' even': -0.5028711, ' odd': -1.6784263, ' 0': -2.9282022, ':': -3.7166355, ' Even': -4.087586}
{' -->': -5.513514, ':': -4.017423, ' Even': -3.340839, ' odd': -5.55973, ' even': -0.08776367}
{' Odd': -3.4514983, ' ': -6.4575787, ' an': -6.594764, ' odd': -0.046154343, ' even': -5.1858435}
{':': -3.7407181, ' Even': -4.0797687, ' 0': -2.6684947, ' zero': -4.548491, ' even': -0.20599803}
{' odd': -0.12372204, ' Odd': -2.879157, ' even': -3.463933, ':': -4.6241374, ' ': -5.672649}
{' ': -5.0238323, ':': -4.215949, ' Even': -3.6679614, ' odd': -4.393426, ' even': -0.08993852}
{' Odd': -4.113699, ' ': -5.8508024, ':': -5.719945, ' odd': -0.3531296, ' even': -1.330663}
{' ': -5.3767605, ':': -4.0104704, ' an': -5.5996356, ' Even': -4.877837, ' even': -0.04985819}
{' odd': -0.05131562, ' Odd': -3.927521, ' even': -4.1021166, ':': -5.396548, ' ': -5.961732}
{':': -2.6784527, ' 1': -2.7630305, ' odd': -2.0924437, ' 0': -2.111588, ' even': -0.7119172}
{':': -4.3427486, ' 1': -4.178449, ' odd': -2.8661578, ' 0': -3.095012, ' even': -0.193049}
{' Odd': -4.4831705, ':': -3.980214, ' odd': -0.6451474, ' even': -1.0311376, ' right': -4.1032515}
{' ': -5.0488586, ':': -4.655631, ' Even': -4.5023003, ' 0': -4.769128, ' even': -0.06762414}
{' odd': -0.16713803, ' even': -2.4760246, ' Odd': -3.2212636, ':': -4.7889266, ' ': -5.2367945}
{' even': -0.10106415, ' odd': -3.766169, ':': -3.9496567, ' Even': -4.061252, ' ': -4.775445}
{' Odd': -3.160313, ':': -4.2775064, ' 1': -4.234518, ' odd': -0.21565175, ' even': -2.3741028}
{'\n': -3.5086806, ' ': -3.2858372, ':': -1.886755, ' 0': -2.3824043, ' even': -0.5456393}
{' Odd': -5.145846, ' ': -6.4438868, ':': -6.40238, ' odd': -0.055338528, ' even': -3.2271912}
{' even': -0.46529517, ' odd': -1.4750255, ' right': -3.6815865, ' 0': -4.034664, ' preserved': -4.34309}
{' ': -4.3018622, ':': -3.9748864, ' Even': -3.567595, ' odd': -3.6736312, ' even': -0.1428677}
{' Odd': -3.3296146, ' ': -6.727615, ':': -6.3479695, ' odd': -0.058288705, ' even': -4.608363}
{' even': -0.068139315, ' Even': -3.8096316, ':': -4.4061418, ' EVEN': -4.8908863, ' odd': -5.030175}
{' even': -0.7362619, ' odd': -0.77039003, ' Odd': -4.117662, ' 0': -4.7443223, ' Even': -4.7907286}
{' Odd': -3.1390483, ':': -2.326846, ' Even': -2.760146, ' odd': -1.3717589, ' even': -1.0423238}
{' Odd': -4.0319533, ' ': -5.2021623, ':': -5.353186, ' odd': -0.2948312, ' even': -1.5551443}
{' even': -0.36479688, ' 0': -1.7918198, ':': -3.456872, ' ': -4.012871, ' odd': -4.0790005}
{' -->': -4.0640955, ' Odd': -2.2550519, ':': -2.6607718, ' odd': -0.686952, ' even': -1.779429}
{':': -3.0831618, ' 1': -3.1215553, ' odd': -1.8664625, ' 0': -1.8301104, ' even': -0.79101926}
{' ': -4.2074084, ':': -3.717457, ' Even': -3.902535, ' 0': -3.2856755, ' even': -0.17882992}
{' odd': -0.034525964, ' even': -4.27271, ' Odd': -5.0162773, ' 1': -6.218754, ':': -6.8351984}
{'\n': -5.991049, ' ': -5.5769587, ':': -4.5708036, ' Even': -4.572654, ' even': -0.04538469}
{' odd': -0.05739552, ' Odd': -3.6510177, ' even': -4.1953664, ':': -4.9669833, ' ': -6.001652}
{' ': -4.272406, ':': -3.8542352, ' Even': -3.510239, ' odd': -4.970979, ' even': -0.117436975}
{'\n': -4.304934, ' ': -3.9989707, ':': -3.5650494, ' odd': -0.20045765, ' even': -2.7524786}
{':': -3.1020346, ' 1': -4.42714, ' odd': -2.202614, ' 0': -2.8027575, ' even': -0.3771507}
{' Odd': -4.3707366, ' ': -6.8036394, ':': -6.4596786, ' odd': -0.030112626, ' even': -4.5504484}
{' odd': -1.3264492, ' 0': -1.4109733, ' even': -1.5702733, ' 1': -2.083659, ':': -3.8534398}
{' ': -6.8869863, ':': -5.807645, ' Even': -4.845622, ' EVEN': -6.600167, ' even': -0.016957225}
{' Odd': -3.7825332, ' ': -6.6998544, ' 1': -6.7896814, ' odd': -0.037520677, ' even': -5.2503576}
{':': -5.4905815, ' Even': -4.785762, ' odd': -3.929544, ' 0': -4.6353283, ' even': -0.06173638}
{' Odd': -4.4164915, ' ': -5.434428, ':': -6.2173295, ' odd': -0.09790013, ' even': -2.670238}
{' even': -0.06726463, ' Even': -3.4607904, ':': -4.2942324, ' odd': -5.691932, '\n': -5.863677}
{' odd': -0.2161238, ' even': -1.9528829, ' Odd': -3.4909582, ' ': -5.7064943, ':': -5.7104473}
{'\n': -5.1800876, ' ': -3.9492888, ':': -3.7116363, ' Even': -3.901176, ' even': -0.107740246}
{' Odd': -3.235916, ':': -4.0616045, ' 1': -4.5479574, ' odd': -0.29418206, ' even': -1.9194642}
{' even': -0.32241932, ' odd': -1.6314545, ' Even': -4.236822, ':': -4.4953403, ' 1': -4.621727}
{' ': -6.150409, ':': -5.0498857, ' Even': -4.611189, ' 0': -6.403809, ' even': -0.029616611}
{' Odd': -5.0655193, ' 1': -7.5653424, ' "': -6.7616324, ' odd': -0.015171138, ' even': -5.7066436}
{':': -7.415962, ' an': -7.3657694, ' Even': -5.3095064, ' odd': -7.22674, ' even': -0.008712064}
{' odd': -0.46677223, ' even': -1.6297618, ' Odd': -3.010456, ' 0': -3.315588, ' 1': -3.3905096}
{'\n': -7.2166934, ' ': -6.624242, ':': -5.8236656, ' Even': -4.2025943, ' even': -0.02497842}
{' odd': -0.042081796, ' even': -4.2435308, ' Odd': -4.567384, ' -->': -5.480835, ' ': -6.023492}
{' -->': -3.941061, ' ': -4.3913927, ':': -3.211564, ' Even': -4.213805, ' even': -0.15913662}
{' Odd': -4.0715632, ':': -5.2440476, ' 1': -5.196969, ' odd': -0.058780637, ' even': -3.9247215}
{':': -2.9573917, ' 1': -2.7101202, ' odd': -1.4510145, ' 0': -1.9577743, ' even': -1.0424005}
{':': -5.6640506, ' Even': -5.11789, ' odd': -5.726442, ' 0': -6.059471, ' even': -0.02587674}
{' odd': -0.032414425, ' Odd': -4.275759, ' even': -5.476159, ':': -6.0747147, ' ': -6.2512636}
{' -->': -5.8210454, '\n': -6.0373034, ' ': -5.2604957, ' Even': -5.773128, ' even': -0.022398693}
{' Odd': -3.832883, ':': -4.6061225, ' Even': -4.980804, ' odd': -0.4217456, ' even': -1.2505888}
{' even': -0.018363535, ' Even': -4.7604356, ':': -6.181361, ' odd': -6.4824066, ' ': -6.536531}
{' odd': -0.36042172, ' even': -1.8396126, ' Odd': -3.1353686, ' ': -3.580192, ':': -3.9423013}
{' -->': -4.0056787, ' ': -4.912705, ':': -3.850059, ' Even': -5.257194, ' even': -0.07191886}
{' odd': -0.03131373, ' Odd': -3.9720387, ' even': -5.0653033, ':': -6.6531467, ' ': -7.0892673}
{':': -4.0675607, ' Even': -3.9076393, ' odd': -1.3775492, ' 0': -4.3637667, ' even': -0.49310204}
{' ': -6.958618, ':': -5.7291365, ' Even': -4.450508, ' EVEN': -7.110237, ' even': -0.0196697}
{' odd': -0.049476456, ' Odd': -3.3437104, ' ': -5.6027155, ' even': -6.000529, ' -->': -6.150255}
{'\n': -6.6543036, ':': -5.7909408, ' Even': -4.292257, ' EVEN': -6.6016035, ' even': -0.030171046}
{' Odd': -3.755313, ' ': -5.689441, ':': -5.7477374, ' odd': -0.06695943, ' even': -3.5888405}
{' even': -0.11955611, ' Even': -3.0321052, ' ': -4.010567, ':': -4.2030625, '\n': -4.643145}
{' Odd': -3.0285442, ' ': -5.01221, ':': -3.8770838, ' odd': -0.3445311, ' even': -1.6260891}
{' ': -5.3322887, ':': -4.2518015, ' an': -5.601001, ' Even': -4.4195013, ' even': -0.050282627}
{' Odd': -2.9849246, ':': -4.078472, ' 1': -4.8593407, ' odd': -0.13492331, ' even': -3.970628}
{' even': -0.7857929, ' odd': -0.99326766, ':': -3.619451, ' 1': -3.6932921, ' 0': -3.873508}
{' even': -0.04067117, ' odd': -4.4063363, ' Even': -4.522118, ' 0': -5.837172, ':': -6.115296}
{' Odd': -3.2863421, ':': -4.7172375, ' 1': -5.079822, ' odd': -0.23630406, ' even': -2.1628473}
{' ': -5.773189, ':': -4.98738, ' Even': -3.432111, ' EVEN': -5.994211, ' even': -0.061587527}
{' Odd': -2.91246, ':': -4.2112255, ' Even': -4.760929, ' odd': -0.42904097, ' even': -1.3854399}
{' ': -5.038639, ':': -5.4104414, ' Even': -5.017645, ' odd': -3.9245453, ' even': -0.057128917}
{' odd': -0.14305674, ' even': -2.3575647, ' Odd': -4.3204875, ' ': -4.654984, ':': -5.558433}
{' -->': -4.655879, ' ': -4.754575, ':': -3.449833, ' Even': -4.1364813, ' even': -0.101627536}
{' odd': -0.18441617, ' Odd': -3.1053107, ' even': -3.2238705, ':': -3.7054033, ' -->': -4.6735153}
{':': -3.5213525, ' 1': -2.5856352, ' odd': -1.3624343, ' 0': -2.06303, ' even': -0.88398445}
{' ': -6.1408243, ':': -4.5102587, ' Even': -5.168344, ' odd': -5.8040333, ' even': -0.036554947}
{' odd': -0.23081155, ' even': -2.5951705, ':': -3.5836146, ' 1': -3.8298, ' 0': -4.157141}
{':': -4.164985, ' Even': -3.9257388, ' odd': -3.8066878, ' 0': -3.2785504, ' even': -0.15968671}
{' Odd': -4.8454037, ' ': -5.182351, ':': -5.5151005, ' odd': -0.2444479, ' even': -1.6585256}
{' even': -0.12340722, ' Even': -3.3878121, ':': -3.4944437, ' ': -4.5041003, ' odd': -4.8478}
{' Odd': -2.9711797, ':': -5.3880277, ' Even': -5.369128, ' odd': -0.32782176, ' even': -1.5856208}
{' even': -0.36228153, ':': -2.393665, ' 0': -2.7478185, ' ': -3.3396325, ' Even': -3.806856}
{':': -3.248359, ' not': -3.9507525, ' odd': -0.74134934, ' Right': -3.3497677, ' even': -1.4581386}
{':': -4.794851, ' 1': -3.5636172, ' odd': -1.0065417, ' 0': -4.070638, ' even': -0.6186309}
{' even': -0.13753529, ' 0': -3.0797408, ' odd': -4.0458784, ' Even': -4.1505814, ' 1': -4.5395985}
{' odd': -0.02068271, ' Odd': -4.250453, ' neither': -6.997946, ' even': -7.1330075, ' an': -7.4879694}
{':': -3.6106315, ' 1': -3.197681, ' odd': -1.4345577, ' 0': -2.0819175, ' even': -0.7362221}
{' Odd': -3.647083, ' 1': -4.5948687, ' odd': -0.08719146, ' 0': -4.813108, ' even': -3.8263974}
{' ': -4.3308215, ':': -3.6030457, ' Even': -3.2987561, ' odd': -3.4918082, ' even': -0.16772904}
{' Odd': -3.1836915, ' ': -3.9734051, ':': -3.825168, ' odd': -0.6616483, ' even': -1.105635}
{' even': -0.06453844, ':': -3.9377446, ' Even': -4.476973, ' -->': -4.597278, ' ': -4.996329}
{' odd': -0.07331537, ' even': -3.9511514, ' 1': -4.5968156, ':': -4.6474023, ' Odd': -4.7898602}
{' even': -0.4183499, ' odd': -1.5918958, ' 0': -3.2064064, ' 1': -3.976934, ':': -4.1351643}
{' even': -0.03808912, ' Even': -4.3747177, ':': -5.0026827, ' odd': -5.9975085, ' EVEN': -6.2463303}
{' odd': -0.09053071, ' Odd': -2.846932, ' even': -4.7477665, ' ': -4.8468018, ':': -5.799185}
{':': -3.5785177, ' Even': -3.8257027, ' odd': -1.4848328, ' 0': -3.2965896, ' even': -0.63926697}
{' odd': -0.053244844, ' Odd': -3.5608473, ' even': -4.125951, ':': -6.343669, ' ': -6.3441257}
{' ': -5.8128657, ':': -6.048791, ' Even': -5.0836253, ' odd': -6.092171, ' even': -0.019835666}
{' odd': -0.21605648, ' even': -2.0004725, ' Odd': -3.3486154, ':': -5.3526187, ' ': -5.5968356}
{' even': -0.06910072, ':': -3.6061153, ' Even': -4.6418056, ' ': -4.6776733, '\n': -5.5866494}
{' odd': -0.24555607, ' even': -2.48854, ' Odd': -2.632455, ':': -4.0976276, ' ': -4.8929462}
{' even': -0.7966662, ' odd': -1.0669193, ' 0': -2.8181665, ' 1': -3.5294971, ':': -4.2501516}
{' ': -6.2242856, ':': -5.7321973, ' Even': -4.2205143, ' EVEN': -6.6397905, ' even': -0.027018093}
{' Odd': -4.7109175, ' ': -6.750673, ' 1': -6.413895, ' odd': -0.08207712, ' even': -2.79455}
{':': -5.0413985, ' Even': -4.2046766, ' odd': -4.836331, ' 0': -4.0594163, ' even': -0.07862062}
{' odd': -0.24618687, ' even': -2.2835748, ' Odd': -2.6445842, ':': -3.8974035, ' Even': -5.592357}
{'\n': -4.823699, ':': -4.222336, ' Even': -3.2901058, ' odd': -5.205784, ' even': -0.0880197}
{' Odd': -3.472813, ' ': -4.686498, ':': -4.4485726, ' odd': -0.085203744, ' even': -4.359589}
{' ': -5.3101306, ':': -3.7127998, ' an': -5.198093, ' Even': -4.511478, ' even': -0.07443968}
{' odd': -0.04950132, ' even': -3.4617858, ' Odd': -4.341676, ' an': -7.11564, ' 1': -7.4898853}
{':': -4.564353, ' 1': -4.3424277, ' odd': -1.1174271, ' 0': -4.6895103, ' even': -0.51239127}
{':': -4.7657475, ' Even': -5.558333, ' odd': -5.975939, ' 0': -4.8044477, ' even': -0.040880956}
{' Odd': -3.700708, ' ': -6.572675, ' 1': -6.3513575, ' odd': -0.040361937, ' even': -5.172872}
{' even': -0.046381637, ' Even': -4.6222386, ':': -4.8657374, ' ': -5.2724967, ' 0': -5.434752}
{' odd': -0.09565242, ' Odd': -2.8929162, ' even': -4.3100395, ':': -4.6877866, ' ': -5.78478}
{':': -4.041628, ' Even': -3.5111187, ' EVEN': -5.1021204, ' odd': -4.073105, ' even': -0.09792057}
{' odd': -0.15005808, ' even': -2.686804, ' Odd': -2.853035, ' Even': -5.732308, ':': -6.0130253}
{' even': -0.11658013, ':': -3.1665916, ' Even': -3.6380625, ' ': -4.9391394, ' ->': -5.4517164}
{' Odd': -3.3435671, ':': -4.051437, ' 1': -5.356154, ' odd': -0.12765068, ' even': -3.3034234}
{' even': -1.026863, ' odd': -1.0608939, ':': -3.341028, ' Even': -3.9271686, ' Odd': -3.942557}
{':': -3.9511635, ' odd': -2.795995, ' 0': -4.1764913, ' even': -0.18414435, ' right': -4.426607}
{' -->': -6.040303, ' Odd': -4.674797, ' ': -4.5671244, ' odd': -0.051780034, ' even': -4.090845}
{' ': -4.992269, ':': -4.042835, ' odd': -3.4909387, ' 0': -4.420276, ' even': -0.12551293}
{' Odd': -3.8955374, ' ': -5.5462165, ':': -5.20999, ' odd': -0.07061006, ' even': -3.493858}
{':': -3.5078986, ' Even': -3.6681652, ' odd': -3.521616, ' 0': -1.4076539, ' even': -0.56140524}
{' odd': -0.17170502, ' even': -2.4848382, ' neither': -3.5660882, ' ': -4.3106894, ' Odd': -4.7922454}
{' even': -0.09934306, ' Even': -3.4563022, ':': -3.6608539, ' ': -4.3051333, ' -->': -5.5279183}
{' Odd': -3.0525997, ':': -3.3825305, ' 1': -2.9414668, ' odd': -0.64322346, ' even': -1.6484544}
{' even': -1.041038, ' odd': -1.7236552, ' 0': -2.0548816, ' 1': -2.998733, ':': -3.5568392}
{' ': -3.951872, ':': -2.646818, ' Even': -2.9933496, ' 0': -2.5182846, ' even': -0.39267516}
{' odd': -0.1533741, ' even': -2.8603404, ' Odd': -3.5972683, ':': -4.3045807, ' 1': -4.7765965}
{' ': -5.70365, ':': -4.077039, ' Even': -3.541485, ' EVEN': -5.5762415, ' even': -0.0715011}
{' Odd': -3.8326457, ' ': -5.045932, ':': -5.6152573, ' odd': -0.18567012, ' even': -2.062548}
{':': -5.336829, ' an': -5.5330586, ' odd': -2.8392398, ' 0': -3.943754, ' even': -0.11273845}
{'\n': -4.9615717, ' ': -4.3750095, ':': -4.517479, ' odd': -1.260996, ' even': -0.43793774}
{'\n': -5.7641745, ' ': -4.5009036, ':': -3.2915103, ' Even': -3.527822, ' even': -0.1069354}
{' Odd': -2.9838471, ' ': -5.1661735, ':': -4.1009727, ' odd': -0.21970914, ' even': -2.5190606}
{':': -3.289332, ' 1': -2.1860862, ' odd': -2.0296705, ' 0': -1.180472, ' even': -1.6230333}
{':': -4.200891, ' Even': -4.332247, ' odd': -4.977003, ' 0': -4.717962, ' even': -0.063372254}
{' Odd': -3.8200705, ' ': -5.984388, ':': -5.9905577, ' odd': -0.043499332, ' even': -5.108422}
{' even': -0.026595648, ' Even': -5.063047, ':': -5.2716804, ' ': -5.8361335, '\n': -5.8715}
{' Odd': -3.2175646, ' ': -5.4810658, ':': -3.8926308, ' odd': -0.20731279, ' even': -2.240531}
{' ': -6.189551, ':': -5.438878, ' Even': -4.746461, ' odd': -5.8773894, ' even': -0.022071298}
{' Odd': -2.7713234, ' ': -4.5524297, ':': -4.348537, ' odd': -0.21628132, ' even': -2.652162}
{' even': -0.035858, ' an': -4.31979, ':': -4.8553767, ' Even': -5.2274437, ' 8': -6.157693}
{'\n': -5.293462, ' Odd': -3.5599227, ':': -4.5395446, ' odd': -0.09757756, ' even': -3.2668593}
{' even': -1.0926731, ' odd': -1.5123022, ' 0': -1.7674483, ' 1': -2.1636608, ':': -2.8970933}
{':': -3.5415554, ' Even': -3.706755, ' odd': -3.155882, ' 0': -2.300089, ' even': -0.3392678}
{' odd': -0.057117302, ' Odd': -3.5376432, ' even': -4.084447, ' 1': -6.867159, ':': -6.9610896}
{' ': -6.2902775, ':': -5.784908, ' Even': -5.7057347, ' odd': -6.0530257, ' even': -0.018052265}
{' Odd': -2.9890282, ' ': -5.3957734, ':': -4.0654473, ' odd': -0.12216554, ' even': -3.4245734}
{' even': -0.20284608, ' odd': -2.280748, ' Even': -3.897651, ':': -4.1977077, ' 0': -4.508329}
{' Odd': -3.1783025, ' ': -3.8353794, ':': -3.3641021, ' odd': -0.19781967, ' even': -3.5716445}
{' ': -4.214707, ':': -4.1983333, ' odd': -3.9287899, ' 0': -3.9710813, ' even': -0.1321027}
{' Odd': -3.724669, ':': -4.5339437, ' 1': -5.3306365, ' odd': -0.10927634, ' even': -3.255794}
{' Odd': -4.469709, ' 1': -4.4543037, ' odd': -0.9790189, ' 0': -4.0332303, ' even': -0.7064769}
{' even': -0.1008428, ' Even': -3.4458811, ':': -4.179508, ' 0': -4.598284, ' EVEN': -4.948079}
{' Odd': -4.0974684, ' ': -4.493331, ':': -3.6809046, ' odd': -0.13313328, ' even': -3.301821}
{'\n': -5.964553, ' ': -5.790939, ':': -5.8950396, ' Even': -5.156622, ' even': -0.023257295}
{' Odd': -3.5395117, ' 1': -3.9249418, ' odd': -0.26885116, ' 0': -3.467246, ' even': -2.0276651}
{'\n': -5.8606057, ' ': -5.3142376, ':': -4.618499, ' Even': -4.756573, ' even': -0.03685645}
{' Odd': -3.0503979, ' ': -3.7255077, ':': -3.3395739, ' odd': -0.46132568, ' even': -1.4493475}
{' ': -4.664456, ':': -3.340659, ' Even': -4.2374997, ' ->': -2.56054, ' even': -0.19024257}
{'\n': -4.819026, ' Odd': -3.3728335, ':': -3.7300284, ' odd': -0.13194422, ' even': -3.498611}
{' even': -0.8590663, ' odd': -1.0959123, ' 0': -2.8945296, ':': -3.1213152, ' 1': -3.2168972}
{':': -3.5520422, ' Even': -3.801962, ' odd': -4.4746895, ' 0': -4.0927954, ' even': -0.14224249}
{' Odd': -3.3871086, ' ': -6.656905, ':': -6.2604394, ' odd': -0.054371886, ' even': -4.7889385}
{' ': -6.2738547, ':': -5.7379475, ' Even': -4.669428, ' odd': -6.7770634, ' even': -0.023777936}
{' Odd': -4.343062, ' ': -5.6381397, ':': -5.8499675, ' odd': -0.19404647, ' even': -1.8991684}
{' even': -0.04835646, ' Even': -3.7081645, ' odd': -4.886191, ':': -5.056004, ' ': -6.1355247}
{' Odd': -5.396248, ' ': -5.2140036, ':': -5.077339, ' odd': -0.69787234, ' even': -0.7902386}
{' even': -0.1305788, ' Even': -3.0711324, ':': -3.4118714, ' ': -4.747416, '\n': -5.5104194}
{' Odd': -3.7324638, ':': -5.316128, ' 1': -5.919046, ' odd': -0.057820573, ' even': -4.238817}
{' Odd': -4.644851, ':': -4.5272584, ' Even': -4.6173363, ' odd': -1.1064391, ' even': -0.52733094}
{' ': -5.3557854, ':': -4.3732996, ' Even': -4.3068266, ' 0': -5.680659, ' even': -0.054759074}
{' odd': -0.13294154, ' Odd': -3.140569, ' even': -3.7854195, ' 1': -4.0662413, ' 0': -4.623475}
{':': -4.3023467, ' Even': -3.646631, ' EVEN': -4.921994, ' 0': -5.282945, ' even': -0.08686613}
{' odd': -0.073832445, ' even': -3.140336, ' Odd': -4.115826, ' ': -5.752064, ':': -6.1297064}
{' even': -0.26420316, ' odd': -2.893592, ' Even': -3.303301, ':': -3.3248265, ' 0': -3.7609503}
{' Odd': -3.4232183, ' ': -5.008167, ':': -4.6935325, ' odd': -0.17818429, ' even': -2.3346794}
{' ': -3.862605, ':': -3.4479792, ' Even': -4.262436, ' 0': -3.620334, ' even': -0.15582503}
{' odd': -0.40134132, ' even': -1.6831131, ' Odd': -2.6806629, ':': -3.8144069, ' Even': -4.301638}
