{' number': -6.164637, ' 1': -1.2105025, ' 2': -0.41595247, ' one': -5.496359, ' two': -3.3839087}
{' number': -6.05553, ' #': -6.1691327, ' 1': -1.9364879, ' 2': -0.19789013, ' two': -3.5398471}
{' number': -6.2354803, ' #': -6.369465, ' 1': -3.087058, ' 2': -0.08771051, ' two': -3.3849096}
{' 2': -0.34433678, ' 1': -1.3502058, ' two': -3.6787767, ' one': -5.8993845, ' number': -6.160187}
{' number': -6.1596437, ' 1': -0.7234163, ' 2': -0.71955013, ' one': -5.272194, ' two': -3.9832067}
{' number': -6.5100737, ' #': -6.499296, ' 1': -3.055363, ' 2': -0.08916911, ' two': -3.3706057}
{' #': -6.242209, ' 1': -1.4620457, ' 2': -0.3056393, ' one': -6.106629, ' two': -3.6692734}
{' number': -6.2663054, ' 1': -0.6773461, ' 2': -0.7594366, ' one': -5.398981, ' two': -4.1574984}
{' number': -6.208534, ' 1': -0.59418535, ' 2': -0.8621412, ' one': -5.20577, ' two': -4.1250596}
{' #': -6.2697234, ' 1': -0.9333503, ' 2': -0.546088, ' one': -5.6708817, ' two': -3.9023407}
{' 2': -0.5256109, ' 1': -0.96316427, ' two': -3.904164, ' one': -5.7453613, ' number': -6.272178}
{' number': -6.4506207, ' #': -6.424526, ' 1': -2.8096855, ' 2': -0.099106684, ' two': -3.5047042}
{' number': -6.431597, ' #': -6.3986444, ' 1': -3.390726, ' 2': -0.06961104, ' two': -3.51585}
{' 2': -0.40291214, ' 1': -1.1978245, ' two': -3.775545, ' one': -5.905243, ' #': -6.2015653}
{' 2': -0.12313651, ' 1': -2.5178945, ' two': -3.4840066, ' #': -6.349294, ' number': -6.372613}
{' number': -6.271676, ' #': -6.354209, ' 1': -1.9261829, ' 2': -0.19470504, ' two': -3.653596}
{' 2': -0.088051915, ' 1': -2.9418743, ' two': -3.585681, ' #': -6.446155, ' number': -6.521912}
{' number': -6.2590675, ' #': -6.3407207, ' 1': -2.7626338, ' 2': -0.100198284, ' two': -3.5875351}
{' number': -6.320855, ' #': -6.457252, ' 1': -2.5591872, ' 2': -0.11788767, ' two': -3.5243282}
{' number': -6.382957, ' #': -6.4522204, ' 1': -2.5965059, ' 2': -0.11359755, ' two': -3.5554786}
{' number': -6.275321, ' #': -6.344032, ' 1': -2.8313, ' 2': -0.10148192, ' two': -3.410434}
{' number': -6.422105, ' #': -6.536287, ' 1': -4.443244, ' 2': -0.044572003, ' two': -3.5590258}
{' number': -6.47876, ' #': -6.608814, ' 1': -5.0265913, ' 2': -0.04152009, ' two': -3.4733741}
{' number': -6.440971, ' #': -6.7081957, ' 1': -4.282297, ' 2': -0.046789415, ' two': -3.5476875}
{' number': -6.397782, ' #': -6.6191716, ' 1': -4.081526, ' 2': -0.05251896, ' two': -3.4759004}
{' 2': -0.0650398, ' 1': -3.4399176, ' two': -3.6042185, ' number': -6.3364344, ' #': -6.559369}
{' number': -6.6317573, ' #': -6.6847796, ' 1': -5.1089544, ' 2': -0.0357431, ' two': -3.6379862}
{' 2': -0.033743013, ' two': -3.6428912, ' 1': -5.5160956, ' number': -6.404426, ' #': -6.751203}
{' 2': -0.045669336, ' two': -3.374784, ' 1': -4.9222603, ' number': -6.4237328, ' #': -6.6643424}
{' number': -6.456783, ' #': -6.6608605, ' 1': -3.6596775, ' 2': -0.06219678, ' two': -3.4647539}
{' number': -6.313684, ' #': -6.463267, ' 1': -2.964534, ' 2': -0.09043609, ' two': -3.4815512}
{' number': -6.417875, ' #': -6.467444, ' 1': -3.21388, ' 2': -0.079249755, ' two': -3.4380827}
{' 2': -0.03563129, ' two': -3.5482273, ' 1': -5.6610203, ' number': -6.5856247, ' #': -6.714922}
{' number': -6.341291, ' #': -6.4587445, ' 1': -3.958015, ' 2': -0.05642463, ' two': -3.43987}
{' number': -6.3779554, ' #': -6.63679, ' 1': -5.60781, ' 2': -0.04023714, ' two': -3.42357}
{' number': -6.388556, ' #': -6.57714, ' 1': -4.4374523, ' 2': -0.04634855, ' two': -3.5034788}
{' number': -6.482753, ' #': -6.5385594, ' 1': -3.6501558, ' 2': -0.060163308, ' two': -3.5411925}
{' 2': -0.103372015, ' 1': -2.7346623, ' two': -3.545871, ' number': -6.2362084, ' #': -6.4241533}
{' number': -6.3987517, ' #': -6.5391445, ' 1': -3.7999022, ' 2': -0.058788724, ' two': -3.4674077}
{' number': -6.379649, ' #': -6.5500426, ' 1': -2.2675483, ' 2': -0.14508323, ' two': -3.6065946}
{' 1': -0.7009948, ' 2': -0.74004966, ' two': -4.009363, ' one': -5.340363, ' number': -6.2197633}
{' 2': -0.09811615, ' 1': -2.8220956, ' two': -3.4940643, ' number': -6.578923, ' #': -6.6283317}
{' 2': -0.37406558, ' 1': -1.2910749, ' two': -3.5043564, ' one': -5.658931, ' #': -6.2755313}
{' 2': -0.6545481, ' 1': -0.79613066, ' two': -3.869563, ' one': -5.2889647, ' #': -6.390151}
{' #': -6.3890233, ' 1': -0.79183674, ' 2': -0.66553587, ' one': -5.1668935, ' two': -3.7357204}
{' #': -6.392027, ' 1': -0.84946275, ' 2': -0.6134932, ' one': -5.346615, ' two': -3.781944}
{' number': -6.4840975, ' 1': -0.9369113, ' 2': -0.5494219, ' one': -5.49305, ' two': -3.747401}
{' number': -6.636973, ' #': -6.440986, ' 1': -2.4974682, ' 2': -0.13030948, ' two': -3.3339493}
{' number': -6.6965103, ' #': -6.609294, ' 1': -3.406068, ' 2': -0.074231535, ' two': -3.347768}
{' #': -6.269756, ' 1': -1.2891514, ' 2': -0.37324464, ' one': -5.67456, ' two': -3.5441067}
{' number': -6.7014723, ' #': -6.6011043, ' 1': -3.1276124, ' 2': -0.088639654, ' two': -3.2798858}
{' 2': -0.14609809, ' 1': -2.3241968, ' two': -3.3934429, ' #': -6.5251546, ' number': -6.5317464}
{' number': -6.8122287, ' #': -6.624895, ' 1': -3.3717728, ' 2': -0.07282498, ' two': -3.4151692}
{' 2': -0.0758146, ' 1': -3.320932, ' two': -3.3965557, ' number': -6.581624, ' #': -6.5898705}
{' number': -6.6434, ' #': -6.6446853, ' 1': -3.1447878, ' 2': -0.08703519, ' two': -3.2989779}
{' 2': -0.09739843, ' 1': -2.9138906, ' two': -3.35264, ' #': -6.622769, ' number': -6.6553473}
{' number': -6.5114446, ' #': -6.5154834, ' 1': -2.8648112, ' 2': -0.10415504, ' two': -3.2710898}
{' number': -6.7251625, ' #': -6.6598983, ' 1': -4.665994, ' 2': -0.0498179, ' two': -3.3129287}
{' 2': -0.05058648, ' two': -3.2049196, ' 1': -5.087326, ' #': -6.7473855, ' number': -6.748918}
{' number': -6.7267575, ' #': -6.8969226, ' 1': -4.867229, ' 2': -0.047367018, ' two': -3.3213212}
{' number': -6.658554, ' #': -6.8105674, ' 1': -4.3634777, ' 2': -0.053654052, ' two': -3.302649}
{' number': -6.570616, ' #': -6.680324, ' 1': -3.6609552, ' 2': -0.06347641, ' two': -3.4219835}
{' number': -6.9134617, ' #': -6.9008765, ' 1': -5.3819532, ' 2': -0.038004976, ' two': -3.4897168}
{' number': -6.691543, ' #': -6.8900056, ' 1': -5.801548, ' 2': -0.03747761, ' two': -3.4625854}
{' number': -6.6818213, ' #': -6.8180113, ' 1': -5.0889554, ' 2': -0.05098771, ' two': -3.195326}
{' number': -6.73082, ' #': -6.8097043, ' 1': -4.125661, ' 2': -0.058091026, ' two': -3.2806308}
{' number': -6.61533, ' #': -6.6915884, ' 1': -3.369727, ' 2': -0.07803628, ' two': -3.2846687}
{' 2': -0.08997595, ' 1': -3.1442857, ' two': -3.232897, ' #': -6.6050024, ' number': -6.645103}
{' number': -6.8292537, ' #': -6.8678565, ' 1': -5.9934025, ' 2': -0.0398961, ' two': -3.371395}
{' number': -6.6457963, ' #': -6.696028, ' 1': -4.429141, ' 2': -0.053267483, ' two': -3.2942264}
{' 2': -0.047489263, ' two': -3.2180598, ' 1': -5.586559, ' number': -6.658786, ' #': -6.7845817}
{' number': -6.612518, ' #': -6.6933837, ' 1': -4.0610466, ' 2': -0.057224024, ' two': -3.3410318}
{' number': -6.7574534, ' #': -6.697939, ' 1': -3.886642, ' 2': -0.060186036, ' two': -3.3508604}
{' 2': -0.13808835, ' 1': -2.4091628, ' two': -3.364355, ' number': -6.432062, ' #': -6.5119524}
{' number': -6.691554, ' #': -6.728034, ' 1': -3.9768834, ' 2': -0.060623802, ' two': -3.291064}
{' number': -6.540758, ' 1': -1.8635659, ' 2': -0.21397455, ' one': -6.196371, ' two': -3.4259722}
{' 1': -0.6798848, ' 2': -0.77402776, ' two': -3.8091457, ' one': -5.027238, ' number': -6.3850503}
{' 2': -0.09749706, ' 1': -3.012103, ' two': -3.2089317, ' #': -6.697648, ' number': -6.8276386}
{' #': -6.64453, ' 1': -1.7665457, ' 2': -0.22629674, ' one': -6.3656635, ' two': -3.6043599}
{' number': -6.6258707, ' 1': -0.904478, ' 2': -0.56088823, ' one': -5.688876, ' two': -3.9917622}
{' 2': -0.5443045, ' 1': -0.9372793, ' two': -3.8346524, ' one': -5.6088433, ' number': -6.5681553}
{' number': -6.6475677, ' 1': -1.2616135, ' 2': -0.37321424, ' one': -6.027982, ' two': -3.7618172}
{' 2': -0.38515994, ' 1': -1.2284942, ' two': -3.8149276, ' one': -6.100505, ' number': -6.6079035}
{' number': -6.8137536, ' #': -6.7677884, ' 1': -2.89752, ' 2': -0.091724485, ' two': -3.5238266}
{' number': -6.9611073, ' #': -6.9906087, ' 1': -4.5214114, ' 2': -0.041108612, ' two': -3.601503}
{' number': -6.594924, ' 1': -1.5035467, ' 2': -0.29167852, ' one': -6.1650467, ' two': -3.6622536}
{' 2': -0.058889303, ' two': -3.462797, ' 1': -3.7546327, ' #': -6.8846626, ' number': -6.8958135}
{' 2': -0.08556372, ' 1': -2.9776955, ' two': -3.5693874, ' number': -6.739792, ' #': -6.8804774}
{' number': -6.9623375, ' #': -6.9426446, ' 1': -3.707501, ' 2': -0.05620799, ' two': -3.5825808}
{' number': -6.7515626, ' #': -6.9041886, ' 1': -3.6103864, ' 2': -0.058819637, ' two': -3.594655}
{' number': -6.8433337, ' #': -6.955876, ' 1': -3.6757898, ' 2': -0.059270024, ' two': -3.51328}
{' number': -6.8468294, ' #': -6.901835, ' 1': -3.3184488, ' 2': -0.07122777, ' two': -3.5094657}
{' number': -6.678505, ' #': -6.7645116, ' 1': -2.9520292, ' 2': -0.09093568, ' two': -3.4563625}
{' number': -6.861705, ' #': -6.8538613, ' 1': -4.808486, ' 2': -0.042590328, ' two': -3.4676123}
{' number': -6.9070745, ' #': -6.9850984, ' 1': -5.8057375, ' 2': -0.036216393, ' two': -3.4903426}
{' 2': -0.036422096, ' two': -3.5693352, ' 1': -5.183509, ' number': -6.8856277, ' #': -7.144413}
{' number': -6.8405867, ' #': -7.131377, ' 1': -5.2311783, ' 2': -0.036497205, ' two': -3.559492}
{' number': -6.723636, ' #': -6.9346952, ' 1': -4.0524335, ' 2': -0.047726236, ' two': -3.6222332}
{' number': -7.0591416, ' #': -7.157826, ' 1': -5.8262715, ' 2': -0.029357126, ' two': -3.7208853}
{' number': -6.8338656, ' #': -7.136437, ' 1': -6.188225, ' 2': -0.028374301, ' two': -3.7322407}
{' number': -6.8339987, ' #': -7.104536, ' 1': -5.4889693, ' 2': -0.040166404, ' two': -3.4060645}
{' 2': -0.045211375, ' two': -3.4726784, ' 1': -4.503658, ' number': -6.879244, ' #': -7.1157074}
{' number': -6.7875323, ' #': -6.910281, ' 1': -3.6848197, ' 2': -0.059936333, ' two': -3.488809}
{' 2': -0.066213846, ' two': -3.4524994, ' 1': -3.5156422, ' number': -6.7808757, ' #': -6.891333}
{' number': -6.973387, ' #': -7.093644, ' 1': -6.293992, ' 2': -0.030814294, ' two': -3.6262066}
{' number': -6.752627, ' #': -6.929928, ' 1': -4.366214, ' 2': -0.047081638, ' two': -3.4779918}
{' number': -6.7813835, ' #': -7.005323, ' 1': -6.0870433, ' 2': -0.035193708, ' two': -3.5017633}
{' number': -6.771743, ' #': -6.9200444, ' 1': -4.4682846, ' 2': -0.044599675, ' two': -3.5154111}
{' number': -6.911256, ' #': -6.974944, ' 1': -4.3746104, ' 2': -0.044168115, ' two': -3.5615609}
{' number': -6.579303, ' #': -6.805537, ' 1': -2.8167124, ' 2': -0.09671137, ' two': -3.5373318}
{' 2': -0.04489918, ' two': -3.5184, ' 1': -4.4250927, ' number': -6.835617, ' #': -6.970822}
{' number': -6.768837, ' #': -6.9297333, ' 1': -2.4732528, ' 2': -0.12158347, ' two': -3.6086786}
{' 1': -0.66196513, ' 2': -0.77857095, ' two': -4.0467362, ' one': -5.339041, ' number': -6.548087}
{' 2': -0.0679486, ' two': -3.442285, ' 1': -3.4626362, ' number': -6.9810534, ' #': -7.0219283}
{' number': -6.4279714, ' #': -6.02393, ' 1': -3.0056918, ' 2': -0.09675076, ' two': -3.277947}
{' #': -6.0770435, ' 1': -1.8502123, ' 2': -0.21591416, ' one': -6.189678, ' two': -3.4855542}
{' #': -6.0454793, ' 1': -2.0195298, ' 2': -0.19468932, ' one': -6.1492705, ' two': -3.2819238}
{' number': -6.3641396, ' #': -6.113154, ' 1': -2.2757657, ' 2': -0.15471202, ' two': -3.3516743}
{' number': -6.3130417, ' #': -6.1380086, ' 1': -2.302602, ' 2': -0.15102506, ' two': -3.362182}
{' number': -6.512682, ' #': -6.1684895, ' 1': -4.1413007, ' 2': -0.058536913, ' two': -3.2994957}
{' number': -6.5677166, ' #': -6.2797413, ' 1': -5.137293, ' 2': -0.045915995, ' two': -3.3399034}
{' 2': -0.15063846, ' 1': -2.3133218, ' two': -3.3521936, ' #': -6.040305, ' number': -6.2785916}
{' number': -6.598524, ' #': -6.3022766, ' 1': -4.990542, ' 2': -0.05094782, ' two': -3.2348084}
{' number': -6.408966, ' #': -6.29702, ' 1': -4.1690073, ' 2': -0.054963462, ' two': -3.3795652}
{' number': -6.6299124, ' #': -6.3800015, ' 1': -4.9194818, ' 2': -0.045281034, ' two': -3.3916612}
{' number': -6.434154, ' #': -6.255514, ' 1': -4.9144344, ' 2': -0.04554737, ' two': -3.4005065}
{' 2': -0.04729621, ' two': -3.3009431, ' 1': -5.129646, ' #': -6.3513474, ' number': -6.561046}
{' number': -6.573172, ' #': -6.333486, ' 1': -4.634953, ' 2': -0.050541718, ' two': -3.322846}
{' number': -6.4504037, ' #': -6.2752547, ' 1': -4.629455, ' 2': -0.055474795, ' two': -3.2098076}
{' number': -6.476907, ' #': -6.284231, ' 1': -5.93744, ' 2': -0.039012328, ' two': -3.4413538}
{' 2': -0.039310478, ' two': -3.3885512, ' #': -6.3562927, ' number': -6.4628515, ' 1': -6.614838}
{' number': -6.506486, ' #': -6.4722095, ' 1': -6.2460165, ' 2': -0.040103056, ' two': -3.3767846}
{' number': -6.4580884, ' #': -6.4610314, ' 1': -6.262875, ' 2': -0.0404564, ' two': -3.3683903}
{' number': -6.448379, ' #': -6.4954796, ' 1': -5.5035734, ' 2': -0.039161142, ' two': -3.4731953}
{' number': -6.5843277, ' #': -6.430013, ' 1': -6.95756, ' 2': -0.033839684, ' two': -3.534007}
{' number': -6.3574624, ' #': -6.4482045, ' 1': -7.168239, ' 2': -0.032340176, ' two': -3.5896902}
{' 2': -0.041125692, ' two': -3.3281245, ' number': -6.4117928, ' #': -6.5110016, ' 1': -6.7662277}
{' number': -6.561052, ' #': -6.536203, ' 1': -5.6475673, ' 2': -0.044682004, ' two': -3.2942107}
{' number': -6.481108, ' #': -6.3909125, ' 1': -5.2094913, ' 2': -0.0499414, ' two': -3.2246335}
{' number': -6.4598565, ' #': -6.292372, ' 1': -4.7055054, ' 2': -0.05366695, ' two': -3.2337186}
{' 2': -0.035283662, ' two': -3.4769986, ' #': -6.4125133, ' number': -6.5610056, ' 1': -7.4367833}
{' number': -6.475104, ' #': -6.3186355, ' 1': -6.1979494, ' 2': -0.04267859, ' two': -3.3178954}
{' 2': -0.042653274, ' two': -3.2887087, ' #': -6.3515253, ' number': -6.4137683, ' 1': -6.9780407}
{' number': -6.4564676, ' #': -6.3843303, ' 1': -6.003256, ' 2': -0.040303234, ' two': -3.393836}
{' number': -6.5956693, ' #': -6.445872, ' 1': -5.715832, ' 2': -0.039799426, ' two': -3.4247897}
{' 2': -0.05181412, ' two': -3.3337088, ' 1': -4.5253057, ' #': -6.2578382, ' number': -6.3706703}
{' 2': -0.042469297, ' two': -3.333544, ' 1': -5.934192, ' #': -6.423731, ' number': -6.5422125}
{' number': -6.5304303, ' #': -6.3942447, ' 1': -3.7585516, ' 2': -0.06446762, ' two': -3.3394938}
{' #': -6.063575, ' 1': -1.608148, ' 2': -0.27680153, ' one': -5.881894, ' two': -3.374454}
{' number': -6.7069163, ' #': -6.445718, ' 1': -4.9368887, ' 2': -0.051097162, ' two': -3.2314084}
{' number': -6.610722, ' 1': -1.5959388, ' 2': -0.27092665, ' one': -6.0942583, ' two': -3.5204954}
{' 1': -0.7202917, ' 2': -0.7218786, ' two': -3.9550328, ' one': -5.2919106, ' number': -6.399685}
{' number': -6.349175, ' 1': -0.86732876, ' 2': -0.603573, ' one': -5.32201, ' two': -3.6998827}
{' number': -6.405284, ' 1': -1.0306426, ' 2': -0.4928008, ' one': -5.57978, ' two': -3.6810806}
{' number': -6.423741, ' 1': -1.1962843, ' 2': -0.4081316, ' one': -5.7913575, ' two': -3.626759}
{' number': -6.7666655, ' #': -6.8142138, ' 1': -2.9343696, ' 2': -0.094872884, ' two': -3.3723347}
{' number': -6.766924, ' #': -6.796916, ' 1': -4.371782, ' 2': -0.0514521, ' two': -3.354413}
{' #': -6.3653355, ' 1': -1.3301289, ' 2': -0.35674798, ' one': -5.7761602, ' two': -3.5422108}
{' 2': -0.07438337, ' two': -3.255751, ' 1': -3.5045192, ' number': -6.663304, ' #': -6.6931396}
{' 2': -0.11873684, ' 1': -2.5917268, ' two': -3.406958, ' number': -6.5107503, ' #': -6.6383753}
{' number': -6.8059616, ' #': -6.7864494, ' 1': -3.7736523, ' 2': -0.060706705, ' two': -3.4033504}
{' 2': -0.07599928, ' 1': -3.2936637, ' two': -3.4208724, ' number': -6.523252, ' #': -6.651345}
{' 2': -0.07084695, ' two': -3.310238, ' 1': -3.542515, ' number': -6.6435413, ' #': -6.7805195}
{' number': -6.664639, ' #': -6.765606, ' 1': -3.3594515, ' 2': -0.07583453, ' two': -3.3456173}
{' number': -6.535664, ' #': -6.7400203, ' 1': -3.2721503, ' 2': -0.08262136, ' two': -3.2683475}
{' number': -6.649307, ' #': -6.7397, ' 1': -4.813221, ' 2': -0.047136247, ' two': -3.34712}
{' number': -6.715869, ' #': -6.9101224, ' 1': -5.723184, ' 2': -0.041480638, ' two': -3.3524356}
{' number': -6.700729, ' #': -6.9802747, ' 1': -5.212676, ' 2': -0.044583283, ' two': -3.3298597}
{' 2': -0.04444998, ' two': -3.3504515, ' 1': -5.1109934, ' number': -6.6839848, ' #': -6.9882894}
{' number': -6.608529, ' #': -6.879594, ' 1': -4.3546185, ' 2': -0.049160857, ' two': -3.4286525}
{' 2': -0.035203215, ' two': -3.5209248, ' 1': -5.846057, ' number': -6.856341, ' #': -6.975839}
{' 2': -0.03170925, ' two': -3.5981593, ' 1': -6.4676747, ' number': -6.6458364, ' #': -7.0389304}
{' number': -6.6662903, ' #': -6.931201, ' 1': -5.514628, ' 2': -0.04766735, ' two': -3.216687}
{' number': -6.732491, ' #': -6.945819, ' 1': -4.550447, ' 2': -0.05147688, ' two': -3.2921576}
{' number': -6.6146193, ' #': -6.835003, ' 1': -3.995059, ' 2': -0.06076346, ' two': -3.2770853}
{' 2': -0.07679905, ' two': -3.24221, ' 1': -3.4557395, ' number': -6.5716352, ' #': -6.679369}
{' number': -6.8109746, ' #': -6.9703383, ' 1': -6.626846, ' 2': -0.03648911, ' two': -3.4309323}
{' 2': -0.050051305, ' two': -3.2847903, ' 1': -4.743439, ' number': -6.638804, ' #': -6.811066}
{' number': -6.6417584, ' #': -6.8807883, ' 1': -6.155879, ' 2': -0.042954754, ' two': -3.284459}
{' 2': -0.04972625, ' two': -3.3431354, ' 1': -4.5655665, ' number': -6.586917, ' #': -6.812893}
{' number': -6.769708, ' #': -6.8219857, ' 1': -4.2739267, ' 2': -0.051261157, ' two': -3.39705}
{' number': -6.4872117, ' #': -6.703972, ' 1': -3.220157, ' 2': -0.08242749, ' two': -3.3311384}
{' number': -6.6804852, ' #': -6.861247, ' 1': -4.6009307, ' 2': -0.05042022, ' two': -3.3094554}
{' number': -6.558358, ' 1': -2.2765076, ' 2': -0.1513571, ' one': -6.6299176, ' two': -3.387782}
{' number': -6.3523264, ' 1': -0.68729955, ' 2': -0.76288587, ' one': -5.127046, ' two': -3.842285}
{' number': -6.7521315, ' #': -6.842934, ' 1': -3.0407848, ' 2': -0.098030366, ' two': -3.1610298}
{' number': -6.3700895, ' 1': -0.53965104, ' 2': -0.9494754, ' one': -4.9713736, ' two': -3.932145}
{' number': -6.5413566, ' 1': -0.21856086, ' 2': -1.7448593, ' one': -4.6011024, ' two': -4.739572}
{' number': -6.472385, ' 1': -0.2186242, ' 2': -1.7628614, ' one': -4.448799, ' two': -4.5950108}
{' number': -6.4730916, ' 1': -0.26218617, ' 2': -1.5778656, ' one': -4.61438, ' two': -4.4914036}
{' 1': -0.32210556, ' 2': -1.3825572, ' two': -4.3376117, ' one': -4.788645, ' number': -6.443833}
{' number': -6.344395, ' 1': -0.97097635, ' 2': -0.5342203, ' one': -5.4474354, ' two': -3.598456}
{' number': -6.3944163, ' 1': -1.7834566, ' 2': -0.23196776, ' one': -6.1825247, ' two': -3.388975}
{' number': -6.392956, ' 1': -0.4327132, ' 2': -1.1294504, ' one': -4.806506, ' two': -4.1044583}
{' 2': -0.21559651, ' 1': -1.9014963, ' two': -3.2322934, ' one': -6.2065434, ' number': -6.423207}
{' 2': -0.36310902, ' 1': -1.3240446, ' two': -3.4491646, ' one': -5.737961, ' number': -6.299968}
{' number': -6.4662566, ' 1': -1.7663935, ' 2': -0.2342626, ' one': -6.1922803, ' two': -3.415901}
{' number': -6.244579, ' 1': -1.7864695, ' 2': -0.23228945, ' one': -6.1507487, ' two': -3.379687}
{' 2': -0.2692948, ' 1': -1.6453457, ' two': -3.2887459, ' one': -5.994634, ' number': -6.30514}
{' number': -6.3447914, ' 1': -1.4809753, ' 2': -0.31055385, ' one': -5.852313, ' two': -3.3994036}
{' number': -6.1853533, ' 1': -1.4268351, ' 2': -0.33369923, ' one': -5.7723203, ' two': -3.2992065}
{' number': -6.3919477, ' #': -6.7066975, ' 1': -2.8947685, ' 2': -0.10237215, ' two': -3.264342}
{' number': -6.488419, ' #': -6.8661695, ' 1': -3.5118208, ' 2': -0.07628937, ' two': -3.206458}
{' number': -6.4169507, ' #': -6.7022433, ' 1': -2.5865445, ' 2': -0.123429, ' two': -3.2992766}
{' 2': -0.1443253, ' 1': -2.417818, ' two': -3.1974905, ' number': -6.3095446, ' one': -6.647823}
{' number': -6.2611194, ' 1': -2.0589948, ' 2': -0.18256606, ' one': -6.396514, ' two': -3.3710823}
{' number': -6.5814424, ' #': -6.899169, ' 1': -3.2690613, ' 2': -0.08096262, ' two': -3.3041928}
{' number': -6.3891263, ' #': -6.9195046, ' 1': -3.8282485, ' 2': -0.061410423, ' two': -3.3596184}
{' number': -6.3969193, ' #': -6.817701, ' 1': -3.213042, ' 2': -0.09338284, ' two': -3.0924902}
{' number': -6.3655457, ' 1': -2.0426538, ' 2': -0.19077867, ' one': -6.3394904, ' two': -3.239294}
{' number': -6.2659016, ' 1': -1.9342427, ' 2': -0.20942354, ' one': -6.223617, ' two': -3.2416518}
{' number': -6.3610487, ' 1': -1.8396199, ' 2': -0.22642836, ' one': -6.0911093, ' two': -3.2620442}
{' number': -6.5581164, ' #': -6.89193, ' 1': -3.9018466, ' 2': -0.06676602, ' two': -3.1817715}
{' number': -6.220422, ' 1': -2.234715, ' 2': -0.16705552, ' one': -6.5140386, ' two': -3.1732235}
{' 2': -0.07951413, ' two': -3.0910099, ' 1': -3.5922303, ' number': -6.3454022, ' #': -6.7897563}
{' number': -6.245391, ' 1': -2.4277775, ' 2': -0.14218642, ' one': -6.6246614, ' two': -3.2284098}
{' 2': -0.1493942, ' 1': -2.3389828, ' two': -3.2705734, ' number': -6.4136057, ' one': -6.6079044}
{' number': -6.1925044, ' 1': -1.6087756, ' 2': -0.2761323, ' one': -5.9937396, ' two': -3.351011}
{' number': -6.260956, ' 1': -1.953223, ' 2': -0.20517421, ' one': -6.263807, ' two': -3.2598937}
{' number': -6.3230023, ' 1': -0.63996994, ' 2': -0.81782836, ' one': -5.1015463, ' two': -3.820016}
{' 1': -0.19034733, ' 2': -1.8985724, ' one': -4.4239135, ' two': -4.7409873, ' number': -6.485202}
{' number': -6.518317, ' 1': -1.4783014, ' 2': -0.3149389, ' one': -5.790271, ' two': -3.3178415}
{' 2': -0.37306035, ' 1': -1.2931482, ' two': -3.4832838, ' one': -5.781813, ' number': -6.4774323}
{' number': -6.4349065, ' 1': -0.6932685, ' 2': -0.7508608, ' one': -5.257275, ' two': -3.9263446}
{' number': -6.3924203, ' 1': -0.5307974, ' 2': -0.9613909, ' one': -4.9404745, ' two': -3.9603722}
{' number': -6.482265, ' 1': -0.97240496, ' 2': -0.5286775, ' one': -5.562012, ' two': -3.6676197}
{' number': -6.4630303, ' 1': -0.86112636, ' 2': -0.6035543, ' one': -5.505606, ' two': -3.7546983}
{' number': -6.589127, ' 1': -2.3264472, ' 2': -0.14728057, ' one': -6.648374, ' two': -3.3464155}
{' 2': -0.078066185, ' 1': -3.287222, ' two': -3.3601115, ' number': -6.695554, ' #': -6.7922907}
{' 2': -0.46045625, ' 1': -1.0927784, ' two': -3.6164026, ' one': -5.6238203, ' number': -6.4548097}
{' number': -6.67651, ' #': -6.781769, ' 1': -3.070348, ' 2': -0.092773005, ' two': -3.2437832}
{' number': -6.505139, ' 1': -2.3075159, ' 2': -0.14865677, ' one': -6.6089926, ' two': -3.369249}
{' 2': -0.085960254, ' 1': -3.0771596, ' two': -3.399757, ' number': -6.7663026, ' #': -6.885442}
{' number': -6.4840364, ' #': -6.71053, ' 1': -2.9005907, ' 2': -0.09785431, ' two': -3.3640285}
{' number': -6.585438, ' #': -6.8204036, ' 1': -2.9244537, ' 2': -0.099495, ' two': -3.278511}
{' number': -6.6294646, ' #': -6.81749, ' 1': -2.880164, ' 2': -0.101414375, ' two': -3.297629}
{' number': -6.500648, ' #': -6.7761154, ' 1': -2.7410736, ' 2': -0.115020946, ' two': -3.2081435}
{' number': -6.647906, ' #': -6.917987, ' 1': -4.4091287, ' 2': -0.052613195, ' two': -3.3110394}
{' number': -6.662826, ' #': -6.9212613, ' 1': -4.9107547, ' 2': -0.05217923, ' two': -3.1953104}
{' number': -6.6266494, ' #': -6.988461, ' 1': -4.0936465, ' 2': -0.058583867, ' two': -3.280637}
{' number': -6.584221, ' #': -6.9698353, ' 1': -4.1133347, ' 2': -0.059496023, ' two': -3.25169}
{' 2': -0.07249489, ' two': -3.3912547, ' 1': -3.403925, ' number': -6.5471497, ' #': -6.899274}
{' number': -6.8286376, ' #': -7.032218, ' 1': -5.3172846, ' 2': -0.039755885, ' two': -3.4445353}
{' 2': -0.040632494, ' two': -3.434389, ' 1': -5.2756405, ' number': -6.575557, ' #': -7.039121}
{' 2': -0.056178793, ' two': -3.134899, ' 1': -4.756601, ' number': -6.6321344, ' #': -6.981341}
{' 2': -0.07080466, ' two': -3.2271366, ' 1': -3.651392, ' number': -6.656341, ' #': -6.9504037}
{' number': -6.526126, ' #': -6.8373494, ' 1': -3.0658827, ' 2': -0.09381044, ' two': -3.229007}
{' number': -6.584105, ' #': -6.824969, ' 1': -3.0102384, ' 2': -0.09661669, ' two': -3.2327955}
