{' No': -12.621933, ' ': -10.259762, ' Yes': -0.0020083846, ' yes': -10.109585, 'Yes': -6.2551475}
{' It': -0.49894974, ' No': -1.655236, ' Generally': -2.0835845, ' That': -3.3269186, ' Yes': -4.5842752}
{' That': -6.809937, ' No': -0.040112115, ' Generally': -4.6516194, 'No': -4.0276494, ' It': -4.668492}
{' No': -0.010459656, ' ': -10.419276, ' Generally': -7.9770865, 'No': -4.608001, ' A': -10.583294}
{' No': -0.0062602037, ' ': -11.2696, ' Generally': -14.271174, 'No': -5.0791435, ' A': -14.192893}
{' No': -0.7241225, ' It': -1.1046844, ' Generally': -1.9517131, ' That': -4.2291994, 'No': -4.797662}
{' No': -0.019785631, ' Generally': -4.7725472, 'No': -4.6676164, ' A': -8.712235, ' Yes': -6.688889}
{' No': -0.0048067644, ' ': -10.825381, ' Generally': -12.946443, 'No': -5.345352, ' A': -13.899994}
{' No': -0.41280985, ' Yes': -1.3584504, ' Generally': -2.7040026, 'No': -4.7528443, ' A': -6.3508377}
{' No': -0.0060734455, ' ': -10.349417, ' Generally': -10.631971, 'No': -5.117405, ' A': -12.65588}
{' No': -0.004810898, ' ': -11.021418, ' Generally': -11.3292, 'No': -5.3458905, ' A': -13.877675}
{' ': -9.540783, ' Generally': -8.80262, ' Yes': -0.003441493, ' yes': -9.092924, 'Yes': -5.7865357}
{' ': -10.04126, ' Generally': -9.135525, ' Yes': -0.0033077055, ' yes': -8.958759, 'Yes': -5.8147025}
{' ': -9.344553, ' Generally': -8.072256, ' Yes': -0.004153075, ' yes': -8.94279, 'Yes': -5.648178}
{' No': -8.202063, ' Generally': -8.489601, ' Yes': -0.0044972883, ' yes': -8.84549, 'Yes': -5.6120677}
{' An': -10.068269, ' ': -9.755086, ' Yes': -0.003061109, ' yes': -8.894759, 'Yes': -5.884988}
{' No': -0.10251115, ' Yes': -2.454131, 'No': -4.5595365, ' ': -7.6454945, 'Yes': -7.796519}
{' Generally': -4.750357, ' A': -7.780438, ' Yes': -0.015006124, 'Yes': -5.6682024, ' It': -7.1670175}
{' That': -5.2926493, ' Generally': -3.2856243, ' Yes': -0.12018688, 'Yes': -5.5285177, ' It': -2.8810396}
{' That': -3.2151046, ' No': -0.97973585, ' Generally': -3.0078251, ' Yes': -2.6437542, ' It': -0.8249049}
{' No': -0.04865128, ' Generally': -6.616665, 'No': -4.4712396, ' A': -6.9851875, ' Yes': -3.4028747}
{' No': -0.008970397, ' ': -9.955215, ' Generally': -12.720848, 'No': -4.72505, ' A': -12.567848}
{' That': -3.0973003, ' No': -1.7415683, ' Generally': -2.3771296, ' Yes': -3.9908645, ' It': -0.47056863}
{' That': -6.4350467, ' No': -0.058404963, ' Generally': -4.5486145, 'No': -3.5727937, ' It': -4.289028}
{' No': -0.0179812, ' Generally': -7.170931, 'No': -4.0959325, ' A': -8.8674345, ' Yes': -9.068951}
{' No': -0.015953379, ' ': -9.834027, ' Generally': -12.833608, 'No': -4.1502895, ' no': -12.65706}
{' That': -3.5843287, ' No': -0.9871703, ' Generally': -2.2470217, 'No': -4.565053, ' It': -0.7889281}
{' No': -0.03820646, 'No': -4.122383, ' Generally': -4.2425117, ' Yes': -5.31427, ' A': -7.084156}
{' No': -0.012491764, 'No': -4.3970933, ' ': -9.465193, ' Generally': -11.526227, ' A': -12.512055}
{' No': -0.8390133, ' Generally': -2.5422451, 'No': -4.963071, ' A': -5.837535, ' Yes': -0.7500813}
{' No': -0.014410203, ' ': -9.067825, ' Generally': -9.681974, 'No': -4.261795, ' A': -11.419721}
{' No': -0.00994294, ' ': -10.044096, ' Generally': -10.419881, 'No': -4.62418, ' A': -13.420945}
{' ': -9.94174, ' Generally': -12.971203, ' Yes': -0.0022201298, ' yes': -10.018205, 'Yes': -6.1588416}
{' ': -10.115452, ' Generally': -12.937205, ' Yes': -0.0020486393, ' yes': -9.91017, 'Yes': -6.241312}
{' Yes': -0.002087999, 'Yes': -6.242995, ' ': -9.570573, ' yes': -10.059934, ' No': -10.90282}
{' No': -7.493197, ' ': -8.79062, ' Yes': -0.0032665634, ' yes': -9.782357, 'Yes': -6.004773}
{' Yes': -0.0018487511, 'Yes': -6.373354, ' ': -9.577377, ' yes': -10.111626, ' No': -10.705082}
{' No': -0.06463468, ' Yes': -2.8768923, 'No': -5.1725216, ' ': -7.8179493, 'Yes': -8.628519}
{' No': -6.6194005, ' Generally': -6.6706758, ' A': -8.927034, ' Yes': -0.005650401, 'Yes': -5.9664707}
{' Yes': -0.021167437, ' No': -4.305797, ' Generally': -5.727504, 'Yes': -5.8976545, ' It': -7.842181}
{' No': -0.021377007, ' Generally': -6.805974, 'No': -4.413593, ' Yes': -5.1134677, ' It': -6.6950426}
{' No': -0.011615144, ' ': -8.912961, ' Generally': -9.978248, 'No': -4.8209906, ' Yes': -5.7285166}
{' No': -0.006201185, ' ': -9.982443, 'No': -5.094147, ' A': -14.17733, ' no': -14.10438}
{' That': -6.7189956, ' No': -0.046527624, ' Generally': -4.727672, 'No': -3.9954548, ' It': -4.2219944}
{' No': -0.013639936, ' ': -10.089724, ' Generally': -9.2246, 'No': -4.3149834, ' It': -11.20719}
{' No': -0.009046361, ' ': -10.231326, ' Generally': -11.326097, 'No': -4.7162013, ' A': -12.481661}
{' No': -0.005985176, ' ': -10.653582, 'No': -5.125831, ' no': -14.012512, ' NO': -14.74815}
{' No': -0.023996413, 'No': -4.110718, ' Generally': -5.6046867, ' It': -5.8619514, ' ': -8.949898}
{' No': -0.008465638, ' ': -9.58586, ' Generally': -8.90728, 'No': -4.8068132, ' Yes': -10.481272}
{' No': -0.005635535, ' ': -10.462081, 'No': -5.187024, ' A': -14.620406, ' no': -14.126532}
{' No': -0.02294676, ' ': -8.490918, ' Generally': -6.9493384, 'No': -4.7546663, ' Yes': -4.365236}
{' No': -0.007305761, ' ': -9.871983, ' Generally': -13.538978, 'No': -4.930577, ' A': -13.833645}
{' No': -0.005977262, ' ': -10.2698965, ' Generally': -13.8131275, 'No': -5.129253, ' no': -14.171349}
{' ': -9.916201, ' Generally': -11.660714, ' Yes': -0.0022859029, ' yes': -9.446498, 'Yes': -6.147467}
{' ': -10.178992, ' Generally': -12.031827, ' Yes': -0.001998888, ' yes': -9.469035, 'Yes': -6.28197}
{' ': -9.566842, ' Generally': -10.939897, ' Yes': -0.0021981476, ' yes': -9.469745, 'Yes': -6.2064843}
{' No': -7.660532, ' ': -8.741449, ' Yes': -0.003283188, ' yes': -9.201542, 'Yes': -5.992031}
{' No': -11.619901, ' ': -9.693491, ' Yes': -0.0021560332, ' yes': -9.4902315, 'Yes': -6.214848}
{' No': -0.050243516, ' ': -8.189407, 'No': -5.2369423, ' Yes': -3.1401482, 'Yes': -9.064991}
{' No': -7.5236306, ' Generally': -6.0893745, ' Yes': -0.0062105414, ' yes': -8.561678, 'Yes': -5.9084034}
{' No': -3.7570674, ' Generally': -4.0232706, ' Yes': -0.05519391, 'Yes': -5.7494383, ' It': -5.197871}
{' No': -0.059270088, ' Generally': -4.9212656, 'No': -4.232509, ' Yes': -4.372378, ' It': -3.9293053}
{' No': -0.01061362, ' ': -9.054671, ' Generally': -9.854079, 'No': -4.767331, ' Yes': -6.305558}
{' No': -0.006459414, ' ': -10.188864, 'No': -5.051854, ' A': -13.922894, ' no': -13.824972}
{' No': -0.40272745, ' Generally': -2.6949618, 'No': -4.3319798, ' Yes': -4.467726, ' It': -1.5215324}
{' No': -0.016900482, ' ': -9.852897, ' Generally': -7.078204, 'No': -4.16991, ' It': -8.298787}
{' No': -0.008542463, ' ': -10.396264, ' Generally': -10.757112, 'No': -4.7740946, ' A': -12.628734}
{' No': -0.0059715663, 'No': -5.127477, ' ': -10.83763, ' no': -13.631258, ' NO': -14.887606}
{' No': -0.05899223, ' Generally': -3.9627757, ' Typically': -7.572389, 'No': -4.180101, ' It': -3.8986332}
{' No': -0.008207256, ' ': -9.82384, ' Generally': -8.013375, 'No': -4.861078, ' Yes': -10.929837}
{' No': -0.004918827, ' ': -10.566357, ' Generally': -14.784727, 'No': -5.323032, ' no': -13.634947}
{' No': -0.02170034, ' ': -8.769974, ' Generally': -5.576214, 'No': -4.5183372, ' Yes': -5.0615463}
{' No': -0.0068820184, ' ': -10.142147, ' Generally': -12.187476, 'No': -4.989376, ' no': -13.689224}
{' No': -0.0066610025, ' ': -10.376198, ' Generally': -12.437527, 'No': -5.0206437, ' no': -13.771921}
{' Yes': -0.002536968, 'Yes': -6.033637, ' ': -9.511946, ' yes': -9.844249, ' No': -12.623062}
{' ': -9.730134, ' Generally': -12.91372, ' Yes': -0.0021220464, ' yes': -9.789943, 'Yes': -6.2168493}
{' Yes': -0.0023382383, 'Yes': -6.1548533, ' ': -9.055933, ' yes': -9.836822, ' No': -10.361839}
{' No': -5.948423, ' ': -8.198364, ' Yes': -0.0053783003, ' yes': -9.675044, 'Yes': -6.043897}
{' No': -10.643035, ' ': -9.356434, ' Yes': -0.0021370987, ' yes': -9.875155, 'Yes': -6.2310076}
{' No': -0.0075075207, 'No': -5.333435, ' Yes': -5.973295, ' ': -9.254992, 'Yes': -11.691543}
{' No': -5.9509635, ' Generally': -6.3936205, ' Yes': -0.008201186, 'Yes': -5.773465, ' It': -8.364301}
{' No': -2.5639894, ' Generally': -4.4087157, ' Yes': -0.13109003, 'Yes': -5.707116, ' It': -3.65554}
{' No': -0.02847867, ' Generally': -6.808546, 'No': -4.3796024, ' Yes': -6.369617, ' It': -4.450685}
{' No': -0.007153027, ' ': -9.248049, ' Generally': -10.994928, 'No': -5.0059495, ' Yes': -8.108484}
{' No': -0.005586265, ' ': -10.167787, 'No': -5.1975093, ' no': -14.294457, ' NO': -14.871977}
{' That': -5.6536365, ' No': -0.1920663, ' Generally': -4.4056053, 'No': -4.408373, ' It': -1.940386}
{' No': -0.010848646, ' ': -9.708892, ' Generally': -9.521182, 'No': -4.5680575, ' It': -8.376807}
{' No': -0.007363762, ' ': -10.392682, ' Generally': -12.357448, 'No': -4.920074, ' A': -14.145853}
{' No': -0.0046433923, ' ': -10.655616, 'No': -5.38016, ' no': -14.017359, ' NO': -14.693203}
{' That': -8.14243, ' No': -0.029603167, ' Generally': -6.2210207, 'No': -4.4639177, ' It': -4.211442}
{' No': -0.0065358463, ' ': -9.767636, ' Generally': -10.196805, 'No': -5.0496855, ' A': -12.955994}
{' No': -0.0038740186, ' ': -10.385863, 'No': -5.563898, ' no': -14.060724, ' NO': -14.786479}
{' No': -0.008405047, ' ': -8.970349, ' Generally': -8.453082, 'No': -4.8731036, ' Yes': -7.9578695}
{' No': -0.004854321, ' ': -10.053303, ' Generally': -14.691467, 'No': -5.339781, ' no': -14.060797}
{' No': -0.004529799, ' ': -10.3163, 'No': -5.407171, ' no': -14.303201, ' NO': -14.784751}
{' ': -10.141432, ' Generally': -11.373573, ' Yes': -0.002409277, ' yes': -9.898159, 'Yes': -6.075226}
{' Yes': -0.0021286772, 'Yes': -6.201027, ' yes': -9.88036, ' ': -10.395075, ' Generally': -11.319347}
{' Yes': -0.002630791, 'Yes': -6.0394764, ' ': -9.389046, ' yes': -9.833757, ' Generally': -9.849836}
{' Yes': -0.010627415, ' No': -4.9747443, 'Yes': -5.7621107, ' ': -8.456878, ' Generally': -9.23105}
{' No': -10.450417, ' ': -9.687481, ' Yes': -0.0022681004, ' yes': -9.841177, 'Yes': -6.159413}
{' No': -0.016820708, ' ': -9.081868, 'No': -4.9390507, ' Yes': -4.6707134, 'Yes': -10.229727}
{' No': -6.460698, ' Generally': -4.748954, ' Yes': -0.01656628, 'Yes': -5.6561646, ' It': -6.585858}
{' That': -5.336943, ' No': -3.1670613, ' Generally': -2.859097, ' Yes': -0.25322586, ' It': -2.2352242}
{' No': -0.2978889, ' It': -1.5786831, ' Generally': -4.1049013, 'No': -4.2241163, ' That': -4.6831274}
{' No': -0.009482035, ' ': -9.55098, ' Generally': -8.789143, 'No': -4.7146935, ' Yes': -8.505807}
{' No': -0.00672839, ' ': -10.479445, ' Generally': -14.434274, 'No': -5.0093317, ' no': -14.470377}
{' That': -3.989311, ' No': -1.0687141, ' Generally': -3.1097069, 'No': -4.7556553, ' It': -0.5559692}
{' That': -7.9817624, ' No': -0.026423598, ' Generally': -6.5560207, 'No': -4.059678, ' It': -5.014859}
{' No': -0.010418037, ' ': -10.503044, ' Generally': -10.556583, 'No': -4.575079, ' A': -13.661701}
{' No': -0.0071470854, ' ': -11.019227, 'No': -4.9471374, ' no': -14.281356, ' NO': -15.22696}
{' No': -0.31763107, ' It': -1.5069412, ' Generally': -3.5702722, 'No': -4.3954544, ' That': -5.1648083}
{' No': -0.010802189, ' ': -9.83773, ' Generally': -7.759867, ' Typically': -11.611214, 'No': -4.582213}
{' No': -0.005002571, 'No': -5.3040195, ' ': -10.98001, ' no': -14.465654, ' Generally': -15.120718}
{' No': -0.018511798, ' ': -8.782821, ' Generally': -5.6657166, 'No': -4.42949, ' Yes': -5.951693}
{' No': -0.00630333, ' ': -10.41542, ' Generally': -12.819181, 'No': -5.075378, ' no': -14.314934}
{' No': -0.0072068786, ' ': -10.617238, ' Generally': -12.639931, 'No': -4.940478, ' no': -14.438627}
{' Yes': -0.0018299423, 'Yes': -6.3850694, ' Generally': -9.882082, ' yes': -9.965221, ' ': -10.307494}
{' Yes': -0.0016671148, 'Yes': -6.494224, ' yes': -9.768711, ' Generally': -9.8398285, ' ': -10.4770355}
{' ': -9.702478, ' Generally': -8.9755535, ' Yes': -0.0022975532, ' yes': -9.674721, 'Yes': -6.240435}
{' Yes': -0.0044272365, 'Yes': -6.0937233, ' No': -6.368458, ' Generally': -8.668211, ' ': -9.183279}
{' No': -10.58364, ' ': -10.074003, ' Yes': -0.0017623482, ' yes': -9.864031, 'Yes': -6.4207263}
{' No': -0.019363372, ' ': -9.315569, 'No': -5.2702403, ' Yes': -4.276272, 'Yes': -10.145971}
{' Yes': -0.038041566, ' Generally': -3.9029627, ' No': -5.0521, ' It': -5.823737, 'Yes': -5.8306475}
{' That': -4.44194, ' No': -2.4344497, ' Generally': -2.5346658, ' Yes': -0.43883672, ' It': -1.8485161}
{' That': -3.9452126, ' No': -0.29589784, ' Generally': -4.0257335, 'No': -4.526216, ' It': -1.6355509}
{' No': -0.010321072, ' Generally': -7.9901485, 'No': -4.840998, ' A': -8.502686, ' Yes': -6.3655453}
{' No': -0.004915414, ' ': -10.58058, ' Generally': -13.985707, 'No': -5.3237686, ' A': -13.7137785}
{' That': -3.6686864, ' No': -0.7950519, ' Generally': -2.5175364, 'No': -4.6555405, ' It': -0.89126045}
{' That': -9.460588, ' No': -0.015923584, ' Generally': -6.587502, 'No': -4.309266, ' It': -7.3541017}
{' No': -0.008559536, ' ': -10.585112, ' Generally': -9.242116, 'No': -4.781884, ' A': -11.359097}
{' No': -0.0063786684, 'No': -5.060719, ' ': -11.124322, ' no': -14.143728, ' A': -14.577622}
{' That': -5.8287444, ' No': -0.15766843, ' Generally': -3.1545768, 'No': -4.4697714, ' It': -2.481393}
{' No': -0.009329689, ' ': -9.798577, ' Generally': -6.5709786, 'No': -4.867226, ' A': -9.933439}
{' No': -0.005141976, 'No': -5.2773433, ' ': -10.853871, ' Generally': -13.544064, ' no': -14.27522}
{' No': -0.05763138, ' Yes': -3.4578633, ' Generally': -4.2860837, 'No': -4.682917, ' A': -7.450799}
{' No': -0.005486292, 'No': -5.216725, ' ': -10.31092, ' Generally': -11.669029, ' A': -13.416301}
{' No': -0.004978431, ' Not': -14.196673, ' ': -10.719984, ' Generally': -11.617543, 'No': -5.312044}
{' Yes': -0.0032479041, 'Yes': -6.017791, ' Generally': -8.07833, ' yes': -8.710948, ' An': -8.904279}
{' An': -8.197745, ' Generally': -7.763933, ' Yes': -0.0034217578, ' yes': -8.631469, 'Yes': -6.056682}
{' Yes': -0.005723415, 'Yes': -5.956317, ' Generally': -6.5652323, ' An': -6.9602904, ' No': -8.500325}
{' An': -7.226865, ' No': -6.326495, ' Generally': -6.7446866, ' Yes': -0.0067932587, 'Yes': -5.993724}
{' An': -8.464572, ' ': -9.213504, ' Yes': -0.0026907322, ' yes': -8.6262045, 'Yes': -6.203809}
{' No': -0.03490672, ' Yes': -3.5849156, 'No': -5.193842, ' An': -7.5996776, ' ': -8.167377}
{' No': -5.2650228, ' Generally': -3.6511614, ' A': -5.2652764, ' Yes': -0.052114923, ' It': -5.795651}
{' That': -3.5388148, ' No': -2.3928113, ' Generally': -2.240561, ' Yes': -0.617516, ' It': -1.7124981}
{' That': -3.949505, ' No': -0.2701571, ' Generally': -2.8455813, ' Yes': -3.2685702, ' It': -2.4556296}
{' No': -0.034654245, ' Yes': -4.0214972, 'No': -4.778259, ' A': -5.594782, ' Generally': -5.732305}
{' No': -0.0064129834, ' ': -9.161677, ' Generally': -10.229328, 'No': -5.0891953, ' A': -9.800662}
{' That': -3.2139537, ' No': -0.8510424, ' On': -4.498587, ' Generally': -1.8610884, ' It': -1.171727}
{' That': -6.9707713, ' No': -0.028213473, ' Generally': -4.6943283, 'No': -4.4241524, ' It': -5.7059646}
{' No': -0.012181772, ' Generally': -6.3316126, 'No': -4.6612487, ' A': -7.6658354, ' Yes': -9.080379}
{' No': -0.0074732318, ' ': -9.704052, ' Generally': -10.369126, 'No': -4.9198074, ' A': -10.570941}
{' That': -5.0306387, ' No': -0.20755306, ' Generally': -2.5073845, 'No': -4.608964, ' It': -2.6645384}
{' No': -0.037744228, ' Generally': -3.7763746, 'No': -4.768724, ' A': -6.2056475, ' Yes': -6.3904166}
{' No': -0.0068470305, ' ': -9.372659, ' Generally': -8.894198, 'No': -5.0335784, ' A': -10.177682}
{' No': -0.2732173, ' Generally': -2.1407404, ' Yes': -2.4240086, ' A': -4.3244886, 'No': -4.752766}
{' No': -0.007961075, 'No': -4.9120536, ' Generally': -8.113777, ' ': -8.911458, ' A': -9.66011}
{' No': -0.007075108, ' ': -9.181487, ' Generally': -8.747324, 'No': -5.005915, ' A': -10.582971}
{' ': -10.128274, ' Generally': -9.025934, ' Yes': -0.0025060726, ' yes': -9.574007, 'Yes': -6.096002}
{' ': -10.45679, ' Generally': -9.504216, ' Yes': -0.00229618, ' yes': -9.572852, 'Yes': -6.164174}
{' No': -9.355242, ' ': -9.375544, ' Generally': -7.739302, ' Yes': -0.0032110696, 'Yes': -6.0183396}
{' No': -6.062245, ' ': -8.62263, ' Generally': -7.272122, ' Yes': -0.00630093, 'Yes': -5.872119}
{' An': -9.863716, ' ': -9.846712, ' Yes': -0.0025487407, ' yes': -9.558466, 'Yes': -6.0661564}
{' An': -9.90877, ' No': -0.013134622, ' ': -9.148851, 'No': -4.7739854, ' Yes': -5.423859}
{' No': -5.3020616, ' Generally': -3.8026206, ' Yes': -0.039553463, 'Yes': -5.4769597, ' It': -6.0967484}
{' That': -4.153518, ' No': -1.9974686, ' Generally': -2.258041, ' Yes': -0.50379145, ' It': -2.2153697}
{' That': -4.1315737, ' No': -0.20267397, ' Generally': -3.5208426, 'No': -3.9579058, ' It': -2.3124952}
{' No': -0.028859211, ' Generally': -6.0225224, 'No': -4.244214, ' A': -6.851289, ' Yes': -4.5853987}
{' No': -0.008851866, ' ': -10.421854, ' Generally': -11.903076, 'No': -4.7365036, ' A': -12.4227495}
{' That': -3.5430245, ' No': -0.76043385, ' Generally': -1.9077172, 'No': -4.140122, ' It': -1.2001331}
{' No': -0.0325997, 'No': -3.7610676, ' Generally': -5.1645823, ' It': -6.2540255, ' That': -8.049823}
{' No': -0.016322272, 'No': -4.158892, ' Generally': -7.66875, ' ': -10.254373, ' A': -10.421023}
{' No': -0.009270189, ' ': -10.956533, ' Generally': -12.754391, 'No': -4.688277, ' A': -13.536503}
{' No': -0.22160704, ' It': -2.2508984, ' Generally': -2.782585, 'No': -3.9376867, ' That': -5.190813}
{' No': -0.018223671, ' Generally': -5.2769303, 'No': -4.396035, ' A': -8.767024, ' Yes': -8.625932}
{' No': -0.008174863, 'No': -4.815931, ' ': -10.559037, ' Generally': -11.449128, ' A': -13.485136}
{' No': -0.23898175, ' Generally': -2.8553529, 'No': -4.427016, ' A': -6.0190926, ' Yes': -1.9830879}
{' No': -0.010531394, ' ': -10.0126915, ' Generally': -9.566492, 'No': -4.5712247, ' A': -11.907779}
{' No': -0.008846815, ' Not': -13.09016, ' ': -10.490519, ' Generally': -9.848141, 'No': -4.742348}
{' ': -9.977898, ' Generally': -11.44537, ' Yes': -0.0029379525, ' yes': -9.573856, 'Yes': -5.879299}
{' Yes': -0.0030160914, 'Yes': -5.8505197, ' yes': -9.465061, ' ': -10.169907, ' Generally': -11.755867}
{' ': -9.384012, ' Generally': -10.588442, ' Yes': -0.0035634544, ' yes': -9.489922, 'Yes': -5.701769}
{' No': -7.5209565, ' ': -8.829028, ' Yes': -0.004574888, ' yes': -9.15534, 'Yes': -5.599803}
{' No': -11.064876, ' ': -9.762942, ' Yes': -0.003013221, ' yes': -9.671132, 'Yes': -5.85571}
{' No': -0.15410063, ' ': -7.328972, 'No': -4.7655125, ' Yes': -2.0175266, 'Yes': -7.389261}
{' No': -8.028453, ' Generally': -6.0328856, ' A': -8.547667, ' Yes': -0.0073561952, 'Yes': -5.5786185}
{' No': -4.6702156, ' Generally': -4.245937, ' Yes': -0.045295816, 'Yes': -5.375368, ' It': -4.429149}
{' No': -0.27569363, ' Generally': -3.8691897, 'No': -4.111774, ' Yes': -2.4961545, ' It': -2.247915}
{' No': -0.18705198, ' Generally': -7.3271556, 'No': -4.486679, ' Yes': -1.8531572, 'Yes': -7.172941}
{' No': -0.0090441955, ' ': -9.678311, 'No': -4.718223, ' A': -12.96689, ' Yes': -12.523194}
{' It': -0.7205334, ' No': -0.8712635, ' Generally': -3.106733, ' That': -3.8803327, 'No': -4.345148}
{' That': -8.7602215, ' No': -0.027588246, ' Generally': -6.804165, 'No': -3.713671, ' It': -6.719427}
{' No': -0.013480127, ' ': -9.940514, ' Generally': -9.704801, 'No': -4.3242083, ' Yes': -11.119275}
{' No': -0.009654204, '\n': -14.140502, ' ': -10.207502, 'No': -4.649499, ' no': -13.423436}
{' That': -5.359635, ' No': -0.19489348, ' Generally': -3.9616249, 'No': -4.1378293, ' It': -2.012917}
{' No': -0.0132198995, ' ': -9.407775, ' Generally': -7.6542544, 'No': -4.3863964, ' Yes': -9.481237}
{' No': -0.008534829, '\n': -13.738513, ' ': -10.059802, 'No': -4.773441, ' no': -13.558199}
{' No': -0.100208245, ' Generally': -4.956947, 'No': -4.2020016, ' Yes': -2.629728, 'Yes': -8.029756}
{' No': -0.009982375, ' ': -9.671012, ' Generally': -12.30351, 'No': -4.619552, ' Yes': -13.179565}
{' No': -0.00861178, '\n': -13.401967, ' ': -9.949749, ' Generally': -12.678129, 'No': -4.7654743}
{' ': -10.412666, ' Generally': -12.270795, ' Yes': -0.0015339822, ' yes': -10.211544, 'Yes': -6.5328674}
{' Yes': -0.0016186972, 'Yes': -6.472848, ' yes': -10.130365, ' ': -10.650418, ' Generally': -12.454387}
{' No': -10.6517935, ' ': -9.947774, ' Yes': -0.0017833055, ' yes': -10.083946, 'Yes': -6.4055076}
{' No': -8.329447, ' ': -9.377949, ' Yes': -0.0021612914, ' yes': -9.942785, 'Yes': -6.339588}
{' No': -11.219117, ' ': -10.35875, ' Yes': -0.0014318477, ' yes': -10.33505, 'Yes': -6.608478}
{' No': -0.06980046, ' ': -8.385257, 'No': -5.489274, ' Yes': -2.766269, 'Yes': -8.778797}
{' No': -6.637295, ' Generally': -6.604559, ' A': -9.443592, ' Yes': -0.0050376146, 'Yes': -6.2180686}
{' No': -4.075082, ' Generally': -5.11724, ' Yes': -0.02862458, 'Yes': -6.032149, ' It': -6.413754}
{' No': -0.068384044, ' Generally': -5.2105956, 'No': -4.5977683, ' Yes': -3.1520019, ' It': -5.1531157}
{' No': -0.012352597, ' ': -9.100885, ' Generally': -9.53533, 'No': -5.182114, ' Yes': -5.0479455}
{' No': -0.0054033473, ' ': -10.341546, 'No': -5.2300644, ' Yes': -14.196503, ' no': -14.2634325}
{' No': -0.0710327, ' Generally': -3.825824, 'No': -4.398145, ' Yes': -5.5183706, ' It': -3.6500254}
{' No': -0.011057934, 'No': -4.5617476, ' Generally': -8.256539, ' It': -8.766885, ' ': -10.203055}
{' No': -0.0063592354, ' ': -10.60289, ' Generally': -10.852602, 'No': -5.06933, ' A': -12.97159}
{' No': -0.00472711, 'No': -5.3609986, ' ': -10.962344, ' no': -13.981984, '\n': -14.775236}
{' That': -8.4763155, ' No': -0.018822663, ' Generally': -5.670357, 'No': -4.6225004, ' It': -5.3985987}
{' No': -0.0066769635, ' ': -10.097173, ' Generally': -8.779456, 'No': -5.0504847, ' Yes': -10.231359}
{' No': -0.00487199, 'No': -5.3317723, ' ': -10.728204, ' no': -14.111917, '\n': -14.376061}
{' No': -0.012027087, 'No': -4.95971, ' Yes': -5.531333, ' Generally': -7.1344404, ' ': -9.281972}
{' No': -0.0054738857, ' ': -10.302608, ' Generally': -13.045648, 'No': -5.2177863, ' no': -14.095098}
{' No': -0.004991789, '\n': -13.823784, ' ': -10.503891, ' Generally': -13.667813, 'No': -5.308828}
{' ': -10.155521, ' Generally': -10.778769, ' Yes': -0.0016947589, ' yes': -10.013939, 'Yes': -6.4503675}
{' ': -10.325903, ' Generally': -10.673435, ' Yes': -0.0014157321, ' yes': -9.940754, 'Yes': -6.6437263}
{' No': -9.108655, ' ': -9.512378, ' Generally': -8.956296, ' Yes': -0.0020460112, 'Yes': -6.4055114}
{' No': -5.5127187, ' ': -8.646527, ' Generally': -8.865093, ' Yes': -0.006342619, 'Yes': -6.3082724}
{' No': -9.383419, ' ': -9.690983, ' Yes': -0.0017133245, ' yes': -9.768191, 'Yes': -6.5173283}
{' No': -0.015182031, ' Yes': -4.5385547, 'No': -5.4641333, ' ': -9.161061, 'Yes': -10.594627}
{' No': -5.4281387, ' Generally': -4.3824363, ' Yes': -0.023653062, 'Yes': -5.967605, ' It': -6.6831813}
{' That': -4.579956, ' No': -1.7334917, ' Generally': -2.450506, ' Yes': -0.6119249, ' It': -1.809349}
{' No': -0.08707271, ' It': -3.0013356, ' Generally': -4.436016, 'No': -4.525341, ' Yes': -5.5766754}
{' No': -0.007624031, ' ': -9.520832, ' Generally': -8.440147, 'No': -4.9842477, ' Yes': -7.8687377}
{' No': -0.00482018, ' ': -10.283951, ' Generally': -13.604228, 'No': -5.345587, ' A': -13.178491}
{' That': -4.5422873, ' No': -0.32802942, ' Generally': -2.9299734, 'No': -4.561048, ' It': -1.6327398}
{' No': -0.0116229225, ' ': -9.969258, ' Generally': -6.85184, 'No': -4.5891967, ' It': -8.874095}
{' No': -0.0077196527, ' ': -10.456422, ' Generally': -9.369363, 'No': -4.884749, ' A': -11.994047}
{' No': -0.0052732537, ' ': -10.861735, 'No': -5.251939, ' A': -14.674296, ' no': -14.109328}
{' No': -0.04281794, ' Generally': -4.03062, ' It': -4.4391975, 'No': -4.572437, ' Typically': -7.724599}
{' No': -0.007963416, ' ': -9.791442, ' Generally': -7.023519, 'No': -4.975298, ' A': -10.362867}
{' No': -0.004641117, ' ': -10.506407, ' Generally': -13.644914, 'No': -5.3819466, ' no': -14.173237}
{' No': -0.017222187, ' Generally': -5.0525517, 'No': -4.9400907, ' A': -8.422143, ' Yes': -5.8414197}
{' No': -0.0059305513, 'No': -5.140034, ' ': -10.154316, ' Generally': -11.418461, ' A': -13.290707}
{' No': -0.0051994966, ' Not': -14.048481, ' ': -10.549244, ' Generally': -11.916038, 'No': -5.2688866}
{' Yes': -0.0022681004, 'Yes': -6.135475, ' yes': -9.870079, ' ': -10.2930565, ' Generally': -11.748763}
{' ': -10.352402, ' Generally': -11.758698, ' Yes': -0.0019741585, ' yes': -9.877778, 'Yes': -6.279623}
