{' No': -0.053980637, ' ': -9.075347, 'No': -6.8188515, ' Yes': -2.9723742, 'Yes': -8.938116}
{' No': -0.0017547058, ' ': -10.726146, 'No': -6.3663344, ' Yes': -12.132434, ' no': -12.703711}
{' No': -0.00235431, ' Yes': -6.745737, 'No': -6.7968845, ' ': -9.939087, 'Yes': -12.382908}
{' No': -0.07341639, ' ': -8.971428, 'No': -7.040201, ' Yes': -2.665215, 'Yes': -8.636859}
{' No': -0.020815492, ' Yes': -3.9771314, 'No': -6.3759556, 'Yes': -9.469589, ' ': -9.575964}
{' No': -0.8624802, ' ': -8.174746, 'No': -7.6409283, ' Yes': -0.55251896, 'Yes': -6.478283}
{' Yes': -0.0064126225, ' No': -5.489975, 'Yes': -6.166435, ' yes': -9.212445, ' ': -9.895982}
{' No': -5.913984, ' ': -10.2216425, ' Yes': -0.005107708, ' yes': -9.516942, 'Yes': -6.088605}
{' No': -2.611178, ' ': -9.225342, ' Yes': -0.07871277, ' yes': -9.420222, 'Yes': -6.2282577}
{' No': -0.0018024737, '\n': -12.972426, ' ': -10.854714, 'No': -6.3442206, ' Yes': -10.864673}
{' No': -0.00921382, ' ': -9.870444, 'No': -6.813537, ' Yes': -4.829677, 'Yes': -10.644771}
{' No': -0.0015747572, ' ': -10.746018, 'No': -6.4750643, ' Yes': -12.619546, ' no': -12.539639}
{' No': -0.0015413263, ' ': -10.384388, 'No': -7.078928, ' Yes': -7.3216586, 'Yes': -13.148969}
{' No': -0.042585474, ' ': -9.1786995, 'No': -7.0979137, ' Yes': -3.202818, 'Yes': -9.206478}
{' No': -0.047598146, ' ': -9.479132, 'No': -6.744171, ' Yes': -3.0993752, 'Yes': -8.909908}
{' Yes': -0.46020803, ' No': -1.0027344, 'Yes': -6.603589, 'No': -8.017577, ' ': -8.52144}
{' No': -5.174666, ' ': -9.958002, ' Yes': -0.0076317186, ' yes': -9.232689, 'Yes': -6.3285317}
{' No': -6.4982524, ' ': -10.54448, ' Yes': -0.003443945, ' yes': -9.554923, 'Yes': -6.3065977}
{' No': -2.2713983, ' ': -9.358882, 'No': -9.311526, ' Yes': -0.11099031, 'Yes': -6.424398}
{' No': -0.0014858679, 'No': -6.542772, ' Yes': -10.680185, ' ': -10.978294, ' no': -13.090008}
{' No': -0.060483668, ' ': -9.847595, 'No': -6.8571296, ' Yes': -2.8576543, 'Yes': -8.72892}
{' No': -0.001603233, ' ': -11.649662, 'No': -6.449408, ' Yes': -11.798231, ' no': -12.99261}
{' No': -0.005564209, ' ': -10.464851, 'No': -6.9020143, ' Yes': -5.4046974, 'Yes': -11.144454}
{' No': -0.29157153, ' ': -9.332559, 'No': -7.315383, ' Yes': -1.3802384, 'Yes': -7.4341474}
{' No': -0.09370766, ' Yes': -2.431562, 'No': -6.71717, 'Yes': -8.193639, ' ': -10.079347}
{' No': -1.3391677, ' ': -9.251988, 'No': -8.250648, ' Yes': -0.3068648, 'Yes': -6.3638887}
{' No': -5.799163, ' ': -10.971681, ' Yes': -0.0051316735, ' yes': -9.052331, 'Yes': -6.2429967}
{' Yes': -0.0037541129, 'Yes': -6.263243, ' No': -6.3575425, ' yes': -9.352591, ' ': -11.314765}
{' No': -2.7693205, 'No': -9.605445, ' Yes': -0.06705185, ' yes': -9.122618, 'Yes': -6.254397}
{' No': -0.0017098656, 'No': -6.3862767, ' Yes': -11.110485, ' ': -12.040632, ' no': -13.402665}
{' No': -0.030497842, ' ': -9.480893, 'No': -5.757216, ' Yes': -3.6273203, 'Yes': -8.555076}
{' No': -0.0037802598, ' ': -11.158784, 'No': -5.5897365, ' Yes': -11.082274, ' NO': -12.503737}
{' No': -0.033920582, ' ': -9.160791, 'No': -6.032646, ' Yes': -3.4853954, 'Yes': -8.564201}
{' No': -0.43147144, ' ': -8.326675, 'No': -6.064551, ' Yes': -1.0636411, 'Yes': -5.9609437}
{' No': -0.10976507, ' ': -9.305314, 'No': -5.721585, ' Yes': -2.3042762, 'Yes': -7.2346697}
{' No': -2.8972187, ' ': -8.954281, 'No': -8.940597, ' Yes': -0.06159963, 'Yes': -5.4808154}
{' No': -5.6839476, ' ': -9.372394, ' Yes': -0.00947271, ' yes': -8.840968, 'Yes': -5.1565156}
{' No': -6.979135, ' ': -10.708518, ' Yes': -0.005660713, ' yes': -9.34731, 'Yes': -5.3853736}
{' No': -3.3292854, 'No': -9.088437, ' Yes': -0.041995265, ' yes': -9.194137, 'Yes': -5.2976413}
{' No': -0.0048316806, 'No': -5.345274, ' Yes': -10.254984, ' ': -11.708066, ' no': -13.06977}
{' No': -0.02384184, ' ': -9.457148, 'No': -6.142357, ' Yes': -3.853834, 'Yes': -9.107684}
{' No': -0.002773215, ' ': -11.060305, 'No': -5.9010983, ' Yes': -11.746278, ' no': -12.328856}
{' No': -0.0023464833, ' ': -10.47072, 'No': -6.432705, ' Yes': -7.2663975, 'Yes': -12.612174}
{' No': -0.039350834, ' ': -9.597021, 'No': -6.184628, ' Yes': -3.3173392, 'Yes': -8.570839}
{' No': -0.47278395, ' ': -8.753599, 'No': -6.345463, ' Yes': -0.9875049, 'Yes': -6.12121}
{' No': -0.9116278, ' ': -8.531001, 'No': -7.147336, ' Yes': -0.520074, 'Yes': -5.980672}
{' No': -6.263957, ' ': -9.741283, ' Yes': -0.0066479826, ' yes': -8.641525, 'Yes': -5.4114065}
{' No': -6.50774, ' ': -10.202126, ' Yes': -0.0058105225, ' yes': -8.935579, 'Yes': -5.493657}
{' No': -3.3597672, ' ': -9.140851, ' Yes': -0.040629704, ' yes': -8.661605, 'Yes': -5.3641996}
{' No': -0.0042170594, ' ': -11.536998, 'No': -5.5081344, ' Yes': -8.884518, ' no': -12.803006}
{' No': -0.057452332, ' Yes': -2.9057684, 'No': -6.9861264, 'Yes': -8.954586, ' ': -9.766037}
{' No': -0.0013809926, ' ': -10.986528, 'No': -6.612392, ' Yes': -11.142264, ' no': -12.957072}
{' No': -0.0019354626, ' ': -10.524806, 'No': -7.0433855, ' Yes': -6.880315, 'Yes': -12.740694}
{' No': -0.14981197, ' Yes': -1.9805195, 'No': -7.2318034, 'Yes': -8.090453, ' ': -9.407386}
{' No': -0.49902984, ' Yes': -0.93855166, 'Yes': -6.9897676, 'No': -7.382542, ' ': -9.444491}
{' No': -1.5384126, ' ': -9.134933, 'No': -8.781246, ' Yes': -0.24383216, 'Yes': -6.6277547}
{' No': -6.1286354, ' ': -10.864866, ' Yes': -0.0037749952, ' yes': -9.573488, 'Yes': -6.506756}
{' No': -6.7391715, ' ': -11.065258, ' Yes': -0.002828981, ' yes': -9.803867, 'Yes': -6.460136}
{' No': -2.7637398, 'No': -9.597867, ' Yes': -0.06737066, ' yes': -9.6209135, 'Yes': -6.261058}
{' No': -0.0016398901, ' ': -11.493538, 'No': -6.4438396, ' Yes': -10.258954, ' no': -13.323827}
{' No': -0.61639565, ' ': -8.646945, 'No': -7.769613, ' Yes': -0.77941865, 'Yes': -7.1819563}
{' No': -0.0011839839, ' ': -10.811328, 'No': -6.769262, ' Yes': -11.465063, ' no': -13.140197}
{' No': -0.014022969, ' ': -9.293388, 'No': -7.419325, ' Yes': -4.327265, 'Yes': -10.639688}
{' No': -1.1277105, ' ': -8.608679, 'No': -8.4892235, ' Yes': -0.3933945, 'Yes': -6.9075108}
{' No': -1.608881, ' ': -9.004064, 'No': -8.592177, ' Yes': -0.22555542, 'Yes': -6.566783}
{' No': -4.7451305, ' ': -9.879879, ' Yes': -0.009962447, ' yes': -9.597308, 'Yes': -6.8235927}
{' No': -8.677893, ' ': -10.942699, ' Yes': -0.0013487611, ' yes': -9.712133, 'Yes': -6.8173556}
{' No': -8.609375, ' ': -11.121187, ' Yes': -0.0014193129, ' yes': -10.043396, 'Yes': -6.749401}
{' No': -5.033301, ' ': -10.269125, ' Yes': -0.007946535, ' yes': -9.753637, 'Yes': -6.6498914}
{' No': -0.0012949277, ' ': -11.029656, 'No': -6.767532, ' Yes': -8.988018, ' no': -13.811712}
{' No': -0.17487226, ' ': -9.702627, 'No': -7.388779, ' Yes': -1.8361634, 'Yes': -8.11013}
{' No': -0.0011931151, ' ': -11.255667, 'No': -6.755202, ' Yes': -11.566417, ' no': -13.023594}
{' No': -0.0025891976, ' ': -10.67505, 'No': -7.293061, ' Yes': -6.2791696, 'Yes': -12.22989}
{' No': -0.3298078, ' ': -9.38788, 'No': -7.6847825, ' Yes': -1.2735658, 'Yes': -7.550015}
{' Yes': -0.48205495, ' No': -0.9652474, 'Yes': -6.7697845, 'No': -8.087733, ' yes': -9.507735}
{' No': -3.032927, ' ': -10.097412, ' Yes': -0.05095566, ' yes': -9.583348, 'Yes': -6.6015053}
{' No': -7.5725226, ' ': -11.494761, ' Yes': -0.0017397184, ' yes': -9.741636, 'Yes': -6.768082}
{' No': -8.132301, ' ': -11.690038, ' Yes': -0.0015050304, ' yes': -10.086255, 'Yes': -6.763614}
{' No': -3.9367127, ' ': -10.720724, ' Yes': -0.021116909, ' yes': -9.843124, 'Yes': -6.652464}
{' No': -0.0012505258, ' ': -11.726762, 'No': -6.7420473, ' Yes': -9.73508, ' no': -13.703705}
{' No': -0.13075066, ' ': -9.258488, 'No': -6.838243, ' Yes': -2.1117382, 'Yes': -8.013128}
{' No': -0.0017567351, ' ': -11.000153, 'No': -6.362659, ' Yes': -12.095482, ' no': -12.654167}
{' No': -0.0053619407, ' ': -9.992043, 'No': -6.878027, ' Yes': -5.4604187, 'Yes': -11.236681}
{' No': -0.3647009, ' ': -8.914097, 'No': -7.2141, ' Yes': -1.1911626, 'Yes': -7.1308637}
{' No': -0.3898373, ' Yes': -1.1373998, 'No': -6.8842597, 'Yes': -6.9354725, ' ': -9.09894}
{' No': -3.0142593, ' ': -9.503999, ' Yes': -0.05258385, ' yes': -9.237051, 'Yes': -6.2627444}
{' No': -7.110765, ' ': -10.7723055, ' Yes': -0.0027081852, ' yes': -9.360699, 'Yes': -6.3365297}
{' No': -7.2909374, ' ': -11.082294, ' Yes': -0.0025889582, ' yes': -9.677874, 'Yes': -6.3125215}
{' No': -3.9037383, ' ': -10.079915, ' Yes': -0.022623274, ' yes': -9.391409, 'Yes': -6.1945357}
{' No': -0.0020454132, '\n': -13.277499, ' ': -11.096614, 'No': -6.230569, ' Yes': -9.8044195}
{' No': -0.24086256, ' ': -9.366668, 'No': -7.044375, ' Yes': -1.5487602, 'Yes': -7.536534}
{' No': -0.0016551132, ' ': -10.904424, 'No': -6.4281373, ' Yes': -11.291821, ' no': -12.66025}
{' No': -0.010753992, ' Yes': -4.6267724, 'No': -7.088923, ' ': -10.035124, 'Yes': -10.54776}
{' No': -1.3039371, ' ': -8.984855, 'No': -8.261144, ' Yes': -0.3196003, 'Yes': -6.434951}
{' No': -1.3906276, 'No': -8.055315, ' Yes': -0.28942558, ' yes': -9.119423, 'Yes': -6.284697}
{' No': -4.7301154, ' ': -10.354931, ' Yes': -0.010741941, ' yes': -9.416037, 'Yes': -6.3597426}
{' Yes': -0.0020227768, 'Yes': -6.4360623, ' No': -8.012761, ' yes': -9.563966, ' ': -11.475022}
{' No': -8.620846, ' ': -11.592944, ' Yes': -0.0018489894, ' yes': -9.8474455, 'Yes': -6.439324}
{' No': -5.488399, ' ': -10.7522955, ' Yes': -0.0059888945, ' yes': -9.477395, 'Yes': -6.3612776}
{' No': -0.0019008245, '\n': -13.706278, ' ': -11.353754, 'No': -6.4154553, ' Yes': -8.304343}
{' No': -0.29606476, ' Yes': -1.3699154, 'No': -6.7642307, 'Yes': -7.118179, ' ': -9.182959}
{' No': -0.0021825556, ' ': -10.9816475, 'No': -6.1430645, ' Yes': -11.735038, ' NO': -12.792699}
{' No': -0.010401715, ' ': -9.658967, 'No': -6.7094254, ' Yes': -4.707942, 'Yes': -10.334836}
{' No': -1.1103048, ' ': -8.988416, 'No': -7.820838, ' Yes': -0.40337846, 'Yes': -6.2869644}
{' No': -0.7356695, ' ': -9.11391, 'No': -7.0402026, ' Yes': -0.6579413, 'Yes': -6.3176703}
{' No': -3.861715, ' ': -9.705925, ' Yes': -0.023956122, ' yes': -9.293648, 'Yes': -6.013714}
{' No': -8.307887, ' ': -11.126584, ' Yes': -0.0025630223, ' yes': -9.396795, 'Yes': -6.1161604}
{' No': -8.039247, ' ': -11.090081, ' Yes': -0.002980877, ' yes': -9.7413, 'Yes': -5.9648643}
{' No': -4.426512, ' ': -10.246214, ' Yes': -0.0149976555, ' yes': -9.4345, 'Yes': -5.884531}
{' No': -0.0023397908, '\n': -13.514002, ' ': -11.298773, 'No': -6.0817156, ' Yes': -10.202537}
{' No': -0.21825737, ' ': -9.838889, 'No': -7.1330423, ' Yes': -1.6359762, 'Yes': -7.748187}
{' No': -0.001464201, ' ': -11.451806, 'No': -6.5468087, ' Yes': -11.278117, ' no': -13.046713}
{' No': -0.0057029133, ' ': -10.54026, 'No': -7.15049, ' Yes': -5.3269024, 'Yes': -11.217666}
{' Yes': -0.69152516, ' No': -0.6979759, 'Yes': -6.876631, 'No': -7.7668424, ' ': -9.411793}
{' No': -0.92736894, 'No': -7.7464414, ' Yes': -0.5067375, ' yes': -9.546273, 'Yes': -6.5804257}
{' No': -3.599684, ' ': -10.361481, ' Yes': -0.029499598, ' yes': -9.554426, 'Yes': -6.435751}
{' No': -8.1028595, ' ': -11.88809, ' Yes': -0.0017918454, ' yes': -9.822571, 'Yes': -6.555817}
{' No': -8.78791, ' ': -12.356703, ' Yes': -0.0015632352, ' yes': -10.154043, 'Yes': -6.5995336}
{' No': -4.756932, ' ': -11.296873, ' Yes': -0.010248806, ' yes': -9.8195505, 'Yes': -6.4855676}
{' No': -0.00157398, ' ': -12.035721, 'No': -6.6069317, ' Yes': -8.450752, 'Yes': -14.216027}
{' No': -1.7498282, 'No': -8.442026, ' Yes': -0.19371407, ' yes': -8.860487, 'Yes': -6.289674}
{' No': -0.0017027009, ' ': -11.305339, 'No': -6.543191, ' Yes': -8.319388, ' NO': -13.064751}
{' No': -0.19181858, ' ': -8.978359, 'No': -7.0356884, ' Yes': -1.7541527, 'Yes': -7.7026234}
{' No': -4.606877, ' ': -10.33663, ' Yes': -0.012367804, ' yes': -9.07077, 'Yes': -6.1473947}
{' No': -3.671085, 'No': -10.324983, ' Yes': -0.028098585, ' yes': -9.005803, 'Yes': -6.1845694}
{' No': -5.6319942, ' ': -10.432799, ' Yes': -0.0054013096, ' yes': -9.324332, 'Yes': -6.393837}
{' No': -9.759269, ' ': -11.583591, ' Yes': -0.0017246117, ' yes': -9.431458, 'Yes': -6.458636}
{' No': -9.477392, ' YES': -11.726924, ' Yes': -0.001713684, ' yes': -9.881444, 'Yes': -6.4574327}
{' No': -7.0939336, ' ': -11.4181595, ' Yes': -0.0025911687, ' yes': -9.64872, 'Yes': -6.3924165}
{' No': -0.0027087824, ' ': -11.273939, 'No': -6.4372234, ' Yes': -6.8262124, 'Yes': -12.525249}
{' No': -1.3979995, 'No': -8.189795, ' Yes': -0.28685457, ' yes': -9.131018, 'Yes': -6.326514}
{' No': -0.001588485, ' ': -10.961706, 'No': -6.614995, ' Yes': -8.398502, ' no': -13.266547}
{' No': -0.29224575, ' ': -8.701822, 'No': -7.3582478, ' Yes': -1.378332, 'Yes': -7.4577956}
{' No': -4.789437, ' ': -10.3590555, ' Yes': -0.010336972, ' yes': -9.263587, 'Yes': -6.3050065}
{' No': -2.6873271, 'No': -9.31959, ' Yes': -0.073311456, ' yes': -8.926268, 'Yes': -6.057714}
{' No': -6.33966, ' ': -10.602378, ' Yes': -0.0035683599, ' yes': -9.455251, 'Yes': -6.3850303}
{' No': -9.014031, ' ': -11.416695, ' Yes': -0.0018457661, ' yes': -9.56232, 'Yes': -6.415038}
{' No': -9.426935, ' ': -11.862443, ' Yes': -0.0018727588, ' yes': -9.801127, 'Yes': -6.3635097}
{' No': -7.117584, ' ': -11.483985, ' Yes': -0.0023676348, ' yes': -9.756418, 'Yes': -6.5148053}
{' No': -0.0017633039, ' ': -11.330283, 'No': -6.574309, ' Yes': -7.955888, 'Yes': -13.61597}
{' No': -0.6907292, ' ': -8.930347, 'No': -7.9450645, ' Yes': -0.6982175, 'Yes': -7.211126}
{' No': -0.0009794951, ' ': -11.204527, 'No': -7.0271363, ' Yes': -9.500324, ' no': -13.309898}
{' No': -0.119512446, ' ': -8.931902, 'No': -7.5086493, ' Yes': -2.1913984, 'Yes': -8.582817}
{' No': -4.4567847, ' ': -9.957293, ' Yes': -0.013223463, ' yes': -9.044455, 'Yes': -6.602407}
{' No': -3.6991134, ' ': -10.379588, ' Yes': -0.02664927, ' yes': -9.062978, 'Yes': -6.5867853}
{' No': -6.543614, ' ': -10.484773, ' Yes': -0.002732212, ' yes': -9.34658, 'Yes': -6.753903}
{' No': -9.632071, ' ': -11.443491, ' Yes': -0.0011342157, ' yes': -9.52486, 'Yes': -6.9281163}
{' No': -9.47997, ' ': -11.8542385, ' Yes': -0.0013625489, ' yes': -9.777067, 'Yes': -6.711692}
{' No': -7.8801394, ' ': -11.525081, ' Yes': -0.0016303376, ' yes': -9.6016, 'Yes': -6.751437}
{' No': -0.0016797734, ' ': -11.331534, 'No': -6.9080763, ' Yes': -7.318223, 'Yes': -13.371305}
{' No': -3.334584, ' ': -10.60503, ' Yes': -0.037821475, ' yes': -8.908542, 'Yes': -6.648716}
{' No': -0.0012726666, ' ': -11.283755, 'No': -7.115761, ' Yes': -7.721787, ' no': -13.272113}
{' No': -1.0350548, ' ': -9.234082, 'No': -8.606908, ' Yes': -0.44082037, 'Yes': -6.9816604}
{' No': -5.7791963, ' ': -11.119935, ' Yes': -0.00449633, ' yes': -9.239122, 'Yes': -6.6637387}
{' No': -5.994906, ' ': -11.851806, ' Yes': -0.0037717042, ' yes': -9.332082, 'Yes': -6.7497864}
{' No': -7.853196, ' ': -11.762395, ' Yes': -0.0013974067, ' yes': -9.693147, 'Yes': -6.975887}
{' No': -10.634746, ' ': -12.552835, ' Yes': -0.00088791945, ' yes': -9.77772, 'Yes': -7.130818}
{' No': -10.797141, ' YES': -12.631915, ' Yes': -0.001032957, ' yes': -9.921457, 'Yes': -6.9527574}
{' Yes': -0.0010824228, 'Yes': -7.0414705, ' No': -8.821562, ' yes': -9.845238, ' ': -12.611687}
{' No': -0.0027470351, ' ': -11.3624735, 'No': -7.010139, ' Yes': -6.307186, 'Yes': -12.418454}
{' No': -0.2533455, ' ': -8.909038, 'No': -6.869243, ' Yes': -1.5052776, 'Yes': -7.4093914}
{' No': -0.0017188184, ' ': -11.091221, 'No': -6.404036, ' Yes': -10.084137, ' no': -12.726049}
{' No': -0.028359095, ' ': -9.317942, 'No': -6.854107, ' Yes': -3.6219888, 'Yes': -9.4907675}
{' No': -3.1855984, ' ': -9.641653, ' Yes': -0.044924118, ' yes': -8.771738, 'Yes': -6.0774765}
{' No': -3.832705, ' ': -10.127783, ' Yes': -0.024521716, ' yes': -8.634989, 'Yes': -6.06893}
{' No': -6.5191236, ' ': -10.369618, ' Yes': -0.0035716507, ' yes': -8.946885, 'Yes': -6.256404}
{' No': -9.7510195, ' ': -11.346939, ' Yes': -0.0018666079, ' yes': -9.183927, 'Yes': -6.3852487}
{' Yes': -0.0020549085, 'Yes': -6.2931027, ' No': -9.1754265, ' yes': -9.385203, ' ': -11.54618}
{' No': -7.71852, ' ': -11.166656, ' Yes': -0.002861798, ' yes': -9.160545, 'Yes': -6.080603}
{' No': -0.0021956393, ' ': -10.988796, 'No': -6.2230506, ' Yes': -8.578604, ' no': -12.952592}
{' Yes': -0.14800394, ' No': -1.999576, 'Yes': -6.338147, ' yes': -8.677672, 'No': -8.795991}
{' No': -0.00159159, ' ': -11.235275, 'No': -6.5886827, ' Yes': -8.536299, ' no': -13.07362}
{' No': -0.27632675, ' ': -8.822755, 'No': -7.29849, ' Yes': -1.4270205, 'Yes': -7.518607}
{' No': -5.150198, ' ': -10.465759, ' Yes': -0.008149986, ' yes': -8.967167, 'Yes': -6.1434703}
{' No': -4.6784706, ' ': -10.835013, ' Yes': -0.0112099415, ' yes': -8.941349, 'Yes': -6.385649}
{' No': -7.244002, ' ': -11.047161, ' Yes': -0.0024307882, ' yes': -9.212842, 'Yes': -6.445651}
{' No': -10.646693, ' ': -11.9924345, ' Yes': -0.001409702, ' yes': -9.467454, 'Yes': -6.6486526}
{' No': -9.777418, ' YES': -11.925047, ' Yes': -0.0014995384, ' yes': -9.655909, 'Yes': -6.59704}
{' Yes': -0.0018662483, 'Yes': -6.4370184, ' No': -8.658887, ' yes': -9.480709, ' ': -11.854181}
{' No': -0.002108546, ' ': -11.230718, 'No': -6.4475293, ' Yes': -7.5933156, 'Yes': -13.244593}
{' No': -0.3037964, ' Yes': -1.3450294, 'No': -7.189769, 'Yes': -7.4923925, ' ': -9.275256}
{' No': -0.0011604707, ' ': -11.534599, 'No': -6.801396, ' Yes': -10.284782, ' no': -13.243959}
{' No': -0.03198244, ' ': -9.774994, 'No': -7.318252, ' Yes': -3.4838083, 'Yes': -9.74341}
{' No': -2.7763298, 'No': -9.855916, ' Yes': -0.0662241, ' yes': -9.147802, 'Yes': -6.4380026}
{' No': -3.6483715, ' ': -10.622389, ' Yes': -0.028185762, ' yes': -9.129824, 'Yes': -6.4418545}
{' No': -6.2858534, ' ': -10.877125, ' Yes': -0.0033097987, ' yes': -9.272939, 'Yes': -6.6308956}
{' Yes': -0.0016121276, 'Yes': -6.521538, ' yes': -9.404247, ' No': -10.010527, ' ': -11.918537}
{' No': -9.164947, ' YES': -12.049291, ' Yes': -0.0017813944, ' yes': -9.748512, 'Yes': -6.4347906}
{' Yes': -0.0021675627, 'Yes': -6.4171185, ' No': -7.711385, ' yes': -9.556802, ' ': -11.820669}
{' No': -0.0015392948, ' ': -11.517936, 'No': -6.6476936, ' Yes': -8.384562, ' no': -13.72633}
{' Yes': -0.03264736, ' No': -3.494916, 'Yes': -6.448442, ' yes': -8.965257, 'No': -10.500531}
{' No': -0.0015034789, ' ': -11.3685665, 'No': -6.7636685, ' Yes': -8.012218, ' no': -13.417347}
{' No': -1.1166183, ' ': -9.292418, 'No': -8.364573, ' Yes': -0.39882946, 'Yes': -6.804217}
{' Yes': -0.003957733, ' No': -6.072286, 'Yes': -6.4777083, ' yes': -9.34687, ' ': -11.272258}
{' No': -4.8614197, ' ': -11.459237, ' Yes': -0.009510015, ' yes': -9.301879, 'Yes': -6.4313693}
{' Yes': -0.0016086057, 'Yes': -6.783541, ' No': -7.846033, ' yes': -9.576746, ' ': -11.655536}
{' No': -10.13727, ' ': -12.378504, ' Yes': -0.0012833476, ' yes': -9.62476, 'Yes': -6.752137}
{' No': -10.593981, ' YES': -12.456032, ' Yes': -0.0011812402, ' yes': -9.985842, 'Yes': -6.8111296}
{' Yes': -0.0015255071, 'Yes': -6.7835326, ' No': -7.9981127, ' yes': -9.939958, ' ': -12.344627}
{' No': -0.0022691751, ' Yes': -6.778413, 'No': -6.7983117, ' ': -11.711871, 'Yes': -12.733111}
{' No': -2.849662, 'No': -8.992742, ' Yes': -0.06339951, ' yes': -8.531314, 'Yes': -5.7579484}
{' No': -0.002455164, ' ': -11.167696, 'No': -6.062685, ' Yes': -9.218689, ' NO': -12.041006}
{' No': -0.38862386, ' ': -8.580663, 'No': -6.815032, ' Yes': -1.1408308, 'Yes': -6.810954}
{' Yes': -0.01650756, ' No': -4.330154, 'Yes': -5.8144064, ' yes': -9.017119, ' ': -9.817559}
{' No': -1.6532727, 'No': -7.591502, ' Yes': -0.21743594, ' yes': -8.812016, 'Yes': -5.73192}
{' No': -3.460223, ' ': -9.497875, ' Yes': -0.035355233, ' yes': -8.977461, 'Yes': -5.800431}
{' No': -8.237844, ' ': -10.89428, ' Yes': -0.003002161, ' yes': -9.199038, 'Yes': -5.955148}
{' No': -8.999158, ' YES': -10.748042, ' Yes': -0.0026814726, ' yes': -9.596158, 'Yes': -6.011604}
{' No': -6.8980613, ' ': -10.960849, ' Yes': -0.0036938668, ' yes': -9.383218, 'Yes': -5.9686017}
{' No': -0.0076024085, ' ': -10.730002, 'No': -6.0628557, ' Yes': -5.259546, 'Yes': -10.763137}
{' No': -0.013516437, ' ': -9.048211, 'No': -5.943795, ' Yes': -4.5456605, 'Yes': -9.781426}
{' No': -0.0029882314, ' ': -10.318414, 'No': -5.8364706, ' Yes': -10.967444, ' no': -11.7056875}
{' No': -0.009484744, ' ': -9.055003, 'No': -6.213603, ' Yes': -4.9231653, 'Yes': -10.267728}
{' No': -2.0185337, ' ': -8.291918, 'No': -8.003082, ' Yes': -0.1476824, 'Yes': -5.6169834}
{' No': -1.0732031, ' ': -8.11812, 'No': -6.9146624, ' Yes': -0.4253397, 'Yes': -5.796963}
{' Yes': -0.038955122, ' No': -3.3745873, 'Yes': -5.6549063, ' ': -8.517098, ' yes': -8.6390295}
{' No': -7.4998093, ' ': -9.927107, ' Yes': -0.0039145243, ' yes': -8.811768, 'Yes': -5.763515}
{' No': -8.5755, ' ': -10.345307, ' Yes': -0.0033828819, ' yes': -9.053187, 'Yes': -5.801909}
{' No': -6.100573, ' ': -9.893534, ' Yes': -0.0053775813, ' yes': -8.899278, 'Yes': -5.837376}
{' No': -0.0139127225, ' ': -9.5190735, 'No': -5.85594, ' Yes': -4.5263863, 'Yes': -9.917994}
{' No': -0.55382204, ' ': -8.244329, 'No': -7.1199017, ' Yes': -0.8603577, 'Yes': -6.877354}
{' No': -0.0015614424, ' ': -10.579928, 'No': -6.5140715, ' Yes': -10.042258, ' no': -12.344287}
{' No': -0.057832822, ' ': -8.372187, 'No': -6.959503, ' Yes': -2.902935, 'Yes': -8.969383}
{' Yes': -0.09119885, ' No': -2.4655597, 'Yes': -6.340657, ' ': -8.590329, ' yes': -8.843214}
{' No': -0.91932094, ' ': -8.076552, 'No': -7.169351, ' Yes': -0.5142077, 'Yes': -6.22627}
{' No': -3.9845452, ' ': -8.774658, ' Yes': -0.021336272, ' yes': -8.767843, 'Yes': -6.1401215}
{' Yes': -0.0029185882, 'Yes': -6.039816, ' No': -8.145887, ' yes': -8.816298, ' ': -9.442894}
{' No': -7.9930763, ' ': -10.272825, ' Yes': -0.002503207, ' yes': -9.336416, 'Yes': -6.2028165}
{' No': -5.7806535, ' ': -9.950418, ' Yes': -0.005025993, ' yes': -9.196905, 'Yes': -6.3406615}
{' No': -0.0023332792, ' ': -10.500256, 'No': -6.4235063, ' Yes': -7.3026414, 'Yes': -13.120875}
{' No': -0.96625894, 'No': -7.8469877, ' Yes': -0.48174083, ' yes': -9.042837, 'Yes': -6.7542796}
{' No': -0.0011928758, 'No': -6.7673154, ' Yes': -10.576956, ' ': -11.460698, ' NO': -12.907405}
{' No': -0.020770762, ' ': -9.884508, 'No': -7.1617465, ' Yes': -3.928068, 'Yes': -10.083943}
{' No': -2.6685688, ' ': -9.642476, ' Yes': -0.07384797, ' yes': -9.075196, 'Yes': -6.4475317}
{' No': -1.0369979, 'No': -7.7503786, ' Yes': -0.44084266, ' yes': -9.317836, 'Yes': -6.581318}
{' No': -3.1406538, ' ': -9.657499, ' Yes': -0.046089683, ' yes': -9.195372, 'Yes': -6.4541054}
{' No': -8.489202, ' ': -11.4230585, ' Yes': -0.001609322, ' yes': -9.452783, 'Yes': -6.64076}
{' No': -8.834472, ' ': -11.5701, ' Yes': -0.0016663986, ' yes': -9.846217, 'Yes': -6.5377154}
{' No': -6.294969, ' ': -11.205172, ' Yes': -0.0034027388, ' yes': -9.61183, 'Yes': -6.526998}
{' No': -0.0021876947, ' ': -11.483178, 'No': -6.817728, ' Yes': -6.834045, 'Yes': -12.921511}
{' No': -0.56004673, ' ': -8.702514, 'No': -6.91541, ' Yes': -0.85271597, 'Yes': -6.6780176}
{' No': -0.0023381182, ' ': -10.859503, 'No': -6.0830226, ' Yes': -10.668132, ' no': -12.085357}
