{' No': -0.011050761, ' Not': -12.512437, ' ': -10.515855, ' Generally': -11.123646, 'No': -4.5152335}
{' No': -0.0057731713, ' ': -10.353139, ' Generally': -10.542436, 'No': -5.169811, ' A': -11.710699}
{' No': -0.24637268, ' Generally': -2.4546304, 'No': -4.123583, ' Yes': -2.7517762, ' It': -3.3819604}
{' No': -0.007004098, ' ': -10.474672, ' Generally': -9.155948, 'No': -4.9866714, ' A': -11.710041}
{' No': -0.04484513, ' Generally': -5.905774, 'No': -4.7047763, ' A': -7.5188074, ' Yes': -3.4733117}
{' No': -0.025512744, ' Generally': -6.053257, ' Typically': -8.876184, 'No': -3.939529, ' It': -5.9698677}
{' That': -3.9014723, ' No': -0.24036245, ' Generally': -5.899271, 'No': -3.4859924, ' It': -1.8785479}
{' No': -0.015003101, ' ': -9.376293, ' Generally': -9.419197, 'No': -4.227487, ' It': -9.605761}
{' No': -0.019554755, 'No': -3.9531538, ' ': -9.429057, ' Generally': -10.251356, ' A': -11.176898}
{' No': -0.016437877, ' ': -9.613406, ' Generally': -9.875015, 'No': -4.125168, ' It': -12.01454}
{' No': -0.017231343, ' ': -9.186176, 'No': -4.0770645, ' A': -12.159238, ' no': -12.110568}
{' No': -0.016790645, 'No': -4.255493, ' Generally': -6.434419, ' It': -7.6906223, ' ': -9.116316}
{' No': -0.012756634, ' ': -9.642355, ' Generally': -7.2362514, 'No': -4.4565544, ' It': -8.644081}
{' No': -0.013042707, ' ': -9.5886135, ' Generally': -7.9989834, 'No': -4.384514, ' It': -10.898714}
{' No': -0.00823015, ' ': -9.870119, ' Generally': -9.077087, ' Typically': -12.455044, 'No': -4.8266335}
{' No': -0.00971475, 'No': -4.64815, ' ': -9.49324, ' no': -12.378182, '\n': -12.75807}
{' That': -2.7957947, ' No': -1.6237919, ' Generally': -2.4738915, ' Yes': -3.8995085, ' It': -0.515033}
{' That': -5.9173365, ' No': -0.070475936, ' Generally': -3.937301, 'No': -3.9544632, ' It': -3.856212}
{' No': -0.031975303, ' Generally': -4.465504, 'No': -4.2997804, ' Yes': -6.631169, ' It': -5.8028603}
{' No': -0.010956449, ' ': -8.9849205, ' Generally': -10.253268, 'No': -4.5379376, ' A': -10.7801075}
{' That': -3.1961665, ' No': -2.3047957, ' Generally': -2.066917, ' Yes': -3.6539607, ' It': -0.43067327}
{' That': -5.2761555, ' No': -0.20718814, ' Generally': -2.485619, 'No': -4.177626, ' It': -2.7080595}
{' No': -0.011667425, ' ': -9.066868, ' Generally': -9.660486, 'No': -4.4770546, ' A': -10.293317}
{' No': -0.37693146, ' Yes': -2.1121552, ' Generally': -2.5687897, ' It': -2.7320778, 'No': -3.945289}
{' No': -0.014274396, ' ': -9.323578, ' Generally': -8.327807, 'No': -4.2861476, ' A': -10.243953}
{' No': -0.0763418, ' Yes': -2.8903656, 'No': -4.4775486, ' Generally': -5.371584, ' A': -7.242403}
{' No': -0.013284043, ' Not': -12.162658, ' ': -9.85256, ' Generally': -10.129664, 'No': -4.336175}
{' No': -0.015407779, 'No': -4.1935368, ' It': -9.550539, ' ': -10.032116, ' Generally': -10.082775}
{' No': -0.008010343, ' ': -10.345182, ' Generally': -13.895587, 'No': -4.835679, ' no': -13.689953}
{' No': -0.0071401205, 'No': -4.9506783, ' ': -10.378048, ' no': -13.565407, ' Generally': -14.065045}
{' No': -0.009910494, ' ': -9.977084, ' Generally': -13.503566, 'No': -4.6243873, ' no': -13.638136}
{' No': -0.0075776665, ' ': -9.853659, 'No': -4.893974, ' no': -13.17372, ' NO': -14.181379}
{' No': -0.0076522, ' Not': -13.183336, ' ': -10.210831, ' Generally': -10.923569, 'No': -4.884741}
{' No': -0.0070604617, ' Not': -13.399073, ' ': -10.364053, ' Generally': -11.67632, 'No': -4.9631968}
{' No': -0.0072561083, 'No': -4.9342823, ' ': -10.588679, ' Generally': -12.155683, ' no': -13.984917}
{' No': -0.0076522, ' ': -10.197878, ' Generally': -12.611112, 'No': -4.882494, ' no': -13.767516}
{' No': -0.0056200125, 'No': -5.1917176, ' ': -10.16982, ' no': -13.464481, ' NO': -14.070217}
{' No': -0.031797033, ' Generally': -5.139875, 'No': -4.2525835, ' Yes': -6.568721, ' It': -4.8393087}
{' No': -0.009569287, ' ': -9.42395, ' Generally': -7.557493, 'No': -4.74778, ' It': -8.929304}
{' No': -0.01037413, ' ': -9.270082, ' Generally': -8.662053, 'No': -4.6079082, ' Yes': -10.198017}
{' No': -0.0059937513, ' ': -9.68122, 'No': -5.1315694, ' A': -13.883101, ' no': -13.267876}
{' No': -0.250392, ' It': -2.0262003, ' Generally': -2.942599, 'No': -4.298341, ' Yes': -4.6777296}
{' No': -0.013464963, 'No': -4.4571867, ' Generally': -6.5981336, ' It': -9.079584, ' ': -9.459451}
{' No': -0.0071345377, ' ': -9.813765, ' Generally': -13.312579, 'No': -4.9551516, ' A': -13.297308}
{' No': -0.023203002, ' Generally': -6.0670185, 'No': -4.0787177, ' Yes': -5.819944, ' It': -8.466794}
{' No': -0.008515654, ' ': -9.940715, ' Generally': -12.848546, 'No': -4.7767477, ' A': -13.477156}
{' No': -0.07584212, ' ': -8.394918, 'No': -4.902338, ' Yes': -2.7338448, 'Yes': -8.6083355}
{' No': -0.01522536, ' Not': -11.61088, ' ': -10.137864, ' Generally': -9.424285, 'No': -4.2024755}
{' No': -0.02211115, ' ': -9.733207, ' Generally': -8.705234, 'No': -3.868186, ' It': -7.41574}
{' No': -0.009350869, ' ': -10.044638, ' Generally': -12.308649, 'No': -4.6829844, ' no': -13.276141}
{' No': -0.009599197, ' ': -10.369645, ' Generally': -13.619295, 'No': -4.6548586, ' no': -13.098416}
{' No': -0.010062746, ' ': -9.967174, ' Generally': -13.08689, 'No': -4.609327, ' no': -13.254708}
{' No': -0.008287966, '\n': -14.097425, ' ': -9.853811, 'No': -4.804241, ' no': -12.681258}
{' No': -0.0075858342, 'No': -4.9034863, ' Generally': -9.381665, ' ': -10.339577, ' Not': -12.236008}
{' No': -0.007499954, ' Not': -12.269944, ' ': -10.420286, ' Generally': -9.620679, 'No': -4.911516}
{' No': -0.006778917, ' ': -10.6685505, ' Generally': -10.951632, 'No': -5.0042534, ' no': -13.57785}
{' No': -0.0067052874, ' ': -10.227099, ' Generally': -11.0531435, 'No': -5.0169835, ' no': -13.368702}
{' No': -0.004474596, ' ': -10.2267685, 'No': -5.420702, ' no': -13.01301, ' NO': -14.224925}
{' That': -4.911208, ' No': -0.25133416, ' Generally': -3.448262, 'No': -4.2803106, ' It': -1.8411779}
{' That': -8.303858, ' No': -0.017806984, ' Generally': -5.836426, 'No': -4.46682, ' It': -6.049095}
{' No': -0.0113727, ' ': -9.176023, ' Generally': -7.1048875, 'No': -4.5917673, ' It': -9.3292265}
{' No': -0.0058372016, 'No': -5.1559815, ' ': -9.919146, ' no': -13.0285845, ' Generally': -13.798907}
{' That': -4.000277, ' No': -1.156945, ' Generally': -2.153342, ' Yes': -4.65272, ' It': -0.6658179}
{' No': -0.026377637, ' Generally': -4.412511, 'No': -4.5453367, ' A': -8.142416, ' It': -6.39971}
{' No': -0.0053218515, ' ': -10.06613, ' Generally': -12.9486885, 'No': -5.248089, ' no': -13.225016}
{' No': -0.05230093, ' Generally': -4.2642817, 'No': -4.092426, ' Yes': -4.6930804, ' It': -4.8508334}
{' No': -0.008069165, ' ': -9.872111, ' Generally': -10.810541, 'No': -4.833979, ' A': -12.532644}
{' No': -0.014652473, ' ': -8.911535, ' Generally': -8.176683, 'No': -4.7407756, ' Yes': -5.244974}
{' No': -0.010994294, 'No': -4.521515, ' ': -10.151699, ' Generally': -11.466362, ' It': -12.244008}
{' No': -0.010822978, ' Not': -10.749344, ' ': -9.662371, 'No': -4.563061, ' It': -8.452015}
{' No': -0.0055651683, ' Not': -14.659611, ' ': -10.31667, 'No': -5.2004976, ' no': -13.885929}
{' No': -0.005559953, ' ': -10.694385, 'No': -5.1994495, ' no': -13.869016, ' NO': -14.759369}
{' No': -0.0073830364, ' ': -9.732691, 'No': -4.9208236, ' no': -13.741342, ' NO': -14.442926}
{' No': -0.005191887, ' ': -9.965206, 'No': -5.272867, ' no': -13.685176, ' NO': -14.491252}
{' No': -0.005927975, ' Not': -13.68574, ' ': -10.1605215, ' Generally': -11.8667, 'No': -5.139515}
{' No': -0.0052050664, ' Not': -13.835016, ' ': -10.168779, ' Generally': -12.561263, 'No': -5.269514}
{' No': -0.0050261123, ' ': -10.369591, ' Generally': -13.31674, 'No': -5.302824, ' no': -14.041243}
{' No': -0.0059611304, ' ': -9.971846, ' Generally': -13.806888, 'No': -5.1340146, ' no': -14.002795}
{' No': -0.0036193859, 'No': -5.633954, ' ': -10.243264, ' no': -13.652998, ' NO': -13.983535}
{' No': -0.033292703, ' Generally': -6.0241165, 'No': -4.4602394, ' Yes': -7.2376018, ' It': -4.0924163}
{' No': -0.009059352, 'No': -4.7841926, ' It': -8.106315, ' Generally': -8.533193, ' ': -9.314918}
{' No': -0.007735149, ' ': -9.262755, ' Generally': -10.420967, 'No': -4.885693, ' It': -11.333588}
{' No': -0.0048837303, ' ': -9.705014, 'No': -5.3376107, ' no': -13.527616, ' NO': -14.37457}
{' That': -4.783863, ' No': -0.6598968, ' Generally': -3.2369058, 'No': -4.95998, ' It': -0.86959636}
{' No': -0.011082824, ' ': -9.025566, ' Generally': -7.3247113, 'No': -4.613263, ' It': -8.437104}
{' No': -0.0047662794, ' ': -9.744932, 'No': -5.3618693, ' no': -13.590712, ' NO': -14.060118}
{' No': -0.020138064, ' Generally': -6.2615943, 'No': -4.2747784, ' Yes': -6.7659855, ' It': -6.0513153}
{' No': -0.0069141267, 'No': -4.986782, ' ': -9.76739, ' Generally': -13.071869, ' no': -13.945121}
{' No': -0.013067226, ' ': -8.631455, ' Generally': -9.99532, 'No': -4.9529586, ' Yes': -5.1748595}
{' No': -0.016721062, ' ': -9.920352, ' Generally': -9.117496, 'No': -4.114562, ' It': -9.877357}
{' No': -0.021674875, 'No': -4.090883, ' It': -5.5851016, ' Generally': -7.994671, ' Not': -8.202774}
{' No': -0.009000531, 'No': -4.7192264, ' ': -10.454953, ' Generally': -12.745341, ' Not': -12.82859}
{' No': -0.0074822973, ' ': -10.920845, ' Generally': -14.131965, 'No': -4.9018035, ' no': -14.14074}
{' No': -0.0082348995, ' ': -10.276169, ' Generally': -13.14117, 'No': -4.8082223, ' no': -14.333948}
{' No': -0.006753951, '\n': -14.5632925, ' ': -10.239958, 'No': -5.0066757, ' no': -13.965871}
{' No': -0.008459867, ' Not': -12.111111, ' ': -10.256655, ' Generally': -9.646961, 'No': -4.790383}
{' No': -0.0064042234, ' Not': -12.331211, ' ': -10.361831, ' Generally': -9.821126, 'No': -5.0692987}
{' No': -0.005726473, ' Not': -13.799413, ' ': -10.673708, ' Generally': -10.888837, 'No': -5.1735444}
{' No': -0.006322524, ' Not': -13.799591, ' ': -10.4048395, ' Generally': -11.077952, 'No': -5.074697}
{' No': -0.005135568, 'No': -5.2805586, ' ': -10.397373, ' no': -13.937415, '\n': -14.510307}
{' That': -4.467632, ' No': -0.39945003, ' Generally': -3.420343, 'No': -4.443834, ' It': -1.3282773}
{' No': -0.015887428, 'No': -4.5489225, ' It': -5.8620844, ' Generally': -6.317033, ' That': -8.775544}
{' No': -0.012182437, ' ': -9.208309, ' Generally': -6.887558, 'No': -4.5399647, ' It': -8.656879}
{' No': -0.0060445424, ' ': -10.1225815, ' Generally': -13.855007, 'No': -5.1189365, ' no': -13.732787}
{' That': -3.8480477, ' No': -1.7614505, ' Generally': -2.5664907, 'No': -5.6283975, ' It': -0.348191}
{' No': -0.03517883, ' Generally': -4.1254554, ' Typically': -8.128943, 'No': -4.3620105, ' It': -5.453363}
{' No': -0.0050076037, ' ': -10.39458, ' Generally': -12.47197, 'No': -5.3069158, ' A': -13.844955}
{' No': -0.07736148, ' Generally': -3.5762115, 'No': -3.9567351, ' Yes': -5.1072173, ' It': -4.0510573}
{' No': -0.009001793, ' ': -10.208117, ' Generally': -10.777788, 'No': -4.721812, ' A': -13.67363}
{' No': -0.016339721, ' ': -8.933429, ' Generally': -7.555434, 'No': -4.642469, ' Yes': -5.148816}
{' No': -0.012727475, ' ': -9.938863, ' Generally': -7.875818, 'No': -4.426559, ' It': -8.679585}
{' That': -7.5121226, ' No': -0.022758693, ' Generally': -7.2388854, 'No': -4.2514496, ' It': -5.048571}
{' No': -0.008060153, 'No': -4.833051, ' ': -10.384543, ' Generally': -10.79821, ' Not': -12.343974}
{' No': -0.007031109, ' ': -10.746674, ' Generally': -12.343505, 'No': -4.965508, ' A': -13.475224}
{' No': -0.00819776, 'No': -4.8138027, ' ': -10.316126, ' Generally': -11.584766, ' Not': -13.4452}
{' No': -0.005769754, ' ': -10.539328, 'No': -5.1632385, ' A': -14.43759, ' no': -13.72143}
{' No': -0.006965865, ' ': -10.289013, ' Generally': -7.9736195, ' Typically': -11.173419, 'No': -5.034378}
{' No': -0.0062446706, ' ': -10.351964, ' Generally': -8.039821, 'No': -5.1446304, ' It': -11.426576}
{' No': -0.0056917644, ' ': -10.605633, ' Generally': -9.40596, ' Typically': -12.706358, 'No': -5.192734}
{' No': -0.0053400076, ' Not': -13.319057, ' ': -10.318284, ' Generally': -9.970305, 'No': -5.251678}
{' No': -0.004113271, ' ': -10.472491, 'No': -5.5033846, ' A': -14.5457535, ' no': -13.471895}
{' That': -3.9289498, ' No': -0.5205978, ' Generally': -2.5499766, 'No': -4.557038, ' It': -1.2973619}
{' That': -7.605734, ' No': -0.019973869, ' Generally': -5.2908854, 'No': -4.692499, ' It': -5.497692}
{' No': -0.012087896, ' Generally': -5.793257, 'No': -4.8413877, ' Yes': -8.37664, ' It': -8.003829}
{' No': -0.0055875843, ' ': -10.186842, ' Generally': -11.953804, 'No': -5.1992426, ' A': -12.706452}
{' That': -3.4197817, ' No': -1.5828751, ' Go': -4.5165296, ' Generally': -2.1738253, ' It': -0.49910825}
{' No': -0.04569236, ' Generally': -3.6613195, ' Typically': -7.6273227, 'No': -4.598013, ' It': -5.1150966}
{' No': -0.005358405, 'No': -5.2433133, ' ': -10.216339, ' Generally': -11.056082, ' A': -12.24036}
{' No': -0.071967416, ' Generally': -3.663421, 'No': -4.107593, ' Yes': -4.4544234, ' It': -4.583045}
{' No': -0.006905723, ' ': -10.260805, ' Generally': -9.820064, 'No': -4.993558, ' A': -12.216868}
{' No': -0.010643078, ' Generally': -7.6136584, 'No': -4.9501324, ' A': -9.15797, ' Yes': -5.8966517}
{' No': -0.021082941, ' Generally': -5.4940767, 'No': -4.439919, ' A': -7.5951276, ' It': -6.003283}
{' That': -5.2064147, ' No': -0.046310157, ' Generally': -5.4302173, 'No': -4.322511, ' It': -3.993339}
{' No': -0.011755716, ' ': -9.067112, ' Generally': -7.9072876, 'No': -4.532044, ' It': -9.112039}
{' No': -0.009929038, ' ': -9.283558, ' Generally': -8.63857, 'No': -4.6665244, ' A': -9.47239}
{' No': -0.011782916, ' ': -8.709166, ' Generally': -8.207929, 'No': -4.50541, ' A': -9.463352}
{' No': -0.009539442, ' ': -8.851331, ' Generally': -10.956737, 'No': -4.6871266, ' A': -9.824372}
{' No': -0.013128643, ' Generally': -5.7335544, 'No': -4.826128, ' A': -8.350872, ' It': -7.2665634}
{' That': -8.099589, ' No': -0.013770091, ' Generally': -5.8362875, 'No': -4.7447386, ' It': -6.9331937}
{' No': -0.01031788, ' ': -9.215777, ' Generally': -6.7973104, 'No': -4.756093, ' A': -9.196426}
{' No': -0.010467365, 'No': -4.6669993, ' Generally': -7.4170103, ' ': -8.85357, ' A': -9.301175}
{' No': -0.0072771222, 'No': -4.958882, ' ': -9.036509, ' A': -10.6877, '\n': -10.95723}
{' That': -2.6323414, ' No': -1.2026119, ' Ge': -4.1515427, ' Generally': -1.9368323, ' It': -0.888071}
{' No': -0.10895361, ' Generally': -3.020222, ' It': -3.7742975, 'No': -4.537613, ' That': -5.3126636}
{' No': -0.034330957, ' Generally': -4.18993, 'No': -4.5950685, ' A': -6.044863, ' It': -6.2061405}
{' No': -0.007883333, ' ': -8.860047, ' Generally': -8.694707, 'No': -4.9148884, ' A': -9.030072}
{' That': -2.9642725, ' No': -1.8352616, ' Go': -2.6087716, ' Generally': -1.7644378, ' It': -0.74777526}
{' No': -0.092368916, ' Generally': -3.1497533, 'No': -4.4875674, ' A': -5.0695324, ' It': -4.251304}
{' No': -0.008071988, ' ': -8.957281, ' Generally': -8.018293, 'No': -4.9119186, ' A': -8.893914}
{' No': -0.20993133, ' Generally': -2.952115, 'No': -4.3113604, ' Yes': -2.662387, ' It': -3.9132907}
{' No': -0.008481626, 'No': -4.850166, ' Generally': -8.032481, ' ': -9.003711, ' A': -9.577508}
{' No': -0.011960185, ' Generally': -7.0606318, 'No': -4.769288, ' A': -7.646906, ' Yes': -6.760522}
{' No': -0.025756614, ' ': -9.611421, ' Generally': -7.0856657, 'No': -3.7225242, ' It': -8.701525}
{' That': -7.6386113, ' No': -0.03458483, ' Generally': -6.728366, 'No': -3.5463912, ' It': -5.8455663}
{' No': -0.018418537, ' Not': -11.596043, ' ': -10.303208, ' Generally': -9.484853, 'No': -4.0116186}
{' No': -0.014228327, ' ': -10.676589, ' Generally': -10.844354, 'No': -4.263673, ' A': -12.210985}
{' No': -0.016570643, ' Not': -12.372915, ' ': -10.087823, ' Generally': -9.867879, 'No': -4.1151614}
{' No': -0.012882816, ' ': -10.324331, ' Generally': -12.913344, 'No': -4.3616548, ' A': -12.860709}
{' No': -0.012631252, 'No': -4.453812, ' Generally': -7.1730776, ' ': -9.998073, ' Typically': -10.470788}
{' No': -0.013572686, ' ': -9.919267, ' Generally': -6.9162674, 'No': -4.3976917, ' It': -10.096748}
{' No': -0.010975913, ' ': -10.364414, ' Generally': -8.095456, ' Typically': -11.397269, 'No': -4.552539}
{' No': -0.01006088, 'No': -4.6258006, ' Generally': -8.800835, ' ': -10.083673, ' Typically': -12.125389}
{' No': -0.00730438, ' ': -10.532557, 'No': -4.9275007, ' A': -13.585941, ' no': -13.42121}
{' That': -3.645841, ' No': -0.5430065, ' Generally': -2.111013, ' Yes': -4.0610666, ' It': -1.5243812}
{' That': -7.8648925, ' No': -0.027542109, ' Generally': -4.688732, 'No': -4.2295647, ' It': -6.345413}
{' No': -0.017887749, ' Generally': -5.6182737, 'No': -4.339766, ' A': -8.434545, ' Yes': -8.305422}
{' No': -0.008519199, 'No': -4.7792516, ' ': -10.089022, ' Generally': -10.80063, ' A': -11.596648}
{' It': -0.797604, ' No': -1.3261876, ' Generally': -1.6589836, ' That': -3.2570555, ' Go': -4.3696194}
{' No': -0.048003975, ' Generally': -3.6470907, 'No': -4.170717, ' Yes': -7.483064, ' It': -6.0919647}
{' No': -0.0099534765, ' ': -10.087541, ' Generally': -9.976783, 'No': -4.6258492, ' A': -11.393071}
{' No': -0.106490806, ' Generally': -3.110132, 'No': -3.7562175, ' Yes': -4.5253615, ' It': -4.4027896}
{' No': -0.0120111, ' ': -10.188537, ' Generally': -9.215149, 'No': -4.441178, ' A': -11.651054}
{' No': -0.011466754, ' Generally': -8.240014, 'No': -4.5742736, ' A': -9.62967, ' Yes': -7.3297935}
{' No': -0.021451604, 'No': -3.8728518, ' Generally': -8.339036, ' ': -9.467823, ' It': -10.346076}
{' That': -6.970575, ' No': -0.035480347, ' Generally': -7.645955, 'No': -3.7502093, ' It': -4.667415}
{' No': -0.013573291, '\n': -12.518436, ' ': -9.4704075, ' Generally': -11.919155, 'No': -4.3139367}
{' No': -0.013411862, ' ': -9.960393, ' Generally': -13.1190815, 'No': -4.322717, ' no': -13.094355}
{' No': -0.01176229, '\n': -12.673653, ' ': -9.651099, ' Generally': -12.622334, 'No': -4.4552245}
{' No': -0.010893838, '\n': -12.838538, ' ': -9.379645, 'No': -4.5337324, ' no': -12.532116}
{' No': -0.012007661, ' ': -9.937464, ' Generally': -9.512644, 'No': -4.4409547, ' It': -11.735069}
{' No': -0.01064591, 'No': -4.558646, ' Generally': -9.928606, ' ': -10.007533, ' Not': -12.086705}
{' No': -0.009503397, '\n': -13.201894, ' ': -10.192808, ' Generally': -10.676999, 'No': -4.668338}
{' No': -0.008705088, '\n': -12.821036, ' ': -9.885048, ' Generally': -11.253484, 'No': -4.756664}
{' No': -0.0071160477, '\n': -12.971641, ' ': -9.646514, 'No': -4.959224, ' no': -12.831636}
{' No': -0.3579605, ' It': -1.5019348, ' Generally': -3.4760098, 'No': -4.10521, ' That': -4.1733823}
{' That': -8.258307, ' No': -0.022741556, ' Generally': -5.7156067, 'No': -4.1364784, ' It': -6.0983996}
{' No': -0.0143464105, ' ': -9.117077, ' Generally': -7.743636, 'No': -4.3082438, ' It': -9.253656}
{' No': -0.008757462, 'No': -4.753056, ' ': -9.3917265, '\n': -12.702955, ' no': -12.7168255}
{' That': -3.7331069, ' No': -1.218651, ' Generally': -2.5767767, ' Yes': -4.8494244, ' It': -0.5598014}
{' No': -0.024207368, ' Generally': -5.0773344, 'No': -4.2072096, ' Yes': -7.6515265, ' It': -6.4727407}
{' No': -0.008674125, ' ': -9.592753, ' Generally': -12.546831, 'No': -4.7611957, ' A': -12.809377}
{' No': -0.06349712, ' Yes': -3.9317086, 'No': -3.9378107, ' Generally': -4.249919, ' It': -5.3168654}
{' No': -0.01133261, ' ': -9.518609, ' Generally': -10.799516, 'No': -4.4962664, ' Yes': -11.256238}
{' No': -0.068651505, ' Generally': -7.7099223, 'No': -4.6029873, ' Yes': -2.8973217, 'Yes': -8.36717}
{' No': -0.010639764, 'No': -4.5587525, ' Generally': -9.985352, ' ': -10.123369, ' Not': -11.86711}
{' No': -0.012203736, ' ': -9.947987, ' Generally': -9.859488, 'No': -4.4448514, ' It': -8.522207}
{' No': -0.0066915443, 'No': -5.016484, ' ': -10.286947, ' Generally': -13.213715, '\n': -13.443323}
{' No': -0.0068796766, 'No': -4.986238, ' ': -10.802665, ' no': -13.735325, '\n': -14.139668}
{' No': -0.008104975, '\n': -13.431531, ' ': -10.291221, ' Generally': -13.341479, 'No': -4.8243165}
{' No': -0.006055456, '\n': -13.718425, ' ': -10.125354, 'No': -5.117351, ' no': -13.26426}
{' No': -0.0062871957, ' Not': -12.684118, ' ': -10.384037, ' Generally': -10.374612, 'No': -5.083962}
{' No': -0.005280025, ' Not': -13.103129, ' ': -10.564249, ' Generally': -11.2661085, 'No': -5.255013}
{' No': -0.0056879874, '\n': -13.834314, ' ': -10.764227, ' Generally': -11.888906, 'No': -5.178009}
{' No': -0.0057370244, 'No': -5.1706195, ' ': -10.391656, ' Generally': -12.396734, '\n': -13.565167}
{' No': -0.0038510424, '\n': -13.759805, ' ': -10.191398, 'No': -5.5722766, ' no': -13.375338}
{' No': -0.037713777, ' Generally': -4.6236224, 'No': -4.635076, ' Yes': -5.8649917, ' It': -4.401346}
{' No': -0.009477823, ' ': -9.781433, ' Generally': -7.0318623, 'No': -4.8157196, ' It': -8.506955}
{' No': -0.0078439815, ' ': -9.633273, ' Generally': -8.462928, 'No': -4.901326, ' Yes': -10.229661}
{' No': -0.005114239, '\n': -13.740777, ' ': -10.050287, 'No': -5.2879434, ' no': -13.539878}
{' That': -4.632621, ' No': -0.27872592, ' Generally': -2.9883184, 'No': -4.663806, ' It': -1.8242735}
{' No': -0.010894441, 'No': -4.8028007, ' Generally': -6.2494326, ' It': -8.124156, ' Yes': -9.201043}
{' No': -0.0054312767, ' ': -10.127538, ' Generally': -13.075122, 'No': -5.2270894, ' A': -13.678059}
{' No': -0.02062606, ' Generally': -5.586559, 'No': -4.6114235, ' Yes': -5.3141975, ' It': -6.8782043}
{' No': -0.006172998, ' ': -10.051539, ' Generally': -12.326158, 'No': -5.1004415, ' Yes': -11.790533}
{' No': -0.25064987, ' ': -8.492658, 'No': -5.443027, ' Yes': -1.5303873, 'Yes': -7.771871}
{' No': -0.0124774, ' ': -9.758206, ' Generally': -8.080396, 'No': -4.431028, ' It': -9.798717}
{' No': -0.014384868, ' Not': -8.947662, ' Generally': -7.985599, 'No': -4.3835387, ' It': -6.8233256}
{' No': -0.007979999, 'No': -4.842073, ' ': -10.2703905, ' Generally': -11.362023, ' Not': -12.75494}
{' No': -0.0066158804, ' ': -10.550248, ' Generally': -12.551129, 'No': -5.0271845, ' A': -13.230222}
{' No': -0.008498279, '\n': -13.429315, ' ': -9.996938, ' Generally': -11.630883, 'No': -4.779422}
{' No': -0.006071466, '\n': -13.736913, ' ': -10.000828, 'No': -5.115759, ' no': -13.216994}
{' No': -0.006682064, ' ': -10.156517, ' Generally': -8.198952, ' Typically': -11.447474, 'No': -5.066681}
{' No': -0.0063108862, ' Not': -11.81509, ' ': -10.309467, ' Generally': -8.779498, 'No': -5.102868}
{' No': -0.005822392, 'No': -5.1630125, ' Generally': -9.959359, ' ': -10.6315565, ' Not': -13.171257}
{' No': -0.0060058036, ' Not': -13.078017, ' ': -10.230628, ' Generally': -10.227832, 'No': -5.1316996}
{' No': -0.0039800513, '\n': -13.923891, ' ': -10.303081, 'No': -5.538001, ' no': -13.466238}
{' That': -5.247472, ' No': -0.14459677, ' Generally': -3.363106, 'No': -4.5650067, ' It': -2.5740974}
{' No': -0.01267707, 'No': -4.78979, ' Generally': -5.8412824, ' It': -7.1721134, ' That': -9.005575}
{' No': -0.008091156, ' ': -9.368696, ' Generally': -6.9211445, 'No': -5.003153, ' It': -9.346294}
{' No': -0.004854321, 'No': -5.3454323, ' ': -9.79219, ' Generally': -11.9337015, ' A': -12.417955}
{' That': -3.8358724, ' No': -0.816141, ' Go': -5.0828075, ' Generally': -2.305885, ' It': -0.89919853}
{' No': -0.024193082, ' Generally': -4.378948, 'No': -4.770582, ' A': -8.060179, ' It': -6.622734}
{' No': -0.0051243054, ' ': -9.938489, ' Generally': -11.231937, 'No': -5.2907767, ' A': -12.020865}
{' No': -0.039100148, ' Generally': -4.3309455, 'No': -4.387616, ' It': -5.146482, ' Yes': -5.5263357}
{' No': -0.0058331843, ' ': -9.957783, ' Generally': -10.27813, 'No': -5.1640377, ' A': -12.179666}
{' No': -0.031728756, ' ': -8.692823, ' Generally': -7.108928, 'No': -5.055071, ' Yes': -3.747827}
{' No': -0.0131352255, ' ': -9.900514, ' Generally': -9.389893, 'No': -4.352948, ' It': -10.902972}
{' That': -9.165353, ' No': -0.016864173, ' Generally': -9.230012, 'No': -4.1733065, ' It': -6.9931326}
{' No': -0.0074442257, 'No': -4.9105334, ' ': -10.154647, ' Generally': -12.883263, '\n': -13.441705}
{' No': -0.0072321515, ' ': -10.725045, ' Generally': -14.155605, 'No': -4.9365225, ' no': -13.633244}
{' No': -0.009075169, '\n': -13.553982, ' ': -10.241986, ' Generally': -12.911944, 'No': -4.7114997}
{' No': -0.0068935417, '\n': -13.867707, ' ': -10.076818, 'No': -4.987547, ' no': -13.114172}
{' No': -0.0074653053, ' Not': -12.675768, ' ': -10.30126, ' Generally': -9.939906, 'No': -4.913944}
{' No': -0.006236753, ' Not': -12.944345, ' ': -10.448905, ' Generally': -10.505696, 'No': -5.090883}
{' No': -0.006209102, ' Not': -13.790802, ' ': -10.69016, ' Generally': -11.244811, 'No': -5.09157}
{' No': -0.006355996, '\n': -13.6992655, ' ': -10.364594, ' Generally': -11.703894, 'No': -5.068705}
{' No': -0.0043858713, ' ': -10.268267, 'No': -5.4405885, ' no': -13.189812, ' NO': -13.823711}
{' No': -0.0709913, ' It': -3.3381896, ' Generally': -4.2922454, 'No': -4.358377, ' Yes': -6.0182695}
{' No': -0.011411346, ' ': -9.507796, ' Generally': -6.956952, 'No': -4.6166835, ' It': -8.27341}
{' No': -0.009210513, 'No': -4.749647, ' Generally': -8.098538, ' ': -9.372905, ' Yes': -10.190801}
