{':': -3.9504397, ' 1': -3.5453846, ' odd': -0.7870048, ' 0': -4.3792543, ' even': -0.81720865}
{' odd': -0.00548, ' Odd': -5.718598, ' even': -6.547688, ' an': -8.589619, ' ': -9.007921}
{'\n': -6.321982, ' ': -6.630634, ':': -6.6351395, ' Even': -5.8716207, ' even': -0.014280864}
{' odd': -0.052221175, ' Odd': -3.2491584, ' even': -5.486469, ' ': -6.283797, ' 1': -6.3375845}
{' ': -6.0010467, ' Even': -4.7481923, ' odd': -4.0122805, ' 0': -6.680907, ' even': -0.04013501}
{'\n': -5.7603407, ' Odd': -3.6242743, ' 1': -4.3629036, ' odd': -0.10716096, ' even': -3.0253725}
{' even': -0.09286208, ' 0': -3.2176807, ' ': -4.6159973, ' Even': -4.708573, '\n': -4.8175335}
{' odd': -0.09220602, ' even': -2.7328746, ' Odd': -4.6943045, ' 1': -5.6069016, ' 0': -5.6141996}
{' even': -0.1443304, ' odd': -2.4575465, ' an': -4.7205043, ' Even': -4.880203, ' Odd': -5.044144}
{':': -4.6997447, ' 1': -4.2147937, ' odd': -0.74114734, ' 0': -4.457447, ' even': -0.7923845}
{' even': -0.0051365253, ' Even': -5.899348, ':': -7.5758452, ' EVEN': -8.059638, ' ': -8.3117485}
{':': -2.6163912, ' 1': -2.8791647, ' odd': -0.93704426, ' 0': -2.4826555, ' even': -1.7145921}
{' even': -0.5063329, ' odd': -1.5586246, ' 0': -2.5591683, ':': -3.615682, ' 1': -4.1602325}
{' Odd': -3.770797, ' 1': -5.360167, ' odd': -0.08306479, ' 0': -4.340589, ' even': -3.5157952}
{':': -4.450669, ' Even': -4.1920457, ' odd': -3.4098747, ' 0': -5.4346128, ' even': -0.08576476}
{' even': -0.6611006, ' odd': -0.85193753, ' Odd': -3.9916003, ' Even': -4.909029, ':': -5.072255}
{' ': -2.778417, ':': -1.6939998, ' 0': -1.1620033, ' even': -1.7225167, ' 8': -2.5682807}
{' odd': -0.1181255, ' even': -2.406546, ' Odd': -4.476427, ':': -6.243711, ' ': -6.2740874}
{':': -4.532959, ' 1': -4.057816, ' odd': -3.5490837, ' 0': -2.1511729, ' even': -0.22887728}
{' Odd': -3.5707698, ' 1': -2.090835, ' odd': -0.26178122, ' 0': -4.1606555, ' even': -3.8863978}
{' even': -0.029692993, ' Even': -4.236203, ' ': -5.718082, ':': -6.142036, '\n': -6.268731}
{' odd': -0.047433075, ' 1': -3.9356718, ' Odd': -4.5247164, ' ': -4.9940805, '\n': -6.67935}
{' even': -0.008123665, ' Even': -5.5307665, ' ': -6.482102, '\n': -7.1863704, ' odd': -7.5278025}
{' Odd': -3.693335, ' 1': -5.2803907, ' odd': -0.052974563, ' 0': -5.934882, ' even': -4.346426}
{' even': -0.17563882, ' 0': -2.9442887, ' odd': -3.4390178, ' Even': -4.2944446, ':': -4.3272405}
{' Odd': -3.9587708, ' ': -6.2117066, ' 1': -5.4238787, ' odd': -0.055556647, ' even': -3.7514079}
{'\n': -6.682181, ' ': -6.074355, ':': -7.0768895, ' Even': -5.501071, ' even': -0.012194806}
{' Odd': -5.6215425, ' ': -7.151997, ' 1': -5.23045, ' odd': -0.016619427, ' even': -5.5120144}
{' ': -6.7742114, ' Even': -4.478044, ' EVEN': -6.6748753, ' 0': -4.9490657, ' even': -0.024280218}
{' Odd': -3.342193, ' ': -4.783968, ' 1': -3.7731333, ' odd': -0.18685947, ' even': -2.6271346}
{':': -4.0081563, ' Even': -3.667434, ' EVEN': -4.3595614, ' 0': -2.841163, ' even': -0.2015042}
{' odd': -0.0223812, ' Odd': -4.0276213, ' ': -6.656439, ' 1': -7.3276854, '\n': -7.477106}
{'\n': -4.3537517, ' ': -4.3714385, ':': -4.527344, ' Even': -3.1835914, ' even': -0.10123602}
{' 1': -0.58876294, ' odd': -1.4437548, ' 0': -2.2866445, ' even': -3.4350724, ':': -3.9956203}
{' even': -0.0062288954, ' Even': -6.4188833, ' ': -6.7221704, ' EVEN': -7.226167, ':': -7.882542}
{' Odd': -2.4823456, ':': -5.427622, ' 1': -4.368722, ' odd': -0.20727167, ' even': -2.6194334}
{'\n': -3.5585194, ' ': -3.288434, ':': -4.313052, ' 0': -3.7226944, ' even': -0.17188847}
{' Odd': -4.09506, ' ': -4.680612, ' 1': -2.9430223, ' odd': -0.14664797, ' even': -3.5500395}
{' even': -0.1656652, ' odd': -2.5457778, ' 0': -3.3398957, ' Even': -4.6731067, ' zero': -5.138229}
{' odd': -0.15156953, ' Odd': -2.9057922, ' even': -3.2198095, ' 1': -3.5809937, ' ': -5.3214283}
{' even': -0.681817, ' 0': -1.57691, ' ': -3.1402435, '?': -3.7227697, '\n': -3.7311497}
{' Odd': -4.6461473, ' 1': -4.7749786, ' odd': -0.12126292, ' neither': -4.887578, ' even': -2.63738}
{' even': -0.050115917, ' odd': -4.4938207, ' ': -4.7116213, '\n': -4.712309, ' 0': -5.088078}
{' odd': -0.04413092, ' even': -3.8554304, ' Odd': -4.1144643, ' neither': -7.216622, ' ': -7.244589}
{'\n': -6.7503896, ' ': -6.2389197, ' Even': -5.4152656, ' odd': -5.1590304, ' even': -0.018697616}
{' odd': -0.41954538, ' even': -1.7045108, ' Odd': -2.4049847, ' ': -3.8350155, '\n': -4.45204}
{':': -6.0635605, ' Even': -4.506471, ' EVEN': -5.6129146, ' 0': -5.1112285, ' even': -0.036474273}
{' odd': -0.058547027, ' 1': -3.8402822, ' even': -3.9680958, ' Odd': -5.0098734, ' ': -6.5237985}
{' an': -5.346583, ' Even': -4.9057393, ' EVEN': -5.4056144, ' odd': -4.1189847, ' even': -0.058808953}
{' odd': -0.08890385, ' even': -3.199858, ' 1': -3.6361575, ' 0': -4.9742494, ' Odd': -5.5568485}
{'\n': -7.5965962, ':': -6.8080006, ' Even': -5.9945064, ' odd': -7.4907293, ' even': -0.0061915885}
{'\n': -5.969022, ' Odd': -3.9136348, ' 1': -5.6533246, ' odd': -0.06870437, ' even': -3.5015795}
{' ': -6.358069, ' Even': -4.9287095, ' not': -6.1337686, ' odd': -5.6207123, ' even': -0.02867377}
{' Odd': -3.8739083, ' ': -6.5298433, ' odd': -0.06837422, ' 0': -6.3151608, ' even': -3.3345532}
{' even': -0.0018646969, ' Even': -6.785126, ' ': -8.884569, '\n': -8.946654, ' EVEN': -9.188924}
{' Odd': -4.2741685, ' ': -6.783828, ' 1': -6.0434566, ' odd': -0.026285905, ' even': -5.6108475}
{' even': -0.017409883, ' odd': -5.058469, ' Even': -5.2691474, ' ': -6.682613, ' 0': -7.230466}
{' odd': -0.11770339, ' even': -2.7387505, ' Odd': -3.6195676, ' 0': -5.2695336, ' 1': -5.641976}
{' Odd': -4.7389727, ' an': -4.2544727, ' Even': -4.083062, ' odd': -2.7684584, ' even': -0.13604736}
{' odd': -1.2841662, ' even': -1.5436782, ' 0': -1.5718982, ' 1': -2.1919286, ':': -2.7402933}
{':': -2.968659, ' 1': -4.224344, ' odd': -3.450264, ' 0': -2.3528311, ' even': -0.31958315}
{' Odd': -3.8956609, ' 1': -4.4770627, ' odd': -0.1945466, ' 0': -4.2009206, ' even': -2.6506748}
{' even': -0.041393038, ' 0': -4.395683, ':': -5.3018675, ' Even': -5.315028, ' 4': -5.7346654}
{' odd': -0.079529874, ' even': -3.216729, ' Odd': -4.061084, ' ': -5.598032, ':': -5.7825284}
{'\n': -7.152754, ' ': -6.2454724, ':': -6.0684433, ' Even': -5.197284, ' even': -0.015328914}
{' Odd': -3.689736, ' ': -5.0439525, ':': -5.195395, ' odd': -0.07183599, ' even': -4.371529}
{' even': -0.9429067, ' odd': -1.7000002, ':': -1.873381, ' 0': -2.6400387, '\n': -3.7096636}
{' odd': -0.20823723, ' even': -2.1884332, ' Odd': -3.6602712, ':': -4.710274, ' ': -5.002007}
{':': -3.3725142, ' Even': -3.6392343, ' odd': -1.6244435, ' 0': -3.498961, ' even': -0.49660635}
{' odd': -0.43182883, ' 0': -2.2780068, ' even': -2.4597409, ' 1': -2.5679343, ' Odd': -3.004844}
{'\n': -6.419814, ' ': -6.3775187, ' an': -6.846823, ' Even': -4.3474445, ' even': -0.024220496}
{'\n': -6.730699, ' Odd': -4.2711945, ' 1': -6.5783806, ' odd': -0.026159553, ' even': -6.7529383}
{' even': -0.036836907, ' Even': -4.5970297, ' ': -5.086207, '\n': -5.4344025, ':': -5.72508}
{' Odd': -3.7130501, ' 1': -4.5845184, ' odd': -0.14427118, ' 0': -5.0774527, ' even': -2.5258124}
{' even': -0.046310283, ' odd': -4.1946206, ' Even': -4.695396, ' 0': -5.4354925, ':': -5.6098957}
{' Odd': -4.8465376, ' ': -6.8988066, ' 1': -5.62253, ' odd': -0.037111647, ' even': -3.8560581}
{' ': -6.141726, ':': -6.546032, ' Even': -5.196509, ' odd': -6.298276, ' even': -0.014297311}
{' odd': -0.08549126, ' 1': -2.9548225, ' even': -4.769152, '\n': -4.986062, ' ': -5.578497}
{' Even': -4.2427087, ' EVEN': -6.2439594, ' odd': -4.9910235, ' 0': -6.232866, ' even': -0.039715447}
{' Odd': -3.7182586, ' ': -4.9098315, ' 1': -4.646991, ' odd': -0.05458728, ' even': -5.4489093}
{' even': -0.010884017, ' Even': -5.4009957, ' ': -6.5137186, ':': -6.669856, ' EVEN': -7.0585966}
{' odd': -0.044600856, ' 1': -4.0059514, ' even': -4.430447, ' Odd': -5.303788, ' ': -6.21484}
{'\n': -4.655305, ' ': -4.4850645, ' Even': -4.1379333, ' 0': -3.3347101, ' even': -0.100219965}
{' odd': -0.18954313, ' Odd': -2.4513164, ' 1': -3.0799694, ' even': -3.7980692, ' ': -5.390711}
{' ': -4.3327494, ' Even': -4.0636578, ' odd': -3.5244303, ' 0': -3.6584098, ' even': -0.15001298}
{'\n': -6.5600147, ' Odd': -3.4172227, ' ': -6.250504, ' 1': -6.846402, ' odd': -0.041593596}
{' -->': -4.524569, ' ': -4.8535466, ':': -4.933846, ' Even': -4.892364, ' even': -0.066319376}
{' Odd': -3.0188332, ' ': -5.2536697, ' 1': -3.7534177, ' odd': -0.0954219, ' even': -5.9377584}
{' Even': -4.8803334, ' EVEN': -5.2262936, ' odd': -3.5319183, ' 0': -5.387431, ' even': -0.06226915}
{' odd': -0.056809135, ' Odd': -3.034615, ' even': -6.0975184, ' ': -6.6375847, ' 1': -6.884102}
{' even': -0.09315763, ' 0': -2.8964367, ' Even': -4.990454, ' ': -5.0268197, ':': -5.400935}
{' odd': -0.22912623, ' 1': -2.401519, ' even': -3.044616, ' 0': -3.789551, ' Odd': -4.126568}
{'\n': -5.4214168, ' ': -5.377927, ' Even': -4.8975425, ' 0': -2.4815547, ' even': -0.11969268}
{'\n': -6.200051, ' Odd': -3.9451585, ' ': -5.3634005, ' odd': -0.0351395, ' even': -6.554545}
{' ': -5.656115, ':': -5.274695, ' Even': -4.3093743, ' 0': -5.7646546, ' even': -0.034535963}
{' odd': -0.1833388, ' even': -1.9105172, ' Odd': -4.444161, ' 1': -6.194163, ' Even': -6.5070643}
{' ': -6.445567, ':': -6.494239, ' Even': -5.7850866, ' odd': -6.3968434, ' even': -0.017922519}
{' odd': -0.043237463, ' Odd': -3.4054544, ' 1': -6.2605996, ' even': -6.5594134, ' ': -6.8542953}
{' even': -0.122828275, ' odd': -3.0591455, ' an': -4.165836, ' Even': -4.1824822, ' not': -4.575846}
{' odd': -0.05773109, ' Odd': -3.324731, ' even': -4.302545, ' ': -6.460409, ' not': -7.160032}
{' even': -0.021485766, ' Even': -5.1241174, ':': -5.2406225, '\n': -6.4104276, ' EVEN': -6.4915776}
{' odd': -0.019893734, ' Odd': -4.5288143, ' even': -5.627583, ' ': -7.308533, '\n': -7.508705}
{' ': -6.185354, ' Even': -6.1128025, ' odd': -4.5263343, ' 0': -5.9356174, ' even': -0.02129511}
{' odd': -0.07377142, ' Odd': -3.017311, ' even': -4.159617, ' ': -6.834475, ' O': -7.4944353}
{' even': -0.020680519, ' odd': -5.1679683, ' 0': -5.6330605, ' ': -6.0966983, ' Even': -6.2902546}
{' odd': -0.050351076, ' 1': -3.566853, ' Odd': -5.2320323, ' 0': -5.48439, ' even': -5.5790567}
{' even': -0.009533544, ' Even': -5.3867936, ' odd': -6.754521, ' ': -6.9458003, ' 0': -7.305713}
{' Odd': -3.9753804, ' 1': -4.6469035, ' odd': -0.048199143, ' 0': -5.0382543, ' even': -5.083258}
{' even': -0.31896535, ' odd': -1.7376522, ' an': -3.7674153, ' Odd': -3.782328, ' Even': -4.0729647}
{':': -3.25383, ' 1': -2.043014, ' odd': -1.3699965, ' 0': -1.5288615, ' even': -1.2587866}
{' even': -0.5348373, ' 0': -1.1915528, ' 1': -3.6724613, ':': -3.7600873, ' zero': -4.364192}
{' odd': -0.89360636, ' even': -1.8700925, ' 0': -1.8734524, ' 1': -2.6517394, ':': -2.8054247}
{':': -5.6938877, ' Even': -5.2311754, ' odd': -5.7316065, ' 0': -6.068677, ' even': -0.021953763}
{' odd': -0.5376943, ' even': -1.252479, ' 1': -3.1842632, ' Odd': -4.1885724, ' 0': -4.204262}
{' even': -0.020249488, ' Even': -4.7913303, ' odd': -5.7410283, ':': -5.8729477, ' an': -6.753198}
{' odd': -0.42625788, ' even': -1.5825651, ' Odd': -2.6203036, ' 0': -4.2604413, ':': -4.310973}
{' even': -0.045565713, ':': -4.31831, ' an': -4.613943, ' Even': -5.0928164, ' 0': -5.9469085}
{' odd': -0.063001275, ' even': -3.3171887, ' Odd': -4.0258374, ':': -6.765113, ' 1': -6.8370476}
{' even': -0.039128724, ':': -4.631742, ' Even': -4.7272415, ' 0': -5.370688, ' odd': -5.6940475}
{' Odd': -2.9640276, ' ': -4.8938546, ':': -4.65674, ' odd': -0.09671347, ' even': -4.666876}
{' even': -0.045760117, ' Even': -4.575193, ':': -5.1434855, ' ': -5.37068, '\n': -5.3838487}
{' odd': -0.047346264, ' Odd': -4.298459, ' even': -4.3077297, ' ': -5.516865, ' 1': -5.925852}
{' even': -0.019819068, ' Even': -5.030021, ' odd': -5.3442082, ' ': -5.9650316, ':': -6.8068438}
{' Odd': -3.4636648, ' 1': -3.713789, ' odd': -0.24337094, ' 0': -4.5325546, ' even': -2.194748}
{':': -2.2439082, ' Even': -3.149996, ' odd': -2.9199097, ' 0': -2.1808362, ' even': -0.56547004}
{' Odd': -4.5445333, ' ': -6.7525764, ' 1': -6.946904, ' odd': -0.018759377, ' even': -5.948512}
{':': -7.157117, ' Even': -5.378499, ' odd': -6.680387, ' 0': -6.5721283, ' even': -0.012168199}
{' Odd': -4.25006, ' ': -6.3627834, ' 1': -3.5893755, ' odd': -0.055207565, ' even': -5.602257}
{' even': -0.035076037, ' 0': -4.339888, ' Even': -5.5689054, ' odd': -5.677094, ' ': -5.9096336}
{' Odd': -2.785175, ':': -5.648537, ' 1': -4.8688564, ' odd': -0.13647084, ' even': -3.1218054}
{' even': -0.018007902, ' Even': -5.3690457, ' ': -5.7566667, '\n': -6.0418367, ' 0': -6.6754622}
{' odd': -0.051018883, ' Odd': -3.2309217, ' even': -6.293435, ' not': -6.555203, ':': -6.707741}
{' even': -0.09331544, ' Even': -3.6686506, ' ': -4.1725082, ':': -4.3616686, '\n': -4.801981}
{' Odd': -2.6833348, ' 1': -3.0000784, ' odd': -0.36759624, ' 0': -4.6602674, ' even': -1.8334528}
{':': -2.8636515, ' EVEN': -3.722749, ' odd': -2.9066262, ' 0': -2.570562, ' even': -0.35090688}
{'\n': -6.5928288, ' Odd': -4.914997, ' 1': -4.466816, ' odd': -0.047176488, ' even': -3.793888}
{' ': -4.9539447, ' Even': -4.829169, ' EVEN': -5.2288384, ' 0': -4.8677287, ' even': -0.04729802}
{' odd': -0.10815908, ' even': -2.9962118, ' Odd': -3.377981, ' ': -5.1535225, ' 1': -5.8779902}
{' an': -5.6852264, ' Even': -4.959519, ' odd': -4.183432, ' 0': -6.354506, ' even': -0.037711605}
{' Odd': -3.6729827, ' ': -6.1718554, ':': -6.2880597, ' odd': -0.0652398, ' even': -3.5462177}
{' 0': -0.889502, ' ': -1.4753278, ' even': -2.0009904, ':': -2.9319797, '?': -3.8240902}
{' Odd': -4.4820285, ' 1': -2.0104508, ' odd': -0.33928654, ' 0': -3.5121377, ' even': -2.7072895}
{' even': -0.08166395, ' Even': -4.17744, ' ': -4.4145637, ' 0': -4.4188085, '\n': -4.8805404}
{' odd': -0.030446287, ' Odd': -4.2270145, ' 1': -5.3065658, ' ': -5.722048, ' even': -6.1036754}
{' even': -0.013388243, ' Even': -5.6077433, ' ': -6.3271556, ' 0': -6.704608, ' odd': -6.713135}
{' Odd': -5.578144, ' 1': -5.1305594, ' odd': -0.44495153, ' 0': -6.3203316, ' even': -1.096806}
{' ': -6.6945558, ' Even': -5.5837035, ' EVEN': -6.656736, ' odd': -6.5965805, ' even': -0.01267695}
{' Odd': -3.5046003, ' ': -5.760828, ' not': -6.2237897, ' odd': -0.10747701, ' even': -2.90682}
{' Even': -3.889707, ' EVEN': -4.683802, ' odd': -4.168125, ' 0': -2.8427005, ' even': -0.14352489}
{' Odd': -3.2157738, ' 1': -2.671613, ' odd': -0.3310416, ' 0': -3.254569, ' even': -2.2473395}
{' even': -0.013336353, '\n': -6.0177836, ' EVEN': -6.104242, ' ': -6.316629, ' 0': -6.6677227}
{' odd': -0.028123533, ' Odd': -3.7822585, ' even': -6.643367, ' ': -7.3587165, '\n': -7.5786867}
{' ': -6.4858704, ' Even': -5.909761, ' odd': -3.197443, ' 0': -5.451519, ' even': -0.05932144}
{'\n': -6.573815, ' Odd': -5.0376277, ' ': -6.374446, ' odd': -0.021532537, ' even': -5.2436323}
{' even': -0.017722774, ' odd': -4.6063037, ' Even': -5.927631, ' 0': -7.1052876, ' ': -7.201082}
{' Odd': -4.5814786, ' ': -6.4048114, ' not': -5.735134, ' odd': -0.05649923, ' even': -3.4092784}
{'\n': -7.400075, ' ': -6.097289, ' Even': -5.8146777, ' odd': -6.141334, ' even': -0.010831652}
{' odd': -0.33798763, ' 1': -1.8872048, ' 0': -2.8125014, ' even': -3.7327914, ' Odd': -4.5028653}
{' even': -0.05960028, ' odd': -3.7608588, ' Even': -4.356632, ' an': -5.1484995, ' Odd': -6.055319}
{' odd': -0.8667698, ' even': -1.5749035, ' 1': -1.7943659, ' 0': -2.5641155, ':': -3.093049}
{' even': -0.1401331, ' not': -3.913418, ' odd': -4.040971, ' left': -4.402158, ':': -4.6129804}
{' odd': -0.23505026, ' even': -2.8172312, ' Odd': -3.0362613, ':': -3.651208, ' 0': -4.4864244}
{' even': -0.019358933, ':': -5.2231636, ' 0': -5.7155914, ' Even': -5.7806044, ' ': -6.9085755}
{' odd': -0.24452357, ' Odd': -2.5996556, ' even': -2.7186704, ' 0': -4.002455, ':': -4.0338016}
{':': -5.42499, ' Even': -5.3809323, ' odd': -4.0668635, ' 0': -4.308307, ' even': -0.053006805}
{' Odd': -4.880575, ':': -5.5982494, ' Even': -5.4069614, ' odd': -0.97172004, ' even': -0.52950126}
{' even': -0.110109165, ':': -3.6736877, ' 0': -3.866273, ' odd': -4.296539, ' Even': -4.320461}
{' Odd': -4.944075, ' ': -6.813427, ' 1': -5.208175, ' odd': -0.088556886, ' even': -2.7223325}
{':': -2.6676495, ' Even': -3.602108, ' odd': -2.2850716, ' 0': -1.7667067, ' even': -0.71354795}
{' odd': -0.15171131, ' Odd': -3.2620904, ' even': -3.3506818, ' 1': -4.1547055, ':': -4.3471627}
{'\n': -6.204047, ' ': -5.3073425, ':': -6.4509516, ' Even': -4.89767, ' even': -0.021228012}
{' odd': -0.015225846, ' Odd': -4.7445083, ' an': -6.6378374, ' 1': -6.6944346, ' ': -7.322185}
{'\n': -7.6797223, ' ': -6.2782116, ' Even': -6.4331903, ' odd': -6.116992, ' even': -0.008061355}
{' Odd': -4.3295407, ' ': -6.7521057, ' 1': -5.0212593, ' odd': -0.03807556, ' even': -4.4393234}
{' ': -4.2277884, ':': -2.5983727, ' 1': -4.3524942, ' 0': -0.42521805, ' even': -1.6435502}
{' Odd': -2.6744535, ' 1': -3.7847853, ' odd': -0.20353028, ' 0': -4.4431267, ' even': -2.962219}
{'\n': -7.213063, ' ': -6.723077, ' Even': -5.5655937, ' odd': -7.3230658, ' even': -0.008862512}
{' odd': -0.21839705, ' 1': -1.7454823, ' Odd': -4.9222217, ' ': -5.593112, ' one': -6.466869}
{' even': -0.039464425, ' 0': -3.87412, ' Even': -5.0154595, ' odd': -5.7695193, ' EVEN': -6.293782}
{' Odd': -3.4808702, ' ': -6.03395, ' 1': -5.681533, ' odd': -0.053306896, ' even': -4.7963686}
{'\n': -5.695628, ' ': -5.428252, '?': -6.653463, ' Even': -5.723525, ' even': -0.01822015}
{'\n': -5.771679, ' Odd': -4.9151554, ' ': -5.7966914, ' 1': -6.5549955, ' odd': -0.022110479}
{' even': -0.09137052, ' Even': -3.4349525, ' ': -4.548148, ' 0': -4.610152, ':': -4.86784}
{' Odd': -3.8158407, ' 1': -5.2944536, ' not': -5.869576, ' odd': -0.12658025, ' even': -2.5773666}
{' even': -0.08654782, ' 0': -3.3570452, ' EVEN': -4.554635, ' Even': -4.816016, ':': -4.980825}
{' Odd': -3.1900153, ' ': -6.653427, ':': -7.408745, ' odd': -0.060250543, ' even': -4.344222}
{' even': -0.005086321, ' Even': -6.479908, ' ': -7.157861, '\n': -7.6120324, ' odd': -7.881535}
{' even': -0.22399339, ' odd': -1.6526986, ' neither': -6.511026, ' ': -6.5272493, '\n': -6.7370048}
{' an': -5.2043104, ' Even': -4.4744973, ' odd': -2.9506154, ' 0': -5.885896, ' even': -0.099438444}
{' odd': -0.122415304, ' Odd': -2.816017, ' even': -3.7484355, ' 1': -4.614927, ' ': -4.9377623}
{' 0': -0.20632538, ' even': -2.16518, ' ': -3.882072, ':': -4.4003873, ' 1': -4.7536016}
{' odd': -0.49863455, ' even': -1.5649475, ' 1': -2.744091, ' 0': -3.099726, ' Odd': -4.652834}
{' even': -0.15675439, ' 0': -2.3850317, ' ': -4.3469763, '\n': -4.5294003, ':': -5.1171403}
{' Odd': -3.7499447, ' ': -6.5095263, ' odd': -0.043189414, ' neither': -5.6048837, ' even': -4.678569}
{' ': -7.2290215, ':': -6.8855147, ' Even': -5.5746107, ' odd': -5.217963, ' even': -0.014387889}
{'\n': -5.2445884, ' Odd': -1.9008993, ' ': -5.4163365, ' odd': -0.22665735, ' even': -3.6771798}
{' even': -0.006327503, ' Even': -6.1320868, ' odd': -6.6534266, ' an': -7.951754, ':': -8.010619}
{' odd': -0.48265922, ' even': -1.096857, ' 1': -4.2587013, ' Odd': -4.52647, ' 0': -5.5017505}
{' an': -6.9801097, ' Even': -4.5060287, ' EVEN': -6.902846, ' odd': -6.644113, ' even': -0.020511368}
{' odd': -0.19523159, ' even': -2.313986, ' 1': -3.3637, ' 0': -3.9619656, ' Odd': -4.571168}
{' even': -0.006582463, ' Even': -5.63405, ':': -7.027304, ' odd': -7.964458, ' ': -7.966636}
{' odd': -0.07335866, ' Odd': -3.2673635, ' even': -4.337961, ':': -5.744977, '\n': -5.9751883}
{' even': -0.013470945, ' odd': -5.3810415, ' Even': -5.772381, ' ': -6.8621635, '\n': -7.3936434}
{' odd': -0.055442292, ' Odd': -3.681967, ' even': -4.1456995, ' 0': -5.6824026, ' 1': -5.8444867}
{' <': -7.452758, ' ': -7.1402373, ':': -7.2699695, ' Even': -5.2909284, ' even': -0.010086711}
{'\n': -6.577561, ' Odd': -4.2845902, ' ': -6.7038093, ' odd': -0.057810403, ' even': -3.346212}
{'\n': -4.7576523, ' ': -4.746372, '?': -5.848692, ' Even': -5.0532794, ' even': -0.032041706}
{' Odd': -4.2989645, ' 1': -4.806325, ' odd': -0.06799027, ' 0': -5.6469526, ' even': -3.5399313}
{' the': -6.678544, ' an': -4.432272, ' Even': -5.5874424, ' odd': -3.837502, ' even': -0.04854603}
{':': -4.5522523, ' 1': -2.259785, ' odd': -0.8729833, ' 0': -2.3715851, ' even': -1.1329501}
{' even': -0.14924867, ' 0': -3.2816567, ' odd': -3.4549553, ':': -4.398539, ' zero': -4.8377604}
{' odd': -0.19008628, ' Odd': -2.9501646, ' 0': -3.4906282, ' even': -3.5784767, ' 1': -3.8809724}
{' even': -0.17417209, ' odd': -3.0452778, ':': -3.7316241, ' 0': -3.7819161, ' Even': -4.082167}
{' odd': -0.7876806, ' even': -1.6284914, ' 0': -1.861125, ' 1': -2.7638702, ':': -3.4738007}
{' even': -0.01619972, ' Even': -5.10014, ':': -6.1971216, ' odd': -6.291157, ' EVEN': -6.8242307}
{' odd': -0.48240116, ' even': -1.1846651, ' Odd': -2.9874063, ' Even': -5.059848, ':': -5.3771954}
{':': -3.1399162, ' Even': -4.3633785, ' odd': -2.104211, ' 0': -1.855014, ' even': -0.5119697}
{' Odd': -4.421282, ' 1': -5.8178926, ' odd': -0.061866045, ' 0': -6.2487955, ' even': -3.3763459}
{' even': -0.013135104, ' Even': -5.756358, ' odd': -6.0282335, ' 0': -6.52351, ':': -6.7306337}
{' odd': -0.15169585, ' 1': -2.567301, ' Odd': -4.0494294, ' even': -4.3924785, ' ': -4.5670924}
{' even': -0.014378758, ' Even': -5.9680037, ':': -6.1215467, ' an': -6.2965536, ' ': -6.4596324}
{' odd': -0.014721065, ' Odd': -4.8623343, ' even': -6.921184, ' an': -6.947537, '\n': -7.0578322}
{' even': -0.021305948, ' Even': -5.259015, ' odd': -5.5355926, ' ': -5.6034675, '?': -6.192473}
{' Odd': -3.5775998, ' 1': -3.6611483, ' odd': -0.07308335, ' 0': -5.606595, ' even': -5.153729}
{' even': -0.5966509, ' 0': -1.0059861, ':': -3.8387785, ' Even': -4.445356, ' odd': -4.9521384}
{' Odd': -4.198893, ' 1': -3.3520148, ' odd': -0.2096677, ' 0': -5.1428514, ' even': -2.114696}
{' even': -0.013495775, ' Even': -5.2385693, ' ': -6.175367, ':': -6.8096466, '\n': -6.9652085}
{' odd': -0.021461166, ' even': -5.0293155, ' 1': -5.1856675, ' Odd': -5.452878, ' ': -6.8321767}
{' even': -0.057761338, ' 0': -3.3791606, ' odd': -5.3870077, ' zero': -5.6181564, ' Even': -6.145078}
{' odd': -0.1767646, ' even': -2.6823568, ' Odd': -3.300249, ' 1': -3.6431942, ':': -5.0878706}
{' even': -0.09527188, ' 0': -3.117623, ' Even': -4.8573227, ' ': -4.9885235, '\n': -5.0667152}
{' Odd': -3.4631097, ' 1': -3.9905696, ' odd': -0.1134803, ' 0': -5.3320203, ' even': -3.3893218}
{' even': -0.018547378, ' Even': -4.542749, ' ': -6.2921276, ' EVEN': -6.69881, ' "': -7.2211657}
{' odd': -0.5557785, ' 1': -1.0072718, ' even': -3.72739, ' 0': -4.1310306, ' Odd': -4.520419}
{' ': -6.1834574, ':': -5.475305, ' Even': -4.3466473, ' EVEN': -6.4682055, ' even': -0.030238433}
{' odd': -0.16229363, ' Odd': -2.187956, '\n': -4.698612, ' 1': -5.298503, ':': -5.3377256}
{' ': -6.4318595, ' Even': -5.936582, ' odd': -5.8175426, ' 0': -4.9029636, ' even': -0.022427218}
{' Odd': -3.974187, ' 1': -5.1518836, ' odd': -0.3089503, ' neither': -5.152328, ' even': -1.5156039}
{' Odd': -4.240177, ' Even': -3.5335133, ' EVEN': -4.8510404, ' odd': -1.8229614, ' even': -0.27106065}
{' odd': -0.2261436, ' Odd': -2.2653282, ' ': -3.4728382, ' 1': -3.7183292, ' even': -4.4710116}
{':': -4.9839396, ' Even': -4.4971714, ' odd': -4.0160465, ' 0': -2.724498, ' even': -0.14382683}
{' odd': -0.4907534, ' 1': -1.5950634, ' even': -2.8367367, ' 0': -2.8867247, ' Odd': -4.3350697}
{'\n': -4.99276, ' ': -4.516377, ' odd': -3.738257, ' 0': -4.7822385, ' even': -0.0704343}
