{' No': -1.7681766, '\n': -6.35613, 'No': -5.675157, ' Yes': -0.20745045, 'Yes': -4.486917}
{' No': -0.6317257, ' Yes': -1.0388741, '\n': -2.8827043, 'No': -3.2304425, 'Yes': -4.12921}
{' No': -6.047383, '\n': -3.943749, ' ': -7.1881948, ' Yes': -0.05511927, 'Yes': -3.4923847}
{' No': -5.333835, '\n': -3.736343, ' ': -7.501766, ' Yes': -0.07040385, 'Yes': -3.2841756}
{' Yes': -0.10892575, '\n': -3.1077526, 'Yes': -3.3160236, ' No': -4.061192, 'No': -6.134616}
{' Yes': -0.06148547, 'Yes': -3.1262589, '\n': -4.2836494, ' ': -6.9302273, ' yes': -7.8670497}
{' No': -0.66586965, ' Yes': -1.6346294, '\n': -1.7242478, 'No': -2.4710588, 'Yes': -4.262933}
{' Yes': -0.24766986, ' No': -2.2770638, 'Yes': -2.9711404, '\n': -3.0507646, 'No': -4.2070165}
{' Yes': -0.6443854, ' No': -0.8979007, '\n': -3.5959234, 'No': -3.7283318, 'Yes': -4.231002}
{' Yes': -0.1327762, ' No': -2.4053094, '\n': -4.049099, 'Yes': -4.519808, 'No': -5.602558}
{' No': -0.21981063, ' Yes': -2.2916965, '\n': -3.0398674, 'No': -3.125082, 'Yes': -5.7022223}
{' No': -0.1258149, '\n': -3.7933183, 'No': -3.486643, ' Yes': -2.782839, 'Yes': -6.6944375}
{' No': -1.5195931, '\n': -3.9582489, 'No': -4.5812097, ' Yes': -0.3111275, 'Yes': -4.1085153}
{' No': -1.2120825, '\n': -2.8725953, 'No': -3.9345977, ' Yes': -0.50349104, 'Yes': -4.179272}
{' Yes': -0.18877284, '\n': -2.5894916, ' No': -2.8713863, 'Yes': -3.5237072, 'No': -5.1454306}
{'\n': -2.9908562, ' ': -7.3078094, ' Yes': -0.08656128, ' yes': -8.18747, 'Yes': -3.4690762}
{' No': -0.5288031, '\n': -1.9614812, 'No': -3.551115, ' Yes': -1.5078299, ' Unfortunately': -5.0376873}
{' Yes': -0.6338755, ' No': -1.0323569, '\n': -2.6379857, 'No': -4.0341134, 'Yes': -4.365027}
{' No': -8.8687315, '\n': -7.7656546, ' Yes': -0.011413034, ' yes': -8.963258, 'Yes': -4.5491157}
{' No': -7.541727, '\n': -6.859568, ' Yes': -0.016201718, ' yes': -8.262804, 'Yes': -4.262767}
{' Yes': -0.025400365, 'Yes': -4.2895722, ' Sur': -4.862925, '\n': -6.0558066, ' No': -7.875183}
{' Yes': -0.37722355, ' No': -1.2324673, 'Yes': -4.4547477, 'No': -4.8454947, '\n': -6.0018725}
{' No': -6.905186, '\n': -7.4847336, ' Yes': -0.011313318, ' yes': -8.113317, 'Yes': -4.70497}
{' No': -0.038432397, 'No': -4.0716887, ' Yes': -4.0952277, '\n': -5.6467404, 'Yes': -8.359183}
{' No': -0.10692232, ' Yes': -2.7473717, 'No': -3.6616018, '\n': -4.623478, 'Yes': -6.7548327}
{' No': -0.111389995, ' Yes': -2.5152137, 'No': -4.1510744, '\n': -4.9421797, 'Yes': -7.192141}
{' No': -0.48708326, '\n': -5.1632614, 'No': -4.693977, ' Yes': -1.0054662, 'Yes': -5.475792}
{' No': -2.4856203, '\n': -5.6040244, 'No': -6.6660337, ' Yes': -0.10276946, 'Yes': -4.77198}
{' No': -0.05432664, '\n': -6.155696, 'No': -4.1051116, ' Yes': -3.3952787, 'Yes': -7.6194544}
{' No': -0.17570186, ' Yes': -1.9738071, 'No': -4.131629, '\n': -5.545384, 'Yes': -6.4038186}
{' No': -0.061285194, ' Yes': -3.4642925, 'No': -3.77577, '\n': -5.4995804, ' ': -7.724031}
{' Yes': -0.33772442, ' No': -1.6970782, ' Sur': -2.6080813, 'Yes': -4.284549, '\n': -4.9755664}
{' No': -0.037560783, '\n': -5.5023623, 'No': -4.1690397, ' Yes': -4.104715, 'Yes': -8.134984}
{' No': -7.986311, '\n': -5.0664887, ' Yes': -0.02317122, ' The': -8.24801, 'Yes': -4.1669164}
{' Yes': -0.08448731, ' No': -2.9360611, '\n': -4.2717333, 'Yes': -4.5495253, 'No': -6.580104}
{' Yes': -0.16300836, ' No': -2.1841474, '\n': -4.028933, 'Yes': -4.4369836, 'No': -5.3208776}
{' Yes': -0.082499854, '\n': -3.1295137, 'Yes': -3.5305607, ' No': -5.549224, ' ': -7.2054925}
{' No': -0.7625529, '\n': -2.9877803, 'No': -3.8081343, ' Yes': -0.8307273, 'Yes': -4.6615453}
{' Yes': -0.04634705, 'Yes': -3.9376223, ' No': -4.003809, '\n': -5.064142, 'No': -7.295904}
{' Yes': -0.104940265, ' No': -2.5082529, 'Yes': -4.263859, 'No': -6.093208, '\n': -6.6189747}
{' No': -4.291185, '\n': -5.016802, ' Yes': -0.038560744, 'Yes': -4.3744235, ' Hospital': -5.8781767}
{'\n': -3.5348346, ' ': -6.337923, ' Yes': -0.1091148, ' Sur': -3.0906322, 'Yes': -3.745345}
{' No': -0.029402364, ' Not': -8.413777, '\n': -6.23205, 'No': -4.073666, ' Yes': -4.700009}
{' Yes': -0.121145114, ' No': -2.635658, 'Yes': -3.880239, '\n': -4.1628337, 'No': -6.22195}
{' Yes': -0.023031902, 'Yes': -4.097365, '\n': -5.4166055, ' No': -7.237748, ' ': -7.5880017}
{' Yes': -0.012156795, 'Yes': -4.674339, '\n': -6.5700006, ' Doctor': -7.868518, ' yes': -8.016017}
{' No': -4.7327266, '\n': -5.411869, ' Yes': -0.026432227, 'Yes': -4.903843, ' Hospital': -5.618527}
{'\n': -3.449168, ' ': -5.975489, ' Yes': -0.24069467, ' Sur': -1.8741329, 'Yes': -3.8574054}
{' No': -0.023219347, ' Not': -8.202338, '\n': -6.091437, 'No': -4.013198, ' Yes': -6.4661703}
{' No': -0.2127551, ' Yes': -1.9147167, '\n': -4.0531693, 'No': -4.0933642, 'Yes': -5.718862}
{' Yes': -0.1010387, ' No': -2.9431365, 'Yes': -3.4335485, '\n': -4.8575983, 'No': -5.913286}
{' No': -5.5951834, '\n': -6.232053, ' Yes': -0.027421234, ' yes': -8.092364, 'Yes': -3.8835402}
{' No': -0.0762581, '\n': -4.721785, 'No': -3.3189948, ' Yes': -3.619877, 'Yes': -7.491707}
{' No': -0.50514024, ' Yes': -1.4531249, ' Sur': -2.7746542, '\n': -2.9123282, 'No': -3.5100095}
{' No': -0.04382392, '\n': -5.311375, ' ': -8.213049, 'No': -3.364653, ' Yes': -6.0641766}
{' Yes': -0.23409641, ' No': -1.8213938, 'Yes': -3.6198516, '\n': -4.495081, 'No': -4.955435}
{' No': -7.3987513, '\n': -6.4449587, ' ': -9.2255945, ' Yes': -0.0099594975, 'Yes': -4.895311}
{' Yes': -0.009807323, 'Yes': -4.884481, '\n': -6.65546, ' No': -7.712489, ' yes': -8.363039}
{' Yes': -0.12324397, ' No': -2.2764325, 'Yes': -5.0693383, '\n': -5.377791, 'No': -6.467957}
{' Yes': -0.15218797, ' No': -2.4487293, '\n': -3.3861775, 'Yes': -4.6418386, ' Sur': -4.768353}
{' No': -0.023950567, '\n': -5.909097, 'No': -3.9811456, ' Yes': -6.4105487, ' The': -8.59509}
{' Yes': -0.12224327, ' No': -2.4518044, 'Yes': -4.0760627, '\n': -4.7743754, 'No': -6.310427}
{' Yes': -0.050554316, 'Yes': -3.5397093, '\n': -3.961605, ' ': -7.187502, ' yes': -8.26675}
{' No': -7.881759, '\n': -3.5106874, ' ': -6.9478283, ' Yes': -0.05758523, 'Yes': -3.7262197}
{' No': -2.612972, '\n': -2.1253164, 'No': -5.376306, ' Yes': -0.2518174, 'Yes': -3.8042426}
{'\n': -2.729943, ' ': -6.605019, ' Yes': -0.102764845, ' yes': -8.339645, 'Yes': -3.4870918}
{' No': -0.18257222, 'No': -2.5213478, '\n': -2.6256187, ' Yes': -4.688664, ' ': -6.31551}
{' No': -1.8791554, '\n': -2.7574053, 'No': -4.897872, ' Yes': -0.2923233, 'Yes': -3.6218233}
{' Yes': -0.06980117, '\n': -3.1802309, 'Yes': -3.8345373, ' ': -5.8495307, ' The': -7.617209}
{' Yes': -0.08868942, '\n': -2.9343677, 'Yes': -3.671142, ' ': -5.58871, ' No': -6.8765273}
{' Yes': -0.11661006, '\n': -2.5982382, 'Yes': -3.7335649, ' No': -5.233853, ' ': -5.4716625}
{' Yes': -0.13392422, '\n': -2.493986, 'Yes': -3.3211074, ' ': -5.3222957, ' yes': -7.4197955}
{'\n': -0.86641455, ' Yes': -1.2233273, ' No': -1.6200062, ' ': -3.743621, 'No': -3.7672}
{' Yes': -0.15902399, '\n': -2.3717315, 'Yes': -3.5180936, ' No': -4.3265233, ' ': -5.0166707}
{' Yes': -0.1791334, '\n': -2.4859972, ' No': -3.1090438, 'Yes': -3.5360193, 'No': -5.6118474}
{' Yes': -0.07009546, '\n': -3.1081183, 'Yes': -4.0201135, ' No': -6.088718, ' ': -6.550005}
{' No': -4.6912613, '\n': -2.5073452, ' ': -6.762714, ' Yes': -0.13189696, 'Yes': -3.4948115}
{' Yes': -0.45048732, ' No': -1.7538053, '\n': -1.7980348, 'Yes': -4.3248825, 'No': -5.0020084}
{' Yes': -0.15167801, '\n': -2.8147311, ' No': -3.0162294, 'Yes': -3.6814284, 'No': -5.8767753}
{' No': -6.022325, '\n': -3.5955539, ' ': -6.873078, ' Yes': -0.05182241, 'Yes': -3.9973218}
{' No': -5.4517145, '\n': -2.9776049, ' ': -5.9626646, ' Yes': -0.08119887, 'Yes': -4.0108633}
{' Yes': -0.08059042, '\n': -2.8462648, 'Yes': -4.093425, ' ': -6.4579763, ' The': -7.996434}
{' No': -1.3106067, '\n': -1.5378978, 'No': -4.660748, ' Yes': -0.7399357, 'Yes': -4.6197405}
{' Yes': -0.16034561, ' No': -2.6966043, '\n': -2.909657, 'Yes': -4.1286645, ' The': -5.9120297}
{' Yes': -0.025089407, 'Yes': -4.1429005, '\n': -4.8125114, ' ': -7.875362, ' The': -8.795215}
{'\n': -4.376779, ' ': -7.646783, ' Yes': -0.036530778, ' The': -7.714764, 'Yes': -3.822299}
{'\n': -4.5439477, ' ': -7.0168896, ' Yes': -0.02522693, ' Sur': -7.703491, 'Yes': -4.391989}
{' Yes': -0.04876969, 'Yes': -3.9584072, '\n': -4.053107, ' Band': -5.132922, ' The': -6.4674783}
{' Yes': -0.025807502, 'Yes': -4.3861957, '\n': -4.625621, ' The': -7.012442, ' ': -7.027352}
{' No': -2.4469109, '\n': -3.8168101, 'No': -5.8367596, ' Yes': -0.13534352, 'Yes': -4.323759}
{' No': -2.3956182, '\n': -3.0213768, 'No': -5.3429847, ' Yes': -0.18428773, 'Yes': -3.961284}
{' No': -3.8678558, '\n': -2.8658395, ' ': -6.595849, ' Yes': -0.10140111, 'Yes': -4.299624}
{' No': -3.7762995, '\n': -3.0233278, ' ': -6.8694754, ' Yes': -0.09505188, 'Yes': -4.149295}
{' No': -4.291011, '\n': -3.333096, ' Yes': -0.0698613, ' The': -6.3610115, 'Yes': -4.3053346}
{' No': -6.974665, '\n': -6.5038724, ' ': -8.616757, ' Yes': -0.032515522, 'Yes': -3.541892}
{' No': -7.042638, '\n': -6.9935555, ' Yes': -0.025813311, 'Yes': -3.8139966, ' Doctor': -7.234364}
{' No': -2.7714026, 'No': -6.4786153, ' Yes': -0.079929896, 'Yes': -4.768376, ' Hospital': -5.8780932}
{' Yes': -0.10262996, ' Sur': -2.598283, 'Yes': -4.1576514, ' No': -5.709012, '\n': -6.119624}
{' No': -0.5524443, ' Yes': -0.98794353, '\n': -3.9760165, 'No': -4.107979, 'Yes': -4.685024}
{' Yes': -0.030057345, 'Yes': -4.0699553, '\n': -4.4942393, ' ': -7.144918, ' The': -8.291846}
{'\n': -4.506024, ' ': -7.148262, ' Yes': -0.028259823, ' The': -7.593578, 'Yes': -4.1918836}
{'\n': -3.2783422, ' ': -6.122435, ' Yes': -0.05813316, ' The': -7.6749377, 'Yes': -4.17505}
{' Yes': -0.08881292, '\n': -2.8495321, 'Yes': -3.7533388, ' ': -6.108983, ' yes': -7.429755}
{' No': -3.4996958, '\n': -1.9493666, ' ': -5.5898333, ' Yes': -0.2147569, 'Yes': -4.497243}
{' Yes': -0.10496575, ' No': -2.604794, 'Yes': -4.172665, '\n': -4.877686, 'No': -6.143862}
{' No': -0.37360007, '\n': -4.5899067, 'No': -3.8084695, ' Yes': -1.2983875, 'Yes': -5.2135506}
{' No': -1.783037, '\n': -3.8800597, 'No': -5.2557464, ' Yes': -0.23188576, 'Yes': -4.59367}
{' No': -5.3435373, '\n': -4.005521, ' Yes': -0.04591287, ' Sur': -6.9342523, 'Yes': -3.938588}
{' No': -0.045517303, ' Not': -7.4813957, '\n': -4.791132, 'No': -3.640257, ' Yes': -4.743094}
{' Yes': -0.5189013, ' No': -0.9946627, 'Yes': -4.345662, '\n': -4.5650053, 'No': -4.585891}
{' No': -1.5292095, '\n': -3.878393, 'No': -5.147135, ' Yes': -0.2980674, 'Yes': -4.3281956}
{' Yes': -0.03763938, 'Yes': -4.2084937, '\n': -4.5183253, ' No': -4.6418247, ' yes': -7.878709}
{' No': -1.1002717, '\n': -3.354473, 'No': -4.664442, ' Yes': -0.50273937, 'Yes': -4.941651}
{' Yes': -0.19562043, ' Sur': -2.3114517, '\n': -3.0252805, 'Yes': -3.999871, ' No': -4.919749}
{' No': -0.022334997, ' Not': -7.973518, '\n': -5.993606, 'No': -4.0519886, ' Yes': -6.52869}
{' No': -0.102242604, ' Not': -6.6213546, '\n': -3.5001194, 'No': -3.399497, ' Yes': -3.5776758}
{' No': -0.039941445, '\n': -5.818296, ' ': -8.70332, 'No': -3.4414876, ' Yes': -5.5575304}
{' No': -0.21165343, '\n': -5.295214, 'No': -3.2369924, ' Yes': -1.9512717, 'Yes': -5.5331483}
{' No': -0.040213317, 'No': -3.3030934, '\n': -6.1882367, ' Yes': -7.9248314, ' ': -8.802387}
{' No': -0.043601125, '\n': -5.168372, ' ': -8.6819725, 'No': -3.3663661, ' Yes': -6.1784997}
{' No': -0.05001195, 'No': -3.1236887, '\n': -5.8807817, ' Yes': -6.5032773, ' Not': -8.611527}
{' No': -0.09669666, '\n': -5.5403805, 'No': -3.4081666, ' Yes': -2.9365976, 'Yes': -6.367084}
{' No': -0.9657261, '\n': -5.338876, 'No': -5.170102, ' Yes': -0.5062039, 'Yes': -5.1851892}
{' Yes': -0.2011064, ' No': -1.855222, 'Yes': -4.489276, '\n': -4.611472, 'No': -5.6444063}
{' No': -0.5903361, ' Yes': -0.9169428, '\n': -3.7015631, 'No': -4.7805004, ' Hospital': -4.912266}
{' No': -0.83254856, '\n': -2.3353524, 'No': -4.7077756, ' Yes': -0.82972, ' Sur': -4.404242}
{' No': -0.015170533, 'No': -4.3663225, '\n': -6.43892, ' Yes': -7.7171197, ' ': -9.214677}
{' No': -0.9359176, '\n': -4.2471128, 'No': -4.7423425, ' Yes': -0.56592244, 'Yes': -4.4088483}
{' Yes': -0.21943639, ' No': -2.114267, '\n': -3.3794534, 'Yes': -3.515287, 'No': -4.5204425}
{' No': -2.5504243, '\n': -3.1898932, 'No': -5.130573, ' Yes': -0.16959544, 'Yes': -3.532886}
{' No': -0.7500274, '\n': -1.7337635, 'No': -2.9467227, ' Yes': -1.2719944, 'Yes': -4.259654}
{' Yes': -0.21622865, '\n': -2.251299, 'Yes': -3.0587807, ' No': -3.3206823, 'No': -5.6207943}
{' No': -0.18252121, 'No': -2.1457512, '\n': -3.0782044, ' Unfortunately': -6.7834597, ' Yes': -6.830888}
{' No': -0.50640154, '\n': -2.8147604, 'No': -2.9233916, ' Yes': -1.3185391, 'Yes': -4.310303}
{' No': -5.138191, '\n': -4.4494934, 'No': -7.267923, ' Yes': -0.05936053, 'Yes': -3.264288}
{' Yes': -0.052237064, 'Yes': -3.3001485, '\n': -4.674586, ' No': -5.7040234, ' ': -7.6598945}
{' No': -3.4464073, '\n': -2.649477, 'No': -5.092289, ' Yes': -0.18453424, 'Yes': -2.8783033}
{' Yes': -0.10473169, 'Yes': -2.726739, '\n': -3.4314702, ' ': -7.0274663, ' yes': -8.037213}
{' No': -0.57891685, '\n': -1.842606, ' Yes': -1.9472392, 'No': -2.2628748, 'Yes': -4.4092655}
{' No': -2.3652313, '\n': -2.9273593, 'No': -4.296891, ' Yes': -0.24706922, 'Yes': -2.9251792}
{' No': -2.3739717, '\n': -4.7015834, 'No': -4.8852324, ' Yes': -0.14961776, 'Yes': -3.570846}
{' Yes': -0.17579749, ' No': -2.3585558, '\n': -3.3040094, 'Yes': -3.9848773, 'No': -4.9829245}
{' No': -1.3405657, '\n': -2.3841083, 'No': -3.9055774, ' Yes': -0.513543, 'Yes': -3.6939704}
{' No': -0.20806623, ' Yes': -2.049144, 'No': -3.4131446, '\n': -3.8927524, 'Yes': -5.660558}
{' No': -0.86047244, '\n': -3.8396175, 'No': -3.8890631, ' Yes': -0.6577651, 'Yes': -4.2731786}
{' Yes': -0.082711354, ' No': -3.6258652, 'Yes': -3.6345415, '\n': -3.7846746, 'No': -6.251576}
{' Yes': -0.16247964, '\n': -2.7932398, ' No': -2.8552418, 'Yes': -3.801796, 'No': -5.397381}
{' No': -6.457206, '\n': -2.394414, ' ': -6.7900915, ' Yes': -0.13044834, 'Yes': -3.5937545}
{' No': -0.5913482, '\n': -1.4296718, ' Yes': -1.9340814, 'No': -3.1074345, 'Yes': -4.8770957}
{' No': -0.6946471, ' Yes': -1.290396, '\n': -1.7268755, 'No': -3.5582027, 'Yes': -4.600876}
{' Yes': -0.01418909, 'Yes': -4.3304577, '\n': -7.2331433, ' ': -9.432269, ' yes': -9.483425}
{' Yes': -0.022733994, 'Yes': -3.9394438, '\n': -6.2115836, ' No': -7.7122188, ' yes': -8.144161}
{'\n': -5.3249073, ' ': -7.179483, ' Yes': -0.027536534, ' Sur': -5.487299, 'Yes': -4.1216087}
{' Yes': -0.031222101, 'Yes': -3.8738964, ' No': -5.2687783, '\n': -5.668519, ' yes': -7.5895753}
{' No': -7.169661, '\n': -5.7636957, ' ': -7.6595025, ' Yes': -0.021408977, 'Yes': -4.1376467}
{' No': -0.22447538, '\n': -3.8755336, 'No': -3.6941752, ' Yes': -1.8885549, 'Yes': -5.8153768}
{' No': -0.48296157, ' Yes': -1.1589679, 'No': -3.4572697, '\n': -3.6218624, 'Yes': -4.7941723}
{' No': -0.5408823, '\n': -3.5579624, 'No': -4.1597786, ' Yes': -1.004984, 'Yes': -5.4192715}
{' Yes': -0.32919452, ' No': -1.415006, 'Yes': -4.2322664, '\n': -4.277017, 'No': -4.891767}
{' No': -1.6155233, '\n': -3.596097, 'No': -5.289607, ' Yes': -0.28307635, 'Yes': -4.325696}
{' No': -0.18240218, ' Yes': -2.1016126, 'No': -3.5411704, '\n': -4.384068, 'Yes': -6.0672345}
{' No': -0.46573913, '\n': -3.8640544, 'No': -3.7120807, ' Yes': -1.1452512, 'Yes': -5.012908}
{' No': -0.12021269, ' Yes': -2.856512, 'No': -3.1299934, '\n': -4.6420875, 'Yes': -6.7768607}
{' No': -1.1301781, '\n': -4.4212947, ' Yes': -0.45073855, ' Sur': -4.706043, 'Yes': -4.734346}
{' No': -0.13492031, '\n': -4.703453, 'No': -3.9496193, ' Yes': -2.355961, 'Yes': -6.341633}
{'\n': -4.901371, ' ': -7.975321, ' Yes': -0.02594017, ' The': -8.151558, 'Yes': -4.065613}
{' Yes': -0.13970338, ' No': -2.8176477, '\n': -3.1350913, 'Yes': -3.9046607, 'No': -5.783039}
{' No': -2.8538363, '\n': -3.5172977, 'No': -5.857294, ' Yes': -0.11453084, 'Yes': -4.271412}
{' Yes': -0.06700538, '\n': -3.2704737, 'Yes': -3.751934, ' No': -6.742489, ' The': -7.113844}
{' Yes': -0.7516339, ' No': -1.006574, '\n': -2.208322, 'No': -3.7765515, 'Yes': -4.313327}
{' No': -0.25693655, '\n': -5.3302755, 'No': -3.376096, ' Yes': -1.7038397, 'Yes': -5.234676}
{' No': -0.095237136, '\n': -4.439622, 'No': -3.071815, ' Yes': -3.464208, 'Yes': -7.107978}
{' No': -0.16133188, '\n': -4.11356, 'No': -2.996943, ' Yes': -2.525914, 'Yes': -6.3353634}
{' No': -2.9054463, '\n': -4.9931364, 'No': -6.056601, ' Yes': -0.09141643, 'Yes': -3.7942917}
{' No': -0.050153013, 'No': -3.512395, ' Yes': -4.6422243, '\n': -4.758212, 'Yes': -8.346082}
{' No': -0.6104738, ' Yes': -0.8645307, 'No': -3.9769268, 'Yes': -4.763756, '\n': -4.8715286}
{' Yes': -0.33431563, ' No': -1.3589718, 'Yes': -4.178235, 'No': -4.7551985, '\n': -5.7914114}
{' No': -4.6720047, '\n': -5.96406, ' Yes': -0.031751994, ' yes': -7.8110104, 'Yes': -3.9917872}
{' No': -0.8807204, '\n': -3.4552708, 'No': -3.9864788, ' Yes': -0.6471464, 'Yes': -4.6853943}
{' Yes': -0.119841374, ' No': -3.4101684, '\n': -3.5288494, 'Yes': -3.6108844, ' Sur': -3.9296253}
{' No': -0.03704707, 'No': -3.867695, '\n': -4.8046556, ' Yes': -5.2937818, ' Band': -6.4963136}
{' No': -0.11835661, ' Yes': -2.7808683, '\n': -3.538843, 'No': -4.038351, 'Yes': -6.807788}
{' No': -0.047892608, 'No': -3.182849, ' Yes': -5.598473, '\n': -6.615298, 'Yes': -8.90475}
{' No': -0.06760028, 'No': -3.2079544, ' Yes': -3.7963524, '\n': -6.443374, 'Yes': -7.1865573}
{' No': -0.060850997, 'No': -3.0871549, '\n': -4.674849, ' Yes': -5.703062, ' ': -7.558045}
{' No': -0.11573873, '\n': -4.0084653, 'No': -2.9351757, ' Yes': -3.3468406, 'Yes': -6.489857}
{' No': -0.04461313, 'No': -3.3906956, '\n': -5.05764, ' Yes': -5.850771, ' ': -8.220499}
{' No': -0.38254836, ' Yes': -1.2867478, 'No': -3.8198252, '\n': -4.5292883, 'Yes': -4.8178396}
{' No': -0.34148127, ' Yes': -1.3425112, 'No': -3.8694525, 'Yes': -5.2980337, '\n': -6.2184606}
{' No': -3.0475945, '\n': -5.4858456, 'No': -6.47996, ' Yes': -0.07371771, 'Yes': -4.0637803}
{' No': -0.16403908, '\n': -4.6115394, 'No': -3.6403418, ' Yes': -2.1871655, 'Yes': -6.546895}
{' No': -0.6005677, ' Yes': -0.9380806, '\n': -3.8039672, 'No': -4.095261, ' Sur': -4.5205717}
{' No': -0.037073478, 'No': -3.9683611, ' Yes': -5.0306263, '\n': -5.1506824, ' Band': -5.4840736}
{' No': -2.1417933, '\n': -4.821887, 'No': -5.791859, ' Yes': -0.15475376, 'Yes': -4.285615}
{' Yes': -0.060181983, ' No': -3.4406998, 'Yes': -3.885318, '\n': -5.49627, 'No': -6.567008}
{' No': -4.561789, '\n': -5.4462605, 'No': -7.8587284, ' Yes': -0.03549813, 'Yes': -3.9438787}
{' No': -0.42288566, ' Yes': -1.3763236, 'No': -3.069187, '\n': -3.3144946, 'Yes': -4.7890396}
{' No': -2.3879566, '\n': -2.8777711, 'No': -5.054777, ' Yes': -0.2116051, 'Yes': -3.3517761}
{' No': -0.06440436, 'No': -3.0000062, '\n': -4.673451, ' Yes': -5.92145, ' ': -8.402552}
{' No': -0.7237545, '\n': -4.5700526, 'No': -3.4524148, ' Yes': -0.7930771, 'Yes': -3.911041}
{' Yes': -0.039653365, 'Yes': -3.500978, '\n': -4.952165, ' No': -6.9910345, ' ': -8.052905}
{' Yes': -0.048573747, 'Yes': -3.3745034, '\n': -4.4839683, ' No': -6.8218355, ' ': -8.035766}
{' No': -6.5550222, '\n': -5.8916335, ' ': -8.318751, ' Yes': -0.04120761, 'Yes': -3.3419182}
{' Yes': -0.056547984, 'Yes': -2.9451737, '\n': -6.356608, ' yes': -8.225973, ' ': -8.423829}
{' Yes': -0.588398, ' No': -1.1073971, 'No': -3.210966, '\n': -3.263809, 'Yes': -3.608057}
{' No': -4.7768493, '\n': -5.518329, 'No': -6.906406, ' Yes': -0.061679572, 'Yes': -3.089122}
{' No': -1.55376, '\n': -4.7948146, 'No': -4.296188, ' Yes': -0.29254878, 'Yes': -3.9425523}
{' Yes': -0.09673907, ' No': -2.8963914, 'Yes': -4.0895996, '\n': -4.237097, 'No': -5.5417347}
{' No': -0.14447866, 'No': -2.8063762, ' Yes': -3.1269288, '\n': -3.5879123, 'Yes': -6.23683}
{' No': -0.5846113, ' Yes': -0.9495747, 'No': -3.452182, '\n': -4.420131, 'Yes': -4.570209}
{' No': -0.8817622, '\n': -4.135918, 'No': -3.6963525, ' Yes': -0.6400648, 'Yes': -4.231707}
{' No': -0.23319215, ' Yes': -2.183765, 'No': -2.804647, '\n': -3.7479625, ' Unfortunately': -5.2281947}
{' Yes': -0.14750975, ' No': -2.3072445, 'Yes': -3.8465967, 'No': -4.871356, '\n': -4.996524}
{' Yes': -0.02914502, 'Yes': -3.6562083, '\n': -6.138132, ' No': -8.462093, ' yes': -8.665529}
{' No': -0.61009645, '\n': -3.3221686, 'No': -3.1257346, ' Yes': -1.0413729, 'Yes': -4.2239227}
{' No': -0.49702454, ' Yes': -1.1956369, 'No': -3.1528642, '\n': -3.5619965, 'Yes': -4.5785637}
{' No': -6.905502, '\n': -8.014022, ' Yes': -0.01004577, ' yes': -9.16897, 'Yes': -4.7690372}
{' No': -7.074732, '\n': -8.112257, ' Yes': -0.013201237, ' yes': -8.302238, 'Yes': -4.453446}
{'Sur': -7.459718, '\n': -6.1924324, ' Yes': -0.112655595, ' Sur': -2.496988, 'Yes': -3.9116495}
{' Yes': -0.18272154, ' No': -1.9637293, 'Yes': -3.9799397, 'No': -5.3013797, ' yes': -6.3343363}
{' No': -8.417021, '\n': -7.818663, ' Yes': -0.00964975, ' yes': -8.146511, 'Yes': -4.7733192}
{' No': -0.024109304, 'No': -3.8829765, ' Yes': -5.9941535, '\n': -7.3809814, 'Yes': -9.995541}
{' No': -0.09319995, ' Yes': -2.9016752, 'No': -3.4826899, '\n': -6.28757, 'Yes': -6.829274}
{' No': -0.047186233, '\n': -5.305395, ' ': -8.350189, 'No': -3.5802748, ' Yes': -4.3748016}
{' No': -0.104508795, ' Yes': -2.6295083, 'No': -3.8055468, '\n': -5.735551, 'Yes': -6.67167}
{' No': -0.3804628, '\n': -5.539236, 'No': -4.1339912, ' Yes': -1.2357085, 'Yes': -5.350933}
{' No': -0.044046145, 'No': -3.4500954, ' Yes': -4.656953, '\n': -6.534236, 'Yes': -8.254771}
{' No': -0.15438667, ' Yes': -2.2909453, 'No': -3.4288461, '\n': -5.0875187, 'Yes': -6.051712}
{' No': -0.1360587, ' Yes': -2.4290159, 'No': -3.486389, '\n': -5.008785, 'Yes': -6.7495055}
{' No': -1.852699, 'No': -4.9992805, ' Yes': -0.215883, ' Sur': -4.999187, 'Yes': -4.10164}
{' No': -0.32028416, ' Yes': -1.4525397, 'No': -3.6556854, '\n': -4.7987595, 'Yes': -5.2994213}
{' Yes': -0.029434651, 'Yes': -3.7909243, '\n': -5.3165874, ' No': -6.8962426, ' yes': -8.759629}
{' Yes': -0.09176421, ' No': -3.1895502, 'Yes': -3.7160735, '\n': -4.0378604, 'No': -5.937963}
{' Yes': -0.13244048, ' No': -2.5121517, 'Yes': -3.6647813, 'No': -4.813556, '\n': -5.0603347}
{' Yes': -0.04785647, 'Yes': -3.164586, '\n': -5.7412996, ' No': -7.5687, ' The': -8.276357}
{' No': -0.62079996, ' Yes': -1.0298063, 'No': -2.8642728, '\n': -4.0014534, 'Yes': -4.1033688}
{' No': -0.37303585, '\n': -5.950741, 'No': -3.8183537, ' Yes': -1.2719654, 'Yes': -5.0730114}
{' No': -0.07358228, ' Yes': -3.369696, 'No': -3.3826237, '\n': -6.4263024, 'Yes': -7.14053}
{' No': -0.13648902, ' Yes': -2.911252, 'No': -2.954053, '\n': -3.9722319, 'Yes': -6.404212}
