{' Odd': -4.2759004, ' 1': -3.006027, ' odd': -0.19955897, ' 0': -3.5803776, ' even': -2.5113332}
{':': -4.780761, ' EVEN': -6.1406975, ' 0': -1.0340805, ' zero': -4.035878, ' even': -0.5028515}
{' odd': -0.5046651, ' 1': -1.013412, ' Odd': -4.546127, ' one': -4.9800334, ' ': -5.5751834}
{' Odd': -4.083111, ' 1': -3.3556376, ' odd': -0.11713155, ' 0': -4.254839, ' even': -3.2744055}
{':': -4.3435388, ' 1': -5.350823, ' 0': -1.3026664, ' zero': -5.075067, ' even': -0.37071687}
{' Odd': -5.5392, ' 1': -0.6302625, ' odd': -0.8152562, ' 0': -5.1195116, ' even': -5.5398636}
{':': -6.657712, ' odd': -6.890407, ' 0': -2.8331158, ' zero': -5.6852636, ' even': -0.071512625}
{' Odd': -5.165279, ':': -6.267513, ' 1': -1.4484721, ' odd': -0.29299664, ' even': -5.661808}
{' ': -4.336335, ':': -4.481019, ' 1': -5.742959, ' 0': -1.6990547, ' even': -0.2602874}
{' odd': -0.031996105, ' 1': -3.7067661, ' Odd': -5.745067, ' ': -7.282138, ':': -7.7278438}
{' 0': -0.58551157, ' even': -1.3883706, ':': -2.4736264, ' ': -3.3870416, ' zero': -3.6913986}
{' Odd': -4.2849317, ' 1': -1.1607236, ' one': -5.378005, ' odd': -0.4259995, ' even': -5.5010495}
{' Odd': -4.4833984, ' 1': -2.79373, ' odd': -0.23559801, ' 0': -3.1223435, ' even': -2.475699}
{' even': -0.41961285, ' 0': -1.279421, ':': -3.7244031, ' 1': -3.9392672, ' odd': -5.2140183}
{' Odd': -5.46851, ' 1': -1.2402656, ' one': -5.4622865, ' odd': -0.374419, ' even': -5.4510016}
{' ': -4.6865973, ':': -4.1015267, ' 0': -0.31075796, ' zero': -3.774819, ' even': -1.6650945}
{' Odd': -5.4883595, ':': -5.6425033, ' 1': -0.8404856, ' odd': -0.6134176, ' 0': -5.254463}
{' ': -6.856864, ':': -5.509685, ' Even': -6.859311, ' 0': -2.4873922, ' even': -0.09883281}
{' odd': -0.100989774, ' 1': -2.4377694, ' Odd': -5.8754992, ' ': -6.9230285, ' 0': -7.0848074}
{' 0': -0.620089, ' even': -1.311379, ':': -2.466332, ' ': -3.4218667, ' zero': -3.6778526}
{' odd': -0.49381942, ' 1': -1.0365536, ' Odd': -4.6371803, ' one': -4.7904806, ':': -5.6299515}
{' Odd': -4.5406485, ' 1': -4.8924456, ' odd': -0.061325435, ' 0': -5.0856934, ' even': -3.4668736}
{':': -4.260491, ' 1': -4.7362714, ' odd': -4.666012, ' 0': -2.5008013, ' even': -0.13678011}
{' 1': -0.40468544, ' odd': -1.1880412, ' 0': -4.9810743, ' one': -5.062473, ' Odd': -5.797227}
{':': -5.705675, ' Even': -6.4696717, ' 0': -2.2278433, ' zero': -5.7569547, ' even': -0.13166066}
{' Odd': -5.8011727, ' 1': -0.7721562, ' odd': -0.66025776, ' 0': -5.6547985, ' even': -4.9493394}
{' ': -4.2861295, ':': -4.011667, ' odd': -4.217257, ' 0': -1.2764013, ' even': -0.44798827}
{' Odd': -6.285797, ' ': -6.4785976, ' 1': -0.8963257, ' one': -6.824767, ' odd': -0.5410496}
{' ': -4.158779, ':': -2.7727776, ' 0': -1.4375688, ' zero': -3.8664799, ' even': -0.4931966}
{' Odd': -5.1626773, ' ': -5.5027866, ' 1': -0.89694035, ' odd': -0.5641213, ' 0': -5.399891}
{' Odd': -3.908492, ' 1': -2.122243, ' odd': -0.4810858, ' 0': -2.5532997, ' even': -1.9532824}
{':': -3.8995948, ' 1': -5.449694, ' 0': -1.6401342, ' zero': -5.0420604, ' even': -0.26776654}
{' 1': -0.27399927, ' one': -4.8560767, ' odd': -1.5570879, ' 0': -5.0189443, ' even': -5.8678904}
{' ': -6.1648946, ':': -5.6627245, ' 0': -1.6967461, ' zero': -5.380602, ' even': -0.22600856}
{' 1': -0.50627786, ' one': -5.7543626, ' odd': -0.9719951, ' 0': -5.90216, ' even': -6.0109262}
{' even': -0.02302678, ' 0': -4.0684385, ':': -6.295882, ' Even': -7.1778245, ' EVEN': -7.3768816}
{' odd': -0.08139157, ' 1': -2.6438942, ' Odd': -5.737368, ' ': -7.211522, ' 0': -7.591432}
{' 0': -0.8249921, ' even': -1.0546073, ':': -2.3956604, ' ': -3.4458272, ' zero': -3.5766387}
{' odd': -0.2098606, ' 1': -1.7894104, ' Odd': -4.4983444, ' even': -5.8390064, ' one': -6.418241}
{' Odd': -4.8419614, ' 1': -5.1620145, ' odd': -0.07321045, ' 0': -5.744215, ' even': -3.007915}
{':': -3.9038436, ' 1': -4.6382813, ' 0': -1.248599, ' zero': -5.5624146, ' even': -0.4098482}
{' Odd': -5.0154796, ' 1': -1.3006718, ' one': -5.5181284, ' odd': -0.35357785, ' 0': -5.474203}
{' 0': -0.2160172, ' even': -2.0813916, ':': -3.5674367, ' zero': -4.290973, ' ': -5.079165}
{' odd': -0.635858, ' 1': -0.8087211, ' even': -4.752975, ' 0': -5.512171, ' Odd': -5.696909}
{' ': -4.510295, ':': -4.680813, ' odd': -5.889167, ' 0': -2.6153107, ' even': -0.11786292}
{' odd': -0.08162276, ' 1': -2.674047, ' Odd': -5.7797027, ' even': -5.9590282, ' ': -7.5860853}
{':': -4.461019, ' an': -5.754527, ' 0': -2.1588202, ' zero': -4.918205, ' even': -0.16221742}
{' Odd': -4.660927, ' 1': -0.6245178, ' one': -5.052334, ' odd': -0.83600664, ' even': -5.6861515}
{' Odd': -4.8061614, ':': -4.3582015, ' 1': -1.8207194, ' odd': -0.30399776, ' 0': -2.8144383}
{':': -3.2457938, ' 1': -3.7237792, ' 0': -0.76132834, ' zero': -5.251963, ' even': -0.8156564}
{' 1': -0.68551046, ' odd': -0.7489966, ' 0': -5.4125805, ' one': -5.522522, ' Odd': -5.52812}
{' 0': -0.69779664, ' even': -0.73598, ':': -5.0512857, ' zero': -5.1206656, ' ': -5.957728}
{' Odd': -5.910506, ' 1': -0.5137318, ' one': -5.617443, ' odd': -0.9617832, ' 0': -5.7058396}
{' even': -0.45817873, ' 0': -1.2518791, ':': -3.8525155, ' ': -4.1520233, ' odd': -4.506214}
{' odd': -0.15501006, ' 1': -2.0025127, ' Odd': -6.1153617, ' ': -6.9029384, ' 0': -7.1323195}
{' 0': -0.85265136, ' even': -0.96001035, ':': -2.4369247, ' zero': -3.5422559, ' ': -3.634438}
{' Odd': -4.7671494, ' 1': -0.6040887, ' one': -4.947828, ' odd': -0.8656434, ' even': -5.270129}
{' Odd': -5.1223516, ':': -5.5854173, ' 1': -2.532878, ' odd': -0.11943258, ' 0': -4.1983013}
{':': -3.5241427, ' 1': -4.502571, ' odd': -5.1525054, ' 0': -1.4132564, ' even': -0.36815822}
{' odd': -0.49497753, ' 1': -0.98250633, ' 0': -5.5293636, ' Odd': -6.0140553, ' ': -6.835265}
{' ': -4.261476, ':': -4.0440745, ' 0': -0.5554121, ' zero': -3.1610944, ' even': -1.1604879}
{' odd': -0.34559935, ' 1': -1.304578, ' Odd': -5.2894554, ' even': -5.3404207, ' one': -6.215429}
{' an': -6.720535, ' Even': -6.880366, ' odd': -6.5385466, ' 0': -4.7753196, ' even': -0.01658773}
{' Odd': -5.8766437, ' 1': -1.4914719, ' one': -6.4093084, ' odd': -0.27379578, ' even': -5.396855}
{' 0': -0.834765, ' even': -0.95328766, ':': -2.573584, ' zero': -3.6710906, ' ': -3.7417216}
{' Odd': -4.5767193, ' ': -6.2861066, ' 1': -1.6572856, ' odd': -0.24409087, ' even': -5.261476}
{' odd': -0.09586468, ' even': -3.025657, ' 1': -4.0509443, ' Odd': -4.557876, ' 0': -4.619115}
{' even': -0.085573725, ' 0': -3.0523627, ':': -4.2330413, ' odd': -5.22106, ' 1': -5.6649323}
{' odd': -0.6686202, ' 1': -0.77710646, ' one': -5.1203117, ' Odd': -5.4023933, ' 0': -5.4401827}
{':': -6.130803, ' Even': -6.417706, ' 0': -3.3854864, ' zero': -6.2925916, ' even': -0.048018385}
{' Odd': -5.3609395, ':': -6.0440187, ' 1': -1.6210083, ' odd': -0.24567632, ' even': -5.4276013}
{' even': -0.0708417, ' 0': -2.8272827, ':': -6.1955686, ' odd': -6.2522416, ' zero': -6.906006}
{' odd': -0.12830584, ' 1': -2.1839392, ' Odd': -6.169374, ' ': -6.9537463, ' 0': -6.985683}
{':': -4.531467, ' odd': -5.8727236, ' 0': -1.6086493, ' zero': -4.6599474, ' even': -0.26800057}
{' odd': -0.44601238, ' 1': -1.1407584, ' Odd': -4.0198293, ' one': -4.8507037, ' "': -5.443793}
{' odd': -0.0522988, ' even': -3.6198196, ' Odd': -4.639806, ' 1': -4.7962523, ' 0': -5.6616125}
{':': -4.1057506, ' 1': -5.1462197, ' odd': -5.65301, ' 0': -2.5771854, ' even': -0.11709858}
{' odd': -0.29781803, ' 1': -1.437844, ' 0': -5.162432, ' even': -5.410459, ' Odd': -5.6774755}
{' even': -0.23033296, ' 0': -1.6561943, ' zero': -5.504537, ':': -6.1064043, ' ': -6.5682817}
{' 1': -0.5449449, ' odd': -0.9115106, ' 0': -5.8698926, ' Odd': -5.905538, ' even': -5.9714627}
{' even': -0.009169548, ' 0': -5.9122615, ' odd': -6.815404, ' Even': -6.8785124, ':': -6.898668}
{' Odd': -6.1567335, ' 1': -0.9107376, ' one': -5.7345586, ' odd': -0.5379653, ' even': -5.8217473}
{':': -4.5495977, ' odd': -6.0363226, ' 0': -1.035328, ' zero': -3.9820902, ' even': -0.51026547}
{' Odd': -4.5732512, ' 1': -1.0415827, ' one': -4.0044, ' odd': -0.50553375, ' even': -5.7725}
{' odd': -0.23921666, ' 1': -2.5220697, ' 0': -2.6705472, ':': -3.818725, ' even': -4.1812263}
{':': -4.306209, ' 1': -5.6790533, ' odd': -5.2818546, ' 0': -3.0045264, ' even': -0.08509108}
{' Odd': -5.478896, ' 1': -1.3730167, ' one': -5.82957, ' odd': -0.32009345, ' even': -5.3495626}
{':': -5.2332993, ' EVEN': -6.0316243, ' 0': -1.4499673, ' zero': -5.3954988, ' even': -0.29564074}
{' odd': -0.35247272, ' 1': -1.3264662, ' Odd': -4.708418, ' even': -4.788587, ' one': -5.7520905}
{':': -5.849247, ' odd': -6.3552494, ' 0': -1.9552878, ' zero': -6.3404226, ' even': -0.16646962}
{' Odd': -5.9787397, ' ': -6.294042, ':': -6.6713123, ' 1': -1.2200679, ' odd': -0.36575675}
{' even': -0.6488358, ' 0': -0.82663876, ' zero': -4.148888, ':': -4.632316, ' EVEN': -5.833837}
{' Odd': -4.5209956, ' 1': -0.83707005, ' one': -4.6554084, ' odd': -0.63826895, ' even': -5.0664287}
{' Odd': -4.915562, ':': -5.27644, ' 1': -1.876947, ' odd': -0.22969408, ' 0': -3.5568502}
{' even': -0.47862908, ' 0': -1.1025724, ':': -4.0524726, ' 1': -4.5343227, ' zero': -5.142264}
{' odd': -0.34517652, ' 1': -1.3166692, ' one': -5.2556453, ' Odd': -5.5474925, ' 0': -5.721659}
{' ': -4.4039874, ':': -4.0566993, ' 0': -0.4403003, ' zero': -3.3512702, ' even': -1.3695606}
{' Odd': -5.250269, ' 1': -1.0805447, ' one': -5.652925, ' odd': -0.4576331, ' even': -5.027734}
{' even': -0.042505555, ' 0': -3.420642, ' an': -6.516223, ':': -6.698477, ' ': -6.7098207}
{' odd': -0.43679926, ' 1': -1.0715039, ' Odd': -6.090865, ' ': -6.5875206, ':': -6.6556654}
{' ': -3.4133723, ':': -2.1723914, ' odd': -3.550461, ' 0': -2.2138963, ' even': -0.47444203}
{' Odd': -4.621281, ' 1': -1.5546196, ' one': -6.4471693, ' odd': -0.26622656, ' even': -5.390951}
{' Odd': -4.409057, ' 1': -3.704564, ' odd': -0.08032615, ' 0': -4.158226, ' even': -3.9539366}
{':': -4.4028864, ' 1': -5.0854435, ' odd': -5.44077, ' 0': -1.684454, ' even': -0.24856183}
{' 1': -0.50717276, ' odd': -1.008361, ' 0': -4.5774064, ' one': -5.0669613, ' Odd': -5.4491944}
{' 0': -0.5895647, ' even': -0.8619455, ' zero': -4.6217017, ':': -5.528714, ' ': -6.410401}
{' 1': -0.7358322, ' one': -5.850407, ' odd': -0.6866131, ' 0': -5.6359344, ' even': -5.725374}
{' even': -0.63939935, ' 0': -0.86529917, ' ': -4.3886213, ':': -4.4772654, ' 1': -5.382779}
{' odd': -0.16678049, ' 1': -1.9464786, ' Odd': -5.590297, ' 0': -7.0075374, ' even': -7.078808}
{' ': -4.124717, ':': -2.4305017, ' 0': -0.7491025, ' zero': -3.448522, ' even': -1.1308964}
{' Odd': -4.988762, ' ': -5.725456, ' 1': -0.5901931, ' one': -3.7893364, ' odd': -0.9207919}
{' odd': -0.22251831, ' 1': -2.5209575, ' even': -2.774008, ' 0': -3.3733675, ' Odd': -4.335243}
{' even': -0.07843094, ' 0': -3.4529507, ':': -4.3972993, ' odd': -4.457871, ' 1': -5.1481876}
{' Odd': -4.881871, ' 1': -2.1634607, ' odd': -0.149766, ' 0': -5.697779, ' even': -5.250953}
{':': -7.1960974, ' Even': -7.2201104, ' EVEN': -7.2739034, ' 0': -5.780412, ' even': -0.007403874}
{' odd': -0.2552575, ' 1': -1.5493382, ' Odd': -5.604605, ' even': -5.849705, ' 0': -6.3978333}
{' ': -6.635368, ':': -6.037938, ' odd': -6.125913, ' 0': -6.0179152, ' even': -0.013172368}
{' odd': -0.37702218, ' 1': -1.1904033, ' Odd': -5.9462132, ' ': -6.730576, ' 0': -6.8172874}
{' even': -0.39155692, ' 0': -1.9700242, ':': -2.8482008, ' ': -3.7080927, ' odd': -3.8672602}
{' Odd': -4.710694, ' 1': -1.3434719, ' one': -6.1272545, ' odd': -0.33178368, ' even': -5.703663}
{' Odd': -4.0111613, ' 1': -3.072824, ' odd': -0.14693381, ' 0': -3.700411, ' even': -3.1919537}
{':': -3.957044, ' 1': -4.649558, ' 0': -1.2152778, ' zero': -5.552675, ' even': -0.41625315}
{' 1': -0.6024568, ' odd': -0.83879447, ' one': -5.5786424, ' 0': -5.71442, ' Odd': -5.7269897}
{' even': -0.6339513, ' 0': -0.8062898, ' zero': -4.8002377, ':': -5.472598, '\n': -6.0726724}
{' odd': -0.29751942, ' 1': -1.4502789, ' Odd': -5.0796065, ' even': -5.287976, ':': -6.1973424}
{':': -5.922035, ' EVEN': -6.6263514, ' odd': -6.445715, ' 0': -3.661875, ' even': -0.03609397}
{' Odd': -5.691168, ' ': -7.0197005, ' 1': -1.9542389, ' odd': -0.16394792, ' even': -6.667871}
{' even': -0.3600287, ' 0': -1.3091006, ':': -4.3320904, ' zero': -5.0916886, ' ': -5.6700134}
{' 1': -0.5445333, ' odd': -0.94398737, ' Odd': -4.889708, ' one': -4.9417415, ' even': -5.368255}
{' odd': -0.042899806, ' even': -4.155013, ' 1': -4.577802, ' Odd': -4.6486115, ' 0': -5.669874}
{':': -3.9077585, ' 1': -4.6927834, ' odd': -5.063779, ' 0': -2.6194801, ' even': -0.13133252}
{' odd': -0.36269364, ' 1': -1.2691535, ' even': -5.4095497, ' one': -5.4489727, ' Odd': -5.460069}
{' ': -6.0713754, ':': -5.1756387, ' 0': -1.215781, ' zero': -5.136329, ' even': -0.38450512}
{' 1': -0.4592875, ' odd': -1.0434189, ' Odd': -5.931356, ' ': -6.111884, ':': -6.1360583}
{':': -6.1302314, ' EVEN': -6.63604, ' odd': -6.2528872, ' 0': -3.953341, ' even': -0.0284336}
{' odd': -0.107390605, ' 1': -2.3834143, ' Odd': -5.5206842, ' even': -6.63727, ' ': -7.049178}
{'\n': -4.0520234, ' ': -3.327712, ':': -2.756963, ' 0': -3.5720131, ' even': -0.22177713}
{' odd': -0.5201935, ' 1': -0.9764351, ' Odd': -4.7291803, ' one': -5.2210546, ' ': -5.543365}
{' Odd': -4.0506253, ' 1': -3.1883652, ' odd': -0.11223066, ' 0': -4.3250504, ' even': -3.5136461}
{':': -3.7764287, ' 1': -5.287393, ' odd': -6.085555, ' 0': -1.438133, ' even': -0.33002838}
{' Odd': -5.5886188, ' 1': -1.4206922, ' odd': -0.29757494, ' 0': -5.765329, ' even': -6.1206746}
{':': -4.8682995, ' EVEN': -5.8744645, ' 0': -1.5162795, ' zero': -5.021821, ' even': -0.28364292}
{' Odd': -5.462305, ' 1': -1.4360815, ' one': -5.5841146, ' odd': -0.29759654, ' even': -5.8656454}
{' even': -0.12956083, ' 0': -2.5990622, ' ': -4.627014, ' an': -4.8617835, ':': -4.8963747}
{' Odd': -5.8328733, ' 1': -1.7905529, ' one': -7.077948, ' odd': -0.1944818, ' even': -6.036511}
{' ': -3.682888, ':': -2.8198938, ' 0': -0.54270667, ' zero': -3.4480095, ' even': -1.38186}
{' Odd': -5.6111264, ' ': -6.2382407, ' 1': -0.8660913, ' odd': -0.5719191, ' 0': -5.9538374}
{' Odd': -4.876174, ' 1': -4.853805, ' odd': -0.059699297, ' 0': -5.3032274, ' even': -3.3628457}
{':': -4.356399, ' 1': -4.906858, ' odd': -4.8437924, ' 0': -3.011453, ' even': -0.09375729}
{' Odd': -4.9071655, ' 1': -0.6764128, ' odd': -0.772835, ' 0': -5.2762327, ' even': -5.183276}
{' even': -0.09759418, ' 0': -2.562131, ' zero': -5.6342483, ':': -5.948433, ' EVEN': -6.429874}
{' Odd': -5.2744827, ' 1': -1.4609166, ' odd': -0.30342683, ' 0': -5.4662504, ' even': -4.620801}
{' even': -0.03392459, ' 0': -3.6718042, ' an': -6.3810134, ' ': -6.881706, ':': -6.9985394}
{' Odd': -5.9839954, ':': -6.930748, ' 1': -2.2210507, ' odd': -0.12548684, ' 0': -6.9629345}
{' ': -3.45412, ':': -2.5369656, ' odd': -3.9256353, ' 0': -1.6733048, ' even': -0.4979889}
{' Odd': -4.709064, ' 1': -0.734013, ' one': -5.1893134, ' odd': -0.71163976, ' even': -5.545393}
{' Odd': -4.7432027, ':': -5.103924, ' 1': -2.923114, ' odd': -0.11597874, ' 0': -3.6563456}
{':': -3.7610755, ' 1': -4.7054667, ' odd': -5.2233233, ' 0': -1.6845138, ' even': -0.27067238}
{' Odd': -4.901445, ' 1': -1.8356092, ' odd': -0.19855292, ' 0': -5.874508, ' even': -5.3869653}
{' ': -4.6786203, ':': -3.767637, ' 0': -0.63069814, ' zero': -3.8983428, ' even': -0.9783869}
{' Odd': -5.582121, ':': -5.612247, ' 1': -0.612474, ' one': -5.29726, ' odd': -0.833015}
{' ': -6.686228, ':': -6.2019424, ' an': -6.7955785, ' 0': -2.992323, ' even': -0.061641786}
{' odd': -0.21468975, ' 1': -1.6999668, ' Odd': -5.8878636, ' even': -6.0191164, ' one': -6.8178864}
{' ': -3.3847828, ':': -2.2854378, ' odd': -3.886913, ' 0': -2.8176289, ' even': -0.37030232}
{' Odd': -5.0321283, ':': -5.4842496, ' 1': -0.53260714, ' one': -3.6980906, ' odd': -1.0099783}
{' Odd': -5.106165, ':': -4.955601, ' 1': -2.7066875, ' odd': -0.14424853, ' 0': -3.212931}
{':': -3.4214013, ' 1': -3.9506629, ' 0': -0.82817674, ' zero': -5.1388936, ' even': -0.7187789}
{' Odd': -5.4141526, ' 1': -0.8500677, ' odd': -0.59875166, ' 0': -5.632467, ' even': -5.791147}
{' ': -5.978068, ':': -5.0167985, ' 0': -0.8148679, ' zero': -5.068711, ' even': -0.6285809}
{' Odd': -5.3148813, ' 1': -1.3703663, ' odd': -0.33108068, ' 0': -5.5372486, ' even': -4.5280046}
{' even': -0.109173365, ' 0': -2.38901, ':': -5.877895, ' ': -6.4700246, ' zero': -6.576364}
{' odd': -0.39082387, ' 1': -1.1700293, ' Odd': -5.6716485, ' one': -5.908751, ' even': -6.406023}
{' even': -0.49478748, ' 0': -1.7857839, ':': -2.4572906, ' zero': -3.17243, ' ': -3.6221247}
{' Odd': -4.8844695, ' ': -6.650441, ':': -5.5812774, ' 1': -2.0050676, ' odd': -0.16758715}
{' odd': -0.47778243, ' 1': -1.9459069, ' 0': -2.2081473, ' even': -2.3913546, ' Odd': -3.9987974}
{' even': -0.6091061, ' 0': -0.9397012, ':': -3.191681, ' 1': -5.08677, ' zero': -5.64877}
{' Odd': -5.9451947, ' 1': -0.36056447, ' one': -4.7233405, ' odd': -1.296055, ' 0': -5.356761}
{' even': -0.08476287, ' 0': -2.722589, ':': -5.825598, ' zero': -5.893271, ' EVEN': -6.4009}
{' Odd': -5.4442987, ' 1': -0.70578486, ' odd': -0.7259666, ' 0': -5.7299285, ' even': -5.7969637}
{' even': -0.24722445, ' 0': -1.8213631, ':': -4.1596017, ' ': -4.5115275, ' 1': -5.1366477}
{' Odd': -6.0709634, ' 1': -1.3641555, ' one': -5.905537, ' odd': -0.31403425, ' even': -5.4723487}
{' ': -3.667858, ':': -2.407518, ' 0': -0.84639025, ' zero': -3.5050626, ' even': -0.9767242}
{' Odd': -4.660448, ' ': -5.877028, ':': -6.2683687, ' 1': -1.6609528, ' odd': -0.23841414}
{' Odd': -4.5650053, ' 1': -2.422368, ' odd': -0.19061954, ' 0': -3.8297398, ' even': -3.0760393}
{' even': -0.6927557, ' 0': -0.8096123, ':': -3.829701, ' 1': -4.395713, ' zero': -4.925846}
{' 1': -0.5611995, ' one': -4.910535, ' odd': -0.92887545, ' 0': -4.780388, ' even': -5.329136}
{' ': -5.95845, ':': -4.5097194, ' 0': -0.7141691, ' zero': -4.9726434, ' even': -0.7336221}
{' Odd': -5.424232, ' 1': -1.4246262, ' odd': -0.3019189, ' 0': -5.9614325, ' even': -4.981879}
{' even': -0.21847774, ' 0': -1.7064958, ':': -5.5209203, ' zero': -6.0893817, ' odd': -6.2453823}
{' Odd': -6.1400695, ' 1': -1.2346482, ' one': -6.1855197, ' odd': -0.36227846, ' even': -5.5149937}
{':': -5.0692415, ' odd': -5.8137064, ' 0': -2.583976, ' zero': -5.318675, ' even': -0.10610599}
{' Odd': -4.6237803, ':': -5.3436584, ' 1': -0.6932556, ' one': -3.7544024, ' odd': -0.8027431}
{' Odd': -5.3003306, ':': -5.4228697, ' 1': -2.3042676, ' odd': -0.16937907, ' 0': -3.3444107}
{' even': -0.26615682, ' 0': -1.651074, ':': -4.0150437, ' 1': -4.932305, ' odd': -5.5286293}
{' Odd': -5.2435164, ' 1': -0.8824613, ' one': -5.065392, ' odd': -0.58546615, ' 0': -5.55864}
{' even': -0.33933413, ' 0': -1.345987, ' zero': -4.6726003, ':': -4.7608953, ' odd': -6.3990397}
{' odd': -0.4633072, ' 1': -1.0671566, ' Odd': -4.954825, ' one': -5.3139467, ' even': -5.4325585}
{' even': -0.043391578, ' 0': -3.3610566, ':': -6.486035, ' ': -6.8112807, ' an': -6.926699}
{' odd': -0.026645597, ' 1': -3.953263, ' Odd': -5.6436863, ' ': -7.265522, '\n': -7.6600366}
{' even': -0.18910117, ' 0': -1.9546937, ':': -4.7173367, ' zero': -4.924658, ' ': -5.9512544}
{' Odd': -4.9094157, ' ': -5.597553, ' 1': -0.8890645, ' one': -5.781249, ' odd': -0.56986773}
{' odd': -0.068783276, ' 1': -3.3556552, ' 0': -4.298342, ' Odd': -4.7136817, ':': -6.1115637}
{' even': -0.41362366, ' 0': -1.2426337, ':': -3.7788825, ' 1': -4.480389, ' zero': -5.647985}
{' Odd': -5.3786464, ' 1': -1.6180713, ' odd': -0.24344894, ' 0': -5.903243, ' even': -5.731458}
{' ': -6.5475006, ':': -5.6514754, ' 0': -1.987922, ' zero': -5.6110773, ' even': -0.16649954}
{' Odd': -5.7116113, ':': -6.1031857, ' 1': -0.5283015, ' one': -5.6207232, ' odd': -0.9353296}
{':': -6.728057, ' Even': -7.1777477, ' odd': -7.417157, ' 0': -5.2249074, ' even': -0.009635306}
{' Odd': -6.4125786, ' ': -6.3521447, ':': -6.6137166, ' 1': -0.61564124, ' odd': -0.8004462}
{' 0': -0.44635525, ' even': -1.5739425, ':': -2.8341725, ' zero': -3.3847036, ' ': -4.0521913}
{' Odd': -4.620066, ' ': -5.791476, ' 1': -1.0090531, ' one': -4.776229, ' odd': -0.51072973}
