{' B': -0.23135017, ' A': -1.5809976, ' "': -7.9659996, ' (': -9.101056, ' b': -9.176633}
{' b': -9.346214, ' A': -1.759762, ' B': -0.18949334, ' (': -9.354927, ' "': -8.444196}
{' A': -0.18558782, ' B': -1.7802572, ' (': -8.494642, ' "': -8.043358, " '": -9.322472}
{' A': -0.24132422, ' B': -1.5431392, ' (': -8.522505, ' "': -8.240796, " '": -9.449867}
{' A': -0.08766314, ' B': -2.4870505, ' (': -8.33472, ' "': -8.120685, " '": -9.281516}
{' A': -0.35586417, ' B': -1.2085863, ' (': -8.397406, ' "': -8.050514, " '": -9.281268}
{' A': -0.13455436, ' B': -2.0788083, ' (': -8.282721, ' "': -8.08481, " '": -9.255505}
{' A': -0.04375131, ' B': -3.1666324, ' (': -8.448901, ' "': -8.322104, " '": -9.477432}
{' A': -0.063738935, ' B': -2.7961833, ' (': -8.410882, ' "': -8.247347, " '": -9.370575}
{' A': -0.069265455, ' B': -2.715019, ' (': -8.3976965, ' "': -8.234521, " '": -9.395566}
{' A': -0.025329264, ' B': -3.712396, ' (': -8.57411, ' "': -8.465797, " '": -9.585113}
{' A': -0.14098743, ' B': -2.0340195, ' (': -8.619871, ' "': -8.180156, " '": -9.403888}
{' A': -0.008247939, ' B': -4.8746934, ' (': -8.583466, ' "': -8.435819, " '": -9.676662}
{' A': -0.013194171, 'A': -9.590527, ' B': -4.3747015, ' (': -8.667822, ' "': -8.677651}
{' A': -0.012737074, ' B': -4.4213443, ' (': -8.461126, ' "': -8.400027, " '": -9.450735}
{' A': -0.024369568, 'A': -9.559183, ' B': -3.7515423, ' (': -8.54889, ' "': -8.497566}
{' A': -0.0071909684, 'A': -9.646673, ' B': -5.022953, ' (': -8.470758, ' "': -8.577823}
{' A': -0.007133097, ' B': -5.0341215, ' "': -8.472198, ' (': -8.529415, " '": -9.546252}
{' A': -0.011621234, ' B': -4.515104, ' (': -8.44906, ' "': -8.481259, " '": -9.5300865}
{' A': -0.01634172, 'A': -9.594807, ' B': -4.1583934, ' (': -8.531686, ' "': -8.551528}
{' A': -0.006151768, 'A': -9.620406, ' B': -5.1952324, ' (': -8.451268, ' "': -8.550198}
{' A': -0.015790844, ' B': -4.193655, ' (': -8.614081, ' "': -8.460152, " '": -9.600499}
{' A': -0.0023096206, 'A': -9.626507, ' B': -6.3534384, ' (': -8.4950485, ' "': -8.54911}
{' b': -9.117355, ' A': -2.1510925, ' B': -0.12428105, ' (': -9.269823, ' "': -8.594009}
{' B': -0.29590163, ' A': -1.364261, ' "': -8.466316, ' (': -9.009986, ' b': -9.328675}
{' b': -9.166651, ' A': -2.0336127, ' B': -0.14084587, ' (': -9.197556, ' "': -8.592994}
{' b': -9.342489, ' A': -1.3037335, ' B': -0.3176476, ' (': -8.829155, ' "': -8.36476}
{' b': -9.114346, ' A': -1.7437825, ' B': -0.19284493, ' (': -9.21047, ' "': -8.582602}
{' b': -9.044528, ' A': -1.1290047, ' B': -0.3915856, ' (': -8.834537, ' "': -8.3476095}
{' b': -9.363203, ' A': -1.1556338, ' B': -0.37895373, ' (': -8.88641, ' "': -8.571184}
{' b': -9.410006, ' A': -1.0203153, ' B': -0.44809157, ' (': -8.789884, ' "': -8.252194}
{' b': -9.212804, ' A': -1.6377947, ' B': -0.2168791, ' (': -8.982195, ' "': -8.522899}
{' b': -9.4211, ' A': -1.0005231, ' B': -0.45940647, ' (': -8.65357, ' "': -8.368627}
{' b': -9.153779, ' A': -0.9038302, ' B': -0.5204626, ' (': -8.554629, ' "': -8.238693}
{' b': -9.382118, ' A': -0.9688343, ' B': -0.47826993, ' (': -8.807485, ' "': -8.422869}
{' B': -0.6145866, ' A': -0.7798546, ' "': -8.356943, ' (': -8.680536, ' b': -9.45096}
{' b': -9.309382, ' A': -1.0337272, ' B': -0.44053975, ' (': -8.824271, ' "': -8.396615}
{' b': -9.071482, ' A': -2.3358047, ' B': -0.10223475, ' (': -9.552149, ' "': -8.7770605}
{' A': -0.33255434, 'A': -9.645374, ' B': -1.2651582, ' (': -8.514263, ' "': -8.2789545}
{' A': -0.43360525, 'A': -9.734699, ' B': -1.0464497, ' (': -8.560282, ' "': -8.433004}
{' A': -0.12802716, 'A': -9.517236, ' B': -2.1244736, ' (': -8.462911, ' "': -8.345406}
{' b': -9.681386, ' A': -0.5196874, ' B': -0.90491265, ' (': -8.474094, ' "': -8.293709}
{' A': -0.23839083, 'A': -9.669573, ' B': -1.5540437, ' (': -8.380051, ' "': -8.3402}
{' A': -0.06347629, 'A': -9.5915, ' B': -2.7994132, ' (': -8.337479, ' "': -8.447419}
{' A': -0.08585887, 'A': -9.56764, ' B': -2.505121, ' (': -8.46523, ' "': -8.522718}
{' A': -0.12663627, 'A': -9.589996, ' B': -2.1345117, ' (': -8.468411, ' "': -8.4205675}
{' A': -0.03790103, 'A': -9.574369, ' B': -3.306326, ' (': -8.57802, ' "': -8.691673}
{' A': -0.2212945, 'A': -9.603721, ' B': -1.620125, ' (': -8.60257, ' "': -8.375562}
{' A': -0.015439133, 'A': -9.632989, ' B': -4.2158575, ' (': -8.5094185, ' "': -8.58027}
{' A': -0.033325113, 'A': -9.537188, ' B': -3.433832, ' (': -8.626781, ' "': -8.760334}
{' A': -0.016642941, 'A': -9.579755, ' B': -4.1368403, ' (': -8.541254, ' "': -8.74207}
{' A': -0.041260224, ' B': -3.2225366, ' (': -8.530772, ' "': -8.629957, 'A': -9.523081}
{' A': -0.015233834, 'A': -9.585311, ' B': -4.226448, ' (': -8.544166, ' "': -8.794371}
{' A': -0.011262746, ' B': -4.5391955, ' (': -8.576166, ' "': -8.759787, 'A': -9.585858}
{' A': -0.025306704, 'A': -9.578792, ' B': -3.7100272, ' (': -8.606003, ' "': -8.763979}
{' A': -0.018849812, 'A': -9.527063, ' B': -4.009292, ' (': -8.565992, ' "': -8.746207}
{' A': -0.008992712, 'A': -9.571891, ' B': -4.77144, ' (': -8.564214, ' "': -8.932886}
{' A': -0.043664943, 'A': -9.555142, ' B': -3.1660612, ' (': -8.607618, ' "': -8.549226}
{' A': -0.0037417284, 'A': -9.588232, ' B': -5.7362437, ' (': -8.505488, ' "': -8.825334}
{' b': -9.205329, ' A': -1.997452, ' B': -0.1465018, ' (': -8.998721, ' "': -8.382727}
{' B': -0.33485377, ' A': -1.2593361, ' "': -8.246237, ' (': -8.599618, ' b': -9.289767}
{' b': -9.275151, ' A': -1.8833224, ' B': -0.16567495, ' (': -8.864668, ' "': -8.438414}
{' b': -9.381836, ' A': -1.0593058, ' B': -0.4268634, ' (': -8.4615135, ' "': -8.231345}
{' b': -9.189875, ' A': -1.4895154, ' B': -0.2563325, ' (': -8.81674, ' "': -8.404439}
{' b': -9.282976, ' A': -1.1803973, ' B': -0.3679869, ' (': -8.743176, ' "': -8.163026}
{' B': -0.45220056, ' A': -1.0131994, ' "': -8.319435, ' (': -8.545299, ' b': -9.230283}
{' b': -9.431392, ' A': -0.9418145, ' B': -0.4954224, ' (': -8.540892, ' "': -8.132414}
{' b': -9.219683, ' A': -1.4811167, ' B': -0.25887427, ' (': -8.629419, ' "': -8.305472}
{' b': -9.45918, ' A': -0.9693387, ' B': -0.4781717, ' (': -8.479132, ' "': -8.199643}
{' B': -0.54028517, ' A': -0.8756467, ' "': -8.053467, ' (': -8.414282, ' b': -9.3789015}
{' b': -9.377356, ' A': -0.8143028, ' B': -0.58645475, ' (': -8.512923, ' "': -8.22013}
{' A': -0.6433353, ' B': -0.7472534, ' (': -8.378834, ' "': -8.147475, " '": -9.533967}
{' b': -9.368131, ' A': -0.90892214, ' B': -0.5170554, ' (': -8.496947, ' "': -8.185437}
{' B': -0.14741133, ' A': -1.991333, ' "': -8.580706, ' (': -9.052981, ' b': -9.137879}
{' A': -0.29402322, ' B': -1.3707424, ' (': -8.310585, ' "': -8.08362, " '": -9.513883}
{' A': -0.38469476, ' B': -1.1440846, ' (': -8.202368, ' "': -8.185073, " '": -9.526878}
{' A': -0.15261446, ' B': -1.9609144, ' "': -8.162718, ' (': -8.209493, " '": -9.482797}
{' A': -0.40045422, ' B': -1.1112697, ' (': -8.289752, ' "': -8.071582, " '": -9.468203}
{' A': -0.27400306, ' B': -1.4321126, ' (': -8.111702, ' "': -8.125638, " '": -9.392427}
{' A': -0.09905259, 'A': -9.517535, ' B': -2.3698006, ' (': -8.116395, ' "': -8.189873}
{' A': -0.06728235, 'A': -9.509764, ' B': -2.7428098, ' (': -8.287071, ' "': -8.441507}
{' A': -0.10732133, 'A': -9.545963, ' B': -2.292626, ' (': -8.210213, ' "': -8.272899}
{' A': -0.045323752, ' B': -3.13223, ' (': -8.284783, ' "': -8.374309, 'A': -9.475395}
{' A': -0.21762478, ' B': -1.635809, ' (': -8.302252, ' "': -8.202107, " '": -9.462245}
{' A': -0.022646807, 'A': -9.597945, ' B': -3.8277996, ' (': -8.35085, ' "': -8.429538}
{' A': -0.028757071, 'A': -9.503048, ' B': -3.5843754, ' (': -8.390976, ' "': -8.640799}
{' A': -0.024462529, 'A': -9.53642, ' B': -3.7494893, ' (': -8.306464, ' "': -8.557181}
{' A': -0.038992185, 'A': -9.497515, ' B': -3.2815568, ' (': -8.276573, ' "': -8.471078}
{' A': -0.01744494, 'A': -9.560639, ' B': -4.093384, ' (': -8.319557, ' "': -8.599104}
{' A': -0.015926613, 'A': -9.532042, ' B': -4.189619, ' (': -8.283973, ' "': -8.480465}
{' A': -0.016735367, 'A': -9.49694, ' B': -4.135582, ' (': -8.362536, ' "': -8.630962}
{' A': -0.027319176, 'A': -9.486086, ' B': -3.6389484, ' (': -8.260623, ' "': -8.468088}
{' A': -0.015646417, 'A': -9.503026, ' B': -4.2071385, ' (': -8.239617, ' "': -8.5702915}
{' A': -0.026510322, ' B': -3.667978, ' (': -8.3721285, ' "': -8.446391, 'A': -9.523556}
{' A': -0.0042337, ' B': -5.6253934, ' (': -8.255189, ' "': -8.592283, 'A': -9.525364}
{' b': -9.172969, ' A': -1.9038278, ' B': -0.1620504, ' (': -9.035159, ' "': -8.365837}
{' b': -9.345898, ' A': -1.2002417, ' B': -0.35929537, ' (': -8.753628, ' "': -8.177349}
{' b': -9.223066, ' A': -1.8413075, ' B': -0.17340735, ' (': -8.965618, ' "': -8.417673}
{' b': -9.354439, ' A': -1.0880527, ' B': -0.41189, ' (': -8.591926, ' "': -8.207121}
{' b': -9.122339, ' A': -1.5219367, ' B': -0.24712776, ' (': -8.902585, ' "': -8.274598}
{' b': -9.372311, ' A': -0.9649252, ' B': -0.48083818, ' (': -8.697259, ' "': -8.157273}
{' b': -9.423975, ' A': -1.0248151, ' B': -0.44555342, ' (': -8.650474, ' "': -8.344447}
{' A': -0.99297976, ' B': -0.46399188, ' (': -8.601223, ' "': -8.137756, " '": -9.3000345}
{' B': -0.20694906, ' A': -1.6804312, ' "': -8.345253, ' (': -8.831323, ' b': -9.20334}
{' b': -9.421894, ' A': -0.95531243, ' B': -0.48680654, ' (': -8.592487, ' "': -8.232991}
{' B': -0.6246887, ' A': -0.76827, ' "': -8.174138, ' (': -8.520928, " '": -9.426971}
{' B': -0.57227015, ' A': -0.8322418, ' "': -8.246587, ' (': -8.77418, ' b': -9.471037}
{' A': -0.6714933, ' B': -0.7167946, ' (': -8.541961, ' "': -8.234189, " '": -9.4889}
{' b': -9.353138, ' A': -0.9598376, ' B': -0.48394457, ' (': -8.692842, ' "': -8.292895}
{' b': -9.314386, ' A': -2.1629863, ' B': -0.122722276, ' (': -9.362721, ' "': -8.533284}
{' A': -0.31841046, ' B': -1.3022515, ' (': -8.422615, ' "': -8.143918, " '": -9.437844}
{' A': -0.3461549, ' B': -1.2314945, ' (': -8.423438, ' "': -8.244558, " '": -9.543313}
{' A': -0.13126957, ' B': -2.101097, ' (': -8.442914, ' "': -8.309638, " '": -9.515918}
{' A': -0.44851992, ' B': -1.0198681, ' (': -8.368513, ' "': -8.16616, " '": -9.487885}
{' A': -0.26267335, ' B': -1.4684571, ' "': -8.3088045, ' (': -8.37165, " '": -9.43981}
{' A': -0.083973624, ' B': -2.5280368, ' (': -8.243611, ' "': -8.320197, " '": -9.460349}
{' A': -0.08457813, ' B': -2.5202718, ' (': -8.364339, ' "': -8.446115, " '": -9.57954}
{' A': -0.0986634, ' B': -2.3722305, ' "': -8.348769, ' (': -8.417085, " '": -9.58996}
{' A': -0.044415895, 'A': -9.623297, ' B': -3.1502945, ' (': -8.445637, ' "': -8.558476}
{' A': -0.23679978, ' B': -1.5599828, ' (': -8.477462, ' "': -8.268455, " '": -9.480489}
{' A': -0.01702555, ' B': -4.117842, ' (': -8.421646, ' "': -8.509078, " '": -9.681617}
{' A': -0.031645946, 'A': -9.622282, ' B': -3.486785, ' (': -8.514083, ' "': -8.687999}
{' A': -0.020298572, ' B': -3.9368386, ' (': -8.441762, ' "': -8.607583, 'A': -9.637693}
{' A': -0.04645257, 'A': -9.586166, ' B': -3.1056452, ' (': -8.484785, ' "': -8.5781555}
{' A': -0.015358269, 'A': -9.62564, ' B': -4.2193265, ' (': -8.531686, ' "': -8.732959}
{' A': -0.01533545, ' B': -4.22241, ' (': -8.492392, ' "': -8.666232, 'A': -9.654845}
{' A': -0.017250566, ' B': -4.1001267, ' (': -8.553791, ' "': -8.713755, 'A': -9.640046}
{' A': -0.03247144, 'A': -9.584882, ' B': -3.4624925, ' (': -8.463609, ' "': -8.546849}
{' A': -0.013767251, 'A': -9.636283, ' B': -4.3361073, ' (': -8.34362, ' "': -8.658347}
{' A': -0.030482603, 'A': -9.641179, ' B': -3.5265436, ' (': -8.371473, ' "': -8.5041685}
{' A': -0.0047131567, 'A': -9.6547365, ' B': -5.4914966, ' (': -8.325443, ' "': -8.676323}
{' A': -1.63938, ' B': -0.21667536, ' (': -8.9657755, ' "': -8.062199, " '": -9.271763}
{' A': -0.98247707, ' B': -0.47023755, ' (': -8.889539, ' "': -7.940946, " '": -9.13841}
{' A': -1.44224, ' B': -0.27069882, ' (': -8.883946, ' "': -7.97159, " '": -9.113633}
{' A': -0.7028244, ' B': -0.68532264, ' (': -8.612209, ' "': -7.7986255, " '": -8.976305}
{' B': -0.449818, ' A': -1.0175575, ' "': -7.922413, ' (': -8.981975, " '": -9.066126}
{' A': -0.8398174, ' B': -0.5667576, ' (': -8.759632, ' "': -7.8367066, " '": -9.0354595}
{' A': -0.7058266, ' B': -0.68214685, ' (': -8.6732435, ' "': -8.032819, " '": -9.267997}
{' A': -0.58854336, ' B': -0.81200826, ' (': -8.621691, ' "': -7.7967734, " '": -8.865866}
{' A': -1.0740806, ' B': -0.4192038, ' (': -8.746912, ' "': -7.9015517, " '": -9.025267}
{' A': -0.63737595, ' B': -0.75410765, ' (': -8.548974, ' "': -7.826379, " '": -8.909914}
{' A': -0.6142694, ' B': -0.78083235, ' (': -8.451503, ' "': -7.7995906, " '": -8.853308}
{' A': -0.62643915, ' B': -0.76644814, ' (': -8.644707, ' "': -7.8931656, " '": -8.945769}
{' A': -0.42776984, ' B': -1.057868, ' (': -8.58306, ' "': -7.901596, " '": -9.054892}
{' A': -0.6223933, ' B': -0.77113414, ' (': -8.655913, ' "': -7.868115, " '": -8.990935}
{' A': -1.8182766, ' B': -0.17781958, ' (': -9.329972, ' "': -8.219846, " '": -9.354004}
{' A': -0.17162216, ' B': -1.8525056, ' "': -7.9077344, ' (': -8.414278, " '": -9.127584}
{' A': -0.20266154, ' B': -1.7002087, ' "': -8.044927, ' (': -8.432488, " '": -9.211568}
{' A': -0.06639657, ' B': -2.7568395, ' (': -8.492489, ' "': -8.088165, " '": -9.2418165}
{' A': -0.28151518, ' B': -1.4087486, ' (': -8.379051, ' "': -7.874509, " '": -8.983894}
{' A': -0.1112221, ' B': -2.2589998, ' (': -8.405059, ' "': -8.027795, " '": -9.112443}
{' A': -0.035467684, ' B': -3.37958, ' (': -8.373631, ' "': -8.050837, " '": -9.131892}
{' A': -0.047450576, ' B': -3.0871768, ' (': -8.465026, ' "': -8.198187, " '": -9.266235}
{' A': -0.044711985, ' B': -3.1456754, ' (': -8.524803, ' "': -8.214337, " '": -9.328188}
{' A': -0.026347835, ' B': -3.674417, ' (': -8.62716, ' "': -8.298894, " '": -9.336246}
{' A': -0.15708059, ' B': -1.9339018, ' "': -7.983027, ' (': -8.614343, " '": -9.078184}
{' A': -0.010803395, ' B': -4.5972977, ' (': -8.532429, ' "': -8.206869, " '": -9.337057}
{' A': -0.016516102, ' B': -4.1476007, ' (': -8.670089, ' "': -8.449911, " '": -9.479507}
{' A': -0.015251628, ' B': -4.238596, ' (': -8.431342, ' "': -8.232089, " '": -9.1681385}
{' A': -0.01725008, ' B': -4.1064453, ' (': -8.56316, ' "': -8.356229, " '": -9.374074}
{' A': -0.007040654, ' B': -5.0449014, ' (': -8.603829, ' "': -8.506395, " '": -9.524666}
{' A': -0.006291095, ' B': -5.185702, ' (': -8.45772, ' "': -8.283967, " '": -9.258527}
{' A': -0.017735023, ' B': -4.079481, ' (': -8.5471945, ' "': -8.258168, " '": -9.311516}
{' A': -0.013157328, ' B': -4.387179, ' (': -8.503467, ' "': -8.385668, " '": -9.419381}
{' A': -0.006309327, ' B': -5.1674743, ' (': -8.543022, ' "': -8.479997, " '": -9.526514}
{' A': -0.010929088, ' B': -4.5845885, ' "': -8.235201, ' (': -8.557045, " '": -9.279608}
{' A': -0.0024752398, ' B': -6.323472, ' (': -8.338014, ' "': -8.295629, " '": -9.452582}
{' b': -9.288315, ' A': -2.5990298, ' B': -0.07767521, ' (': -9.623912, ' "': -8.937447}
{' b': -9.389484, ' A': -1.6450354, ' B': -0.21500267, ' (': -9.336107, ' "': -8.763783}
{' B': -0.1198243, ' A': -2.1848361, ' "': -8.874574, ' b': -9.301071, ' (': -9.383216}
{' b': -9.499888, ' A': -1.244746, ' B': -0.34045666, ' (': -8.984518, ' "': -8.552255}
{' b': -9.342819, ' A': -1.8769263, ' B': -0.16660683, ' (': -9.524316, ' "': -8.929921}
{' b': -9.465086, ' A': -1.4153475, ' B': -0.27881184, ' (': -9.328384, ' "': -8.626399}
{' b': -9.489465, ' A': -1.3622023, ' B': -0.29644647, ' (': -9.214465, ' "': -8.856654}
{' b': -9.495874, ' A': -1.284043, ' B': -0.3249537, ' (': -9.066833, ' "': -8.587682}
{' b': -9.373863, ' A': -1.7704864, ' B': -0.18717538, ' (': -9.214307, ' "': -8.832753}
{' b': -9.551296, ' A': -1.1085157, ' B': -0.4013625, ' (': -8.914554, ' "': -8.583793}
{' b': -9.619881, ' A': -0.9833597, ' B': -0.46942267, ' (': -8.841243, ' "': -8.43975}
{' b': -9.525688, ' A': -1.1856825, ' B': -0.36534137, ' (': -9.095321, ' "': -8.639904}
{' b': -9.534359, ' A': -0.9988223, ' B': -0.46024224, ' (': -8.897498, ' "': -8.591892}
{' b': -9.428799, ' A': -1.2739578, ' B': -0.32881898, ' (': -9.033504, ' "': -8.724739}
{' b': -9.425093, ' A': -2.428212, ' B': -0.09269982, ' (': -9.874197, ' "': -9.119248}
{' A': -0.46054855, 'A': -9.61604, ' B': -0.99840766, ' (': -8.813338, ' "': -8.419748}
{' A': -0.49940816, 'A': -9.709748, ' B': -0.93498373, ' (': -8.896744, ' "': -8.700326}
{' A': -0.16045736, 'A': -9.431784, ' B': -1.9126451, ' (': -8.662846, ' "': -8.623648}
{' A': -0.56330055, 'A': -9.766449, ' B': -0.8438124, ' (': -8.706596, ' "': -8.4827795}
{' A': -0.31367058, 'A': -9.613866, ' B': -1.3143858, ' (': -8.662598, ' "': -8.462509}
{' A': -0.094898835, ' B': -2.408261, ' (': -8.5586405, ' "': -8.577931, 'A': -9.440851}
{' A': -0.097690925, 'A': -9.473721, ' B': -2.379683, ' (': -8.755327, ' "': -8.775996}
{' A': -0.103968054, 'A': -9.455514, ' B': -2.3201773, ' (': -8.77243, ' "': -8.795979}
{' A': -0.057938986, 'A': -9.409461, ' B': -2.8855183, ' (': -8.8372, ' "': -8.824469}
{' A': -0.33503866, 'A': -9.613284, ' B': -1.2582048, ' (': -8.834466, ' "': -8.663159}
{' A': -0.026418028, 'A': -9.510672, ' B': -3.6655135, ' (': -8.725844, ' "': -8.700017}
{' A': -0.04421234, 'A': -9.425103, ' B': -3.150354, ' (': -8.932492, ' "': -9.037483}
{' A': -0.02488016, 'A': -9.396443, ' B': -3.7244613, ' (': -8.818511, ' "': -8.900679}
{' A': -0.04985418, 'A': -9.426571, ' B': -3.0330312, ' (': -8.783097, ' "': -8.892464}
{' A': -0.017469507, 'A': -9.446066, ' B': -4.0808883, ' (': -8.839113, ' "': -8.966682}
{' A': -0.02024462, 'A': -9.453817, ' B': -3.9319208, ' (': -8.810116, ' "': -8.930004}
{' A': -0.03878118, 'A': -9.423328, ' B': -3.2809687, ' (': -8.815443, ' "': -8.910476}
{' A': -0.022093536, 'A': -9.374387, ' B': -3.8427494, ' (': -8.919132, ' "': -9.010875}
{' A': -0.014526431, 'A': -9.386463, ' B': -4.267805, ' (': -8.853688, ' "': -9.056339}
{' A': -0.048797537, 'A': -9.422245, ' B': -3.0541534, ' (': -8.86533, ' "': -8.766911}
{' A': -0.004095855, 'A': -9.409091, ' B': -5.6097517, ' (': -8.73984, ' "': -9.012833}
{' b': -9.802873, ' A': -2.5282717, ' B': -0.08360392, ' "': -8.574634, " '": -9.879482}
{' A': -1.7446306, ' B': -0.1925486, ' (': -9.64226, ' "': -8.548544, " '": -9.711563}
{' A': -2.2666278, ' B': -0.10991994, ' (': -9.690932, ' "': -8.564391, " '": -9.704506}
{' B': -0.24135184, ' A': -1.5420489, ' "': -8.4525795, ' (': -9.391377, " '": -9.58097}
{' b': -9.759637, ' A': -2.413859, ' B': -0.09417215, ' "': -8.665456, " '": -9.769466}
{' B': -0.26162913, ' A': -1.4710542, ' "': -8.3405285, ' (': -9.556203, " '": -9.623464}
{' A': -1.3943294, ' B': -0.28559524, ' (': -9.50937, ' "': -8.637153, " '": -9.766241}
{' A': -1.3100069, ' B': -0.31516623, ' (': -9.448353, ' "': -8.374078, " '": -9.4728155}
{' A': -1.7277062, ' B': -0.19619511, ' (': -9.493214, ' "': -8.565898, " '": -9.645824}
{' A': -1.1157504, ' B': -0.39779955, ' (': -9.226816, ' "': -8.381764, " '": -9.49542}
{' A': -0.95287097, ' B': -0.48817223, ' (': -9.073027, ' "': -8.203275, " '": -9.385024}
{' A': -1.0971571, ' B': -0.4069544, ' (': -9.36386, ' "': -8.435985, " '": -9.52495}
{' B': -0.48357356, ' A': -0.96005595, ' "': -8.344633, ' (': -9.214538, " '": -9.473398}
{' A': -1.4271917, ' B': -0.27506545, ' (': -9.430209, ' "': -8.47071, " '": -9.53988}
{' b': -9.7154665, ' A': -3.0645912, ' B': -0.048140403, ' "': -8.93125, " '": -9.983308}
{' A': -0.50665015, ' B': -0.92420685, ' (': -9.170342, ' "': -8.08501, " '": -9.368697}
{' A': -0.61045814, ' B': -0.7844064, ' "': -8.466494, ' (': -9.236036, " '": -9.612136}
{' A': -0.19887182, ' B': -1.7161411, ' "': -8.331701, ' (': -8.911183, " '": -9.424371}
{' A': -0.67833495, ' B': -0.70939803, ' (': -9.009735, ' "': -8.28256, " '": -9.422519}
{' A': -0.38568142, ' B': -1.1412758, ' (': -8.976274, ' "': -8.28995, " '": -9.345733}
{' A': -0.09822879, ' B': -2.3752787, ' "': -8.381441, ' (': -8.885784, " '": -9.4526615}
{' A': -0.12567498, ' B': -2.1409185, ' (': -8.95732, ' "': -8.422092, " '": -9.478876}
{' A': -0.17819048, ' B': -1.8161623, ' "': -8.347712, ' (': -8.983328, " '": -9.46191}
{' A': -0.056462154, ' B': -2.911311, ' (': -9.093804, ' "': -8.5497265, " '": -9.560534}
{' A': -0.57459205, ' B': -0.8289333, ' (': -9.1673355, ' "': -8.365857, " '": -9.429666}
{' A': -0.014761046, ' B': -4.253992, ' (': -9.128765, ' "': -8.622102, " '": -9.73686}
{' A': -0.0572121, 'A': -9.642686, ' B': -2.8975058, ' (': -9.181054, ' "': -8.672132}
{' A': -0.03825229, ' B': -3.2957633, ' (': -9.044824, ' "': -8.567436, " '": -9.5784645}
{' A': -0.07538987, ' B': -2.6294496, ' (': -9.051855, ' "': -8.540119, " '": -9.613476}
{' A': -0.02427161, 'A': -9.635124, ' B': -3.7491765, ' (': -9.131575, ' "': -8.707669}
{' A': -0.019359056, ' B': -3.9783182, ' (': -9.131463, ' "': -8.625615, " '": -9.650646}
{' A': -0.0389198, ' B': -3.2777388, ' (': -9.148693, ' "': -8.638426, " '": -9.646358}
{' A': -0.04954986, ' B': -3.039847, ' (': -9.049833, ' "': -8.540412, " '": -9.588047}
{' A': -0.027437223, ' B': -3.6264668, ' "': -8.662254, ' (': -9.07211, 'A': -9.6420555}
{' A': -0.058685374, ' B': -2.8739777, ' (': -9.108418, ' "': -8.392756, " '": -9.518568}
{' A': -0.004560159, 'A': -9.616305, ' B': -5.5007586, ' (': -9.058658, ' "': -8.565995}
{' b': -9.3537855, ' A': -2.9718328, ' B': -0.053053822, ' (': -9.827078, ' "': -8.5432825}
{' b': -9.485151, ' A': -1.9022727, ' B': -0.16223103, ' (': -9.527959, ' "': -8.402095}
{' b': -9.329881, ' A': -2.5801706, ' B': -0.07931241, ' (': -9.638076, ' "': -8.522777}
{' b': -9.447939, ' A': -1.6405866, ' B': -0.21625507, ' (': -9.261703, ' "': -8.284693}
{' b': -9.291058, ' A': -2.2440064, ' B': -0.11262244, ' (': -9.760162, ' "': -8.568356}
{' b': -9.498141, ' A': -1.7128106, ' B': -0.19957928, ' (': -9.5105, ' "': -8.281778}
{' b': -9.582993, ' A': -1.4569544, ' B': -0.26588392, ' (': -9.385079, ' "': -8.470605}
{' B': -0.33342573, ' A': -1.2627051, ' "': -8.168514, ' (': -9.205088, ' b': -9.59551}
{' B': -0.14584477, ' A': -2.0013325, ' "': -8.402654, ' b': -9.356078, ' (': -9.400078}
{' B': -0.365209, ' A': -1.186502, ' "': -8.20108, ' (': -9.0348625, ' b': -9.607514}
{' A': -1.1415863, ' B': -0.38569635, ' (': -9.022789, ' "': -8.038293, " '": -9.555312}
{' b': -9.635748, ' A': -1.228121, ' B': -0.34729218, ' (': -9.353288, ' "': -8.370271}
{' b': -9.677277, ' A': -0.84957653, ' B': -0.5590702, ' (': -9.053021, ' "': -8.211715}
{' b': -9.591619, ' A': -1.2074269, ' B': -0.35603783, ' (': -9.287062, ' "': -8.327478}
{' b': -9.219589, ' A': -3.0044649, ' B': -0.05127892, ' (': -10.041335, ' "': -8.7430525}
{' A': -0.42773932, ' B': -1.0575362, ' (': -9.005182, ' "': -8.086119, " '": -9.627305}
{' A': -0.41038942, 'A': -9.5934, ' B': -1.0906454, ' (': -9.060564, ' "': -8.33216}
{' A': -0.1336745, 'A': -9.393659, ' B': -2.0830534, ' (': -8.980521, ' "': -8.4256115}
{' A': -0.40106255, ' B': -1.1095816, ' "': -8.186996, ' (': -8.854816, 'A': -9.558163}
{' A': -0.28048632, 'A': -9.51651, ' B': -1.4110234, ' (': -8.847109, ' "': -8.173906}
{' A': -0.06980103, ' B': -2.70647, ' "': -8.26465, ' (': -8.735101, 'A': -9.4240055}
{' A': -0.08255506, 'A': -9.367586, ' B': -2.5421288, ' (': -9.040823, ' "': -8.511969}
{' A': -0.08762676, 'A': -9.405547, ' B': -2.484996, ' (': -8.980971, ' "': -8.420849}
{' A': -0.036946557, ' B': -3.3298042, ' "': -8.655044, ' (': -9.225004, 'A': -9.384213}
{' A': -0.35783258, 'A': -9.530764, ' B': -1.2033756, ' (': -9.028447, ' "': -8.296863}
{' A': -0.010438453, 'A': -9.507361, ' B': -4.6158595, ' (': -9.033654, ' "': -8.5706415}
{' A': -0.023760723, 'A': -9.356817, ' B': -3.7701044, ' (': -9.2483635, ' "': -8.826064}
