['Left', 'left', 'left', 'left', '<-', '<-', '<-', '<--', '<--', 'Left', 1]
['<--', 'Left', '<--', 'left', '<-', '<-', 'Left', '<--', 'left', 'Left', 4]
['left', 'left', 'left', 'left', '<--', '<--', '<-', '<--', '<-', 'Left', 5]
['Left', 'left', 'Left', '<--', 'left', '<-', 'Left', '<-', 'Left', 'left', 6]
['<-', '<-', 'left', 'left', '<--', 'Left', 'Left', 'Left', '<--', 'left', 7]
['left', 'Left', 'left', '<-', '<--', '<--', 'left', 'Left', '<-', '<-', 8]
['Left', '<-', 'Left', '<--', 'Left', '<--', '<--', 'left', 'left', '<-', 9]
['<--', '<--', 'Left', '<--', 'left', 'left', 'left', '<-', '<--', 'left', 10]
['Left', '<--', '<--', '<-', 'Left', 'left', 'Left', '<-', '<-', '<--', 11]
['<--', '<--', 'left', 'Left', 'left', 'Left', '<-', '<-', '<-', '<--', 12]
['Left', '<-', '<-', '<--', 'left', 'left', '<--', 'Left', 'left', 'left', 13]
['left', '<--', 'Left', 'Left', '<--', '<-', 'Left', 'Left', '<--', '<--', 14]
['<-', 'Left', '<--', '<-', 'left', 'Left', '<-', '<--', 'left', 'Left', 15]
['Left', 'left', 'Left', 'left', '<--', 'left', 'left', '<-', 'Left', '<--', 16]
['left', '<-', '<--', '<--', 'left', 'left', 'Left', '<--', 'Left', '<--', 17]
['Left', 'Left', 'Left', 'Left', '<-', '<--', '<--', 'Left', '<--', 'Left', 18]
['Left', 'left', '<--', '<--', 'Left', '<-', 'Left', 'Left', 'left', 'left', 19]
['Left', '<-', 'Left', 'left', '<-', 'left', 'left', '<-', 'left', 'Left', 20]
['left', 'left', '<--', 'left', '<--', 'Left', 'Left', '<-', 'left', '<-', 21]
['<--', '<--', '<--', '<--', 'Left', 'Left', 'left', 'Left', 'left', '<-', 22]
['<--', '<--', '<-', 'Left', '<-', '<--', 'Left', '<-', '<--', '<--', 23]
['left', 'Left', '<-', '<-', 'Left', '<-', '<-', 'Left', '<-', '<--', 24]
['Left', '<--', '<--', '<--', '<--', 'Left', '<-', '<--', 'left', 'Left', 25]
['Left', '<-', '<--', '<-', '<-', 'left', '<-', '<--', '<--', '<--', 26]
['Left', 'left', 'left', 'Left', 'left', 'left', '<--', '<--', '<-', 'Left', 27]
['<--', 'left', 'left', 'left', 'Left', 'left', 'Left', '<--', '<--', 'left', 28]
['Left', '<-', '<--', '<-', '<--', '<--', '<--', 'left', 'Left', '<-', 29]
['Left', '<-', 'Left', '<-', '<-', 'left', '<-', 'left', 'Left', 'Left', 30]
['<-', 'left', '<--', 'Left', 'Left', '<-', '<--', 'left', 'Left', '<-', 31]
['Left', 'Left', 'Left', 'Left', 'left', 'left', '<--', '<-', '<-', 'left', 32]
['<--', '<--', 'left', 'left', '<--', 'Left', 'left', '<-', 'left', '<--', 33]
['left', 'Left', '<-', '<-', '<--', '<--', 'left', 'Left', 'left', '<-', 34]
['<--', 'left', 'Left', 'Left', 'left', '<--', '<--', 'Left', 'left', '<--', 35]
['<--', '<--', '<--', '<-', '<--', '<-', '<-', 'left', '<--', '<--', 36]
['Left', 'left', 'Left', '<--', 'Left', '<--', '<-', '<--', '<--', 'left', 37]
['Left', 'Left', '<--', 'Left', '<-', 'Left', 'Left', '<--', '<--', 'Left', 38]
['left', 'Left', '<-', '<--', '<--', 'Left', '<--', 'Left', 'left', '<-', 39]
['<-', 'left', 'left', '<--', 'left', 'left', '<-', '<--', 'left', 'Left', 40]
['<-', '<-', 'Left', '<--', '<--', '<-', 'left', '<--', 'Left', '<--', 41]
['Left', 'left', '<--', 'Left', 'left', 'left', 'Left', 'Left', 'Left', '<-', 42]
['left', '<--', 'Left', '<-', 'left', '<-', 'Left', '<--', '<-', '<-', 43]
['<-', '<-', 'left', '<-', '<--', '<-', '<-', 'Left', '<--', '<-', 44]
['<--', '<-', '<-', '<-', '<--', '<-', 'left', 'Left', '<-', 'Left', 45]
['left', '<--', '<--', 'left', '<--', 'Left', '<-', '<--', '<--', 'left', 46]
['<-', '<-', 'left', '<-', '<--', 'left', '<--', 'Left', '<-', 'left', 47]
['<--', 'left', '<-', '<-', 'left', '<--', '<--', '<-', 'left', '<--', 48]
['<-', '<--', '<--', '<-', 'left', 'left', '<--', '<-', 'Left', 'Left', 49]
['<-', '<-', '<--', 'left', '<-', '<-', '<-', 'left', '<-', '<--', 50]
['<-', 'left', '<-', 'Left', 'Left', '<-', '<--', '<--', 'Left', '<-', 1]
['Left', '<-', '<--', '<--', 'left', 'left', 'left', 'left', '<--', '<--', 2]
['<--', 'left', 'left', '<--', '<--', 'Left', '<--', 'left', '<--', 'Left', 3]
['<--', 'left', 'Left', '<-', 'Left', '<-', '<--', '<--', '<-', '<-', 4]
['<-', '<-', '<-', 'Left', '<--', '<-', 'left', 'Left', 'Left', 'left', 5]
['<--', '<-', '<-', '<-', 'Left', 'Left', 'Left', '<-', 'Left', '<-', 6]
['Left', 'Left', '<-', '<--', 'Left', '<--', 'left', 'left', 'left', '<-', 7]
['<--', '<--', '<--', '<--', '<-', 'Left', '<-', 'Left', 'left', '<--', 8]
['left', '<--', '<--', 'Left', 'Left', 'Left', 'left', 'left', '<-', 'Left', 9]
['Left', 'left', 'left', 'Left', 'left', '<-', '<-', '<--', 'left', 'left', 10]
['Left', '<-', 'left', '<-', '<-', '<--', '<-', 'Left', '<-', '<--', 11]
['<-', '<-', 'Left', 'Left', 'Left', '<-', 'left', 'Left', 'left', '<--', 12]
['<--', 'left', '<-', '<-', 'left', '<-', '<--', 'left', '<-', 'left', 13]
['<--', '<--', 'left', '<-', '<-', 'Left', '<--', '<--', 'Left', '<-', 14]
['<-', 'Left', 'left', '<-', '<--', 'Left', '<--', '<--', '<--', '<--', 15]
['<--', 'Left', 'Left', '<--', '<--', '<--', 'Left', 'left', '<--', '<-', 16]
['left', 'left', 'left', 'Left', '<-', 'left', '<-', '<--', 'left', 'Left', 17]
['Left', 'left', 'left', 'Left', 'Left', '<--', 'Left', '<-', 'Left', '<-', 18]
['left', '<--', 'left', '<--', '<--', '<-', '<-', 'Left', 'left', '<-', 19]
['<-', '<--', '<--', 'Left', '<--', '<--', '<--', 'Left', '<-', 'left', 20]
['left', 'Left', '<-', 'left', '<--', 'left', '<--', '<--', '<--', '<-', 21]
['Left', '<--', '<-', '<--', 'left', '<--', '<-', 'Left', 'Left', '<-', 22]
['left', '<-', 'Left', 'left', '<-', 'Left', 'Left', 'left', 'Left', 'Left', 23]
['left', '<--', 'Left', 'left', 'left', '<-', '<--', '<-', '<--', 'Left', 24]
['<--', '<--', '<--', 'Left', 'left', '<--', '<-', 'Left', '<-', 'left', 25]
['left', '<--', '<--', '<--', 'Left', 'Left', 'Left', '<--', 'Left', 'left', 26]
['<--', 'Left', '<--', '<-', '<-', '<-', '<--', 'left', 'left', '<--', 27]
['<--', '<--', 'left', 'Left', '<--', '<--', 'left', 'Left', '<-', 'Left', 28]
['<--', '<-', '<--', 'left', 'left', 'left', 'left', '<-', '<--', '<--', 29]
['left', 'left', '<-', 'Left', '<--', 'left', 'Left', '<-', '<-', '<--', 30]
['<-', '<--', 'Left', 'left', 'left', 'left', '<-', '<-', 'left', 'Left', 31]
['left', 'Left', 'Left', '<--', 'left', 'left', '<--', '<-', 'left', 'left', 32]
['left', '<--', '<--', '<-', '<-', '<-', '<--', '<-', 'left', '<--', 33]
['left', 'left', '<-', 'left', '<-', 'left', 'left', 'Left', 'left', '<-', 34]
['<--', 'left', 'left', 'left', '<-', '<--', 'Left', 'left', 'Left', '<--', 35]
['<-', '<-', '<--', 'Left', 'Left', '<--', '<--', '<-', '<--', '<--', 36]
['Left', 'Left', '<-', 'Left', 'Left', 'Left', 'left', '<--', '<-', 'Left', 37]
['Left', '<--', '<-', 'left', 'left', 'left', 'left', 'left', 'left', '<--', 38]
['Left', '<-', 'Left', '<-', 'left', '<-', '<--', '<--', '<-', '<--', 39]
['Left', 'left', '<-', '<--', '<-', '<-', '<-', '<--', '<--', '<--', 40]
['left', 'Left', '<--', 'left', '<--', 'Left', '<--', '<-', '<-', 'left', 41]
['<--', '<-', 'left', 'Left', '<--', '<-', 'Left', 'Left', 'left', '<--', 42]
['<-', 'Left', '<-', 'left', 'Left', 'Left', 'Left', 'left', '<--', '<--', 43]
['<--', '<-', '<-', 'left', '<-', '<--', 'left', 'left', '<--', '<--', 44]
['Left', 'Left', 'left', '<-', 'left', 'Left', '<--', 'Left', 'left', '<--', 45]
['<--', '<--', 'left', '<--', 'Left', '<-', '<--', '<--', '<-', 'left', 46]
['<-', 'Left', '<-', 'left', 'Left', '<--', '<-', 'Left', 'Left', '<-', 47]
['Left', '<--', 'left', '<--', '<--', '<--', '<-', 'Left', 'left', 'Left', 48]
['<--', 'Left', 'Left', 'Left', '<--', '<-', '<-', '<--', '<--', 'Left', 49]
['<-', 'left', 'Left', 'left', '<--', 'Left', '<--', '<--', '<--', '<-', 50]
['Left', 'left', '<--', '<--', 'left', '<--', 'left', 'left', 'Left', 'left', 1]
['<-', '<--', 'Left', '<--', 'left', '<--', 'Left', '<-', 'left', 'Left', 2]
['left', 'left', 'left', '<-', 'Left', '<--', 'left', 'Left', 'Left', 'left', 3]
['Left', 'Left', 'left', '<--', 'left', '<--', 'left', '<--', '<-', 'left', 4]
['<--', '<-', 'Left', 'Left', '<-', '<--', 'left', '<-', '<-', 'Left', 5]
['<--', '<-', '<-', 'left', '<--', '<--', '<-', '<-', '<-', '<--', 6]
['<-', '<--', '<-', 'left', '<-', '<--', 'Left', 'left', 'Left', 'left', 7]
['left', '<--', 'Left', '<--', '<--', 'left', 'Left', 'left', '<-', 'Left', 8]
['Left', 'left', '<-', '<--', '<-', '<-', '<--', 'left', 'left', 'Left', 9]
['Left', 'left', '<-', '<--', 'Left', '<-', '<-', '<--', '<--', 'left', 10]
['left', '<--', '<--', '<--', '<-', 'left', 'left', 'left', '<--', '<--', 11]
['left', '<--', 'left', '<--', 'left', 'left', 'Left', 'left', 'Left', 'Left', 12]
['<-', '<-', '<--', '<--', 'Left', '<-', 'left', '<-', 'Left', 'left', 13]
['<--', '<--', 'Left', '<--', '<--', 'Left', 'left', 'Left', 'Left', '<--', 14]
['left', '<-', 'Left', 'Left', '<-', '<-', '<--', 'Left', '<--', 'left', 15]
['<-', '<--', '<-', 'Left', 'Left', '<--', '<-', 'Left', '<--', '<-', 16]
['Left', '<-', 'Left', 'left', 'Left', 'left', '<-', '<-', '<--', '<-', 17]
['<--', 'Left', '<-', '<--', '<--', 'Left', 'left', 'left', 'left', '<-', 18]
['left', 'left', 'Left', 'left', 'Left', 'Left', 'left', 'left', 'Left', 'left', 19]
['<-', 'Left', '<-', 'Left', '<-', 'Left', '<-', '<-', '<-', 'left', 20]
['<--', '<--', 'Left', '<-', 'Left', 'Left', '<-', 'left', 'Left', '<--', 21]
['left', 'Left', 'Left', 'Left', 'Left', '<-', 'left', 'Left', 'Left', 'left', 22]
['Left', 'Left', '<--', '<--', 'left', 'left', '<--', 'left', 'Left', '<--', 23]
['Left', 'left', 'Left', 'left', 'left', 'Left', 'Left', '<-', '<-', 'Left', 24]
['<-', 'Left', 'Left', '<--', 'Left', 'Left', '<--', '<--', 'left', 'left', 25]
['Left', '<-', '<--', '<-', '<--', '<--', 'left', 'left', 'left', 'left', 26]
['<--', 'left', '<--', 'Left', '<-', '<-', '<-', '<--', 'Left', 'Left', 27]
['left', '<-', '<--', '<-', 'left', '<--', '<--', '<-', '<--', '<--', 28]
['<-', 'Left', 'left', '<-', '<--', 'left', 'Left', 'left', '<--', '<--', 29]
['<-', 'left', '<--', 'Left', '<--', 'left', 'left', 'left', '<--', '<-', 30]
['<-', '<-', 'Left', 'Left', 'Left', '<--', 'Left', '<--', '<-', '<--', 31]
['Left', '<-', '<-', '<-', '<--', 'left', 'Left', 'left', '<-', '<-', 32]
['Left', 'left', 'Left', 'Left', '<--', 'left', 'left', 'left', '<-', '<-', 33]
['left', 'left', '<-', '<-', 'left', '<-', '<--', '<--', 'left', '<--', 34]
['<-', 'Left', 'left', '<--', '<-', '<--', '<-', '<--', '<--', '<--', 35]
['Left', 'Left', '<--', '<-', '<-', 'left', '<-', '<--', 'Left', 'left', 36]
['<--', '<--', '<--', 'Left', 'Left', '<-', '<-', '<--', '<--', '<-', 37]
['left', '<-', 'left', 'Left', '<-', 'left', 'Left', 'Left', '<-', 'left', 38]
['<--', '<--', '<--', '<-', 'Left', '<-', 'left', 'Left', 'Left', '<--', 39]
['left', 'Left', 'Left', 'Left', 'left', '<-', '<-', 'Left', 'Left', '<--', 40]
['<--', 'Left', 'Left', '<-', '<--', '<--', 'Left', '<--', 'Left', '<--', 41]
['left', '<--', '<-', '<-', '<-', '<-', '<-', '<-', '<-', '<-', 42]
['Left', 'Left', '<-', 'Left', '<-', '<--', 'left', '<--', 'Left', 'Left', 43]
['<-', '<--', '<-', '<-', 'left', '<--', 'left', '<-', 'left', 'left', 44]
['Left', 'Left', 'Left', 'left', 'Left', '<-', 'left', 'Left', 'left', 'Left', 45]
['<--', '<-', 'left', 'Left', 'left', 'Left', 'left', 'Left', '<-', '<-', 46]
['<-', '<--', 'Left', '<--', '<-', '<-', 'Left', 'left', 'Left', '<--', 47]
['<--', '<--', 'Left', '<-', '<--', '<--', '<-', '<--', 'Left', 'left', 48]
['<-', 'Left', 'left', '<-', 'left', '<-', '<-', 'left', 'Left', '<--', 49]
['<--', '<--', 'left', '<--', '<--', 'left', 'left', '<-', 'Left', 'left', 50]
['<-', '<--', '<--', 'left', '<-', '<-', '<-', '<--', '<--', 'Left', 1]
['<--', 'left', '<--', 'Left', 'Left', '<-', '<--', 'Left', 'left', 'left', 2]
['<-', 'Left', 'Left', '<--', 'left', 'left', '<-', 'left', 'left', 'left', 3]
['<-', '<-', '<-', 'Left', 'left', '<-', '<--', '<--', '<--', '<--', 4]
['Left', 'left', 'Left', '<-', '<-', 'Left', 'Left', 'Left', 'left', '<--', 5]
['Left', '<-', '<-', '<-', '<--', 'Left', '<-', '<-', 'Left', 'Left', 6]
['Left', 'Left', 'Left', 'left', '<--', 'Left', 'left', 'left', 'left', '<-', 7]
['Left', 'Left', '<-', 'Left', '<-', 'left', 'left', 'left', 'Left', 'Left', 8]
['Left', '<-', '<-', '<--', '<--', '<--', '<-', '<--', 'left', '<-', 9]
['left', 'Left', 'left', 'Left', '<--', '<-', 'left', '<-', 'left', '<-', 10]
['Left', 'left', 'Left', '<-', 'Left', '<--', '<-', '<--', 'left', 'Left', 11]
['<-', 'Left', 'left', '<-', 'Left', 'Left', 'left', 'left', 'Left', 'Left', 12]
['Left', '<-', '<-', 'left', 'left', '<-', 'left', 'left', 'Left', 'Left', 13]
['<-', '<-', '<-', 'Left', 'left', '<--', '<-', '<--', 'left', '<-', 14]
['<-', '<-', '<-', '<-', 'Left', 'Left', '<-', 'Left', 'Left', '<--', 15]
['<-', 'Left', '<--', '<-', '<--', 'left', '<-', 'left', 'Left', 'Left', 16]
['<-', '<-', '<-', 'left', '<--', 'left', '<-', 'left', 'Left', '<-', 17]
['Left', '<--', '<-', '<-', 'left', '<--', 'Left', 'Left', '<--', 'left', 18]
['<-', 'Left', '<-', 'left', '<-', 'left', 'Left', 'Left', 'Left', '<--', 19]
['<-', 'left', 'left', '<-', 'Left', 'left', '<--', '<-', 'Left', '<--', 20]
['<-', '<--', '<--', '<--', '<--', '<--', '<--', 'Left', 'left', 'Left', 21]
['left', 'left', '<--', 'Left', '<-', 'Left', 'left', 'Left', 'left', '<-', 22]
['<--', 'left', '<-', 'Left', '<-', 'Left', 'left', 'Left', '<-', '<-', 23]
['Left', 'Left', 'left', 'left', 'Left', 'left', '<-', '<-', '<-', '<-', 24]
['<-', '<-', '<-', 'left', '<-', '<--', '<-', 'Left', 'Left', 'Left', 25]
['<-', '<-', 'left', '<--', 'left', '<-', '<--', '<-', 'Left', 'left', 26]
['<--', '<-', '<-', 'Left', 'left', 'left', 'Left', '<-', 'Left', 'Left', 27]
['<--', '<--', '<-', '<--', '<--', 'left', 'Left', '<-', '<--', '<--', 28]
['Left', 'left', 'left', '<-', 'Left', '<--', '<-', 'left', '<-', '<-', 29]
['left', '<--', '<--', '<-', 'left', 'left', 'left', 'Left', 'left', 'Left', 30]
['<--', '<-', '<--', 'left', 'Left', 'Left', 'Left', 'left', '<--', '<-', 31]
['<--', 'left', '<--', 'left', '<-', '<-', '<--', '<-', '<--', 'Left', 32]
['Left', 'Left', 'Left', '<-', '<--', '<--', '<--', '<--', '<-', '<-', 33]
['Left', '<--', '<--', 'left', 'Left', 'left', 'Left', 'Left', '<--', '<--', 34]
['<--', '<-', '<--', 'left', '<--', 'left', 'left', '<-', '<-', 'Left', 35]
['<-', '<-', '<--', 'Left', 'left', '<--', '<-', 'left', '<--', 'Left', 36]
['<--', 'Left', '<--', '<-', '<--', 'left', '<--', '<-', 'Left', '<-', 37]
['<-', 'Left', 'left', 'left', '<-', 'Left', '<-', 'left', 'Left', 'left', 38]
['<--', 'Left', 'left', 'left', '<-', '<--', 'left', '<-', '<-', '<-', 39]
['Left', 'Left', 'left', 'Left', '<--', '<-', '<--', 'Left', '<-', '<-', 40]
['<--', 'left', '<-', 'left', 'Left', 'Left', '<--', '<--', '<-', '<-', 41]
['left', 'left', '<--', '<-', 'left', 'left', 'left', '<-', 'left', '<--', 42]
['Left', '<-', '<-', 'left', 'Left', 'left', '<-', '<-', 'Left', '<--', 43]
['<--', '<-', '<--', 'left', '<-', '<--', '<-', '<--', '<-', 'left', 44]
['left', 'Left', '<--', 'left', '<-', '<-', '<--', 'left', 'Left', 'left', 45]
['Left', '<-', '<--', 'Left', 'Left', '<-', '<-', 'left', 'left', 'left', 46]
['<-', 'left', 'Left', 'left', '<--', '<--', 'Left', '<-', '<-', 'left', 47]
['<--', '<--', '<-', '<-', '<--', 'Left', 'Left', '<--', 'left', 'Left', 48]
['<--', 'left', '<-', 'Left', 'left', '<--', '<--', 'left', 'left', '<-', 49]
['<-', 'left', 'left', '<-', '<--', 'Left', '<-', '<--', 'Left', '<--', 50]
