{' No': -0.04760396, ' Yes': -3.703295, 'No': -4.0001245, '\n': -5.8247437, 'Yes': -7.8260674}
{' No': -0.3725768, ' Yes': -1.5408202, '\n': -2.9944277, ' Patient': -3.6788208, 'No': -4.2988267}
{' No': -0.016336815, 'No': -4.461176, ' Yes': -5.69564, '\n': -6.8318305, ' ': -8.97902}
{' No': -0.12061272, '\n': -4.9768476, 'No': -3.8646405, ' Yes': -2.4868464, 'Yes': -6.2503924}
{' No': -0.47217506, ' Yes': -1.0661483, 'No': -4.5592203, ' Doctor': -4.6752634, '\n': -4.9565687}
{' No': -0.017870635, 'No': -4.5046964, ' Yes': -6.0064, '\n': -6.0694895, ' Hospital': -6.840269}
{' No': -0.17890005, '\n': -4.0951977, 'No': -4.591337, ' Yes': -2.1131918, ' Sur': -4.3659596}
{' No': -0.016736763, 'No': -4.776384, ' Yes': -5.474874, '\n': -5.6931467, ' ': -8.6282215}
{' No': -0.008229009, '\n': -8.92033, ' ': -10.016258, 'No': -4.862778, ' Yes': -8.206614}
{' Yes': -0.027599033, 'Yes': -4.003982, '\n': -4.9553294, ' No': -6.574426, ' ': -8.764577}
{' No': -3.8639395, '\n': -3.3549886, 'No': -6.500065, ' Yes': -0.09492722, 'Yes': -3.4974844}
{' No': -0.39290577, '\n': -1.4618487, 'No': -2.7821517, ' Yes': -4.8162837, ' Unfortunately': -4.319139}
{' No': -0.9336358, ' Yes': -1.0747911, '\n': -1.5630571, 'No': -3.5023897, 'Yes': -4.0475545}
{' No': -0.18176018, 'No': -2.1930134, '\n': -3.1779413, ' Unfortunately': -5.4637194, ' Not': -5.5658154}
{' No': -0.19867848, ' Yes': -2.534059, '\n': -2.9595275, 'No': -3.1579928, 'Yes': -5.7293825}
{' No': -2.8830001, '\n': -6.2680078, 'No': -6.901505, ' Yes': -0.07368929, 'Yes': -4.4329576}
{' No': -4.7331924, '\n': -6.00576, ' Yes': -0.051475752, 'Yes': -4.1937885, ' Doctor': -3.7992022}
{' No': -0.066903666, '\n': -4.3547397, 'No': -4.365413, ' Yes': -6.5402064, ' Hospital': -3.3281758}
{' No': -0.07443082, '\n': -3.7470152, 'No': -3.7900376, ' Yes': -4.002156, ' Sur': -5.2383237}
{' No': -0.028798047, '\n': -6.609952, ' ': -9.011283, 'No': -3.623185, ' Yes': -9.092805}
{' No': -0.07141025, ' Yes': -3.503274, ' Patient': -4.200427, 'No': -4.2418776, '\n': -4.9528017}
{' No': -0.015982207, 'No': -4.633578, ' Yes': -5.324648, '\n': -6.7783413, 'Yes': -9.788906}
{' No': -0.017310055, 'No': -4.4857054, '\n': -5.5883856, ' Yes': -6.9244776, ' Doctor': -7.18051}
{' No': -0.032309953, '\n': -4.653449, 'No': -4.1257925, ' Yes': -5.6533556, ' Hospital': -7.000083}
{' No': -0.11571538, ' Yes': -2.503485, '\n': -4.283436, 'No': -4.486271, 'Yes': -6.739304}
{' No': -0.02211127, 'No': -4.001342, '\n': -5.9656706, ' Yes': -7.4065237, ' ': -8.219491}
{'Pat': -8.024406, ' No': -0.020323088, '\n': -5.954687, 'No': -4.4758854, ' Yes': -5.2871685}
{' No': -0.020050796, '\n': -6.6141915, ' ': -9.104361, 'No': -4.2542176, ' Yes': -5.5099244}
{' No': -0.115131095, ' Yes': -2.6637743, 'No': -3.6795328, '\n': -4.5374465, 'Yes': -6.3822527}
{' No': -0.59587264, '\n': -4.053859, 'No': -4.7249236, ' Yes': -1.1233118, ' Doctor': -2.3937814}
{' No': -0.09795956, '\n': -4.4331894, 'No': -4.0934772, ' Yes': -5.5687065, ' Hospital': -2.9387589}
{' Sur': -1.0561881, ' No': -1.1830441, ' Yes': -1.4650205, '\n': -2.4667618, 'No': -4.5769014}
{' No': -0.016414067, '\n': -6.4951406, ' ': -8.985148, 'No': -4.248481, ' Yes': -8.260537}
{'Pat': -3.797538, ' No': -0.102990575, '\n': -4.720861, 'No': -3.854528, ' Pat': -3.3824573}
{' No': -0.021824969, 'No': -4.402623, ' Yes': -4.8961782, '\n': -6.4723744, ' ': -8.9905615}
{' No': -0.019073967, '\n': -7.063626, ' ': -9.888489, 'No': -4.025067, ' Yes': -9.167545}
{' No': -0.023526065, '\n': -7.065865, ' ': -9.398568, 'No': -4.030385, ' Yes': -5.4121695}
{' No': -0.011688052, '\n': -6.1443133, ' ': -8.288072, 'No': -4.7434897, ' Yes': -8.203827}
{' No': -0.03127849, '\n': -4.707351, ' ': -7.607034, 'No': -3.9175873, ' Sur': -7.0936656}
{' No': -0.02885228, 'No': -3.5962331, '\n': -7.2457385, ' Yes': -9.012591, ' ': -9.103933}
{' No': -0.019892698, 'No': -4.0043306, ' Yes': -6.916798, '\n': -8.33022, ' no': -9.244632}
{' No': -0.017006693, '\n': -8.5009365, ' ': -10.474269, 'No': -4.099591, ' Yes': -10.154331}
{' No': -0.063578226, '\n': -5.7967, 'No': -4.5531125, ' Yes': -3.0506177, 'Yes': -7.6229706}
{' No': -0.12066699, ' Yes': -2.2790742, 'No': -4.893969, '\n': -6.0467243, 'Yes': -7.3837166}
{' No': -0.061015964, ' Hospital': -3.3734205, 'No': -4.5378795, '\n': -4.8292193, ' Yes': -5.994432}
{' No': -0.078406185, '\n': -3.5534809, ' Yes': -4.124993, 'No': -4.2478724, ' Sur': -4.277175}
{' No': -0.011839308, '\n': -6.596001, ' ': -8.640123, 'No': -4.6110764, ' Yes': -8.545145}
{' No': -0.029285682, 'No': -4.7289543, '\n': -4.9083614, ' Pat': -5.3919854, ' Patient': -5.9316025}
{' No': -0.0085127065, 'No': -4.876789, ' Yes': -7.811435, '\n': -7.850641, ' ': -10.168205}
{' No': -0.09734549, ' Yes': -2.9716282, 'No': -3.44454, '\n': -4.8495293, 'Yes': -6.5495505}
{' No': -0.081531115, '\n': -4.4309897, 'No': -3.0362332, ' Yes': -4.0650744, 'Yes': -7.453981}
{' No': -0.1217929, 'No': -2.753066, '\n': -3.0234423, ' ': -6.5774326, ' Unfortunately': -8.186593}
{' No': -0.12592143, '\n': -2.9362009, ' ': -7.038465, 'No': -2.7878363, ' Yes': -6.160259}
{' No': -0.09881202, '\n': -5.1120567, ' ': -8.1820755, 'No': -2.441433, ' Unfortunately': -7.5357757}
{' No': -0.054680888, 'No': -3.1029441, '\n': -4.9404054, ' Yes': -7.939497, ' Unfortunately': -8.330858}
{' No': -0.11265146, '\n': -4.041904, ' ': -7.551429, 'No': -2.440193, ' Yes': -7.250022}
{' Yes': -0.16513564, ' No': -2.1893685, 'Yes': -3.8534937, '\n': -4.476281, 'No': -5.006971}
{' No': -2.1458192, '\n': -4.745312, 'No': -4.8876348, ' Yes': -0.17235051, 'Yes': -3.7552762}
{' No': -0.40266556, 'No': -2.1777854, '\n': -2.1867745, ' Yes': -2.488304, ' Unfortunately': -4.723207}
{' Yes': -0.4117151, ' No': -1.604548, 'Yes': -2.9638543, '\n': -2.9728055, 'No': -3.5370736}
{' No': -0.32039437, '\n': -2.6708488, 'No': -2.0066223, ' Yes': -2.9870868, ' Unfortunately': -4.708349}
{' No': -0.3736316, 'No': -2.0275202, ' Yes': -2.1065266, '\n': -3.142373, 'Yes': -4.469409}
{' No': -0.37220302, 'No': -2.1977262, '\n': -2.35995, ' Yes': -2.40034, 'Yes': -4.9524717}
{' Yes': -0.2592483, ' No': -1.5209041, 'Yes': -5.146631, 'No': -6.122052, '\n': -6.4181094}
{' No': -0.26991692, '\n': -5.196312, 'No': -4.804907, ' Yes': -1.5139107, 'Yes': -6.336956}
{' No': -0.024074625, '\n': -4.7266045, 'No': -4.7961307, ' Yes': -6.471618, ' Hospital': -5.7234097}
{' No': -0.44083527, '\n': -2.6565773, 'No': -4.303174, ' Yes': -1.3588154, ' Sur': -5.11147}
{' No': -0.018748991, 'No': -4.201639, '\n': -5.9570374, ' Yes': -7.4965625, ' ': -8.398351}
{' No': -0.07158766, 'No': -3.3515825, ' Yes': -4.0888968, '\n': -4.2666044, 'Yes': -7.421641}
{' No': -0.01421436, '\n': -7.005198, ' ': -9.823079, 'No': -4.4884157, ' Yes': -6.2984056}
{' Yes': -0.07938003, 'Yes': -3.4147756, ' No': -3.6276891, '\n': -4.3085117, 'No': -6.019558}
{' No': -0.50182134, '\n': -1.5429742, ' Hospital': -2.4997957, ' Yes': -3.1463716, 'No': -3.1492229}
{' No': -1.3626641, '\n': -1.8161876, 'No': -3.8890119, ' Yes': -0.62866855, 'Yes': -3.8050482}
{' No': -0.10110596, 'No': -2.7645886, '\n': -3.5940716, ' Yes': -5.810883, ' Not': -6.956789}
{' No': -0.3888584, ' Yes': -1.465982, '\n': -3.168798, 'No': -3.557964, ' Patient': -4.2850184}
{' No': -0.375658, ' Yes': -1.2801113, '\n': -4.140024, 'No': -4.2341175, 'Yes': -5.5048428}
{' No': -2.61757, '\n': -3.1054752, 'No': -5.3518496, ' Yes': -0.16366854, 'Yes': -3.6035428}
{' No': -0.2100545, '\n': -2.5708904, 'No': -2.6087227, ' Unfortunately': -3.978729, ' Yes': -4.5437655}
{' No': -3.1697767, '\n': -2.2545772, 'No': -5.7366505, ' Yes': -0.21548036, 'Yes': -3.2545674}
{' No': -0.21766287, 'No': -2.342163, '\n': -2.5821493, ' Unfortunately': -4.180008, ' ': -5.9143963}
{' No': -0.29808578, '\n': -2.1980586, 'No': -2.865232, ' Yes': -2.5177646, 'Yes': -5.6290007}
{' No': -0.20562035, '\n': -2.4841065, 'No': -2.8589423, ' Yes': -3.21719, 'Yes': -6.387705}
{' Yes': -0.01951774, ' No': -4.5530415, 'Yes': -4.871097, '\n': -7.1328793, 'No': -8.786109}
{' Yes': -0.022587607, 'Yes': -4.015424, ' No': -6.3977203, '\n': -6.53192, ' yes': -7.70707}
{' Yes': -0.106396526, ' Sur': -3.2947586, 'Yes': -3.5799968, '\n': -4.08631, ' No': -4.141364}
{' No': -0.07289914, 'No': -2.8372996, '\n': -4.652245, ' Yes': -6.7526064, ' ': -7.600107}
{' Yes': -0.2115336, ' No': -1.8524293, 'Yes': -4.277865, '\n': -4.5120516, 'No': -5.262191}
{' No': -0.044310283, '\n': -6.972052, 'No': -4.6187863, ' Yes': -3.4391732, 'Yes': -8.086403}
{' No': -0.13568063, ' Yes': -2.2018619, 'No': -4.6844263, '\n': -5.2224836, 'Yes': -6.679183}
{' No': -0.42876318, '\n': -4.9169354, 'No': -4.2668347, ' Yes': -1.1387929, 'Yes': -5.6351976}
{' No': -0.14830254, '\n': -3.0207677, 'No': -3.2401032, ' Yes': -5.0141854, ' Hospital': -3.2512193}
{' No': -0.02865629, '\n': -5.488697, ' ': -8.341753, 'No': -3.7660146, ' Yes': -7.5772877}
{' No': -0.11051676, '\n': -3.5955021, 'No': -4.0650587, ' Yes': -3.050094, ' Patient': -4.5763316}
{' No': -0.013892715, '\n': -6.34352, ' ': -8.840911, 'No': -4.651447, ' Yes': -6.091539}
{' No': -0.024604732, '\n': -5.9347034, ' ': -8.978086, 'No': -3.9556708, ' Yes': -6.069507}
{' No': -0.020465497, '\n': -6.7941256, 'No': -4.202995, ' Yes': -5.6366854, ' Doctor': -7.87226}
{' No': -0.014814827, '\n': -6.1767426, ' ': -7.9712925, 'No': -4.5042157, ' Yes': -6.9844613}
{' No': -0.10831615, ' Yes': -2.5262923, 'No': -4.271751, '\n': -5.0139346, 'Yes': -6.881716}
{' No': -0.012112751, 'No': -5.058005, '\n': -5.6252694, ' Yes': -6.768931, ' ': -8.114984}
{' No': -0.0066610025, 'No': -5.040358, '\n': -9.209623, ' Yes': -10.449289, ' ': -10.468637}
{' No': -6.175966, '\n': -4.9975586, ' Yes': -0.03113208, ' The': -8.636179, 'Yes': -3.855051}
{' No': -4.385164, '\n': -4.1025143, 'No': -6.9348736, ' Yes': -0.06276895, 'Yes': -3.5501}
{' No': -0.545733, '\n': -1.1698726, 'No': -2.791691, ' Unfortunately': -3.5914538, ' Yes': -4.8844686}
{' No': -0.8234208, ' Yes': -1.0955346, '\n': -1.8335278, 'No': -3.3871872, 'Yes': -4.0853624}
{' No': -0.18501456, 'No': -2.4360063, '\n': -3.0811877, ' Unfortunately': -3.9622986, ' Yes': -4.920637}
{' No': -0.09748248, '\n': -3.8640418, 'No': -2.9704664, ' Yes': -4.1142597, ' Unfortunately': -6.2223415}
{' No': -0.39423174, '\n': -4.9621754, 'No': -4.4753494, ' Yes': -1.1921309, 'Yes': -5.65192}
{' No': -0.48189768, ' Yes': -1.0221695, 'No': -4.7921147, ' Doctor': -4.959097, '\n': -5.5818253}
{' No': -0.05064862, 'No': -3.8114173, '\n': -4.3591623, ' Hospital': -4.3932486, ' ': -6.957944}
{' No': -0.038069613, '\n': -4.3135343, 'No': -3.8730035, ' Yes': -6.335825, ' Sur': -7.275793}
{' No': -0.030368682, '\n': -6.464101, ' ': -9.036354, 'No': -3.5749376, ' Yes': -9.639326}
{' No': -0.023675764, 'No': -3.9853761, '\n': -5.837311, ' Yes': -7.103164, ' Patient': -7.341675}
{' No': -0.048949637, ' Yes': -3.6570027, 'No': -3.973554, '\n': -6.0461473, 'Yes': -7.637571}
{' No': -0.068338476, '\n': -4.831432, 'No': -3.9640424, ' Yes': -3.4312093, ' Doctor': -5.2903366}
{' No': -0.027665513, '\n': -5.170911, ' ': -7.626394, 'No': -3.9339838, ' Hospital': -7.379258}
{' No': -0.15402476, ' Yes': -2.2587116, '\n': -3.8694406, 'No': -4.3699746, 'Yes': -6.370316}
{' No': -0.03626102, '\n': -6.019987, ' ': -8.486631, 'No': -3.4441931, ' Yes': -7.076122}
{' No': -0.019239528, ' Not': -9.607065, '\n': -6.9908843, 'No': -4.3725853, ' Yes': -5.2552834}
{' No': -0.017668415, 'No': -4.2697053, ' Yes': -6.0148015, '\n': -7.00692, ' ': -9.713117}
{' Yes': -0.5816266, ' No': -0.88104415, 'No': -4.5725646, 'Yes': -4.6424823, '\n': -5.208774}
{' Yes': -0.6384803, ' No': -0.8350174, ' Doctor': -4.185594, '\n': -4.8553057, 'No': -4.894408}
{' No': -0.20279644, ' Hospital': -2.5103183, '\n': -2.772731, 'No': -3.9367723, ' Yes': -4.57114}
{' Yes': -0.942327, ' Sur': -1.1807857, '\n': -1.762138, ' No': -2.30833, 'Yes': -4.3824706}
{' No': -0.0298228, 'No': -3.9415581, '\n': -5.131637, ' Yes': -5.7370844, ' ': -7.8643765}
{' No': -0.035292864, '\n': -5.383952, 'No': -4.013055, ' Pat': -5.5917883, ' Yes': -5.681752}
{' No': -0.025944943, ' Yes': -4.2927275, 'No': -4.5566053, '\n': -6.840785, 'Yes': -8.744209}
{' No': -0.01694213, 'No': -4.1396494, '\n': -7.337033, ' Yes': -8.762054, ' ': -9.965547}
{' No': -0.034058403, 'No': -3.600228, ' Yes': -5.234093, '\n': -7.3747787, 'Yes': -9.199677}
{' No': -0.01451869, 'No': -4.422636, '\n': -6.2694507, ' Hospital': -8.5180235, ' ': -8.702356}
{' No': -0.028580418, 'No': -4.033524, '\n': -4.68784, ' Yes': -7.7255936, ' ': -7.813509}
{' No': -0.03364709, 'No': -3.4861429, '\n': -6.142431, ' ': -8.680882, ' Yes': -9.2181225}
{' No': -0.023114856, 'No': -3.8916776, ' Yes': -6.3035254, '\n': -7.928153, ' no': -9.271351}
{' No': -0.0179937, 'No': -4.051542, '\n': -8.007245, ' ': -10.03367, ' Yes': -10.1518755}
{' No': -0.058466952, '\n': -6.1617436, 'No': -4.556836, ' Yes': -3.1340208, 'Yes': -7.7196207}
{' No': -0.30251205, '\n': -5.33458, 'No': -5.059319, ' Yes': -1.3989818, 'Yes': -6.490544}
{' No': -0.06038121, '\n': -4.124541, 'No': -4.4274273, ' Yes': -4.4807873, ' Hospital': -4.141115}
{' No': -0.099386245, '\n': -2.9519193, 'No': -4.7261276, ' Yes': -4.1786346, ' Sur': -4.1689262}
{' No': -0.011176667, 'No': -4.771381, '\n': -6.26163, ' Yes': -7.700976, ' ': -8.528424}
{' No': -0.061195083, ' Yes': -3.78705, '\n': -4.360939, ' Pat': -4.9142756, 'No': -5.002479}
{' No': -0.007108483, 'No': -5.193683, ' Yes': -6.8669043, '\n': -7.7815695, ' ': -10.054397}
{' No': -0.56914735, ' Yes': -1.046448, 'No': -3.2875178, '\n': -3.5066376, 'Yes': -4.260435}
{' No': -0.17988464, '\n': -2.997132, 'No': -2.681088, ' Yes': -3.1714427, 'Yes': -6.108268}
{' No': -0.17921373, 'No': -2.3989973, '\n': -2.6582003, ' ': -6.221817, ' Yes': -7.623145}
{' No': -0.24030174, '\n': -1.8973871, 'No': -3.0367572, ' Yes': -4.497296, ' ': -5.810698}
{' No': -0.1587118, 'No': -2.153684, '\n': -3.5302937, ' ': -7.0550475, ' Unfortunately': -8.174546}
{' No': -0.11880309, 'No': -2.6077995, '\n': -3.3440971, ' Yes': -6.434839, ' ': -7.1894393}
{' No': -0.15505509, '\n': -3.7468424, ' ': -7.1400323, 'No': -2.1412992, ' Yes': -7.011285}
{' Yes': -0.13956767, '\n': -3.0311503, ' No': -3.2401671, 'Yes': -3.2964718, 'No': -5.5342917}
{' No': -1.6507584, '\n': -3.8796268, 'No': -3.8768382, ' Yes': -0.3183649, 'Yes': -3.345846}
{' No': -0.6077673, '\n': -1.5136206, 'No': -2.1504443, ' Yes': -2.322672, 'Yes': -4.8052373}
{' No': -2.5093946, '\n': -1.7629842, 'No': -4.2615, ' Yes': -0.4129018, 'Yes': -2.7662973}
{' No': -0.410898, 'No': -2.0154588, '\n': -2.0227163, ' Yes': -3.212459, ' Unfortunately': -4.122741}
{' No': -0.47197178, '\n': -3.061661, 'No': -2.0789816, ' Yes': -1.7098048, 'Yes': -3.9691315}
{' No': -0.53198427, '\n': -2.03886, 'No': -2.2220345, ' Yes': -1.8711355, 'Yes': -4.345342}
{' Yes': -0.07051475, ' No': -2.972252, 'Yes': -4.355837, '\n': -5.9328113, 'No': -6.8437514}
{' Yes': -0.73454607, ' No': -0.75804853, '\n': -3.7085354, 'No': -4.2751055, 'Yes': -4.754686}
{' No': -0.05285969, '\n': -3.5430138, ' ': -6.8105206, 'No': -4.1273456, ' Yes': -5.492854}
{' Yes': -0.6911549, ' No': -0.88605535, '\n': -2.7652743, 'Yes': -4.6701646, 'No': -4.8749013}
{' No': -0.03031689, 'No': -3.7092297, '\n': -5.487993, ' Yes': -7.4179068, ' ': -8.177178}
{' No': -0.16808246, '\n': -3.823991, 'No': -4.156877, ' Yes': -2.2259073, 'Yes': -6.1955385}
{' No': -0.0189275, '\n': -6.318248, ' ': -9.343959, 'No': -4.291129, ' Yes': -5.8058934}
{' No': -1.9821521, '\n': -3.697692, 'No': -4.303031, ' Yes': -0.24001424, 'Yes': -3.3271685}
{' No': -0.6614223, '\n': -1.2795635, 'No': -3.1798606, ' Yes': -2.170225, ' Hospital': -3.292173}
{' No': -0.8919331, ' Yes': -1.1423107, '\n': -1.5437274, 'No': -3.3142505, 'Yes': -4.103685}
{' No': -0.087067895, 'No': -2.9775057, '\n': -3.794759, ' Yes': -4.862447, ' ': -7.3676443}
{' No': -0.78448594, ' Yes': -0.8139526, '\n': -2.7937405, 'No': -3.9633515, 'Yes': -4.620618}
{' No': -0.53268826, '\n': -3.769682, 'No': -4.4108734, ' Yes': -0.98974055, 'Yes': -5.260807}
{' Yes': -0.22173657, ' No': -2.339086, '\n': -2.690849, 'Yes': -3.6617732, 'No': -5.0167003}
{' No': -0.45537907, '\n': -1.4241958, 'No': -2.5702052, ' Unfortunately': -3.6680577, ' Yes': -4.67259}
{' No': -4.010577, '\n': -2.3678827, ' ': -6.1508822, ' Yes': -0.16508207, 'Yes': -3.360574}
{' No': -0.44463512, '\n': -1.479038, 'No': -2.324005, ' Yes': -4.9179244, ' Unfortunately': -4.11828}
{' No': -0.8449526, ' Yes': -0.92187214, '\n': -2.104003, 'No': -3.61896, 'Yes': -4.267245}
{' No': -0.8277359, ' Yes': -1.2488251, '\n': -1.4934902, 'No': -3.440746, 'Yes': -4.4997997}
{' Yes': -0.023652023, 'Yes': -4.3139462, ' No': -5.042424, '\n': -5.7976904, 'No': -8.771237}
{' No': -6.1577597, '\n': -6.383433, ' Yes': -0.024764001, 'Yes': -3.9779518, ' Doctor': -6.924088}
{' Yes': -0.35418284, ' Sur': -1.429073, 'Yes': -3.804275, ' No': -4.003593, '\n': -4.563131}
{' No': -0.036590993, 'No': -3.448433, '\n': -5.7593, ' Yes': -7.657652, ' ': -8.086264}
{' Yes': -0.089615636, ' No': -3.0557868, ' Patient': -3.8724122, 'Yes': -4.6216135, '\n': -5.2938714}
{' No': -0.051207706, '\n': -6.4456124, 'No': -4.517289, ' Yes': -3.3028288, 'Yes': -7.824826}
{' No': -0.04540066, '\n': -5.566896, 'No': -4.119274, ' Yes': -3.7453895, 'Yes': -7.760864}
{' No': -0.32499084, '\n': -4.8035197, 'No': -4.0164237, ' Yes': -1.4022555, 'Yes': -5.7468467}
{' No': -0.11192597, '\n': -2.949584, ' Hospital': -3.8059735, 'No': -3.8630054, ' Yes': -5.0305223}
{' No': -0.038871214, 'No': -3.6750538, '\n': -4.568969, ' Yes': -6.4395747, ' ': -7.7877226}
{' No': -0.19846003, '\n': -2.802603, 'No': -4.1799703, ' Yes': -2.4479165, ' Patient': -4.308417}
{' No': -0.021408184, '\n': -5.779405, ' ': -8.527091, 'No': -4.6952877, ' Yes': -4.760288}
{' No': -0.024176288, 'No': -4.076281, ' Yes': -5.112534, '\n': -7.292275, 'Yes': -9.257676}
{' No': -0.051235557, '\n': -6.025005, 'No': -4.370177, ' Yes': -3.7896235, ' Doctor': -4.5020733}
{' No': -0.020714475, '\n': -6.0569158, 'No': -4.211676, ' Yes': -7.435927, ' Hospital': -6.199051}
{' No': -0.060403056, ' Yes': -3.3985834, 'No': -4.3216105, '\n': -4.7576838, ' Sur': -6.193946}
{' No': -0.014070844, '\n': -5.7680855, 'No': -4.801855, ' Yes': -6.3536167, ' Patient': -8.293158}
{' No': -0.0071037426, '\n': -9.223585, ' ': -10.563288, 'No': -4.9798093, ' Yes': -9.655971}
{' No': -6.64668, '\n': -5.730235, ' Yes': -0.0260728, ' The': -8.104295, 'Yes': -3.8858483}
{' No': -3.1132965, '\n': -3.504078, 'No': -5.7416124, ' Yes': -0.116793126, 'Yes': -3.6176682}
{'\n': -0.77476144, ' No': -0.8347724, 'No': -2.8895476, ' Yes': -3.776045, ' Unfortunately': -4.713825}
{' Yes': -0.71116954, ' No': -1.4771646, '\n': -1.5183614, 'Yes': -3.5589457, 'No': -3.8382103}
{' No': -0.32845548, 'No': -2.008946, '\n': -2.2101982, ' Unfortunately': -4.051825, ' Not': -5.117924}
{' No': -0.17849797, 'No': -2.800259, '\n': -2.8493218, ' Yes': -3.2779145, ' Unfortunately': -6.1269784}
{' Yes': -0.20522207, ' No': -1.8034791, 'Yes': -4.5088983, '\n': -5.1520886, 'No': -5.6330495}
{' No': -1.7765367, '\n': -5.196747, ' Yes': -0.22033465, 'Yes': -4.6741195, ' Doctor': -4.6741424}
{' No': -0.16276535, ' Hospital': -2.1692598, '\n': -3.890497, 'No': -4.5251884, ' ': -6.28622}
{' No': -0.072235756, '\n': -3.3275762, 'No': -3.9124973, ' Yes': -4.938647, ' Sur': -5.328139}
{' No': -0.024454344, 'No': -3.9265459, '\n': -5.5001774, ' ': -8.392111, ' Yes': -9.82884}
{' No': -0.021280378, '\n': -4.9047623, 'No': -4.631849, ' Yes': -6.0616493, ' Patient': -6.8261833}
{' Yes': -0.43967116, ' No': -1.3534439, '\n': -2.7970283, 'Yes': -4.020264, 'No': -4.7731233}
{' No': -0.5267488, ' Yes': -1.2554818, ' Doctor': -2.608736, 'No': -3.891441, '\n': -4.0301094}
{' No': -0.3325599, ' Hospital': -1.7449535, '\n': -3.1319947, 'No': -3.6341496, ' Yes': -4.34843}
{' Yes': -0.86501, ' Sur': -1.2741915, '\n': -1.7919433, ' No': -2.6322277, 'Yes': -4.161767}
{' No': -0.041136, 'No': -3.6782897, '\n': -5.0403004, ' Yes': -5.058552, ' ': -7.1947923}
{'Pat': -3.2124195, ' No': -0.2649574, '\n': -3.1681402, ' Pat': -2.9284248, ' Yes': -3.096645}
{' No': -0.04482724, '\n': -5.309798, ' ': -7.701395, 'No': -4.1156683, ' Yes': -3.8489234}
{' No': -3.06678, '\n': -3.2132149, ' Yes': -0.22924444, ' Nurse': -2.4358788, 'Yes': -3.8357282}
{' Yes': -0.37149423, ' Doctor': -1.4599874, ' No': -3.1030595, '\n': -4.166694, 'Yes': -4.711086}
{' No': -0.7333674, ' Not': -4.324865, '\n': -3.3348458, 'No': -3.949986, ' Hospital': -0.87754583}
{' No': -3.271292, '\n': -2.4040606, ' surgeon': -3.8466315, ' Yes': -1.5710986, ' Sur': -0.50493276}
{' No': -0.044763718, '\n': -5.3257847, ' ': -7.146316, 'No': -3.3771858, ' Yes': -6.4324236}
{'Pat': -4.1575484, ' No': -0.0986838, 'No': -4.0802717, ' Pat': -3.5322008, ' Yes': -4.4404225}
{' No': -0.035225194, '\n': -5.6519284, ' ': -7.7933817, 'No': -4.1885986, ' Yes': -4.224642}
{' No': -0.13983834, ' Yes': -2.8166513, 'No': -3.1220372, '\n': -3.8573713, 'Yes': -5.9318094}
{' No': -1.6064515, '\n': -3.9613307, 'No': -4.566424, ' Yes': -0.29766893, 'Yes': -3.8374484}
{' No': -0.08464111, '\n': -3.4878185, 'No': -3.703961, ' Hospital': -3.9921138, ' Yes': -5.504383}
{' No': -0.43380225, ' Sur': -1.5178915, '\n': -2.6178937, ' Yes': -3.8165762, 'No': -3.965239}
{' No': -0.04729871, '\n': -5.212227, ' ': -7.261011, 'No': -3.294058, ' Yes': -6.3997107}
{' No': -0.22950885, 'Pat': -3.012103, ' Pat': -3.0855112, ' Patient': -3.2175896, '\n': -3.635753}
{' No': -0.019106831, 'No': -4.288468, ' Yes': -5.972102, '\n': -6.05931, ' ': -8.804274}
{' Yes': -0.3924391, ' No': -1.5251714, ' Nurse': -3.0742016, '\n': -3.3314517, 'Yes': -4.204031}
{' No': -1.7617209, '\n': -3.8923151, ' Yes': -0.4079116, 'Yes': -4.8471527, ' Doctor': -2.0884764}
{' Hospital': -0.6324327, ' No': -0.9385736, '\n': -3.3359945, ' Yes': -4.244241, 'No': -4.7614884}
{' Sur': -0.48327813, ' No': -1.9848689, ' Yes': -2.026037, '\n': -2.5106275, ' surgeon': -4.704758}
{' No': -0.02519417, 'No': -4.0112853, '\n': -5.4466877, ' Yes': -7.528884, ' ': -7.580596}
{' No': -0.35654786, ' Yes': -2.6339087, ' Pat': -2.9672577, ' Patient': -2.9687552, '\n': -3.026437}
{' No': -0.027854934, ' Yes': -4.3617973, 'No': -4.6569614, '\n': -5.560188, ' The': -7.602697}
{' Yes': -0.12013794, '\n': -2.7059953, 'Yes': -3.2515333, ' No': -5.3024383, ' ': -6.430276}
{' No': -0.9144323, '\n': -1.7606714, 'No': -3.4787729, ' Yes': -0.97951114, 'Yes': -4.065601}
{' No': -0.8203365, '\n': -0.7180759, ' ': -4.7343874, 'No': -3.0391572, ' Yes': -4.998355}
{' No': -2.363532, '\n': -0.50974935, ' ': -4.7520685, ' Yes': -1.3236932, 'Yes': -3.980563}
{' No': -0.17801984, 'No': -2.5034077, '\n': -2.6134503, ' Unfortunately': -5.6573625, ' ': -6.548936}
{' No': -0.3893567, '\n': -1.5590345, 'No': -2.6791039, ' Yes': -3.6169434, ' Unfortunately': -5.5225086}
{' No': -0.44504133, '\n': -1.2839677, 'No': -2.7397056, ' Yes': -4.550924, ' ': -5.8386545}
{' No': -4.716173, '\n': -1.7855968, ' ': -5.1213303, ' Yes': -0.24433346, 'Yes': -3.4596217}
{' No': -3.1031394, '\n': -1.3541502, ' ': -4.9059196, ' Yes': -0.44905052, 'Yes': -3.2578974}
