{' No': -4.598474, ' ': -9.216443, 'No': -9.476094, ' Yes': -0.012219787, 'Yes': -6.315896}
{' ': -10.5325365, ' Generally': -10.505927, ' Yes': -0.0018720418, ' yes': -9.998317, 'Yes': -6.3445306}
{' No': -11.453594, ' ': -10.187044, ' Yes': -0.0019300287, ' yes': -10.162869, 'Yes': -6.30062}
{' No': -0.014300214, ' ': -9.7329855, ' Generally': -6.488066, 'No': -4.5509953, ' Yes': -6.241244}
{' No': -4.8176355, ' ': -9.447568, 'No': -9.484205, ' Yes': -0.01045544, 'Yes': -6.2001314}
{' No': -0.006606162, ' ': -9.418329, 'No': -5.046235, ' A': -11.263876, ' Yes': -9.979767}
{' No': -0.16272938, ' ': -8.44182, 'No': -5.3754234, ' Yes': -1.932789, 'Yes': -8.026285}
{' No': -5.7542825, ' ': -9.413847, ' Yes': -0.00495968, ' yes': -9.746796, 'Yes': -6.4487767}
{' No': -7.7085977, ' Generally': -8.9691515, ' Yes': -0.0029805184, ' yes': -9.451745, 'Yes': -6.119487}
{' No': -6.945776, ' ': -9.091202, ' Yes': -0.0031815886, ' yes': -9.770445, 'Yes': -6.213726}
{' No': -12.934684, ' ': -10.166101, ' Yes': -0.0018292262, ' yes': -10.012733, 'Yes': -6.35527}
{' Yes': -0.0019188006, 'Yes': -6.3464923, ' Generally': -9.657233, ' yes': -9.9044695, ' ': -10.430321}
{' No': -11.012086, ' ': -10.20313, ' Yes': -0.0018670856, ' yes': -9.965026, 'Yes': -6.345651}
{' No': -0.033318643, 'No': -4.3851213, ' Yes': -4.48273, ' Generally': -4.7798414, ' Typically': -8.317435}
{' No': -3.6908605, ' ': -9.356472, 'No': -8.507408, ' Yes': -0.027646948, 'Yes': -6.272945}
{' No': -0.0055317227, ' ': -9.693193, 'No': -5.218144, ' A': -11.888175, ' Yes': -10.635122}
{' No': -0.0718821, ' ': -8.999013, 'No': -5.422083, ' Yes': -2.7404401, 'Yes': -8.865275}
{' No': -4.8027515, ' ': -9.470798, ' Yes': -0.009971716, ' yes': -9.845808, 'Yes': -6.4966645}
{' No': -6.50688, ' Generally': -8.196606, ' Yes': -0.0040900526, ' yes': -9.562776, 'Yes': -6.165196}
{' No': -7.870822, ' ': -9.439839, ' Yes': -0.002269653, ' yes': -10.0077305, 'Yes': -6.352758}
{' No': -12.82261, ' ': -10.370675, ' Yes': -0.0016132033, ' yes': -10.212884, 'Yes': -6.4775157}
{' ': -10.63423, ' Generally': -9.68961, ' Yes': -0.0016480704, ' yes': -10.0832, 'Yes': -6.502354}
{' No': -11.2961645, ' ': -10.299008, ' Yes': -0.0017164304, ' yes': -10.190396, 'Yes': -6.4222007}
{' No': -0.014466501, ' Generally': -5.9129453, ' Typically': -9.306799, 'No': -4.67595, ' Yes': -6.159203}
{' No': -4.324683, 'No': -8.867256, ' A': -8.913017, ' Yes': -0.016197963, 'Yes': -6.0919805}
{' No': -0.0069595613, ' ': -9.853425, 'No': -5.0049562, ' A': -9.736001, ' Yes': -9.266814}
{' No': -0.13775705, ' Yes': -2.1083744, 'No': -5.179513, ' A': -7.136391, ' Generally': -7.9852014}
{' Yes': -0.014721186, ' No': -4.396494, 'Yes': -6.2879753, ' A': -8.548108, 'No': -9.3790655}
{' An': -8.113329, ' No': -6.9454904, ' Generally': -7.2441087, ' Yes': -0.0046050674, 'Yes': -6.0500093}
{' No': -6.4748583, ' ': -9.375911, ' Generally': -9.319263, ' Yes': -0.003813705, 'Yes': -6.253852}
{' Yes': -0.0016480704, 'Yes': -6.465967, ' yes': -9.92371, ' ': -10.534311, ' An': -11.886666}
{' Generally': -8.584733, ' A': -10.962712, ' Yes': -0.0019732038, ' yes': -9.78567, 'Yes': -6.3887844}
{' No': -10.318669, ' ': -10.533315, ' Yes': -0.0017002518, ' yes': -9.980899, 'Yes': -6.4555235}
{' No': -0.051169872, ' Generally': -3.7749133, ' Typically': -7.5540686, 'No': -4.288736, ' Yes': -4.423139}
{' No': -2.015303, ' Generally': -7.962858, 'No': -6.046982, ' Yes': -0.15069617, 'Yes': -5.711153}
{' No': -0.010608198, ' ': -9.715596, 'No': -4.567222, ' A': -10.363666, ' Yes': -9.747184}
{' No': -0.17967866, 'No': -4.9008603, ' A': -7.4763684, ' Yes': -1.8613288, 'Yes': -7.550362}
{' No': -5.4940753, ' A': -9.016764, ' Yes': -0.0072819865, ' yes': -9.350454, 'Yes': -5.8761797}
{' An': -6.9153404, ' No': -5.349318, ' Generally': -6.2358456, ' Yes': -0.012425016, 'Yes': -5.4940057}
{' No': -7.700837, ' ': -9.431527, ' Yes': -0.0038867646, ' yes': -9.4157095, 'Yes': -5.765624}
{' YES': -12.871539, ' ': -10.492042, ' Yes': -0.0031913365, ' yes': -9.720259, 'Yes': -5.779997}
{' Generally': -8.299962, ' A': -10.510135, ' Yes': -0.002913148, ' yes': -9.457806, 'Yes': -5.9862976}
{' No': -10.503937, ' ': -10.551844, ' Yes': -0.0024404083, ' yes': -9.943674, 'Yes': -6.065459}
{' No': -0.10984849, ' Generally': -3.4209712, ' Typically': -7.3318486, 'No': -3.9862444, ' Yes': -2.9721339}
{' No': -3.8473322, 'No': -8.365835, ' A': -8.644737, ' Yes': -0.025223324, 'Yes': -5.89634}
{' No': -0.008851745, ' ': -8.862033, 'No': -4.7664466, ' A': -9.8157, ' Yes': -9.336617}
{' No': -0.20308873, ' ': -7.392139, 'No': -5.188846, ' Yes': -1.7345239, 'Yes': -7.3444247}
{' No': -6.460877, ' ': -8.509452, ' Yes': -0.0048843287, ' yes': -8.775805, 'Yes': -5.888722}
{' An': -8.809073, ' No': -8.453072, ' Generally': -7.8377624, ' Yes': -0.0040126084, 'Yes': -5.8240423}
{' Yes': -0.0037494467, 'Yes': -5.802089, ' No': -7.906896, ' ': -8.69051, ' yes': -8.942751}
{' YES': -12.861142, ' ': -9.833113, ' Yes': -0.0024854608, ' yes': -9.4739, 'Yes': -6.0555415}
{' ': -10.032692, ' Generally': -9.311789, ' Yes': -0.0028145746, ' yes': -9.167764, 'Yes': -5.9753003}
{' ': -9.78597, ' Yes': -0.0024579132, ' yes': -9.417911, 'Yes': -6.0718584, 'yes': -12.789839}
{' No': -0.45851317, ' Generally': -3.1573637, ' Typically': -6.304527, 'No': -4.523573, ' Yes': -1.171526}
{' No': -4.4984183, 'No': -9.294097, ' A': -9.314471, ' Yes': -0.013463876, 'Yes': -6.28334}
{' No': -0.0064727915, 'No': -5.1079035, ' Yes': -8.352984, ' ': -9.412667, ' A': -9.763833}
{' No': -0.18619034, 'No': -5.436438, ' A': -7.401137, ' Yes': -1.8078523, 'Yes': -7.833346}
{' No': -5.1199718, ' ': -9.292186, ' A': -8.769145, ' Yes': -0.008164888, 'Yes': -6.3266535}
{' An': -9.348217, ' No': -8.918573, ' Generally': -8.602621, ' Yes': -0.0024230808, 'Yes': -6.279034}
{' Yes': -0.0025017718, 'Yes': -6.2992444, ' No': -7.700797, ' ': -9.467908, ' yes': -9.785974}
{' Yes': -0.001588485, 'Yes': -6.499807, ' yes': -10.055869, ' ': -10.463927, ' An': -12.138312}
{' ': -10.538352, ' Generally': -9.201304, ' Yes': -0.001637979, ' yes': -9.915626, 'Yes': -6.5469084}
{' No': -10.996954, ' ': -10.275051, ' Yes': -0.0015834725, ' yes': -10.065495, 'Yes': -6.5207977}
{' No': -0.04499594, ' Generally': -4.3866115, ' Typically': -7.7521906, 'No': -4.5336337, ' Yes': -3.9247355}
{' No': -3.459197, ' Generally': -7.2030725, ' A': -7.2516336, ' Yes': -0.036833815, 'Yes': -5.974339}
{' No': -0.0072065187, ' ': -9.2439785, ' Generally': -9.738604, 'No': -4.9846635, ' A': -8.923283}
{' No': -0.21282649, ' Generally': -6.8985424, 'No': -5.1004815, ' A': -5.896475, ' Yes': -1.7107111}
{' Yes': -0.0052604326, ' No': -6.09971, 'Yes': -6.115873, ' A': -7.600087, ' yes': -9.031168}
{' An': -6.2900767, ' No': -7.1938505, ' Generally': -5.74191, ' Yes': -0.00931128, 'Yes': -5.940784}
{' An': -8.293209, ' No': -7.666202, ' Generally': -8.373279, ' Yes': -0.0035819986, 'Yes': -6.05348}
{' An': -11.2319145, ' ': -9.990143, ' Yes': -0.0018541868, ' yes': -9.69417, 'Yes': -6.363983}
{' Generally': -7.458334, ' A': -9.633938, ' Yes': -0.0028232432, ' yes': -9.298014, 'Yes': -6.206756}
{' ': -10.011771, ' A': -10.561043, ' Yes': -0.0019480649, ' yes': -9.588797, 'Yes': -6.3312783}
{' No': -0.42939302, ' Generally': -1.6162235, ' Typically': -4.9496603, 'No': -4.469653, ' Yes': -2.0883684}
{' No': -3.452309, 'No': -8.341373, ' A': -8.004187, ' Yes': -0.035164133, 'Yes': -6.2744746}
{' No': -0.0050569056, ' ': -9.905764, 'No': -5.3164105, ' A': -9.974051, ' Yes': -10.881878}
{' No': -0.078304976, 'No': -5.4476686, ' A': -7.3835416, ' Yes': -2.6604488, 'Yes': -8.66154}
{' Yes': -0.003303518, ' No': -6.461506, 'Yes': -6.4948153, ' A': -9.351123, ' yes': -9.597312}
{' An': -9.388969, ' No': -7.9919415, ' Generally': -8.096178, ' Yes': -0.0026095165, 'Yes': -6.3578506}
{' No': -7.957206, ' ': -9.815077, ' Yes': -0.0019319399, ' yes': -9.969773, 'Yes': -6.5450206}
{' An': -12.864851, ' ': -10.629578, ' Yes': -0.001255418, ' yes': -10.043785, 'Yes': -6.7430196}
{' ': -10.904571, ' Generally': -8.979239, ' Yes': -0.0015402505, ' yes': -9.930812, 'Yes': -6.6307135}
{' No': -11.258014, ' ': -10.622245, ' Yes': -0.0014644404, ' yes': -10.031861, 'Yes': -6.5962577}
{' No': -0.079432234, ' Generally': -3.3831983, ' Yes': -3.5072274, 'No': -4.6013155, ' Typically': -6.7777047}
{' Yes': -0.16431364, ' No': -1.9167284, 'Yes': -6.3882246, 'No': -6.8708487, ' A': -7.145585}
{' No': -0.0048632445, ' ': -9.64681, ' Generally': -11.013064, 'No': -5.3562045, ' A': -10.046305}
{' No': -0.06508012, ' Generally': -8.196715, 'No': -5.4403696, ' A': -6.988269, ' Yes': -2.863437}
{' No': -4.9837313, ' A': -7.1400666, ' Yes': -0.009638976, ' yes': -9.1247, 'Yes': -6.3932333}
{' An': -7.938922, ' No': -7.031322, ' Generally': -6.926448, ' Yes': -0.0042645265, 'Yes': -6.3400035}
{' No': -7.001305, ' ': -8.960073, ' Generally': -9.47691, ' Yes': -0.0027589288, 'Yes': -6.4914494}
{' An': -11.677645, ' ': -10.153048, ' Yes': -0.0012807831, ' yes': -9.912834, 'Yes': -6.7459855}
{' Generally': -8.146136, ' A': -10.010501, ' Yes': -0.0017634239, ' yes': -9.588891, 'Yes': -6.635094}
{' ': -10.30325, ' A': -10.814517, ' Yes': -0.0014049263, ' yes': -9.780551, 'Yes': -6.6674695}
{' No': -0.30586797, ' Generally': -2.0339735, ' Yes': -2.1520422, 'No': -4.8392563, ' Typically': -5.4975104}
{' No': -3.1997757, 'No': -8.009057, ' A': -8.054579, ' Yes': -0.04489151, 'Yes': -6.191505}
{' No': -0.0052903313, 'No': -5.2666216, ' ': -9.832229, ' A': -10.284068, ' Yes': -11.376379}
{' No': -0.15323272, 'No': -5.4787025, ' A': -7.283653, ' Yes': -1.9913331, 'Yes': -8.018751}
{' No': -7.1279855, ' A': -9.887833, ' Yes': -0.0024765558, ' yes': -9.715677, 'Yes': -6.4963155}
{' No': -8.5400915, ' Generally': -7.8927298, ' Yes': -0.0025839382, ' yes': -9.428096, 'Yes': -6.3322344}
{' Yes': -0.0017024615, 'Yes': -6.5450006, ' No': -9.074775, ' yes': -9.795628, ' ': -9.816606}
{' Yes': -0.0013016127, 'Yes': -6.7020173, ' yes': -10.069686, ' ': -10.62992, ' YES': -13.141035}
{' Yes': -0.001741269, 'Yes': -6.5382285, ' Generally': -8.57102, ' yes': -9.855964, ' ': -10.85927}
{' ': -10.645043, ' A': -11.640036, ' Yes': -0.0014830022, ' yes': -10.001207, 'Yes': -6.5774946}
{' No': -0.4182926, ' Yes': -1.4701477, ' Generally': -2.322042, 'No': -4.922668, ' Typically': -5.7056937}
{' No': -2.1928682, 'No': -6.8332505, ' A': -6.4583693, ' Yes': -0.1252832, 'Yes': -6.0019083}
{' No': -0.006350477, ' ': -9.493458, ' Generally': -10.7887, 'No': -5.10113, ' A': -9.030229}
{' No': -0.11305375, ' Generally': -7.643077, 'No': -5.21042, ' A': -5.881349, ' Yes': -2.3280559}
{' Yes': -0.007862423, ' No': -5.392723, 'Yes': -6.0698647, ' A': -7.2352314, ' yes': -9.059259}
{' An': -5.462506, ' No': -5.954109, ' Generally': -5.4129434, ' Yes': -0.015516919, 'Yes': -5.9120846}
{' An': -8.127308, ' No': -7.536013, ' Generally': -9.00416, ' Yes': -0.0033706806, 'Yes': -6.133524}
{' An': -10.706058, ' ': -10.243379, ' Yes': -0.0016609647, ' yes': -9.649125, 'Yes': -6.4836817}
{' Generally': -7.701884, ' A': -9.462457, ' Yes': -0.0026919881, ' yes': -9.280011, 'Yes': -6.2106347}
{' Yes': -0.0018989736, 'Yes': -6.351344, ' yes': -9.535117, ' ': -10.349902, ' A': -10.442385}
{' No': -0.5782329, ' Yes': -1.4889346, ' Generally': -1.6581012, 'No': -4.7336435, ' Typically': -5.3227777}
{' No': -3.0111966, ' Generally': -7.234308, ' A': -7.183857, ' Yes': -0.054770034, 'Yes': -6.24757}
{' No': -0.0052009346, 'No': -5.300109, ' A': -9.332452, ' ': -9.905103, ' Generally': -10.39165}
{' No': -0.10916831, ' Yes': -2.3495247, 'No': -5.266198, ' A': -6.2939177, ' Generally': -7.524226}
{' No': -6.046817, ' A': -7.660184, ' Yes': -0.0047412454, ' yes': -9.24256, 'Yes': -6.381593}
{' An': -6.972456, ' No': -7.9483695, ' Generally': -6.2359986, ' Yes': -0.0056499215, 'Yes': -6.2481656}
{' An': -8.882639, ' No': -8.076664, ' Generally': -9.051566, ' Yes': -0.0023251525, 'Yes': -6.4312434}
{' An': -11.692888, ' ': -10.870169, ' Yes': -0.001239782, ' yes': -10.0085, 'Yes': -6.75822}
{' Yes': -0.001995065, 'Yes': -6.513397, ' Generally': -7.8851414, ' yes': -9.594021, ' A': -10.362265}
{' ': -10.799746, ' A': -11.066229, ' Yes': -0.00136434, ' yes': -9.892347, 'Yes': -6.676164}
{' No': -0.70060307, ' Generally': -1.4558368, ' Typically': -5.0130763, 'No': -4.945638, ' Yes': -1.394817}
{' No': -6.9975815, ' A': -8.742432, ' Yes': -0.0041733654, ' yes': -8.546352, 'Yes': -5.941925}
{' No': -0.038172156, ' ': -7.8551846, 'No': -4.7084827, ' A': -6.691183, ' Yes': -3.6338904}
{' No': -2.7040932, 'No': -7.557904, ' A': -6.7465734, ' Yes': -0.07509741, 'Yes': -5.860028}
{' ': -9.435956, ' A': -9.317826, ' Yes': -0.0025231643, ' yes': -8.908134, 'Yes': -6.1341834}
{' An': -7.9074297, ' Generally': -7.115044, ' Yes': -0.0043883263, ' yes': -8.6555605, 'Yes': -5.8757677}
{' Yes': -0.0030783296, 'Yes': -5.889394, ' yes': -9.0394945, ' ': -9.2868185, ' No': -10.208314}
{' YES': -12.4584255, ' ': -10.163284, ' Yes': -0.0020797546, ' yes': -9.426651, 'Yes': -6.240763}
{' Generally': -9.202058, ' A': -9.926283, ' Yes': -0.0026941395, ' yes': -9.086359, 'Yes': -6.0381}
{' ': -10.299341, ' A': -10.4183, ' Yes': -0.0022778378, ' yes': -9.207962, 'Yes': -6.1647997}
{' No': -2.9400096, ' Generally': -2.49978, ' Typically': -5.720582, ' Yes': -0.15762843, 'Yes': -5.9008245}
{' No': -7.048068, ' ': -9.600455, ' Yes': -0.0028721401, ' yes': -9.520457, 'Yes': -6.3255777}
{' No': -0.006065889, 'No': -5.2549233, ' Yes': -7.459645, ' ': -8.740681, ' A': -9.723304}
{' Yes': -0.13634726, ' No': -2.085793, 'Yes': -6.3557796, 'No': -7.338386, ' ': -7.794576}
{' No': -9.080218, ' ': -9.77462, ' Yes': -0.0016515312, ' yes': -9.820977, 'Yes': -6.5664763}
{' No': -9.649318, ' Generally': -8.855956, ' Yes': -0.0022543005, ' yes': -9.467623, 'Yes': -6.2797737}
{' No': -9.61957, ' ': -9.607616, ' Yes': -0.0019079911, ' yes': -9.901016, 'Yes': -6.3745484}
{' YES': -13.445477, ' ': -10.490982, ' Yes': -0.0015800118, ' yes': -10.272149, 'Yes': -6.4940915}
{' Yes': -0.0015495638, 'Yes': -6.5505586, ' Generally': -10.082774, ' yes': -10.108583, ' ': -10.605653}
{' No': -12.486452, ' ': -10.384831, ' Yes': -0.0015202524, ' yes': -10.153662, 'Yes': -6.5444503}
{' No': -0.09306577, ' Generally': -3.994431, ' Typically': -7.33642, 'No': -4.488316, ' Yes': -2.8571591}
{' Yes': -0.003962279, 'Yes': -6.1960163, ' No': -6.5669484, ' yes': -8.864839, ' ': -8.8725}
{' No': -0.010664585, ' ': -8.070834, 'No': -5.1104817, ' A': -8.128081, ' Yes': -5.555506}
{' No': -2.5030756, ' ': -7.3929296, ' A': -7.4588857, ' Yes': -0.08988283, 'Yes': -6.149266}
{' No': -8.973539, ' ': -8.951883, ' Yes': -0.0021786152, ' yes': -9.102039, 'Yes': -6.3672366}
{' Yes': -0.0029478187, 'Yes': -6.191052, ' Generally': -7.7127333, ' yes': -8.972283, ' ': -9.07341}
{' No': -9.690732, ' ': -8.89874, ' Yes': -0.0022899662, ' yes': -9.315356, 'Yes': -6.2304544}
{' An': -12.880436, ' ': -9.823499, ' Yes': -0.0016820412, ' yes': -9.615182, 'Yes': -6.468156}
{' ': -10.17417, ' Generally': -9.015788, ' Yes': -0.0019891525, ' yes': -9.350468, 'Yes': -6.379928}
{' ': -9.915057, ' A': -11.165583, ' Yes': -0.0018322129, ' yes': -9.52935, 'Yes': -6.3851666}
{' Yes': -0.28517056, ' No': -1.7851743, ' Generally': -2.6759844, ' Typically': -5.948407, 'No': -6.046376}
{' No': -6.655443, ' Generally': -8.559436, ' Yes': -0.0038022168, ' yes': -8.955554, 'Yes': -6.2399826}
{' No': -0.0077388124, ' ': -8.657987, 'No': -5.1539807, ' A': -8.410577, ' Yes': -6.550469}
{' No': -1.7038242, 'No': -6.888703, ' A': -7.0221186, ' Yes': -0.20702852, 'Yes': -6.220179}
{' Yes': -0.0020100554, 'Yes': -6.406398, ' No': -9.239867, ' yes': -9.263095, ' ': -9.41603}
{' Yes': -0.0032696733, 'Yes': -6.2899666, ' Generally': -7.065329, ' An': -8.423437, ' yes': -9.046549}
{' No': -9.80117, ' ': -9.43069, ' Yes': -0.0019595276, ' yes': -9.48056, 'Yes': -6.381718}
{' YES': -13.083255, ' ': -10.301456, ' Yes': -0.0014973889, ' yes': -9.778305, 'Yes': -6.5712585}
{' Yes': -0.0020356765, 'Yes': -6.382757, ' Generally': -8.58601, ' yes': -9.45838, ' A': -10.102762}
{' ': -10.481344, ' A': -11.603161, ' Yes': -0.0016289651, ' yes': -9.740559, 'Yes': -6.486797}
{' Yes': -0.560391, ' No': -1.3251597, ' Generally': -1.9169508, ' Typically': -5.205237, 'No': -5.643265}
{' No': -5.679979, ' ': -8.744749, ' Generally': -8.426699, ' Yes': -0.006382088, 'Yes': -6.081314}
{' No': -0.007294293, ' ': -8.565502, 'No': -5.030314, ' A': -9.241055, ' Yes': -7.8935738}
{' No': -0.69062525, ' Yes': -0.7089262, 'No': -5.8152223, 'Yes': -6.60783, ' ': -6.973948}
{' Yes': -0.002418061, 'Yes': -6.2953672, ' No': -8.494555, ' yes': -9.031837, ' A': -9.03822}
{' Yes': -0.003532709, 'Yes': -6.0540085, ' Generally': -7.261269, ' yes': -8.91601, ' An': -8.941473}
{' No': -10.478608, ' ': -9.298199, ' Yes': -0.0023638108, ' yes': -9.385839, 'Yes': -6.151388}
{' YES': -12.931917, ' ': -9.8646, ' Yes': -0.001749868, ' yes': -9.790172, 'Yes': -6.4161553}
{' ': -10.336016, ' Generally': -8.513607, ' Yes': -0.002380958, ' yes': -9.23823, 'Yes': -6.2142634}
{' ': -10.132978, ' A': -12.132011, ' Yes': -0.0017898141, ' yes': -9.629988, 'Yes': -6.3951244}
{' Yes': -0.768001, ' No': -0.87197644, ' Generally': -2.2756684, 'No': -5.094877, ' Typically': -5.6746836}
{' No': -6.019656, ' Generally': -7.904161, ' A': -8.649312, ' Yes': -0.005834324, 'Yes': -6.000047}
{' No': -0.010930234, 'No': -4.9055643, ' Yes': -5.933432, ' A': -7.919282, ' ': -8.402436}
{' No': -2.5233858, 'No': -7.3569164, ' A': -7.009964, ' Yes': -0.089677826, 'Yes': -5.864309}
{' ': -9.492025, ' A': -9.636429, ' Yes': -0.002283574, ' yes': -9.039978, 'Yes': -6.2308564}
{' An': -8.176148, ' Generally': -6.5997577, ' Yes': -0.004392277, ' yes': -8.81788, 'Yes': -6.060973}
{' ': -9.212132, ' Generally': -9.875203, ' Yes': -0.0026614491, ' yes': -9.228476, 'Yes': -6.063725}
{' YES': -12.741851, ' ': -10.07934, ' Yes': -0.001838361, ' yes': -9.611616, 'Yes': -6.365173}
{' Generally': -8.097616, ' A': -9.83017, ' Yes': -0.002691868, ' yes': -9.152865, 'Yes': -6.132542}
{' ': -10.306025, ' A': -11.239111, ' Yes': -0.0020641072, ' yes': -9.430798, 'Yes': -6.2517924}
{' No': -1.910962, ' Generally': -1.7667474, ' Typically': -5.0346575, 'No': -5.9817977, ' Yes': -0.4092226}
{' No': -4.6416492, ' Generally': -7.160362, ' A': -7.725752, ' Yes': -0.013822549, 'Yes': -6.0527897}
{' No': -0.007349234, ' ': -8.748573, 'No': -5.045143, ' A': -8.2113285, ' Yes': -8.129799}
{' No': -0.6561412, 'No': -5.721971, ' A': -6.1316395, ' Yes': -0.7488861, 'Yes': -6.626911}
{' No': -7.9654126, ' A': -7.794886, ' Yes': -0.0031399145, ' yes': -8.867074, 'Yes': -6.1690235}
{' An': -7.083364, ' No': -8.577977, ' Generally': -5.9599986, ' Yes': -0.0064942683, 'Yes': -6.0682497}
{' Yes': -0.0023627342, 'Yes': -6.21387, ' yes': -9.254764, ' ': -9.268031, ' Generally': -9.719192}
{' Yes': -0.0015868159, 'Yes': -6.518314, ' yes': -9.66183, ' ': -10.209465, ' An': -12.56384}
{' Yes': -0.002517846, 'Yes': -6.2895226, ' Generally': -7.778208, ' yes': -9.1789, ' A': -9.41872}
{' Yes': -0.0018448106, 'Yes': -6.37681, ' yes': -9.465633, ' ': -10.334667, ' A': -10.677132}
{' No': -0.6610453, ' Generally': -1.6443865, ' Typically': -5.0144277, 'No': -4.9024963, ' Yes': -1.3180563}
{' No': -6.522284, ' Generally': -8.286717, ' A': -8.782919, ' Yes': -0.004104295, 'Yes': -6.2257066}
{' No': -0.008409616, 'No': -5.056162, ' Yes': -6.5668325, ' A': -8.081826, ' ': -8.845832}
{' Yes': -0.19489478, ' No': -1.7656994, 'Yes': -6.14213, ' A': -6.5787067, 'No': -6.8229804}
{' No': -8.952511, ' A': -8.162806, ' Yes': -0.0024319822, ' yes': -9.080893, 'Yes': -6.3100452}
{' Yes': -0.004347734, 'Yes': -6.2451696, ' Generally': -6.471173, ' An': -7.7142134, ' yes': -8.911466}
{' No': -9.799538, ' ': -9.585658, ' Yes': -0.0020716926, ' yes': -9.494442, 'Yes': -6.3345532}
{' An': -13.002296, ' ': -10.47281, ' Yes': -0.001507777, ' yes': -9.84836, 'Yes': -6.557803}
{' Generally': -8.073396, ' A': -9.830938, ' Yes': -0.0022564516, ' yes': -9.413114, 'Yes': -6.339456}
{' Yes': -0.0016546353, 'Yes': -6.4736867, ' yes': -9.769963, ' ': -10.570535, ' A': -11.112575}
{' No': -1.3453482, ' Generally': -1.5854472, ' Typically': -4.9305453, ' A': -5.516767, ' Yes': -0.6641635}
{' No': -7.6320453, ' A': -8.611901, ' Yes': -0.004342648, ' yes': -8.462365, 'Yes': -5.7438884}
{' No': -0.017363727, ' Generally': -8.287614, 'No': -4.3899417, ' A': -7.33772, ' Yes': -5.610408}
{' No': -2.7289503, 'No': -7.2544703, ' A': -6.1521735, ' Yes': -0.075630076, 'Yes': -5.638754}
{' Yes': -0.0029870374, 'Yes': -5.992464, ' A': -8.534699, ' yes': -8.747794, ' No': -9.830841}
{' An': -6.9542637, ' No': -8.303186, ' Generally': -5.8257556, ' Yes': -0.0087381, 'Yes': -5.590416}
{' An': -8.548388, ' No': -7.691841, ' Generally': -8.621435, ' Yes': -0.0042958944, 'Yes': -5.7458267}
{' An': -11.540127, ' ': -10.736495, ' Yes': -0.0024521751, ' yes': -9.297589, 'Yes': -6.0691156}
{' Generally': -7.7340994, ' A': -9.995266, ' Yes': -0.0031958804, ' yes': -9.051344, 'Yes': -5.9766545}
{' ': -10.818786, ' A': -11.280161, ' Yes': -0.0022031637, ' yes': -9.287809, 'Yes': -6.185785}
{' No': -4.345592, ' Generally': -2.6254158, ' Typically': -5.853313, ' Yes': -0.0991877, 'Yes': -5.8090353}
{' No': -4.477916, ' ': -7.887458, ' A': -8.023329, ' Yes': -0.0174837, 'Yes': -5.4062853}
{' No': -0.016355475, ' ': -7.8722987, 'No': -4.246933, ' A': -7.977598, ' Yes': -6.950895}
{' No': -1.3962618, 'No': -5.63192, ' A': -5.818482, ' Yes': -0.3026052, 'Yes': -5.4513454}
{' No': -9.602905, ' ': -8.694735, ' Yes': -0.0042331005, ' yes': -8.433424, 'Yes': -5.5980115}
{' An': -8.27414, ' Generally': -7.35966, ' Yes': -0.0056186337, ' yes': -8.547498, 'Yes': -5.4640684}
{' ': -8.351051, ' Generally': -8.96232, ' Yes': -0.005004848, ' yes': -8.707643, 'Yes': -5.467331}
{' An': -11.771385, ' ': -9.426113, ' Yes': -0.0039292444, ' yes': -8.9504795, 'Yes': -5.602194}
{' ': -9.707929, ' Generally': -8.115587, ' Yes': -0.0039004078, ' yes': -8.852939, 'Yes': -5.71178}
{' ': -9.49843, ' A': -11.4133215, ' Yes': -0.0029679057, ' yes': -9.096661, 'Yes': -5.8971972}
{' No': -2.810263, ' Generally': -2.7888145, ' Typically': -6.0540137, ' Yes': -0.14155214, 'Yes': -5.691238}
{' Yes': -0.0028816431, 'Yes': -6.110866, ' No': -8.357698, ' yes': -8.622918, ' Generally': -9.272603}
{' No': -0.036652513, ' ': -7.8452387, 'No': -4.8117127, ' A': -6.6361094, ' Yes': -3.6655626}
{' No': -3.6305754, ' Generally': -7.9825172, ' A': -6.8663163, ' Yes': -0.031853277, 'Yes': -5.9307556}
{' ': -9.470914, ' A': -9.315035, ' Yes': -0.0021743726, ' yes': -8.843293, 'Yes': -6.312956}
{' Yes': -0.005051814, 'Yes': -5.910964, ' Generally': -6.554015, ' An': -7.9870896, ' yes': -8.569407}
{' ': -9.224122, ' Generally': -9.9461565, ' Yes': -0.0026166267, ' yes': -9.036194, 'Yes': -6.091907}
{' YES': -12.729985, ' ': -10.08347, ' Yes': -0.0018095803, ' yes': -9.474591, 'Yes': -6.3884096}
{' ': -10.61416, ' Generally': -8.249431, ' Yes': -0.0023169704, ' yes': -9.1180105, 'Yes': -6.278129}
{' ': -10.276525, ' A': -11.4536915, ' Yes': -0.0017549442, ' yes': -9.348803, 'Yes': -6.430593}
{' No': -3.0970335, ' Generally': -2.591571, ' Typically': -5.803149, ' Yes': -0.1382725, 'Yes': -6.1090384}
{' No': -6.2672396, ' Generally': -8.061975, ' A': -8.180465, ' Yes': -0.0050843433, 'Yes': -6.07677}
{' No': -0.008185862, ' Generally': -8.832185, 'No': -5.019344, ' A': -7.5883765, ' Yes': -7.230502}
{' No': -1.0121045, 'No': -5.977558, ' A': -5.5271554, ' Yes': -0.467177, 'Yes': -6.3280334}
