{' odd': -1.0022274, ' even': -1.436174, ' 0': -1.8854661, ' 1': -2.0356557, ':': -3.21948}
{' ': -3.5281997, ':': -4.7252984, ' odd': -2.7235932, ' 0': -4.774578, ' even': -0.17106475}
{' Odd': -4.7124376, ' 1': -5.1285305, ' odd': -0.18166052, ' 0': -4.542251, ' even': -2.1262338}
{':': -3.4399993, ' 1': -1.9701874, ' odd': -1.176428, ' 0': -1.7110541, ' even': -1.3278487}
{'\n': -3.9448464, ' 1': -3.842298, ' odd': -4.1396356, ' 0': -1.6053051, ' even': -0.4017023}
{' Odd': -4.394849, ' 1': -3.7428489, ' odd': -0.119390875, ' 0': -4.0806737, ' even': -3.2400544}
{' even': -0.16136178, ' 0': -2.5826063, ' ': -4.2673225, ':': -4.397541, '\n': -4.658245}
{' Odd': -4.7333293, ' 1': -3.7024112, ' odd': -0.13977781, ' 0': -3.9163587, ' even': -2.9072623}
{'\n': -4.9946127, ' Even': -5.100173, ' odd': -2.3266013, ' 0': -4.1435485, ' even': -0.17005749}
{' Odd': -5.5810037, ' 1': -5.310598, ' odd': -0.1741322, ' 0': -4.757951, ' even': -2.0968626}
{' ': -4.3791695, ':': -5.3453093, ' odd': -3.0576982, ' 0': -5.3934, ' even': -0.097331166}
{' Odd': -5.2043753, ' 1': -5.085719, ' odd': -0.10634335, ' 0': -4.7281103, ' even': -2.7149725}
{' odd': -1.0172967, ' even': -1.5862426, ' 0': -1.7918385, ' 1': -1.9881028, ':': -3.0388868}
{' even': -0.20180115, ' 0': -2.689716, ' 1': -3.9115856, ' odd': -3.9170501, ' ': -4.1664777}
{' odd': -0.08713826, ' even': -3.240977, ' Odd': -4.4898615, ' 1': -4.740218, ' 0': -5.040654}
{'\n': -4.5522256, ' ': -4.0555325, ' odd': -3.8065078, ' 0': -2.375323, ' even': -0.1988933}
{' Odd': -5.182939, ' 1': -3.354962, ' odd': -0.15961623, ' 0': -3.686977, ' even': -2.841089}
{'\n': -4.555916, ' 1': -4.4356413, ' odd': -2.2371988, ' 0': -2.3286374, ' even': -0.32062277}
{' odd': -0.28511104, ' even': -1.5161035, ' Odd': -5.1205764, ':': -5.9835587, ' not': -6.1529016}
{' even': -0.09746, ' odd': -3.3061514, ' ': -3.8442194, ':': -4.685336, ' Even': -5.190137}
{'\n': -5.3909597, ' 1': -4.4435225, ' odd': -0.22319151, ' 0': -3.8590882, ' even': -1.9734051}
{' odd': -1.1246638, ' 0': -1.5286298, ' 1': -1.6974739, ' even': -1.9380336, ':': -3.000196}
{' even': -0.3360249, ' 0': -1.9266565, ' odd': -3.3815224, ' 1': -3.4879482, '\n': -4.351317}
{' Odd': -3.7775185, ' 1': -2.9854395, ' odd': -0.120271035, ' 0': -4.3110986, ' even': -5.114442}
{' even': -0.33991578, ' 0': -1.6891302, ' odd': -3.8413498, '\n': -4.2190385, ' 1': -4.2398477}
{' odd': -0.05610125, ' even': -3.8475385, ' 1': -4.401077, ' Odd': -4.9379992, ' 0': -5.563208}
{' even': -0.13362034, ' odd': -2.5617323, ' 0': -4.5897818, ' Even': -4.7122946, ' ': -5.420247}
{' Odd': -4.751574, ':': -5.3637815, ' odd': -0.41946957, ' neither': -5.5926385, ' even': -1.1777933}
{' ': -4.252939, ':': -4.9867296, ' odd': -2.7267456, ' 0': -3.630448, ' even': -0.16252796}
{'\n': -5.280838, ' 1': -3.745367, ' odd': -0.22900307, ' 0': -3.3357506, ' even': -2.1794586}
{':': -3.2821198, ' 1': -2.1947517, ' odd': -1.0189848, ' 0': -1.5374852, ' even': -1.5687286}
{' even': -0.19943762, ' 0': -2.376774, '\n': -4.036934, ' ': -4.283928, ':': -4.4402704}
{' odd': -0.29958883, ' 1': -2.273277, ' 0': -2.8005376, ' even': -3.3015294, '\n': -4.807093}
{'\n': -4.6633453, ' ': -4.2476773, ' odd': -4.0623837, ' 0': -2.7446709, ' even': -0.15339573}
{' odd': -0.08696328, ' even': -3.0340397, ' Odd': -4.3330812, ' 0': -5.4434404, ' 1': -5.446045}
{' even': -0.54443854, ' odd': -1.5227681, ' 0': -2.2513132, ' 1': -3.5526533, '\n': -4.3741302}
{' Odd': -5.4858637, ' ': -5.951342, ' an': -5.6075068, ' odd': -0.4655056, ' even': -1.0775452}
{' ': -4.7615104, ':': -4.9477925, ' Even': -5.1293035, ' odd': -3.3564103, ' even': -0.08103902}
{' Odd': -5.314126, ' 1': -3.2986572, ' odd': -0.22624971, ' 0': -3.5913124, ' even': -2.248255}
{' odd': -1.1473308, ' even': -1.6206698, ' 1': -1.6485944, ' 0': -1.7038493, ':': -3.3224976}
{'\n': -3.8305051, ' ': -4.0536895, ' 1': -4.1029224, ' 0': -2.2464676, ' even': -0.22910778}
{' Odd': -4.6150846, ' 1': -4.5382404, ' odd': -0.061757237, ' 0': -4.5823307, ' even': -4.2177696}
{' ': -4.4633994, ' Even': -4.7045317, ' odd': -3.5871372, ' 0': -3.4781458, ' even': -0.12172632}
{' odd': -0.16220587, ' even': -2.8460627, ' 1': -3.5523062, ' 0': -3.9532492, ' Odd': -4.219638}
{' even': -0.2877652, ' odd': -1.6463277, ' 0': -4.1249433, ' an': -5.0388274, ' Even': -5.2688203}
{' odd': -0.43898362, ' even': -1.100519, ' Odd': -5.4588103, ' ': -5.9063816, ':': -6.120231}
{' even': -0.16633987, ' odd': -2.7298934, ' ': -3.549148, '\n': -4.549254, ' Even': -4.8422704}
{' Odd': -5.153863, ' 1': -4.4185505, ' odd': -0.1289865, ' 0': -4.0730247, ' even': -2.715061}
{' odd': -0.9087016, ' even': -1.2289578, ' 0': -2.163431, ' 1': -2.7075946, ':': -3.0743616}
{'\n': -4.5405374, ' ': -4.5158825, ' 1': -4.376395, ' 0': -2.3824835, ' even': -0.1867428}
{' odd': -0.14133167, ' 1': -2.8687105, ' 0': -3.4871023, ' Odd': -4.5971317, ' even': -4.7416763}
{'\n': -4.205482, ' ': -3.4795394, ' odd': -4.0023265, ' 0': -2.5160537, ' even': -0.20461142}
{' Odd': -4.070945, ' ': -5.0389915, ' 1': -5.03442, ' odd': -0.17803401, ' even': -2.2222025}
{' ': -5.3093185, ' Even': -4.67321, ' odd': -2.2208683, ' 0': -5.120369, ' even': -0.16440421}
{' Odd': -5.156018, ':': -5.527879, ' odd': -0.36057165, ' neither': -5.3143067, ' even': -1.3053939}
{'\n': -4.5769215, ' ': -3.847833, ' odd': -3.1861002, ' 0': -2.9802306, ' even': -0.17723703}
{' Odd': -5.196828, ' 1': -5.2083898, ' odd': -0.13099374, ' 0': -4.441774, ' even': -2.499235}
{' odd': -1.0715796, ' 1': -1.5803658, ' 0': -1.6966072, ' even': -1.7481668, ':': -3.5986295}
{'\n': -4.4646983, ' ': -4.339438, ' 1': -4.563892, ' 0': -3.146054, ' even': -0.12530576}
{'\n': -4.996169, ' Odd': -4.8043833, ' 1': -2.9031894, ' odd': -0.12074621, ' 0': -3.9723444}
{'\n': -3.9386117, ' ': -3.926254, ' odd': -2.8174589, ' 0': -3.2340086, ' even': -0.21494481}
{' odd': -0.08143153, ' even': -3.0908225, ' Odd': -4.9134645, ' 1': -5.045807, ' 0': -5.2977066}
{' ': -5.2883554, ' Even': -4.4389615, ' odd': -2.2993152, ' 0': -4.4730916, ' even': -0.17440972}
{' 1': -4.1198463, ' odd': -0.30215105, ' 0': -2.9549496, ' zero': -4.7986507, ' even': -1.9673675}
{'\n': -4.867196, ' ': -4.0119495, ' odd': -2.5902848, ' 0': -4.0343485, ' even': -0.1651814}
{' Odd': -4.5304213, ' 1': -4.9708414, ' odd': -0.15295328, ' 0': -4.656063, ' even': -2.3428507}
{':': -3.3958664, ' 1': -1.8458812, ' odd': -0.8402976, ' 0': -1.8712966, ' even': -1.8303269}
{' even': -0.5374985, ' 0': -1.5796453, ':': -3.3815546, ' 1': -3.4325533, ' ': -3.523571}
{' odd': -0.26244962, ' 1': -2.2545636, ' 0': -3.095917, ' even': -3.5789187, '\n': -4.5173426}
{'\n': -4.49663, ' ': -3.7451518, ' odd': -4.190903, ' 0': -2.5144908, ' even': -0.19131348}
{' Odd': -5.025998, ' 1': -3.7676275, ' odd': -0.12058333, ' 0': -4.150662, ' even': -2.9534318}
{' even': -0.22347215, ' odd': -2.0966563, ' 0': -3.752913, '\n': -4.8362637, ' Even': -4.904719}
{'\n': -5.3198557, ' 1': -5.5881305, ' odd': -0.41599974, ' 0': -5.1859055, ' even': -1.2155851}
{' ': -3.9288788, ':': -4.6274767, ' odd': -3.0235808, ' 0': -3.1898117, ' even': -0.17891233}
{' Odd': -5.104331, ' 1': -5.745355, ' odd': -0.14810304, ' 0': -5.4040956, ' even': -2.180781}
{':': -3.8907287, ' 1': -1.9700869, ' odd': -1.0830486, ' 0': -2.037443, ' even': -1.205654}
{' even': -0.6011166, ' 0': -1.4276242, ' 1': -2.8177464, ' odd': -3.336838, ' ': -3.7266123}
{' Odd': -3.8352826, ' 1': -4.3183227, ' odd': -0.104529046, ' 0': -4.4567103, ' even': -3.5998247}
{' even': -0.21386561, ' 0': -2.3591943, ' odd': -3.6703892, ' ': -4.1402884, ' Even': -4.6394486}
{' Odd': -4.764892, ' 1': -3.172549, ' odd': -0.1464499, ' 0': -4.0746627, ' even': -3.0509126}
{' even': -0.2794144, ' odd': -2.1561444, ' 0': -2.7794466, ' 1': -4.6068783, '\n': -4.838581}
{' 1': -5.2585716, ' not': -5.5507846, ' odd': -0.25452563, ' 0': -4.692093, ' even': -1.7188247}
{' even': -0.2343787, ' odd': -2.0838544, ' ': -3.9687326, ' 0': -4.235617, ':': -4.552565}
{' Odd': -5.334177, ' 1': -4.554067, ' odd': -0.20601745, ' 0': -3.955036, ' even': -2.0253525}
{':': -3.7291498, ' 1': -3.4347095, ' odd': -0.87794703, ' 0': -3.2519054, ' even': -0.82328904}
{' ': -3.9051902, ':': -3.856411, ' odd': -3.7124825, ' 0': -2.1064348, ' even': -0.31334966}
{' Odd': -4.5181174, ' 1': -2.881054, ' odd': -0.15005031, ' 0': -3.415788, ' even': -4.5748873}
{'\n': -4.316185, ' ': -3.7301855, ' odd': -3.732236, ' 0': -2.567299, ' even': -0.20499158}
{' odd': -0.16510005, ' even': -2.3572292, ' 1': -3.9728239, ' 0': -4.3534446, ' Odd': -5.1275234}
{'\n': -5.142156, ' Even': -4.8833447, ' odd': -2.083881, ' 0': -4.6810656, ' even': -0.19457383}
{' odd': -0.42536804, ' even': -1.1905353, ' Odd': -4.961427, ' an': -5.6925383, ' 0': -5.7104206}
{' ': -4.776958, ':': -5.0707726, ' odd': -2.4699006, ' 0': -4.8395953, ' even': -0.1385103}
{' odd': -0.13546002, ' even': -2.532034, ' 0': -4.194024, ' 1': -4.7434044, ' Odd': -5.1102953}
{':': -3.5580425, ' 1': -2.6901052, ' odd': -1.1465443, ' 0': -2.2520971, ' even': -0.9201611}
{' ': -4.5949907, ' 1': -3.8242228, ' odd': -3.759018, ' 0': -2.4119105, ' even': -0.1914467}
{' Odd': -4.1316066, ' 1': -4.619677, ' odd': -0.095633075, ' 0': -4.8534675, ' even': -3.4598687}
{'\n': -4.483831, ' ': -4.4090285, ' odd': -3.8924105, ' 0': -3.0126405, ' even': -0.12904814}
{' Odd': -4.838632, ' 1': -3.5056493, ' odd': -0.12578934, ' 0': -4.523317, ' even': -3.0081422}
{'\n': -5.354047, ' Even': -5.173414, ' odd': -2.1161785, ' 0': -3.6479843, ' even': -0.20517372}
{' Odd': -3.7600272, ':': -5.431181, ' none': -6.1433144, ' odd': -0.29520458, ' even': -1.5601333}
{' ': -3.9302866, ':': -4.2987013, ' odd': -2.0829089, ' 0': -3.2019053, ' even': -0.29506525}
{'\n': -5.1254406, ' 1': -3.888751, ' odd': -0.2548192, ' 0': -3.2633314, ' even': -2.0473664}
{':': -3.8271534, ' 1': -1.9603826, ' odd': -1.044264, ' 0': -2.124594, ' even': -1.2056676}
{' ': -3.938907, ' 1': -4.157369, ' odd': -4.0364413, ' 0': -2.6864169, ' even': -0.1764179}
{' odd': -0.14450869, ' 1': -2.912802, ' 0': -3.978923, ' Odd': -4.016865, ' even': -4.318888}
{'\n': -4.1242585, ' ': -4.1240125, ' odd': -4.0376134, ' 0': -2.4709659, ' even': -0.2001874}
{' odd': -0.14954136, ' even': -2.547789, ' Odd': -3.9612916, ' 0': -4.874952, ':': -5.018622}
{':': -4.9800305, ' Even': -4.7408295, ' odd': -1.8556205, ' 0': -4.1375923, ' even': -0.2498304}
{' Odd': -4.552785, ' ': -6.042092, ':': -6.1794257, ' odd': -0.34987947, ' even': -1.3162718}
{' ': -4.030401, ':': -4.364936, ' Even': -4.6571217, ' odd': -2.8198204, ' even': -0.13401349}
{' odd': -0.18592565, ' even': -2.1550438, ' 0': -4.071721, ' 1': -4.557499, '\n': -5.298298}
{' odd': -0.8341344, ' even': -1.4048799, ' 0': -2.1639695, ' 1': -2.4216626, ':': -3.2377388}
{' ': -3.8975403, ' 1': -3.92324, ' odd': -3.6303103, ' 0': -2.472523, ' even': -0.24902476}
{'\n': -4.785119, ' 1': -2.342164, ' odd': -0.26672763, ' 0': -2.986247, ' even': -3.2729123}
{' even': -0.11712324, ' 0': -3.2594972, ' odd': -3.8363824, ' ': -4.3535924, ' Even': -4.6812873}
{' Odd': -4.212728, ' 1': -5.074496, ' odd': -0.1415895, ' 0': -5.232085, ' even': -2.4860642}
{' even': -0.21272333, ' odd': -1.9834188, ' 0': -4.1613936, ':': -5.002231, ' Even': -5.2048526}
{' Odd': -4.410561, ':': -5.413417, ' odd': -0.41423887, ' neither': -5.5471983, ' even': -1.2075061}
{'\n': -4.8681417, ' ': -3.8750894, ':': -4.103336, ' odd': -2.756395, ' even': -0.14750928}
{' Odd': -5.0881715, ' 1': -4.7310615, ' odd': -0.15737118, ' 0': -3.9457994, ' even': -2.4260042}
{':': -2.991166, ' 1': -1.9108679, ' odd': -1.2294371, ' 0': -1.5930092, ' even': -1.4707426}
{' even': -0.24026667, ' 0': -2.2395952, ' ': -3.8125236, ' odd': -4.0014486, '\n': -4.345422}
{' odd': -0.14860982, ' even': -2.982411, ' Odd': -3.7558322, ' 0': -4.2025323, ' 1': -4.3843904}
{' even': -0.2622713, ' 0': -2.0704749, ' odd': -3.9181225, '\n': -4.079902, ' ': -4.1974545}
{' Odd': -4.764892, ' 1': -3.172549, ' odd': -0.1464499, ' 0': -4.0746627, ' even': -3.0509126}
{'\n': -4.979449, ' 1': -4.758969, ' odd': -2.2694223, ' 0': -2.8797584, ' even': -0.24469446}
{' not': -5.210766, ' odd': -0.39518106, ' 0': -4.553599, ' zero': -5.3048353, ' even': -1.3077633}
{' ': -4.3686085, ':': -4.3787203, ' Even': -5.243388, ' odd': -3.660341, ' even': -0.08158033}
{' odd': -0.21557616, ' even': -1.9361466, ' 0': -4.4603014, ' Odd': -4.7111626, ' 1': -4.902796}
{':': -3.2579117, ' 1': -1.9121637, ' odd': -1.1321467, ' 0': -1.7333641, ' even': -1.4084158}
{':': -3.8285685, ' 1': -4.0323906, ' odd': -3.2326078, ' 0': -2.7780714, ' even': -0.24690732}
{' Odd': -4.653435, ' 1': -2.9234056, ' odd': -0.16730584, ' 0': -3.3333032, ' even': -3.8153064}
{' ': -4.4672575, ':': -4.792158, ' odd': -2.8898878, ' 0': -4.21988, ' even': -0.12747774}
{' Odd': -4.4465575, ' 1': -4.7657733, ' odd': -0.110017344, ' 0': -5.3277326, ' even': -2.7933307}
{'\n': -5.1645007, ' ': -5.222055, ' odd': -1.8429246, ' 0': -3.8349814, ' even': -0.25599536}
{'\n': -5.5781593, ' Odd': -4.223108, ' Even': -5.407621, ' odd': -0.77489334, ' even': -0.71771777}
{' ': -4.0184274, ' Even': -5.0423455, ' odd': -2.429856, ' 0': -4.7921576, ' even': -0.16830616}
{' Odd': -5.7589235, ' false': -4.8534894, ' odd': -0.09313145, ' 0': -5.1475782, ' even': -2.8264906}
{':': -3.781948, ' 1': -2.1690564, ' odd': -0.7044538, ' 0': -2.5438542, ' even': -1.5481848}
{' even': -0.15483657, ' 0': -2.9410563, ' ': -4.012307, ' odd': -4.0485554, ' Even': -4.189937}
{' Odd': -4.6977983, ' 1': -4.031257, ' odd': -0.057636883, ' 0': -4.915544, ' even': -4.7205777}
{'\n': -4.0504208, ' ': -4.2495813, ' odd': -4.4054475, ' 0': -1.6714714, ' even': -0.31962377}
{':': -5.1507516, ' 1': -5.0361342, ' odd': -0.14582305, ' 0': -4.9431186, ' even': -2.3190656}
{'\n': -4.3984733, ' 1': -4.1290646, ' odd': -1.9725965, ' 0': -2.5643647, ' even': -0.35100606}
{' odd': -0.45631775, ' even': -1.1237506, ' Odd': -4.4042487, ':': -5.31071, ' neither': -6.1427665}
{' even': -0.09539803, ' odd': -3.6021183, ' ': -4.1940193, ':': -4.444279, ' Even': -5.051137}
{'\n': -5.345065, ' 1': -4.489791, ' odd': -0.22394201, ' 0': -3.678879, ' even': -2.0284808}
{':': -3.034583, ' 1': -1.807377, ' odd': -1.0975554, ' 0': -1.508237, ' even': -1.7952797}
{' ': -4.3929076, ' Even': -4.3929515, ' odd': -2.806845, ' 0': -3.48753, ' even': -0.1783777}
{' odd': -0.19945544, ' even': -2.5862515, ' Odd': -3.7015524, ' 0': -3.9787169, ' 1': -4.1263266}
{' even': -0.17149125, ' 0': -2.6615405, ' odd': -3.894462, ' ': -3.9411511, '\n': -4.7134614}
{' Odd': -5.1360617, ' 1': -3.1087365, ' odd': -0.1395297, ' 0': -4.3166547, ' even': -3.0000558}
{':': -5.0788074, ' 1': -4.845506, ' odd': -2.3977523, ' 0': -2.6804712, ' even': -0.22700179}
{' Odd': -5.5992403, ' 1': -5.5818114, ' odd': -0.24097966, ' 0': -4.8308587, ' even': -1.7399019}
{' even': -0.18543634, ' odd': -2.2945862, ' ': -3.8507042, ' 0': -4.7058086, ':': -4.7277546}
{' odd': -0.096711956, ' even': -2.8192086, ' 0': -4.7130494, ' Odd': -5.3522096, ' 1': -5.4989905}
{' odd': -0.9823846, ' even': -1.2412157, ' 1': -2.1290827, ' 0': -2.151741, ':': -3.4760368}
{' ': -3.8592904, ' 1': -4.090733, ' odd': -3.2794964, ' 0': -2.987178, ' even': -0.20999295}
{' Odd': -4.738621, ' 1': -2.75123, ' odd': -0.1985461, ' 0': -3.2585282, ' even': -3.4386394}
{' even': -0.15845826, ' 0': -2.6009595, ' odd': -4.0714912, '\n': -4.53229, ' ': -4.54726}
{' Odd': -4.8163295, ' 1': -3.2189944, ' odd': -0.16251338, ' 0': -4.042871, ' even': -2.8255582}
{'\n': -4.894434, ' Even': -4.7835674, ' odd': -2.156105, ' 0': -3.8278723, ' even': -0.20892832}
{' Odd': -3.8534474, ':': -5.346859, ' none': -6.2822003, ' odd': -0.3431705, ' even': -1.4096397}
{' ': -4.578606, ':': -4.902262, ' odd': -2.9557717, ' 0': -4.05474, ' even': -0.122144125}
{'\n': -5.2738442, ' 1': -3.4033787, ' odd': -0.2885134, ' 0': -2.859092, ' even': -2.1633093}
{' 0': -1.1656024, ' odd': -1.3892847, ' even': -1.8869103, ' 1': -1.9541538, ':': -2.777726}
{' even': -0.2132686, ' 0': -2.9491665, ' odd': -3.5089257, ':': -3.8958695, ' 1': -4.0798197}
{' Odd': -4.2834983, ' 1': -4.0724144, ' odd': -0.08433821, ' 0': -4.490419, ' even': -4.1997967}
{' ': -4.552051, ':': -4.5247207, ' odd': -4.646505, ' 0': -2.9678197, ' even': -0.12359099}
{' Odd': -5.136044, ' 1': -5.546237, ' odd': -0.064028345, ' 0': -5.8148003, ' even': -3.1999373}
{' even': -0.24365479, ' odd': -2.1233296, ' 0': -3.261663, ':': -4.62678, ' Even': -4.691114}
{' odd': -0.44329908, ' even': -1.1794527, ' Odd': -4.1100845, ':': -5.692947, ' ': -5.8113394}
{'\n': -4.369514, ' ': -3.8106472, ' odd': -1.968658, ' 0': -4.1886005, ' even': -0.25501665}
{' odd': -0.23654604, ' even': -1.8885236, ' 0': -4.043242, ' 1': -4.522058, ' Odd': -4.893538}
{':': -4.0037003, ' 1': -2.1430104, ' odd': -0.9831421, ' 0': -2.2935266, ' even': -1.1370136}
{' ': -4.184587, ' 1': -3.7667181, ' odd': -3.215543, ' 0': -2.8903286, ' even': -0.19926588}
{' Odd': -3.8990176, ' 1': -3.0373821, ' odd': -0.113455065, ' 0': -4.1963234, ' even': -4.9946012}
{' even': -0.18551463, ' odd': -2.9929655, ' 0': -3.003456, ':': -4.3402767, ' ': -4.3411045}
{' odd': -0.1186208, ' even': -2.4971397, ' Odd': -4.585345, ' 1': -5.514441, ' 0': -5.746264}
{' even': -0.28802752, ' odd': -1.7423046, ' 0': -3.8243828, '\n': -4.9618497, ' Even': -5.010493}
{' Odd': -4.3460135, ':': -5.2267175, ' Even': -5.371178, ' odd': -0.8562407, ' even': -0.6330581}
{' ': -4.0406995, ':': -4.8817515, ' Even': -5.2921615, ' odd': -3.5396311, ' even': -0.078178965}
{' Odd': -4.961776, ' 1': -5.819277, ' odd': -0.055574916, ' 0': -5.7127233, ' even': -3.4425328}
{':': -2.5099926, ' 1': -1.8461952, ' odd': -1.1905508, ' 0': -1.3502197, ' even': -2.1258078}
{' even': -0.18691789, ' 0': -3.24424, ' odd': -3.471477, ' ': -3.7007947, '\n': -4.097413}
{' Odd': -3.889075, ' 1': -3.3070378, ' odd': -0.10002404, ' 0': -4.2655907, ' even': -5.194309}
{'\n': -4.261751, ' ': -4.4503307, ' odd': -3.669606, ' 0': -2.19264, ' even': -0.23258296}
{' odd': -0.103447765, ' even': -3.1289344, ' 1': -3.8902566, ' 0': -4.806728, ' Odd': -4.839337}
{' an': -4.839884, ' 1': -4.581871, ' odd': -2.3536541, ' 0': -2.7377522, ' even': -0.24617878}
{' Odd': -4.822729, ':': -5.1877346, ' odd': -0.499594, ' neither': -5.3153844, ' even': -1.0599283}
{' even': -0.21621126, ' odd': -2.2010162, ' 0': -3.8302422, ' ': -4.1316853, ':': -4.3727345}
{' Odd': -5.752645, ' false': -4.807472, ' odd': -0.07267081, ' 0': -5.247588, ' even': -3.123726}
{' odd': -1.1546844, ' even': -1.4038634, ' 0': -1.7608123, ' 1': -1.9194236, ':': -3.2518077}
{' even': -0.47646052, ' 0': -1.6181822, ' 1': -3.0271645, ' odd': -3.1767683, ' ': -4.160837}
{' Odd': -4.4116383, ' 1': -2.5336912, ' odd': -0.21091443, ' 0': -3.230789, ' even': -3.8741107}
{' even': -0.12568451, ' 0': -2.908132, ' odd': -4.2164946, ' ': -4.795234, '\n': -4.8773065}
{'\n': -5.0138173, ' 1': -2.9679754, ' odd': -0.13973011, ' 0': -4.2254863, ' even': -3.2818682}
{'\n': -5.2829742, ' Even': -4.794142, ' odd': -2.307751, ' 0': -4.196083, ' even': -0.16544376}
{' an': -5.1826243, ' not': -5.256858, ' odd': -0.37428653, ' 0': -4.8711376, ' even': -1.3220805}
{' even': -0.15962476, ' odd': -2.5094173, ' ': -3.797148, ':': -4.5863047, ' 0': -5.127439}
{' Odd': -5.489285, ' 1': -4.204655, ' odd': -0.14562178, ' 0': -3.6951632, ' even': -2.6704113}
{' 0': -1.3254917, ' odd': -1.3359755, ' 1': -1.6305264, ' even': -1.90365, ':': -3.0712574}
{' even': -0.18916388, ' 0': -2.6993873, ' ': -3.7960162, ' 1': -3.9568944, ' odd': -4.0272536}
{' odd': -0.11853651, ' 1': -3.028309, ' 0': -4.0994754, ' even': -4.1647696, ' Odd': -4.553184}
{' ': -4.066366, ' Even': -4.2601147, ' odd': -3.2869282, ' 0': -4.532234, ' even': -0.11806587}
{' Odd': -4.788579, ' 1': -3.530343, ' odd': -0.1350455, ' 0': -4.5848126, ' even': -2.898796}
{'\n': -4.9019136, ' ': -4.834435, ' odd': -1.9963012, ' 0': -3.6917925, ' even': -0.2504868}
{' Odd': -5.386592, ' ': -6.515783, ' an': -6.286658, ' odd': -0.2536162, ' even': -1.5893946}
{'\n': -5.1790924, ' ': -3.9443972, ':': -4.5959396, ' odd': -3.3980389, ' even': -0.091735065}
{' Odd': -4.682301, ' 1': -5.0738435, ' odd': -0.16632713, ' 0': -4.656305, ' even': -2.2077403}
