{' No': -0.018724639, 'No': -4.150448, '\n': -6.2535415, ' Yes': -7.238859, ' ': -9.299589}
{' No': -0.009215265, 'No': -4.847764, '\n': -7.0400434, ' Yes': -8.087318, ' ': -9.406724}
{' No': -0.024961313, '\n': -5.611289, ' ': -8.891986, 'No': -3.875791, ' Yes': -9.321099}
{' No': -0.025418827, '\n': -6.7667937, ' ': -9.243811, 'No': -3.8758504, ' Yes': -5.8004313}
{' No': -0.015806101, '\n': -6.2836585, ' ': -8.546173, 'No': -4.3465075, ' Yes': -7.7707953}
{' No': -0.017440332, '\n': -5.4583488, ' ': -8.936393, 'No': -4.3568354, ' no': -10.51351}
{' No': -0.01427603, 'No': -4.328325, '\n': -7.565715, ' Yes': -8.17887, ' ': -9.251311}
{' No': -0.021588204, 'No': -3.9079368, ' Yes': -6.953715, '\n': -8.843911, ' no': -9.456365}
{' No': -0.0111471955, 'No': -4.536219, '\n': -8.133961, ' ': -10.285082, ' Yes': -10.445976}
{' No': -0.01605822, '\n': -5.753362, ' ': -9.0647, 'No': -4.5629826, ' Yes': -6.1396422}
{' No': -0.057202756, ' Yes': -3.132255, 'No': -4.6453567, '\n': -6.3119273, 'Yes': -7.9668126}
{' No': -0.1956282, '\n': -4.50891, 'No': -4.600528, ' Yes': -4.452485, ' Hospital': -1.9718752}
{' No': -0.035521664, '\n': -3.8592272, 'No': -4.5358877, ' Yes': -6.4520082, ' ': -7.2858534}
{' No': -0.011398746, '\n': -6.215002, ' ': -8.744263, 'No': -4.7321644, ' Yes': -8.166365}
{' No': -0.013528218, '\n': -7.14265, 'No': -4.515474, ' Yes': -6.598014, ' Unfortunately': -8.978269}
{' No': -0.009122208, 'No': -4.7924914, '\n': -7.340793, ' Yes': -9.629786, ' ': -9.931151}
{' No': -0.056422986, '\n': -4.772207, ' ': -8.064771, 'No': -3.0863016, ' Unfortunately': -8.581677}
{' No': -0.056712802, 'No': -3.1967673, '\n': -4.6718154, ' Yes': -5.4538035, ' ': -8.083442}
{' No': -0.07527258, 'No': -2.9682684, '\n': -3.9614344, ' Unfortunately': -7.140181, ' ': -7.3265214}
{' No': -0.07024648, 'No': -3.0033252, '\n': -4.0744996, ' Unfortunately': -7.673863, ' ': -7.876845}
{' No': -0.050156962, '\n': -5.682857, 'No': -3.1263402, ' Yes': -7.608676, ' Unfortunately': -7.263686}
{' No': -0.051764086, 'No': -3.0891652, '\n': -5.606297, ' Unfortunately': -7.5679207, ' Yes': -7.933098}
{' No': -0.075480625, '\n': -4.6674776, ' ': -8.09072, 'No': -2.7705812, ' Unfortunately': -8.677524}
{' No': -0.20429537, '\n': -2.7448435, 'No': -2.825202, ' Yes': -2.9099703, ' Unfortunately': -6.049754}
{' No': -1.3351765, '\n': -4.668815, 'No': -4.2133765, ' Yes': -0.36775216, 'Yes': -3.9887748}
{' No': -0.51612246, '\n': -1.7567765, 'No': -2.9749734, ' Yes': -1.8251492, ' Unfortunately': -4.9694557}
{' No': -0.2555109, 'No': -2.1870427, '\n': -2.6971726, ' Yes': -3.5472512, ' Unfortunately': -4.6192384}
{' No': -0.2929829, '\n': -2.7411678, 'No': -2.5364654, ' Yes': -2.3704364, ' Unfortunately': -4.759873}
{' No': -0.15642188, 'No': -2.6639578, ' Yes': -3.086275, '\n': -3.7967587, ' Unfortunately': -5.7829456}
{' No': -0.17902966, '\n': -2.9041538, 'No': -2.386938, ' Yes': -4.785427, ' Unfortunately': -5.08193}
{' No': -0.026758296, 'No': -4.2796593, '\n': -5.054043, ' Yes': -5.145481, ' ': -8.610085}
{' No': -0.14151601, ' Yes': -2.1672425, 'No': -4.547528, '\n': -5.2315216, 'Yes': -6.824291}
{' No': -0.15512359, ' Hospital': -2.1761081, 'No': -4.738847, ' Yes': -4.7617292, '\n': -4.8769307}
{' No': -0.06952829, '\n': -3.2405925, ' ': -6.616683, 'No': -4.022594, ' Yes': -4.8782687}
{' No': -0.023928283, 'No': -3.9876025, '\n': -5.889811, ' Yes': -6.2983875, ' Unfortunately': -8.338336}
{' No': -0.021667628, '\n': -5.9746075, 'No': -4.0458183, ' Yes': -6.929689, ' Unfortunately': -8.491344}
{' No': -0.010712239, '\n': -7.0811734, ' ': -9.877085, 'No': -4.703053, ' Yes': -7.341942}
{' No': -0.555084, ' Yes': -1.0489709, 'No': -3.1894622, '\n': -3.8203788, 'Yes': -4.4817123}
{' No': -0.19514166, '\n': -2.4063234, 'No': -3.095929, ' Yes': -3.7120044, ' Hospital': -4.46905}
{' No': -0.5682159, '\n': -1.6779782, 'No': -3.448057, ' Yes': -1.586044, 'Yes': -5.0454326}
{' No': -0.08906745, '\n': -3.746643, 'No': -2.9059906, ' Yes': -5.5997043, ' Unfortunately': -6.7135353}
{' No': -0.093413, 'No': -3.0997202, '\n': -3.6543334, ' Yes': -4.233444, ' Patient': -6.3105526}
{' No': -0.0550054, ' Yes': -3.6146348, 'No': -4.0847883, '\n': -4.7188005, 'Yes': -7.76343}
{' No': -0.30029875, '\n': -2.2455425, 'No': -3.064207, ' Yes': -2.3066692, 'Yes': -5.705494}
{' No': -0.5079871, '\n': -1.3805265, 'No': -2.615697, ' Yes': -2.9119213, ' Unfortunately': -5.028064}
{' No': -1.0288174, '\n': -0.8347256, 'No': -3.6263344, ' Yes': -1.8133023, 'Yes': -4.675376}
{' No': -0.13693759, '\n': -3.0505517, 'No': -3.2564652, ' Unfortunately': -3.2984157, ' Not': -6.5399294}
{' No': -0.10615629, 'No': -2.7395482, '\n': -3.6482055, ' Unfortunately': -5.054362, ' Yes': -6.2340245}
{' No': -0.1464363, '\n': -2.6283355, ' ': -7.097449, 'No': -3.032907, ' Yes': -4.338325}
{' No': -1.8425156, '\n': -4.9481215, 'No': -5.530723, ' Yes': -0.19959414, 'Yes': -4.5327106}
{' No': -2.6037886, '\n': -6.1068783, 'No': -6.1742153, ' Yes': -0.095623426, 'Yes': -4.4168515}
{' No': -0.67648035, '\n': -3.2123308, 'No': -4.042733, ' Yes': -0.8895941, ' Sur': -4.560052}
{' No': -0.028666286, '\n': -5.6764545, ' ': -8.652132, 'No': -3.8074803, ' Yes': -6.115839}
{' Yes': -0.34899068, ' No': -1.3181506, 'Yes': -4.6572623, 'No': -4.9992843, '\n': -5.0102396}
{' No': -0.013079182, 'No': -4.478369, '\n': -7.1609006, ' Yes': -7.2376575, ' ': -9.305278}
{' No': -0.13309337, ' Yes': -2.217053, 'No': -4.807009, '\n': -5.097065, 'Yes': -6.881609}
{' No': -0.03742872, '\n': -6.012406, 'No': -4.079659, ' Yes': -4.085816, 'Yes': -8.58599}
{' No': -0.060070198, '\n': -3.695053, 'No': -3.922487, ' Yes': -5.144432, ' Hospital': -5.1172543}
{' No': -0.019406643, '\n': -5.833981, ' ': -8.6176405, 'No': -4.2159224, ' Yes': -6.7378774}
{' No': -0.048432913, '\n': -4.004358, 'No': -4.074489, ' Yes': -4.8329577, ' Patient': -5.823074}
{' No': -0.007880028, 'No': -4.995053, '\n': -7.187641, ' Yes': -8.454414, ' ': -9.446075}
{' No': -0.03376952, 'No': -3.8647172, '\n': -4.5183024, ' Yes': -7.028423, ' ': -7.9004602}
{' No': -0.03867418, ' Yes': -3.8019526, 'No': -4.4276814, '\n': -5.9303, ' Doctor': -7.671441}
{' No': -0.013293225, 'No': -4.848443, '\n': -5.8773103, ' Yes': -6.358319, ' ': -7.614281}
{' No': -0.023087591, '\n': -4.904952, ' ': -7.518181, 'No': -4.514191, ' Yes': -5.730185}
{' No': -0.036316335, '\n': -4.2169213, 'No': -4.661587, ' Patient': -5.285336, 'Pat': -6.014086}
{' No': -0.0062331543, 'No': -5.179174, '\n': -7.7791557, ' ': -9.1666975, ' Yes': -10.379101}
{' No': -0.23474267, ' Yes': -2.2592196, '\n': -2.8962681, 'No': -3.1926947, ' Unfortunately': -5.8266444}
{' Yes': -0.24773735, ' No': -1.7912477, 'Yes': -3.887563, '\n': -4.041881, 'No': -4.605264}
{' No': -0.39774242, '\n': -1.4471102, 'No': -2.9520178, ' Unfortunately': -3.637582, ' Yes': -5.1692166}
{' No': -0.73041016, ' Yes': -1.4979005, '\n': -1.5810095, 'No': -3.2352302, 'Yes': -4.1485353}
{' No': -0.10933751, 'No': -3.0230873, ' Unfortunately': -3.5051122, '\n': -4.1461396, ' Not': -5.5158925}
{' No': -0.08013459, 'No': -2.9346247, '\n': -4.1101713, ' Unfortunately': -5.2815523, ' Yes': -7.258141}
{' No': -0.01590911, '\n': -5.9793887, ' ': -9.3825035, 'No': -4.36746, ' Yes': -7.780479}
{' No': -0.18589355, '\n': -5.382602, 'No': -4.0836077, ' Yes': -1.9243711, 'Yes': -6.2909675}
{' No': -0.036449548, '\n': -4.731962, ' ': -7.901324, 'No': -3.6997852, ' Hospital': -6.8173285}
{' No': -0.023921324, 'No': -4.2485437, '\n': -4.713157, ' ': -8.642291, ' Yes': -9.954056}
{' No': -0.014775383, '\n': -6.73165, ' ': -9.787427, 'No': -4.327592, ' Yes': -9.160345}
{' No': -0.014927349, ' Not': -9.410704, '\n': -6.865841, 'No': -4.314617, ' Yes': -8.8834}
{' No': -0.03128667, 'No': -3.8879397, ' Yes': -5.1233582, '\n': -5.546526, ' ': -8.73582}
{' No': -0.03291109, ' Not': -8.198924, '\n': -6.301931, 'No': -3.6324668, ' Yes': -5.6638904}
{' No': -0.023455951, 'No': -4.5656614, '\n': -5.2088065, ' Yes': -5.6997213, ' Hospital': -5.9561453}
{' No': -0.03028531, '\n': -4.3347397, ' ': -8.010747, 'No': -4.212424, ' Yes': -6.763193}
{' No': -0.02321209, '\n': -5.781598, ' ': -8.579262, 'No': -4.0550857, ' Yes': -6.1728683}
{' No': -0.0143162375, ' Not': -9.099874, '\n': -6.9447737, 'No': -4.6725154, ' Yes': -5.6244574}
{' No': -0.013449983, '\n': -6.545787, ' ': -9.674861, 'No': -4.4929724, ' Yes': -7.4534845}
{' No': -0.16751033, '\n': -4.7245016, 'No': -3.939609, ' Yes': -2.0954125, 'Yes': -6.1479406}
{' No': -0.24793951, '\n': -5.781014, 'No': -4.559924, ' Yes': -1.5923896, 'Yes': -6.332675}
{' No': -0.03752309, '\n': -3.996435, ' ': -7.284643, 'No': -4.2949405, ' Yes': -5.8022137}
{' No': -0.18713477, '\n': -2.405179, 'No': -3.9053311, ' Yes': -2.9805324, ' Sur': -5.385005}
{' No': -0.014332441, '\n': -6.8716373, 'No': -4.487805, ' Yes': -6.4794865, ' Unfortunately': -8.669065}
{' No': -0.043647952, ' Yes': -4.243284, 'No': -4.2792053, '\n': -5.6844783, ' Pat': -5.7001243}
{' No': -0.011408091, 'No': -4.6810837, ' Yes': -6.662604, '\n': -7.3390093, ' ': -9.789146}
{' No': -0.023123821, 'No': -3.885474, '\n': -6.1830816, ' Yes': -8.853007, ' ': -9.3554945}
{' No': -0.035744455, '\n': -6.2231565, 'No': -3.679982, ' Yes': -4.8819394, 'Yes': -8.807561}
{' No': -0.026708283, 'No': -3.822393, '\n': -5.585475, ' Yes': -8.2328005, ' ': -8.612776}
{' No': -0.025595838, 'No': -4.1707754, '\n': -4.6766367, ' ': -8.056735, ' no': -9.795462}
{' No': -0.021378774, 'No': -3.913541, '\n': -7.3146772, ' Yes': -8.127282, ' ': -9.214791}
{' No': -0.01872992, 'No': -4.0474753, '\n': -7.6036844, ' Yes': -7.689462, ' Unfortunately': -10.115374}
{' No': -0.009974247, 'No': -4.6797185, '\n': -7.6184583, ' Yes': -9.578348, ' ': -9.809572}
{' No': -0.017286161, 'No': -4.619049, ' Yes': -5.356199, '\n': -6.06143, ' ': -9.098337}
{' No': -0.23903489, '\n': -5.0663605, 'No': -4.474642, ' Yes': -1.6484549, 'Yes': -6.2737713}
{' No': -0.19580239, '\n': -4.333942, 'No': -5.082208, ' Yes': -3.7239795, ' Hospital': -2.0510612}
{' No': -0.052161206, '\n': -3.480912, ' Yes': -4.7227488, 'No': -4.8509245, ' Sur': -6.512116}
{' No': -0.010769053, 'No': -4.9106903, '\n': -6.0860786, ' Yes': -7.174238, ' ': -8.480045}
{' No': -0.01681319, '\n': -5.775831, ' ': -8.764138, 'No': -4.8502026, ' Yes': -5.317333}
{' No': -0.011767839, 'No': -4.572166, '\n': -6.7822313, ' Yes': -9.055108, ' ': -9.625486}
{' No': -0.09648172, 'No': -2.8358653, '\n': -3.4584982, ' ': -7.0898232, ' Yes': -7.4720063}
{' No': -0.10983318, '\n': -3.7290826, 'No': -2.836182, ' Yes': -3.946928, 'Yes': -7.0547523}
{' No': -0.117010936, '\n': -3.2877183, ' ': -6.6137877, 'No': -2.66969, ' Yes': -6.501834}
{' No': -0.17049034, '\n': -2.5161517, ' ': -6.6303086, 'No': -2.615265, ' Yes': -7.4002843}
{' No': -0.10483626, '\n': -3.825259, ' ': -7.1235414, 'No': -2.5902412, ' Unfortunately': -6.6602044}
{' No': -0.081937894, 'No': -2.7950573, '\n': -4.1826153, ' Yes': -6.6709228, ' ': -7.714007}
{' No': -0.1313739, '\n': -3.860393, ' ': -7.24151, 'No': -2.2968554, ' Unfortunately': -7.980361}
{' No': -0.4695972, '\n': -2.24869, 'No': -2.7595026, ' Yes': -1.6590409, 'Yes': -4.6528974}
{' Yes': -0.19694813, ' No': -2.1801805, 'Yes': -3.430667, '\n': -3.8570087, 'No': -4.6309175}
{' No': -0.4962976, ' Yes': -1.6079443, '\n': -2.2405775, 'No': -2.7014673, 'Yes': -4.736351}
{' No': -0.41482446, '\n': -1.760295, 'No': -2.2311983, ' Yes': -3.1247032, ' Unfortunately': -5.1120443}
{' No': -0.37719226, '\n': -2.2440193, 'No': -2.3220603, ' Yes': -2.3863208, ' Unfortunately': -4.9892507}
{' No': -0.4571041, ' Yes': -1.70093, 'No': -2.4520228, '\n': -2.524527, 'Yes': -4.3079624}
{' No': -0.39595303, '\n': -2.0261102, 'No': -2.143893, ' Yes': -2.751359, 'Yes': -5.185517}
{' No': -0.44987285, ' Yes': -1.1906089, '\n': -3.5542524, 'No': -3.8499067, 'Yes': -4.987797}
{' No': -1.0906266, '\n': -3.920043, 'No': -4.9187875, ' Yes': -0.4676884, 'Yes': -4.765694}
{' No': -0.086371705, ' Yes': -3.5763276, ' Hospital': -3.862815, '\n': -3.8693893, 'No': -4.667747}
{' No': -0.16026507, '\n': -2.6032336, ' ': -6.1181226, 'No': -4.0636444, ' Yes': -2.9675426}
{' No': -0.026401933, '\n': -5.240629, 'No': -4.0271225, ' Yes': -6.2078323, ' Unfortunately': -7.738362}
{' No': -0.03743986, 'No': -4.0306783, '\n': -4.617306, ' Yes': -4.7824235, ' ': -8.529943}
{' No': -0.02804378, 'No': -3.8623927, '\n': -5.4282565, ' Yes': -6.268266, ' ': -8.868012}
{' No': -0.3454552, '\n': -3.548639, 'No': -3.004526, ' Yes': -1.5846766, 'Yes': -4.943371}
{' No': -0.29712734, ' Yes': -2.1662984, '\n': -2.4270732, 'No': -3.1014504, ' Hospital': -5.921217}
{' No': -0.6328576, '\n': -1.6797879, 'No': -3.7312574, ' Yes': -1.3974926, 'Yes': -4.973739}
{' No': -0.09990916, 'No': -2.9744952, '\n': -3.3921337, ' Yes': -5.030033, ' Unfortunately': -6.4706764}
{' No': -0.10082942, 'No': -3.2916079, '\n': -3.2972403, ' Yes': -4.0091147, ' Patient': -6.6619105}
{' No': -0.32966787, ' Yes': -1.4240873, '\n': -3.8045843, 'No': -4.3136783, 'Yes': -5.643176}
{' No': -1.1012602, '\n': -2.2409527, 'No': -3.7850807, ' Yes': -0.66326433, 'Yes': -4.1759024}
{'\n': -1.0309687, ' No': -1.1688757, ' Yes': -1.3247404, 'No': -3.2074993, 'Yes': -4.3219175}
{' No': -1.5643443, '\n': -0.837858, 'No': -4.2151985, ' Yes': -1.1474435, 'Yes': -4.0929127}
{' No': -0.251174, '\n': -2.123807, ' Unfortunately': -3.0683508, 'No': -3.104825, ' Yes': -5.5919294}
{' No': -0.2214643, '\n': -2.4101336, 'No': -3.0189495, ' Yes': -3.0405805, ' Unfortunately': -4.982157}
{' No': -0.2833569, '\n': -1.9487412, 'No': -2.991895, ' Yes': -3.057952, ' Unfortunately': -6.092651}
{' Yes': -0.055285867, ' No': -3.362119, 'Yes': -4.4122972, '\n': -5.221164, 'No': -7.052846}
{' No': -3.341629, '\n': -5.5884643, 'No': -6.568073, ' Yes': -0.061474, 'Yes': -4.0194383}
{' Yes': -0.6694196, ' No': -1.246446, ' Sur': -2.1629498, '\n': -2.975114, 'Yes': -4.2681017}
{' No': -0.03273309, '\n': -5.5557733, ' ': -8.268521, 'No': -3.611415, ' Yes': -7.14346}
{' Yes': -0.1331842, ' No': -2.3625238, 'Yes': -4.438993, '\n': -4.845964, ' Patient': -4.97722}
{' No': -0.026734972, ' Yes': -4.19836, 'No': -4.6948752, '\n': -6.3146877, ' ': -8.68201}
{' No': -0.031557236, 'No': -4.226261, ' Yes': -4.57683, '\n': -5.1524773, ' ': -8.685291}
{' No': -0.0544848, '\n': -5.1507354, 'No': -3.517852, ' Yes': -4.114169, ' Unfortunately': -8.120444}
{' No': -0.056031715, '\n': -4.134294, ' ': -7.650773, 'No': -3.5227919, ' Yes': -4.9316454}
{' No': -0.01846019, '\n': -5.8706503, ' ': -8.693242, 'No': -4.233929, ' Yes': -7.435708}
{' No': -0.16714028, '\n': -3.3365452, 'No': -3.9862204, ' Yes': -2.416011, ' Patient': -4.928302}
{' No': -0.010374491, 'No': -4.983889, '\n': -6.275034, ' Yes': -6.5980854, ' ': -8.8593235}
{' No': -0.027224967, '\n': -5.6266184, ' ': -8.736257, 'No': -3.8513176, ' Yes': -6.344152}
{' No': -0.03376188, ' Yes': -4.0053387, 'No': -4.351047, '\n': -6.622532, ' Doctor': -8.050224}
{' No': -0.0294438, 'No': -4.22995, ' Yes': -4.7672157, '\n': -5.8812385, ' Hospital': -6.1522264}
{' No': -0.023254367, 'No': -4.528986, '\n': -4.9010487, ' Yes': -5.622178, ' ': -7.493942}
{' No': -0.017162882, '\n': -5.628945, 'No': -4.6783204, ' Yes': -6.017359, ' Patient': -7.05834}
{' No': -0.0053207725, 'No': -5.316064, '\n': -8.213813, ' ': -9.637546, ' Yes': -10.258901}
{' No': -0.23380487, ' Yes': -2.053957, 'No': -3.267933, '\n': -3.4917583, ' Unfortunately': -5.408928}
{' No': -1.6238235, '\n': -3.385773, 'No': -4.199124, ' Yes': -0.32820734, 'Yes': -3.7006342}
{' No': -0.36873987, '\n': -1.6485727, 'No': -2.9543283, ' Yes': -3.2871108, ' Unfortunately': -4.1030726}
{' No': -1.1666688, '\n': -1.2382706, 'No': -3.6770236, ' Yes': -1.0916795, 'Yes': -3.973929}
{' No': -0.12732744, 'No': -2.7970927, '\n': -3.4489942, ' Unfortunately': -3.8913555, ' Not': -5.812391}
{' No': -0.08676921, 'No': -2.917629, '\n': -3.9097996, ' Unfortunately': -5.5960116, ' Yes': -5.8575783}
{' No': -0.024005327, '\n': -5.6197386, ' ': -9.123483, 'No': -4.3008075, ' Yes': -5.072221}
{' No': -0.54271877, '\n': -5.0194855, 'No': -4.5518093, ' Yes': -0.92513824, 'Yes': -5.405708}
{' No': -0.052320845, 'No': -4.0710626, ' Hospital': -4.082894, '\n': -4.23185, ' Yes': -7.0930595}
{' No': -0.037150927, '\n': -3.902271, ' ': -7.9153457, 'No': -4.176433, ' Yes': -8.078293}
{' No': -0.011450233, '\n': -6.664442, ' ': -9.288225, 'No': -4.6258855, ' Yes': -9.3036175}
{' No': -0.020059917, '\n': -5.976837, 'No': -4.0926933, ' Yes': -7.888586, ' Unfortunately': -9.592565}
{' No': -0.24361448, '\n': -2.5749667, 'No': -3.8107092, ' Yes': -2.21015, 'Yes': -5.8410974}
{' No': -0.1252515, ' Yes': -2.3341482, 'No': -4.0717387, '\n': -6.297044, 'Yes': -6.6348295}
{' No': -0.510935, ' Hospital': -1.1483996, '\n': -3.7314396, ' Yes': -4.0618777, 'No': -4.204457}
{' No': -0.07055549, '\n': -3.2880406, 'No': -4.3441014, ' Yes': -4.5841246, ' Surgery': -6.2495866}
{' No': -0.021939628, '\n': -6.906871, ' ': -8.598347, 'No': -4.4553103, ' Yes': -4.777646}
{' No': -0.2815863, ' Patient': -2.7133603, ' Pat': -3.22733, ' Yes': -3.2287562, '\n': -3.3601363}
{' No': -0.016703488, 'No': -4.4948125, ' Yes': -5.6481214, '\n': -6.520718, ' ': -8.488623}
{' No': -0.17041436, ' Yes': -3.0018182, '\n': -3.1237319, 'No': -3.5488265, ' Nurse': -3.5862064}
{' Yes': -0.10373958, ' No': -2.9704216, ' Doctor': -3.6699948, 'Yes': -4.5515146, '\n': -4.8601556}
{' No': -0.70761114, '\n': -3.7561588, 'No': -4.357294, ' Yes': -4.1573443, ' Hospital': -0.8421746}
{' No': -0.15394598, '\n': -2.9132366, ' Yes': -3.017904, 'No': -4.004381, ' Sur': -4.4677544}
{' No': -0.037532624, 'No': -3.7813644, ' Yes': -5.001371, '\n': -5.855061, ' Band': -6.807238}
{' No': -0.0819793, ' Yes': -3.8800595, ' Patient': -3.9063523, 'No': -4.3590236, ' Pat': -4.682313}
{' No': -0.015669849, 'No': -4.4518003, ' Yes': -6.296434, '\n': -6.658637, ' ': -7.820738}
{' No': -0.052298922, '\n': -4.4128814, ' ': -8.281766, 'No': -3.3421776, ' Yes': -5.8100705}
{' Yes': -0.17136559, ' No': -2.0976598, 'Yes': -3.810434, '\n': -5.178451, 'No': -5.1800685}
{' No': -0.094156295, '\n': -3.4024274, 'No': -3.68413, ' Yes': -4.0560184, ' Hospital': -4.4947276}
{' No': -0.043761466, '\n': -3.9357405, 'No': -4.0187616, ' Yes': -5.6362906, ' Sur': -7.221732}
{' Band': -7.2297277, ' No': -0.04284388, '\n': -6.093114, 'No': -3.361661, ' Yes': -5.707446}
{'Pat': -8.492555, ' No': -0.030740416, '\n': -5.950343, 'No': -3.9169495, ' Yes': -5.0048227}
{' No': -0.013391083, 'No': -4.4855285, ' Yes': -6.734599, '\n': -7.2793207, ' ': -9.491714}
{' No': -0.08788927, '\n': -3.609442, 'No': -4.103888, ' Yes': -3.4234946, ' Nurse': -5.1686196}
{' Yes': -0.3517029, ' No': -1.5554267, ' Doctor': -2.8429387, '\n': -4.530433, 'Yes': -4.7906713}
{' No': -0.46897998, ' Hospital': -1.3937484, '\n': -2.8746653, ' Yes': -3.220906, 'No': -4.310659}
{' No': -0.32738927, '\n': -2.0575166, ' Yes': -2.4532475, ' Sur': -3.2473338, 'No': -4.4863734}
{' No': -0.019099483, 'No': -4.1561155, ' Yes': -6.616288, '\n': -7.2004538, ' Band': -8.088977}
{'Pat': -2.9065433, ' No': -0.36736625, '\n': -3.3212025, ' Pat': -2.5882735, ' Patient': -2.4774373}
{' No': -0.009325235, 'No': -5.034111, '\n': -6.7307553, ' Yes': -7.0143967, ' ': -8.136003}
{' No': -0.1554484, '\n': -2.5315373, 'No': -2.864349, ' Yes': -5.3084655, ' ': -6.5735674}
{' No': -0.3681838, '\n': -2.2693963, 'No': -2.897532, ' Yes': -1.9683787, 'Yes': -4.9911084}
{' No': -0.28270432, '\n': -1.7484751, 'No': -2.7437847, ' ': -5.884799, ' Unfortunately': -5.969596}
{' No': -0.34847346, '\n': -1.5533626, 'No': -2.5906396, ' Unfortunately': -5.796442, ' ': -6.1702003}
{' No': -0.10364245, '\n': -3.831536, 'No': -2.7118385, ' Yes': -5.050496, ' Unfortunately': -6.0828176}
{' No': -0.15896946, '\n': -2.85337, 'No': -2.6218638, ' Yes': -4.8144813, ' Unfortunately': -5.3487563}
{' No': -0.24852577, '\n': -1.8169042, 'No': -2.9440918, ' Yes': -6.1556506, ' ': -6.4415545}
{' No': -1.7256217, '\n': -0.77364296, 'No': -3.9698005, ' Yes': -1.200895, 'Yes': -4.2903743}
{' No': -3.1459346, '\n': -1.8021332, 'No': -5.2622275, ' Yes': -0.30051592, 'Yes': -3.3010614}
{'\n': -0.82903516, ' No': -0.999596, ' Yes': -2.467663, ' Unfortunately': -3.1707368, 'No': -3.2131522}
{'\n': -0.8555916, ' No': -0.93611807, ' Yes': -2.8659885, 'No': -2.959771, ' Unfortunately': -3.0233412}
{' No': -0.83854616, '\n': -1.1786779, 'No': -2.9034607, ' Yes': -2.0549614, ' Unfortunately': -3.013784}
{' No': -1.0874784, '\n': -1.2156866, ' Yes': -1.2484168, 'No': -3.261234, 'Yes': -4.09535}
{' No': -1.9961243, '\n': -0.41900647, ' ': -4.1766605, 'No': -3.7798328, ' Yes': -1.9490435}
{' No': -4.048814, '\n': -2.7085676, ' ': -6.776655, ' Yes': -0.118890025, 'Yes': -3.7197084}
{' No': -4.7636895, '\n': -3.594994, ' Yes': -0.06862322, ' The': -6.105486, 'Yes': -3.6558309}
{' No': -0.753673, ' Hospital': -1.5755132, '\n': -1.8577151, ' Yes': -2.093532, 'No': -4.0537963}
{' No': -2.0387676, '\n': -0.6276539, ' ': -4.328755, ' Yes': -1.2865666, ' Sur': -3.7106578}
{' No': -0.10730732, '\n': -3.0463576, 'No': -3.444225, ' Yes': -4.7926135, ' Unfortunately': -4.587427}
{' No': -0.57278454, ' Yes': -1.4398787, '\n': -1.9731295, 'No': -3.68791, ' The': -4.293829}
{' No': -0.07886245, '\n': -3.3733625, ' Yes': -3.7828934, 'No': -4.2241683, ' The': -6.154624}
{' Yes': -0.21137033, '\n': -2.3032072, 'Yes': -3.0564246, ' No': -3.3296585, 'No': -5.3753276}
{' Yes': -0.6796339, '\n': -1.0064752, ' No': -2.3832548, 'Yes': -4.322208, 'No': -4.9858227}
{' No': -4.5316978, '\n': -1.6490625, ' Yes': -0.26183644, ' Sur': -5.6989794, 'Yes': -4.069225}
{' No': -0.20433302, '\n': -2.212033, 'No': -3.3963225, ' Yes': -3.4079633, ' Unfortunately': -5.6853642}
{' No': -0.7102783, '\n': -1.1969211, 'No': -3.4818084, ' Yes': -1.8959816, ' Patient': -4.609206}
{' No': -3.2452319, '\n': -1.7069099, ' ': -6.3557014, ' Yes': -0.2765376, 'Yes': -4.075522}
{' No': -3.3776252, '\n': -2.171441, ' ': -6.1701865, ' Yes': -0.19259745, 'Yes': -3.897668}
{' No': -1.7138448, '\n': -0.5958905, 'No': -4.088839, ' Yes': -1.5599389, ' Unfortunately': -3.8365693}
{' Yes': -0.5035197, '\n': -1.0662429, ' No': -3.8135188, 'Yes': -3.968474, ' ': -5.637792}
{' No': -0.43757838, '\n': -1.4180071, ' Unfortunately': -3.064154, 'No': -3.3592627, ' Yes': -3.797577}
{' No': -0.54676414, '\n': -1.7587353, ' Yes': -1.771854, ' Unfortunately': -3.3632004, 'No': -3.5333343}
{'\n': -0.6380467, ' Yes': -1.3078618, ' No': -1.7643665, 'No': -4.695677, 'Yes': -4.809525}
{' Yes': -0.037717674, 'Yes': -3.7829509, '\n': -4.3571563, ' ': -7.5266433, ' The': -8.326115}
{' Yes': -0.033191834, 'Yes': -3.8466606, '\n': -4.711483, ' No': -7.411543, ' The': -7.44978}
{' Yes': -0.091488995, '\n': -3.037116, 'Yes': -3.9031398, ' Sur': -4.224078, ' ': -6.320138}
{' No': -0.13417654, '\n': -2.8172095, ' Yes': -3.4810488, 'No': -3.559933, ' ': -6.3131733}
{' No': -5.8101215, '\n': -3.6204588, ' Yes': -0.05224102, ' Patient': -6.193041, 'Yes': -4.139586}
{' No': -1.9614931, '\n': -2.7612922, ' Yes': -0.25019518, ' The': -5.937169, 'Yes': -4.6307664}
{' No': -0.7627397, ' Yes': -0.8229624, '\n': -2.637242, 'No': -4.418875, 'Yes': -4.815201}
{' Yes': -0.23247941, ' No': -1.9446166, '\n': -3.637146, 'Yes': -3.7163527, 'No': -4.6265416}
{' Yes': -0.8256027, '\n': -1.1230232, ' No': -1.5750972, 'No': -4.6346273, 'Yes': -4.7350492}
