{' odd': -0.08471681, ' Odd': -3.4376616, ' even': -3.879418, ':': -4.5343857, ' ': -5.4870214}
{' Odd': -5.715133, ':': -6.660253, ' 1': -2.3300436, ' odd': -0.11787211, ' even': -5.5500646}
{' ': -7.2010617, ':': -5.9971595, ' Even': -7.268989, ' 0': -4.259341, ' even': -0.020141229}
{' odd': -0.2590053, ' 1': -1.6151073, ':': -4.5504775, ' even': -5.1814632, ' Odd': -5.4872985}
{':': -6.183733, ' an': -6.6192565, ' 0': -2.3522468, ' zero': -7.287118, ' even': -0.107972674}
{' Odd': -6.5066504, ' an': -7.0001593, ' 1': -2.712647, ' odd': -0.076906666, ' even': -6.3418465}
{'\n': -5.961861, ' ': -5.235404, ':': -3.971396, ' an': -5.7762733, ' even': -0.036414493}
{' Odd': -5.841187, ' 1': -0.72832286, ' one': -5.0659637, ' odd': -0.7135123, ' even': -5.30292}
{' Odd': -5.034964, ':': -5.732788, ' "': -5.80529, ' odd': -0.09829468, ' even': -2.6198134}
{':': -5.916332, ' an': -6.8534994, ' Even': -6.196393, ' 0': -6.4203925, ' even': -0.011379212}
{' Odd': -6.756088, ' 1': -1.4393085, ' one': -6.013594, ' odd': -0.28536433, ' even': -6.070079}
{' ': -6.82879, ':': -6.801929, ' 0': -1.5441293, ' zero': -5.6681495, ' even': -0.25178236}
{' Odd': -5.720219, ' ': -5.734449, ' 1': -1.0848659, ' odd': -0.49745977, ' even': -3.4850087}
{' ': -6.729669, ' an': -7.1431646, ' odd': -7.3820157, ' 0': -5.4355702, ' even': -0.009216108}
{' Odd': -6.5191436, ' ': -6.6101975, ' an': -7.5406837, ' 1': -5.235765, ' odd': -0.010354677}
{'\n': -5.371321, ' ': -5.894437, ':': -4.61233, ' an': -6.7795777, ' even': -0.022085616}
{' Odd': -3.85633, ' ': -5.6264725, ' 1': -2.3643684, ' odd': -0.14840314, ' even': -5.0830564}
{'\n': -4.5698085, ':': -3.2305794, ' 1': -4.530483, ' odd': -0.5988816, ' even': -1.029233}
{':': -5.265039, ' an': -6.26392, ' Even': -6.222571, ' 0': -5.6252766, ' even': -0.020811964}
{' odd': -0.09705461, ' 1': -2.7965066, ' even': -4.1166544, '\n': -5.2851324, ' ': -6.0040574}
{'\n': -5.6822495, ' ': -6.003142, ':': -4.208543, ' 0': -4.4255733, ' even': -0.038482632}
{' odd': -0.6473128, ' 1': -0.8187034, '\n': -4.5128007, ':': -4.8887734, ' ': -5.1692967}
{':': -6.119974, ' an': -6.037562, ' Even': -7.120527, ' EVEN': -7.4763613, ' even': -0.008281714}
{' odd': -0.13916177, ' 1': -2.0783954, ' even': -6.574168, ' one': -7.258105, ' ': -7.411729}
{' ': -6.2862754, ':': -6.3267303, ' an': -5.4505215, ' odd': -7.2153745, ' even': -0.011470733}
{' Odd': -5.4266934, ':': -5.8143826, ' 1': -0.9614053, ' odd': -0.52065516, ' even': -4.950528}
{' Odd': -5.978179, ' 1': -2.9784245, ' odd': -0.15684272, ' 0': -4.732305, ' even': -2.5801969}
{':': -6.636052, ' an': -6.3066373, ' "': -6.3683133, ' 0': -5.009272, ' even': -0.017056046}
{' odd': -0.042712614, ' 1': -3.5531666, '\n': -5.5613995, ' Odd': -5.854812, ' ': -6.4942465}
{'\n': -6.5265036, ' ': -6.5583677, ':': -5.879044, ' 0': -2.5296023, ' even': -0.092251115}
{' ': -5.52301, ':': -5.182653, ' 1': -0.47182158, ' odd': -1.0378463, ' even': -5.3398805}
{' ': -7.339492, ' an': -5.286239, ' Even': -6.9617634, ' 0': -6.89127, ' even': -0.009634704}
{' Odd': -6.8135767, ' ': -7.0226617, ' 1': -3.2811258, ' odd': -0.048421524, ' even': -5.2356105}
{' ': -6.713802, ':': -6.5621514, ' an': -6.112407, ' Even': -7.484815, ' even': -0.0070115416}
{' odd': -0.42863864, ' 1': -1.2013513, ' Odd': -4.0645576, ':': -4.748355, ' even': -4.7717457}
{' odd': -0.061830282, ' even': -3.5087066, ':': -4.850677, ' 1': -4.9387984, ' Odd': -4.950213}
{' even': -0.017809534, ':': -4.984116, ' 0': -5.5908136, ' "': -6.660638, ' Even': -6.711192}
{' Odd': -5.115536, ':': -5.959027, ' 1': -4.311749, ' odd': -0.029142259, ' even': -6.2369246}
{'\n': -5.4920487, ' ': -5.7413588, ':': -6.1538725, ' 0': -2.571973, ' even': -0.09502835}
{' odd': -0.22419564, ' 1': -1.7087367, ' even': -5.4528046, ' ': -5.572632, ':': -5.7047324}
{' even': -0.0027816424, ' 0': -6.7269936, ' an': -7.9973893, ' ': -8.044836, ' odd': -8.146518}
{' Odd': -7.3976727, ' ': -6.5168915, ' 1': -2.0639687, ' odd': -0.14477924, ' even': -5.928146}
{' even': -0.0070987004, ' 0': -5.63535, ' ': -6.9154177, ':': -7.076765, ' an': -7.721365}
{' odd': -0.26919305, ' 1': -2.269954, ':': -2.9231322, ' Odd': -3.4872518, '\n': -4.0067334}
{' Odd': -5.775523, ':': -5.8056846, ' 1': -4.296945, ' odd': -0.09040341, ' even': -2.8201585}
{' even': -0.030059556, ':': -4.3308864, ' odd': -5.2566476, ' 0': -5.487328, ' Even': -6.4991355}
{' Odd': -5.184764, ':': -5.308223, ' 1': -3.737243, ' odd': -0.0769218, ' even': -3.5520442}
{'\n': -6.2552133, ':': -5.5997057, ' Even': -6.3615603, ' 0': -5.99422, ' even': -0.01333744}
{' ': -5.5541773, ' an': -6.062181, ' 1': -1.0851704, ' odd': -0.51263773, ' even': -3.1026483}
{' even': -0.010769416, ':': -5.605735, ' ': -6.4006886, '\n': -6.5866218, ' Even': -6.6508613}
{' Odd': -5.8775606, ' an': -6.9188075, ' 1': -5.7485757, ' odd': -0.023236185, ' even': -4.3113375}
{'\n': -6.009936, ' ': -5.8036027, ':': -5.335632, ' 0': -4.0545664, ' even': -0.034150664}
{' Odd': -6.107804, ' ': -6.1298523, ' 1': -0.7497106, ' odd': -0.6711584, ' even': -5.744587}
{' Odd': -5.5440116, ':': -5.1678348, ' 1': -3.4530602, ' odd': -0.06800679, ' even': -3.949087}
{' even': -0.024970965, ':': -4.508255, ' 0': -5.19905, ' Even': -6.2888823, ' odd': -6.67572}
{' Odd': -4.1183925, ':': -5.367569, ' 1': -3.901502, ' odd': -0.1149611, ' even': -3.0150616}
{' ': -6.9539304, ':': -6.88574, ' Even': -7.2202187, ' 0': -4.2554564, ' even': -0.019451432}
{' odd': -0.36318502, ' 1': -1.2954265, ' even': -4.8785024, ':': -5.109596, ' Odd': -5.392411}
{'\n': -5.20866, ' ': -5.9516068, ':': -4.556649, ' Even': -6.55723, ' even': -0.026933895}
{' Odd': -5.324903, ':': -6.7853675, ' 1': -4.701929, ' odd': -0.03430542, ' even': -4.1738667}
{' ': -6.5150557, ':': -4.7719555, ' an': -6.0076885, ' 0': -6.700513, ' even': -0.017020516}
{' odd': -0.2405479, ' 1': -1.6170108, ' even': -4.893042, ' Odd': -6.0206914, ' 0': -6.9779115}
{' odd': -0.04759234, ' Odd': -4.3833485, ' 1': -4.629463, ' even': -4.653763, ':': -4.735441}
{':': -7.3698807, ' an': -7.2024474, ' odd': -7.5516715, ' 0': -4.29588, ' even': -0.018505847}
{' Odd': -5.470549, ':': -5.7624283, ' 1': -4.2471957, ' odd': -0.045270555, ' even': -4.171169}
{' even': -0.027755225, ' 0': -4.2826033, ':': -5.2491655, '\n': -6.1610913, ' ': -6.1916676}
{' Odd': -4.8704486, ':': -4.713413, ' 1': -2.54417, ' odd': -0.11920866, ' even': -4.7990084}
{':': -7.703831, ' an': -7.7092414, ' Even': -7.9187055, ' 0': -7.0215116, ' even': -0.0031271789}
{'\n': -4.101139, ' ': -5.1607137, ':': -4.4045386, ' 1': -2.578762, ' odd': -0.13075466}
{'\n': -7.3841314, ' ': -6.585476, ':': -5.2858434, ' 0': -6.052316, ' even': -0.011936901}
{' 1': -0.5881641, ' odd': -0.8482291, ' even': -5.572229, ' one': -5.7464848, ' 0': -5.9175344}
{'\n': -4.6027603, ':': -3.808732, ' 1': -4.4777336, ' odd': -0.22623372, ' even': -2.0666296}
{' ': -6.895201, ':': -4.971615, ' Even': -6.1101055, ' 0': -5.1337757, ' even': -0.021455076}
{' Odd': -5.62296, ':': -5.4979997, ' 1': -2.5401168, ' odd': -0.17774618, ' even': -2.8532705}
{' ': -7.722277, ' an': -6.847218, ' Even': -6.8566747, ' 0': -5.3910375, ' even': -0.009050933}
{' ': -6.1363235, ':': -5.150979, ' 1': -0.495209, ' odd': -0.97803724, ' even': -6.203026}
{' ': -7.263018, ':': -5.7725306, ' an': -6.7762136, ' 0': -6.7727733, ' even': -0.008930465}
{' Odd': -5.429572, ' ': -6.749207, ' 1': -5.315384, ' odd': -0.01716446, ' even': -5.5646157}
{'\n': -3.699223, ' ': -3.257399, ':': -2.3442416, ' an': -4.788506, ' even': -0.205012}
{'\n': -6.128912, ' Odd': -4.4773984, ' 1': -3.0501485, ' odd': -0.08723867, ' even': -4.2584743}
{' odd': -0.68440306, ' even': -0.88317454, ':': -3.1786513, ' 1': -4.5394864, ' Odd': -5.0167394}
{' even': -0.024730826, ' 0': -4.232546, ':': -5.3099213, ' ': -7.2247334, ' Even': -7.2293634}
{' odd': -0.01649665, ' 1': -5.108971, ' even': -5.9526973, ' Odd': -6.0007463, ':': -6.2565794}
{' even': -0.0126264235, ':': -5.7295823, ' 0': -5.7830753, ' ': -6.359748, ' Even': -6.682379}
{' ': -6.875024, ' 1': -0.33787113, ' odd': -1.2719665, ' 0': -7.3294873, ' even': -6.8875365}
{' even': -0.004308464, ':': -6.3530793, ' Even': -7.346519, ' ': -8.018648, '\n': -8.117316}
{'\n': -5.3479805, ' ': -5.2669234, ':': -5.401211, ' odd': -0.03098292, ' even': -5.0707397}
{' even': -0.31736445, ':': -1.8491105, '\n': -3.3716962, ' ': -3.4955773, ' 0': -3.9608817}
{' odd': -0.5025773, ' 1': -1.0162243, ' even': -4.423015, ' Odd': -5.2967243, ' one': -5.7645154}
{' Odd': -4.92062, ':': -5.3554635, ' 1': -5.082457, ' odd': -0.050181154, ' even': -3.821443}
{' even': -0.012001748, ' 0': -5.1736465, ':': -6.399205, ' Even': -7.1859927, ' "': -7.3192897}
{'\n': -5.870355, ':': -5.564347, ' 1': -3.300434, ' odd': -0.100673765, ' even': -3.4822493}
{' even': -0.06338769, ' 0': -3.024281, ':': -4.9136796, '\n': -6.530391, ' ': -6.7780137}
{' odd': -0.49257547, ' 1': -1.092902, ' even': -3.406126, ':': -5.4281745, ' ': -5.6097064}
{' ': -7.4595494, ':': -7.411609, ' an': -7.43748, ' Even': -7.1903796, ' even': -0.004042289}
{' Odd': -4.618321, ':': -6.216685, ' 1': -6.041378, ' odd': -0.021492891, ' even': -6.0911026}
{' ': -7.09681, ':': -6.9495053, ' an': -6.6274776, ' Even': -7.6873407, ' even': -0.0046465667}
{' odd': -0.48038155, ' 1': -1.1985403, ' Odd': -4.16902, '\n': -4.2064505, ':': -4.2184215}
{' Odd': -4.9981155, ':': -3.836703, ' 1': -4.4985704, ' odd': -0.42879593, ' even': -1.2351466}
{' ': -5.7804885, ':': -4.23475, ' Even': -5.540092, ' 0': -6.235851, ' even': -0.034395237}
{' odd': -0.016918063, ' 1': -4.493634, ' Odd': -6.0357647, ' even': -6.8475385, ' ': -7.6391797}
{':': -6.868772, ' an': -6.482006, ' odd': -6.9322157, ' 0': -4.608249, ' even': -0.016099647}
{' odd': -0.25739583, ':': -2.7322233, ' 1': -2.766269, '\n': -3.3979943, ' even': -4.2697554}
{' even': -0.0045688422, ' 0': -6.6255236, ':': -7.0563273, ' ': -7.5722775, ' an': -7.825798}
{' Odd': -6.3235674, ' an': -7.078616, ' 1': -4.0503473, ' odd': -0.025190318, ' even': -5.83498}
{' ': -6.857771, ':': -6.4733152, ' an': -7.550015, ' 0': -7.1351027, ' even': -0.0051059104}
{' odd': -0.17091517, ' 1': -2.1175628, ' Odd': -4.31702, ':': -4.6477647, ' even': -5.3513207}
{' Odd': -4.8200264, ':': -5.413386, ' 1': -5.5737243, ' odd': -0.034460075, ' even': -4.7637553}
{':': -5.806114, ' an': -7.3008914, ' 0': -2.108012, ' zero': -6.5174136, ' even': -0.13811968}
{' odd': -0.06299543, ' 1': -2.9456284, ' even': -5.776336, ' Odd': -6.3366995, ' one': -7.145717}
{'\n': -5.1158032, ' ': -6.303014, ':': -3.8057075, ' 0': -3.0839858, ' even': -0.087725475}
{' 1': -0.25021416, ' odd': -1.5412164, ' even': -6.3809586, ':': -6.6525726, ' ': -7.1365805}
{' ': -6.907169, ':': -5.608457, ' Even': -6.8340073, ' 0': -6.610385, ' even': -0.010428396}
{' odd': -0.04606109, '\n': -4.32062, ' Odd': -4.7805333, ' 1': -4.8826594, ':': -4.9165235}
{'\n': -4.068727, ' ': -3.5188413, ':': -2.1149125, ' 0': -1.8944174, ' even': -0.4273506}
{' odd': -0.32595202, ' 1': -1.4318137, ' even': -4.2993374, ':': -4.9073057, '\n': -5.2579417}
{' odd': -0.023238748, ' even': -4.8876987, ' Odd': -4.94799, ' 1': -5.6572547, ':': -6.3624034}
{'\n': -6.2903976, ':': -4.4213376, ' odd': -6.2250166, ' 0': -5.563613, ' even': -0.025255786}
{' odd': -0.039199326, ' even': -3.7017846, ' Odd': -5.345834, ' 1': -5.4013996, ' an': -7.213934}
{'\n': -6.721891, ' ': -6.6104817, ':': -5.448217, ' 0': -3.1120362, ' even': -0.056709018}
{'\n': -6.552528, ':': -5.886154, ' 1': -0.5216523, ' odd': -0.9391003, ' even': -5.5090985}
{' even': -0.012331296, ':': -5.72947, ' an': -5.8437023, '\n': -6.2536783, ' Even': -6.8687353}
{' Odd': -5.8505554, ':': -6.993524, ' 1': -2.0376985, ' odd': -0.14867371, ' even': -6.965924}
{' even': -0.026110545, ' 0': -3.862006, ' ': -6.3754773, ':': -6.7032695, ' an': -7.8566155}
{' Odd': -4.5546794, ':': -6.074595, ' 1': -3.3733432, ' odd': -0.05162305, ' even': -6.888718}
{' Odd': -5.4018173, ':': -6.5012884, ' 1': -3.3729432, ' odd': -0.06372096, ' even': -4.009506}
{'\n': -5.9454536, ':': -4.7336993, ' odd': -5.8983765, ' 0': -4.9238553, ' even': -0.027952757}
{'\n': -5.509401, ' Odd': -5.629365, ' 1': -3.1890128, ' odd': -0.06696938, ' even': -4.7208586}
{' even': -0.06508979, ' 0': -3.0937035, ':': -4.6067977, '\n': -6.1650486, ' ': -6.344587}
{' ': -5.700931, ' 1': -0.87374276, ' odd': -0.6241298, ' 0': -5.278437, ' even': -3.6023345}
{':': -6.9886384, ' an': -6.6707563, ' Even': -6.7813787, ' 0': -7.506168, ' even': -0.0055769146}
{' Odd': -5.9976306, ' an': -6.644691, ' 1': -3.838292, ' odd': -0.035153393, ' even': -5.0808926}
{' ': -6.265567, ':': -5.179851, ' an': -5.6817846, ' Even': -6.081489, ' even': -0.016513983}
{' Odd': -3.295462, ':': -5.2031493, ' 1': -4.559778, ' odd': -0.07432193, ' even': -4.5414023}
{' Odd': -5.091317, ':': -4.9933047, ' 1': -4.609217, ' odd': -0.060119316, ' even': -3.7046266}
{' ': -6.574233, ':': -6.199731, ' odd': -6.8052244, ' 0': -5.731485, ' even': -0.012692946}
{' Odd': -5.245234, ' 1': -3.2270217, ' "': -6.8547993, ' odd': -0.057726603, ' even': -5.486437}
{'\n': -5.9272447, ' ': -6.2608566, ':': -5.4614735, ' 0': -3.3693573, ' even': -0.048422463}
{'\n': -5.907766, ':': -5.3586974, ' 1': -4.110684, ' odd': -0.08654359, ' even': -3.0252397}
{' ': -7.4111648, ':': -7.349252, ' an': -6.7175326, ' 0': -5.879698, ' even': -0.0066815843}
{'\n': -6.260434, ' ': -6.100713, ':': -6.200714, ' 1': -3.02453, ' odd': -0.06328101}
{' even': -0.092407614, ' 0': -2.7407994, ':': -4.245735, ' zero': -6.0642815, ' odd': -6.5556493}
{' odd': -0.32065576, ' 1': -1.5103749, ' even': -4.5220995, '\n': -4.535597, ' Odd': -4.601119}
{' Odd': -4.621586, ' 1': -5.4101067, ' "': -5.371452, ' odd': -0.054107472, ' even': -3.6976032}
{' ': -6.8898087, ':': -6.512514, ' "': -6.9288945, ' 0': -3.6577985, ' even': -0.034441568}
{' odd': -0.13079496, ' 1': -2.5489047, ' even': -3.5760021, ' Odd': -5.545106, ' ': -6.1846304}
{' ': -7.1917114, ':': -6.74193, ' Even': -7.1572647, ' 0': -4.2956448, ' even': -0.018504571}
{' odd': -0.27790868, ' 1': -1.4499438, ' even': -6.046055, ' ': -6.493046, ' Odd': -6.649193}
{'\n': -6.579925, ' ': -6.6213136, ':': -6.6209064, ' 0': -6.146088, ' even': -0.009444846}
{' odd': -0.08560365, ' 1': -3.7596045, ':': -3.9454794, ' ': -4.269227, '\n': -4.5002937}
{' ': -7.0931516, ':': -7.481728, ' an': -6.180362, ' odd': -7.6907816, ' even': -0.0055251885}
{' Odd': -5.289249, ' ': -6.239652, ' 1': -1.2815375, ' odd': -0.35396135, ' even': -5.3946576}
{' Odd': -5.998498, ' 1': -4.0845075, ' odd': -0.039275885, ' 0': -5.8558693, ' even': -4.4169936}
{' even': -0.02180706, ':': -4.298873, ' EVEN': -6.5657253, ' 0': -6.569999, ' Even': -6.580653}
{' odd': -0.15584788, ' 1': -2.1145432, ':': -4.896665, ' even': -5.206855, '\n': -5.6740494}
{' even': -0.18178447, ' 0': -1.8727671, ':': -5.2616115, ' zero': -5.809909, ' ': -6.9202228}
{' 1': -0.53467673, ' odd': -0.9564202, ' even': -4.0851655, ' one': -5.5775795, ' ': -6.0020947}
{' even': -0.067642055, ' 0': -2.9249177, ' an': -5.5739512, ' zero': -6.5452266, ' ': -6.6596828}
{' odd': -0.1065701, ' 1': -2.808456, '\n': -4.379762, ' even': -4.6884537, ':': -5.0110993}
{' even': -0.004994783, ' 0': -6.445491, ' ': -6.8949933, ' an': -7.233722, ':': -7.737016}
{'\n': -4.4557595, ' Odd': -4.199718, ':': -4.1686573, ' 1': -1.9391124, ' odd': -0.22881012}
{' Odd': -4.994432, ' 1': -4.8092446, ' "': -6.256464, ' odd': -0.03879531, ' even': -4.0682006}
{' ': -7.2384243, ':': -5.871553, ' Even': -6.836606, ' 0': -6.1654506, ' even': -0.009253046}
{' Odd': -5.85728, ' 1': -2.1808062, ' one': -6.7365947, ' odd': -0.1322031, ' even': -5.78383}
{' even': -0.041656416, ' 0': -3.5506797, ' ': -5.6073613, ':': -5.9372516, '\n': -6.750407}
{' Odd': -5.3996468, ' ': -5.8115344, ':': -5.2168665, ' 1': -2.0597677, ' odd': -0.15841}
{'\n': -4.9682918, ' ': -5.511293, ':': -4.195638, ' Even': -6.411013, ' even': -0.032843396}
{' odd': -0.07758117, ' 1': -3.979258, '\n': -4.0534687, ':': -4.125377, ' ': -4.8934007}
{' even': -0.17026885, ':': -2.379337, ' ': -3.468047, '\n': -3.9704378, ' an': -6.185451}
{' odd': -0.08113811, ' 1': -3.0436099, ' Odd': -4.7137465, ' even': -5.153537, ':': -5.3226466}
{' Odd': -5.3173923, ':': -5.197093, ' 1': -4.6808786, ' odd': -0.047884416, ' even': -3.8552125}
{'\n': -5.966302, ':': -3.8364077, ' odd': -6.693174, ' 0': -3.884843, ' even': -0.053614747}
{' Odd': -6.7287726, ' 1': -1.3102323, ' one': -7.023541, ' odd': -0.32501805, ' even': -6.682185}
{' ': -6.987908, ':': -6.104572, ' Even': -7.144112, ' 0': -3.725287, ' even': -0.0308529}
{' 1': -0.3066086, ' one': -5.114876, ' odd': -1.4164145, ' 0': -5.8904357, ' even': -5.530487}
{' even': -0.004157444, ' an': -6.560047, ' Even': -7.3451447, ' ': -7.6578507, ' odd': -7.83487}
{' ': -6.1701517, ':': -6.1910567, ' 1': -2.6307755, ' odd': -0.08726124, ' even': -6.589969}
{' even': -0.15010385, ' 0': -2.6226885, ':': -3.6148367, ' ': -3.9892333, '\n': -5.1417384}
{' Odd': -4.8530917, ' an': -5.5096183, ' 1': -2.2306402, ' odd': -0.16129279, ' even': -4.0028424}
{' Odd': -5.791765, ':': -5.363473, ' 1': -3.0386124, ' odd': -0.08083156, ' even': -3.971324}
{'\n': -6.009089, ':': -3.7515337, ' 0': -3.425646, ' zero': -5.9490204, ' even': -0.07316844}
{'\n': -4.986483, ' Odd': -4.8402786, ':': -4.353893, ' 1': -4.842774, ' odd': -0.052379258}
{' even': -0.009825016, ' 0': -5.1933517, ' ': -6.7668977, ':': -7.316515, ' Even': -7.500658}
{' Odd': -3.8865013, ':': -3.98915, ' 1': -3.0745566, ' odd': -0.115639836, ' even': -5.166315}
{' ': -7.2752514, ':': -8.092971, ' an': -6.5082, ' 0': -4.727411, ' even': -0.012939149}
{' odd': -0.05067364, ' 1': -3.1034594, ' even': -6.0657916, ' Odd': -7.207191, ' an': -7.780931}
{' ': -6.813996, ':': -6.249891, ' an': -6.3842063, ' Even': -7.2477717, ' even': -0.0072672158}
{' Odd': -4.280926, ':': -5.7072105, ' 1': -2.1491363, ' odd': -0.16771014, ' even': -4.624327}
{' Odd': -6.40821, ':': -5.6600604, ' 1': -4.3212633, ' odd': -0.040577993, ' even': -3.9608812}
{' ': -6.9802656, ':': -5.077084, ' Even': -6.8548803, ' 0': -3.819087, ' even': -0.034455694}
{'\n': -5.8798156, ':': -4.9043903, ' 1': -2.3187373, ' odd': -0.13116954, ' even': -5.199396}
{' ': -6.842149, ' an': -7.5485435, ' Even': -7.708283, ' 0': -4.4951434, ' even': -0.015216344}
{' odd': -0.29805413, ' 1': -1.436747, ' even': -4.6818223, ':': -5.6345825, ' Odd': -6.122851}
{'\n': -6.052964, ' ': -6.794925, ' an': -5.593532, ' 0': -5.4454956, ' even': -0.016460903}
{' Odd': -6.4385877, ' ': -6.3052473, ' 1': -2.9531043, ' odd': -0.065904185, ' even': -5.5269866}
{' even': -0.030567652, ' 0': -3.9721885, ':': -5.333754, ' ': -6.3694067, ' an': -7.119901}
{' odd': -0.24647655, ' 1': -1.7459024, ' even': -3.9613879, ' Odd': -4.768504, ':': -5.207483}
{' Odd': -5.6095915, ' 1': -3.6783385, ' odd': -0.057515714, ' 0': -5.3336287, ' even': -4.129379}
{' even': -0.03730318, ' 0': -3.851816, ':': -5.731039, ' an': -5.7903566, ' ': -6.221628}
{' Odd': -5.448824, ' 1': -3.2872355, ' "': -6.501198, ' odd': -0.07502429, ' even': -3.8567643}
{' even': -0.020811964, ' 0': -4.3253746, ':': -6.1972947, ' ': -6.953978, ' Even': -7.032859}
{' Odd': -5.9895396, ':': -5.959766, ' 1': -1.2245467, ' odd': -0.37207437, ' even': -5.241643}
{' ': -7.316066, ':': -7.206237, ' an': -7.0031314, ' Even': -7.406318, ' even': -0.004360426}
{' odd': -0.07431506, ' 1': -2.7793167, ' even': -6.0142517, '\n': -6.2070417, ' ': -6.7935467}
{' even': -0.016103767, ' 0': -5.5775585, ':': -5.6198297, ' an': -6.0037055, ' ': -6.070252}
{'\n': -5.182713, ' Odd': -4.661775, ':': -4.878528, ' 1': -2.1090972, ' odd': -0.17026687}
