{'\n': -2.1818035, ' 4': -2.3421, ' 6': -2.3980253, ' 7': -2.5073662, ' 8': -1.9333103}
{' 8': -1.9136431, '\n': -2.2057498, ' 4': -2.3005497, ' 6': -2.372311, ' 5': -2.4390893}
{'\n': -2.3719542, ' 4': -2.2978, ' 5': -2.4244034, ' 6': -2.3200912, ' 8': -1.8453169}
{' 8': -1.9002913, '\n': -2.226258, ' 4': -2.2977638, ' 6': -2.362937, ' 5': -2.4444387}
{'\n': -2.149787, ' 4': -2.316368, ' 5': -2.4689233, ' 6': -2.369979, ' 8': -1.9180402}
{'\n': -2.0484207, ' 4': -2.3257968, ' 5': -2.4778993, ' 6': -2.3978033, ' 8': -1.9285783}
{' 8': -1.9440844, '\n': -2.0858262, ' 4': -2.3226225, ' 6': -2.39839, ' 5': -2.4871457}
{'\n': -2.1061766, ' 4': -2.337388, ' 5': -2.4721234, ' 6': -2.3890028, ' 8': -1.9417832}
{' 4': -2.2705324, ' 5': -2.3958921, ' 6': -2.2823913, ' 7': -2.4507768, ' 8': -1.8371838}
{'\n': -2.2368882, ' 4': -2.2998145, ' 5': -2.4309819, ' 6': -2.3739038, ' 8': -1.9243348}
{' 4': -2.2607567, ' 5': -2.384291, ' 6': -2.3121986, ' 7': -2.4461625, ' 8': -1.8715984}
{'\n': -2.43816, ' 4': -2.2769394, ' 5': -2.401865, ' 6': -2.336499, ' 8': -1.9011134}
{' 8': -1.8736508, ' 4': -2.27047, ' 6': -2.320574, ' 5': -2.4086404, ' 7': -2.4460804}
{' 8': -1.8784734, ' 4': -2.2764835, ' 6': -2.3202333, ' 5': -2.395737, ' 7': -2.4352665}
{' 8': -1.8538414, ' 4': -2.253455, ' 6': -2.2865102, ' 5': -2.3784196, ' 7': -2.4223793}
{'\n': -2.4230072, ' 4': -2.3083699, ' 5': -2.4121888, ' 6': -2.3416655, ' 8': -1.9036602}
{' 8': -1.8695358, ' 4': -2.2401614, ' 6': -2.2768111, ' 5': -2.3929772, ' 7': -2.4490514}
{'\n': -2.3109868, ' 4': -2.2879746, ' 5': -2.408826, ' 6': -2.327576, ' 8': -1.8940794}
{' 4': -2.2534742, ' 5': -2.4012156, ' 6': -2.302571, ' 7': -2.4243555, ' 8': -1.8729553}
{'\n': -2.4081848, ' 4': -2.3001387, ' 5': -2.400806, ' 6': -2.314876, ' 8': -1.9029115}
{' 4': -2.2079034, ' 5': -2.3445487, ' 6': -2.2145848, ' 7': -2.4175174, ' 8': -1.8350072}
{' 4': -2.2673461, ' 5': -2.3783398, ' 6': -2.286213, ' 7': -2.4438055, ' 8': -1.8749312}
{' 8': -1.8467205, ' 6': -2.2628572, ' 4': -2.2945726, ' 5': -2.4023578, ' 7': -2.4580142}
{'\n': -2.0892901, ' 4': -2.3652148, ' 5': -2.4763896, ' 6': -2.2966745, ' 8': -1.9087634}
{' 8': -1.8159021, ' 6': -2.2129586, ' 4': -2.2850125, ' 5': -2.3784916, ' 9': -2.3798115}
{' 8': -1.8775923, '\n': -2.292168, ' 4': -2.2977574, ' 6': -2.3092692, ' 9': -2.4438412}
{' 8': -1.854216, ' 4': -2.25944, ' 6': -2.3433354, '\n': -2.3794692, ' 5': -2.4582589}
{'\n': -2.3433192, ' 4': -2.266212, ' 6': -2.3370354, ' 8': -1.8400663, ' 9': -2.4509234}
{' 4': -2.2300313, ' 5': -2.4535267, ' 6': -2.343301, ' 8': -1.842625, ' 9': -2.4674857}
{' 8': -1.8089292, ' 4': -2.226858, ' 6': -2.3003678, ' 9': -2.4124143, ' 5': -2.4167917}
{' 8': -1.8039861, ' 4': -2.2214885, ' 6': -2.3335955, ' 5': -2.4347594, ' 9': -2.4446614}
{' 8': -1.8638709, ' 4': -2.2671406, '\n': -2.3350565, ' 6': -2.3928235, ' 9': -2.475752}
{' 8': -1.8717223, '\n': -2.2426243, ' 4': -2.2514517, ' 6': -2.401625, ' 7': -2.4971488}
{' 8': -1.8273776, ' 4': -2.248975, ' 6': -2.3701413, '\n': -2.3840601, ' 9': -2.4555085}
{'\n': -2.4491305, ' 4': -2.2524912, ' 6': -2.3744872, ' 8': -1.8489687, ' 9': -2.4652207}
{'\n': -2.2706327, ' 4': -2.2802393, ' 6': -2.3956854, ' 8': -1.8729497, ' 9': -2.4906616}
{' 8': -1.8131862, ' 4': -2.2223632, ' 6': -2.350964, ' 5': -2.4572923, ' 9': -2.4581487}
{' 4': -2.2530403, ' 5': -2.4476318, ' 6': -2.3694973, ' 8': -1.847479, ' 9': -2.445716}
{' 4': -2.2434516, ' 5': -2.4321485, ' 6': -2.344837, ' 8': -1.8290116, ' 9': -2.429508}
{' 8': -1.9168675, '\n': -2.26032, ' 4': -2.2871144, ' 6': -2.4029696, ' 5': -2.4973893}
{' 8': -1.9019566, ' 4': -2.268015, '\n': -2.3663063, ' 6': -2.3980951, ' 7': -2.4857645}
{'\n': -2.2760007, ' 4': -2.257302, ' 6': -2.3560019, ' 8': -1.897597, ' 9': -2.4772537}
{' 8': -1.8753458, ' 4': -2.2418418, ' 6': -2.4058156, '\n': -2.4664006, ' 7': -2.4868448}
{'\n': -2.1338565, ' 4': -2.2986934, ' 6': -2.4617841, ' 7': -2.5209215, ' 8': -1.9211088}
{' 4': -2.2370203, ' 5': -2.4588344, ' 6': -2.3621128, ' 8': -1.8336723, ' 9': -2.428229}
{'\n': -2.4086833, ' 4': -2.2458723, ' 6': -2.3870828, ' 7': -2.4778743, ' 8': -1.8887306}
{' 4': -2.2389944, ' 5': -2.4378364, ' 6': -2.3405473, ' 8': -1.8181044, ' 9': -2.4329429}
{' 8': -1.8755398, ' 4': -2.267192, '\n': -2.3289547, ' 6': -2.3857822, ' 9': -2.4651527}
{' 4': -2.2432775, ' 5': -2.4386864, ' 6': -2.344922, ' 8': -1.8397266, ' 9': -2.459527}
{' 8': -1.8410953, ' 4': -2.2460313, '\n': -2.289036, ' 6': -2.3693955, ' 5': -2.473718}
{'\n': -2.2921512, ' 4': -2.2379901, ' 5': -2.472183, ' 6': -2.3928313, ' 8': -1.8200014}
{' 8': -1.8940316, '\n': -2.159463, ' 4': -2.28426, ' 6': -2.4378788, ' 7': -2.504166}
{' 8': -1.863173, ' 4': -2.2626872, ' 6': -2.3640962, '\n': -2.446073, ' 5': -2.4522872}
{' 8': -1.9010261, '\n': -2.22845, ' 4': -2.2752976, ' 6': -2.4063745, ' 5': -2.4973912}
{' 8': -1.852987, ' 4': -2.2441545, ' 6': -2.3313577, ' 5': -2.4138582, ' 9': -2.4417713}
{'\n': -2.3721006, ' 4': -2.2664764, ' 5': -2.4566572, ' 6': -2.350291, ' 8': -1.8919885}
{'\n': -2.3726015, ' 4': -2.2572453, ' 5': -2.4268878, ' 6': -2.3240757, ' 8': -1.8228723}
{' 8': -1.836773, ' 4': -2.2629168, '\n': -2.2828534, ' 6': -2.3324814, ' 5': -2.4420137}
{'\n': -2.4155197, ' 4': -2.2506475, ' 5': -2.4502792, ' 6': -2.3428736, ' 8': -1.8379536}
{'\n': -2.0616944, ' 4': -2.2931852, ' 6': -2.4142067, ' 7': -2.4984589, ' 8': -1.8864452}
{' 4': -2.2607608, ' 5': -2.4548488, ' 6': -2.3463864, ' 8': -1.8583931, ' 9': -2.4490619}
{' 8': -1.869472, ' 4': -2.252174, '\n': -2.2798657, ' 6': -2.3685498, ' 7': -2.475963}
{' 8': -1.8151808, ' 4': -2.239992, ' 6': -2.3179567, ' 9': -2.414321, ' 5': -2.414747}
{' 8': -1.8592283, ' 4': -2.2757885, ' 6': -2.3474264, '\n': -2.352606, ' 5': -2.4558032}
{' 8': -1.8691479, '\n': -2.2709727, ' 4': -2.2742298, ' 6': -2.3711457, ' 5': -2.468432}
{'\n': -2.1774101, ' 4': -2.281208, ' 5': -2.4722903, ' 6': -2.356766, ' 8': -1.8811064}
{' 8': -1.8821921, ' 4': -2.2643554, ' 6': -2.351772, '\n': -2.3542752, ' 5': -2.4665754}
{'\n': -2.1187463, ' 4': -2.2848709, ' 6': -2.4094558, ' 7': -2.498261, ' 8': -1.9013877}
{' 8': -1.8292954, ' 4': -2.2659473, '\n': -2.3333883, ' 6': -2.341612, ' 5': -2.4445877}
{'\n': -2.1752434, ' 4': -2.2813225, ' 5': -2.4728956, ' 6': -2.376234, ' 8': -1.8782349}
{' 4': -2.2519217, ' 5': -2.4086885, ' 6': -2.3051908, ' 8': -1.8280239, ' 9': -2.4260235}
{'\n': -2.1020246, ' 4': -2.3126311, ' 5': -2.4893918, ' 6': -2.3829265, ' 8': -1.9002118}
{' 8': -1.8389819, ' 4': -2.2592747, ' 6': -2.3401797, ' 5': -2.4252722, '\n': -2.4403155}
{'\n': -2.2506657, ' 4': -2.275899, ' 5': -2.4416409, ' 6': -2.3487663, ' 8': -1.8463039}
{'\n': -2.27334, ' 4': -2.26965, ' 5': -2.450005, ' 6': -2.361918, ' 8': -1.8543612}
{' 8': -1.8985059, '\n': -2.1356876, ' 4': -2.2976043, ' 6': -2.3973644, ' 5': -2.4858558}
{' 8': -1.8341972, ' 4': -2.2541885, ' 6': -2.3379612, ' 5': -2.4215813, ' 7': -2.4636612}
{'\n': -2.203778, ' 4': -2.2812457, ' 5': -2.4589648, ' 6': -2.383368, ' 8': -1.8680634}
{' 3': -2.445255, ' 4': -2.228685, ' 5': -2.3672013, ' 6': -2.2980897, ' 8': -1.8241775}
{'\n': -2.2112732, ' 4': -2.2975404, ' 5': -2.4597948, ' 6': -2.3776274, ' 8': -1.8744247}
{'\n': -2.3336036, ' 4': -2.275625, ' 5': -2.433481, ' 6': -2.3346088, ' 8': -1.842569}
{'\n': -2.3344648, ' 4': -2.2704473, ' 5': -2.4336705, ' 6': -2.332377, ' 8': -1.8220507}
{'\n': -2.3178344, ' 4': -2.2650943, ' 5': -2.436189, ' 6': -2.3420804, ' 8': -1.8202871}
{'\n': -2.3050156, ' 4': -2.276763, ' 5': -2.4555845, ' 6': -2.3656638, ' 8': -1.8590794}
{' 4': -2.2400272, ' 5': -2.3804271, ' 6': -2.2826405, ' 8': -1.8021543, ' 9': -2.441908}
{' 8': -1.8265927, ' 4': -2.2874198, ' 6': -2.3281178, '\n': -2.3678632, ' 5': -2.41571}
{' 8': -1.8053542, ' 4': -2.2736647, ' 6': -2.2912552, ' 5': -2.3972704, ' 9': -2.4291158}
{' 8': -1.8388611, ' 6': -2.2577758, ' 4': -2.26261, ' 5': -2.3766932, ' 9': -2.4226844}
{' 4': -2.252838, ' 5': -2.3884141, ' 6': -2.2516992, ' 8': -1.8072442, ' 9': -2.4318168}
{' 8': -1.8035693, ' 4': -2.2451282, ' 6': -2.2558362, ' 5': -2.3840034, ' 9': -2.4150844}
{' 8': -1.7956142, ' 4': -2.2361584, ' 6': -2.292366, ' 5': -2.4073334, ' 9': -2.441847}
{' 8': -1.8224124, ' 4': -2.2566564, ' 6': -2.317129, ' 5': -2.4292543, ' 7': -2.444327}
{'\n': -2.419768, ' 4': -2.2404287, ' 5': -2.4318779, ' 6': -2.3094203, ' 8': -1.8040369}
{' 8': -1.840979, '\n': -2.2376552, ' 4': -2.272531, ' 6': -2.3388944, ' 5': -2.4596827}
{' 8': -1.8053718, ' 4': -2.2386003, ' 6': -2.3162742, ' 5': -2.407336, ' 9': -2.4350057}
{' 8': -1.8527093, '\n': -2.2317872, ' 4': -2.272429, ' 6': -2.3662515, ' 5': -2.461184}
{' 8': -1.8422204, ' 4': -2.259942, '\n': -2.3319702, ' 6': -2.3396158, ' 5': -2.4594386}
{' 8': -1.8782841, '\n': -2.1378477, ' 4': -2.3016756, ' 6': -2.3573558, ' 5': -2.490751}
{'\n': -2.3923821, ' 4': -2.2565284, ' 5': -2.452831, ' 6': -2.3320918, ' 8': -1.8451077}
{'\n': -2.2547905, ' 4': -2.2708266, ' 6': -2.3619578, ' 7': -2.4659607, ' 8': -1.862281}
{' 4': -2.2390687, ' 5': -2.422918, ' 6': -2.3181372, ' 7': -2.4502602, ' 8': -1.8203735}
{'\n': -2.1938894, ' 4': -2.2880523, ' 5': -2.4703875, ' 6': -2.3651388, ' 8': -1.8709648}
{' 8': -1.8111582, ' 4': -2.2380142, ' 6': -2.306331, ' 5': -2.3981104, ' 9': -2.4442425}
{' 8': -1.8751432, '\n': -2.2352002, ' 4': -2.2896671, ' 6': -2.34639, ' 5': -2.4589112}
{' 8': -1.8184978, ' 4': -2.256409, ' 6': -2.2675774, ' 5': -2.3891175, ' 9': -2.4305432}
{' 8': -1.8318802, ' 4': -2.2606044, ' 6': -2.284452, ' 5': -2.4182584, '\n': -2.4239697}
{' 4': -2.2532065, ' 5': -2.4140038, ' 6': -2.2926562, ' 8': -1.8296053, ' 9': -2.464845}
{' 8': -1.8469753, ' 4': -2.2641516, ' 6': -2.327055, '\n': -2.35742, ' 5': -2.4446564}
{' 4': -2.2445443, ' 5': -2.3841813, ' 6': -2.2539895, ' 8': -1.8150837, ' 9': -2.4265702}
{' 4': -2.2505913, ' 5': -2.4226387, ' 6': -2.2900226, ' 7': -2.4484396, ' 8': -1.8775826}
{' 8': -1.8181326, ' 4': -2.2323573, ' 6': -2.2799103, ' 5': -2.3879616, ' 9': -2.4168513}
{' 8': -1.8582978, ' 4': -2.2779622, ' 6': -2.325637, '\n': -2.3527064, ' 5': -2.4435468}
{' 4': -2.252772, ' 5': -2.4068897, ' 6': -2.3030813, ' 7': -2.444229, ' 8': -1.8322799}
{' 4': -2.261759, ' 5': -2.4225037, ' 6': -2.323252, ' 7': -2.440331, ' 8': -1.8432839}
{' 8': -1.829611, ' 4': -2.2412188, ' 6': -2.307895, ' 5': -2.4094546, ' 7': -2.442075}
{'\n': -2.3659341, ' 4': -2.2753446, ' 5': -2.4437132, ' 6': -2.3491497, ' 8': -1.8646764}
{' 4': -2.2433488, ' 5': -2.3881776, ' 6': -2.2771728, ' 8': -1.8007972, ' 9': -2.4341533}
{' 8': -1.844213, ' 4': -2.2633548, ' 6': -2.3056598, ' 5': -2.4090924, ' 7': -2.4405875}
{' 8': -1.8095624, ' 4': -2.2463415, ' 6': -2.2676227, ' 5': -2.3850849, ' 9': -2.435577}
{' 8': -1.8379843, ' 6': -2.2753956, ' 4': -2.2926266, ' 5': -2.4055264, ' 9': -2.4356294}
{' 8': -1.8225493, ' 4': -2.2514958, ' 6': -2.2617583, ' 5': -2.379146, ' 9': -2.4501157}
{' 8': -1.8071966, ' 4': -2.2518663, ' 6': -2.2677834, ' 5': -2.3708076, ' 9': -2.4271774}
{' 8': -1.8013803, ' 4': -2.2727158, ' 6': -2.315985, '\n': -2.3357012, ' 5': -2.4128532}
{'\n': -2.142249, ' 4': -2.305459, ' 5': -2.4548578, ' 6': -2.3668566, ' 8': -1.8596239}
{' 8': -1.8011583, ' 4': -2.270163, ' 6': -2.3061366, '\n': -2.3525863, ' 5': -2.4131207}
{' 8': -1.8155321, ' 4': -2.2704728, ' 6': -2.320228, '\n': -2.3464215, ' 5': -2.4167056}
{' 8': -1.8051146, ' 4': -2.234805, ' 6': -2.2848978, ' 5': -2.3748045, ' 9': -2.445632}
{'\n': -2.0508356, ' 4': -2.324649, ' 5': -2.4655612, ' 6': -2.378754, ' 8': -1.8788072}
{'\n': -2.3475168, ' 4': -2.2691858, ' 5': -2.4112642, ' 6': -2.3140867, ' 8': -1.8338201}
{' 8': -1.8615372, '\n': -2.2130513, ' 4': -2.3004937, ' 6': -2.3623078, ' 5': -2.4438844}
{' 4': -2.2447517, ' 5': -2.4052672, ' 6': -2.3081107, ' 7': -2.4613414, ' 8': -1.8360754}
{' 8': -1.8934317, '\n': -2.0846024, ' 4': -2.3178024, ' 6': -2.3832006, ' 5': -2.4706917}
{'\n': -2.3948526, ' 4': -2.2654018, ' 5': -2.4022903, ' 6': -2.3055153, ' 8': -1.8418503}
{'\n': -2.264844, ' 4': -2.2978363, ' 5': -2.4334269, ' 6': -2.3420658, ' 8': -1.8727417}
{' 4': -2.2651331, ' 5': -2.390082, ' 6': -2.2964156, ' 8': -1.8235877, ' 9': -2.4548447}
{' 4': -2.2969089, ' 5': -2.3974118, ' 6': -2.297421, ' 8': -1.8432848, ' 9': -2.4487832}
{' 8': -1.8365383, '\n': -2.1844807, ' 4': -2.2880554, ' 6': -2.323431, ' 5': -2.4221706}
{' 4': -2.278812, ' 5': -2.3748243, ' 6': -2.305661, ' 8': -1.7905316, ' 9': -2.4297159}
{' 4': -2.2667937, ' 5': -2.3811078, ' 6': -2.3056157, ' 8': -1.7823377, ' 9': -2.4359994}
{'\n': -2.322086, ' 4': -2.293949, ' 5': -2.4086921, ' 6': -2.3386934, ' 8': -1.8215681}
{'\n': -2.404286, ' 4': -2.280064, ' 5': -2.3926413, ' 6': -2.2986417, ' 8': -1.8138937}
{' 8': -1.8438834, '\n': -2.2480145, ' 4': -2.3041668, ' 6': -2.3507853, ' 5': -2.4211645}
{' 8': -1.7859205, ' 4': -2.264073, ' 6': -2.2746062, ' 5': -2.3696418, ' 9': -2.4178748}
{' 8': -1.839832, '\n': -2.2560422, ' 4': -2.307856, ' 6': -2.3097377, ' 5': -2.41614}
{' 8': -1.8018192, ' 4': -2.291816, ' 6': -2.298757, '\n': -2.302647, ' 5': -2.3973477}
{'\n': -2.3622942, ' 4': -2.3096495, ' 5': -2.378377, ' 6': -2.322754, ' 8': -1.7962915}
{' 4': -2.2754288, ' 5': -2.3651009, ' 6': -2.2703044, ' 8': -1.7626761, ' 9': -2.404332}
{' 8': -1.8275256, ' 4': -2.3098483, ' 6': -2.3148036, '\n': -2.3335118, ' 5': -2.4072537}
{' 4': -2.2771146, ' 5': -2.349755, ' 6': -2.2525802, ' 8': -1.7745595, ' 9': -2.3915145}
{' 4': -2.2873967, ' 5': -2.357834, ' 6': -2.25338, ' 8': -1.781851, ' 9': -2.3812604}
{' 8': -1.7863313, ' 6': -2.24156, ' 4': -2.2893467, ' 5': -2.3539994, ' 9': -2.3844378}
{' 4': -2.2879312, ' 5': -2.3470666, ' 6': -2.2230184, ' 8': -1.8236845, ' 9': -2.3875177}
{' 8': -1.8679192, '\n': -2.082929, ' 4': -2.2635226, ' 6': -2.3812993, ' 5': -2.4721599}
{' 8': -1.882601, '\n': -1.9589105, ' 4': -2.2949116, ' 6': -2.4275572, ' 5': -2.5098414}
{'\n': -1.8623683, ' 4': -2.3130903, ' 5': -2.5388973, ' 6': -2.4664266, ' 8': -1.8828152}
{'\n': -2.0941515, ' 4': -2.2983532, ' 5': -2.4993439, ' 6': -2.4392426, ' 8': -1.8827761}
{'\n': -2.2134757, ' 4': -2.2730887, ' 6': -2.4294086, ' 8': -1.8524479, ' 9': -2.4867558}
{' 8': -1.8086175, ' 4': -2.2434242, ' 6': -2.3761597, '\n': -2.425101, ' 5': -2.437209}
{' 8': -1.8719368, '\n': -2.075719, ' 4': -2.2869484, ' 6': -2.4374888, ' 5': -2.497654}
{'\n': -2.0569715, ' 4': -2.300084, ' 5': -2.5068061, ' 6': -2.45117, ' 8': -1.8828564}
{'\n': -1.8334157, ' 4': -2.3105638, ' 6': -2.5132844, ' 7': -2.561823, ' 8': -1.9090812}
{'\n': -1.9895521, ' 4': -2.289356, ' 6': -2.4614933, ' 7': -2.519361, ' 8': -1.8706012}
{'\n': -2.3741071, ' 4': -2.2470665, ' 6': -2.4043376, ' 8': -1.8245504, ' 9': -2.4630277}
{' 8': -1.861402, '\n': -2.0451248, ' 4': -2.2819011, ' 6': -2.4432008, ' 5': -2.5091627}
{' 8': -1.8857903, '\n': -2.147139, ' 4': -2.2718463, ' 6': -2.4497046, ' 5': -2.5025258}
{'\n': -2.2033494, ' 4': -2.2694237, ' 5': -2.492509, ' 6': -2.4431384, ' 8': -1.868953}
{'\n': -2.0943034, ' 4': -2.2845232, ' 5': -2.4883492, ' 6': -2.427704, ' 8': -1.8719695}
{'\n': -2.118843, ' 4': -2.3028708, ' 5': -2.4953024, ' 6': -2.4195702, ' 8': -1.8966608}
{'\n': -1.971128, ' 4': -2.299172, ' 6': -2.484713, ' 7': -2.530026, ' 8': -1.9052119}
{' 8': -1.8665758, ' 4': -2.260307, '\n': -2.3136566, ' 6': -2.4103534, ' 9': -2.4635427}
{' 8': -1.8453238, ' 4': -2.2521985, '\n': -2.3882983, ' 6': -2.4024673, ' 9': -2.454142}
{'\n': -2.3032732, ' 4': -2.2904778, ' 6': -2.462676, ' 8': -1.9005672, ' 9': -2.4903374}
{' 8': -1.8607705, ' 4': -2.2533457, ' 6': -2.404178, ' 9': -2.4388697, '\n': -2.4478343}
{'\n': -2.3978314, ' 4': -2.2458682, ' 6': -2.3971517, ' 8': -1.8527876, ' 9': -2.4462266}
{' 8': -1.8287209, ' 4': -2.2427232, ' 6': -2.3706014, '\n': -2.4036787, ' 5': -2.4361322}
{' 8': -1.8717235, '\n': -2.0456898, ' 4': -2.2934356, ' 6': -2.4257424, ' 5': -2.4935172}
{'\n': -2.1076257, ' 4': -2.2682827, ' 5': -2.4954696, ' 6': -2.4373355, ' 8': -1.9089848}
{'\n': -2.2790236, ' 4': -2.2485, ' 5': -2.4605842, ' 6': -2.393289, ' 8': -1.8874743}
{'\n': -2.2178483, ' 4': -2.259582, ' 5': -2.4709668, ' 6': -2.4199793, ' 8': -1.8740268}
{' 8': -1.907832, '\n': -2.2338865, ' 4': -2.2768323, ' 6': -2.4297473, ' 5': -2.4852705}
{'\n': -2.292002, ' 4': -2.2639582, ' 5': -2.4553816, ' 6': -2.3997595, ' 8': -1.8797351}
{' 8': -1.8550119, ' 4': -2.2522354, ' 6': -2.3657808, '\n': -2.4130754, ' 5': -2.4273043}
{'\n': -2.3131068, ' 4': -2.2713377, ' 5': -2.43086, ' 6': -2.3693259, ' 8': -1.8754028}
{' 8': -1.8849006, ' 4': -2.2791743, '\n': -2.3168132, ' 6': -2.3500428, ' 5': -2.4374747}
{' 8': -1.8918939, '\n': -1.9908451, ' 4': -2.2904952, ' 6': -2.43228, ' 5': -2.4992833}
{'\n': -1.9829566, ' 4': -2.2979944, ' 5': -2.4906414, ' 6': -2.4285715, ' 8': -1.8917483}
{' 8': -1.8629425, '\n': -2.0871007, ' 4': -2.2682567, ' 6': -2.4186075, ' 5': -2.4808452}
{'\n': -1.9710988, ' 4': -2.2978191, ' 5': -2.5038967, ' 6': -2.4509468, ' 8': -1.8866814}
{'\n': -2.0980136, ' 4': -2.2748382, ' 5': -2.490998, ' 6': -2.4195106, ' 8': -1.8923614}
{'\n': -2.3859205, ' 4': -2.2449284, ' 5': -2.4320812, ' 6': -2.378026, ' 8': -1.8520137}
{' 8': -1.8742862, ' 4': -2.2632146, '\n': -2.270083, ' 6': -2.393595, ' 5': -2.4544454}
{'\n': -1.9141649, ' 4': -2.310718, ' 5': -2.5163603, ' 6': -2.4585354, ' 8': -1.8977549}
{'\n': -1.9528219, ' 4': -2.2953837, ' 6': -2.4644568, ' 7': -2.5221033, ' 8': -1.9113303}
{'\n': -2.324354, ' 4': -2.2638566, ' 5': -2.449912, ' 6': -2.3911912, ' 8': -1.8687618}
{'\n': -2.418064, ' 4': -2.2465134, ' 5': -2.4461746, ' 6': -2.3772087, ' 8': -1.8702344}
{'\n': -2.2058394, ' 4': -2.2948506, ' 5': -2.482159, ' 6': -2.4308045, ' 8': -1.9115422}
{' 8': -1.8720537, '\n': -2.2577322, ' 4': -2.2612474, ' 6': -2.388267, ' 5': -2.4489589}
{' 8': -1.8676463, ' 4': -2.256409, '\n': -2.3258126, ' 6': -2.3580685, ' 5': -2.4149888}
{'\n': -2.240294, ' 4': -2.2630734, ' 5': -2.4340987, ' 6': -2.3672116, ' 8': -1.8592275}
{' 8': -1.8961126, '\n': -1.9743263, ' 4': -2.3160632, ' 6': -2.4078667, ' 5': -2.4877322}
{'\n': -2.1716523, ' 4': -2.2880979, ' 5': -2.4753063, ' 6': -2.414165, ' 8': -1.9061371}
{' 8': -1.8678418, ' 4': -2.2739403, '\n': -2.2743075, ' 6': -2.3843434, ' 5': -2.4472973}
{'\n': -2.320856, ' 4': -2.2673223, ' 5': -2.4481373, ' 6': -2.3821735, ' 8': -1.8688582}
{' 8': -1.8603983, ' 4': -2.2738361, '\n': -2.3373806, ' 6': -2.3769543, ' 5': -2.443202}
{' 8': -1.8904203, '\n': -2.2430117, ' 4': -2.2782788, ' 6': -2.3997471, ' 5': -2.4623075}
{'\n': -2.3405116, ' 4': -2.264931, ' 5': -2.4400578, ' 6': -2.3742392, ' 8': -1.8821107}
{' 8': -1.8976685, ' 4': -2.2722147, '\n': -2.3544948, ' 6': -2.38247, ' 5': -2.4529932}
{'\n': -1.9171789, ' 8': -1.9249569, ' 4': -2.3347976, ' 6': -2.4348445, ' 5': -2.5098236}
{'\n': -1.8608506, ' 4': -2.3181548, ' 5': -2.4965174, ' 6': -2.4222033, ' 8': -1.9181123}
{'\n': -2.0368056, ' 4': -2.2850883, ' 5': -2.4591289, ' 6': -2.3931756, ' 8': -1.8788962}
{' 8': -1.8582649, ' 4': -2.2496128, ' 6': -2.3387194, ' 5': -2.41224, '\n': -2.448027}
{' 8': -1.8514678, ' 4': -2.2516906, ' 6': -2.3370273, ' 5': -2.4067876, '\n': -2.4241035}
{'\n': -2.2877145, ' 4': -2.256757, ' 5': -2.4135067, ' 6': -2.337517, ' 8': -1.847831}
{' 8': -1.8461739, ' 4': -2.2444637, ' 6': -2.3251023, ' 5': -2.393563, ' 9': -2.4562736}
{' 8': -1.8778666, '\n': -2.2105396, ' 4': -2.2684247, ' 6': -2.3397226, ' 5': -2.432639}
{'\n': -1.9611149, ' 4': -2.320509, ' 5': -2.4669313, ' 6': -2.3716106, ' 8': -1.9053497}
{'\n': -1.8273187, ' 4': -2.3630776, ' 5': -2.5484557, ' 6': -2.470653, ' 8': -1.9758954}
{'\n': -1.8468895, ' 8': -1.9709418, ' 4': -2.3756342, ' 6': -2.4721901, ' 5': -2.5358238}
{'\n': -1.844273, ' 8': -1.9376748, ' 4': -2.362199, ' 6': -2.4742007, ' 5': -2.5347877}
{'\n': -1.5427799, ' 8': -2.051115, ' 4': -2.4795485, ' 6': -2.6056347, ' 7': -2.6357145}
{'\n': -1.8228737, ' 4': -2.3599877, ' 5': -2.565993, ' 6': -2.50961, ' 8': -1.9331167}
{'\n': -2.07303, ' 4': -2.3081012, ' 5': -2.4972537, ' 6': -2.4427238, ' 8': -1.8842901}
{'\n': -1.8487766, ' 4': -2.3516443, ' 5': -2.5501468, ' 6': -2.5056245, ' 8': -1.9359146}
{'\n': -1.7853628, ' 4': -2.3786647, ' 5': -2.56459, ' 6': -2.5020328, ' 8': -1.9758012}
{'\n': -1.6899308, ' 4': -2.377246, ' 5': -2.5842302, ' 6': -2.5405388, ' 8': -1.9633883}
{'\n': -1.9806137, ' 4': -2.3212242, ' 5': -2.5211983, ' 6': -2.4624567, ' 8': -1.9059687}
{'\n': -2.005777, ' 4': -2.3171172, ' 5': -2.5104365, ' 6': -2.4560053, ' 8': -1.9098562}
{'\n': -1.8492836, ' 4': -2.369426, ' 5': -2.553989, ' 6': -2.4988494, ' 8': -1.9568228}
{'\n': -2.0510914, ' 4': -2.307505, ' 5': -2.4976335, ' 6': -2.44517, ' 8': -1.9205487}
{' 8': -1.9054432, '\n': -2.0296125, ' 4': -2.312891, ' 6': -2.4323862, ' 5': -2.4900246}
{'\n': -1.8204818, ' 4': -2.3586469, ' 5': -2.5246778, ' 6': -2.4701695, ' 8': -1.9515147}
{'\n': -1.8529575, ' 8': -1.9623975, ' 4': -2.368641, ' 6': -2.4563606, ' 5': -2.524429}
{'\n': -1.4944146, ' 4': -2.411731, ' 5': -2.6177645, ' 6': -2.5834734, ' 8': -2.0162928}
{'\n': -1.8820282, ' 4': -2.3493705, ' 5': -2.5281444, ' 6': -2.5026872, ' 8': -1.9627177}
