{' odd': -0.06409018, ' even': -3.2766557, ' Odd': -4.7831583, ' 1': -4.8719087, ' 0': -6.153645}
{':': -5.3702726, ' 1': -5.6471286, ' odd': -4.5512643, ' 0': -4.379529, ' even': -0.043136083}
{' Odd': -5.938537, ' 1': -3.1002867, ' odd': -0.081149615, ' 0': -6.3825145, ' even': -3.6939452}
{' even': -0.035987563, ' 0': -3.633491, ':': -6.004369, ' ': -6.5703216, '\n': -6.719889}
{' odd': -0.3288747, ' 1': -1.5649759, ' even': -2.8507116, ' 0': -5.9361324, ' Odd': -5.995506}
{' even': -0.005960293, ' 0': -6.4409184, ' Even': -7.1005106, ' odd': -7.115584, ' an': -7.1347537}
{' Odd': -7.0020547, ' an': -7.604837, ' 1': -4.995608, ' odd': -0.016500833, ' even': -5.034478}
{':': -7.3032446, ' an': -6.6138353, ' Even': -7.0895123, ' 0': -7.2043443, ' even': -0.005700634}
{' odd': -0.14552443, ' even': -2.7629225, ' 1': -2.8525386, ' Odd': -5.21539, ' ': -6.1559277}
{' Odd': -5.3214946, ' ': -6.1813927, ' 1': -4.9246325, ' odd': -0.15977077, ' even': -2.0773237}
{'\n': -5.458351, ' 1': -5.462737, ' odd': -5.3329983, ' 0': -3.9375064, ' even': -0.04630291}
{' odd': -0.11939987, ' 1': -2.4827566, ' even': -4.024711, ' Odd': -5.5854716, ' 0': -6.2403164}
{'\n': -5.868724, ' ': -5.7031155, ' 1': -6.460513, ' 0': -2.2751727, ' even': -0.12353575}
{'\n': -5.129535, ' ': -5.5951037, ' 1': -1.2124412, ' odd': -0.47211054, ' even': -2.8439984}
{' ': -6.9024706, ' an': -7.0979176, ' Even': -7.3251133, ' 0': -5.650539, ' even': -0.007990272}
{' Odd': -6.475059, ' ': -7.2040014, ' 1': -4.6076403, ' odd': -0.027423007, ' even': -4.4249234}
{' even': -0.0057787485, ' an': -6.503019, ' ': -6.8386307, ' odd': -7.3500066, ' Even': -7.3776298}
{' odd': -0.16345951, ' 1': -2.3444183, ' even': -3.1888168, ' Odd': -5.466351, ' 0': -5.9516273}
{' odd': -0.05130997, ' even': -3.5237217, ' Odd': -4.4568973, ' 1': -5.8252087, ':': -6.751234}
{':': -6.452549, ' 1': -6.0338197, ' odd': -5.138527, ' 0': -4.2036486, ' even': -0.0331593}
{'\n': -5.686691, ' ': -6.2648864, ' 1': -2.655977, ' odd': -0.09491345, ' even': -4.565918}
{' even': -0.04644108, ' 0': -3.300703, ':': -6.634543, ' ': -6.696603, ' Even': -7.0865226}
{' Odd': -5.7020845, ' 1': -1.8909373, ' odd': -0.28844786, ' 0': -5.2570076, ' even': -2.5026622}
{' ': -7.2914414, ' an': -6.874298, ' odd': -6.898395, ' 0': -5.5968, ' even': -0.00884489}
{' odd': -0.015679838, ' even': -4.8794165, ' 1': -5.3521943, ' Odd': -6.704151, ' ': -7.6807656}
{' ': -6.7234125, ':': -5.355281, ' Even': -7.3946714, ' 0': -6.486083, ' even': -0.009913687}
{' Odd': -5.0645633, ':': -6.0446105, ' 1': -2.8684337, ' odd': -0.09079918, ' even': -4.063918}
{' odd': -0.05039746, ' even': -3.535748, ' Odd': -5.0085635, ' 1': -5.496224, ' "': -6.445135}
{' ': -6.0714393, ' 1': -6.202365, ' odd': -5.553976, ' 0': -3.9075127, ' even': -0.038375847}
{'\n': -6.2883477, ' Odd': -6.3114715, ' 1': -2.480664, ' odd': -0.111196324, ' even': -4.38383}
{'\n': -7.0076528, ' ': -6.542495, ' odd': -7.0081315, ' 0': -3.1839101, ' even': -0.051558405}
{' Odd': -5.623516, ' 1': -1.9964765, ' odd': -0.21977922, ' 0': -5.60814, ' even': -3.0331812}
{' even': -0.0071176086, ' 0': -5.898801, ' ': -6.8855267, ' an': -6.9571095, ' odd': -7.469081}
{' odd': -0.04816086, ' 1': -3.3387978, ' even': -5.044711, ' Odd': -6.165428, ':': -7.0182195}
{' even': -0.004932487, ' 0': -6.8985944, ' ': -7.0194755, ' an': -7.198363, ':': -7.6306763}
{' Odd': -5.33141, ':': -5.980698, ' 1': -2.3202944, ' odd': -0.1658279, ' even': -3.1513002}
{' Odd': -4.91696, ' 1': -4.923557, ' "': -6.3035073, ' odd': -0.05050228, ' even': -3.6531482}
{' even': -0.039049264, ' 0': -3.7640247, ' odd': -5.81763, ' ': -6.166633, ' 1': -6.1764917}
{' odd': -0.08195193, ' 1': -2.9093852, ' even': -4.128719, ' Odd': -6.3625097, '\n': -6.6399546}
{'\n': -7.1798406, ' ': -6.3629274, ':': -7.4123907, ' 0': -3.5507753, ' even': -0.0361748}
{' 1': -0.96100074, ' one': -5.6179614, ' odd': -0.61321473, ' 0': -5.49197, ' even': -2.9074993}
{' ': -7.4727187, ' an': -7.8135576, ' Even': -7.865984, ' 0': -5.9432034, ' even': -0.0052604326}
{' odd': -0.023209771, ' even': -4.586479, ' 1': -4.68719, ' Odd': -6.4794254, ' ': -7.8256416}
{' even': -0.0066512832, ' ': -6.3611474, ' 0': -6.4782596, ':': -6.8982368, ' an': -7.7445498}
{' odd': -0.22510472, ' 1': -2.1825929, ' even': -2.5903227, ' ': -5.856297, ' 0': -5.949975}
{' odd': -0.07228355, ' even': -2.9708297, ' 1': -5.142798, ' Odd': -5.330279, ' 0': -6.5015893}
{' even': -0.035657484, ' 0': -3.9289432, ' ': -5.8894224, ' odd': -6.289054, '\n': -6.415676}
{' Odd': -5.13899, ' 1': -4.313684, ' odd': -0.05531012, ' 0': -6.3779635, ' even': -3.585628}
{'\n': -6.7374005, ' ': -6.1840696, ':': -6.2879753, ' 0': -2.6310642, ' even': -0.086166315}
{' Odd': -5.53311, ' 1': -1.323014, ' odd': -0.35977256, ' 0': -5.5978093, ' even': -4.055189}
{' ': -6.747686, ' an': -7.663086, ' odd': -6.964238, ' 0': -5.48692, ' even': -0.009157878}
{'\n': -7.1229615, ' Odd': -6.236913, ' 1': -4.8753963, ' odd': -0.023945682, ' even': -4.5408874}
{' even': -0.005716881, ' an': -6.864825, ' ': -6.8773084, ' 0': -6.959507, ':': -7.340121}
{' odd': -0.23241293, ' 1': -2.0560381, ' even': -2.6929145, ' Odd': -5.7586174, ' 0': -6.269863}
{' odd': -0.06224879, ' even': -3.292145, ' 1': -4.884214, ' Odd': -5.0270944, ' 0': -5.859757}
{' ': -5.931403, ' 1': -6.308608, ' odd': -6.1163588, ' 0': -3.8936481, ' even': -0.037061665}
{' Odd': -6.007798, ' 1': -2.5401616, ' odd': -0.09922464, ' 0': -6.690386, ' even': -4.896233}
{' even': -0.02514906, ' 0': -3.9750257, ' ': -6.7229447, '\n': -7.035569, ':': -7.509721}
{' odd': -0.24457526, ' 1': -2.058561, ' even': -2.7758749, ' Odd': -4.878766, ' ': -5.4323997}
{':': -6.6569347, ' an': -6.9419074, ' odd': -6.4593005, ' 0': -6.006382, ' even': -0.009035717}
{' odd': -0.022387965, ' even': -4.38341, ' 1': -5.0900226, ' ': -7.100579, ' Odd': -7.2498116}
{'\n': -7.383381, ' ': -6.0047646, ' an': -6.9469614, ' 0': -6.605131, ' even': -0.00769064}
{' Odd': -5.497373, ' 1': -2.5318062, ' odd': -0.18341859, ' 0': -5.715437, ' even': -2.6157715}
{' Odd': -4.9393487, ' ': -7.2182975, ' 1': -5.908536, ' odd': -0.044117406, ' even': -3.5404274}
{' even': -0.049918275, ' 0': -3.825778, ' odd': -4.6881847, ' 1': -4.988474, ':': -5.9683347}
{' odd': -0.15482043, ' 1': -2.1847324, ' even': -3.847389, '\n': -6.201954, ' 0': -6.2496843}
{' ': -6.669468, ' Even': -7.4070473, ' odd': -6.97933, ' 0': -3.6349719, ' even': -0.033442948}
{' odd': -0.7350114, ' 1': -0.83191806, ' even': -2.8210363, '\n': -4.8022776, ' ': -5.211647}
{' ': -7.053583, ' an': -6.2395225, ' odd': -6.821171, ' 0': -5.7366824, ' even': -0.009828931}
{' Odd': -5.8270946, ':': -7.6062307, ' 1': -5.0524936, ' odd': -0.019982992, ' even': -4.8568215}
{' ': -6.2372155, ':': -6.3569317, ' Even': -7.542632, ' 0': -6.7710056, ' even': -0.007694665}
{' Odd': -5.8632855, ' 1': -2.3213577, ' odd': -0.1824571, ' 0': -5.6875052, ' even': -2.896917}
{' Odd': -4.59884, ':': -5.3369055, ' 1': -5.718692, ' odd': -0.12767209, ' even': -2.343792}
{':': -5.5572515, ' 1': -5.8867025, ' odd': -4.6061916, ' 0': -4.6140924, ' even': -0.036652945}
{' Odd': -5.2397146, ' 1': -3.8466349, ' odd': -0.055082485, ' 0': -6.408096, ' even': -3.9218218}
{'\n': -6.068312, ' ': -6.0077186, ':': -6.5389223, ' 0': -3.69225, ' even': -0.036725044}
{' 1': -1.150926, ' one': -6.0144844, ' odd': -0.52758735, ' 0': -5.347315, ' even': -2.5755646}
{' ': -7.431057, ' an': -7.5695267, ' odd': -7.367025, ' 0': -6.208936, ' even': -0.0051502436}
{' Odd': -6.692882, ' ': -8.483168, ' 1': -6.27912, ' odd': -0.0104052685, ' even': -5.0978436}
{'\n': -7.2709384, ' ': -6.016442, ':': -6.6317134, ' 0': -6.0796804, ' even': -0.00910693}
{' Odd': -5.466688, ' ': -5.699563, ' 1': -1.761154, ' odd': -0.30284676, ' even': -2.6404178}
{' odd': -0.046859935, ' even': -3.4550536, ' Odd': -5.082551, ' 1': -6.1469383, ' "': -6.7089047}
{' even': -0.05072756, ' 0': -3.639148, ' odd': -5.031818, ' 1': -5.5077024, ' an': -5.9657483}
{' odd': -0.080831945, ' 1': -2.9270403, ' even': -4.312124, ' Odd': -5.668275, ' 0': -6.0128574}
{'\n': -5.932516, ' ': -5.849284, ':': -6.27395, ' 0': -2.4493392, ' even': -0.10677647}
{' odd': -0.33140454, ' 1': -1.859103, ' even': -2.2600079, ' ': -5.379728, ' Odd': -5.5287895}
{' even': -0.008498038, ' 0': -5.6641, ' ': -6.745558, ' an': -7.2072577, ' odd': -7.210205}
{' Odd': -6.7580132, ' ': -6.7641163, ' 1': -5.146077, ' odd': -0.015225724, ' even': -5.3260384}
{' even': -0.007845844, ' ': -6.0591145, ' 0': -6.3838024, ' an': -6.6852455, ':': -7.6715565}
{'\n': -4.8007407, ' ': -5.1937847, ' 1': -1.5279527, ' odd': -0.39693794, ' even': -2.4616723}
{' Odd': -5.2465434, ' 1': -4.9111857, ' odd': -0.035758726, ' 0': -6.86813, ' even': -4.060658}
{' even': -0.043079015, ' 0': -4.4253583, ' odd': -4.6174946, ' 1': -5.3666553, '\n': -5.551838}
{' odd': -0.096173644, ' 1': -2.6911957, ' even': -4.083599, ' Odd': -6.63794, '\n': -6.692376}
{'\n': -6.8279767, ' ': -6.665075, ':': -5.7918243, ' 0': -4.0196996, ' even': -0.027489295}
{' 1': -0.62458336, ' odd': -0.9985171, ' even': -2.7735872, '\n': -4.465429, ' ': -5.0542545}
{' an': -6.7391663, ' Even': -7.458033, ' odd': -7.100993, ' 0': -6.4675384, ' even': -0.005956635}
{' Odd': -6.2862926, ' ': -7.9395065, ' 1': -5.232972, ' odd': -0.01220247, ' even': -5.671449}
{' even': -0.0036537251, ' ': -7.28158, ':': -7.2855415, ' odd': -7.3904347, ' an': -7.632735}
{' ': -6.1388044, ' 1': -2.763459, ' odd': -0.2188224, ' 0': -5.6992607, ' even': -2.1252594}
{' odd': -0.06121948, ' even': -3.3142204, ' Odd': -4.871414, ' 1': -5.1813893, ':': -6.2990675}
{' even': -0.036099967, ' 0': -4.0395417, ' odd': -5.5210433, ' 1': -6.0170703, ' ': -6.210091}
{' odd': -0.055482548, ' 1': -3.5245967, ' even': -4.133348, ' Odd': -5.8137183, ' 0': -6.4692454}
{' ': -6.351348, ':': -6.502475, ' Even': -7.022216, ' 0': -3.2898655, ' even': -0.0469755}
{' Odd': -6.6981177, ' ': -6.2191834, ' 1': -1.6405969, ' odd': -0.2641302, ' even': -3.5217605}
{' even': -0.009546302, ' 0': -5.404611, ' an': -6.7072906, ' ': -6.9371734, ' Even': -7.4789214}
{'\n': -7.101802, ' Odd': -6.797396, ' 1': -4.6178083, ' odd': -0.02214814, ' even': -4.8458104}
{' ': -6.671949, ':': -7.262712, ' an': -6.9791946, ' 0': -6.6637764, ' even': -0.0067811976}
{' Odd': -5.642117, ' 1': -2.1426315, ' odd': -0.23517904, ' 0': -5.763332, ' even': -2.5563555}
{' Odd': -5.0345464, ':': -6.50421, ' 1': -5.7163825, ' odd': -0.032501858, ' even': -4.3024583}
{' ': -5.951905, ' 1': -6.065671, ' odd': -5.5308332, ' 0': -3.9759464, ' even': -0.038832113}
{' Odd': -6.006123, ' 1': -1.80651, ' odd': -0.22595209, ' 0': -5.1735606, ' even': -3.8219068}
{'\n': -6.82156, ' ': -6.4495373, ':': -6.619094, ' 0': -2.7502189, ' even': -0.075920574}
{' ': -5.2626433, ' 1': -0.93347293, ' odd': -0.5865167, ' 0': -5.1840143, ' even': -3.638285}
{' an': -7.1037993, ' Even': -7.0715394, ' odd': -6.8247104, ' 0': -5.514781, ' even': -0.009468014}
{' Odd': -5.753736, ':': -6.974828, ' 1': -5.099068, ' odd': -0.025277609, ' even': -4.3657603}
{' ': -6.2416964, ':': -7.659406, ' an': -6.909245, ' 0': -6.8568997, ' even': -0.0062963124}
{' odd': -0.14112799, ' even': -2.4346519, ' 1': -3.438973, ' Odd': -5.4906836, ' an': -6.4405317}
{' Odd': -5.073247, ' 1': -5.613888, ' odd': -0.04580997, ' 0': -6.4984922, ' even': -3.608867}
{' ': -6.355303, ' 1': -5.9146276, ' odd': -6.01767, ' 0': -3.9677694, ' even': -0.035277124}
{' odd': -0.07187498, ' 1': -3.11747, ' even': -4.1506643, ' Odd': -5.9918365, '\n': -6.1387453}
{' even': -0.08808433, ' 0': -2.6230545, ' ': -5.6618676, '\n': -5.8060174, ':': -6.859136}
{' Odd': -5.4800572, ' 1': -2.194322, ' odd': -0.23602827, ' 0': -5.56452, ' even': -2.4827514}
{' even': -0.0066979667, ' odd': -6.631463, ' an': -6.7670774, ' Even': -6.9009285, ':': -7.1249194}
{' Odd': -6.823584, ' ': -6.9427605, ' 1': -5.580377, ' odd': -0.013025556, ' even': -5.2663174}
{' ': -7.075358, ':': -6.652759, ' an': -7.186746, ' 0': -6.8225126, ' even': -0.006277598}
{' ': -5.492492, ' 1': -1.1006275, ' odd': -0.5023475, ' 0': -5.3498282, ' even': -3.1556818}
{' odd': -0.04201789, ' even': -3.6325932, ' 1': -5.1258345, ' Odd': -5.4580474, ' ': -6.9795365}
{':': -4.911611, ' Even': -6.35409, ' odd': -4.8158765, ' 0': -4.7636123, ' even': -0.033692032}
{'\n': -6.4494762, ' Odd': -6.473628, ' 1': -3.25148, ' odd': -0.056826927, ' even': -4.688396}
{'\n': -6.260957, ' ': -5.885056, ':': -6.836781, ' 0': -3.474908, ' even': -0.04275834}
{' 1': -1.1122284, ' one': -5.991148, ' odd': -0.5411835, ' 0': -5.4390793, ' even': -2.6243324}
{' even': -0.0072086197, ' 0': -6.304332, ' Even': -6.716071, ' an': -6.9769444, ' ': -7.2244983}
{' Odd': -6.940029, ' ': -7.215309, ' 1': -4.939063, ' odd': -0.017144507, ' even': -5.062314}
{' even': -0.009907183, ' ': -5.984863, ' 0': -6.168058, ':': -6.513218, '\n': -7.1212864}
{' odd': -0.25501165, ' 1': -1.9310399, ' even': -2.736045, ' ': -5.563381, ' 0': -5.8056107}
{' odd': -0.060165904, ' even': -3.218121, ' Odd': -5.039594, ' 1': -5.380055, ':': -6.5937114}
{' even': -0.03141435, ' 0': -4.495386, ' odd': -5.2979813, ':': -5.758379, ' ': -6.0847063}
{' Odd': -5.9383554, ' 1': -2.9668822, ' odd': -0.09764826, ' 0': -6.0132537, ' even': -3.5026376}
{' even': -0.06453132, ' 0': -2.942944, ' ': -6.255182, ':': -6.532287, '\n': -6.64671}
{'\n': -5.453686, ' ': -5.520355, ' 1': -0.7846997, ' odd': -0.76243335, ' even': -2.8763402}
{' ': -7.5224395, ' an': -7.23304, ' odd': -6.5330524, ' 0': -6.3742814, ' even': -0.0062769977}
{' Odd': -6.5307546, ' an': -7.7886653, ' 1': -4.8240485, ' odd': -0.017121164, ' even': -5.131226}
{' ': -6.795525, ':': -5.775082, ' odd': -7.542039, ' 0': -6.821593, ' even': -0.0077844644}
{' odd': -0.1893273, ' 1': -2.3795586, ' even': -2.7332916, ' ': -5.4254637, '\n': -5.8631997}
{' Odd': -5.739895, ':': -7.1030173, ' 1': -5.218599, ' odd': -0.08859524, ' even': -2.62901}
{'\n': -5.681471, ' 1': -4.8451877, ' odd': -5.076735, ' 0': -3.7751033, ' even': -0.05378148}
{' Odd': -5.7879524, ' 1': -3.1150913, ' odd': -0.06413479, ' 0': -6.5824285, ' even': -4.637684}
{'\n': -6.8836846, ' ': -6.1148953, ':': -6.640603, ' 0': -2.9053698, ' even': -0.06754601}
{'\n': -5.7174225, ' 1': -1.2379526, ' odd': -0.51974046, ' 0': -4.791248, ' even': -2.3892674}
{' ': -7.365248, ':': -7.4034758, ' odd': -6.8220267, ' 0': -6.102362, ' even': -0.0065508448}
{' Odd': -7.3730555, ' ': -8.287027, ' 1': -5.4458995, ' odd': -0.011951862, ' even': -5.1696653}
{' even': -0.0057842038, ' ': -6.67133, ' an': -7.0767717, ' 0': -7.1681337, ':': -7.5141172}
{' odd': -0.16494012, ' 1': -2.3542063, ' even': -3.0532732, ' Odd': -6.176238, ' ': -6.1846337}
{' odd': -0.064896114, ' even': -3.107342, ' Odd': -5.0213394, ' 1': -5.2439585, ' 0': -6.7176886}
{' even': -0.038454883, ' 0': -4.6352715, ':': -4.639317, ' odd': -4.9065557, ' Even': -6.0133195}
{' odd': -0.13079807, ' 1': -2.4509406, ' even': -3.7266967, ' Odd': -5.8892336, ' 0': -5.894464}
{' ': -6.993709, ':': -7.0987186, ' Even': -7.3519793, ' 0': -3.5821524, ' even': -0.034737926}
{'\n': -5.322095, ' ': -5.393949, ' 1': -0.9690403, ' odd': -0.6572173, ' even': -2.503361}
{' ': -6.724738, ' an': -6.933989, ' Even': -7.045191, ' 0': -5.6009755, ' even': -0.009124193}
{' odd': -0.013050255, ' even': -5.0521183, ' 1': -6.0090604, ' Odd': -6.1881638, ' ': -7.3669033}
{' even': -0.0072749, ' ': -6.492021, ':': -6.7868204, ' an': -6.8631926, ' 0': -6.8946724}
{' ': -5.718025, ' 1': -2.3067393, ' odd': -0.21307044, ' 0': -5.9206343, ' even': -2.5709634}
{' Odd': -4.911175, ':': -6.985961, ' 1': -5.9605813, ' odd': -0.046096854, ' even': -3.494375}
{':': -6.649042, ' 1': -6.491062, ' odd': -5.4275084, ' 0': -4.6426907, ' even': -0.023445029}
{' Odd': -6.126183, ' 1': -2.1932, ' odd': -0.16783252, ' 0': -5.5280104, ' even': -3.5099747}
{' ': -6.541413, ':': -5.5225434, ' 0': -1.4720292, ' zero': -6.159638, ' even': -0.27878633}
{' ': -5.073264, ' 1': -1.2243062, ' odd': -0.5375557, ' 0': -5.0867434, ' even': -2.3840754}
{' even': -0.00744873, ' 0': -5.8816657, ' an': -6.920371, ' odd': -7.0871177, ' Even': -7.2466335}
{' Odd': -6.3207593, ' ': -7.204963, ' 1': -5.404717, ' odd': -0.013466595, ' even': -5.3515983}
{' even': -0.0071608326, ':': -5.951311, ' ': -6.8501678, ' an': -7.1783295, ' Even': -7.3176184}
{' ': -5.8018703, ' 1': -1.9736186, ' odd': -0.23371232, ' 0': -5.9904747, ' even': -2.9045525}
{'\n': -6.2874126, ' Odd': -5.3067126, ' 1': -4.5998874, ' odd': -0.08370949, ' even': -2.8628936}
{' even': -0.039119735, ' 0': -4.3921413, ' odd': -4.9647064, ':': -5.617107, '\n': -5.820398}
{' odd': -0.074255094, ' 1': -3.3891637, ' even': -3.5169246, ' Odd': -6.164049, ' 0': -6.2860575}
{'\n': -7.1022797, ' ': -6.700917, ':': -6.202637, ' 0': -3.5887668, ' even': -0.0363253}
{' Odd': -5.6213026, ' 1': -1.8383163, ' odd': -0.23380515, ' 0': -5.7352395, ' even': -3.3022513}
{' even': -0.012807947, ' 0': -5.0724993, ' ': -6.3153706, ' odd': -7.2600207, '\n': -7.311895}
{'\n': -7.3053885, ' Odd': -6.8262935, ' 1': -5.42131, ' odd': -0.015296836, ' even': -4.928022}
{' ': -6.7840443, ':': -6.647001, ' an': -6.9042583, ' odd': -7.6399417, ' even': -0.0058581857}
{' odd': -0.19363855, ' 1': -2.3473918, ' even': -2.7368743, ' ': -5.6068015, ' Odd': -5.8931026}
{' Odd': -4.3930106, ':': -6.5065546, ' 1': -5.4936604, ' odd': -0.060544703, ' even': -3.35017}
{' ': -6.1480656, ' 1': -6.267515, ' odd': -6.06175, ' 0': -3.7929306, ' even': -0.038588747}
{' odd': -0.071188726, ' 1': -2.9466732, ' even': -4.6406755, ' Odd': -6.635385, ' 0': -6.6755185}
{' ': -7.3110433, ':': -6.139904, ' Even': -7.8106947, ' 0': -3.9192722, ' even': -0.025300898}
{'\n': -5.2412353, ' ': -5.1514077, ' 1': -0.8741414, ' odd': -0.76162785, ' even': -2.426418}
{' an': -6.7309456, ' Even': -7.1135187, ' odd': -7.411173, ' 0': -5.7096386, ' even': -0.008313511}
{' odd': -0.022806011, ' 1': -4.6170363, ' even': -5.1084476, ' Odd': -5.5388656, ':': -7.0457864}
{':': -7.121904, ' an': -6.3698273, ' Even': -6.914614, ' 0': -6.7969766, ' even': -0.0072397776}
{'\n': -5.451608, ' ': -5.3557477, ' 1': -1.8210247, ' odd': -0.27559924, ' even': -2.8070693}
{' Odd': -4.982758, ':': -6.0739474, ' 1': -5.697174, ' odd': -0.06524738, ' even': -3.0479696}
{' even': -0.050550997, ' 0': -4.1034536, ' 1': -4.563381, ' odd': -4.6131926, ':': -5.954675}
{' Odd': -6.272328, ' 1': -1.7194349, ' odd': -0.26940933, ' 0': -5.2158937, ' even': -3.1756525}
{'\n': -6.6420984, ' ': -6.3830276, ' 1': -7.015101, ' 0': -3.0779507, ' even': -0.05669918}
{'\n': -4.815314, ' ': -5.176566, ' 1': -1.3016925, ' odd': -0.4631229, ' even': -2.5982518}
{' ': -6.7180524, ' an': -6.976087, ' Even': -7.259252, ' 0': -5.780103, ' even': -0.008424643}
{' odd': -0.01344376, ' even': -5.0599337, ' 1': -5.7414737, ' Odd': -6.725829, ' ': -7.0657334}
{' even': -0.0049838815, ' ': -6.971664, ' 0': -6.9772487, ' an': -7.1292386, ':': -7.6538177}
{' odd': -0.28642976, ' 1': -1.7681458, ' even': -2.7606194, ' 0': -5.521243, ' Odd': -6.2357097}
{' odd': -0.03115766, ' even': -4.046136, ' Odd': -4.9336214, ' 1': -6.4473677, ':': -7.138866}
{':': -6.452549, ' 1': -6.0338197, ' odd': -5.138527, ' 0': -4.2036486, ' even': -0.0331593}
{' odd': -0.14172746, ' 1': -2.2782383, ' even': -4.156145, ' 0': -5.8030295, '\n': -6.039831}
{' even': -0.04538001, ' 0': -3.437848, ' ': -5.9744606, '\n': -6.2091427, ':': -6.3123055}
{' odd': -0.27581912, ' 1': -1.7205393, ' even': -3.0511665, ' Odd': -5.645909, ' ': -5.944215}
{' ': -6.815107, ' an': -7.0167193, ' odd': -7.0291233, ' 0': -5.3511515, ' even': -0.010212736}
{' Odd': -6.5811343, ' an': -7.866035, ' 1': -5.3839364, ' odd': -0.013598787, ' even': -5.140976}
{' ': -7.3611736, ':': -6.8231235, ' an': -7.3353086, ' odd': -7.0771074, ' even': -0.0046120742}
{' odd': -0.39261115, ' 1': -1.5193592, ' even': -2.5604463, '\n': -4.7147326, ' ': -4.9155574}
