{' Odd': -4.7056913, ' 1': -3.330519, ' odd': -0.18252678, ' 0': -5.1136103, ' even': -2.221595}
{' ': -6.747517, ' an': -6.1636086, ' Even': -5.8574004, ' 0': -4.887785, ' even': -0.016851138}
{' Odd': -3.0678177, ' 1': -3.1014462, ' odd': -0.16019163, ' 5': -4.7914677, ' 0': -3.9729643}
{' ': -5.251507, ' an': -7.121236, ' odd': -7.478333, ' 0': -3.4396193, ' even': -0.042307734}
{' 11': -4.922533, ' Odd': -4.6735473, ' 1': -2.3083177, ' odd': -0.16491468, ' even': -4.7305818}
{' ': -6.29405, ' Even': -6.529849, ' 0': -2.8306513, ' zero': -5.603818, ' even': -0.07498761}
{' odd': -0.03362866, ' even': -4.362916, ' 1': -4.8078594, ' Odd': -5.0302677, ' ': -6.762502}
{' ': -7.8199825, ' an': -8.272754, ' Even': -7.8683057, ' 0': -5.2034864, ' even': -0.0074447067}
{':': -3.6333566, ' 1': -1.6800239, ' odd': -0.88670707, ' 0': -2.5939336, ' even': -1.2775934}
{':': -5.390641, ' Even': -5.7861967, ' 0': -3.4865544, ' zero': -5.657933, ' even': -0.053800788}
{' 1': -0.5104531, ' odd': -0.9858636, ' even': -4.506792, ' 0': -5.7132883, ' Odd': -5.80572}
{' even': -0.16850324, ' 0': -1.9587023, ':': -5.8776817, ' zero': -6.028841, ' ': -6.106333}
{' 1': -0.44394425, ' one': -5.0270853, ' odd': -1.0950177, ' 0': -5.9141498, ' even': -5.3582616}
{' even': -0.023209283, ' 0': -4.385679, ' an': -5.975472, ' Even': -6.554515, ' ': -6.648024}
{' Odd': -5.549058, ' 1': -2.1192617, ' one': -6.974035, ' odd': -0.16315731, ' even': -3.8406463}
{' 0': -0.08100198, ' even': -3.9377046, ':': -3.9649224, ' zero': -4.1876855, ' ': -4.6347632}
{':': -5.1961956, ' 1': -0.6246164, ' one': -5.035498, ' odd': -0.85235953, ' even': -4.606201}
{' Even': -5.730233, ' 1': -5.772701, ' odd': -4.9288373, ' 0': -3.4518445, ' even': -0.05562747}
{' odd': -0.10331578, ' 1': -2.516827, ' Odd': -5.146215, ' even': -5.5864973, ' ': -6.501766}
{' ': -6.8818426, ':': -7.8291154, ' Even': -7.39398, ' 0': -4.1078496, ' even': -0.020725911}
{' Odd': -5.4198985, ' 1': -0.9771008, ' one': -5.895914, ' odd': -0.5013031, ' even': -5.9295597}
{' ': -5.985257, ':': -7.4483914, ' odd': -7.3517437, ' 0': -6.225335, ' even': -0.0075090816}
{' odd': -0.04883678, ' 1': -4.1732874, ' Odd': -4.46778, ' 0': -4.7079563, ' even': -5.3974876}
{' even': -0.10737415, ' 0': -2.8612525, ' Even': -4.406068, ':': -4.4246883, ' ': -4.4901767}
{' Odd': -5.0906434, ' ': -6.6228347, ' 1': -3.4057543, ' odd': -0.047498323, ' 0': -6.322371}
{' ': -7.2264924, ' Even': -7.757254, ' odd': -5.5143237, ' 0': -6.589042, ' even': -0.007674903}
{' odd': -0.34256765, ' 1': -1.2827228, ' Odd': -5.82612, ' ': -5.979767, ' even': -6.042684}
{' ': -6.0129576, ':': -5.98941, ' Even': -5.7977185, ' 0': -3.687989, ' even': -0.03763492}
{' Odd': -4.8311887, ' ': -5.6117992, ' 1': -2.5371842, ' "': -6.579107, ' odd': -0.103109844}
{' even': -0.015156069, ' 0': -5.078882, ' ': -5.7339377, ' Even': -6.534175, ' odd': -7.0088506}
{' 1': -0.83558965, ' 3': -4.531787, ' odd': -0.61878896, ' 0': -5.668394, ' even': -5.600676}
{' 0': -0.28205433, ' even': -1.4599717, ' zero': -5.1383076, ' ': -5.909071, ':': -6.473599}
{' Odd': -6.761889, ' 1': -0.47429925, ' one': -5.723408, ' odd': -1.0004756, ' 0': -6.604333}
{' ': -5.6859393, ' an': -5.7387204, ' odd': -6.625303, ' 0': -3.0671947, ' even': -0.06321973}
{' Odd': -4.8970313, ' ': -6.631875, ' 1': -3.5819478, ' odd': -0.0700509, ' even': -3.5985348}
{' even': -0.0062642223, ' 0': -5.692293, ' Even': -7.0928135, ' ': -7.434284, ':': -7.6444235}
{' Odd': -5.4604626, ' ': -7.7893076, ' 1': -3.2169116, ' odd': -0.05296187, ' even': -5.274551}
{' even': -0.32129106, ' 0': -1.5091573, ' zero': -3.7534854, ':': -4.5797615, ' Even': -5.099113}
{' Odd': -4.651213, ' ': -5.8401546, ' 1': -1.7431072, ' one': -5.7552013, ' odd': -0.21809821}
{' ': -6.4278526, ':': -5.8725805, ' 0': -0.23353004, ' zero': -3.6403816, ' even': -1.7994565}
{' Odd': -5.508624, ' an': -6.0259805, ' 1': -1.0101787, ' odd': -0.48065677, ' 0': -5.981217}
{' even': -0.046585444, ' 0': -3.9000466, ' odd': -4.4727745, ' ': -5.6480355, ' Even': -5.738133}
{' Odd': -4.4335804, ' ': -6.3499722, ' 1': -2.866986, ' odd': -0.0800285, ' even': -5.818457}
{' ': -6.18972, ':': -6.20743, ' Even': -5.621334, ' 0': -4.6885886, ' even': -0.02144783}
{' Odd': -5.5347986, ' an': -7.480585, ' 1': -3.2614765, ' odd': -0.16589102, ' even': -2.235555}
{' ': -6.8474193, ' an': -5.791811, ' Even': -6.6069083, ' 0': -5.1752667, ' even': -0.012805593}
{' odd': -0.03637864, ' 3': -4.1943917, ' Odd': -4.862272, ' 1': -5.160809, ' an': -6.62948}
{' Even': -7.8202496, ' EVEN': -8.575667, ' 0': -3.561276, ' zero': -7.527664, ' even': -0.030782148}
{' Odd': -5.434665, ' 1': -1.9496784, ' odd': -0.16979022, ' 0': -6.6393104, ' even': -6.336266}
{' even': -0.032534674, ' 0': -3.6336792, ' Even': -6.508903, ':': -7.2630982, ' zero': -7.2811437}
{' odd': -0.16212153, ' 1': -2.3027332, ' even': -3.8122814, ' Odd': -4.5201735, ' 0': -5.0628247}
{' ': -6.9814496, ' an': -6.3129287, ' Even': -6.1942763, ' 0': -5.211216, ' even': -0.0131340185}
{' odd': -0.08362544, ' Odd': -3.7578988, ' 1': -3.9383807, ' even': -4.061023, ' 0': -4.748757}
{' ': -5.2614264, ' an': -7.3350425, ' odd': -6.4103656, ' 0': -4.5321555, ' even': -0.020591378}
{' Odd': -5.321973, ' ': -6.238015, ' 1': -2.7136643, ' odd': -0.08528631, ' even': -5.7748833}
{' ': -6.0689583, ' Even': -6.123453, ' 0': -2.602153, ' zero': -7.268287, ' even': -0.08598565}
{' odd': -0.016717305, ' 1': -4.909906, ' Odd': -5.418461, ' even': -6.145267, ' ': -7.0874357}
{' ': -7.8036656, ' an': -8.126826, ' Even': -5.774056, ' EVEN': -8.744584, ' even': -0.004428795}
{' Odd': -4.241699, ' 1': -2.5003839, ' odd': -0.32766294, ' 0': -4.1402583, ' even': -1.9248977}
{':': -5.2857203, ' "': -5.3918204, ' 0': -2.9229894, ' zero': -5.773727, ' even': -0.08970697}
{' Odd': -5.077297, ' 1': -0.96743363, ' odd': -0.51180226, ' 0': -5.9747195, ' even': -5.302235}
{' even': -0.5548623, ' 0': -0.89149785, ':': -5.615158, ' zero': -5.7015696, ' ': -5.9271817}
{' Odd': -6.086932, ' 1': -0.57151556, ' one': -4.7904677, ' odd': -0.8900466, ' even': -5.648773}
{' ': -6.386544, ':': -5.945887, ' an': -6.004549, ' 0': -3.1089659, ' even': -0.05820562}
{' Odd': -6.2849636, ' 1': -2.4015012, ' odd': -0.12627636, ' 0': -6.2043977, ' even': -3.9566395}
{' ': -6.054579, ':': -5.787978, ' odd': -7.063336, ' 0': -4.3919334, ' even': -0.022481898}
{' 1': -0.62475544, ' one': -4.630402, ' odd': -1.021569, ' 0': -5.0291696, ' even': -2.885897}
{' even': -0.074219026, ' 0': -3.0273907, ' Even': -5.3686914, ':': -5.470641, ' odd': -5.685922}
{' 11': -4.7552295, ' Odd': -5.3022313, ' 1': -1.6230655, ' odd': -0.28111222, ' even': -4.2052913}
{'\n': -5.189616, ' ': -5.5821867, ':': -5.9433107, ' 0': -4.1431165, ' even': -0.032091927}
{' Odd': -5.371379, ' 1': -2.6494784, ' odd': -0.09151414, ' 0': -6.352123, ' even': -5.489687}
{' ': -5.875007, ':': -7.34622, ' odd': -5.977838, ' 0': -3.9477744, ' even': -0.027244449}
{' Odd': -4.7553544, ' 1': -2.1996357, ' odd': -0.16153859, ' 0': -4.9807487, ' even': -4.3784194}
{' ': -4.9495244, ':': -4.7829537, ' Even': -5.186903, ' 0': -1.6221347, ' even': -0.26547584}
{' Odd': -4.8161097, ' ': -6.0821123, ' 1': -4.216082, ' odd': -0.03684668, ' even': -5.262528}
{' even': -0.010527479, ' odd': -5.615016, ' 0': -5.7701383, ' ': -6.744428, ' Even': -7.2303495}
{' odd': -0.14956835, ' 1': -2.245056, ' Odd': -3.805473, ' "': -5.912915, ' ': -6.3409705}
{' even': -0.21878858, ' 0': -1.7089467, ' zero': -4.7244506, ':': -6.674379, ' ': -6.7903285}
{' Odd': -4.9851675, ' ': -5.9238772, ':': -5.684506, ' 1': -1.3529863, ' odd': -0.3245802}
{'\n': -5.854643, ' ': -4.776937, ':': -6.5601716, ' 0': -1.7212924, ' even': -0.21941367}
{' Odd': -4.9554925, ' 1': -2.190758, ' odd': -0.15327586, ' 0': -5.5779095, ' even': -4.595064}
{' ': -6.7826257, ':': -7.7263117, ' Even': -6.6678133, ' 0': -4.962599, ' even': -0.011946975}
{' ': -5.262011, ' 1': -0.3108768, ' one': -6.013995, ' odd': -1.4104594, ' even': -5.0331955}
{' ': -6.4138036, ':': -6.6076617, ' an': -5.8839173, ' odd': -4.922778, ' even': -0.018506212}
{' Odd': -4.693607, ' ': -6.987166, ' 1': -3.984292, ' odd': -0.036338713, ' even': -5.3669877}
{' even': -0.0097183, ' 0': -5.0296946, ' Even': -7.0896673, ' ': -7.551464, ' odd': -7.827636}
{' Odd': -5.3361235, ' 1': -1.6422524, ' one': -6.9204807, ' odd': -0.23420946, ' even': -5.3279743}
{' even': -0.09269472, ' 0': -2.7355494, ' zero': -4.9584465, ' odd': -5.031209, ':': -6.0112157}
{' odd': -0.26988083, ' 1': -1.6344953, ' Odd': -3.7778583, ' ': -4.6721673, ' even': -5.8040314}
{':': -6.3752007, ' Even': -6.0566697, ' 0': -0.75974107, ' zero': -4.319667, ' even': -0.679065}
{' Odd': -4.4728208, ' 1': -1.5520627, ' "': -5.9578776, ' odd': -0.27766013, ' even': -5.592817}
{' ': -6.2726874, ' Even': -6.6619225, ' odd': -6.47716, ' 0': -4.2414975, ' even': -0.021081723}
{' Odd': -4.998303, ' 1': -2.3568897, ' odd': -0.14194286, ' 0': -5.588602, ' even': -3.7891748}
{' even': -0.009921691, ' 0': -5.4392266, ' Even': -6.3052406, ' an': -6.7930474, ' ': -7.2320123}
{' Odd': -5.6351194, ' 1': -2.0573483, ' one': -6.303611, ' odd': -0.16448972, ' even': -4.3040137}
{' even': -0.01597179, ' 0': -4.359343, ' ': -7.1020746, ' an': -7.344547, ' Even': -7.6277614}
{' odd': -0.030090392, ' Odd': -4.1935434, ' 1': -4.9690075, ' 3': -6.449278, ' even': -6.7265716}
{' Even': -7.515367, ' EVEN': -8.109372, ' 0': -3.8350716, ' zero': -7.3741794, ' even': -0.024322541}
{' Odd': -5.7369156, ' ': -6.1627483, ' 1': -2.540669, ' odd': -0.094909124, ' even': -6.584957}
{':': -6.475605, ' Even': -5.629844, ' "': -7.2167296, ' 0': -4.497837, ' even': -0.020630743}
{' Odd': -3.6823995, ' 1': -3.4179096, ' odd': -0.08599097, ' 0': -5.626505, ' even': -4.558159}
{' ': -6.003248, ' an': -5.901475, ' Even': -5.617762, ' 0': -3.3113623, ' even': -0.052107956}
{' Odd': -4.5594873, ' 1': -4.7075477, ' odd': -0.04263648, ' 0': -5.9753714, ' even': -4.145452}
{' ': -5.5908866, ' odd': -5.970304, ' 0': -2.601055, ' zero': -6.674208, ' even': -0.08977015}
{' odd': -0.42919978, ' 1': -1.2230955, ' Odd': -4.385052, ' even': -4.701633, ' ': -4.864603}
{' even': -0.01734699, ' 0': -4.2646346, ' zero': -7.37623, ' ': -7.524945, ' an': -7.5963616}
{' Odd': -4.9158735, ' ': -6.3641405, ' 1': -3.2136521, ' odd': -0.057572223, ' even': -6.4400725}
{' even': -0.027651787, ' 0': -3.9501462, ':': -5.893876, ' Even': -6.6949544, ' ': -7.2394547}
{' odd': -0.13782102, ' 1': -2.6801832, ' even': -3.2511823, ' 0': -5.1516404, ' Odd': -5.1773753}
{' ': -5.735375, ':': -4.0972137, ' Even': -5.895257, ' 0': -2.150854, ' even': -0.16195577}
{' 1': -0.76543015, ' odd': -0.7745759, ' even': -3.0632465, ' 0': -4.7496314, ' ': -5.428552}
{':': -5.031523, ' 4': -4.1916575, ' 0': -1.6883415, ' zero': -5.0793843, ' even': -0.26555496}
{' ': -4.9643435, ' 1': -0.39776266, ' odd': -1.3800054, ' 0': -4.2147746, ' even': -3.2889447}
{' ': -6.2372727, ':': -5.9280596, ' an': -6.4458823, ' 0': -2.774727, ' even': -0.078204684}
{' Odd': -6.2888403, ' an': -7.1127286, ' 1': -3.6067502, ' odd': -0.035585273, ' even': -6.253545}
{' even': -0.24015668, ' 0': -1.7239739, ':': -4.50339, ' ': -5.1429744, ' zero': -5.6666284}
{' 1': -0.6023219, ' one': -4.1424975, ' odd': -1.0178665, ' 0': -4.656492, ' even': -2.9562607}
{' even': -0.17283969, ' 0': -2.0161023, ':': -5.000029, ' ': -5.4029136, ' Even': -5.509113}
{' odd': -0.41917595, ' 1': -1.1504859, ' even': -4.974601, ' ': -5.2813487, ' Odd': -5.5972037}
{' ': -5.8486257, ':': -6.8918624, ' an': -6.907136, ' 0': -1.8833731, ' even': -0.17681305}
{' odd': -0.11136534, ' 1': -2.379878, ' Odd': -5.2175493, ' even': -6.4210873, ' one': -6.6577163}
{' ': -6.6581373, ' an': -6.4244223, ' Even': -7.160358, ' 0': -6.2974524, ' even': -0.0071948715}
{' Odd': -4.8720403, ' 1': -1.8113178, ' odd': -0.21368454, ' 0': -5.2675614, ' even': -4.697693}
{' ': -4.076726, ':': -4.1900716, ' Even': -3.6402786, ' 0': -3.5361767, ' even': -0.10904978}
{' Odd': -4.733394, ' ': -6.263489, ' 1': -4.787705, ' odd': -0.035783436, ' even': -4.453174}
{' even': -0.0026811128, ' 0': -6.771838, ' ': -7.255954, ' Even': -8.238476, ' odd': -8.962037}
{' Odd': -4.5440717, ' ': -5.936904, ' 1': -2.186624, ' odd': -0.14205492, ' even': -5.6715393}
{' ': -6.496141, ':': -5.9100327, ' Even': -6.059345, ' 0': -1.9703264, ' even': -0.16286181}
{' Odd': -4.9336166, ' ': -5.18925, ' 1': -1.021824, ' one': -6.018992, ' odd': -0.48012936}
{' even': -0.025527356, ' 0': -4.4762397, ' ': -5.44797, ' Even': -6.00678, '\n': -6.3676076}
{' Odd': -4.0966535, ' 1': -1.5958116, ' odd': -0.2612627, ' 0': -6.7790713, ' even': -5.8328743}
{' ': -6.5219827, ' odd': -6.3365784, ' 0': -1.3269873, ' zero': -5.9612803, ' even': -0.3209715}
{' Odd': -4.930395, ' ': -6.3423786, ' 1': -2.721038, ' odd': -0.0836557, ' even': -6.2632627}
{' ': -5.315466, ' EVEN': -6.547993, ' odd': -5.0114613, ' 0': -2.972268, ' even': -0.07108415}
{' Odd': -6.524979, ' ': -8.4539585, ' 1': -4.1604886, ' odd': -0.022562673, ' even': -5.435473}
{' ': -7.0234265, ':': -7.8088603, ' Even': -6.555818, ' 0': -7.388332, ' even': -0.005119211}
{' odd': -0.122563995, ' 1': -2.5658994, ' even': -4.161963, ' Odd': -4.5723767, ':': -5.494147}
{' ': -7.203119, ' Even': -5.8389354, ' odd': -7.187757, ' 0': -5.02248, ' even': -0.012286096}
{' Odd': -4.7823334, ' ': -5.707881, ' 1': -3.4322338, ' odd': -0.053773366, ' even': -5.3227477}
{' Even': -5.270487, ' EVEN': -5.984978, ' 0': -1.3140074, ' zero': -5.2402453, ' even': -0.34383658}
{' Odd': -4.4326625, ' 1': -1.7555321, ' "': -6.2940917, ' odd': -0.21997528, ' 0': -6.1694293}
{' ': -6.036176, ' Even': -6.066779, ' odd': -5.497873, ' 0': -3.036773, ' even': -0.06362834}
{' odd': -0.07785025, ' 1': -3.2450836, ' even': -4.252588, ' Odd': -4.291232, ' 0': -5.9446955}
{' even': -0.0057520713, ' 0': -6.0145106, ' Even': -6.604109, ':': -7.4930563, ' ': -7.794545}
{' Odd': -5.8974686, ' ': -6.04464, ' 1': -2.087097, ' odd': -0.1908397, ' even': -3.2023723}
{':': -6.814363, ' an': -6.11372, ' Even': -5.860958, ' 0': -4.7110353, ' even': -0.018091837}
{' Odd': -5.522423, ' ': -6.588922, ' 1': -3.423939, ' odd': -0.044788714, ' even': -6.0789957}
{':': -7.5529814, ' Even': -6.2864237, ' EVEN': -7.7691736, ' 0': -5.3773494, ' even': -0.009481012}
{' odd': -0.13312939, ' 1': -2.1916144, ' Odd': -5.1880608, ' ': -6.570111, ' "': -6.668793}
{' ': -7.199939, ':': -6.7767344, ' Even': -7.0939584, ' 0': -3.329491, ' even': -0.04266752}
{' Odd': -4.8776655, ' 1': -3.0990021, ' odd': -0.06483957, ' 0': -6.9712253, ' even': -5.70785}
{':': -6.9802675, ' an': -6.462159, ' Even': -6.326042, ' 0': -4.398917, ' even': -0.01897549}
{' Odd': -4.358991, ' 1': -5.0957227, ' odd': -0.05080564, ' 0': -5.397289, ' even': -3.9918494}
{' even': -0.05960812, ' 0': -3.1483252, ' ': -4.9685206, ' Even': -6.3903666, ':': -6.6651506}
{'\n': -4.8565207, ' Odd': -3.966828, ' 1': -3.9563732, ' odd': -0.08206179, ' even': -4.2728825}
{' ': -5.5035815, ':': -6.584143, ' 0': -0.3720742, ' zero': -5.159631, ' even': -1.2204076}
{' Odd': -5.2323804, ' ': -7.6852665, ' 1': -6.024309, ' odd': -0.010829546, ' even': -6.4410224}
{' ': -6.146796, ' Even': -6.3463306, ' 0': -2.9230244, ' zero': -6.1964874, ' even': -0.06760086}
{' odd': -0.13161625, ' even': -2.7732825, ' Odd': -3.7699387, ' 1': -3.992862, ' "': -5.282245}
{' even': -0.080398485, ' 0': -2.7821727, ':': -5.0193005, ' zero': -5.841528, ' Even': -6.4379697}
{' Odd': -5.8105135, ' 1': -1.8064207, ' odd': -0.19558276, ' 0': -6.25634, ' even': -5.1696787}
{' 1': -5.7474422, ' 4': -6.0440574, ' 0': -0.76484597, ' zero': -4.7168164, ' even': -0.6648074}
{' 1': -0.718905, ' one': -5.3687625, ' odd': -0.7157597, ' 0': -6.262951, ' even': -4.609956}
{':': -5.268217, ' 1': -5.1733217, ' odd': -4.9145956, ' 0': -1.6863616, ' even': -0.23971005}
{' Odd': -5.3518333, ' ': -4.6393194, ' 1': -2.0373747, ' odd': -0.17228246, ' even': -6.0771694}
{' even': -0.070640504, ' 0': -2.9676576, ':': -5.87676, ' odd': -5.9219213, ' ': -6.046532}
{' 1': -0.67603767, ' odd': -0.85663104, ' even': -3.8173978, ' ': -4.593089, ' Odd': -4.635125}
{' an': -6.160014, ' equal': -6.249646, ' odd': -5.95474, ' 0': -4.3031497, ' even': -0.028853877}
{' odd': -0.28330928, ' 1': -1.4808763, ' 11': -5.4200525, ' even': -5.9772787, ' one': -6.3299236}
{' ': -5.8341875, ' an': -6.008156, ' Even': -6.0521274, ' 0': -4.047655, ' even': -0.034322817}
{' Odd': -5.4661264, ' 1': -1.5011445, ' one': -5.0025845, ' odd': -0.29388455, ' 0': -5.54422}
{' even': -0.009447196, ' 0': -5.3912373, ' ': -6.1924324, ':': -7.0129504, ' an': -7.4595904}
{' Odd': -4.016762, ' 1': -2.8381712, ' odd': -0.1212056, ' 0': -4.1773024, ' even': -5.089656}
{' even': -0.17549405, ' 0': -1.9462364, ' ': -5.550639, ' Even': -5.6421866, ':': -6.1842704}
{' odd': -0.027043382, ' 1': -4.08916, ' Odd': -5.1139393, ' even': -6.48597, ' 0': -7.469481}
{' ': -7.0899925, ' Even': -7.6427345, ' odd': -6.985223, ' 0': -6.3478365, ' even': -0.005172353}
{' odd': -0.2781414, ' 1': -1.5261242, ' Odd': -4.4216466, ' even': -5.920454, ' ': -6.4294057}
{' even': -0.006960883, ' Even': -5.9058576, ' 0': -6.783607, ':': -7.026347, ' ': -7.190247}
{' odd': -0.058662366, ' 1': -3.192707, ' Odd': -4.7927246, ' ': -6.570958, ' "': -6.7800894}
{' even': -0.07219315, ' 0': -2.8115711, ' ': -5.6380367, ' zero': -6.715669, ' odd': -7.101087}
{' 1': -1.5659692, ' one': -5.4256873, ' odd': -0.26737016, ' 0': -5.427479, ' even': -4.6641407}
{' even': -0.0032526893, ' 0': -6.7642097, ' ': -6.9486384, ' Even': -7.4653454, ' an': -9.20105}
{' 1': -0.5225071, ' odd': -1.0253567, ' even': -4.0418644, ' 0': -4.773455, ' one': -5.2541895}
{' even': -0.32077092, ' 0': -1.376023, ' ': -5.082555, ':': -5.829141, ' odd': -5.9226604}
{' odd': -0.17184663, ' 1': -2.0320096, ' even': -3.9344132, ' Odd': -5.8145533, ' 0': -6.609638}
{' ': -7.6854477, ':': -7.968213, ' Even': -7.6281404, ' 0': -7.8468904, ' even': -0.0028413555}
{' odd': -0.19273534, ' 1': -1.8102089, ' Odd': -5.307698, ' even': -6.344066, ' "': -6.651012}
{' even': -0.062025722, ' 0': -3.0474343, ' zero': -5.5381737, ' Even': -6.008676, ':': -6.6630406}
{' Odd': -4.8399673, ' ': -7.272545, ' 1': -3.6292908, ' odd': -0.042679276, ' even': -5.3381267}
{' 0': -0.14793289, ' even': -2.1161022, ' zero': -4.531548, ':': -5.8760686, ' ': -7.511086}
{' odd': -0.39556566, ' 1': -1.2547804, ' even': -4.258149, ' 0': -4.302855, ' Odd': -5.2458606}
{' even': -0.10488671, ' 0': -2.5235095, ' odd': -5.17398, ' Even': -5.4408736, ':': -5.811359}
{' Odd': -3.9509435, ' 1': -2.1483963, ' odd': -0.17015523, ' 0': -5.1743903, ' even': -4.715285}
{' even': -0.012049225, ' 0': -5.2793646, ' Even': -5.9975915, ' odd': -7.145531, ' ': -7.2032933}
{' odd': -0.4124782, ' 1': -1.2443397, ' even': -3.3837914, ' one': -4.9744263, ' ': -6.3899207}
{' even': -0.013541269, ' Even': -5.508641, ' 0': -5.8384666, ' an': -5.8732557, ':': -6.8041444}
{' Odd': -4.022024, ' 1': -3.673371, ' "': -6.3715363, ' odd': -0.055475365, ' even': -5.939524}
{' even': -0.0030258347, ' Even': -6.875131, ' 0': -7.431937, ':': -7.996018, ' ': -8.231634}
{' odd': -0.112288676, ' 1': -2.3631012, ' Odd': -5.3754673, ' "': -6.2922554, ' ': -6.7037044}
{' ': -7.1541524, ':': -6.8522043, ' Even': -6.8563204, ' 0': -3.7002535, ' even': -0.031130848}
{' Odd': -4.8999834, ' 1': -3.655466, ' 3': -5.8732038, ' odd': -0.058346767, ' even': -4.8279476}
{' even': -0.016613793, ' 0': -4.5290766, ' Even': -6.569751, ' an': -6.5748715, ' ': -7.1628246}
{' Odd': -3.913276, ' 1': -4.1944017, ' odd': -0.10126609, ' 0': -4.3500023, ' even': -3.3925865}
{' ': -6.186461, ':': -7.244972, ' Even': -7.3129983, ' 0': -3.3486028, ' even': -0.041519716}
{'\n': -5.297921, ' Odd': -3.7187524, ' 1': -2.9946303, ' odd': -0.09964414, ' even': -5.674466}
{' ': -7.285527, ':': -8.02645, ' Even': -7.722742, ' 0': -5.6694746, ' even': -0.0057218564}
{' ': -5.3256736, ' 1': -2.407208, ' odd': -0.13122608, ' 0': -5.6486864, ' even': -4.558021}
{' ': -6.648666, ' Even': -6.5881863, ' 0': -2.2731504, ' zero': -7.279049, ' even': -0.1146172}
{' Odd': -5.124815, ':': -5.4673147, ' 1': -3.0111475, ' odd': -0.1082939, ' even': -3.3471746}
{':': -5.216719, ' Even': -5.415081, ' 0': -2.2151592, ' zero': -4.955888, ' even': -0.16094954}
{' Odd': -5.16777, ' 1': -0.88275415, ' one': -5.257208, ' odd': -0.5805643, ' even': -5.5251045}
{' ': -6.360884, ' odd': -6.725447, ' 0': -1.0860112, ' zero': -5.182188, ' even': -0.4327481}
{' 1': -0.20675531, ' odd': -1.7714257, ' even': -5.3232617, ' one': -5.9501424, ' ': -5.990081}
{' even': -0.0563301, ' 0': -3.1776984, ':': -5.9534035, ' ': -6.087362, ' odd': -6.1744547}
{' Odd': -5.532295, ' an': -7.21855, ' 1': -2.7512925, ' odd': -0.08906393, ' even': -4.3111944}
{' even': -0.07080274, ' 0': -2.9343166, ':': -5.2226677, ' ': -5.984285, ' odd': -6.4290614}
{' ': -5.4057593, ' 1': -0.52520883, ' one': -5.276814, ' odd': -1.0535579, ' even': -3.4506736}
{':': -4.9343653, ' Even': -5.2468815, ' odd': -6.6767163, ' 0': -3.4181852, ' even': -0.05524763}
{' Odd': -5.1779237, ' 1': -1.8069423, ' one': -6.018199, ' odd': -0.22112502, ' even': -4.397181}
{' ': -5.3666916, ':': -6.2310123, ' 4': -6.5772943, ' 0': -2.352582, ' even': -0.11869449}
{' 1': -2.1799142, ' one': -5.89524, ' odd': -0.15455213, ' 0': -5.838062, ' even': -4.6612077}
{' even': -0.006638262, ' 0': -6.2533717, ' odd': -6.8791447, ' ': -6.8835855, ' an': -6.9941335}
{' Odd': -4.502667, ' ': -6.1154623, ' 1': -4.439202, ' odd': -0.032573897, ' 0': -5.901989}
{' even': -0.1330016, ' 0': -2.3208792, ' Even': -4.5130253, ' ': -5.636052, ' EVEN': -5.7778044}
{' Odd': -4.281071, ' ': -5.2164574, ' 1': -2.8664553, ' odd': -0.13332115, ' even': -3.418815}
{' ': -5.723778, ' Even': -6.3991694, ' odd': -5.0220227, ' 0': -5.0747266, ' even': -0.020953104}
{' Odd': -4.9334116, ' ': -5.7054863, ' 1': -1.2333616, ' odd': -0.3807213, ' even': -5.4712887}
{' even': -0.050104577, ' 0': -3.2582207, ':': -6.020159, ' ': -6.270289, ' Even': -6.444194}
{' odd': -0.70212793, ' 1': -0.713532, ' one': -5.2014346, ' Odd': -5.936763, ' ': -6.220882}
{' ': -5.57569, ':': -7.0909953, ' Even': -6.257061, ' 0': -3.7935596, ' even': -0.033250615}
{' 1': -1.1295279, ' one': -4.7594547, ' odd': -0.49518386, ' 0': -4.4694724, ' even': -3.4448411}
{' ': -5.993505, ' Even': -6.869331, ' 0': -1.5205202, ' zero': -5.979119, ' even': -0.25982192}
{' ': -6.048348, ' 1': -0.4865099, ' odd': -0.9973703, ' 0': -6.151034, ' even': -5.2834687}
{' ': -6.30219, ':': -6.2259817, ' odd': -6.8852973, ' 0': -3.8809178, ' even': -0.029067453}
{' odd': -0.03349287, ' 1': -3.5680559, ' even': -6.001482, ' Odd': -6.536856, ' ': -8.430008}
{' ': -6.804369, ' an': -7.1459827, ' Even': -6.4415207, ' 0': -6.3213906, ' even': -0.0084921485}
{' Odd': -4.8625164, ':': -6.901275, ' 1': -1.7984374, ' odd': -0.20102914, ' even': -5.3724675}
{':': -5.351448, ' Even': -5.334838, ' 0': -3.3691921, ' zero': -5.431693, ' even': -0.057481818}
{' odd': -0.15780619, ' 1': -2.1690938, ' Odd': -3.690452, ' ': -5.883184, ' even': -7.081553}
{' 0': -0.5356544, ' even': -0.9516233, ' zero': -4.089661, ' Even': -6.1845756, ' ': -6.715842}
{'\n': -5.983371, ' Odd': -4.7306733, ' ': -5.975819, ' 1': -1.3377148, ' odd': -0.34322703}
{' ': -6.314006, ' Even': -5.364115, ' odd': -5.578101, ' 0': -4.96112, ' even': -0.021749312}
{' Odd': -3.9207604, ' 1': -2.4226222, ' odd': -0.15522431, ' 0': -4.6142783, ' even': -4.6202273}
