{' No': -0.09881018, ' Yes': -2.6181371, 'No': -4.0900593, '\n': -5.7983394, 'Yes': -6.7311544}
{' No': -0.18319699, '\n': -3.2115037, 'No': -2.7013643, ' Yes': -2.897249, 'Yes': -5.817762}
{' No': -4.2032127, '\n': -3.305206, 'No': -6.5326633, ' Yes': -0.0902921, 'Yes': -3.458374}
{' Yes': -0.08199114, 'Yes': -3.5024812, ' No': -3.7308388, '\n': -3.8601243, 'No': -6.2410793}
{' Yes': -0.28952762, ' No': -2.1689813, '\n': -2.417299, 'Yes': -3.4990458, 'No': -4.307613}
{' No': -7.198185, '\n': -3.912232, ' ': -7.321888, ' Yes': -0.073458016, 'Yes': -3.0223122}
{' No': -0.36548656, '\n': -2.0413268, 'No': -2.3805678, ' Yes': -2.693144, ' Unfortunately': -5.1017423}
{' Yes': -0.2302035, ' No': -2.5318222, '\n': -2.7951427, 'Yes': -2.9946191, 'No': -4.5107765}
{' Yes': -0.41736344, ' No': -1.2673104, '\n': -3.5428343, 'Yes': -4.189559, 'No': -4.248761}
{' Yes': -0.37796712, ' No': -1.4131866, '\n': -3.0730143, 'No': -4.5022826, 'Yes': -4.63305}
{' No': -0.3109652, ' Yes': -2.1780136, '\n': -2.2944572, 'No': -3.0631623, 'Yes': -5.402884}
{' No': -0.056211453, 'No': -3.5306375, '\n': -4.1086617, ' Yes': -5.007398, ' Unfortunately': -7.2676334}
{' No': -1.6279954, '\n': -3.4807057, 'No': -4.805173, ' Yes': -0.29207698, 'Yes': -4.2407064}
{' No': -1.8435225, '\n': -2.7134144, 'No': -4.6926074, ' Yes': -0.29648927, 'Yes': -3.9669127}
{' Yes': -0.30920687, ' No': -1.8678082, '\n': -2.6212473, 'Yes': -3.8709533, 'No': -4.382533}
{' Yes': -0.15462017, '\n': -2.2182093, 'Yes': -3.5823143, ' No': -5.5412207, ' ': -6.886458}
{' No': -0.31781664, '\n': -1.8920277, 'No': -3.2695148, ' Yes': -2.8672476, ' Unfortunately': -4.1107373}
{' Yes': -0.75551707, ' No': -1.0125571, '\n': -2.077016, 'No': -3.9367971, 'Yes': -4.3448725}
{' No': -3.5950923, '\n': -6.052272, 'No': -7.5577903, ' Yes': -0.041076254, 'Yes': -4.644796}
{' Yes': -0.015411776, 'Yes': -4.3275146, ' No': -7.0616245, '\n': -7.0744305, ' yes': -8.330133}
{' No': -5.947156, '\n': -5.2964563, ' Yes': -0.042370915, ' Sur': -4.040944, 'Yes': -4.1950502}
{' No': -0.028394476, '\n': -6.053781, ' ': -8.559772, 'No': -3.9093947, ' Yes': -5.2748694}
{' Yes': -0.058650676, ' No': -3.2968535, 'Yes': -4.5220428, '\n': -5.458181, ' Patient': -5.8759875}
{' No': -0.026534006, '\n': -5.3842707, ' ': -8.873512, 'No': -4.2506437, ' Yes': -4.9565096}
{' No': -0.15405828, ' Yes': -2.2103899, 'No': -3.959566, '\n': -4.45651, 'Yes': -6.5147204}
{' No': -0.040383596, 'No': -3.8663893, ' Yes': -4.5598288, '\n': -4.902238, ' ': -8.090098}
{' No': -0.03624606, '\n': -5.6513486, 'No': -4.089946, ' Yes': -4.2116284, 'Yes': -8.503493}
{' Yes': -0.19637164, ' No': -2.1399064, '\n': -3.6944394, ' Patient': -3.7980428, 'Yes': -4.7182126}
{' No': -0.030808516, 'No': -3.8219194, ' Yes': -5.1804514, '\n': -5.9843087, ' ': -8.907606}
{' No': -0.05580991, ' Yes': -3.2732148, 'No': -4.296696, '\n': -6.184365, 'Yes': -7.8869553}
{' No': -0.06252172, 'No': -3.5967336, ' Yes': -3.6183267, '\n': -5.4335675, ' Hospital': -6.873961}
{' No': -1.169832, '\n': -4.860243, ' Yes': -0.54192144, ' Sur': -2.4790838, 'Yes': -4.937717}
{' No': -0.10815205, '\n': -4.011049, 'No': -4.274614, ' Yes': -2.728252, ' Patient': -6.1412516}
{' Yes': -0.03660664, 'Yes': -3.8678539, '\n': -4.5240617, ' No': -5.7968526, ' The': -7.6603837}
{' Yes': -0.06297448, 'Yes': -3.8031743, ' No': -4.0031023, '\n': -4.1043983, ' The': -6.3107386}
{' No': -0.53380424, ' Yes': -1.1320556, '\n': -2.9860651, 'No': -3.72332, ' Unfortunately': -4.9700794}
{' No': -5.3981776, '\n': -3.5512989, ' Yes': -0.07179935, ' The': -6.1529036, 'Yes': -3.4232016}
{' No': -0.15307212, '\n': -3.1001925, 'No': -3.2601714, ' Yes': -3.5167937, ' Unfortunately': -4.0510383}
{' Yes': -0.64753693, ' No': -0.84728587, '\n': -3.6779664, 'Yes': -4.4950786, 'No': -4.6309733}
{' No': -1.6821302, '\n': -5.5798025, 'No': -5.582469, ' Yes': -0.23136473, 'Yes': -4.5854826}
{' Yes': -0.20053631, ' Hospital': -2.3570075, ' No': -2.9539597, '\n': -3.9898083, 'Yes': -4.523946}
{' No': -4.5947814, '\n': -2.8805518, ' Yes': -0.71634644, ' Sur': -0.8825757, 'Yes': -4.055198}
{' No': -0.04353015, 'No': -3.7737677, ' Yes': -4.256438, '\n': -5.6670213, ' ': -7.646733}
{' Yes': -0.22262391, ' No': -1.9355506, '\n': -3.727644, 'Yes': -3.9602816, 'No': -5.5463715}
{' No': -3.1632347, '\n': -4.0012646, ' Yes': -0.102075845, ' Nurse': -4.9218197, 'Yes': -3.720793}
{' No': -7.4543886, '\n': -6.160716, ' Yes': -0.015155404, 'Yes': -4.8029265, ' Doctor': -5.731054}
{' No': -2.0773463, '\n': -3.727836, ' Yes': -0.33802357, 'Yes': -4.9402075, ' Hospital': -2.1147075}
{'Sur': -5.12051, '\n': -3.3784811, ' Yes': -1.1565024, ' Sur': -0.47383922, 'Yes': -4.5242977}
{' Band': -7.0275297, ' No': -0.038478855, '\n': -5.9367743, 'No': -3.5165994, ' Yes': -6.0576844}
{' No': -0.59320235, '\n': -3.7266576, 'No': -4.307405, ' Yes': -1.0180681, 'Yes': -4.673975}
{' No': -0.13747129, ' Yes': -2.8948796, 'No': -3.2864046, '\n': -3.423768, 'Yes': -6.079751}
{' Yes': -0.024498932, 'Yes': -3.9285111, '\n': -6.2766333, ' No': -6.4072104, ' Doctor': -7.9244065}
{' No': -0.0534056, '\n': -5.4005866, ' ': -7.8959613, 'No': -3.5284402, ' Yes': -4.068689}
{' No': -0.8998426, '\n': -2.6248298, 'No': -3.6425507, ' Yes': -1.6853536, ' Sur': -1.2523779}
{' No': -0.06304367, 'No': -3.061718, ' Yes': -4.782999, '\n': -5.54043, ' Band': -7.696826}
{' No': -0.3270902, '\n': -3.8266094, 'No': -3.5326586, ' Yes': -1.5528555, 'Yes': -4.8900976}
{' Yes': -0.075149134, ' No': -2.9761136, '\n': -4.530515, 'Yes': -4.7325034, 'No': -7.3679132}
{' Yes': -0.014061293, 'Yes': -4.961237, '\n': -6.012451, ' No': -6.1809025, ' Doctor': -6.477747}
{' No': -0.42892793, '\n': -3.4912982, 'No': -4.2168784, ' Yes': -1.2142043, 'Yes': -5.776321}
{' No': -2.1748028, '\n': -1.9330388, ' Yes': -0.5698605, ' Sur': -1.8633958, 'Yes': -4.662552}
{' No': -0.054427337, 'No': -3.5980387, '\n': -4.723439, ' Yes': -5.30235, ' Damage': -5.481246}
{' No': -0.7146044, ' Yes': -1.305686, ' Patient': -2.7195385, '\n': -2.7666214, 'Pat': -3.0971801}
{' No': -5.213323, '\n': -3.2291257, ' ': -6.9116535, ' Yes': -0.08003424, 'Yes': -3.5024085}
{' No': -5.4935207, '\n': -3.1659834, ' ': -7.223558, ' Yes': -0.07801843, 'Yes': -3.6038477}
{' Yes': -0.7213572, ' No': -1.0754948, '\n': -2.0855675, 'No': -3.6139965, 'Yes': -4.0219803}
{' No': -6.044489, '\n': -2.3136892, ' ': -6.593243, ' Yes': -0.15347555, 'Yes': -3.248122}
{' No': -0.16339149, '\n': -2.940985, ' ': -6.587969, 'No': -2.5264764, ' Yes': -4.2825203}
{' No': -0.7548099, ' Yes': -1.0684792, '\n': -2.1635644, 'No': -3.222961, 'Yes': -3.7397323}
{' No': -6.5746956, '\n': -2.2320266, ' ': -5.3458285, ' Yes': -0.14701396, 'Yes': -3.8268902}
{' Yes': -0.18648836, '\n': -2.057462, 'Yes': -3.4644501, ' ': -5.2595778, ' No': -5.5525985}
{' No': -3.3614266, '\n': -1.7971188, ' ': -4.967132, ' Yes': -0.2708526, 'Yes': -3.7608085}
{' Yes': -0.19184457, '\n': -1.9962765, 'Yes': -3.4985, ' ': -5.152141, ' No': -6.9050374}
{' No': -1.378585, '\n': -0.79602545, 'No': -3.2469988, ' Yes': -1.6468631, ' Unfortunately': -3.791055}
{' No': -3.9476557, '\n': -1.9807061, ' ': -5.293126, ' Yes': -0.2242689, 'Yes': -3.4189804}
{' Yes': -0.12457474, '\n': -2.607767, 'Yes': -3.5879214, ' No': -4.3904114, ' ': -6.646253}
{' Yes': -0.10999904, '\n': -2.6024058, 'Yes': -4.103653, ' No': -4.6302114, ' ': -6.382398}
{' No': -5.6460676, '\n': -1.8590332, ' ': -6.4556932, ' Yes': -0.20768693, 'Yes': -3.6655078}
{' No': -0.35276395, '\n': -1.6043241, ' Yes': -3.0290294, 'No': -3.2599425, ' ': -5.8327637}
{' Yes': -0.18241534, '\n': -2.212166, ' No': -3.4791334, 'Yes': -3.9018443, ' ': -6.3881454}
{' No': -5.337672, '\n': -2.8300295, ' ': -6.504378, ' Yes': -0.090936, 'Yes': -3.9309247}
{' Yes': -0.18804915, '\n': -2.1350784, ' No': -3.6111236, 'Yes': -4.1098533, ' ': -5.474788}
{'\n': -2.1089635, ' ': -6.0842285, ' Yes': -0.15359558, ' The': -7.606451, 'Yes': -4.045605}
{' No': -0.8034591, '\n': -0.84627336, 'No': -3.7633991, ' Yes': -2.701847, ' Unfortunately': -4.013895}
{' Yes': -0.23711717, '\n': -2.231994, ' No': -2.6244805, 'Yes': -4.0487285, ' Unfortunately': -5.5858965}
{' Yes': -0.023091312, 'Yes': -4.2623816, '\n': -4.843451, ' ': -7.955592, ' The': -8.596545}
{' Yes': -0.029599605, 'Yes': -3.9916031, '\n': -4.6813064, ' yes': -7.734149, ' The': -7.743823}
{' Yes': -0.030173318, '\n': -4.2209196, 'Yes': -4.363078, ' ': -6.9943113, ' Sur': -7.3632226}
{' No': -0.9579668, ' Yes': -0.96167475, '\n': -1.7769824, ' Band': -4.0327706, 'No': -4.298131}
{'\n': -3.9988842, ' Yes': -0.039228894, ' Patient': -6.0996723, ' The': -6.473259, 'Yes': -4.3281236}
{' No': -2.104833, '\n': -3.209069, 'No': -6.0873404, ' Yes': -0.19395739, 'Yes': -4.585742}
{' Yes': -0.22384457, ' No': -2.1406746, '\n': -2.874706, 'Yes': -4.1302624, 'No': -5.2643623}
{' No': -2.0409732, '\n': -2.086063, 'No': -5.321199, ' Yes': -0.323814, 'Yes': -4.4922705}
{' No': -0.29668948, '\n': -2.0368361, 'No': -3.602758, ' Yes': -2.3932374, 'Yes': -6.1060114}
{' Yes': -0.20480847, '\n': -2.418012, ' No': -2.7081823, 'Yes': -4.3022833, ' Patient': -5.166667}
{' No': -2.4849296, '\n': -3.950023, 'No': -5.2145624, ' Yes': -0.17099905, 'Yes': -3.1411147}
{' No': -5.152226, '\n': -4.9250684, ' Yes': -0.11439958, 'Yes': -3.9214103, ' Doctor': -2.6406658}
{' Yes': -0.5876001, ' No': -0.906774, 'No': -4.2518725, ' Hospital': -4.3885875, 'Yes': -4.8551803}
{'Sur': -5.6848745, '\n': -5.1758046, ' Yes': -1.6078175, ' Sur': -0.25430948, 'Yes': -4.928206}
{' No': -0.27935237, '\n': -3.105509, 'No': -4.0113487, ' Yes': -2.1357996, ' Patient': -3.1489506}
{'\n': -3.5658548, ' ': -6.830314, ' Yes': -0.0496026, ' The': -7.701957, 'Yes': -4.0106697}
{'\n': -3.943325, ' ': -6.9313064, ' Yes': -0.040517908, ' The': -7.18506, 'Yes': -4.013237}
{' Yes': -0.124125905, '\n': -2.4398797, 'Yes': -3.9541943, ' No': -5.4326377, ' ': -5.5992384}
{' Yes': -0.15935987, '\n': -2.1328344, 'Yes': -3.674134, ' ': -6.085175, ' The': -7.635033}
{' No': -0.62690073, '\n': -1.1682177, 'No': -3.8872995, ' Yes': -2.3970652, ' Unfortunately': -3.515937}
{' No': -0.21417701, ' Yes': -1.9926137, 'No': -3.5767963, '\n': -3.7294528, 'Yes': -5.6577687}
{' No': -0.40580922, ' Yes': -1.1960486, 'No': -4.1431155, '\n': -4.6685767, 'Yes': -5.4107184}
{' No': -0.47208962, ' Yes': -1.3265933, '\n': -2.6512222, 'No': -3.6614246, ' Hospital': -5.158006}
{' Yes': -0.11506408, '\n': -2.853879, 'Yes': -3.8951943, ' Sur': -4.2021074, ' No': -4.354057}
{' No': -0.031622935, ' Not': -8.230505, '\n': -5.2973604, 'No': -3.8005226, ' Yes': -5.7675595}
{' No': -1.0314231, '\n': -3.7938876, 'No': -4.601842, ' Yes': -0.52785814, 'Yes': -4.2634974}
{' No': -0.1269323, '\n': -3.6454031, 'No': -3.632683, ' Yes': -2.7499352, 'Yes': -6.4948196}
{' No': -2.8649855, '\n': -3.8113933, 'No': -6.5817823, ' Yes': -0.10116135, 'Yes': -4.3339877}
{' No': -0.6839941, ' Yes': -1.5193672, '\n': -1.7096231, ' Hospital': -2.9537084, 'No': -3.6431139}
{' No': -2.5926447, '\n': -1.3035649, ' Yes': -0.7590228, ' Sur': -1.8607837, 'Yes': -4.18147}
{' No': -0.052843973, 'No': -3.4546132, '\n': -4.1978936, ' Yes': -6.181883, ' Unfortunately': -7.0800767}
{' No': -0.2732651, '\n': -2.3235676, ' Yes': -2.4232874, 'No': -3.5603707, 'Pat': -5.535918}
{' No': -0.048086308, '\n': -5.518217, ' ': -9.093849, 'No': -3.1883276, ' Yes': -6.513023}
{' No': -0.51123255, ' Yes': -1.0104811, 'No': -3.7495081, 'Yes': -4.8006725, '\n': -5.5122666}
{' No': -0.04909781, '\n': -5.9677734, ' ': -8.807797, 'No': -3.1519625, ' Yes': -6.090916}
{' No': -0.04602265, '\n': -4.3301525, ' ': -8.166151, 'No': -3.5056534, ' Yes': -6.837705}
{' No': -0.047487766, 'No': -3.1480203, '\n': -6.406735, ' Yes': -6.658097, ' Not': -8.464297}
{' No': -0.06366912, 'No': -3.3211782, ' Yes': -3.9241579, '\n': -5.3593254, 'Yes': -7.3104362}
{' No': -0.05378783, ' Yes': -3.540053, 'No': -3.9874117, '\n': -5.4781227, 'Yes': -7.8590894}
{' No': -0.6370124, '\n': -4.3896403, 'No': -4.7130466, ' Yes': -0.81496435, 'Yes': -5.1864624}
{' No': -0.057467293, 'No': -3.811589, ' Yes': -3.8773868, '\n': -4.5656366, ' Hospital': -6.775822}
{' No': -0.26966837, ' Yes': -2.221496, '\n': -2.688373, ' Sur': -3.2918334, 'No': -4.033621}
{' No': -0.018678544, 'No': -4.1875362, '\n': -6.1185527, ' Yes': -7.4553022, ' Unfortunately': -8.697567}
{' No': -0.11161349, '\n': -3.8063672, 'No': -3.7040033, ' Yes': -2.9513407, 'Yes': -6.5317144}
{' No': -0.22084357, ' Yes': -2.5282795, 'No': -2.8070478, '\n': -2.9395437, 'Yes': -5.7348356}
{' No': -0.7161223, ' Yes': -0.96694446, '\n': -2.539355, 'No': -3.343659, 'Yes': -4.254439}
{' No': -0.26700497, '\n': -2.567933, 'No': -2.4734583, ' Yes': -2.7030246, 'Yes': -5.7060227}
{' No': -0.95390874, '\n': -1.9576242, 'No': -3.3937602, ' Yes': -0.88495046, 'Yes': -3.7075706}
{' No': -0.12954174, 'No': -2.4167197, '\n': -3.7073328, ' Unfortunately': -5.674647, ' Yes': -5.91559}
{' No': -0.21009642, '\n': -3.3374155, 'No': -2.66403, ' Yes': -2.5513287, 'Yes': -5.5754714}
{' Yes': -0.12640263, ' No': -3.0397077, 'Yes': -3.2603347, '\n': -3.677855, 'No': -5.203835}
{' Yes': -0.06871363, 'Yes': -3.4019482, ' No': -3.992059, '\n': -4.4299655, 'No': -6.408302}
{' No': -2.4310613, '\n': -2.856005, 'No': -4.3225384, ' Yes': -0.22970039, 'Yes': -3.1368198}
{' No': -4.7467175, '\n': -1.9576567, ' ': -6.1635222, ' Yes': -0.25487328, 'Yes': -2.6522293}
{' No': -0.29217032, '\n': -2.6164978, 'No': -2.0088565, ' Yes': -3.8090198, ' Unfortunately': -4.12822}
{' No': -2.2493253, '\n': -3.320103, 'No': -4.4074903, ' Yes': -0.22445157, 'Yes': -3.125971}
{' No': -2.9385433, '\n': -4.943907, 'No': -5.688534, ' Yes': -0.09189796, 'Yes': -3.7511826}
{' No': -1.8688091, '\n': -2.4597094, 'No': -4.44981, ' Yes': -0.32157743, 'Yes': -4.0401044}
{' No': -0.6978608, '\n': -1.9587594, 'No': -3.3401146, ' Yes': -1.1833249, 'Yes': -4.279417}
{' No': -0.07342755, ' Not': -7.1455593, '\n': -3.9878657, 'No': -3.073288, ' Yes': -5.559297}
{' Yes': -0.2896414, ' No': -1.7572222, '\n': -3.183665, 'Yes': -3.8322022, 'No': -4.541831}
{' Yes': -0.5016758, ' No': -1.4067394, '\n': -2.2156382, 'Yes': -3.8470237, 'No': -4.167632}
{' No': -1.7179353, '\n': -1.2323813, 'No': -4.044559, ' Yes': -0.73373, 'Yes': -3.9202895}
{' Yes': -0.3927186, '\n': -1.2623913, 'Yes': -3.5532334, ' No': -5.0964084, ' ': -5.894437}
{' No': -0.4388796, '\n': -1.3559196, 'No': -2.8327718, ' Yes': -3.8747067, ' Unfortunately': -4.7488756}
{' No': -0.5675674, '\n': -1.6744837, 'No': -3.3521326, ' Yes': -1.6385398, 'Yes': -4.8760467}
{' Yes': -0.016261628, 'Yes': -4.4124885, '\n': -6.0307765, ' No': -6.6828055, ' ': -8.827649}
{' No': -7.997387, '\n': -6.117916, ' Yes': -0.02091993, ' yes': -8.096127, 'Yes': -4.0387974}
{' No': -6.543487, '\n': -4.3189845, ' Yes': -0.048158105, ' Sur': -4.398887, 'Yes': -4.016359}
{' No': -0.062813066, '\n': -4.694966, 'No': -3.9110148, ' Yes': -3.5131438, 'Yes': -7.3864594}
{' Yes': -0.080423675, ' No': -3.7991014, '\n': -3.8086226, 'Yes': -3.8526976, ' Patient': -4.890173}
{' No': -0.07909878, ' Yes': -3.3878505, '\n': -3.7732859, 'No': -4.02782, 'Yes': -7.3844438}
{' No': -0.60638374, ' Yes': -0.9635081, '\n': -3.338479, 'No': -3.6759944, 'Yes': -4.6498866}
{' No': -0.18050382, '\n': -3.1021838, 'No': -3.535326, ' Yes': -2.444166, 'Yes': -6.558}
{' No': -0.07106245, 'No': -3.4420874, '\n': -4.0580335, ' Yes': -4.063132, ' ': -7.373394}
{' Yes': -0.44246095, ' No': -1.2398148, '\n': -3.1857126, 'Yes': -4.3129215, 'No': -4.661394}
{' No': -0.06310691, '\n': -4.9735723, 'No': -3.541733, ' Yes': -3.7151778, 'Yes': -7.676733}
{' No': -0.2666527, '\n': -3.663257, 'No': -3.5232787, ' Yes': -1.7550178, 'Yes': -5.569949}
{' No': -0.091577694, 'No': -2.9709017, '\n': -4.0305467, ' Yes': -4.1084747, ' ': -7.3327117}
{' No': -0.30274147, '\n': -3.725755, 'No': -3.8492386, ' Yes': -1.5642732, 'Yes': -5.801432}
{' No': -0.10875875, '\n': -3.526037, 'No': -3.156389, ' Yes': -3.5597837, 'Yes': -6.885669}
{' No': -5.637952, '\n': -3.9716945, ' Yes': -0.043973457, ' The': -7.3068, 'Yes': -3.9629393}
{' Yes': -0.08105072, '\n': -3.3088834, 'Yes': -3.7638853, ' No': -4.25375, ' The': -6.546277}
{' Yes': -0.5031768, ' No': -1.6313658, '\n': -1.8440083, 'Yes': -4.135213, 'No': -4.2335215}
{' Yes': -0.103235275, '\n': -2.7003078, 'Yes': -3.726421, ' No': -5.7511444, ' The': -6.3104753}
{' No': -0.2697031, '\n': -1.9882469, 'No': -3.1994784, ' Yes': -3.8069878, ' Unfortunately': -3.5898705}
{' No': -0.038701627, '\n': -5.67177, 'No': -3.662336, ' Yes': -4.763711, 'Yes': -8.5286}
{' No': -0.047838897, 'No': -3.3166683, ' Yes': -5.174664, '\n': -5.444924, 'Yes': -8.804293}
{' No': -0.16721587, '\n': -4.2678056, 'No': -2.9895022, ' Yes': -2.4495378, 'Yes': -6.3172565}
{' No': -0.9334809, '\n': -4.130649, 'No': -4.2606716, ' Yes': -0.5812527, 'Yes': -4.3125396}
{' No': -0.053219385, 'No': -3.375954, ' Yes': -4.588, '\n': -5.0805726, 'Yes': -8.160209}
{' No': -0.68675804, ' Yes': -0.7806168, 'No': -4.11273, '\n': -4.412489, 'Yes': -4.6763496}
{' No': -0.12230846, '\n': -4.6246142, 'No': -3.4460578, ' Yes': -2.6428087, 'Yes': -6.191552}
{' Yes': -0.06664802, ' No': -3.230354, 'Yes': -3.9602158, '\n': -5.5486784, 'No': -6.6450567}
{' No': -0.19651818, ' Yes': -2.1222343, 'No': -3.3813097, '\n': -4.1474056, ' Hospital': -5.1722527}
{' No': -1.9105856, '\n': -3.2797034, ' Yes': -0.29254174, ' Sur': -3.2946453, 'Yes': -3.8627892}
{' No': -0.036689054, 'No': -3.5349667, '\n': -5.3378477, ' Yes': -6.599248, ' Band': -8.345309}
{'Pat': -4.65611, ' No': -0.3468105, '\n': -3.4542894, 'No': -3.955392, ' Yes': -1.5634872}
{' No': -0.04898838, '\n': -5.7196746, ' ': -9.383381, 'No': -3.1506422, ' Yes': -6.480707}
{' No': -0.07075009, 'No': -3.346053, ' Yes': -3.4971607, '\n': -6.358121, 'Yes': -7.000268}
{' No': -0.048587017, '\n': -5.3789167, ' ': -8.219546, 'No': -3.2396212, ' Yes': -5.7450743}
{' No': -0.08932726, '\n': -4.547962, 'No': -3.2204115, ' Yes': -3.4820902, ' Sur': -6.0210557}
{' No': -0.0365892, 'No': -3.6076453, ' Yes': -5.2267003, '\n': -5.897312, ' ': -8.436622}
{' No': -0.09627045, '\n': -4.879395, 'No': -3.433961, ' Yes': -3.0098696, 'Yes': -6.302397}
{' No': -0.03030079, '\n': -6.393694, 'No': -4.2973332, ' Yes': -4.2487454, 'Yes': -8.512912}
{' Yes': -0.08153681, ' No': -2.7590747, 'Yes': -4.734828, '\n': -5.6567926, 'No': -6.860966}
{' No': -0.16175613, ' Yes': -2.330022, 'No': -3.5893643, ' Hospital': -4.401771, '\n': -4.6231475}
{' No': -0.24170564, ' Yes': -1.7956703, '\n': -4.106089, 'No': -4.133528, ' Sur': -4.3969197}
{' No': -0.024164561, 'No': -4.042172, ' Yes': -5.7627373, '\n': -6.166103, ' Band': -7.529434}
{'Pat': -3.769745, ' No': -0.38655132, '\n': -3.3469374, 'No': -3.915772, ' Yes': -1.5841565}
{' Yes': -0.6803897, ' No': -0.82435834, '\n': -3.9056015, 'No': -3.950852, 'Yes': -4.196318}
{' Yes': -0.058867175, ' No': -3.6220171, 'Yes': -3.8961794, '\n': -4.7561, 'No': -6.9181175}
{' No': -0.15439743, ' Yes': -2.6155026, 'No': -3.0474122, '\n': -3.9226105, 'Yes': -6.1891203}
{' Yes': -0.4358767, ' No': -1.3075293, '\n': -3.242687, 'Yes': -3.6043966, 'No': -4.148292}
{' No': -0.06491335, '\n': -5.0088105, 'No': -3.058863, ' Yes': -4.790526, 'Yes': -8.364067}
{' No': -0.1638841, '\n': -4.794814, 'No': -2.9520004, ' Yes': -2.450387, 'Yes': -5.559218}
{' No': -4.188729, '\n': -3.878943, 'No': -6.5885572, ' Yes': -0.0705287, 'Yes': -3.5053413}
{' No': -4.1345797, '\n': -3.9916067, 'No': -6.4831686, ' Yes': -0.071568646, 'Yes': -3.4392958}
{' No': -4.414231, '\n': -5.6846395, 'No': -6.5955586, ' Yes': -0.05210218, 'Yes': -3.410792}
{' Yes': -0.061678812, 'Yes': -2.8633776, '\n': -6.1887097, ' yes': -8.299712, ' ': -8.827574}
{' No': -0.77460146, ' Yes': -0.86768764, 'No': -2.8904672, '\n': -3.4038737, 'Yes': -3.959988}
{' No': -5.787959, '\n': -6.179284, 'No': -7.9686747, ' Yes': -0.05061457, 'Yes': -3.142524}
{' No': -2.8119786, '\n': -5.398523, 'No': -5.682779, ' Yes': -0.092578456, 'Yes': -3.9227307}
{' No': -1.6664113, '\n': -3.6425195, 'No': -4.3172026, ' Yes': -0.28281108, 'Yes': -4.3026648}
{' No': -0.1976542, '\n': -2.8357577, 'No': -2.7826762, ' Yes': -2.8910458, 'Yes': -6.0346518}
{' No': -0.076176986, ' Not': -7.1325955, '\n': -4.3237567, 'No': -2.9736853, ' Yes': -5.0704703}
{' No': -1.8391159, '\n': -3.8038242, 'No': -4.576678, ' Yes': -0.2505538, 'Yes': -3.9054}
{' No': -0.3463955, ' Yes': -1.6059474, 'No': -3.0651166, '\n': -3.4637318, 'Yes': -5.034361}
{' Yes': -0.4036884, ' No': -1.278845, 'No': -3.929645, 'Yes': -4.1235747, '\n': -4.2119503}
{' No': -5.2953343, '\n': -4.7632737, ' Yes': -0.03852909, ' Sur': -6.294609, 'Yes': -3.8496482}
{' No': -0.29023054, '\n': -2.2260273, 'No': -3.0216336, ' Yes': -2.7070892, ' Unfortunately': -4.0376654}
{' Yes': -0.6473372, ' No': -1.028559, '\n': -2.7954028, 'No': -3.4934313, 'Yes': -3.8206751}
{' No': -5.8023233, '\n': -7.1075244, ' Yes': -0.012631856, ' yes': -9.129533, 'Yes': -4.7715964}
{' Yes': -0.012435154, 'Yes': -4.540002, ' No': -6.8653135, '\n': -8.118745, ' yes': -8.264154}
{'\n': -5.7454495, ' Yes': -0.12936732, ' yes': -7.5034227, ' Sur': -2.3071437, 'Yes': -4.0846095}
{' No': -0.028947683, 'No': -3.8216414, ' Yes': -5.4425883, '\n': -6.223079, 'Yes': -9.369094}
{' Yes': -0.030608458, ' No': -4.3689184, 'Yes': -4.6397123, ' Patient': -5.2515955, '\n': -6.4935937}
{' No': -0.020520981, '\n': -6.9030795, ' ': -10.168739, 'No': -4.0060897, ' Yes': -6.8910766}
{' No': -0.08286112, ' Yes': -3.0169964, 'No': -3.6425493, '\n': -5.789736, 'Yes': -7.128952}
{' No': -0.04382884, '\n': -5.3403716, 'No': -3.368944, ' Yes': -5.762031, ' Unfortunately': -8.789242}
{' No': -0.030754365, '\n': -6.4669585, 'No': -3.9473937, ' Yes': -4.7039337, 'Yes': -8.895788}
{' No': -0.5115635, ' Yes': -0.99229354, 'No': -4.2885504, '\n': -4.957999, 'Yes': -5.191325}
{' No': -0.036745448, 'No': -3.5156214, ' Yes': -5.782629, '\n': -5.7977977, 'Yes': -9.179758}
{' No': -0.11348451, ' Yes': -2.4733365, 'No': -3.9765596, '\n': -5.918072, 'Yes': -6.7506795}
{' No': -0.09180432, ' Yes': -3.0409484, 'No': -3.542568, '\n': -4.7305884, ' Hospital': -6.974065}
{' No': -1.7496206, '\n': -4.7361507, ' Yes': -0.23808487, ' Sur': -4.794512, 'Yes': -4.3154545}
{' No': -0.39684856, '\n': -4.219726, 'No': -3.8908403, ' Yes': -1.2541198, 'Yes': -5.2658844}
{' Yes': -0.054529488, 'Yes': -3.4030364, '\n': -4.219898, ' No': -5.504526, 'No': -7.882471}
{' No': -4.148691, '\n': -3.9405768, 'No': -6.5094123, ' Yes': -0.076000504, 'Yes': -3.3572178}
{' Yes': -0.5860796, ' No': -1.1313752, '\n': -3.095105, 'No': -3.1282184, 'Yes': -3.6802833}
{' Yes': -0.051471993, 'Yes': -3.1949465, '\n': -5.070606, ' No': -6.395128, ' The': -7.566889}
{' No': -0.26779908, 'No': -2.099466, '\n': -3.0226452, ' Yes': -3.4330573, ' Unfortunately': -4.038633}
{' No': -0.10715911, ' Yes': -2.8733733, 'No': -3.373339, '\n': -4.7152734, 'Yes': -6.4634686}
