{' even': -1.1110401, ' odd': -1.5661411, ' 0': -2.014165, ' 1': -2.272643, ':': -2.420803}
{' even': -0.093434736, ' 0': -3.6855328, ':': -4.3502593, ' ': -4.51207, ' odd': -4.9421606}
{' odd': -0.41448054, ' 0': -1.9536525, ' 1': -2.725257, ' even': -2.7559617, ':': -4.5528154}
{' even': -0.9588098, ' 0': -1.0682459, ' 1': -2.6117191, ' odd': -3.0218372, ':': -3.5115156}
{' Odd': -5.419498, ' 1': -5.5883636, ' odd': -0.09483763, ' 0': -5.9138646, ' even': -2.6506715}
{'\n': -3.8991523, ':': -3.2958539, ' odd': -2.4315417, ' 0': -3.8321288, ' even': -0.24963883}
{' ': -5.2635336, ' 1': -4.583831, ' not': -4.983486, ' odd': -0.84713477, ' even': -0.65526694}
{' ': -4.7881446, ':': -4.551486, ' odd': -3.6490858, ' 0': -1.9697627, ' even': -0.23480314}
{' Odd': -5.3154707, ' 1': -5.815205, ' odd': -0.37224296, ' 0': -4.9145937, ' even': -1.26995}
{':': -2.6988997, ' 1': -2.8358521, ' odd': -1.4732138, ' 0': -2.1155524, ' even': -0.8857618}
{'\n': -4.4535103, ' ': -4.942687, ':': -3.1554585, ' 0': -4.0884256, ' even': -0.11641618}
{' Odd': -5.9527626, ' 1': -4.415462, ' odd': -0.04751789, ' 0': -5.8875375, ' even': -4.1652594}
{' Even': -6.163428, ' odd': -5.4730544, ' 0': -3.87886, ' zero': -5.9672456, ' even': -0.040059507}
{' **': -3.3913531, '\n': -3.5916605, ':': -3.7419815, ' odd': -0.39125562, ' even': -1.8103257}
{' even': -0.045007534, ' odd': -4.1566653, ' 0': -5.0607314, ' Even': -5.355517, ' an': -5.3559117}
{' even': -0.63729274, ' odd': -0.80076784, ':': -5.413365, ' not': -5.965491, ' neither': -6.3294544}
{' even': -0.013342029, ':': -5.5600123, ' ': -5.5652742, ' Even': -6.6178384, ' an': -6.9960055}
{' odd': -0.26634833, ' even': -1.645655, ':': -4.8859873, ' Odd': -5.4866147, ' 0': -5.5262666}
{' even': -0.83050674, ' odd': -2.0384288, ':': -2.2594037, ' 0': -2.4445937, ' 1': -2.5233912}
{':': -4.696471, ' 1': -4.276841, ' odd': -4.396287, ' 0': -1.9965745, ' even': -0.23801817}
{' odd': -0.05480762, ' even': -4.046032, ' 1': -4.9191475, ' ': -5.384013, ' Odd': -5.46908}
{' even': -0.35384402, ' 0': -1.8228506, ' odd': -2.8978293, ' Even': -4.2607245, ' zero': -4.4875484}
{'\n': -5.5333333, ' ': -5.4976707, ' 1': -4.960135, ' odd': -0.12483948, ' even': -2.4521644}
{' even': -0.11106937, ' odd': -2.802735, ' 0': -4.569144, ' ': -5.2904754, '\n': -5.3286853}
{' even': -0.69434136, ' odd': -0.83900225, ' ': -4.2612777, ':': -4.422232, ' an': -5.15476}
{' ': -3.87096, ':': -3.4572258, ' 1': -4.1459837, ' 0': -2.3490448, ' even': -0.23783587}
{':': -5.2248616, ' false': -4.639586, ' odd': -0.49206883, ' 0': -5.2592473, ' even': -1.0637318}
{':': -2.6630034, ' 1': -2.932174, ' odd': -2.1787696, ' 0': -0.9505315, ' even': -1.4412247}
{' even': -0.107352644, ' 0': -3.4792433, ' Even': -4.726302, ':': -4.8124847, ' odd': -4.8424644}
{' Odd': -5.1272473, ' 1': -3.320457, ' odd': -0.16062105, ' 0': -3.9292367, ' even': -2.7140114}
{' 1': -5.692747, ' odd': -4.3272376, ' 0': -4.109109, ' zero': -5.7569394, ' even': -0.057083417}
{':': -4.1369267, ' 1': -3.1304224, ' odd': -0.7632074, ' 0': -2.346979, ' even': -1.2047662}
{'\n': -4.883876, ' Even': -5.2355843, ' odd': -2.4444761, ' 0': -4.550712, ' even': -0.14888489}
{'\n': -5.44397, ' an': -5.5616155, ' odd': -0.66992253, ' 0': -4.966086, ' even': -0.8252551}
{' ': -4.877271, ' an': -4.7027617, ' odd': -2.6541975, ' 0': -4.5378165, ' even': -0.13809176}
{' 1': -4.658088, ' false': -4.5004916, ' odd': -0.22279124, ' 0': -4.8668084, ' even': -1.9504542}
{':': -2.9209352, ' 1': -1.959172, ' odd': -2.6051967, ' 0': -0.78112006, ' even': -1.9734628}
{':': -4.502634, ' 1': -5.065938, ' odd': -4.426941, ' 0': -3.0015764, ' even': -0.10795502}
{' 1': -2.7592473, ' -': -4.7255206, ' odd': -0.1672549, ' 0': -3.5736995, ' even': -3.8713076}
{' ': -5.1395516, ' 1': -4.8464417, ' odd': -4.4538236, ' 0': -2.5614314, ' even': -0.13005604}
{' odd': -0.19857597, ' even': -1.9026831, ':': -4.989052, ' Odd': -5.205113, ' ': -5.298588}
{' ': -5.7320433, ' an': -5.344001, ' odd': -4.5037155, ' 0': -5.0050383, ' even': -0.04089375}
{' Odd': -5.7750793, ' an': -5.8119655, ' odd': -0.66625184, ' 0': -5.4055915, ' even': -0.80308884}
{'\n': -3.6198795, ' ': -3.1558456, ':': -3.0543182, ' odd': -3.3897693, ' even': -0.27802667}
{' 1': -4.756305, ' false': -5.5753407, ' odd': -0.16220075, ' 0': -4.4833694, ' even': -2.3139398}
{' odd': -1.0048287, ' even': -1.0825703, ':': -2.8505006, ' 0': -3.2455015, '\n': -3.827595}
{':': -3.5153317, ' Even': -4.3261857, ' odd': -3.6014392, ' 0': -3.1548371, ' even': -0.18199044}
{' Odd': -4.3352466, ' 1': -3.0471554, ' odd': -0.33809268, ' 0': -3.3321788, ' even': -2.1249015}
{' an': -5.4481435, ' odd': -5.1499324, ' 4': -5.6397204, ' 0': -5.0479765, ' even': -0.035778865}
{' odd': -0.11568546, ' even': -2.4733067, ' Odd': -5.517931, ':': -5.5215554, ' ': -5.522137}
{' ': -4.680013, ' Even': -4.3357997, ' odd': -1.6320665, ' 0': -3.827829, ' even': -0.33904046}
{' even': -0.38828602, ' odd': -1.591086, ' an': -3.1843076, ' not': -4.5573735, ' 0': -4.905542}
{' even': -0.095156044, ' odd': -3.1039677, ' 0': -4.2781296, ' ': -5.0370355, ':': -5.257692}
{' Odd': -5.1156387, ' an': -5.208536, ' odd': -0.20032218, ' 0': -4.925891, ' even': -1.9469633}
{':': -2.8046017, ' 1': -2.8153956, ' odd': -0.78796226, ' 0': -2.9341757, ' even': -1.3043606}
{' even': -0.17801492, ' odd': -2.94582, ' 0': -3.0138037, ' 1': -4.279703, ':': -4.320627}
{' odd': -0.16272944, ' even': -2.9504654, ' 0': -3.6456053, ' 1': -3.6634934, ' Odd': -4.4681015}
{' even': -0.09687263, ' 0': -3.5173352, ' odd': -4.269434, ':': -4.5548754, ' ': -4.639694}
{' ': -5.0600376, ':': -4.8013477, ' 1': -5.2665606, ' odd': -0.12879223, ' even': -2.4973893}
{':': -5.2773705, ' an': -5.5518646, ' odd': -1.8827147, ' 0': -3.8978999, ' even': -0.22573505}
{' Odd': -5.2465734, ' not': -5.575447, ' odd': -0.58349746, ' 0': -4.6476207, ' even': -0.9257779}
{' ': -4.4152694, ':': -5.1514935, ' odd': -5.4754686, ' 0': -5.1675653, ' even': -0.047247406}
{' odd': -0.21730764, ' even': -1.8257623, ' an': -4.556519, '\n': -5.977933, ' ': -6.0301065}
{':': -2.2455688, ' 1': -1.4457299, ' odd': -2.337132, ' 0': -1.0861212, ' even': -2.155809}
{'\n': -4.1990433, ' 1': -4.1743703, ' odd': -3.7794905, ' 0': -2.510505, ' even': -0.23924164}
{' Odd': -4.7533245, ' 1': -3.2373915, ' odd': -0.6494014, ' 0': -2.4852808, ' even': -1.3315179}
{' ': -4.607736, ' 1': -4.9353614, ' 0': -0.8975717, ' zero': -4.6086345, ' even': -0.6232348}
{' odd': -0.62511414, ' 0': -1.7025639, ' 1': -1.945315, ' even': -2.2495563, ' zero': -5.1801476}
{' ': -5.4138975, ' an': -4.580181, ' odd': -3.0246465, ' 0': -5.5587454, ' even': -0.08799678}
{' an': -5.3287086, ' not': -5.5428386, ' odd': -0.48803547, ' 0': -5.527276, ' even': -1.0758927}
{'\n': -4.7046566, ' ': -4.8293085, ':': -3.5581045, ' odd': -4.4604435, ' even': -0.0897828}
{'\n': -4.333174, ' 1': -3.4472883, ' odd': -0.2385998, ' 0': -3.3655767, ' even': -2.4127166}
{' even': -0.90586764, ' odd': -1.6172696, ' 0': -1.967743, ' 1': -2.1165094, ':': -2.9386556}
{' even': -0.533843, ' 0': -1.5245522, ' 1': -2.9328241, ' odd': -3.543289, ':': -3.6197128}
{' Odd': -5.2601886, ' 1': -4.360614, ' odd': -0.05478974, ' 0': -5.0209274, ' even': -4.114626}
{'\n': -4.5178714, ' ': -4.3711557, ' odd': -4.0031686, ' 0': -4.266521, ' even': -0.094810426}
{' odd': -0.12886058, ' 1': -3.7456627, ':': -3.8864279, ' ': -4.101592, ' even': -4.4363623}
{' even': -0.18192232, ' odd': -2.3499377, ' 0': -4.4939995, ' -': -4.600879, ':': -4.8368044}
{' an': -4.830847, ' not': -5.8033776, ' odd': -0.743267, ' neither': -5.923014, ' even': -0.713477}
{' ': -4.4543123, ':': -4.783915, ' odd': -2.809802, ' 0': -4.544533, ' even': -0.11480618}
{'\n': -5.1386027, ' 1': -4.9601436, ' odd': -0.20055927, ' 0': -5.343841, ' even': -1.9739548}
{':': -3.3729842, ' 1': -3.1522038, ' odd': -0.91734654, ' 0': -3.1338317, ' even': -0.9947506}
{' even': -0.28198472, ' 0': -2.402181, ' odd': -2.776415, ':': -3.7188525, ' Even': -4.2511888}
{' odd': -0.10349701, ' even': -3.5144236, ' 1': -3.8051875, ' 0': -4.983626, ' Odd': -4.9859185}
{' even': -0.2146732, ' 0': -2.1787062, ' odd': -3.857556, ' 1': -4.386031, ' zero': -4.4386873}
{':': -5.0955687, ' 1': -5.016883, ' odd': -0.35705772, ' 0': -5.2636395, ' even': -1.3430663}
{' even': -0.11784173, ' odd': -2.9160402, ':': -4.2208843, ' 0': -4.5637503, ' ': -5.304493}
{' odd': -0.6598545, ' even': -0.7638651, ' ': -5.8428354, ' neither': -6.553892, ' Odd': -6.5712833}
{' ': -5.2696333, ':': -6.0581517, ' odd': -3.7209594, ' 0': -7.0187073, ' even': -0.03896727}
{'\n': -5.4807816, ' 1': -5.1733847, ' odd': -0.09427562, ' 0': -5.370004, ' even': -2.8912003}
{' even': -0.6436852, ' odd': -1.0945053, ' 0': -3.3261812, ' 1': -3.3622272, ':': -3.9815156}
{' ': -4.7106013, ':': -4.6324368, ' Even': -5.2641044, ' 0': -4.8491044, ' even': -0.058397125}
{' Odd': -5.4285965, ' 1': -2.857563, ' odd': -0.23179266, ' 0': -3.3275661, ' even': -2.4809446}
{':': -4.6938562, ' 1': -4.906714, ' odd': -4.250428, ' 0': -2.169513, ' even': -0.19682634}
{' odd': -0.24780264, ' even': -2.2028542, ' 1': -3.400379, ' ': -4.369902, ' **': -4.572289}
{' even': -0.41104066, ' odd': -1.5246576, ' 0': -4.039386, ' Even': -4.06994, ':': -4.274415}
{' odd': -0.645039, ' even': -0.81720495, ' neither': -5.002782, ' an': -5.5907564, ' Odd': -5.9899793}
{'\n': -3.6490002, ' ': -3.1313658, ':': -3.242793, ' 0': -3.5868263, ' even': -0.24023823}
{' odd': -0.10849949, ' even': -3.0084095, ' 1': -4.6058855, '\n': -4.887648, ' ': -5.0561285}
{':': -3.1814601, ' 1': -2.3992174, ' odd': -1.2351844, ' 0': -2.1124322, ' even': -0.9757335}
{' even': -0.08870512, ' 0': -3.0961714, ':': -4.8459244, ' 1': -5.3594074, ' odd': -5.408261}
{' Odd': -5.454242, ' ': -5.6513968, ' 1': -4.6023784, ' odd': -0.03186977, ' even': -5.29526}
{' ': -5.255213, ':': -5.428607, ' Even': -5.466752, ' 0': -4.8939285, ' even': -0.04438898}
{' Odd': -4.438941, ':': -4.762243, ' odd': -0.20057806, ' 0': -5.1889453, ' even': -1.9911463}
{' an': -4.5996532, ' 1': -5.16698, ' odd': -2.2375135, ' 0': -3.6809406, ' even': -0.1847298}
{' ': -5.526715, ' -': -6.050687, ' odd': -0.3839408, ' neither': -5.8408895, ' even': -1.2206175}
{' even': -0.050365247, ' odd': -4.1460395, ' ': -4.4178653, ':': -5.379625, '\n': -5.774348}
{' odd': -0.12131541, ' even': -2.6428206, ' 0': -4.479499, '\n': -4.772953, ' 1': -5.015439}
{':': -3.649683, ' 1': -4.6882105, ' odd': -1.3558855, ' 0': -4.151644, ' even': -0.45791715}
{'\n': -3.3239002, ':': -2.9499557, ' Even': -3.7806594, ' 0': -3.6006505, ' even': -0.25433066}
{' 1': -2.831282, ' 3': -4.6713123, ' odd': -0.53250265, ' 0': -1.7161698, ' even': -2.2721467}
{':': -4.107746, ' 1': -4.4154134, ' odd': -4.6165743, ' 0': -1.3729898, ' even': -0.39849868}
{' Odd': -6.003548, ' ': -5.730368, ':': -6.8913674, ' odd': -0.1094328, ' even': -2.4178169}
{' even': -0.51054686, ' odd': -1.1933786, ' Even': -4.189478, ':': -4.260295, ' Odd': -4.3609796}
{' Odd': -4.558406, ' Even': -6.0323496, ' odd': -0.45092744, ' 0': -5.3272424, ' even': -1.113669}
{'\n': -3.3972764, ' ': -3.0529807, ':': -3.2420306, ' odd': -2.3976207, ' even': -0.38702247}
{' odd': -0.3100995, ' even': -1.4065464, ' ': -5.3995986, ' an': -6.174183, ' 1': -6.379925}
{':': -3.777969, ' 1': -3.5489538, ' odd': -1.259424, ' 0': -3.361199, ' even': -0.66059375}
{':': -3.200997, ' 1': -3.1380877, ' odd': -3.0073183, ' 0': -0.9060474, ' even': -0.9921385}
{' ': -6.272479, ' 1': -4.437329, ' odd': -0.044420693, ' 0': -5.607732, ' even': -3.901954}
{' --': -4.537513, ' ': -4.8189206, ' odd': -3.7632484, ' 0': -3.6790683, ' even': -0.10627462}
{' Odd': -5.0940237, ' ': -5.0439634, ':': -4.934476, ' odd': -0.36255163, ' even': -1.3399152}
{' even': -0.3175875, ' odd': -1.7254233, ' 0': -3.0678086, ':': -4.9300847, ' 1': -4.9703336}
{' Odd': -5.192723, ' an': -2.6582894, ' not': -4.72863, ' odd': -0.900436, ' even': -0.7511066}
{' even': -0.13771403, ' odd': -3.2667966, ':': -3.5900571, ' ': -3.8513367, ' 0': -4.2536836}
{' odd': -0.31499296, ' even': -1.4692888, ' 0': -4.7868843, ' -': -4.880131, ' Odd': -5.4376917}
{' even': -1.2014391, ' 0': -1.5955421, ' odd': -1.8518525, ':': -2.361214, ' 1': -2.4100993}
{' even': -0.07946392, ' 0': -3.15927, ' 1': -4.9434624, ' odd': -5.0468836, ':': -5.5292797}
{' odd': -0.18630897, ' even': -1.8421087, ' 1': -6.2019715, ' ': -6.27323, ' Odd': -6.3373675}
{' Even': -4.2129025, ' 1': -4.2332425, ' odd': -3.2389035, ' 0': -1.8182007, ' even': -0.35332152}
{' **': -4.358899, ':': -4.526943, ' 1': -3.8866632, ' odd': -0.59174824, ' even': -1.0218}
{' even': -0.077231534, ' odd': -3.4641564, ' 0': -4.681779, ':': -5.206332, '\n': -5.230586}
{' odd': -0.4347728, ' even': -1.1999955, ' not': -5.019072, ' neither': -5.2236166, ' zero': -5.25292}
{' ': -4.4130077, ':': -3.5379465, ' odd': -4.3276844, ' 0': -3.652914, ' even': -0.1258641}
{' odd': -0.5874937, ' even': -1.062459, ' 0': -3.409683, ' 1': -4.0528765, ':': -4.642425}
{':': -2.5441387, ' 1': -2.619686, ' odd': -1.8500317, ' 0': -1.7781487, ' even': -0.9469785}
{' even': -0.76252174, ' 0': -1.0602856, ':': -2.9273565, ' 1': -3.0966082, ' odd': -4.049102}
{' odd': -0.045680627, ' even': -4.0253177, ' 1': -4.707523, ' Odd': -5.483056, ' ': -6.2410865}
{' even': -0.32077584, ' odd': -2.092099, ' 0': -2.4902256, ':': -3.8069177, ' 1': -4.644359}
{' odd': -0.53534853, ' even': -1.1579254, ' -': -3.8918052, ':': -4.3360667, '\n': -4.660414}
{' even': -0.38194886, ' odd': -1.8925822, ' 0': -3.012624, ':': -4.09303, '\n': -4.335819}
{' Odd': -5.4528837, ' ': -5.954852, ':': -5.0370536, ' odd': -0.29616216, ' even': -1.4670967}
{' even': -0.052501995, ' odd': -3.49926, ' 0': -5.6072574, ' ': -5.884048, ' Even': -6.0004077}
{' odd': -0.13834533, ' even': -2.4469876, ' 1': -4.296134, '\n': -4.9820848, ' 0': -5.436584}
{':': -2.3507133, ' 1': -2.5625443, ' odd': -2.5351338, ' 0': -1.4461285, ' even': -0.944407}
{'\n': -4.31269, ':': -2.744154, ' 1': -3.0914507, ' 0': -0.96396184, ' even': -0.8357804}
{' odd': -0.21342501, ' 1': -2.551923, ' even': -3.5978081, ' 0': -3.6135123, '\n': -4.5864863}
{' even': -0.25517341, ' 0': -2.716865, ':': -3.3736932, ' -': -3.921905, '\n': -3.9612033}
{':': -5.271578, ' 1': -4.7005744, ' odd': -0.09475374, ' 0': -5.0145955, ' even': -2.9318793}
{' even': -0.090501204, ' odd': -3.1555839, ' 0': -4.4521294, ':': -5.335074, ' ': -5.650286}
{' even': -0.7221108, ' odd': -0.75135046, ':': -4.907219, ' ': -5.353201, ' neither': -5.4145136}
{' even': -0.11940591, ' odd': -2.9459715, ':': -4.517582, ' Even': -4.670067, ' ': -4.8401594}
{' Odd': -6.3505874, ' 1': -6.3148375, ' odd': -0.08824115, ' 0': -5.8078113, ' even': -2.6597304}
{' even': -1.0064942, ' 0': -1.5945479, ' odd': -2.0127969, ' 1': -2.4552028, ':': -2.662933}
{' even': -0.13196972, ' 0': -3.4520485, ':': -4.0131617, ' odd': -4.351764, ' Even': -4.3850064}
{' odd': -0.17205738, ' 1': -2.7992375, ' 0': -3.1337824, ' even': -3.7377684, ' Odd': -4.838788}
{' even': -0.18005347, ' 0': -2.3298519, ':': -3.8378224, ' ': -4.373022, ' -': -5.027606}
{' Odd': -5.328275, ' 1': -4.6201777, ' odd': -0.24743617, ' 0': -4.8570457, ' even': -1.7060485}
{':': -4.8533344, ' 1': -4.90594, ' odd': -1.5949881, ' 0': -2.7731383, ' even': -0.3730691}
{' Odd': -5.532775, ':': -5.436907, ' not': -5.607221, ' odd': -0.47521675, ' even': -1.045965}
{' even': -0.084162675, ' odd': -3.3370044, ' 0': -4.2373047, ' ': -5.3063507, ':': -5.803545}
{'\n': -4.116209, ' ': -3.7549818, ' 1': -2.4505033, ' odd': -0.19298638, ' 0': -4.071824}
{' even': -1.1951525, ' odd': -1.4083482, ' 0': -1.6160624, ' 1': -2.3879387, ':': -2.6201327}
{' even': -0.116640076, ' 0': -2.9364917, ' 1': -4.451704, ' odd': -4.6749797, ':': -4.8453426}
{' Odd': -5.6167507, ' ': -5.5948334, ' 1': -5.1596766, ' odd': -0.021001918, ' even': -5.3111343}
{' even': -0.1040164, ' 0': -3.9195597, ':': -4.1649876, ' ': -4.1974564, ' odd': -4.8810663}
{' Odd': -5.945459, ' ': -5.8081417, ':': -6.510853, ' odd': -0.24692968, ' even': -1.5757698}
{' even': -0.21761169, ' odd': -2.3207085, ' 0': -3.6183684, ':': -4.593645, ' Even': -4.8850217}
{' odd': -0.54946536, ' even': -1.033686, ' 0': -4.9189625, ':': -5.0556355, ' 1': -5.0878515}
{' even': -0.15199687, ' odd': -2.6451797, ' 0': -3.9061155, ':': -4.816922, ' ': -4.9340725}
{' odd': -0.25773713, ' even': -1.5825329, ' 1': -5.431239, ' 0': -5.7404613, ' ': -6.174681}
{' even': -0.98239285, ' 0': -1.497255, ' odd': -1.7299838, ':': -2.7853525, ' 1': -2.800514}
{':': -3.8461487, ' 1': -3.016084, ' odd': -2.7515633, ' 0': -1.3197864, ' even': -0.653106}
{' Odd': -5.3921566, ' ': -5.436595, ' 1': -6.4451313, ' odd': -0.014776289, ' even': -7.004899}
{':': -4.4727426, ' Even': -4.9980807, ' odd': -4.9286103, ' 0': -2.8593948, ' even': -0.118300185}
{' odd': -0.13410386, ' even': -2.2799454, ' Odd': -5.0776873, ' 1': -5.5999026, ' 0': -5.894402}
{':': -6.0870214, ' an': -6.1527867, ' odd': -3.6402302, ' 0': -6.055364, ' even': -0.041925333}
{' ': -6.2324533, ' an': -4.697739, ' not': -5.956467, ' odd': -0.81122476, ' even': -0.6600445}
{' ': -4.360303, ':': -3.9008868, ' odd': -4.084477, ' 0': -3.557093, ' even': -0.15245576}
{' odd': -0.25574896, ' even': -1.7971442, ' 0': -3.6819124, ' 1': -4.276414, ' ': -5.671502}
{':': -2.9641988, ' 1': -2.4557686, ' odd': -2.1630735, ' 0': -1.6614122, ' even': -0.75458896}
{' even': -0.32454404, ' 0': -2.0002232, ' 1': -3.6525393, ' -': -3.9458647, ' ': -4.256666}
{' odd': -0.20190975, ' even': -2.5227046, ' 0': -3.57925, ' Odd': -4.0412927, ' 1': -4.077761}
{' even': -0.2561047, ' 0': -1.8944037, ' 4': -3.890259, ' zero': -3.914581, ':': -4.841543}
{' **': -3.6396484, ' Odd': -4.6089163, ':': -4.1291203, ' odd': -0.20877168, ' even': -2.312934}
{' even': -0.092686675, ' odd': -2.9594946, ' 0': -4.5275173, '\n': -5.58046, ' 1': -5.658614}
{' Odd': -4.7264056, ' an': -4.977345, ' odd': -0.49564996, ' 0': -4.3930497, ' even': -1.0843292}
{' ': -4.6680284, ':': -5.895643, ' odd': -3.494474, ' 0': -6.634857, ' even': -0.05336738}
{' odd': -0.520509, ' even': -1.4218122, ' 0': -3.1089814, ' Odd': -3.417922, ':': -4.5582085}
{' even': -1.268426, ' 1': -1.4532024, ' 0': -1.5034333, ' odd': -1.9122982, ':': -2.799202}
{'\n': -4.225847, ':': -2.449434, ' 1': -4.063045, ' 0': -1.4214045, ' even': -0.54210645}
{' odd': -0.17516448, ' even': -2.5613806, ' 1': -3.8047678, ' 0': -3.9620774, ' Odd': -4.3179007}
{' even': -0.21173584, ' 0': -2.0468073, ' odd': -4.515438, ' zero': -4.7281313, ' 1': -4.766961}
{' Odd': -5.194725, ' 1': -4.52254, ' odd': -0.17001341, ' 0': -5.302967, ' even': -2.0657568}
{':': -5.426282, ' an': -4.92074, ' odd': -3.4928014, ' 0': -4.805485, ' even': -0.08648692}
{' Odd': -5.257225, ' an': -3.5876758, ' not': -4.796185, ' odd': -0.6962986, ' even': -0.91117007}
{'\n': -2.8058875, ' ': -1.6661825, ':': -2.588096, ' 0': -3.5972977, ' even': -0.6168567}
{' ': -5.1420846, ' 1': -4.7637334, ' odd': -0.18054922, ' 0': -4.7307544, ' even': -2.0789313}
{':': -2.27626, ' 1': -3.3274605, ' odd': -2.285235, ' 0': -2.1866736, ' even': -0.7964406}
{' even': -0.29747328, ':': -2.9967911, ' 0': -3.234213, '\n': -3.361316, ' Even': -3.8941326}
{' Odd': -5.861906, ' 1': -4.403283, ' odd': -0.03862864, ' 0': -5.987096, ' even': -4.4790597}
{'\n': -5.225381, ' ': -5.009886, ':': -4.444209, ' 0': -2.2449493, ' even': -0.16562474}
{':': -4.3600016, ' 1': -1.94234, ' odd': -0.46042356, ' 0': -2.4839497, ' even': -2.4128017}
{' even': -0.34281257, ' odd': -1.5524856, ' 0': -4.0962505, ' Even': -4.930355, ' Odd': -4.970418}
{':': -6.3750544, ' not': -5.7364473, ' odd': -0.4136552, ' neither': -5.163515, ' even': -1.1500301}
{' even': -0.13927858, ' odd': -2.5709305, ' ': -4.43573, ' 0': -4.505821, ':': -4.6629353}
{' Odd': -6.6645246, ' ': -6.445653, ' an': -6.74399, ' odd': -0.18988252, ' even': -1.803776}
