{' No': -0.45905298, ' ': -8.874247, 'No': -7.228599, ' Yes': -1.0040588, 'Yes': -7.198021}
{' No': -0.0010178615, ' ': -11.257671, 'No': -6.911664, ' no': -12.488671, ' NO': -13.002545}
{' No': -0.00088779925, ' ': -10.951945, 'No': -7.05864, ' Yes': -12.383399, ' no': -12.622473}
{' No': -0.0009583192, 'No': -6.973238, ' ': -11.321398, ' no': -12.206365, ' NO': -12.756088}
{' No': -0.0015464588, ' ': -10.611627, 'No': -6.7153697, ' Yes': -8.10596, ' no': -12.929077}
{' No': -0.0010712041, ' ': -10.81677, 'No': -6.86624, ' no': -12.654723, ' NO': -13.118133}
{' No': -0.0011614263, ' ': -10.958246, 'No': -6.783066, ' no': -12.087971, ' NO': -12.657073}
{' No': -0.0014141193, ' ': -10.86011, 'No': -6.58054, ' no': -12.9279785, ' NO': -12.778021}
{' No': -0.0015215657, ' ': -11.033498, 'No': -6.506486, ' no': -12.285159, ' NO': -12.283283}
{' No': -0.0018766994, 'No': -6.2953773, ' ': -10.896837, ' no': -12.149312, ' NO': -12.210332}
{' Yes': -0.19389942, ' No': -1.7466967, 'Yes': -6.4991856, ' yes': -8.605562, 'No': -8.632656}
{' No': -0.0011283678, ' ': -12.01034, 'No': -6.8015876, ' Yes': -12.237834, ' no': -12.72478}
{' No': -0.00082134467, ' ': -11.814254, 'No': -7.125273, ' Yes': -12.09522, ' no': -13.009572}
{' No': -0.0010583155, ' ': -12.203783, 'No': -6.862638, ' no': -12.437038, ' NO': -13.379241}
{' No': -0.00189372, ' ': -11.334847, 'No': -6.7305346, ' Yes': -7.293641, 'Yes': -13.111138}
{' No': -0.000918404, 'No': -7.0121713, ' ': -11.53334, ' Yes': -12.776556, ' no': -12.850737}
{' No': -0.001166678, ' ': -11.883216, 'No': -6.7657905, ' no': -12.545451, ' NO': -13.167567}
{' No': -0.0015155377, ' ': -11.6672535, 'No': -6.501715, ' no': -13.048787, ' NO': -13.305169}
{' No': -0.0018595605, ' ': -11.728013, 'No': -6.297947, ' no': -12.137839, ' NO': -12.634697}
{' No': -0.002161528, ' ': -11.702694, 'No': -6.145869, ' no': -12.339147, ' NO': -12.669148}
{' No': -0.50522786, 'No': -6.071258, ' Yes': -0.93757427, ' yes': -9.160058, 'Yes': -5.9698863}
{' No': -0.0028576138, ' ': -11.6841955, 'No': -5.865478, ' no': -12.640705, ' NO': -12.297385}
{' No': -0.00226332, ' ': -11.575909, 'No': -6.100112, ' no': -12.835304, ' NO': -12.440685}
{' No': -0.0025664906, ' ': -11.777946, 'No': -5.973933, ' no': -12.395675, ' NO': -12.00104}
{' No': -0.0036354188, ' ': -10.985692, 'No': -5.6542735, ' Yes': -9.195061, ' NO': -12.667407}
{' No': -0.0025611103, 'No': -5.977334, ' ': -11.244712, ' NO': -12.354238, ' no': -12.964449}
{' No': -0.0025823829, ' ': -11.394477, 'No': -5.9689345, ' no': -12.503625, ' NO': -12.049624}
{' No': -0.0037414893, ' ': -11.136164, 'No': -5.5969477, ' no': -13.0112505, ' NO': -12.0376625}
{' No': -0.0036102931, ' ': -11.554556, 'No': -5.6329627, ' no': -12.41766, ' NO': -11.451496}
{' No': -0.004380723, ' ': -11.41799, 'No': -5.439224, ' no': -12.349348, ' NO': -11.403951}
{' No': -1.6731462, 'No': -7.52629, ' Yes': -0.2132922, ' yes': -8.030217, 'Yes': -5.6601667}
{' No': -0.00234242, ' ': -11.523448, 'No': -6.0669303, ' no': -12.084783, ' NO': -12.916095}
{' No': -0.0019941085, 'No': -6.2311172, ' ': -11.5772915, ' Yes': -11.842466, ' no': -12.079771}
{' No': -0.0021183435, ' ': -11.650553, 'No': -6.168473, ' no': -11.798386, ' NO': -12.597637}
{' No': -0.0050479206, ' ': -10.576059, 'No': -6.014149, ' Yes': -5.9740477, 'Yes': -11.321538}
{' No': -0.0020749196, ' ': -11.090922, 'No': -6.193336, ' Yes': -12.043369, ' no': -12.290479}
{' No': -0.0019967377, 'No': -6.229402, ' ': -11.335781, ' no': -12.017587, ' NO': -12.457068}
{' No': -0.0031042194, ' ': -11.099278, 'No': -5.784297, ' no': -12.720865, ' NO': -12.529889}
{' No': -0.0027450628, 'No': -5.909431, ' ': -11.296679, ' no': -11.909908, ' NO': -11.913201}
{' No': -0.003187808, ' ': -11.11997, 'No': -5.759594, ' no': -11.82538, ' NO': -11.955561}
{' No': -2.396534, 'No': -9.207558, ' Yes': -0.09759524, ' yes': -8.897936, 'Yes': -6.3961325}
{' No': -0.0011222807, 'No': -6.8174405, ' Yes': -11.276737, ' ': -11.445304, ' no': -13.048536}
{' No': -0.00093815225, ' ': -11.037211, 'No': -7.026878, ' Yes': -10.396141, ' no': -13.272931}
{' No': -0.0011833869, ' ': -11.455394, 'No': -6.754851, ' Yes': -13.116494, ' no': -12.839791}
{' No': -0.0027128467, ' ': -10.555157, 'No': -6.7074075, ' Yes': -6.534291, 'Yes': -12.40002}
{' No': -0.000941614, ' ': -11.042874, 'No': -6.994746, ' Yes': -12.143899, ' no': -13.406639}
{' No': -0.001096206, ' ': -11.3866205, 'No': -6.8314676, ' no': -13.00265, ' NO': -13.458138}
{' No': -0.0016351133, ' ': -11.132945, 'No': -6.428793, ' no': -13.232538, ' NO': -13.414596}
{' No': -0.0020066497, 'No': -6.221315, ' ': -11.396296, ' no': -12.730214, ' NO': -12.747443}
{' No': -0.00234254, ' ': -11.307435, 'No': -6.065975, ' no': -12.676369, ' NO': -12.778257}
{' Yes': -0.11456734, ' No': -2.2387834, 'Yes': -6.605068, ' yes': -8.923388, 'No': -9.181555}
{' No': -0.00091053057, 'No': -7.037564, ' ': -11.090072, ' Yes': -11.325512, ' no': -12.87171}
{' No': -0.0006949459, 'No': -7.3682675, ' Yes': -10.104897, ' ': -10.848719, ' no': -13.15384}
{' No': -0.0008951977, ' ': -11.070386, 'No': -7.0475717, ' Yes': -12.458322, ' no': -12.659805}
{' No': -0.028777374, ' ': -9.215331, 'No': -7.1642804, ' Yes': -3.5959005, 'Yes': -9.986546}
{' No': -0.00068945857, ' ': -10.60654, 'No': -7.3734674, ' Yes': -10.310923, ' no': -13.334907}
{' No': -0.0008666214, ' ': -10.763917, 'No': -7.0870023, ' Yes': -12.479934, ' no': -12.815804}
{' No': -0.0010801532, ' ': -10.522339, 'No': -6.8629994, ' Yes': -13.018116, ' NO': -13.185538}
{' No': -0.0013362283, 'No': -6.6389666, ' ': -10.857891, ' NO': -12.573223, ' no': -12.637918}
{' No': -0.0015736213, ' ': -10.707296, 'No': -6.474458, ' no': -12.572181, ' NO': -12.65654}
{' No': -1.2005763, 'No': -8.181106, ' Yes': -0.36041215, ' yes': -9.168269, 'Yes': -6.764178}
{' No': -0.000990834, 'No': -6.937478, ' ': -11.611143, ' Yes': -12.034293, ' no': -12.82863}
{' No': -0.0007287674, 'No': -7.26038, ' Yes': -11.197935, ' ': -11.620291, ' no': -13.31208}
{' No': -0.00094507297, ' ': -11.818886, 'No': -6.9803276, ' no': -12.764757, ' NO': -13.002865}
{' No': -0.0025474266, ' Yes': -6.393447, 'No': -7.0771704, ' ': -10.796379, 'Yes': -12.57128}
{' No': -0.00070353557, ' ': -11.365574, 'No': -7.29129, ' Yes': -11.848602, ' no': -13.483039}
{' No': -0.00093224534, 'No': -6.997613, ' ': -11.461687, ' no': -12.850299, ' NO': -12.876206}
{' No': -0.0012911074, ' ': -11.513799, 'No': -6.6641498, ' no': -13.549108, ' NO': -13.116199}
{' No': -0.0013769338, ' ': -11.579879, 'No': -6.6011677, ' no': -12.754724, ' NO': -12.372453}
{' No': -0.0014162097, 'No': -6.5725164, ' ': -11.569411, ' NO': -12.455875, ' no': -12.734229}
{' No': -3.6405222, 'No': -10.222481, ' Yes': -0.028843384, ' yes': -8.730667, 'Yes': -6.2368507}
{' No': -0.0013202928, ' ': -11.076977, 'No': -6.6639657, ' Yes': -10.856581, ' no': -12.478794}
{' No': -0.001175628, ' ': -10.920569, 'No': -6.797322, ' Yes': -10.324724, ' no': -12.607716}
{' No': -0.0013448216, ' ': -11.278633, 'No': -6.6319675, ' no': -12.2337055, ' NO': -12.266501}
{' No': -0.003913812, ' ': -10.193884, 'No': -6.645282, ' Yes': -5.9707866, 'Yes': -11.833985}
{' No': -0.0011138085, ' ': -10.747559, 'No': -6.842161, ' Yes': -10.976173, ' NO': -12.944467}
{' No': -0.0013920948, ' ': -10.95806, 'No': -6.6001925, ' no': -12.334802, ' NO': -12.205181}
{' No': -0.0020457727, ' ': -10.838973, 'No': -6.2076693, ' Yes': -12.924303, ' NO': -12.512592}
{' No': -0.0022313597, ' ': -10.933528, 'No': -6.121251, ' no': -12.163857, ' NO': -11.746907}
{' No': -0.002248327, ' ': -10.935731, 'No': -6.1128683, ' no': -12.2664385, ' NO': -11.872604}
{' No': -3.4775586, 'No': -10.251432, ' Yes': -0.03334884, ' yes': -8.744338, 'Yes': -6.383555}
{' No': -0.0012106603, 'No': -6.7460833, ' Yes': -10.978425, ' ': -11.373413, ' no': -12.594088}
{' No': -0.0010141633, ' ': -11.361503, 'No': -6.9570804, ' Yes': -9.988936, ' no': -12.957825}
{' No': -0.0012980299, ' ': -11.548047, 'No': -6.6641164, ' Yes': -12.496032, ' no': -12.318088}
{' No': -0.011216871, ' ': -9.979844, 'No': -6.77098, ' Yes': -4.612556, 'Yes': -10.565463}
{' No': -0.0010634462, ' ': -10.907472, 'No': -6.900225, ' Yes': -10.334665, ' no': -13.180681}
{' No': -0.0012541049, ' ': -11.268385, 'No': -6.7004595, ' Yes': -12.803842, ' no': -12.478492}
{' No': -0.0017735116, ' ': -11.211293, 'No': -6.347051, ' Yes': -13.245208, ' NO': -13.120765}
{' No': -0.0021424724, ' ': -11.210222, 'No': -6.1587906, ' no': -12.182073, ' NO': -12.139655}
{' No': -0.0022575266, ' ': -11.235086, 'No': -6.104668, ' no': -12.4495735, ' NO': -12.412567}
{' Yes': -0.007983304, ' No': -5.2333856, 'Yes': -6.0165243, ' yes': -8.832633, ' ': -11.208628}
{' No': -0.0016814441, ' ': -11.200877, 'No': -6.5448065, ' Yes': -8.409973, ' no': -12.924919}
{' No': -0.0024211688, ' ': -10.595104, 'No': -6.6879272, ' Yes': -6.7779884, 'Yes': -12.466987}
{' No': -0.0015809654, ' ': -11.27718, 'No': -6.4837217, ' Yes': -10.345918, ' no': -12.783157}
{' No': -0.048719622, ' ': -9.454233, 'No': -6.4888144, ' Yes': -3.0837193, 'Yes': -8.858138}
{' No': -0.0015202524, ' ': -10.589694, 'No': -6.6794734, ' Yes': -8.367572, ' no': -13.403723}
{' No': -0.0016987002, ' ': -10.911594, 'No': -6.404019, ' Yes': -11.029199, ' no': -12.669098}
{' No': -0.0026076045, ' ': -10.989601, 'No': -5.960615, ' Yes': -12.703554, ' NO': -12.809686}
{' No': -0.00295559, 'No': -5.83488, ' ': -11.090491, ' NO': -12.039701, ' no': -12.424306}
{' No': -0.0030236843, ' ': -11.086945, 'No': -5.8116574, ' no': -12.512434, ' NO': -12.073246}
{' No': -4.0656843, 'No': -10.910465, ' Yes': -0.019057684, ' yes': -9.161958, 'Yes': -6.4452167}
{' No': -0.0011030084, ' ': -11.98469, 'No': -6.8340187, ' Yes': -11.049776, ' no': -13.105881}
{' No': -0.0007979591, ' ': -11.877061, 'No': -7.202355, ' Yes': -10.044515, ' no': -13.571902}
{' No': -0.0010820633, ' ': -12.189698, 'No': -6.841528, ' Yes': -12.710478, ' no': -12.918588}
{' No': -0.017446699, ' ': -10.328347, 'No': -6.849609, ' Yes': -4.125271, 'Yes': -10.215661}
{' No': -0.0008277866, ' ': -11.619881, 'No': -7.1370864, ' Yes': -10.774965, ' no': -13.693988}
{' No': -0.0010527672, ' ': -11.7687845, 'No': -6.870967, ' Yes': -12.887538, ' no': -13.105568}
{' No': -0.0015584585, 'No': -6.4730396, ' ': -11.712762, ' NO': -13.229435, ' Yes': -13.647405}
{' No': -0.0017308209, ' ': -11.851046, 'No': -6.368153, ' no': -12.8850355, ' NO': -12.528773}
{' No': -0.0018149549, ' ': -11.820679, 'No': -6.320571, ' no': -12.829802, ' NO': -12.512682}
{' No': -6.8158274, ' ': -11.620029, ' Yes': -0.00299941, ' yes': -8.7049885, 'Yes': -6.36793}
{' No': -0.0010416686, 'No': -6.897138, ' Yes': -10.924701, ' ': -11.817897, ' no': -12.866238}
{' No': -0.00082611677, ' ': -11.284915, 'No': -7.169426, ' Yes': -10.137505, ' NO': -13.176215}
{' No': -0.0009565282, ' ': -11.743311, 'No': -6.971648, ' Yes': -12.503734, ' NO': -12.668271}
{' No': -0.07435634, ' ': -9.786491, 'No': -6.7266827, ' Yes': -2.6562538, 'Yes': -8.662821}
{' No': -0.0008804027, ' ': -11.347765, 'No': -7.072094, ' Yes': -11.04624, ' NO': -13.162783}
{' No': -0.0011269355, 'No': -6.8076334, ' ': -11.532571, ' Yes': -12.418893, ' NO': -12.49955}
{' No': -0.0017380466, ' ': -11.376117, 'No': -6.3669057, ' Yes': -13.2445135, ' NO': -12.457938}
{' No': -0.0015583383, ' ': -11.581973, 'No': -6.478292, ' no': -12.553111, ' NO': -11.839032}
{' No': -0.0016142782, ' ': -11.538993, 'No': -6.442542, ' no': -12.698181, ' NO': -11.837398}
{' No': -5.966159, ' ': -11.466494, ' Yes': -0.004574409, ' yes': -8.891137, 'Yes': -6.2957897}
{' No': -0.0014800184, ' ': -11.092223, 'No': -6.5998263, ' Yes': -9.231021, ' no': -12.760916}
{' No': -0.0009395846, ' ': -11.015628, 'No': -7.016841, ' Yes': -10.699601, ' no': -13.068855}
{' No': -0.0011441823, ' ': -11.540622, 'No': -6.788443, ' Yes': -12.902694, ' no': -12.760726}
{' No': -0.012867057, ' ': -10.287155, 'No': -6.6858525, ' Yes': -4.46871, 'Yes': -10.322155}
{' No': -0.0007946786, 'No': -7.178174, ' ': -11.049605, ' Yes': -11.336156, ' no': -13.295514}
{' No': -0.0011366637, 'No': -6.797561, ' ': -11.322473, ' no': -12.817879, ' Yes': -13.037573}
{' No': -0.0011010983, ' ': -11.231938, 'No': -6.8281517, ' no': -13.371484, ' NO': -13.551329}
{' No': -0.0014955389, 'No': -6.5181885, ' ': -11.40815, ' no': -12.567829, ' NO': -12.892556}
{' No': -0.0012715909, ' ': -11.274137, 'No': -6.682595, ' no': -12.803795, ' NO': -13.079548}
{' No': -3.3219936, 'No': -10.407604, ' Yes': -0.038401302, ' yes': -8.655773, 'Yes': -6.600781}
{' No': -0.0007110504, 'No': -7.279958, ' Yes': -11.640869, ' ': -11.661247, ' no': -12.798727}
{' No': -0.0005614051, ' ': -11.273601, 'No': -7.5396256, ' Yes': -11.166707, ' no': -13.323969}
{' No': -0.0006966158, ' ': -11.680409, 'No': -7.2908273, ' no': -12.809471, ' NO': -13.295695}
{' No': -0.00919307, ' ': -10.528918, 'No': -7.09275, ' Yes': -4.79482, 'Yes': -11.071594}
{' No': -0.00055770774, ' ': -11.32635, 'No': -7.5305977, ' Yes': -11.927103, ' no': -13.603733}
{' No': -0.00070365384, ' ': -11.534, 'No': -7.2821074, ' no': -12.889082, ' NO': -13.246383}
{' No': -0.0009885643, ' ': -11.502986, 'No': -6.9335613, ' no': -13.767287, ' NO': -13.287482}
{' No': -0.00097520265, 'No': -6.948767, ' ': -11.644268, ' NO': -12.725506, ' no': -12.798225}
{' No': -0.0011294436, ' ': -11.4053335, 'No': -6.8019443, ' no': -12.837721, ' NO': -12.767433}
{' No': -5.423358, ' ': -11.94911, ' Yes': -0.005908067, ' yes': -8.831882, 'Yes': -6.6311555}
{' No': -0.0006495566, ' ': -12.075133, 'No': -7.3822184, ' Yes': -10.891306, ' no': -13.229866}
{' No': -0.00046479818, ' ': -11.8159895, 'No': -7.7705245, ' Yes': -10.311324, ' no': -13.611681}
{' No': -0.0005074364, ' ': -12.113463, 'No': -7.6100783, ' Yes': -12.853226, ' no': -12.980774}
{' No': -0.07943365, ' ': -10.244667, 'No': -7.320135, ' Yes': -2.5832598, 'Yes': -9.030987}
{' No': -0.0004432111, ' ': -11.809395, 'No': -7.771622, ' Yes': -11.32726, ' no': -13.689156}
{' No': -0.000586636, ' ': -11.880805, 'No': -7.4664044, ' Yes': -12.684902, ' no': -12.934343}
{' No': -0.00078441907, ' ': -11.998229, 'No': -7.162609, ' no': -13.960966, ' NO': -13.546796}
{' No': -0.0007118858, 'No': -7.2639117, ' ': -12.09168, ' NO': -12.736222, ' no': -12.891991}
{' No': -0.0008763449, 'No': -7.054535, ' ': -11.9053545, ' NO': -12.6327915, ' no': -12.980588}
{' No': -4.7580843, ' ': -10.792102, ' Yes': -0.011376499, ' yes': -8.310859, 'Yes': -6.0151606}
{' No': -0.0013377809, ' ': -11.307619, 'No': -6.6363506, ' Yes': -12.105221, ' no': -12.271159}
{' No': -0.00114287, ' ': -10.776605, 'No': -6.818456, ' Yes': -10.746162, ' no': -12.464653}
{' No': -0.0011956223, ' ': -11.28823, 'No': -6.7489862, ' no': -12.13246, ' NO': -12.930341}
{' No': -0.00672743, ' ': -10.241766, 'No': -6.6373906, ' Yes': -5.233204, 'Yes': -11.119344}
{' No': -0.0011268173, ' ': -10.871314, 'No': -6.817527, ' Yes': -11.912083, ' no': -12.668756}
{' No': -0.0011396467, ' ': -11.074763, 'No': -6.8004045, ' no': -12.231605, ' NO': -12.844861}
{' No': -0.0019148, 'No': -6.2727003, ' ': -10.925126, ' no': -12.758323, ' NO': -12.852674}
{' No': -0.0014964361, ' ': -11.321306, 'No': -6.5210915, ' no': -12.10312, ' NO': -12.331167}
{' No': -0.001753631, ' ': -11.159104, 'No': -6.361134, ' no': -12.219707, ' NO': -12.339365}
{' No': -5.9326553, ' ': -11.680145, ' Yes': -0.0047529824, ' yes': -8.63093, 'Yes': -6.2688255}
{' No': -0.0011647678, ' ': -11.813282, 'No': -6.788253, ' Yes': -10.625173, ' no': -12.611112}
{' No': -0.00091041136, ' ': -11.396185, 'No': -7.075756, ' Yes': -9.910228, ' no': -13.104077}
{' No': -0.0011625, ' ': -11.664776, 'No': -6.7769837, ' Yes': -12.010408, ' no': -12.382312}
{' No': -0.021036433, ' ': -10.226919, 'No': -6.7402, ' Yes': -3.9353294, 'Yes': -9.937996}
{' No': -0.0008799249, 'No': -7.0679593, ' Yes': -11.3383665, ' ': -11.3412895, ' no': -13.222515}
{' No': -0.0010809904, 'No': -6.848613, ' ': -11.538888, ' no': -12.553767, ' NO': -12.583488}
{' No': -0.0015610857, ' ': -11.444596, 'No': -6.47406, ' no': -13.22937, ' NO': -12.681539}
{' No': -0.0016249054, ' ': -11.6139555, 'No': -6.4366055, ' no': -12.283089, ' NO': -11.787952}
{' No': -0.00169237, ' ': -11.487683, 'No': -6.3950353, ' no': -12.406458, ' NO': -12.003238}
{' No': -5.365275, ' ': -11.481783, ' Yes': -0.0069468976, ' yes': -8.614431, 'Yes': -6.193554}
{' No': -0.0009305755, ' ': -11.881807, 'No': -6.9990873, ' Yes': -11.958757, ' no': -13.023876}
{' No': -0.0007411717, ' ': -11.37524, 'No': -7.249831, ' Yes': -11.035501, ' no': -13.3481655}
{' No': -0.0008687691, ' ': -11.869291, 'No': -7.064742, ' no': -12.880467, ' NO': -12.85252}
{' No': -0.0036697558, ' ': -10.893516, 'No': -6.7742686, ' Yes': -5.9949985, 'Yes': -11.959675}
{' No': -0.0007587686, ' ': -11.359947, 'No': -7.2109494, ' Yes': -12.226649, ' no': -13.340961}
{' No': -0.0009460276, ' ': -11.539, 'No': -6.981407, ' no': -12.88449, ' NO': -12.684081}
{' No': -0.0014965517, ' ': -11.352611, 'No': -6.5169706, ' no': -13.495254, ' NO': -12.74446}
{' No': -0.0013457763, ' ': -11.543926, 'No': -6.625535, ' no': -12.659787, ' NO': -12.106159}
{' No': -0.0015812038, ' ': -11.387423, 'No': -6.4632683, ' no': -12.763835, ' NO': -12.112234}
{' No': -6.848383, ' ': -12.418642, ' Yes': -0.0029434543, ' yes': -8.850456, 'Yes': -6.3624473}
{' No': -0.0009799729, ' ': -12.112253, 'No': -6.9957438, ' Yes': -9.800481, ' no': -13.232228}
{' No': -0.00091816555, ' ': -11.454647, 'No': -7.099463, ' Yes': -9.4496765, ' no': -13.354303}
{' No': -0.00085588143, ' ': -11.90256, 'No': -7.085133, ' Yes': -11.867111, ' no': -12.900065}
{' No': -0.14488886, ' ': -10.016367, 'No': -7.113539, ' Yes': -2.0117881, 'Yes': -8.31619}
{' No': -0.0006421591, ' ': -11.67687, 'No': -7.380566, ' Yes': -11.758249, ' no': -13.700062}
{' No': -0.0007728455, ' ': -11.851365, 'No': -7.184305, ' Yes': -12.867223, ' no': -12.998542}
{' No': -0.0011246686, 'No': -6.8015046, ' ': -11.800898, ' NO': -13.333166, ' Yes': -13.461374}
{' No': -0.0011555213, ' ': -11.964097, 'No': -6.775827, ' no': -12.669782, ' NO': -12.417821}
{' No': -0.0012393042, 'No': -6.703913, ' ': -11.91621, ' NO': -12.607228, ' no': -13.044417}
{' No': -5.3348684, ' ': -10.958331, ' Yes': -0.007426151, ' yes': -8.48887, 'Yes': -6.0608335}
{' No': -0.0015627575, ' ': -11.335679, 'No': -6.5615106, ' Yes': -8.974192, ' no': -12.339028}
{' No': -0.0037690713, ' ': -10.395249, 'No': -6.719543, ' Yes': -5.9877124, 'Yes': -11.864495}
{' No': -0.0013514466, ' ': -11.440055, 'No': -6.644034, ' Yes': -10.559825, ' NO': -11.973324}
{' No': -1.3551759, 'No': -7.741183, ' Yes': -0.30163282, ' yes': -8.813536, 'Yes': -6.3188443}
{' No': -0.0018350768, ' ': -10.727463, 'No': -6.612215, ' Yes': -7.6852593, ' NO': -12.680597}
{' No': -0.0017351198, ' ': -11.278577, 'No': -6.3790116, ' Yes': -11.409135, ' NO': -11.882122}
{' No': -0.0023025724, ' ': -10.98875, 'No': -6.0916557, ' Yes': -11.379072, ' NO': -11.983323}
{' No': -0.0024072458, ' ': -11.38277, 'No': -6.0439186, ' no': -11.917354, ' NO': -11.247329}
{' No': -0.0028571368, ' ': -11.264589, 'No': -5.8709965, ' no': -11.941189, ' NO': -11.286882}
{' No': -6.596263, ' ': -10.106023, ' Yes': -0.0044399914, ' yes': -8.034844, 'Yes': -5.9211016}
{' No': -0.0020526398, ' ': -10.263641, 'No': -6.263235, ' Yes': -9.307999, ' no': -11.17414}
{' No': -0.0019611404, ' ': -9.8083935, 'No': -6.5370445, ' Yes': -7.7278385, ' no': -11.566833}
{' No': -0.0019685463, ' ': -10.464659, 'No': -6.2624207, ' Yes': -11.522692, ' no': -11.073334}
{' No': -0.042385653, ' ': -8.791586, 'No': -6.2680764, ' Yes': -3.2368512, 'Yes': -8.921454}
{' No': -0.0018564555, 'No': -6.3455505, ' Yes': -10.034533, ' ': -10.048487, ' no': -11.681802}
{' No': -0.0019450181, ' ': -10.305581, 'No': -6.2766337, ' no': -10.977517, ' NO': -12.009978}
{' No': -0.0023685894, ' ': -10.251046, 'No': -6.067922, ' no': -11.968976, ' NO': -12.308102}
{' No': -0.0027023884, ' ': -10.549145, 'No': -5.937202, ' no': -10.771256, ' NO': -11.505311}
{' No': -0.0032620789, ' ': -10.454428, 'No': -5.7439613, ' no': -11.068668, ' NO': -11.693874}
{' No': -0.26248223, ' ': -8.867813, 'No': -6.9263153, ' Yes': -1.4731985, 'Yes': -7.661356}
{' No': -0.0010054517, ' ': -10.94722, 'No': -6.9344444, ' Yes': -12.660822, ' no': -11.938975}
{' No': -0.00093898765, ' ': -10.5974865, 'No': -7.029999, ' Yes': -10.846462, ' no': -12.043083}
{' No': -0.0010825412, ' ': -11.109785, 'No': -6.8570027, ' no': -11.632273, ' NO': -12.494406}
{' No': -0.005284279, ' ': -9.740688, 'No': -6.769049, ' Yes': -5.5103364, 'Yes': -11.6237135}
{' No': -0.0010465599, ' ': -10.614808, 'No': -6.903632, ' Yes': -11.527895, ' no': -12.289545}
{' No': -0.0011044398, 'No': -6.8391356, ' ': -10.877296, ' no': -11.793998, ' NO': -12.35827}
{' No': -0.0015348166, 'No': -6.506068, ' ': -10.446374, ' NO': -12.403183, ' no': -12.530785}
{' No': -0.0016832352, ' ': -10.794545, 'No': -6.4114633, ' no': -11.599256, ' NO': -11.69925}
{' No': -0.002225865, ' ': -10.583097, 'No': -6.1300144, ' no': -11.338234, ' NO': -11.715562}
{' No': -2.0639856, 'No': -9.037389, ' Yes': -0.13760363, ' yes': -8.812102, 'Yes': -6.6437373}
{' No': -0.000773205, ' ': -11.692257, 'No': -7.192749, ' Yes': -11.832346, ' no': -12.622668}
{' No': -0.0006135903, ' ': -11.563926, 'No': -7.4950175, ' Yes': -10.0323, ' no': -12.843155}
{' No': -0.00072256295, ' ': -11.690486, 'No': -7.259916, ' Yes': -12.493199, ' no': -12.454432}
{' No': -0.008607871, ' ': -10.367368, 'No': -7.0298343, ' Yes': -4.8750167, 'Yes': -11.166471}
{' No': -0.0007908629, ' ': -11.213325, 'No': -7.199256, ' Yes': -10.561149, ' no': -13.027862}
{' No': -0.00084741286, ' ': -11.466428, 'No': -7.0994973, ' no': -12.209223, ' NO': -12.643686}
{' No': -0.0012664603, 'No': -6.689335, ' ': -11.313537, ' Yes': -12.213294, ' NO': -12.883571}
{' No': -0.0011163147, ' ': -11.603765, 'No': -6.8155155, ' no': -12.469185, ' NO': -12.077953}
{' No': -0.0014542326, 'No': -6.5501394, ' ': -11.307327, ' NO': -12.081633, ' no': -12.275698}
{' No': -2.203248, 'No': -8.598129, ' Yes': -0.119992234, ' yes': -8.394019, 'Yes': -6.1414366}
{' No': -0.0013034027, ' ': -11.226393, 'No': -6.6663227, ' Yes': -12.066444, ' no': -12.0116}
{' No': -0.001050857, ' ': -10.87078, 'No': -6.9437118, ' Yes': -9.752222, ' no': -12.2206955}
{' No': -0.0012043339, ' ': -11.195033, 'No': -6.7486362, ' no': -11.818984, ' NO': -12.134705}
{' No': -0.021551237, ' ': -9.614107, 'No': -6.399509, ' Yes': -3.9364796, 'Yes': -9.75062}
{' No': -0.0013239939, ' ': -10.537601, 'No': -6.702767, ' Yes': -9.731321, ' no': -12.172495}
{' No': -0.0013840967, ' ': -10.842849, 'No': -6.6122255, ' no': -11.696944, ' NO': -11.996809}
{' No': -0.0018487511, ' ': -10.649826, 'No': -6.3152814, ' Yes': -11.979245, ' NO': -12.326984}
{' No': -0.0018270758, ' ': -10.928759, 'No': -6.328279, ' no': -11.606531, ' NO': -11.344774}
{' No': -0.002423797, ' ': -10.64998, 'No': -6.0431743, ' no': -11.463447, ' NO': -11.423816}
{' No': -3.3639796, 'No': -9.912926, ' Yes': -0.03739964, ' yes': -8.974831, 'Yes': -6.259123}
{' No': -0.0010615359, ' ': -11.8344345, 'No': -6.885073, ' Yes': -10.566527, ' no': -12.766452}
{' No': -0.0011896542, ' ': -11.398204, 'No': -7.067809, ' Yes': -8.042697, ' no': -13.203999}
{' No': -0.001087851, 'No': -6.8614755, ' Yes': -10.660805, ' ': -11.641383, ' no': -12.479867}
{' No': -0.5960113, ' ': -9.188195, 'No': -7.321137, ' Yes': -0.80464464, 'Yes': -7.0021334}
{' No': -0.002240859, ' ': -10.7907095, 'No': -6.830392, ' Yes': -6.785197, 'Yes': -12.797}
{' No': -0.0012863334, ' ': -11.229651, 'No': -6.698899, ' Yes': -10.368372, ' NO': -12.4252405}
{' No': -0.0017355977, 'No': -6.3836284, ' Yes': -10.535752, ' ': -11.171888, ' NO': -12.781261}
{' No': -0.0017999666, ' ': -11.365161, 'No': -6.3344436, ' no': -12.276103, ' NO': -11.858835}
{' No': -0.0021404412, 'No': -6.15976, ' ': -11.298704, ' NO': -11.818869, ' no': -12.258136}
