{'\n': -4.390349, ' 1': -2.3285155, ' odd': -0.3420654, ' 0': -2.1697154, ' even': -3.1531835}
{' odd': -0.017879678, ' 1': -5.066581, ' Odd': -5.77729, '\n': -6.224259, ':': -6.3463907}
{'\n': -4.1153164, ' ': -4.1139135, ':': -3.0046952, ' 0': -0.50540584, ' even': -1.2504619}
{'\n': -6.1540155, ' Odd': -6.0330243, ':': -5.9096804, ' 1': -3.748732, ' odd': -0.03461704}
{' ': -5.8292103, ':': -5.4658523, ' odd': -6.659748, ' 0': -4.630655, ' even': -0.023162799}
{' Odd': -7.28851, ' ': -7.0210276, ' 1': -4.7819886, ' odd': -0.011383674, ' even': -7.68813}
{'\n': -4.2154856, ' ': -3.0453684, ':': -2.353206, ' 0': -5.4130516, ' even': -0.20158994}
{'\n': -6.648069, ' Odd': -5.173823, ':': -6.77419, ' 1': -2.6887765, ' odd': -0.08267263}
{' Odd': -5.174428, ':': -5.670395, ' 1': -5.1767144, ' odd': -0.021764906, ' even': -6.1812177}
{'\n': -7.5155735, ':': -6.2041073, ' Even': -6.9826756, ' 0': -7.098715, ' even': -0.005766398}
{' ': -6.7768607, ' 1': -0.2506636, ' 3': -6.81012, ' odd': -1.5586307, ' 0': -5.580543}
{'\n': -5.1466784, ' ': -4.2870913, ':': -4.6299996, ' 0': -4.0857563, ' even': -0.05748308}
{' Odd': -6.5932436, ':': -6.1763883, ' 1': -0.7011746, ' odd': -0.69917756, ' even': -6.834764}
{'\n': -7.7069035, ' ': -6.4753604, ':': -6.7784047, ' Even': -7.7469406, ' even': -0.004618782}
{' odd': -0.13208038, ' 1': -2.1213038, ' Odd': -6.9800487, ' ': -7.0083737, '\n': -8.084334}
{'\n': -4.794337, ' ': -4.1011596, ':': -3.69114, ' odd': -5.9516006, ' even': -0.06491366}
{'\n': -6.086339, ' Odd': -4.422239, ':': -5.914407, ' 1': -3.5832105, ' odd': -0.049789086}
{' even': -0.630946, ' odd': -0.78752226, ':': -5.542984, ' Odd': -5.791575, ' 1': -6.441255}
{' even': -0.029998688, ' 0': -3.9154983, ':': -5.1698556, ' odd': -6.675301, ' Even': -7.4443035}
{' odd': -0.1713893, ' 1': -1.8795649, ' 0': -6.9065633, ' ': -7.033012, ':': -7.4344163}
{'\n': -6.1010213, ':': -4.177869, ' 0': -1.2120113, ' zero': -5.297535, ' even': -0.40280244}
{' odd': -0.0853955, ' 1': -2.6701026, ' Odd': -5.415378, ' even': -5.4961705, ':': -6.292889}
{' ': -7.949771, ':': -6.1704297, ' Even': -7.570562, ' 0': -6.76339, ' even': -0.0050964453}
{' Odd': -7.071168, ' ': -6.8280997, ' 1': -6.787912, ' odd': -0.0063717677, ' even': -6.3570976}
{' ': -3.6416287, ':': -2.7960725, ' 0': -0.9462019, ' zero': -3.4322984, ' even': -0.86186475}
{' Odd': -4.4350615, ' ': -6.858993, ':': -6.296205, ' 1': -3.9201164, ' odd': -0.03785701}
{' odd': -0.052717987, ' even': -4.206469, ' Odd': -4.5553823, ':': -4.9198003, ' 1': -5.1808014}
{':': -5.5808115, ' Even': -7.585674, ' EVEN': -7.4299107, ' 0': -5.638016, ' even': -0.010137709}
{'\n': -6.5657134, ' Odd': -6.1068397, ':': -6.2634535, ' 1': -1.606895, ' odd': -0.238321}
{'\n': -4.10261, ':': -3.24843, ' 0': -0.41520867, ' zero': -4.471373, ' even': -1.382367}
{' Odd': -6.650898, ' ': -7.2887263, ':': -7.310943, ' 1': -2.9881155, ' odd': -0.056474194}
{'\n': -6.525553, ' ': -6.2662916, ':': -5.2403836, ' odd': -6.3439794, ' even': -0.013657458}
{' Odd': -6.6002865, ':': -7.4225216, ' 1': -4.3259726, ' odd': -0.026834765, ' even': -4.672328}
{' even': -0.83574075, ':': -1.1657091, '\n': -2.2225807, ' ': -2.791555, ' 0': -2.9932733}
{' Odd': -4.6726866, ' ': -5.278901, ':': -5.116624, ' 1': -0.8780577, ' odd': -0.5825999}
{' Odd': -5.805076, ':': -5.3100677, ' 1': -2.381102, ' odd': -0.14422925, ' 0': -3.6692955}
{':': -6.7422585, ' Even': -7.246182, ' odd': -5.5510745, ' 0': -7.1661696, ' even': -0.008031668}
{'\n': -6.356641, ' Odd': -6.20652, ' 1': -2.1884074, ' odd': -0.13040516, ' 0': -6.7649374}
{'\n': -4.7412314, ' ': -4.633656, ':': -4.608389, ' 0': -1.072816, ' even': -0.47771555}
{'\n': -6.5635924, ' Odd': -5.194057, ':': -5.5016017, ' 1': -4.062547, ' odd': -0.03360536}
{' even': -0.017495649, ' ': -5.2016015, ' 0': -5.3748507, ':': -5.943633, '\n': -5.9534574}
{' odd': -0.004008, ' 1': -6.35325, ' even': -7.1337886, ' Odd': -7.765886, ' ': -7.7981744}
{'\n': -4.138982, ' ': -3.762736, ':': -3.0093772, ' 0': -5.4252596, ' even': -0.10649021}
{' Odd': -5.178319, ':': -6.959248, ' 1': -3.8954802, ' odd': -0.031160427, ' even': -6.690252}
{' odd': -0.057063475, ' 1': -4.0707684, ' even': -4.3262343, ' 0': -4.9288416, ':': -5.209279}
{':': -7.305809, ' Even': -8.211254, ' EVEN': -8.371817, ' 0': -5.9184475, ' even': -0.0045605176}
{'\n': -6.020948, ' Odd': -5.872133, ':': -5.538452, ' 1': -3.2555895, ' odd': -0.057953767}
{':': -6.784276, ' Even': -6.5271473, ' EVEN': -8.35802, ' 0': -7.9804, ' even': -0.003890295}
{'\n': -6.1454067, ' ': -6.349199, ' 1': -1.6308498, ' odd': -0.23372285, ' even': -5.760973}
{' even': -0.0022194127, ':': -7.3738785, ' Even': -7.787238, ' odd': -8.142453, '\n': -8.2525835}
{' odd': -0.009253167, ' 1': -5.5383773, ' Odd': -5.8525095, ' ': -7.0956464, ' even': -7.7120748}
{' even': -0.056139015, ':': -3.4239042, ' ': -4.793598, '\n': -4.9555597, ' 0': -6.405219}
{'\n': -4.7693787, ' Odd': -3.6889825, ':': -5.1712217, ' 1': -3.5903063, ' odd': -0.07602977}
{' odd': -0.25015467, ' even': -1.5767003, ':': -5.35655, ' Odd': -5.4071445, ' 1': -6.0267715}
{':': -5.307286, ' Even': -6.755142, ' odd': -7.2961016, ' 0': -6.5988097, ' even': -0.009847469}
{' odd': -0.012920792, ' 1': -4.8363395, ' Odd': -6.3614855, ' even': -6.6632833, ':': -7.779401}
{'\n': -5.98069, ' ': -6.3930144, ':': -5.084697, ' Even': -6.0748906, ' even': -0.017099882}
{' Odd': -6.3568015, ':': -7.615649, ' 1': -4.0919123, ' odd': -0.03077047, ' even': -4.5823584}
{'\n': -5.963661, ' ': -4.716366, ':': -3.5285254, ' 0': -3.0575352, ' even': -0.09983829}
{' Odd': -6.5340614, ' ': -6.480956, ' 1': -3.635664, ' odd': -0.032217186, ' even': -7.134303}
{' 0': -0.28906468, ':': -1.8138783, ' even': -3.3067896, ' ': -3.969968, ' 8': -4.695595}
{'\n': -7.232273, ' Odd': -5.599949, ' 1': -3.2059987, ' odd': -0.04930912, ' even': -7.2330723}
{' odd': -0.10259285, ' even': -2.4457667, ' Odd': -5.1615405, ':': -6.495766, ' 1': -6.531131}
{':': -5.6537824, ' Even': -7.3866367, ' odd': -7.1675143, ' 0': -4.8013515, ' even': -0.015317957}
{' odd': -0.10200707, ' 1': -2.4338493, ' Odd': -6.079826, ' ': -6.57853, '\n': -6.9352794}
{'\n': -5.542454, ' ': -6.1463013, ':': -5.5941916, ' 0': -5.6104054, ' even': -0.017651914}
{' Odd': -6.3902135, ' ': -6.680317, ':': -6.4690394, ' 1': -3.0469732, ' odd': -0.056073323}
{' ': -8.663166, ':': -7.9461226, ' Even': -8.059054, ' odd': -7.5222573, ' even': -0.0019483042}
{'\n': -6.368766, ' Odd': -6.558998, ' 1': -4.871994, ' odd': -0.016079236, ' even': -6.33065}
{' even': -0.48332143, ':': -1.5269405, ' 0': -2.7601464, ' ': -2.9902718, '\n': -4.0674305}
{' odd': -0.054641094, ' 1': -3.394644, ' Odd': -4.8770094, ':': -5.1597457, ' ': -6.0233574}
{' Odd': -6.3485236, ' 1': -5.9363256, ' odd': -0.01278102, ' 0': -6.003834, ' even': -6.198248}
{':': -6.535819, ' EVEN': -7.500439, ' odd': -6.3960238, ' 0': -5.506734, ' even': -0.009309777}
{' Odd': -5.8968596, ' ': -7.0119367, ':': -5.826309, ' 1': -4.1085258, ' odd': -0.027290143}
{'\n': -5.422049, ' ': -5.232734, ':': -4.123, ' 0': -2.2738245, ' even': -0.14808238}
{' Odd': -6.540636, ':': -7.203274, ' 1': -1.7002245, ' odd': -0.21048985, ' even': -5.778416}
{' even': -0.043435212, ' 0': -3.8385417, ':': -4.903184, ' ': -5.1104155, '\n': -5.757178}
{' Odd': -5.9701667, ' ': -7.6027327, ' 1': -3.806112, ' odd': -0.031453837, ' even': -5.433864}
{' even': -0.15177749, ':': -2.2879276, ' ': -4.3910656, '\n': -4.8253126, ' an': -5.06579}
{'\n': -6.340786, ' Odd': -4.4535513, ':': -6.231267, ' 1': -2.8596582, ' odd': -0.078856386}
{' odd': -0.18533634, ' even': -2.010892, ' 1': -4.2083435, ' 0': -4.485729, ':': -5.4498644}
{'\n': -7.597849, ':': -5.4669747, ' Even': -6.963145, ' odd': -6.6130404, ' even': -0.008684529}
{' Odd': -5.5221744, ' ': -6.1804976, ' 1': -1.0926119, ' odd': -0.42899957, ' 0': -6.214569}
{'\n': -5.2018576, ' ': -4.737354, ':': -4.9517655, ' 0': -3.034373, ' even': -0.08004444}
{' 1': -0.4621585, ' odd': -1.0159514, ' ': -6.2460847, ' 0': -6.643123, ':': -6.7302384}
{' even': -0.015255074, ':': -5.6636815, ' 0': -5.723932, '\n': -5.8320203, ' ': -5.8393145}
{' 1': -0.51032406, ' odd': -0.9403989, ' ': -5.7131925, ' even': -6.7717323, ' Odd': -6.899355}
{'\n': -6.2881556, ' ': -4.7173753, ':': -5.9061513, ' 0': -7.6797166, ' even': -0.016009765}
{' Odd': -5.2100687, ' ': -6.739009, ' 1': -3.9723303, ' odd': -0.031021405, ' even': -6.1103573}
{'\n': -5.566441, ' Odd': -5.4867034, ':': -4.5585027, ' 1': -3.6809132, ' odd': -0.05632947}
{' even': -0.0057449974, ' 0': -6.2650285, ':': -6.9098597, '\n': -7.489768, ' odd': -7.58678}
{' ': -6.83649, ':': -6.623465, ' 1': -0.15913069, ' odd': -1.9787374, ' 0': -6.481069}
{'\n': -6.812116, ' ': -5.797342, ':': -6.4304957, ' Even': -6.697744, ' even': -0.010496456}
{' odd': -0.080770746, ' even': -2.8303032, ' Odd': -4.799704, ':': -5.4227448, ' 1': -5.714197}
{' even': -0.044308785, ' 0': -3.537937, ' ': -5.0484543, ':': -6.3265657, '\n': -6.536581}
{' odd': -0.0038609745, ' Odd': -6.577654, ' 1': -6.8052874, ' even': -7.3395686, ' ': -8.3510065}
{' even': -0.13888505, ':': -2.9368606, ' ': -3.509274, '\n': -4.154432, ' 0': -4.518815}
{' odd': -0.064388335, ' even': -3.0959682, ' 1': -4.869355, ' Odd': -5.0733776, ':': -6.967124}
{':': -4.8137693, ' 1': -4.029198, ' odd': -0.04483715, ' 0': -5.2542334, ' even': -5.3551006}
{':': -5.5519576, ' Even': -6.8211355, ' odd': -6.6019497, ' 0': -7.0820613, ' even': -0.009487151}
{' odd': -0.15342005, ' 1': -2.1039166, ':': -5.0116525, ' Odd': -5.2223544, ' ': -6.8143396}
{'\n': -5.6768465, ' ': -4.962318, ':': -5.153853, ' 0': -1.9412172, ' even': -0.1860644}
{'\n': -5.0401335, ' Odd': -5.147477, ':': -5.076291, ' 1': -2.6983395, ' odd': -0.096332535}
{'\n': -7.9861507, ':': -7.4498053, ' Even': -7.5537825, ' odd': -8.102089, ' even': -0.0021242553}
{' odd': -0.02458439, ' 1': -5.0611835, ' Odd': -5.2849374, ':': -5.351579, ' even': -6.463405}
{'\n': -5.1777225, ' ': -4.755984, ':': -4.8413634, ' odd': -6.715418, ' even': -0.027754428}
{' odd': -0.023063252, ' 1': -4.2012973, ' Odd': -5.689809, '\n': -6.773904, ' even': -6.8181133}
{' Odd': -5.072262, ':': -5.421978, ' 1': -6.3750153, ' odd': -0.12911236, ' even': -2.2345867}
{':': -4.749098, ' Even': -6.5536985, ' odd': -7.094131, ' 0': -6.1810503, ' even': -0.0148897795}
{'\n': -6.560931, ' Odd': -6.0159116, ' 1': -1.8769475, ' not': -6.271154, ' odd': -0.18406215}
{'\n': -5.63552, ' ': -5.13917, ':': -5.0546074, ' 0': -3.7185495, ' even': -0.047557704}
{'\n': -6.5033116, ' Odd': -6.2273126, ':': -7.1446357, ' 1': -4.3225718, ' odd': -0.019307707}
{'\n': -7.66109, ':': -7.40279, ' Even': -7.869131, ' odd': -8.169691, ' even': -0.002410472}
{'\n': -6.612238, ' Odd': -5.808316, ':': -6.6957417, ' 1': -4.359048, ' odd': -0.023365038}
{'\n': -3.3383052, ' ': -3.5418966, ':': -2.2108774, ' 0': -2.3582628, ' even': -0.3861341}
{' Odd': -4.7631593, ':': -6.0561323, ' 1': -2.3383403, ' odd': -0.13773297, ' even': -4.1152835}
{' Odd': -6.0341206, ':': -5.9734755, ' 1': -5.3035297, ' odd': -0.065353826, ' even': -2.985533}
{':': -5.494126, ' Even': -6.724172, ' odd': -6.403963, ' 0': -6.957667, ' even': -0.010439478}
{' odd': -0.11277295, ' 1': -2.354001, ' Odd': -6.0425463, ' ': -6.185724, ':': -6.279953}
{' even': -0.006683504, ':': -5.948854, '\n': -6.7923427, ' Even': -7.129195, ' 0': -7.2489896}
{' Odd': -5.909317, ':': -6.039046, ' 1': -4.4022465, ' odd': -0.025061658, ' even': -5.63279}
{':': -7.9762635, ' an': -8.811201, ' Even': -8.069941, ' odd': -8.6649475, ' even': -0.001364459}
{' Odd': -6.5050244, ' ': -7.1233582, ' 1': -4.852355, ' odd': -0.012791105, ' even': -6.781981}
{' even': -0.72345376, ' 0': -1.086881, ' ': -2.5242178, ':': -3.086008, ' zero': -4.2359915}
{' Odd': -6.039145, ':': -5.812777, ' 1': -0.6495161, ' odd': -0.7692728, ' even': -5.6247973}
{' Odd': -5.2145944, ':': -5.6887336, ' 1': -4.800155, ' odd': -0.034605745, ' even': -4.6503997}
{':': -4.3962417, ' Even': -6.7331357, ' EVEN': -6.911062, ' 0': -2.6999617, ' even': -0.08966257}
{'\n': -6.5110598, ' 1': -0.3648211, ' odd': -1.2457292, ' 0': -5.1204324, ' even': -6.504797}
{' even': -0.032567862, ' 0': -4.3385816, ':': -5.061564, ' ': -5.28958, '\n': -5.938277}
{' odd': -0.04734008, ' 1': -3.2293916, ' Odd': -6.400849, ':': -6.461865, ' even': -6.802846}
{' even': -0.19219494, ' 0': -2.077407, ':': -3.7480934, ' ': -5.1281505, '\n': -5.5317073}
{' odd': -0.123174205, ' 1': -2.3040383, '\n': -5.166955, ' Odd': -5.8172364, ' ': -5.9580398}
{'\n': -5.7074113, ' ': -4.145391, ':': -4.5212693, ' odd': -6.0082226, ' even': -0.039853673}
{'\n': -8.000586, ' Odd': -5.463241, ' 1': -6.366329, ' odd': -0.008675087, ' even': -6.8439474}
{' Odd': -6.1741123, ' 1': -6.0979867, ' odd': -0.016220134, ' 0': -6.0039144, ' even': -5.25543}
{' even': -0.007842796, ':': -5.773124, ' 0': -6.5856624, ' odd': -6.833384, ' EVEN': -7.449797}
{' Odd': -5.804306, ':': -7.1937323, ' 1': -2.4017942, ' odd': -0.10372536, ' 0': -7.288408}
{' 0': -0.46498623, ' even': -1.215155, ':': -4.146494, ' zero': -4.162573, '\n': -4.3888826}
{'\n': -6.3209357, ' ': -6.1699595, ' 1': -0.4553207, ' odd': -1.034075, ' 0': -6.0481524}
{'\n': -5.0127234, ' ': -4.9754605, ':': -4.6298914, ' 0': -3.5009198, ' even': -0.059371788}
{' odd': -0.016821135, ' 1': -4.8054667, ' ': -6.385765, ':': -6.4285703, ' Odd': -6.5513062}
{' even': -0.18919794, ':': -2.562243, ' ': -3.2752964, '\n': -3.7763743, ' 0': -3.9613154}
{' Odd': -4.1468625, ':': -6.037459, ' 1': -5.7194624, ' odd': -0.05818806, ' even': -3.4906871}
{':': -5.2925105, ' 1': -4.145331, ' odd': -0.061471526, ' 0': -4.4068103, ' even': -4.1500144}
{':': -5.5362673, ' Even': -7.598439, ' odd': -7.0052514, ' 0': -5.6425, ' even': -0.010267355}
{' 1': -0.359826, ' odd': -1.2400025, ' even': -5.576566, ' 0': -6.119913, ' one': -6.202037}
{' even': -0.0061898497, ' 0': -6.037586, ':': -6.5875187, ' Even': -7.267623, '\n': -7.7044015}
{' odd': -0.13261537, ' 1': -2.2589571, ' even': -5.141694, ' Odd': -5.7485313, ':': -5.795001}
{':': -6.556114, ' Even': -7.8908005, ' odd': -7.6437426, ' 0': -4.498395, ' even': -0.01509701}
{' odd': -0.004794068, ' Odd': -6.191151, ' 1': -7.309433, ' ': -7.6956763, ':': -7.8886867}
{' even': -0.085938364, ':': -2.8962955, ' ': -4.4864874, '\n': -5.0065074, ' an': -5.5259523}
{'\n': -6.9342537, ' Odd': -4.9773474, ':': -5.9228206, ' 1': -2.421265, ' odd': -0.10828427}
{' odd': -0.051769868, ' 1': -3.5177503, ' 0': -5.034346, ':': -5.5211396, ' even': -5.663077}
{'\n': -7.6699753, ':': -6.1959977, ' odd': -7.530031, ' 0': -5.976873, ' even': -0.0073345224}
{' odd': -0.045586422, ' 1': -3.3073215, ' Odd': -5.870139, ':': -6.398497, '\n': -7.2384267}
{'\n': -7.655628, ':': -5.63866, ' Even': -6.9882293, ' 0': -7.4133544, ' even': -0.006921207}
{' Odd': -6.4379582, ':': -6.129499, ' 1': -0.8253476, ' odd': -0.5932652, ' even': -6.1022024}
{' ': -4.217826, ':': -4.1403346, ' odd': -5.215098, ' 0': -2.6630747, ' even': -0.13329248}
{' odd': -0.01342165, ' Odd': -5.0865507, '\n': -5.9879293, ' 1': -6.448824, ' ': -6.613908}
{'\n': -6.7622414, ' ': -7.286041, ':': -4.7303977, ' Even': -6.0822005, ' even': -0.014491659}
{' Odd': -4.53725, ' ': -6.4686947, ':': -6.860252, ' 1': -2.7582335, ' odd': -0.08317522}
{' odd': -0.01062621, ' Odd': -6.1285224, ' even': -6.14667, ' 0': -6.3547974, ' 1': -6.642056}
{':': -5.6272717, ' EVEN': -7.3315816, ' odd': -6.805534, ' 0': -4.9987273, ' even': -0.013961378}
{' Odd': -6.356374, ' ': -7.305314, ' 1': -2.498547, ' odd': -0.09235721, ' 0': -7.1543183}
{':': -5.852474, ' Even': -6.188183, ' EVEN': -7.594895, ' 0': -6.239011, ' even': -0.009103863}
{'\n': -5.9662137, ' ': -6.651641, ':': -5.427727, ' 1': -0.8062733, ' odd': -0.6124389}
{'\n': -5.5353675, ' ': -4.666162, ':': -4.09603, ' 0': -1.5455706, ' even': -0.29647493}
{' Odd': -6.739625, ' ': -6.0471067, ' 1': -3.4752667, ' odd': -0.03758968, ' even': -7.1788974}
{' even': -0.06402746, ':': -3.5810773, ' ': -4.4564404, '\n': -4.833324, ' odd': -4.943459}
{'\n': -7.0555854, ' Odd': -5.6244674, ':': -7.5668707, ' 1': -4.799947, ' odd': -0.014581165}
{' Odd': -5.0117197, ':': -5.641164, ' 1': -5.7294974, ' odd': -0.05546812, ' even': -3.252063}
{' even': -0.004354739, ' 0': -6.4298673, ':': -7.1268835, ' odd': -7.252171, ' Even': -8.005496}
{' odd': -0.06801522, ' 1': -3.05587, ' even': -4.374015, ' Odd': -6.091644, ' not': -7.0605364}
{'\n': -5.3784328, ' ': -4.269026, ':': -5.1428823, ' 0': -2.7402287, ' even': -0.100713655}
{' Odd': -6.5078635, ':': -6.3370757, ' 1': -5.086009, ' odd': -0.020509668, ' even': -4.6759357}
{' even': -0.0018251647, ' an': -7.6808205, ' odd': -7.96012, ' Even': -8.390256, ':': -8.704629}
{' Odd': -6.914741, ' ': -7.2340083, ' 1': -4.005222, ' odd': -0.021472368, ' even': -7.7112074}
{'\n': -3.00863, ' ': -2.709035, ':': -1.9386839, ' 0': -3.0497446, ' even': -0.44122437}
{'\n': -6.2267942, ' Odd': -5.531754, ' 1': -1.2215526, ' odd': -0.37117082, ' even': -6.235465}
{' odd': -0.017994428, ' 1': -4.898234, ' Odd': -5.884335, ':': -6.198961, ' even': -6.2104006}
{':': -5.272235, ' Even': -6.949009, ' EVEN': -7.341466, ' 0': -5.850532, ' even': -0.011059258}
{'\n': -6.2542, ' Odd': -6.5002656, ' ': -6.8490443, ' 1': -0.56679577, ' odd': -0.85740143}
{' 0': -0.6084033, ' even': -0.92587966, ' ': -3.5499296, ':': -4.523447, ' zero': -5.300791}
{' odd': -0.12644002, ' even': -2.2899435, ' 1': -4.970439, ' Odd': -5.372441, ':': -6.194147}
{' even': -0.10899901, ' 0': -2.6061037, '\n': -4.7626877, ' ': -5.0393176, ':': -5.184338}
{'\n': -6.9596453, ' Odd': -5.5135503, ':': -6.9009542, ' odd': -0.018354066, ' even': -4.572262}
{'\n': -3.4967816, ' ': -3.8605626, ':': -2.8941834, ' an': -6.2089667, ' even': -0.12375874}
{' Odd': -5.1960225, ' ': -6.6281433, ':': -5.97668, ' 1': -3.222943, ' odd': -0.05444401}
{' odd': -0.10260348, ' even': -2.5608869, ' 1': -4.861754, ' Odd': -5.0517025, ':': -5.6208344}
{' even': -0.007164375, ' 0': -6.049613, ':': -6.2620835, ' Even': -7.0806546, ' odd': -7.373252}
{' Odd': -6.7582464, ':': -7.849043, ' 1': -3.187264, ' odd': -0.050106518, ' even': -5.3929105}
{' 0': -0.1711144, ' even': -2.3966231, ':': -3.7230675, ' ': -4.2026916, '\n': -4.6868644}
{'\n': -6.767756, ':': -6.372217, ' 1': -0.5897705, ' odd': -0.834365, ' even': -5.2777834}
{'\n': -7.4808903, ':': -6.483766, ' Even': -7.157804, ' odd': -8.23169, ' even': -0.0038162186}
{' Odd': -6.401952, ' ': -7.0116467, ' 1': -6.311042, ' odd': -0.00633554, ' even': -7.1731887}
{'\n': -4.7754183, ' ': -4.270246, ':': -3.7352965, ' an': -6.504169, ' even': -0.054711793}
{' 1': -0.6023746, ' odd': -0.82087094, ' Odd': -5.7747912, ' even': -5.9680705, ' ': -6.3321037}
{':': -5.087727, ' 1': -3.4245622, ' odd': -0.07683085, ' 0': -3.8893745, ' even': -5.2881}
{' even': -0.007472511, ':': -5.8492384, ' 0': -6.226529, ' EVEN': -7.2032557, ' Even': -7.4646626}
{'\n': -7.0172877, ' Odd': -6.1919904, ':': -7.032438, ' 1': -3.153961, ' odd': -0.051584203}
{' even': -0.07497566, ' 0': -2.8370996, ':': -5.6026196, ' zero': -6.114179, ' Even': -6.538736}
{' odd': -0.022905165, ' 1': -4.4679713, ' even': -5.5592422, ':': -6.113498, ' Odd': -6.359829}
{':': -6.8473, ' Even': -7.562988, ' EVEN': -8.396077, ' odd': -7.044394, ' even': -0.0034326408}
{' Odd': -6.2851543, ' ': -6.952258, ' 1': -5.359606, ' odd': -0.010919088, ' even': -6.610268}
{'\n': -5.263015, ' ': -4.378917, ':': -3.4990404, ' 0': -5.582085, ' even': -0.062170137}
{'\n': -6.9676185, ' Odd': -5.4758706, ' 1': -5.3691382, ' odd': -0.012258282, ' even': -7.2007823}
