{' No': -0.0017037737, ' ': -10.404598, 'No': -6.403393, ' no': -11.600378, ' NO': -12.352069}
{' No': -0.0017518991, ' ': -11.085605, 'No': -6.361861, ' no': -12.285948, ' NO': -12.737706}
{' No': -0.0017796035, ' ': -11.03299, 'No': -6.345295, ' no': -12.662995, ' NO': -12.997769}
{' No': -0.0018632645, ' ': -11.277767, 'No': -6.2967806, ' no': -12.882775, ' NO': -13.20559}
{' No': -0.0020722914, ' ': -11.197864, 'No': -6.18993, ' no': -12.877544, ' NO': -12.755571}
{' No': -0.0019260873, ' ': -11.1734085, 'No': -6.2635603, ' no': -12.998779, ' NO': -12.924971}
{' No': -0.001929671, ' ': -11.51181, 'No': -6.259174, ' no': -13.079236, ' NO': -13.421847}
{' No': -0.0018694145, ' ': -11.227882, 'No': -6.297875, ' Yes': -11.561071, ' NO': -13.257155}
{' No': -0.0017324927, ' ': -11.373583, 'No': -6.3829117, ' Yes': -10.577363, ' no': -13.355766}
{' No': -11.915593, ' ': -12.05331, ' Yes': -0.0015652627, ' yes': -9.096602, 'Yes': -6.546492}
{' No': -0.0014131638, ' ': -11.431802, 'No': -6.5748796, ' no': -12.572864, ' NO': -13.376162}
{' No': -0.0018971825, ' ': -11.740647, 'No': -6.2763567, ' no': -12.398442, ' NO': -13.1614065}
{' No': -0.0018377632, ' ': -11.794412, 'No': -6.306922, ' no': -12.995164, ' NO': -13.365493}
{' No': -0.0017981747, ' ': -11.922718, 'No': -6.328687, ' Yes': -13.0899935, ' no': -13.251006}
{' No': -0.0025903925, 'No': -5.9624577, ' ': -11.837349, ' no': -12.763387, ' NO': -12.98117}
{' No': -0.0019877173, ' ': -11.906872, 'No': -6.2272477, ' no': -13.208127, ' NO': -13.340394}
{' No': -0.0022430103, ' ': -11.996773, 'No': -6.1057777, ' no': -13.143409, ' NO': -13.684737}
{' No': -0.002058373, ' ': -12.278255, 'No': -6.1977153, ' Yes': -11.120442, ' no': -13.726051}
{' No': -0.0021075322, 'No': -6.17452, ' Yes': -11.040582, ' ': -12.33329, ' no': -13.479967}
{' No': -11.97782, ' ': -13.034905, ' Yes': -0.0014371614, ' yes': -9.096921, 'Yes': -6.6355734}
{' No': -0.0037721829, ' ': -11.110086, 'No': -5.588834, ' no': -12.54575, ' NO': -12.076971}
{' No': -0.0039172783, 'No': -5.550306, ' ': -11.409783, ' NO': -11.90984, ' no': -12.493461}
{' No': -0.0041915607, ' ': -11.50084, 'No': -5.4813814, ' no': -12.863704, ' NO': -12.206184}
{' No': -0.0046529714, ' ': -11.465365, 'No': -5.3766656, ' no': -13.1470995, ' NO': -12.462524}
{' No': -0.005270018, ' ': -11.620822, 'No': -5.2523856, ' no': -12.626584, ' NO': -11.856286}
{' No': -0.0052446728, ' ': -11.585419, 'No': -5.256681, ' no': -12.819348, ' NO': -12.166198}
{' No': -0.0057539865, ' ': -11.705434, 'No': -5.1639285, ' no': -12.717284, ' NO': -12.292031}
{' No': -0.005122985, 'No': -5.2881045, ' Yes': -10.000624, ' ': -11.786732, ' NO': -12.890955}
{' No': -0.00648797, ' ': -12.079748, 'No': -5.0499334, ' Yes': -10.0366125, ' NO': -12.689831}
{' No': -11.768117, ' ': -12.411002, ' Yes': -0.003862889, ' yes': -9.110275, 'Yes': -5.592724}
{' No': -0.0028567775, ' ': -10.950263, 'No': -5.8699694, ' no': -12.022074, ' NO': -12.476546}
{' No': -0.003318589, ' ': -11.048372, 'No': -5.718538, ' no': -11.940292, ' NO': -12.387358}
{' No': -0.0035192517, ' ': -11.262261, 'No': -5.657844, ' no': -12.341867, ' NO': -12.447463}
{' No': -0.0047100442, ' ': -11.040768, 'No': -5.3667645, ' no': -12.079819, ' NO': -12.643166}
{' No': -0.004536686, ' ': -11.303715, 'No': -5.403182, ' no': -12.22516, ' NO': -12.236975}
{' No': -0.003670713, ' ': -11.430608, 'No': -5.61449, ' no': -12.667895, ' NO': -12.422639}
{' No': -0.004729387, ' ': -11.402642, 'No': -5.360713, ' no': -12.421907, ' NO': -12.758029}
{' No': -0.0038522992, ' ': -11.568424, 'No': -5.5709677, ' Yes': -10.674832, ' NO': -13.086793}
{' No': -0.004794068, ' ': -11.498096, 'No': -5.3545156, ' Yes': -10.182193, ' no': -12.860282}
{' No': -11.81884, ' ': -11.429794, ' Yes': -0.004515313, ' yes': -8.451456, 'Yes': -5.4582047}
{' No': -0.001589201, 'No': -6.457718, ' ': -11.132116, ' no': -13.039253, ' NO': -13.552749}
{' No': -0.002019132, 'No': -6.214797, ' ': -11.324002, ' no': -12.835992, ' NO': -13.30133}
{' No': -0.0020621954, ' ': -11.306556, 'No': -6.193121, ' no': -13.220695, ' NO': -13.462783}
{' No': -0.0020639873, ' ': -11.408438, 'No': -6.19269, ' Yes': -12.723652, ' no': -13.374004}
{' No': -0.0027420744, 'No': -5.906871, ' ': -11.308527, ' no': -13.004835, ' NO': -13.153949}
{' No': -0.0020838173, ' ': -11.510434, 'No': -6.181132, ' no': -13.39021, ' NO': -13.538388}
{' No': -0.0019324777, ' ': -11.616691, 'No': -6.2567687, ' Yes': -13.713777, ' no': -13.289768}
{' No': -0.00201985, 'No': -6.221526, ' Yes': -10.835296, ' ': -11.630723, ' no': -13.695216}
{' No': -0.0021705495, ' ': -11.630595, 'No': -6.146202, ' Yes': -11.15146, ' no': -13.447349}
{' No': -11.127276, ' ': -12.431476, ' Yes': -0.0014461143, ' yes': -9.481051, 'Yes': -6.609707}
{' No': -0.0010665503, 'No': -6.8776283, ' ': -10.479759, ' no': -12.903301, ' Yes': -13.115223}
{' No': -0.0013527598, 'No': -6.625679, ' ': -10.825085, ' no': -12.593393, ' NO': -13.236959}
{' No': -0.0014899266, ' ': -10.798609, 'No': -6.527008, ' no': -13.05381, ' NO': -13.240622}
{' No': -0.0015519508, ' ': -10.891541, 'No': -6.48606, ' Yes': -12.576708, ' no': -13.183273}
{' No': -0.0019578561, 'No': -6.25018, ' ': -10.807793, ' no': -12.893452, ' NO': -13.13479}
{' No': -0.0015924263, 'No': -6.4579825, ' ': -10.907463, ' no': -13.162309, ' NO': -13.213979}
{' No': -0.0017273573, 'No': -6.376357, ' ': -11.006772, ' Yes': -12.439331, ' no': -13.220809}
{' No': -0.0017550642, ' ': -10.982544, 'No': -6.3777385, ' Yes': -10.289705, ' NO': -13.486581}
{' No': -0.0016264562, ' ': -10.78482, 'No': -6.4865084, ' Yes': -9.474923, ' NO': -13.618026}
{' No': -13.227323, ' ': -12.254134, ' Yes': -0.0011671558, ' yes': -9.468838, 'Yes': -6.8308673}
{' No': -0.0012062431, 'No': -6.7340302, ' ': -11.436483, ' no': -13.137957, ' NO': -13.243877}
{' No': -0.0014323255, ' ': -11.558249, 'No': -6.5597887, ' no': -12.842402, ' NO': -13.016347}
{' No': -0.0014504122, 'No': -6.5472817, ' ': -11.438558, ' NO': -13.105958, ' no': -13.256749}
{' No': -0.0016622778, 'No': -6.4104905, ' ': -11.421984, ' no': -13.298489, ' NO': -13.316277}
{' No': -0.0019640068, ' ': -11.547943, 'No': -6.2412577, ' no': -13.179154, ' NO': -12.900954}
{' No': -0.0016960731, ' ': -11.69324, 'No': -6.38768, ' no': -13.445633, ' NO': -13.053672}
{' No': -0.0017335673, ' ': -11.715034, 'No': -6.3660903, ' no': -13.249014, ' NO': -13.32107}
{' No': -0.0014954205, ' ': -11.816008, 'No': -6.5263443, ' Yes': -10.824446, ' NO': -13.488586}
{' No': -0.0015668162, ' ': -11.683843, 'No': -6.4807196, ' Yes': -10.756458, ' NO': -13.530638}
{' No': -12.078913, ' ': -12.595333, ' Yes': -0.0011670357, ' yes': -9.441392, 'Yes': -6.8354373}
{' No': -0.0016207247, 'No': -6.4436564, ' ': -10.840449, ' NO': -12.687831, ' no': -12.713377}
{' No': -0.0021541212, 'No': -6.1540127, ' ': -11.008078, ' no': -12.343337, ' NO': -12.415811}
{' No': -0.0022306428, ' ': -11.042708, 'No': -6.1178823, ' no': -12.756223, ' NO': -12.496211}
{' No': -0.0023283795, ' ': -11.05363, 'No': -6.076593, ' Yes': -12.028371, ' NO': -12.6229105}
{' No': -0.002861798, ' ': -11.015935, 'No': -5.8669705, ' no': -12.628025, ' NO': -12.314308}
{' No': -0.0024430365, ' ': -11.191633, 'No': -6.0245657, ' no': -12.978025, ' NO': -12.4923935}
{' No': -0.0024878506, 'No': -6.0075493, ' ': -11.217485, ' Yes': -12.615529, ' NO': -12.649983}
{' No': -0.0024555235, ' ': -11.3670845, 'No': -6.0464997, ' Yes': -9.577653, ' NO': -12.959943}
{' No': -0.0025216101, 'No': -6.0178447, ' Yes': -9.705812, ' ': -11.111861, ' NO': -12.793794}
{' No': -11.600729, ' ': -12.141269, ' Yes': -0.0017312987, ' yes': -9.250598, 'Yes': -6.4296827}
{' No': -0.001644069, ' ': -11.068199, 'No': -6.425396, ' no': -12.843509, ' NO': -13.146621}
{' No': -0.0018993322, ' ': -11.286451, 'No': -6.277688, ' no': -12.465077, ' NO': -13.014532}
{' No': -0.0019165318, ' ': -11.290699, 'No': -6.267722, ' no': -13.015254, ' NO': -13.075811}
{' No': -0.0024190175, ' ': -11.059126, 'No': -6.0374284, ' Yes': -12.038272, ' no': -12.787781}
{' No': -0.0029112347, 'No': -5.8471055, ' ': -11.313279, ' NO': -12.8035345, ' no': -12.907385}
{' No': -0.0021537654, ' ': -11.5267315, 'No': -6.148554, ' no': -13.143507, ' NO': -13.069204}
{' No': -0.0027479918, ' ': -11.424043, 'No': -5.9049883, ' Yes': -12.806302, ' no': -13.062341}
{' No': -0.0023904562, ' ': -11.454798, 'No': -6.078322, ' Yes': -9.426644, ' NO': -13.344449}
{' No': -0.0022632007, 'No': -6.1276174, ' Yes': -9.654137, ' ': -11.474235, ' NO': -13.486605}
{' No': -12.66625, ' ': -12.654919, ' Yes': -0.0014699287, ' yes': -9.425981, 'Yes': -6.5869646}
{' No': -0.0019368959, ' ': -10.923636, 'No': -6.2646894, ' Yes': -11.60605, ' no': -13.114337}
{' No': -0.0023086641, ' ': -11.210781, 'No': -6.081633, ' no': -12.692962, ' NO': -12.799037}
{' No': -0.0026033006, ' ': -11.196882, 'No': -5.9603252, ' no': -13.068069, ' NO': -12.96097}
{' No': -0.0027010732, ' ': -11.171652, 'No': -5.9539375, ' Yes': -9.401241, ' no': -13.331443}
{' No': -0.0038247742, ' ': -11.143102, 'No': -5.5741754, ' no': -12.797072, ' NO': -12.489517}
{' No': -0.0033089023, ' ': -11.378115, 'No': -5.7181177, ' no': -13.229372, ' NO': -12.763549}
{' No': -0.0034150588, ' ': -11.270736, 'No': -5.68936, ' Yes': -11.55088, ' no': -13.131419}
{' No': -0.0033530975, 'No': -5.766014, ' Yes': -8.524861, ' ': -11.421056, ' NO': -13.155107}
{' No': -0.0035087229, ' ': -11.13782, 'No': -5.7381477, ' Yes': -8.252886, ' NO': -13.279952}
{' No': -12.967907, ' ': -12.5876665, ' Yes': -0.0019496174, ' yes': -9.58662, 'Yes': -6.2822437}
{' No': -0.001339691, ' ': -11.607322, 'No': -6.626333, ' no': -13.229637, ' NO': -13.36129}
{' No': -0.0017955465, ' ': -11.840908, 'No': -6.33029, ' no': -12.915633, ' NO': -13.063541}
{' No': -0.0018714438, ' ': -11.78601, 'No': -6.2885303, ' no': -13.284822, ' NO': -13.082307}
{' No': -0.0019491398, ' ': -11.819993, 'No': -6.2492456, ' Yes': -12.53081, ' no': -13.19166}
{' No': -0.0024196135, 'No': -6.029832, ' ': -11.986771, ' NO': -12.965518, ' no': -13.336968}
{' No': -0.0020343624, ' ': -12.100448, 'No': -6.2031045, ' no': -13.630981, ' NO': -13.203457}
{' No': -0.0023056793, ' ': -12.263658, 'No': -6.0776343, ' Yes': -13.241022, ' NO': -13.5107355}
{' No': -0.00200874, ' ': -11.97358, 'No': -6.2622905, ' Yes': -9.307951, ' NO': -13.627976}
{' No': -0.0022519117, ' ': -11.860181, 'No': -6.122594, ' Yes': -9.989884, ' no': -13.494927}
{' No': -12.938457, ' ': -13.024882, ' Yes': -0.0011746744, ' yes': -9.89742, 'Yes': -6.797228}
{' No': -0.001518104, ' ': -11.250146, 'No': -6.5047755, ' no': -12.828329, ' NO': -12.507829}
{' No': -0.0016579789, ' ': -11.636132, 'No': -6.413075, ' no': -12.588287, ' NO': -12.469063}
{' No': -0.0017791266, 'No': -6.341085, ' ': -11.756299, ' NO': -12.4238205, ' no': -12.863095}
{' No': -0.0020828617, ' ': -11.484333, 'No': -6.1889744, ' Yes': -11.255967, ' NO': -12.80262}
{' No': -0.0019465716, ' ': -11.7446375, 'No': -6.251694, ' no': -12.806895, ' NO': -11.994542}
{' No': -0.0016431134, ' ': -11.899429, 'No': -6.4209085, ' no': -13.167485, ' NO': -12.137803}
{' No': -0.0024579132, 'No': -6.0178385, ' ': -11.643491, ' Yes': -12.365937, ' NO': -12.429128}
{' No': -0.0017422246, ' ': -11.851463, 'No': -6.497271, ' Yes': -8.413603, ' NO': -13.08934}
{' No': -0.0024132815, ' ': -11.545574, 'No': -6.251995, ' Yes': -7.6660137, 'Yes': -13.161991}
{' YES': -13.164141, ' ': -13.041371, ' Yes': -0.0012073187, ' yes': -9.770948, 'Yes': -6.773691}
{' No': -0.00139705, ' ': -11.072502, 'No': -6.5885167, ' Yes': -13.904917, ' no': -13.128975}
{' No': -0.0014630081, ' ': -11.318147, 'No': -6.540186, ' no': -12.640435, ' NO': -13.423892}
{' No': -0.0014535155, ' ': -11.3986845, 'No': -6.545442, ' no': -13.238727, ' NO': -13.463827}
{' No': -0.0022420539, ' ': -11.564196, 'No': -6.113196, ' Yes': -11.206554, ' no': -13.337358}
{' No': -0.0014548296, 'No': -6.543832, ' ': -11.461134, ' no': -13.062782, ' NO': -13.384349}
{' No': -0.0013278142, ' ': -11.6526575, 'No': -6.634054, ' no': -13.497347, ' NO': -13.409704}
{' No': -0.0022274174, ' ': -11.437596, 'No': -6.115173, ' Yes': -13.2722435, ' no': -13.3372755}
{' No': -0.0020790987, ' ': -11.571977, 'No': -6.2923293, ' Yes': -8.45092, ' no': -13.851305}
{' No': -0.0022188139, ' ': -11.500557, 'No': -6.180702, ' Yes': -8.917152, ' no': -13.727455}
{' Yes': -0.0013054331, 'Yes': -6.7045135, ' yes': -9.531807, ' ': -12.982254, ' No': -13.043321}
{' No': -0.00091387215, ' ': -11.199525, 'No': -7.018738, ' no': -12.972922, ' NO': -13.372995}
{' No': -0.001114642, 'No': -6.814389, ' ': -11.425409, ' no': -12.794876, ' NO': -13.129478}
{' No': -0.0012039772, 'No': -6.734799, ' ': -11.511856, ' no': -13.115987, ' NO': -13.222476}
{' No': -0.0015757127, 'No': -6.4653735, ' ': -11.411591, ' Yes': -12.648046, ' no': -13.149283}
{' No': -0.0014176422, ' ': -11.492586, 'No': -6.570318, ' no': -13.102789, ' NO': -12.840973}
{' No': -0.0011569526, ' ': -11.699807, 'No': -6.7728376, ' no': -13.42154, ' NO': -13.219279}
{' No': -0.0016126054, ' ': -11.670218, 'No': -6.4391956, ' no': -13.200618, ' NO': -13.340216}
{' No': -0.0013838573, ' ': -11.752975, 'No': -6.656029, ' Yes': -9.359621, ' NO': -13.710142}
{' No': -0.0014990605, ' ': -11.668222, 'No': -6.563476, ' Yes': -9.497129, ' no': -13.513088}
{' YES': -13.549543, ' ': -12.834103, ' Yes': -0.0011300377, ' yes': -9.49194, 'Yes': -6.8610253}
{' No': -0.00074749446, ' ': -11.732533, 'No': -7.214683, ' no': -13.352957, ' NO': -13.604251}
{' No': -0.00080690725, ' ': -11.982359, 'No': -7.135837, ' no': -12.982655, ' NO': -13.359772}
{' No': -0.00090235675, ' ': -11.9300165, 'No': -7.023058, ' no': -13.199949, ' NO': -13.282363}
{' No': -0.00136434, ' ': -11.779286, 'No': -6.615778, ' Yes': -11.22865, ' no': -13.299372}
{' No': -0.0011695428, ' ': -11.864282, 'No': -6.761879, ' no': -13.106667, ' NO': -12.90147}
{' No': -0.0008307697, ' ': -12.10073, 'No': -7.1049886, ' no': -13.350512, ' NO': -13.163197}
{' No': -0.0014510092, ' ': -11.996514, 'No': -6.5442495, ' Yes': -12.84521, ' no': -13.483449}
{' No': -0.0013495366, ' ': -12.018906, 'No': -6.9176583, ' Yes': -7.9590845, ' NO': -13.71422}
{' No': -0.0017103433, ' ': -11.8655815, 'No': -6.6472216, ' Yes': -7.821725, 'Yes': -13.608443}
{' No': -13.15453, ' ': -13.287237, ' Yes': -0.000983076, ' yes': -9.825701, 'Yes': -6.987569}
{' No': -0.001585622, 'No': -6.4647794, ' ': -10.863316, ' no': -12.427827, ' NO': -13.033976}
{' No': -0.0018973008, ' ': -11.061812, 'No': -6.2816253, ' no': -12.139661, ' NO': -12.817045}
{' No': -0.0021446238, ' ': -11.177404, 'No': -6.15601, ' no': -12.527193, ' NO': -12.9205}
{' No': -0.002875187, 'No': -5.862202, ' ': -11.212044, ' Yes': -12.097251, ' no': -12.590909}
{' No': -0.00236393, 'No': -6.057807, ' ': -11.218303, ' no': -12.532062, ' NO': -12.559899}
{' No': -0.0020301826, ' ': -11.399393, 'No': -6.209723, ' no': -12.736895, ' NO': -12.608168}
{' No': -0.002784033, ' ': -11.343229, 'No': -5.8923764, ' no': -12.535845, ' NO': -12.95483}
{' No': -0.002060764, ' ': -11.441191, 'No': -6.2276845, ' Yes': -9.575199, ' NO': -13.322371}
{' No': -0.0030056285, ' ': -11.340188, 'No': -5.8808475, ' Yes': -8.563073, ' no': -13.109335}
{' Yes': -0.0020820254, 'Yes': -6.2454705, ' yes': -8.94451, ' ': -12.527258, ' No': -12.834557}
{' No': -0.0016763088, ' ': -11.145103, 'No': -6.4050627, ' no': -12.713685, ' NO': -12.676035}
{' No': -0.0018323312, ' ': -11.53742, 'No': -6.3131614, ' no': -12.37375, ' NO': -12.530082}
{' No': -0.0020576578, ' ': -11.542653, 'No': -6.19547, ' no': -12.833669, ' NO': -12.515494}
{' No': -0.0022880542, ' ': -11.453949, 'No': -6.0929117, ' Yes': -11.469692, ' no': -12.864559}
{' No': -0.0020248052, ' ': -11.552639, 'No': -6.211499, ' no': -12.773287, ' NO': -12.517982}
{' No': -0.0016107552, ' ': -11.817307, 'No': -6.4397645, ' no': -13.196496, ' NO': -12.674543}
{' No': -0.0023461247, ' ': -11.6852045, 'No': -6.0627003, ' no': -12.897898, ' NO': -13.045182}
{' No': -0.0019915404, ' ': -11.805071, 'No': -6.291092, ' Yes': -8.985763, ' NO': -13.106296}
{' No': -0.0022851867, 'No': -6.2117577, ' Yes': -8.243308, ' ': -11.617885, ' NO': -13.189279}
{' YES': -13.109196, ' ': -12.907963, ' Yes': -0.0015348166, ' yes': -9.232402, 'Yes': -6.5507154}
{' No': -0.0012997026, ' ': -11.186673, 'No': -6.661488, ' no': -13.007783, ' NO': -12.790287}
{' No': -0.0016108745, ' ': -11.412568, 'No': -6.4432135, ' no': -12.7367935, ' NO': -12.476085}
{' No': -0.0016791754, ' ': -11.522866, 'No': -6.3999906, ' no': -12.969106, ' NO': -12.590514}
{' No': -0.001966514, ' ': -11.533891, 'No': -6.241398, ' Yes': -12.672176, ' NO': -12.966672}
{' No': -0.001988076, 'No': -6.229361, ' ': -11.590624, ' NO': -12.523916, ' no': -13.059027}
{' No': -0.0014190745, ' ': -11.7191725, 'No': -6.5674834, ' no': -13.3098135, ' NO': -12.779889}
{' No': -0.0021832737, ' ': -11.733026, 'No': -6.1347136, ' no': -13.09559, ' NO': -12.869736}
{' No': -0.0018048025, ' ': -11.802778, 'No': -6.348255, ' Yes': -10.068886, ' NO': -13.040728}
{' No': -0.0024751206, ' ': -11.622172, 'No': -6.131596, ' Yes': -8.162238, ' NO': -13.3004465}
{' No': -13.212675, ' ': -13.031117, ' Yes': -0.0013381385, ' yes': -9.478675, 'Yes': -6.681166}
{' No': -0.00091387215, ' ': -11.65352, 'No': -7.0122814, ' no': -13.264779, ' NO': -13.508563}
{' No': -0.0012338732, 'No': -6.7080436, ' ': -11.877207, ' no': -12.8086405, ' NO': -13.157196}
{' No': -0.0013164725, ' ': -11.877437, 'No': -6.642475, ' no': -13.125108, ' NO': -13.066983}
{' No': -0.0018406298, ' ': -11.807119, 'No': -6.3121777, ' Yes': -11.185863, ' no': -13.268128}
{' No': -0.0015840704, 'No': -6.455233, ' ': -11.98403, ' NO': -13.002744, ' no': -13.28918}
{' No': -0.0011556394, ' ': -12.076092, 'No': -6.771761, ' no': -13.478527, ' NO': -13.137607}
{' No': -0.0019875972, ' ': -11.917595, 'No': -6.2298775, ' Yes': -11.996682, ' no': -13.381524}
{' No': -0.0024522946, ' ': -11.781248, 'No': -6.4021654, ' Yes': -7.158, 'Yes': -12.835138}
{' No': -0.0025624263, 'No': -6.462345, ' Yes': -6.922782, ' ': -11.797543, 'Yes': -12.622967}
{' YES': -13.801807, ' ': -13.379434, ' Yes': -0.0011389306, ' yes': -9.813593, 'Yes': -6.831104}
{' No': -0.002398464, ' ': -10.96042, 'No': -6.04785, ' no': -12.173889, ' NO': -11.952306}
{' No': -0.0024719555, ' ': -11.270199, 'No': -6.0162005, ' no': -11.835986, ' NO': -11.64994}
{' No': -0.0027990364, ' ': -11.522909, 'No': -5.8877573, ' no': -12.4266815, ' NO': -11.901784}
{' No': -0.0028454799, ' ': -11.294109, 'No': -5.8769503, ' Yes': -11.024039, ' NO': -12.130071}
{' No': -0.0031107955, ' ': -11.498955, 'No': -5.781976, ' no': -12.464543, ' NO': -11.729747}
{' No': -0.002954993, ' ': -11.696757, 'No': -5.832518, ' no': -12.616815, ' NO': -11.7989025}
{' No': -0.0029363981, ' ': -11.496089, 'No': -5.843261, ' Yes': -11.241084, ' NO': -12.11383}
{' No': -0.0031555814, ' ': -11.536582, 'No': -5.8874154, ' Yes': -7.9340405, ' NO': -12.358989}
{' No': -0.0053854324, ' ': -10.899978, 'No': -5.9601884, ' Yes': -5.894887, 'Yes': -11.273469}
{' YES': -12.236769, ' ': -12.560872, ' Yes': -0.00205718, ' yes': -9.233651, 'Yes': -6.2418756}
{' No': -0.0026993996, 'No': -5.940251, ' ': -10.021078, ' no': -11.349283, ' NO': -12.208657}
{' No': -0.0026503936, ' ': -10.346868, 'No': -5.955651, ' no': -11.105929, ' NO': -11.967676}
{' No': -0.0033160192, ' ': -10.392612, 'No': -5.7261777, ' no': -11.342973, ' NO': -12.070155}
{' No': -0.0031516943, 'No': -5.7797933, ' ': -10.411194, ' Yes': -11.074108, ' no': -11.924868}
{' No': -0.0033892815, ' ': -10.586958, 'No': -5.7009826, ' no': -11.723879, ' NO': -12.069515}
{' No': -0.0032761924, ' ': -10.692945, 'No': -5.7339168, ' no': -11.869002, ' NO': -12.221307}
{' No': -0.0033571047, ' ': -10.692848, 'No': -5.7115073, ' Yes': -11.4359665, ' no': -12.014927}
{' No': -0.003215854, ' ': -10.596027, 'No': -5.7968135, ' Yes': -8.884507, ' NO': -12.477497}
{' No': -0.0035215241, 'No': -5.7933617, ' Yes': -7.759869, ' ': -10.4296875, ' no': -12.434217}
{' Yes': -0.002550295, 'Yes': -6.0407915, ' yes': -8.806562, ' ': -11.584396, ' YES': -12.555414}
{' No': -0.0016184578, ' ': -10.253655, 'No': -6.4586153, ' no': -11.742452, ' NO': -12.253126}
{' No': -0.0019180843, 'No': -6.2763224, ' ': -10.717572, ' no': -11.675049, ' NO': -12.3461895}
{' No': -0.0019552258, ' ': -10.8522625, 'No': -6.2535663, ' no': -12.093057, ' NO': -12.533116}
{' No': -0.0020039033, ' ': -10.722829, 'No': -6.2311907, ' Yes': -12.635666, ' no': -12.205872}
{' No': -0.002450144, ' ': -10.602706, 'No': -6.0286055, ' no': -11.945519, ' NO': -12.123631}
{' No': -0.0021957597, ' ': -10.8391285, 'No': -6.136217, ' no': -12.235024, ' NO': -12.281921}
{' No': -0.002155317, 'No': -6.155069, ' ': -10.895515, ' no': -12.289487, ' Yes': -12.601462}
{' No': -0.0022439659, ' ': -10.799798, 'No': -6.139023, ' Yes': -9.757999, ' NO': -12.798883}
{' No': -0.0021365026, ' ': -10.694862, 'No': -6.246044, ' Yes': -8.7006, ' no': -12.807849}
{' YES': -12.688246, ' ': -11.824314, ' Yes': -0.0014870618, ' yes': -9.039045, 'Yes': -6.6052957}
{' No': -0.0011064683, ' ': -11.138828, 'No': -6.828048, ' no': -12.460101, ' NO': -12.847243}
{' No': -0.001409702, ' ': -11.419622, 'No': -6.5788136, ' no': -12.373373, ' NO': -12.592578}
{' No': -0.0013327666, ' ': -11.59862, 'No': -6.633216, ' no': -12.744737, ' NO': -12.603921}
{' No': -0.0016644284, ' ': -11.570402, 'No': -6.4112115, ' Yes': -12.245702, ' no': -12.733819}
{' No': -0.0018440945, ' ': -11.616248, 'No': -6.3053656, ' no': -12.8783045, ' NO': -12.460939}
{' No': -0.0014677801, ' ': -11.743091, 'No': -6.5343347, ' no': -13.006133, ' NO': -12.57447}
{' No': -0.0016994165, 'No': -6.388273, ' ': -11.717395, ' Yes': -12.336616, ' no': -13.099622}
{' No': -0.0015941572, ' ': -11.855078, 'No': -6.5296893, ' Yes': -9.003085, ' NO': -13.189529}
{' No': -0.0016825189, ' ': -11.585449, 'No': -6.598934, ' Yes': -8.091436, ' NO': -13.432475}
{' YES': -13.152247, ' ': -12.769261, ' Yes': -0.0010159514, ' yes': -9.614822, 'Yes': -6.9678044}
{' No': -0.0019763699, ' ': -10.559142, 'No': -6.2484975, ' no': -11.826034, ' NO': -12.217649}
{' No': -0.0023219902, 'No': -6.0829544, ' ': -10.823038, ' no': -11.52239, ' NO': -11.950704}
{' No': -0.0024068872, ' ': -11.005479, 'No': -6.043125, ' no': -12.023978, ' NO': -12.10324}
{' No': -0.0026033006, ' ': -10.976857, 'No': -5.964569, ' no': -12.236177, ' NO': -12.363222}
{' No': -0.003226438, ' ': -10.887029, 'No': -5.7494264, ' no': -11.820303, ' NO': -11.651045}
{' No': -0.0027026269, ' ': -11.098236, 'No': -5.925479, ' no': -12.188988, ' NO': -11.891103}
{' No': -0.0032935347, ' ': -11.158238, 'No': -5.7264647, ' Yes': -12.089414, ' no': -12.271917}
{' No': -0.002478708, ' ': -11.160519, 'No': -6.092215, ' Yes': -8.548716, ' NO': -12.5432205}
{' No': -0.0030224875, ' ': -10.918197, 'No': -5.943383, ' Yes': -7.907971, ' NO': -12.57857}
{' YES': -12.474202, ' ': -12.018273, ' Yes': -0.0018686973, ' yes': -9.067087, 'Yes': -6.3553085}
{' No': -0.0019609611, ' ': -11.046547, 'No': -6.249483, ' Yes': -12.306394, ' NO': -12.591356}
{' No': -0.0019417937, ' ': -11.282697, 'No': -6.2570267, ' no': -12.302389, ' NO': -12.279216}
{' No': -0.0021243752, ' ': -11.499635, 'No': -6.164357, ' no': -12.690597, ' NO': -12.403347}
{' No': -0.0025815484, ' ': -11.276845, 'No': -5.986165, ' Yes': -9.995542, ' NO': -12.599052}
{' No': -0.0025005778, ' ': -11.717082, 'No': -5.9989414, ' no': -13.024367, ' NO': -12.283493}
{' No': -0.0026833243, ' ': -11.695088, 'No': -5.928079, ' no': -13.057029, ' NO': -12.248446}
{' No': -0.0027928196, ' ': -11.608614, 'No': -5.895478, ' Yes': -10.704292, ' NO': -12.764495}
{' No': -0.0036810634, ' ': -11.494256, 'No': -6.1678343, ' Yes': -6.463325, 'Yes': -12.07685}
{' No': -0.007531303, ' ': -10.747748, 'No': -6.273784, ' Yes': -5.1897535, 'Yes': -10.879642}
{' YES': -13.016903, ' ': -13.053047, ' Yes': -0.001357177, ' yes': -9.856877, 'Yes': -6.6470366}
