{' ': -10.746939, ' Generally': -9.173347, ' Yes': -0.0015200131, ' yes': -10.15593, 'Yes': -6.613252}
{' No': -6.102666, ' Generally': -6.829158, ' Yes': -0.0068869987, 'Yes': -5.725568, ' It': -9.612617}
{' No': -2.1704361, ' Generally': -7.303864, 'No': -6.751769, ' Yes': -0.12696579, 'Yes': -5.821902}
{' No': -10.623192, ' Generally': -9.035106, ' Yes': -0.0019883153, ' yes': -10.004272, 'Yes': -6.3403854}
{' No': -9.95831, ' ': -11.09237, ' Yes': -0.0017141617, ' yes': -10.353669, 'Yes': -6.428334}
{' Yes': -0.0023672755, 'Yes': -6.708559, ' Generally': -6.8912797, ' yes': -9.799873, ' Typically': -10.563517}
{' No': -10.264495, ' Generally': -6.3139944, ' Yes': -0.0033715777, ' yes': -9.793853, 'Yes': -6.589774}
{' Yes': -0.0029896668, 'Yes': -6.4953656, ' Generally': -6.8474507, ' No': -8.232609, ' yes': -9.694853}
{' Yes': -0.0013109824, 'Yes': -6.848601, ' Generally': -8.708007, ' yes': -9.959103, ' ': -10.978159}
{' No': -11.151469, ' ': -11.2761965, ' Yes': -0.0010934623, ' yes': -10.224609, 'Yes': -6.8818054}
{' No': -4.3992534, ' Generally': -2.2981274, ' Yes': -0.14626637, 'Yes': -6.1160936, ' It': -4.20672}
{' No': -1.0062636, ' Generally': -2.095949, 'No': -5.3755126, ' Yes': -0.71645916, ' It': -4.680774}
{' No': -3.9898584, ' Generally': -4.3207946, ' A': -8.438731, ' Yes': -0.03502999, 'Yes': -6.395913}
{' No': -5.2828665, ' ': -9.465774, ' Yes': -0.0067225685, ' yes': -9.946643, 'Yes': -6.540217}
{' Yes': -0.023836594, ' Generally': -3.8840792, 'Yes': -6.521633, ' It': -7.182041, ' Typically': -8.274021}
{' Yes': -0.00692457, ' Generally': -5.2047167, 'Yes': -6.693608, ' Typically': -10.052569, ' yes': -10.077843}
{' No': -12.833601, ' ': -11.118789, ' Yes': -0.0011499099, ' yes': -10.462392, 'Yes': -6.8136835}
{' Yes': -0.008288086, ' Generally': -5.1062894, 'Yes': -6.486308, ' No': -7.912293, ' Typically': -9.478854}
{' No': -9.56637, ' Generally': -11.149255, ' Yes': -0.0014456364, ' yes': -10.095116, 'Yes': -6.6446667}
{' No': -0.66165644, ' Yes': -0.7357284, 'No': -5.68538, 'Yes': -7.026007, ' Generally': -8.279465}
{' Generally': -7.2389874, ' Yes': -0.0036631175, ' yes': -9.149669, 'Yes': -5.9182057, ' It': -9.98293}
{' ': -9.7025, ' Generally': -6.8914533, ' Yes': -0.005732767, ' yes': -8.828126, 'Yes': -5.43951}
{' No': -6.725093, ' Generally': -6.983669, ' Yes': -0.007352172, ' yes': -8.865533, 'Yes': -5.349309}
{' Yes': -0.07828422, ' No': -2.7380056, 'Yes': -5.082509, ' Generally': -6.352273, 'No': -6.5484757}
{' Yes': -0.004073293, 'Yes': -5.6542163, ' Generally': -8.309003, ' yes': -8.961909, ' No': -9.244632}
{' No': -10.141574, ' ': -10.335252, ' Yes': -0.0029417786, ' yes': -9.1247225, 'Yes': -5.898173}
{' ': -10.346685, ' Generally': -6.8319454, ' Yes': -0.0028998163, ' yes': -9.025196, 'Yes': -6.448515}
{' ': -10.049385, ' Generally': -6.3948574, ' Yes': -0.0038280652, ' yes': -9.021822, 'Yes': -6.2844787}
{' No': -7.47033, ' Generally': -6.1308928, ' Yes': -0.0055346605, ' yes': -8.726159, 'Yes': -6.0468454}
{' Yes': -0.0021813617, 'Yes': -6.3611217, ' Generally': -8.288654, ' yes': -9.069793, ' ': -10.374901}
{' No': -11.039136, ' ': -10.51328, ' Yes': -0.0017501063, ' yes': -9.173751, 'Yes': -6.441935}
{' That': -5.698259, ' No': -3.2329671, ' Generally': -2.347843, ' Yes': -0.23349562, ' It': -2.9038236}
{' No': -0.84896, ' Generally': -2.3392594, 'No': -4.5915017, ' Yes': -0.82793146, ' It': -4.2214227}
{' No': -2.5350044, ' Generally': -4.1769547, 'No': -6.81671, ' Yes': -0.10488386, 'Yes': -6.032276}
{' No': -4.4489155, ' ': -8.217267, 'No': -8.731524, ' Yes': -0.01566906, 'Yes': -5.7644362}
{' Generally': -3.784514, ' Yes': -0.029707545, 'Yes': -6.075905, ' In': -7.380941, ' It': -6.149526}
{' Generally': -5.1985097, ' Typically': -9.581232, ' Yes': -0.007576525, ' yes': -9.4023075, 'Yes': -6.3840985}
{' Yes': -0.0025719253, 'Yes': -6.0326047, ' yes': -9.314691, ' ': -9.931488, ' Generally': -11.766384}
{' Yes': -0.007181063, ' Generally': -5.396381, 'Yes': -6.222566, ' No': -8.321455, ' yes': -9.212846}
{' No': -9.416632, ' ': -10.06398, ' Yes': -0.0029335925, ' yes': -9.174095, 'Yes': -5.9269915}
{' No': -0.65130776, ' Generally': -7.998058, 'No': -5.32258, ' Yes': -0.7514875, 'Yes': -6.697267}
{' Yes': -0.0016349931, 'Yes': -6.4966927, ' Generally': -9.661457, ' yes': -10.338213, ' ': -10.821959}
{' ': -10.087854, ' Generally': -9.029095, ' Yes': -0.002129034, ' yes': -10.138937, 'Yes': -6.265293}
{' No': -1.2786846, ' ': -8.33367, 'No': -6.06862, ' Yes': -0.33264735, 'Yes': -6.354522}
{' No': -0.01876782, ' ': -9.713536, 'No': -5.2279506, ' Yes': -4.3341804, 'Yes': -10.1910715}
{' Yes': -0.002392845, 'Yes': -6.375218, ' No': -7.5149446, ' ': -9.373697, ' yes': -10.157471}
{' No': -6.1519933, ' ': -9.37496, ' Yes': -0.0037197724, ' yes': -10.3092575, 'Yes': -6.536759}
{' Yes': -0.0015628758, 'Yes': -6.6735406, ' Generally': -9.013772, ' No': -9.666877, ' ': -9.873173}
{' No': -6.965798, ' ': -9.413385, ' Generally': -8.997298, ' Yes': -0.0024953785, 'Yes': -6.656975}
{' No': -4.3451366, ' ': -8.892458, ' Generally': -8.470053, ' Yes': -0.015096769, 'Yes': -6.503525}
{' No': -9.385503, ' ': -9.842599, ' Yes': -0.001306445, ' yes': -10.057077, 'Yes': -6.8082843}
{' Yes': -0.0014947035, 'Yes': -6.818824, ' No': -8.212249, ' ': -9.402497, ' yes': -10.096494}
{' No': -1.1469669, ' Generally': -4.2507854, 'No': -5.690296, ' Yes': -0.41255754, 'Yes': -6.5889378}
{' No': -0.023957038, ' Yes': -4.278859, 'No': -4.934212, ' Generally': -6.102715, ' ': -8.8353615}
{' No': -0.9132544, ' Generally': -6.8723683, 'No': -5.9852853, ' Yes': -0.52147925, 'Yes': -6.9556584}
{' No': -0.6863045, ' ': -7.773649, 'No': -6.2787952, ' Yes': -0.70608175, 'Yes': -7.32138}
{' Yes': -0.003439578, ' Generally': -6.2800527, 'Yes': -6.608752, ' No': -9.871979, ' Typically': -10.245902}
{' ': -9.953159, ' Generally': -8.685376, ' Yes': -0.0014467122, ' yes': -10.381422, 'Yes': -6.753258}
{' Yes': -0.0012537473, 'Yes': -6.8111196, ' ': -9.735949, ' No': -9.833296, ' yes': -10.290827}
{' No': -5.640583, ' ': -9.701634, ' Generally': -7.4090476, ' Yes': -0.0057811467, 'Yes': -6.5431533}
{' No': -5.934372, ' ': -9.404181, ' Yes': -0.0043396545, ' yes': -10.242481, 'Yes': -6.477848}
{' No': -0.015299195, ' ': -8.688803, 'No': -5.293703, ' Yes': -4.6088886, 'Yes': -10.742994}
{' ': -10.79955, ' Generally': -8.458125, ' Yes': -0.0021038293, ' yes': -9.604887, 'Yes': -6.331533}
{' Yes': -0.0025657734, 'Yes': -6.225977, ' Generally': -7.825588, ' yes': -9.36175, ' ': -9.944033}
{' No': -2.2596304, ' Generally': -8.041946, 'No': -6.6711154, ' Yes': -0.115371816, 'Yes': -5.9315085}
{' No': -0.038792334, ' ': -9.353113, 'No': -5.0257115, ' Yes': -3.4657257, 'Yes': -9.198776}
{' No': -7.3898816, ' ': -9.280066, ' Yes': -0.0028258744, ' yes': -9.3679, 'Yes': -6.229116}
{' No': -4.960663, ' ': -8.906357, ' Yes': -0.00887135, ' yes': -9.654743, 'Yes': -6.4529076}
{' ': -9.926956, ' Generally': -7.934837, ' Yes': -0.0018787297, ' yes': -9.255999, 'Yes': -6.6323447}
{' No': -7.109019, ' Generally': -7.204842, ' Yes': -0.0033545939, ' yes': -9.281566, 'Yes': -6.4589643}
{' No': -5.781119, ' ': -8.9646, ' Generally': -8.036955, ' Yes': -0.00535481, 'Yes': -6.4143243}
{' No': -10.136591, ' ': -9.787967, ' Yes': -0.0013362283, ' yes': -9.373035, 'Yes': -6.8041563}
{' No': -7.3373055, ' ': -9.097424, ' Yes': -0.0020567016, ' yes': -9.496683, 'Yes': -6.718909}
{' No': -0.45675242, ' Generally': -2.6845472, 'No': -4.729047, ' Yes': -1.2811525, ' It': -4.937064}
{' No': -0.0339495, ' Generally': -4.787716, 'No': -4.512797, ' Yes': -4.3327875, ' It': -8.480652}
{' No': -0.2894395, ' Yes': -1.4299729, 'No': -5.131568, ' Generally': -5.3116426, 'Yes': -7.631423}
{' No': -0.228433, ' ': -8.019145, 'No': -5.600329, ' Yes': -1.610305, 'Yes': -7.9990487}
{' No': -8.81472, ' Generally': -4.5381017, ' Yes': -0.013199304, 'Yes': -6.56939, ' It': -7.9811153}
{' ': -10.003637, ' Generally': -6.9405227, ' Yes': -0.0022775987, ' yes': -9.601145, 'Yes': -6.7844963}
{' Yes': -0.0015512345, 'Yes': -6.6755085, ' No': -8.825132, ' ': -9.5002365, ' yes': -9.720865}
{' Yes': -0.024619272, ' No': -4.161893, ' Generally': -5.0420103, 'Yes': -6.393344, 'No': -8.571453}
{' No': -4.356839, ' ': -8.89266, 'No': -9.186441, ' Yes': -0.014874475, 'Yes': -6.4302163}
{' No': -0.019263774, ' Yes': -4.282827, 'No': -5.289527, ' ': -8.587832, 'Yes': -10.396983}
{' ': -10.543965, ' Generally': -9.877866, ' Yes': -0.001670338, ' yes': -10.088155, 'Yes': -6.475915}
{' ': -9.707156, ' Generally': -9.931174, ' Yes': -0.0019320599, ' yes': -10.04791, 'Yes': -6.347354}
{' No': -0.06049006, ' ': -8.722126, 'No': -5.1696606, ' Yes': -2.9438422, 'Yes': -8.832009}
{' No': -0.0050249156, 'No': -5.4034014, ' Yes': -7.669314, ' ': -10.154122, 'Yes': -13.352819}
{' Yes': -0.0047481335, ' No': -5.8642693, 'Yes': -6.397768, ' ': -8.75, ' yes': -9.984201}
{' No': -3.8895268, ' ': -8.654888, 'No': -9.388176, ' Yes': -0.02237766, 'Yes': -6.5932546}
{' No': -7.5955625, ' ': -9.1602, ' Generally': -8.901594, ' Yes': -0.0021256895, 'Yes': -6.6339}
{' Yes': -0.14542647, ' No': -2.0211358, 'Yes': -6.5408955, 'No': -7.1810746, ' ': -7.8673687}
{' No': -0.23235916, ' ': -8.320406, 'No': -5.6069336, ' Yes': -1.5947669, 'Yes': -8.007603}
{' No': -6.6953435, ' ': -8.881611, ' Yes': -0.0027262357, ' yes': -9.824288, 'Yes': -6.6695313}
{' No': -3.400093, ' ': -8.487614, 'No': -9.128322, ' Yes': -0.035358503, 'Yes': -6.8966312}
{' No': -0.1953255, ' Generally': -4.7311835, 'No': -4.781961, ' Yes': -1.8455367, ' It': -6.9297843}
{' No': -0.008212661, ' ': -9.226356, ' Generally': -7.8615108, 'No': -4.9959044, ' Yes': -7.086645}
{' No': -0.099089056, ' Yes': -2.431025, 'No': -5.2555847, ' Generally': -7.496542, ' ': -7.842039}
{' No': -0.09150748, ' ': -8.141348, 'No': -5.9461827, ' Yes': -2.4720387, 'Yes': -9.07}
{' No': -8.600073, ' Generally': -6.185604, ' Yes': -0.0041223103, 'Yes': -6.456679, ' It': -9.071812}
{' Yes': -0.001384335, 'Yes': -6.760726, ' Generally': -9.398398, ' ': -9.590408, ' No': -10.281073}
{' No': -7.740364, ' ': -9.095325, ' Yes': -0.0017303432, ' yes': -10.068724, 'Yes': -6.7833347}
{' No': -4.346892, ' Generally': -7.2155094, 'No': -9.021135, ' Yes': -0.015734512, 'Yes': -6.4367375}
{' Yes': -0.050822508, ' No': -3.048583, 'Yes': -6.489026, 'No': -8.195292, ' ': -8.220424}
{' No': -0.006785698, ' ': -9.268434, 'No': -5.514615, ' Yes': -5.9395533, 'Yes': -12.141645}
{' ': -10.757591, ' Generally': -8.439972, ' Yes': -0.0024211688, ' yes': -9.922609, 'Yes': -6.161602}
{' ': -10.076761, ' Generally': -7.4429035, ' Yes': -0.0031030816, ' yes': -9.80903, 'Yes': -6.0460563}
{' No': -2.3613331, ' Generally': -7.182307, 'No': -6.5796385, ' Yes': -0.105714306, 'Yes': -5.6468306}
{' No': -0.063655525, ' Generally': -8.751874, 'No': -4.6812983, ' Yes': -2.9590375, 'Yes': -8.371757}
{' No': -8.411487, ' ': -9.506125, ' Yes': -0.0024449448, ' yes': -9.927318, 'Yes': -6.1886134}
{' No': -7.0243893, ' ': -9.838602, ' Yes': -0.0028099746, ' yes': -10.326443, 'Yes': -6.307814}
{' No': -9.528253, ' Generally': -7.1709733, ' Yes': -0.0024996211, ' yes': -9.697073, 'Yes': -6.4990697}
{' No': -4.984926, ' ': -9.1038265, ' Generally': -5.9665856, ' Yes': -0.0118926875, 'Yes': -6.182217}
{' Yes': -0.07244266, ' No': -2.7404857, ' Generally': -6.047929, 'Yes': -6.2028666, 'No': -7.4597163}
{' No': -8.760056, ' Generally': -8.580816, ' Yes': -0.0018385996, ' yes': -9.754484, 'Yes': -6.593025}
{' Yes': -0.0019479449, 'Yes': -6.5718856, ' No': -7.7498417, ' ': -9.570221, ' yes': -10.099928}
{' No': -0.8522346, ' Generally': -2.0525272, 'No': -4.959189, ' Yes': -0.9612358, ' It': -3.039393}
{' No': -0.042976156, ' Generally': -4.2429156, 'No': -4.538856, ' Yes': -4.2222037, ' It': -6.5937343}
{' No': -0.3641819, ' Generally': -4.4800186, 'No': -5.078232, ' Yes': -1.2508779, 'Yes': -7.345482}
{' Yes': -0.38570425, ' No': -1.1490462, 'No': -6.480806, 'Yes': -6.7952995, ' ': -7.847053}
{' Generally': -4.2861867, ' Typically': -8.768649, ' Yes': -0.017334923, 'Yes': -6.36154, ' It': -6.829136}
{' ': -10.09958, ' Generally': -5.777517, ' Yes': -0.0046458472, ' yes': -10.029109, 'Yes': -6.5894275}
{' No': -10.607189, ' ': -9.99395, ' Yes': -0.0013735922, ' yes': -10.236215, 'Yes': -6.674476}
{' No': -4.4622254, ' Generally': -4.3676057, 'No': -8.725321, ' Yes': -0.027098192, 'Yes': -6.272072}
{' No': -5.0154457, ' ': -9.307405, 'No': -9.674978, ' Yes': -0.008726494, 'Yes': -6.307169}
{' No': -0.017785262, ' ': -9.0926695, 'No': -5.22812, ' Yes': -4.4132967, 'Yes': -10.544667}
{' Generally': -7.361722, ' Yes': -0.0024215255, ' yes': -9.946958, 'Yes': -6.4257727, ' It': -9.792731}
{' No': -9.899961, ' Generally': -7.1239014, ' Yes': -0.003149541, ' yes': -9.768991, 'Yes': -6.160727}
{' No': -2.0670636, ' Generally': -6.200827, 'No': -6.641156, ' Yes': -0.14287513, 'Yes': -5.936942}
{' No': -0.035575703, ' Generally': -8.719833, 'No': -4.8549953, ' Yes': -3.6202142, 'Yes': -9.1490345}
{' No': -7.072357, ' Generally': -8.801235, ' Yes': -0.003000726, ' yes': -9.904312, 'Yes': -6.280169}
{' No': -6.162936, ' ': -10.028633, ' Yes': -0.0040025534, ' yes': -10.123836, 'Yes': -6.3292475}
{' No': -9.64021, ' Generally': -6.7853174, ' Yes': -0.0025230444, ' yes': -9.7593975, 'Yes': -6.755256}
{' Yes': -0.0050122156, ' Generally': -6.1008124, 'Yes': -6.563524, ' No': -6.7856245, ' yes': -9.776983}
{' No': -3.313015, ' Generally': -5.58135, 'No': -8.146912, ' Yes': -0.04357927, 'Yes': -6.3570614}
{' No': -8.30853, ' Generally': -8.316289, ' Yes': -0.0017025806, ' yes': -9.8786745, 'Yes': -6.8083615}
{' No': -7.835252, ' ': -10.2413645, ' Yes': -0.0015314742, ' yes': -10.122884, 'Yes': -6.856294}
{' No': -1.8235053, ' Generally': -2.3986585, 'No': -6.2130394, ' Yes': -0.32598308, ' It': -4.079365}
{' No': -0.077579364, ' Generally': -3.8057554, 'No': -4.758276, ' Yes': -3.2083051, ' It': -6.384037}
{' No': -1.0940313, ' Generally': -4.2747045, 'No': -6.059151, ' Yes': -0.43566224, 'Yes': -6.8282495}
{' No': -2.578059, ' ': -8.397551, 'No': -7.9369245, ' Yes': -0.08120799, 'Yes': -6.5729637}
{' Generally': -3.741287, ' Typically': -8.014461, ' Yes': -0.027929155, 'Yes': -6.6128516, ' It': -6.6274447}
{' Yes': -0.006104871, ' Generally': -5.353158, 'Yes': -6.773229, ' Typically': -10.039237, ' No': -10.107886}
{' No': -10.041863, ' ': -10.435687, ' Yes': -0.0013057287, ' yes': -10.262128, 'Yes': -6.7361574}
{' No': -5.283026, ' Generally': -4.8303075, ' Typically': -9.130613, ' Yes': -0.015103243, 'Yes': -6.51191}
{' No': -6.0814104, ' ': -10.329413, ' Yes': -0.0039398386, ' yes': -9.965728, 'Yes': -6.493623}
{' No': -0.022989696, ' ': -9.446249, ' Generally': -9.9824505, 'No': -5.237, ' Yes': -4.0621033}
{' Generally': -6.076989, ' Yes': -0.0060321274, ' yes': -8.923644, 'Yes': -5.9656396, ' It': -7.8346987}
{' Generally': -5.5268474, ' A': -8.159963, ' Yes': -0.008077398, 'Yes': -5.9008784, ' It': -8.164148}
{' No': -2.5114367, ' Generally': -4.078562, ' Yes': -0.11575533, 'Yes': -5.689985, ' It': -5.848287}
{' Yes': -0.5305991, ' No': -0.958654, ' Generally': -4.247155, 'No': -5.4693904, ' A': -5.7391634}
{' No': -7.5904903, ' Generally': -6.784512, ' A': -8.24312, ' Yes': -0.0050514545, 'Yes': -5.9185467}
{' No': -5.838987, ' ': -8.914375, ' Yes': -0.006181754, ' yes': -8.865963, 'Yes': -5.9208364}
{' Yes': -0.005129156, ' Generally': -5.9321485, 'Yes': -6.353815, ' yes': -8.708347, ' A': -8.9839115}
{' Generally': -5.3529286, ' Yes': -0.008081904, ' yes': -8.706924, 'Yes': -6.1793866, ' It': -8.589217}
{' No': -6.987497, ' Generally': -5.4901958, ' A': -8.067206, ' Yes': -0.0082908515, 'Yes': -6.1814284}
{' ': -9.065292, ' Generally': -7.2296867, ' Yes': -0.0030612282, ' yes': -8.688052, 'Yes': -6.344059}
{' No': -8.705335, ' ': -9.053332, ' Yes': -0.0021949215, ' yes': -8.7064295, 'Yes': -6.413383}
{' Yes': -0.3133469, ' Generally': -1.977007, ' It': -2.9163494, ' No': -3.0239465, ' That': -5.257942}
{' Yes': -0.27729157, ' No': -2.2186482, ' Generally': -2.323888, ' It': -4.2071276, ' A': -5.353858}
{' No': -2.837841, ' Generally': -4.1281643, ' A': -6.629755, ' Yes': -0.083784156, 'Yes': -6.2297134}
{' No': -2.7020571, ' ': -7.6750255, 'No': -7.58083, ' Yes': -0.073494256, 'Yes': -6.2107773}
{' Generally': -3.8224244, ' Typically': -7.518692, ' Yes': -0.027746767, 'Yes': -6.2865276, ' It': -6.707716}
{' ': -9.106262, ' Generally': -5.354454, ' A': -8.469896, ' Yes': -0.007309124, 'Yes': -6.2919507}
{' ': -9.032684, ' Generally': -9.485671, ' Yes': -0.0023466034, ' yes': -9.064154, 'Yes': -6.277445}
{' No': -6.6792626, ' Generally': -5.3243775, ' A': -8.417158, ' Yes': -0.009142117, 'Yes': -6.1924376}
{' No': -6.7445946, ' Generally': -9.235266, ' Yes': -0.0034830638, ' yes': -9.001209, 'Yes': -6.2701015}
{' No': -0.2241606, 'No': -5.243608, ' A': -7.310977, ' Yes': -1.6420454, 'Yes': -7.6775613}
{' Generally': -6.8715153, ' Yes': -0.0035020239, ' yes': -9.736405, 'Yes': -6.0898147, ' It': -10.103742}
{' Generally': -5.65618, ' Typically': -9.327573, ' Yes': -0.0069763088, ' yes': -9.52209, 'Yes': -5.7876062}
{' No': -1.2005367, ' Generally': -3.8552606, 'No': -4.9511867, ' Yes': -0.41093242, 'Yes': -5.527216}
{' No': -0.06787039, ' Generally': -6.190217, 'No': -4.243203, ' Yes': -3.0282278, 'Yes': -8.07109}
{' No': -5.4523463, ' ': -9.364501, ' Generally': -6.2475276, ' Yes': -0.009351588, 'Yes': -5.909324}
{' No': -5.5764194, ' ': -9.881691, ' Yes': -0.0064720716, ' yes': -9.974596, 'Yes': -5.9970284}
{' Generally': -5.5439234, ' Typically': -9.329686, ' Yes': -0.005917901, ' yes': -9.353566, 'Yes': -6.4359117}
{' No': -5.841924, ' Generally': -4.8158584, ' Typically': -8.773013, ' Yes': -0.013622049, 'Yes': -6.2189555}
{' No': -2.78519, ' Generally': -4.3913913, 'No': -7.2310576, ' Yes': -0.081352, 'Yes': -6.065007}
{' No': -7.914285, ' Generally': -7.23223, ' Yes': -0.0025840565, ' yes': -9.565233, 'Yes': -6.630968}
{' No': -4.019334, ' ': -9.173994, 'No': -9.185304, ' Yes': -0.019787634, 'Yes': -6.6053967}
{' No': -1.049202, ' Generally': -1.6606066, 'No': -4.9797974, ' Yes': -0.8605881, ' It': -4.0811424}
{' No': -0.08655601, ' Generally': -3.1656954, 'No': -4.275006, ' Yes': -3.8266513, ' It': -6.179922}
{' No': -0.3057245, ' Generally': -3.3353474, 'No': -4.8122053, ' A': -7.3926535, ' Yes': -1.5284703}
{' No': -0.546481, ' ': -8.189679, 'No': -5.3707724, ' Yes': -0.8797291, 'Yes': -6.9647775}
{' Generally': -3.5152307, ' Typically': -7.8493505, ' Yes': -0.034155414, 'Yes': -6.4581985, ' It': -6.9172616}
{' ': -9.870113, ' Generally': -4.772566, ' Typically': -9.182122, ' Yes': -0.010162457, 'Yes': -6.6427093}
{' No': -9.460373, ' ': -10.058934, ' Yes': -0.0018016393, ' yes': -10.049676, 'Yes': -6.4468102}
{' No': -4.7085667, ' Generally': -4.179123, ' Typically': -8.096555, ' Yes': -0.027612694, 'Yes': -6.283262}
{' No': -3.971487, ' Generally': -8.528147, 'No': -8.385239, ' Yes': -0.021755584, 'Yes': -6.1786194}
{' No': -0.009006305, ' ': -9.425412, ' Generally': -10.358012, 'No': -4.8807964, ' Yes': -6.7003355}
{' ': -11.028043, ' Generally': -9.010985, ' Yes': -0.0027423138, ' yes': -9.825202, 'Yes': -5.9793463}
{' ': -10.030486, ' Generally': -9.21169, ' Yes': -0.0036558795, ' yes': -9.522826, 'Yes': -5.6812353}
{' Yes': -0.011961151, ' No': -5.0068283, 'Yes': -5.3585186, ' ': -8.752976, 'No': -8.8906765}
{' No': -2.02337, ' ': -8.409545, 'No': -6.281112, ' Yes': -0.14896527, 'Yes': -5.5585165}
{' No': -9.211988, ' ': -9.555995, ' Yes': -0.0027992746, ' yes': -9.56688, 'Yes': -5.9786496}
{' No': -8.359551, ' ': -9.285974, ' Yes': -0.0033676897, ' yes': -9.49767, 'Yes': -5.826197}
{' Yes': -0.0023593279, 'Yes': -6.176065, ' Generally': -9.068078, ' yes': -9.414961, ' ': -9.912024}
{' No': -8.24837, ' ': -9.436015, ' Generally': -9.080671, ' Yes': -0.0029065718, 'Yes': -6.0502987}
{' Yes': -0.007989193, ' No': -5.3703756, 'Yes': -5.887311, ' Generally': -8.546901, ' ': -8.818574}
{' Yes': -0.001995065, 'Yes': -6.329548, ' yes': -9.532051, ' No': -9.729954, ' ': -9.776627}
{' Yes': -0.0024563589, 'Yes': -6.1942587, ' No': -8.312503, ' ': -9.291072, ' yes': -9.641887}
{' No': -1.7465104, ' Generally': -3.8552558, 'No': -5.7754636, ' Yes': -0.22884639, 'Yes': -5.966786}
{' No': -0.21609613, ' Generally': -4.4822726, 'No': -4.3125753, ' Yes': -1.7894907, 'Yes': -7.164224}
{' No': -1.6874037, ' Generally': -6.4603305, 'No': -6.2300205, ' Yes': -0.21213451, 'Yes': -6.2230277}
{' Yes': -0.097764924, ' No': -2.4174976, 'Yes': -5.9760227, 'No': -7.136156, ' ': -7.505495}
{' Generally': -5.1003623, ' Typically': -9.446871, ' Yes': -0.008842065, 'Yes': -6.2059803, ' It': -8.21893}
{' ': -10.058104, ' Generally': -7.7920775, ' Yes': -0.0021512543, ' yes': -9.890054, 'Yes': -6.4391546}
{' No': -10.604304, ' ': -9.823741, ' Yes': -0.0020951063, ' yes': -9.811177, 'Yes': -6.238566}
{' No': -5.677349, ' Generally': -6.77099, ' Yes': -0.006670364, ' yes': -9.597372, 'Yes': -6.2942734}
{' No': -6.222908, ' ': -9.269217, ' Yes': -0.004356775, ' yes': -9.725477, 'Yes': -6.129455}
{' No': -0.14377137, ' ': -7.785225, 'No': -5.101796, ' Yes': -2.0632565, 'Yes': -8.012982}
{' ': -11.201708, ' Generally': -8.826405, ' Yes': -0.0013657723, ' yes': -10.380064, 'Yes': -6.761137}
{' Yes': -0.0017596019, 'Yes': -6.448099, ' Generally': -9.378165, ' yes': -10.364052, ' ': -10.544834}
{' No': -0.5367665, ' Generally': -7.9754643, 'No': -5.436791, ' Yes': -0.8928095, 'Yes': -6.9599614}
{' No': -0.010719891, ' ': -10.433897, 'No': -5.1846313, ' Yes': -5.2988286, 'Yes': -11.101084}
{' No': -7.564696, ' ': -9.998002, ' Yes': -0.0020664372, ' yes': -10.374318, 'Yes': -6.5405607}
{' Yes': -0.0056623295, ' No': -5.4441333, 'Yes': -6.7082047, ' ': -9.829087, ' yes': -10.559114}
{' Yes': -0.0012083926, 'Yes': -6.9066114, ' Generally': -9.236674, ' yes': -10.238761, ' ': -10.291396}
{' No': -5.8372097, ' ': -9.6881275, ' Generally': -8.7040825, ' Yes': -0.0043990416, 'Yes': -6.7433243}
{' No': -2.444245, ' Generally': -7.8980055, 'No': -7.6655145, ' Yes': -0.09334253, 'Yes': -6.667912}
{' No': -8.813144, ' ': -10.25563, ' Yes': -0.0011951445, ' yes': -10.172725, 'Yes': -6.9585543}
{' No': -6.056915, ' ': -9.358255, ' Yes': -0.0035152435, ' yes': -10.267094, 'Yes': -6.874904}
{' No': -0.13537753, ' Generally': -4.2011585, 'No': -4.944286, ' Yes': -2.2774446, ' It': -7.151332}
{' No': -0.011180464, ' ': -9.678138, ' Generally': -6.8506765, 'No': -4.980556, ' Yes': -5.805412}
{' No': -0.24832962, ' Yes': -1.5404228, 'No': -5.528172, ' Generally': -6.8561745, 'Yes': -8.114574}
{' No': -0.22084068, ' Yes': -1.6348861, 'No': -5.949373, ' ': -8.170567, 'Yes': -8.228989}
{' Yes': -0.009724199, ' Generally': -4.9208646, 'Yes': -6.7687016, ' No': -7.210343, ' It': -8.412512}
{' No': -9.351734, ' ': -10.3844, ' Generally': -7.9287343, ' Yes': -0.0013496557, 'Yes': -7.0909014}
{' No': -8.325288, ' ': -9.909109, ' Yes': -0.0013169494, ' yes': -10.5615835, 'Yes': -6.914544}
{' No': -4.5305257, ' Generally': -6.846612, 'No': -9.504456, ' Yes': -0.013214886, 'Yes': -6.812783}
{' No': -4.014209, ' ': -9.248469, 'No': -9.27629, ' Yes': -0.019677177, 'Yes': -6.725255}
{' No': -0.007266015, ' ': -9.34304, 'No': -5.516124, ' Yes': -5.7698154, 'Yes': -11.975685}
{' Generally': -7.2841845, ' Yes': -0.0023438542, ' yes': -9.966304, 'Yes': -6.5052347, ' It': -10.269637}
{' No': -9.519913, ' ': -9.880451, ' Generally': -6.5021915, ' Yes': -0.0035824773, 'Yes': -6.3279614}
{' No': -0.06927836, ' Generally': -6.5457683, 'No': -4.754461, ' Yes': -2.8758655, 'Yes': -8.573398}
{' No': -0.00728829, ' ': -10.600588, ' Generally': -10.23838, 'No': -5.072516, ' Yes': -6.993879}
{' Yes': -0.0044836383, ' No': -5.964293, 'Yes': -6.5010214, ' Generally': -8.353257, ' ': -9.482842}
