{' No': -0.005300159, 'No': -5.3742537, ' Yes': -7.407945, ' ': -10.08948, 'Yes': -13.439017}
{' No': -0.0063513764, ' ': -9.445371, 'No': -5.2000923, ' A': -12.50368, ' Yes': -7.2316966}
{' No': -0.0054592625, ' ': -9.892181, ' Generally': -12.732961, 'No': -5.225313, ' Yes': -11.851516}
{' No': -0.006679604, ' ': -10.201087, ' Generally': -9.226537, 'No': -5.0364547, ' Yes': -11.692748}
{' No': -0.012216106, ' ': -9.997775, ' Generally': -9.504434, 'No': -5.1525435, ' Yes': -5.086177}
{' No': -0.008870989, ' ': -9.995795, ' Generally': -10.8151865, 'No': -4.7393317, ' Yes': -11.210874}
{' No': -0.0085301995, ' ': -10.239889, ' Generally': -9.48935, 'No': -4.7850537, ' Yes': -11.183688}
{' No': -0.010994775, ' ': -9.527134, ' Generally': -10.518065, 'No': -4.9336114, ' Yes': -5.6271157}
{' No': -0.24966697, ' Generally': -4.1311975, 'No': -4.6720285, ' A': -6.7045274, ' Yes': -1.6459873}
{' No': -1.4025531, ' Generally': -8.525228, 'No': -6.269692, ' Yes': -0.28759515, 'Yes': -6.5282426}
{' Yes': -0.0014791829, 'Yes': -6.824837, ' Generally': -8.017048, ' yes': -10.404705, ' ': -10.981414}
{' No': -0.0050434265, ' ': -9.810373, 'No': -5.3649373, ' A': -13.358506, ' Yes': -8.140627}
{' No': -0.0046362663, ' ': -10.19984, ' Generally': -13.483951, 'No': -5.3861156, ' Yes': -12.559017}
{' No': -0.0056859488, ' ': -10.548238, ' Generally': -9.963263, 'No': -5.1882534, ' A': -12.5540695}
{' No': -0.0074191256, ' ': -10.526179, ' Generally': -10.27983, 'No': -5.3382025, ' Yes': -5.9904737}
{' No': -0.00767172, ' ': -10.249212, ' Generally': -11.008717, 'No': -4.8828664, ' Yes': -11.595895}
{' No': -0.007306362, ' ': -10.60759, ' Generally': -9.836634, 'No': -4.9359903, ' Yes': -11.812229}
{' No': -0.007861224, ' ': -10.048471, ' Generally': -11.028096, 'No': -5.086171, ' Yes': -6.4529943}
{' No': -0.18091427, ' Generally': -4.8953667, 'No': -4.763338, ' A': -7.2446175, ' Yes': -1.9114975}
{' Yes': -0.41529787, ' No': -1.0910373, 'No': -6.0679846, 'Yes': -6.709935, ' Generally': -8.732657}
{' ': -11.255889, ' Generally': -8.035867, ' Yes': -0.0013045958, ' yes': -10.611947, 'Yes': -6.9838195}
{' No': -0.005748534, 'No': -5.2606673, ' Yes': -7.614946, ' ': -10.366451, ' Generally': -11.859561}
{' No': -0.0057566855, ' ': -10.379358, ' Generally': -10.983333, 'No': -5.1732235, ' Yes': -11.192618}
{' No': -0.0065389043, ' ': -10.867682, ' Generally': -8.165261, 'No': -5.091076, ' A': -10.76648}
{' No': -0.014407179, ' Generally': -7.97004, 'No': -5.180444, ' A': -8.621319, ' Yes': -4.8187704}
{' An': -10.573417, ' No': -0.009391959, ' ': -10.304402, ' Generally': -8.914026, 'No': -4.6959267}
{' An': -10.8052225, ' No': -0.008448748, ' ': -10.823752, ' Generally': -8.4281435, 'No': -4.8135347}
{' An': -9.737067, ' No': -0.008719161, ' Generally': -10.056419, 'No': -4.955561, ' Yes': -6.504191}
{' No': -0.15698539, ' Yes': -2.2919054, ' Generally': -3.575963, 'No': -4.5085287, ' A': -5.763591}
{' No': -0.8153246, 'No': -5.682096, ' A': -7.608077, ' Yes': -0.5941713, 'Yes': -6.921525}
{' Generally': -7.143222, ' Typically': -11.127609, ' Yes': -0.0017791266, ' yes': -10.192374, 'Yes': -7.0016932}
{' No': -0.008712185, ' ': -9.892583, ' Generally': -12.449589, 'No': -4.812816, ' Yes': -7.6250963}
{' No': -0.009331734, ' ': -9.960243, ' Generally': -12.511042, 'No': -4.685889, ' Yes': -11.959631}
{' No': -0.008039002, ' ': -10.388115, ' Generally': -9.146844, 'No': -4.848178, ' Yes': -11.8341255}
{' No': -0.01025531, ' ': -10.363309, ' Generally': -9.7279415, 'No': -4.7350607, ' Yes': -6.6459966}
{' No': -0.014107053, ' ': -10.28448, ' Generally': -9.429848, 'No': -4.280258, ' Yes': -10.52341}
{' No': -0.0117419055, ' ': -10.791733, ' Generally': -9.066675, 'No': -4.466278, ' Yes': -10.644171}
{' No': -0.014192355, ' ': -10.16253, ' Generally': -10.737943, 'No': -4.567619, ' Yes': -5.622232}
{' No': -0.27498424, ' Yes': -1.5847242, ' Generally': -3.8885627, 'No': -4.444786, ' A': -6.481033}
{' No': -1.5098355, ' Generally': -8.263957, 'No': -5.959935, ' Yes': -0.25616387, 'Yes': -6.2764864}
{' Yes': -0.002022298, 'Yes': -6.5342774, ' Generally': -7.615927, ' yes': -9.944109, ' ': -11.468748}
{' No': -0.012796296, ' ': -8.577894, 'No': -4.8915157, ' Yes': -5.3048744, 'Yes': -10.831973}
{' No': -0.009629167, ' ': -8.76165, 'No': -4.6799817, ' A': -11.497743, ' Yes': -9.050329}
{' No': -0.008956326, 'No': -4.743539, ' Generally': -9.316607, ' ': -9.423955, ' A': -11.3856}
{' No': -0.019219905, ' ': -8.694472, ' Generally': -9.166497, 'No': -4.865257, ' Yes': -4.518497}
{' No': -0.011767959, 'No': -4.465591, ' ': -9.421252, ' Generally': -9.600839, ' Yes': -10.648601}
{' No': -0.01072459, ' ': -9.796354, ' Generally': -9.925515, 'No': -4.5527396, ' Yes': -11.814471}
{' No': -0.019747147, ' ': -8.971267, 'No': -4.751734, ' Yes': -4.537234, 'Yes': -10.137047}
{' No': -0.5785647, ' Generally': -4.3484926, 'No': -4.7542677, ' A': -6.099601, ' Yes': -0.8853751}
{' No': -3.6698565, ' ': -8.608533, 'No': -8.077674, ' Yes': -0.029206635, 'Yes': -5.969089}
{' ': -11.06919, ' Generally': -7.810378, ' Yes': -0.001906678, ' yes': -9.561128, 'Yes': -6.578248}
{' No': -0.0074872826, 'No': -5.3019, ' Yes': -6.0512147, ' ': -9.580055, ' Generally': -10.63371}
{' No': -0.0057433182, ' ': -9.940695, ' Generally': -10.276976, 'No': -5.1880417, ' Yes': -10.029657}
{' No': -0.006236753, 'No': -5.147142, ' Generally': -8.121169, ' ': -10.41517, ' A': -10.664855}
{' No': -0.015475031, ' Generally': -7.9370217, 'No': -5.1573567, ' A': -8.526542, ' Yes': -4.7200303}
{' An': -10.367194, ' No': -0.009106449, ' ': -9.775108, ' Generally': -9.022012, 'No': -4.7316747}
{' An': -10.786584, ' No': -0.008353476, ' ': -10.117004, ' Generally': -8.453603, 'No': -4.8282824}
{' An': -9.857418, ' No': -0.0085220225, ' ': -9.65146, 'No': -5.0337963, ' Yes': -6.3259296}
{' No': -0.27613762, ' Yes': -1.5567162, ' Generally': -4.0158567, 'No': -4.8023863, ' A': -6.0747466}
{' No': -0.68601966, ' Yes': -0.71195394, 'No': -5.6238456, 'Yes': -6.9676695, ' A': -7.6275415}
{' ': -10.896237, ' Generally': -7.417609, ' Yes': -0.0014777496, ' yes': -10.429671, 'Yes': -7.1382937}
{' No': -0.051839042, ' ': -8.409601, 'No': -5.204097, ' A': -8.726779, ' Yes': -3.1157844}
{' No': -0.0066754627, ' ': -8.766835, ' Generally': -9.146968, 'No': -5.1582613, ' Yes': -7.475089}
{' No': -0.007852033, ' Generally': -6.60938, 'No': -5.1083884, ' A': -9.214023, ' Yes': -9.117377}
{' No': -0.1243314, ' Generally': -5.61287, 'No': -5.064246, ' A': -6.368735, ' Yes': -2.26089}
{' An': -8.236143, ' No': -0.011060527, ' Generally': -7.0646477, 'No': -4.6578307, ' Yes': -8.583224}
{' An': -8.281234, ' No': -0.010755135, ' Generally': -6.4766626, 'No': -4.7669177, ' Yes': -8.84076}
{' No': -0.08402938, ' Yes': -2.6662931, 'No': -4.8232813, ' An': -6.638955, ' Generally': -6.8095827}
{' No': -0.4228675, ' Yes': -1.428292, ' Generally': -2.5525708, ' A': -4.4403653, 'No': -4.791674}
{' No': -3.345252, ' Generally': -6.9734793, ' A': -7.124917, ' Yes': -0.04061244, 'Yes': -6.172631}
{' Generally': -5.578089, ' Typically': -9.348025, ' Yes': -0.0051202304, ' yes': -9.657293, 'Yes': -6.8205814}
{' No': -0.008461971, ' ': -9.582391, 'No': -5.450055, ' A': -10.926902, ' Yes': -5.5179467}
{' No': -0.0039088456, ' ': -9.955817, ' Generally': -11.51823, 'No': -5.5784492, ' Yes': -9.790283}
{' No': -0.0044754343, ' ': -10.567529, ' Generally': -8.823815, 'No': -5.463164, ' Yes': -10.697938}
{' No': -0.018026534, ' Generally': -8.206697, 'No': -5.427511, ' A': -8.686222, ' Yes': -4.3482113}
{' No': -0.0070629236, 'No': -4.985365, ' Generally': -9.038615, ' ': -10.219453, ' Yes': -10.857934}
{' An': -11.3695755, ' No': -0.006703487, ' ': -10.688413, ' Generally': -8.473338, 'No': -5.0503926}
{' No': -0.009927712, ' ': -9.821265, ' Generally': -9.362801, 'No': -5.161966, ' Yes': -5.5362983}
{' No': -0.19037214, ' Generally': -3.7266765, 'No': -4.8397555, ' A': -5.872478, ' Yes': -1.988914}
{' No': -1.0819434, ' Generally': -7.2953024, 'No': -6.0930147, ' Yes': -0.42118058, 'Yes': -6.7725286}
{' Generally': -6.8350286, ' Typically': -10.352289, ' Yes': -0.00199817, ' yes': -10.231378, 'Yes': -7.1033163}
{' No': -0.006680984, ' ': -9.820609, 'No': -5.551408, ' A': -11.414769, ' Yes': -5.916181}
{' No': -0.0045212386, ' ': -9.417855, ' Generally': -10.920279, 'No': -5.4483285, ' Yes': -9.328924}
{' No': -0.005257855, 'No': -5.347249, ' Generally': -8.021875, ' Yes': -9.966836, ' ': -9.999261}
{' No': -0.13175905, ' Generally': -6.6394258, 'No': -5.448716, ' A': -6.9320226, ' Yes': -2.1509793}
{' An': -9.953551, ' No': -0.0071767997, ' ': -9.913972, ' Generally': -8.307515, 'No': -4.9993277}
{' No': -0.0067085875, 'No': -5.12439, ' Generally': -7.4895635, ' An': -9.898533, ' ': -10.107399}
{' An': -7.6626515, ' No': -0.034102745, ' Generally': -7.9965005, 'No': -5.167651, ' Yes': -3.6188118}
{' No': -0.6216545, ' Generally': -2.8900547, 'No': -5.1856556, ' A': -5.008108, ' Yes': -0.93865776}
{' Yes': -0.075014144, ' No': -2.6782398, 'Yes': -6.5043917, ' Generally': -7.215753, ' A': -7.391855}
{' Generally': -5.8392706, ' Typically': -9.493398, ' Yes': -0.003898373, ' yes': -9.92663, 'Yes': -7.137647}
{' No': -0.024930755, ' ': -9.142364, 'No': -5.488485, ' Yes': -3.898456, 'Yes': -10.116059}
{' No': -0.0044403505, ' ': -9.5066395, ' Generally': -11.022669, 'No': -5.6038623, ' Yes': -7.3585696}
{' No': -0.0048296438, ' ': -10.1489525, ' Generally': -8.256588, 'No': -5.4395943, ' Yes': -9.008936}
{' No': -0.2863219, ' Generally': -7.3118033, 'No': -5.6332283, ' A': -7.6039314, ' Yes': -1.4120219}
{' No': -0.00750704, ' ': -9.942401, ' Generally': -8.487628, 'No': -4.9492393, ' Yes': -9.498911}
{' No': -0.0064399755, ' ': -10.368795, ' Generally': -7.9833803, 'No': -5.134112, ' Yes': -9.31368}
{' No': -0.04154252, ' ': -9.3577, ' Generally': -8.817276, 'No': -5.203154, ' Yes': -3.3585935}
{' No': -1.1901684, ' Generally': -3.4694767, 'No': -5.8079224, ' A': -5.701902, ' Yes': -0.42309391}
{' No': -3.9311595, ' Generally': -8.450318, ' A': -8.673817, ' Yes': -0.02215539, 'Yes': -6.4348583}
{' Yes': -0.0021114144, ' Generally': -6.76667, 'Yes': -7.073314, ' yes': -10.157583, ' Typically': -10.266475}
{' No': -1.0092794, 'No': -6.2336597, ' A': -7.9968925, ' Yes': -0.45949945, 'Yes': -6.781162}
{' No': -0.01981378, ' ': -8.744157, ' Generally': -8.62018, 'No': -5.286598, ' Yes': -4.2690296}
{' No': -0.0103861755, ' Generally': -5.942811, 'No': -5.2569604, ' A': -8.231856, ' Yes': -6.265795}
{' Yes': -0.13406372, ' No': -2.1450787, ' Generally': -5.7754173, ' A': -6.00625, 'Yes': -6.5230765}
{' No': -0.009477944, 'No': -4.8226566, ' Generally': -7.3257027, ' An': -8.041136, ' Yes': -8.314351}
{' An': -8.20519, ' No': -0.009927232, ' Generally': -6.3128214, 'No': -4.939435, ' Yes': -7.991629}
{' An': -6.3261805, ' No': -0.5303472, ' Generally': -7.036279, 'No': -5.456172, ' Yes': -0.9077505}
{' Yes': -0.19843851, ' No': -2.1569479, ' Generally': -3.0145798, ' A': -4.7867885, 'Yes': -6.1760225}
{' No': -5.217247, ' Generally': -8.167538, ' A': -7.720386, ' Yes': -0.008299085, 'Yes': -6.289028}
{' Generally': -5.6319737, ' Typically': -9.413656, ' Yes': -0.0048510265, ' yes': -9.559628, 'Yes': -6.908884}
{' No': -0.011450594, ' ': -9.711331, ' Generally': -9.350081, 'No': -5.421326, ' Yes': -5.000178}
{' No': -0.0047717295, ' ': -10.054076, ' Generally': -9.947776, 'No': -5.4245257, ' Yes': -8.369596}
{' No': -0.005863701, ' Generally': -7.053658, 'No': -5.3426933, ' A': -9.880709, ' Yes': -10.217583}
{' No': -0.053534254, ' Generally': -5.974007, 'No': -5.24351, ' A': -6.964339, ' Yes': -3.1476808}
{' An': -8.839878, ' No': -0.008171077, ' Generally': -7.432582, 'No': -4.9280415, ' Yes': -9.657675}
{' An': -9.136891, ' No': -0.007846686, ' ': -10.426508, ' Generally': -6.9549265, 'No': -5.021499}
{' No': -0.018683586, ' Yes': -4.5149183, 'No': -5.0382853, ' Generally': -7.5339346, ' An': -7.838157}
{' No': -0.7204661, ' Generally': -2.5626347, 'No': -5.2154856, ' A': -4.698556, ' Yes': -0.8776756}
{' Yes': -0.051344726, ' No': -3.0746028, 'Yes': -6.4134874, ' Generally': -6.9029675, ' A': -7.40202}
{' Generally': -5.7801266, ' Typically': -9.6130495, ' Yes': -0.0040682047, ' yes': -9.895955, 'Yes': -7.1415997}
{' No': -0.053252015, ' ': -8.159004, 'No': -4.9393277, ' Yes': -3.1216416, 'Yes': -8.879829}
{' No': -0.009132012, ' ': -8.6958685, ' Generally': -9.479457, 'No': -4.84687, ' Yes': -7.016007}
{' No': -0.008404925, ' Generally': -7.348901, 'No': -4.929206, ' A': -9.08196, ' Yes': -8.434603}
{' No': -0.3539387, ' Generally': -6.329398, 'No': -5.2349105, ' A': -6.3874407, ' Yes': -1.2449433}
{' An': -9.483026, ' No': -0.011653738, ' ': -9.481504, ' Generally': -8.103987, 'No': -4.507961}
{' No': -0.009716434, ' ': -9.714327, ' Generally': -8.303455, 'No': -4.68466, ' Yes': -9.832834}
{' An': -7.754636, ' No': -0.12419844, 'No': -4.7831163, ' Yes': -2.234172, 'Yes': -8.023559}
{' Yes': -0.15652448, ' No': -2.1959245, ' Generally': -3.8854616, ' A': -5.0042076, 'Yes': -5.900381}
{' No': -6.0050406, ' A': -8.127375, ' Yes': -0.004996102, ' yes': -9.026297, 'Yes': -6.27373}
{' Generally': -6.517988, ' Typically': -10.165523, ' Yes': -0.002807822, ' yes': -9.520679, 'Yes': -6.7502}
{' No': -0.013425517, ' ': -8.785462, 'No': -5.526935, ' Yes': -4.6932197, 'Yes': -10.910701}
{' No': -0.0042513576, 'No': -5.535148, ' Yes': -8.594672, ' ': -9.308221, ' Generally': -11.475395}
{' No': -0.0050382745, ' ': -9.586395, ' Generally': -8.415663, 'No': -5.3897524, ' Yes': -8.935844}
{' No': -0.029319009, ' Yes': -3.7397451, 'No': -5.4163313, ' Generally': -8.018971, ' A': -8.848271}
{' No': -0.008349331, 'No': -4.810593, ' ': -9.5497875, ' Generally': -9.700947, ' Yes': -10.785188}
{' No': -0.0069076447, 'No': -5.0047274, ' Generally': -9.462007, ' ': -9.696544, ' Yes': -10.653112}
{' No': -0.0068024998, ' ': -9.323206, ' Generally': -11.005414, 'No': -5.1971273, ' Yes': -6.790594}
{' No': -0.60774535, ' Generally': -3.663291, 'No': -5.1461935, ' A': -5.7821836, ' Yes': -0.87251025}
{' No': -1.2192945, 'No': -6.3522706, ' A': -8.427787, ' Yes': -0.35501006, 'Yes': -6.8809767}
{' Generally': -7.46286, ' Typically': -11.1224375, ' Yes': -0.00149327, ' yes': -10.314608, 'Yes': -7.0737414}
{' No': -0.025776004, ' ': -8.302008, 'No': -5.305006, ' Yes': -3.9069917, 'Yes': -9.933741}
{' No': -0.0051094475, ' ': -8.984611, 'No': -5.33228, ' A': -11.502357, ' Yes': -9.085225}
{' No': -0.0060085617, 'No': -5.200621, ' Generally': -8.323105, ' Yes': -9.342506, ' ': -9.344845}
{' No': -0.17359716, ' Generally': -7.2656016, 'No': -5.356842, ' A': -7.0253234, ' Yes': -1.8816164}
{' An': -10.808455, ' No': -0.008390142, ' ': -9.290345, ' Generally': -9.490228, 'No': -4.810846}
{' An': -11.324929, ' No': -0.0076038498, ' ': -9.671691, ' Generally': -9.203458, 'No': -4.910024}
{' An': -8.789482, ' No': -0.02245721, ' ': -8.683606, 'No': -5.0151286, ' Yes': -4.191818}
{' No': -0.756199, ' Generally': -3.7554111, 'No': -5.1857915, ' A': -4.993059, ' Yes': -0.7106477}
{' Yes': -0.024640594, ' No': -3.8358567, 'Yes': -6.383403, ' A': -7.570609, ' ': -8.707923}
{' Generally': -6.8425765, ' Typically': -10.548251, ' Yes': -0.0021755674, ' yes': -9.635026, 'Yes': -6.9333606}
{' No': -0.022683876, ' ': -8.706609, ' Generally': -9.860087, 'No': -5.431541, ' Yes': -4.0314937}
{' No': -0.004711599, 'No': -5.5228295, ' Yes': -7.5050125, ' ': -9.095446, ' Generally': -10.814243}
{' No': -0.0057293507, ' ': -9.604393, ' Generally': -7.54848, 'No': -5.3370624, ' Yes': -8.447476}
{' No': -0.24942134, ' Generally': -6.015506, 'No': -5.4782996, ' A': -6.8169947, ' Yes': -1.550464}
{' An': -9.900152, ' No': -0.007852694, ' ': -9.651316, ' Generally': -8.26906, 'No': -4.906529}
{' No': -0.0068862797, ' ': -9.796697, ' Generally': -7.921162, 'No': -5.0664315, ' Yes': -9.459712}
{' No': -0.018690145, ' Yes': -4.4428535, 'No': -5.0722938, ' Generally': -8.65036, ' An': -8.900618}
{' Yes': -0.46781942, ' No': -1.1661073, ' Generally': -3.1342888, ' A': -4.5873604, 'No': -5.6544375}
{' No': -4.381732, ' Generally': -8.200461, ' A': -7.7615957, ' Yes': -0.015284608, 'Yes': -6.4060044}
{' Generally': -6.51441, ' Typically': -10.138466, ' Yes': -0.0025099576, ' yes': -9.819783, 'Yes': -7.0224247}
{' No': -0.011226397, ' ': -8.537767, ' Generally': -10.424261, 'No': -5.2968764, ' Yes': -5.1340747}
{' No': -0.005219027, ' ': -9.034311, ' Generally': -11.197104, 'No': -5.31736, ' Yes': -8.792012}
{' No': -0.006876255, ' ': -9.413773, ' Generally': -7.656822, 'No': -5.091322, ' Yes': -9.388487}
{' No': -0.16639817, ' Yes': -1.9264345, 'No': -5.276086, ' Generally': -6.668651, ' A': -7.5720778}
{' An': -10.653511, ' No': -0.009516876, ' ': -9.452823, ' Generally': -8.972783, 'No': -4.686937}
{' An': -11.7286825, ' No': -0.0082568955, ' ': -9.720619, ' Generally': -8.950391, 'No': -4.827873}
{' No': -0.016506469, ' ': -8.80744, ' Generally': -9.3723755, 'No': -4.984907, ' Yes': -4.692276}
{' No': -0.8404218, ' Generally': -2.9484043, 'No': -5.040432, ' A': -4.7597294, ' Yes': -0.70187205}
{' No': -4.3734574, ' Generally': -8.4626255, ' A': -7.978331, ' Yes': -0.015454025, 'Yes': -6.3065305}
{' Generally': -6.6362963, ' Typically': -10.422822, ' Yes': -0.002524717, ' yes': -9.627864, 'Yes': -6.8349943}
{' No': -0.036742974, ' ': -8.391814, ' Generally': -8.967473, 'No': -5.090101, ' Yes': -3.5265958}
{' No': -0.007275261, ' ': -8.826234, ' Generally': -10.056597, 'No': -5.1921353, ' Yes': -6.5272903}
{' No': -0.008663063, ' ': -9.364929, ' Generally': -6.8476696, 'No': -4.972572, ' Yes': -7.8689017}
{' No': -0.5295744, ' Generally': -5.6140065, 'No': -5.4231806, ' A': -6.891532, ' Yes': -0.91534317}
{' An': -9.634456, ' No': -0.010770138, ' ': -9.45355, ' Generally': -7.8273, 'No': -4.5964956}
{' No': -0.010198345, ' ': -9.530757, ' Generally': -7.831382, 'No': -4.654054, ' Yes': -9.404052}
{' An': -8.419557, ' No': -0.046861306, ' Generally': -8.013925, 'No': -4.810825, ' Yes': -3.303947}
{' No': -1.6471199, ' Generally': -3.0470507, 'No': -5.9177723, ' A': -4.7722096, ' Yes': -0.29774714}
{' No': -5.296687, ' Generally': -8.411221, ' A': -8.085288, ' Yes': -0.007888081, 'Yes': -6.194623}
{' Yes': -0.0033214604, ' Generally': -6.207035, 'Yes': -6.789013, ' yes': -9.579758, ' Typically': -9.855206}
{' No': -0.0077810427, 'No': -5.2354403, ' Yes': -6.1319594, ' ': -8.96318, ' Generally': -9.575297}
{' No': -0.005842897, 'No': -5.188479, ' ': -9.193387, ' Generally': -9.849321, ' Yes': -10.057794}
{' No': -0.0067912196, 'No': -5.1520205, ' Generally': -7.232081, ' A': -9.51863, ' ': -9.539589}
{' No': -0.025039658, ' Generally': -6.3761916, 'No': -5.0643554, ' A': -7.230394, ' Yes': -4.159448}
{' No': -0.00998424, 'No': -4.669675, ' Generally': -7.9364743, ' An': -9.48103, ' ': -9.495229}
{' No': -0.008941772, 'No': -4.8176403, ' Generally': -7.42098, ' An': -9.456964, ' ': -9.788688}
{' An': -8.190262, ' No': -0.0154877445, ' Generally': -8.284508, 'No': -4.838711, ' Yes': -5.0008774}
{' No': -1.0641999, ' Generally': -2.5691724, 'No': -5.4204655, ' A': -4.0468273, ' Yes': -0.6008591}
{' No': -4.194489, ' Generally': -7.553475, ' A': -7.0831, ' Yes': -0.019070443, 'Yes': -6.2137914}
{' Generally': -6.049967, ' Typically': -9.885023, ' Yes': -0.0035615417, ' yes': -9.586697, 'Yes': -6.885277}
{' No': -0.012937398, ' ': -9.097157, ' Generally': -9.531011, 'No': -5.265468, ' Yes': -4.9014583}
{' No': -0.00566269, ' ': -9.387471, ' Generally': -9.720684, 'No': -5.253774, ' Yes': -8.371184}
{' No': -0.007029068, 'No': -5.145746, ' Generally': -6.971146, ' Yes': -9.707129, ' A': -9.715488}
{' No': -0.19409084, ' Generally': -5.5378428, 'No': -5.2010355, ' A': -6.238852, ' Yes': -1.8070458}
{' An': -9.27299, ' No': -0.009195415, ' ': -9.776944, ' Generally': -7.843269, 'No': -4.764822}
{' An': -9.38141, ' No': -0.008988563, ' ': -10.095148, ' Generally': -7.1775694, 'No': -4.833907}
{' An': -7.319733, ' No': -0.051943507, ' Generally': -7.39027, 'No': -4.933066, ' Yes': -3.1748319}
{' No': -1.6553179, ' Generally': -2.8661964, 'No': -6.0413895, ' A': -4.4646993, ' Yes': -0.31210974}
{' No': -4.683672, ' Generally': -7.7634125, ' A': -7.295624, ' Yes': -0.0125659425, 'Yes': -6.2933865}
{' Generally': -6.070364, ' Typically': -9.843258, ' Yes': -0.0033825224, ' yes': -9.787282, 'Yes': -6.9979424}
{' No': -0.23721208, ' Yes': -1.6026714, 'No': -4.779526, 'Yes': -7.312687, ' Generally': -8.284185}
{' No': -0.012881727, ' ': -9.245063, ' Generally': -8.912228, 'No': -4.4967074, ' Yes': -6.622909}
{' No': -0.01119662, ' Generally': -7.2382417, 'No': -4.61822, ' A': -9.356373, ' Yes': -8.067533}
{' Yes': -0.42585084, ' No': -1.0843592, 'No': -5.701936, ' Generally': -6.331586, 'Yes': -6.3467655}
{' An': -8.777538, ' No': -0.016680334, ' Generally': -7.3671494, 'No': -4.1872563, ' Yes': -7.8109455}
{' An': -9.257368, ' No': -0.015403664, ' Generally': -7.28684, 'No': -4.2476573, ' Yes': -9.535037}
{' No': -0.43015176, ' Yes': -1.0844009, 'No': -4.796071, 'Yes': -6.8400617, ' Generally': -6.9745913}
{' No': -2.5082452, ' Generally': -3.7882054, ' A': -5.8906794, ' Yes': -0.11994331, 'Yes': -5.807956}
{' No': -6.90116, ' Generally': -9.001665, ' A': -9.123708, ' Yes': -0.0035426992, 'Yes': -6.1498}
{' Generally': -6.3216596, ' Typically': -10.102175, ' Yes': -0.00326752, ' yes': -9.541632, 'Yes': -6.6353226}
{' No': -0.11005181, ' ': -7.0938826, 'No': -4.2496142, ' Yes': -2.4255369, 'Yes': -7.658313}
{' No': -0.016517619, ' ': -7.8135395, ' Generally': -9.070459, 'No': -4.235836, ' Yes': -6.6569858}
{' No': -0.013205828, ' ': -8.37287, ' Generally': -7.0227537, 'No': -4.481511, ' Yes': -7.6329184}
{' No': -0.43038768, ' Generally': -6.5661488, 'No': -4.708063, ' Yes': -1.0909806, 'Yes': -6.563215}
{' No': -0.025302978, ' ': -8.359434, ' Generally': -7.7916274, 'No': -3.7422142, ' Yes': -7.7615347}
{' An': -8.290459, ' No': -0.023584709, ' Generally': -6.7959747, 'No': -3.8516808, ' Yes': -7.8820877}
{' No': -0.5493301, ' Yes': -0.8986974, 'No': -4.480952, 'Yes': -6.2269273, ' An': -7.051327}
{' No': -1.3845006, ' Generally': -3.594101, 'No': -5.3906517, ' A': -5.3534756, ' Yes': -0.3470632}
{' No': -4.123799, ' ': -7.991454, ' Generally': -7.773083, ' Yes': -0.020825291, 'Yes': -5.841834}
{' ': -9.884516, ' Generally': -6.8246765, ' Yes': -0.0032032365, ' yes': -9.275251, 'Yes': -6.2587433}
{' No': -0.03471978, ' ': -8.730396, 'No': -4.9477215, ' Yes': -3.622454, 'Yes': -9.5173855}
{' No': -0.008164108, ' ': -8.575518, ' Generally': -9.86953, 'No': -4.9596887, ' Yes': -7.095028}
{' No': -0.008347465, ' ': -9.263128, ' Generally': -7.555823, 'No': -4.9098134, ' Yes': -8.442549}
{' No': -0.42103136, ' Generally': -6.967156, 'No': -5.368165, ' Yes': -1.0902838, 'Yes': -7.2077684}
{' No': -0.011802576, ' ': -9.106095, ' Generally': -8.02046, 'No': -4.499536, ' Yes': -9.417504}
{' An': -9.802983, ' No': -0.011230196, ' ': -9.757943, ' Generally': -7.8461676, 'No': -4.5488353}
{' An': -8.174871, ' No': -0.23493966, 'No': -4.843895, ' Yes': -1.6088847, 'Yes': -7.5014873}
{' No': -0.9743825, ' Generally': -3.2494202, 'No': -5.2705765, ' A': -5.000244, ' Yes': -0.5686017}
{' No': -5.3144274, ' Generally': -8.672345, ' A': -8.875232, ' Yes': -0.0074933483, 'Yes': -6.231358}
{' Yes': -0.002450743, 'Yes': -6.7516875, ' Generally': -6.768199, ' yes': -9.570423, ' Typically': -10.589307}
{' No': -0.082518175, ' ': -9.002073, 'No': -5.161942, ' Yes': -2.617468, 'Yes': -8.711527}
{' No': -0.0075064395, ' ': -9.515431, ' Generally': -10.221244, 'No': -5.1204348, ' Yes': -6.6069956}
{' No': -0.006671384, 'No': -5.1964583, ' Generally': -7.379096, ' Yes': -8.103379, ' A': -9.633817}
{' No': -0.2687025, ' Yes': -1.4796458, 'No': -5.29037, ' Generally': -6.6550794, ' A': -7.097291}
{' An': -8.545975, ' No': -0.011795037, ' Generally': -7.133142, 'No': -4.5645328, ' Yes': -8.703493}
{' An': -9.412648, ' No': -0.010421472, ' ': -10.261062, ' Generally': -7.1785007, 'No': -4.6711497}
{' An': -7.348811, ' No': -0.2977042, ' Generally': -6.929805, 'No': -5.0464015, ' Yes': -1.392362}
{' No': -1.0961353, ' Generally': -2.7417936, 'No': -5.4017973, ' A': -4.793338, ' Yes': -0.5426514}
{' No': -6.3039656, ' Generally': -8.428885, ' A': -8.806142, ' Yes': -0.0042014965, 'Yes': -6.3093615}
{' Generally': -6.1531506, ' Typically': -9.934428, ' Yes': -0.0032736794, ' yes': -9.737733, 'Yes': -6.9150925}
