{':': -2.9423916, ' 1': -2.9849327, ' odd': -1.7180533, ' 0': -2.0141978, ' even': -0.94109094}
{' odd': -1.1813161, ' even': -1.7098815, ' 0': -2.1253555, ' 1': -2.3339229, '\n': -2.5434952}
{' even': -0.14516462, ' odd': -3.1739454, ' 0': -3.2742567, ' zero': -4.9125566, '\n': -5.2206182}
{'\n': -5.0189495, ' 1': -3.600896, ' odd': -0.55255705, ' 0': -3.3677425, ' even': -1.1819841}
{'\n': -4.5974526, ' odd': -4.2285476, ' 4': -4.5678988, ' 0': -2.071017, ' even': -0.2615421}
{' odd': -0.20351164, ' 0': -2.801552, ' even': -3.078312, ' 1': -3.4631777, ' zero': -5.197352}
{' ': -4.4302874, ':': -4.6893034, ' odd': -4.3123617, ' 0': -2.387886, ' even': -0.17645068}
{' odd': -0.86941177, ' 0': -1.5993645, ' 1': -1.7304394, ' even': -3.0372975, ' zero': -3.759886}
{' even': -0.060685046, ' 0': -3.6409223, ' Even': -4.4977994, ' ': -5.6738153, ' odd': -5.9524574}
{' odd': -0.30189615, ' 1': -2.5344133, ' even': -2.7423992, ' 0': -2.7799222, ' ': -4.5362253}
{' even': -0.6669631, ' odd': -2.0130858, ' an': -2.4062917, ' the': -2.954064, ' a': -3.5651793}
{' 0': -0.99330086, ' odd': -1.4098125, ' even': -1.8148636, ' 1': -2.1488242, ':': -3.5313478}
{' even': -0.5941774, ' 0': -1.4688178, ' odd': -3.0045648, ' Even': -3.499389, ':': -3.5659325}
{' odd': -0.266572, ' even': -2.8562126, ' 1': -3.1012754, ' 3': -3.3160646, ' 0': -3.8446808}
{' 0': -0.231089, ' even': -1.9186376, ' 4': -3.596659, ' zero': -4.7202773, ' 1': -5.205765}
{' Odd': -4.8533115, ' 1': -3.354626, ' odd': -0.20642035, ' 0': -3.758798, ' even': -2.2488418}
{':': -4.429789, ' 1': -3.6045337, ' odd': -3.4120898, ' 0': -1.0349633, ' even': -0.66018844}
{' 1': -4.359784, ' odd': -0.9689789, ' 0': -3.8315487, ' zero': -4.588976, ' even': -0.6456441}
{' even': -0.27663088, ' 0': -1.9868969, '\n': -3.960258, ':': -4.1422715, ' ': -4.1706457}
{' odd': -0.26976803, ' even': -1.8980554, ' 1': -3.2798247, ' 0': -4.1092787, ' Odd': -5.063856}
{' 1': -3.8131557, ' odd': -3.4142032, ' 0': -0.96417004, ' zero': -4.6967635, ' even': -0.6579376}
{'\n': -3.615541, ' 1': -1.9108111, ' odd': -0.519981, ' 0': -3.2095904, ' even': -2.2416377}
{' ': -5.2370954, ' an': -5.4872117, ' Even': -5.675137, ' 0': -5.0722394, ' even': -0.04415472}
{' Odd': -4.2137747, ' an': -3.9922426, ' 1': -2.7430716, ' odd': -0.22626594, ' even': -2.9949417}
{' ': -6.1622696, ' an': -7.550653, ' Even': -6.2628503, ' 0': -6.890832, ' even': -0.007840693}
{' 0': -0.71419585, ' odd': -1.3685949, ' 1': -2.0127568, ' even': -2.771671, ' zero': -4.9370065}
{' even': -0.27794057, ' 0': -2.01078, ' Even': -3.488201, ' odd': -3.8099132, ' EVEN': -4.4758916}
{' odd': -0.46343198, ' even': -1.7735764, ' 1': -3.0191426, ' Odd': -3.316552, '\n': -3.5692146}
{' Even': -4.8507113, ' 1': -5.1855836, ' odd': -3.7596438, ' 0': -2.8571157, ' even': -0.122517906}
{' ': -4.788085, ' 1': -0.08920769, ' one': -4.75554, ' odd': -3.31163, ' 0': -4.9850616}
{' an': -4.643362, ' Even': -4.408715, ' odd': -3.0949602, ' 0': -3.6378238, ' even': -0.176259}
{' odd': -0.17117544, ' 1': -3.0631652, ' even': -3.4398632, ' Odd': -3.6169763, ' 0': -4.0624065}
{' even': -0.15150371, ' 0': -3.2687416, '\n': -3.7740548, ' ': -3.8517275, ' odd': -4.665802}
{'\n': -4.035584, ' 1': -2.311262, ' odd': -0.34307545, ' 0': -3.5115352, ' even': -2.3279147}
{'\n': -4.293482, ' ': -3.400967, ' 1': -4.4705215, ' 0': -0.65237534, ' even': -0.97963923}
{' odd': -0.4258202, ' even': -2.1923454, ' 1': -2.4751623, ' 0': -2.8258855, ' Odd': -3.8986077}
{' even': -0.13093457, ' ': -3.7238538, ' odd': -3.734577, ' 0': -3.9041407, ' Even': -4.322296}
{' Odd': -3.8853366, ' ': -4.6611753, ' 1': -5.1679254, ' odd': -0.16910623, ' even': -2.2902677}
{' ': -4.888155, ':': -4.2288427, ' Even': -3.6603165, ' odd': -4.29748, ' even': -0.09975721}
{' odd': -0.22348042, ' 1': -2.405969, ' even': -3.3419647, ' 11': -3.865775, ' Odd': -4.3207226}
{' Even': -4.275809, ' odd': -3.7191684, ' 0': -2.249644, ' zero': -3.7083814, ' even': -0.27470484}
{' odd': -0.29025763, ' Odd': -2.3728552, ' even': -3.0150375, ' 1': -3.5989685, ' 0': -3.7634897}
{' ': -3.5387778, ' Even': -4.334055, ' 1': -5.1875634, ' 0': -2.0866983, ' even': -0.22822054}
{' 1': -2.878701, ' odd': -0.67965966, ' neither': -3.4473293, ' 0': -3.1948352, ' even': -1.5927045}
{' even': -0.3755968, ' 0': -1.876085, ' odd': -3.231363, '\n': -3.9328516, ' ': -4.2056255}
{' odd': -0.42032298, ' even': -1.6798359, ' 0': -3.2953227, ' 1': -3.5444179, ' none': -4.1050754}
{' ': -4.4568143, ' Even': -4.9223313, ' odd': -3.8234391, ' 0': -2.7899823, ' even': -0.14449745}
{' ': -4.377865, ' 1': -3.6882215, ' odd': -0.80060244, ' 0': -3.9661324, ' even': -0.83919954}
{' even': -0.07367344, ' Even': -4.7070036, ' odd': -4.8830853, ':': -4.934396, ' ': -4.9804726}
{' odd': -0.12904067, ' 3': -3.239108, ' Odd': -3.6789854, ' 1': -4.2565594, ':': -5.231762}
{' even': -0.11105831, ' odd': -3.6685193, ' an': -4.539746, ' 0': -4.564326, ' 8': -4.822115}
{' odd': -0.46372035, ' even': -2.011092, ' Odd': -2.607207, ' 1': -3.0877733, ' 0': -3.23896}
{' Even': -4.5226126, ' EVEN': -4.9776077, ' odd': -5.534416, ' 0': -4.376829, ' even': -0.049472135}
{'\n': -3.6271508, ' 1': -3.8709319, ' odd': -0.5727907, ' 0': -3.554502, ' even': -1.2222153}
{' an': -4.1505737, ' Even': -4.660488, ' odd': -3.929706, ' 4': -4.73699, ' even': -0.12265913}
{' odd': -0.5945362, ' even': -1.2079519, ' 0': -2.677527, ' 1': -3.8928099, ' zero': -4.4331417}
{' even': -0.30830818, ' 0': -1.5616527, ' odd': -4.2862334, ' ': -4.790868, ' zero': -5.3570533}
{' odd': -1.039356, ' 0': -1.3962305, ' even': -1.4754475, ' 1': -2.2015839, ' zero': -3.806192}
{' even': -0.086861774, ' 0': -3.4571018, ' ': -4.202874, ' Even': -4.7363734, '\n': -5.0423155}
{' odd': -0.26006186, ' even': -2.490605, ' 0': -2.9422364, ' 1': -3.1711183, ' Odd': -3.7113805}
{' even': -0.50261664, ' odd': -1.4865671, ' an': -3.4795012, ' the': -4.1202035, ' Odd': -4.5798984}
{':': -4.0943446, ' 1': -2.3641317, ' odd': -1.4973713, ' 0': -1.8785256, ' even': -0.8690183}
{':': -3.9949222, ' 1': -3.9333367, ' odd': -2.8926425, ' 0': -2.1103399, ' even': -0.390065}
{' Odd': -4.4152083, ' 1': -3.180884, ' odd': -0.072341606, ' 0': -5.905041, ' even': -5.5748343}
{' even': -0.814869, ' 0': -1.042205, ' odd': -2.6011572, ':': -3.6838684, ' 4': -3.9955237}
{' odd': -0.5004854, ' even': -1.466998, ' 0': -2.8948958, ' 1': -3.4465628, ' Odd': -4.140258}
{' an': -5.637931, ' 1': -4.960197, ' odd': -3.535824, ' 0': -3.757344, ' even': -0.0836544}
{' even': -0.69251406, ' odd': -1.2901379, ' 0': -2.6209521, ' 1': -3.1844745, ' zero': -3.2127242}
{' even': -0.1067126, ' 0': -3.5703995, ' 8': -4.2488413, ' ': -4.3531647, ':': -4.367428}
{' Odd': -4.23965, ' 1': -4.161344, ' odd': -0.28160375, ' 0': -3.1022496, ' even': -1.9036055}
{' 1': -4.4077315, ' odd': -4.8110676, ' 0': -1.1192468, ' zero': -4.438493, ' even': -0.4986643}
{' Odd': -3.6763391, ' 1': -2.6877, ' odd': -0.30167198, ' 0': -3.6416094, ' even': -2.4253635}
{' ': -5.3453426, ' an': -5.3402586, ' Even': -5.6644373, ' 0': -5.833597, ' even': -0.02918454}
{' Odd': -4.0431843, ' ': -5.2847414, ' 1': -4.761792, ' odd': -0.062397998, ' even': -4.3035536}
{'\n': -6.1109786, ' ': -5.0133452, ':': -5.9727507, ' odd': -6.2229943, ' even': -0.021139983}
{' Odd': -4.49429, ' 1': -3.4255135, ' odd': -0.56959766, ' 0': -1.9990152, ' even': -1.5107778}
{':': -4.6046185, ' Even': -2.3821902, ' EVEN': -4.716001, ' 0': -2.7175803, ' even': -0.23487632}
{'\n': -3.3741946, ' 1': -1.6374431, ' odd': -0.71207756, ' 0': -2.1143088, ' even': -2.8754725}
{' Even': -4.367323, ' 1': -5.3725734, ' odd': -3.2307172, ' 0': -3.7477834, ' even': -0.108552836}
{' 1': -0.6012966, ' one': -3.6752615, ' odd': -1.2740251, ' 0': -3.3742228, ' even': -3.851942}
{' even': -0.75423473, ' 0': -1.0529418, '\n': -3.8203354, ' ': -4.0656953, ':': -4.2116704}
{' Odd': -4.265895, ' 1': -2.8269718, ' odd': -0.31479055, ' 0': -4.248126, ' even': -1.9279497}
{' even': -0.2653955, ' 0': -2.6562626, ' ': -2.7380593, '\n': -3.4612534, ' Even': -4.2633953}
{' Odd': -4.1956816, ' 1': -1.2905254, ' odd': -0.7064733, ' 0': -2.28623, ' even': -3.6445503}
{' even': -0.72225314, ' 0': -0.9650385, ' ': -3.370064, ' Even': -3.9934254, ':': -4.4385605}
{' 1': -0.49632865, ' odd': -1.8082927, ' 0': -2.470816, ' even': -2.6481984, ' none': -4.0608683}
{' even': -0.099038504, ' Even': -3.3621075, ' ': -4.1573596, ':': -4.695911, ' EVEN': -4.8675423}
{' Odd': -4.0902004, ' ': -5.0323105, ' 1': -5.3272076, ' odd': -0.3824388, ' even': -1.3212311}
{' ': -5.2716036, ' Even': -3.6533794, ' EVEN': -5.564112, ' odd': -4.3599243, ' even': -0.0676881}
{' 1': -0.89578193, ' odd': -1.9050668, ' even': -2.0983586, '\n': -2.7591224, ' ': -2.8469977}
{' even': -0.7083907, ' odd': -1.6403852, ' 0': -2.522328, ' Even': -3.3245206, ':': -3.5238748}
{' odd': -0.866296, ' even': -1.3279964, ' 0': -2.8082411, ' Odd': -2.8582315, ' Even': -3.2191546}
{' even': -0.054976437, ' 0': -4.3601723, ' ': -4.5971627, ' Even': -4.7053714, ' odd': -5.275609}
{' odd': -0.8082866, ' even': -1.3191872, ' 0': -3.125837, ' 1': -3.1599634, ' none': -3.941144}
{' even': -0.38839495, ' 0': -1.5813481, ' ': -3.8348851, '\n': -3.9716842, ' odd': -4.187841}
{' odd': -0.6429382, ' even': -1.0700032, ' Odd': -3.1671243, ' none': -3.2455525, ' None': -4.408938}
{' even': -0.097184926, ' odd': -2.6662567, ' 0': -5.1236215, ' Even': -5.286774, ' ': -5.859466}
{' odd': -0.5943594, ' even': -1.1366359, ' 1': -2.80064, ' 0': -4.2375426, ' ': -4.834174}
{'\n': -4.393926, ' ': -4.29429, ' Even': -4.440304, ' odd': -4.9792824, ' even': -0.0881935}
{' odd': -0.22407162, ' even': -2.6770859, ' 1': -3.3796425, ' Odd': -3.8089237, ' 0': -4.6004353}
{' even': -0.28083158, ' odd': -2.7379906, ' an': -3.3426886, ' 8': -3.889294, ' not': -4.23665}
{' Odd': -4.3072634, ' 1': -1.4435732, ' odd': -0.97486234, ' 0': -1.6943496, ' even': -2.105222}
{' ': -5.0960965, ' odd': -4.7837806, ' 0': -3.2486491, ' zero': -4.425486, ' even': -0.11302812}
{' odd': -0.25206637, ' even': -2.1317174, ' 0': -3.8097377, ' 1': -3.8844678, '\n': -4.376706}
{' even': -0.3069324, ' 0': -1.8558263, ' odd': -4.133875, ' ': -4.338568, '\n': -4.476977}
{' 1': -2.6897957, ' odd': -0.692426, ' 0': -1.333481, ' zero': -3.6820366, ' even': -2.4266057}
{' ': -5.571869, ' Even': -3.9064417, ' odd': -4.575835, ' 0': -5.059643, ' even': -0.06028872}
{' odd': -0.8992222, ' even': -1.2856624, ' 0': -1.9720668, ' 1': -2.1499145, ' ': -4.0644403}
{' even': -0.059548147, ' 0': -3.615855, ' ': -5.46109, ' Even': -5.5881276, ' odd': -6.05668}
{' odd': -0.27855337, ' even': -2.446589, ' 0': -2.8919365, ' 1': -3.0356505, ' zero': -4.9689493}
{' even': -0.25372893, ' odd': -2.1564589, ' an': -3.5001812, ' 0': -4.579567, ' the': -4.753938}
{' even': -1.0844882, ' 0': -1.2982876, ' odd': -1.7236646, ' 1': -2.6939118, ':': -3.200971}
{' even': -0.35008276, ' 0': -1.6957991, ':': -3.3229516, ' odd': -4.4204745, ' zero': -4.6154075}
{' odd': -0.17095053, ' 1': -2.7544057, ' 0': -3.9436622, ' even': -3.9770284, ' 3': -3.9942536}
{' even': -0.4336592, ' odd': -1.8086582, ' 0': -2.973805, ' Even': -3.6170628, ' an': -3.6663067}
{' 1': -3.5686457, ' odd': -0.44215336, ' 0': -2.078917, ' zero': -3.6889079, ' even': -1.9741453}
{' 1': -3.834053, ' odd': -3.5271578, ' 0': -1.2687188, ' zero': -3.611702, ' even': -0.51507574}
{' even': -0.48050487, ' odd': -1.096712, ' 0': -5.028245, ' not': -5.136588, ' 1': -5.279285}
{' even': -0.058668625, ' 0': -3.9122128, ' ': -4.5101256, ':': -5.4837694, '\n': -5.5952373}
{' Odd': -3.6274738, ' 1': -3.9062736, ' odd': -0.25418848, ' 0': -3.2543087, ' even': -2.1316662}
{':': -5.992305, ' Even': -6.305933, ' 1': -6.4947267, ' 0': -2.5950716, ' even': -0.095102094}
{' Odd': -3.2752936, ' Even': -4.0381565, ' odd': -0.55055356, ' 0': -3.536055, ' even': -1.3501066}
{' even': -0.20564853, ' 0': -2.830925, ' 4': -3.731721, ' an': -4.3135576, ' Even': -4.580447}
{' Odd': -3.7913444, ' an': -3.8390956, ' "': -4.741488, ' odd': -0.17409582, ' even': -2.6414917}
{'\n': -5.4929075, ' ': -5.051751, ' Even': -5.1621614, ' 0': -5.5021315, ' even': -0.036277708}
{' odd': -0.6007304, ' 0': -1.8644843, ' 1': -2.0207658, ' even': -2.5286212, ' Odd': -3.698396}
{' even': -0.16063946, ' 0': -2.7181926, ' odd': -3.9745395, ' ': -4.507793, ' 1': -4.7840915}
{' Odd': -4.3302283, ' 1': -4.0020285, ' odd': -0.16803502, ' 0': -4.901447, ' even': -2.301164}
{' even': -0.06627454, ' 0': -3.460822, ' odd': -4.9316645, ' Even': -5.0442286, ' ': -5.3234982}
{' ': -4.999863, ' 1': -0.2491159, ' one': -4.0238123, ' odd': -1.9304265, ' even': -4.772435}
{' Even': -4.349361, ' EVEN': -4.5679064, ' odd': -3.7316525, ' 0': -2.5928128, ' even': -0.20186175}
{' odd': -0.23588133, ' 1': -2.2136567, ' even': -3.544572, ' ': -4.1156793, ' Odd': -4.3472323}
{' even': -0.055858564, ' ': -4.04087, ' 0': -4.5421433, ' Even': -5.368938, '\n': -5.659056}
{' odd': -0.42577446, ' 1': -1.8035476, ' 0': -2.8787515, ' even': -2.8829637, ' ': -4.1094255}
{'\n': -4.566322, ' ': -3.8069508, ' 1': -4.2632937, ' 0': -0.29747063, ' even': -1.7913051}
{' 1': -0.8500873, ' none': -2.9450886, ' odd': -1.6054881, ' 0': -2.0467732, ' even': -2.2950373}
{' even': -0.15761797, ' odd': -3.3452544, ' Even': -3.686626, ' ': -4.091572, ' EVEN': -4.1642227}
{' odd': -0.45642054, ' even': -1.3731734, '\n': -3.5650418, ' ': -3.7177851, ' Odd': -3.845426}
{' ': -5.210566, ':': -5.524629, ' Even': -5.485911, ' 0': -5.4827466, ' even': -0.034127846}
{' odd': -0.92515653, ' 1': -1.0525494, ' even': -2.5687435, ' ': -3.4317691, ' Odd': -3.7585487}
{' even': -0.50227374, ' 0': -2.158006, ' odd': -2.2828238, ':': -3.928966, '\n': -4.4427557}
{' Odd': -2.8805912, ' ': -3.3451495, ' 1': -2.593476, ' odd': -0.41712838, ' even': -2.4257066}
{' ': -4.4286795, ' 1': -3.9854212, ' 0': -0.37698933, ' zero': -4.2296476, ' even': -1.4371357}
{' odd': -1.0220908, ' even': -1.658428, ' 0': -2.347326, ' 1': -2.413766, '\n': -2.8010192}
{' even': -0.16431358, ' 0': -3.0749838, ' odd': -3.2261403, '\n': -4.7743597, ' ': -4.8095493}
{' Odd': -4.0150237, ' ': -4.3860683, ' 1': -4.2588825, ' odd': -0.35139048, ' even': -1.6038988}
{' even': -0.36259806, ' odd': -2.3306556, ' 0': -2.363214, '\n': -3.1968358, ' ': -4.0964093}
{' even': -0.63362473, ' odd': -1.0262525, ' ': -4.0916657, '\n': -4.3636007, ' none': -4.9943004}
{'\n': -4.4046435, ' ': -4.966109, ' odd': -5.190655, ' 0': -4.8551083, ' even': -0.060562056}
{' odd': -0.35370815, ' 1': -2.1294203, ' Odd': -3.243738, ' even': -3.2628956, ' 0': -3.7070484}
{'\n': -4.474408, ' an': -3.6461487, ' odd': -3.12965, ' 0': -3.8868058, ' even': -0.2542183}
{' Odd': -3.1743867, ' 1': -4.0491815, ' odd': -0.32218128, ' 0': -3.6536021, ' even': -1.8566508}
{' Even': -5.070841, ' 1': -5.1864824, ' odd': -4.130679, ' 0': -2.8013546, ' even': -0.1307061}
{' odd': -0.6759316, ' even': -0.9472996, ' 0': -3.602182, ' 1': -3.8140333, ' Odd': -4.066215}
{' even': -0.11368309, ' 0': -3.088362, '\n': -4.455017, ' ': -5.101674, ' odd': -5.112912}
{' 1': -3.1197948, ' odd': -0.5421299, ' 0': -1.5044749, ' zero': -3.6654112, ' even': -2.619263}
{' 0': -0.49876603, ' even': -1.2994348, ' 1': -3.8800936, ' ': -3.9884474, ' odd': -4.1437883}
{' 1': -1.5470101, ' odd': -1.4367883, ' 0': -0.99306655, ' zero': -4.2455316, ' even': -2.0142581}
{' ': -5.1448812, ' Even': -5.302765, ' odd': -5.7039003, ' 0': -4.4344883, ' even': -0.038024973}
{' Odd': -4.159266, ' 1': -3.0150847, ' odd': -0.40436906, ' 0': -2.7310913, ' even': -1.9555423}
{' a': -3.7983544, ' an': -1.8784012, ' not': -3.4773474, ' odd': -1.8435396, ' even': -0.80317044}
{' 0': -0.968688, ' even': -1.5925711, ' 1': -1.9470329, ' odd': -1.9870605, ':': -3.8474967}
{' even': -0.3899378, ' 0': -1.7924429, ' odd': -3.2080119, ' Even': -3.4549398, ':': -4.3563952}
{' 1': -0.5941078, ' 3': -4.184966, ' odd': -1.0319598, ' 0': -3.356968, ' even': -4.912257}
{' even': -0.13436352, ' 0': -3.161522, ' 4': -3.4829628, ' odd': -4.777081, ':': -4.9830284}
{' odd': -0.3604064, ' even': -1.3398557, ' 1': -4.2658343, ' 0': -4.848483, ' Odd': -4.9036503}
{' even': -0.28888333, ' 0': -2.2543678, ' odd': -2.7223625, ' zero': -4.244626, ' an': -4.4746523}
{' even': -0.52985394, ' odd': -1.2067062, ' zero': -4.3703337, ' ': -4.392126, ' 1': -4.4578295}
{' even': -0.5154061, ' 0': -1.2615561, ':': -3.9419055, ' odd': -4.1869006, ' Even': -4.455449}
{' odd': -0.8089794, ' even': -0.81152296, ' 0': -3.2432704, ' Odd': -4.265836, ' Even': -4.6641955}
{' 1': -3.4142356, ' odd': -3.0891275, ' 0': -1.5964469, ' zero': -4.583411, ' even': -0.40925205}
{' ': -3.2352889, ' 1': -2.427732, ' odd': -1.1926188, ' 0': -2.0654225, ' even': -1.0995097}
{' an': -4.806932, ' odd': -4.901548, ' 4': -5.4106193, ' 0': -4.4790025, ' even': -0.0685717}
{' an': -4.537017, ' 1': -3.4792185, ' odd': -0.1959429, ' 0': -4.798628, ' even': -2.622426}
{' ': -5.255394, ' an': -5.360933, ' odd': -4.18688, ' 0': -4.3012447, ' even': -0.054077648}
{' odd': -0.46635944, ' 0': -2.0501359, ' even': -2.3787863, ' 1': -3.0842705, ' Odd': -4.3068914}
{' even': -0.20153628, ' 0': -2.483495, ' odd': -2.910802, ' Even': -4.498396, ' ': -5.0340443}
{' odd': -0.49206766, ' even': -1.303347, ' 1': -3.3056211, '\n': -3.9230702, ' 0': -4.1647205}
{' even': -0.10775896, ' 0': -3.0180793, ' odd': -4.3934336, ' Even': -4.67053, ' 1': -5.2599707}
{' 1': -0.07011106, ' odd': -3.3911912, ' one': -5.2054048, ' ': -5.5090756, '\n': -5.7905297}
{' Even': -4.439162, ' EVEN': -4.2343326, ' odd': -3.1610951, ' 0': -3.618895, ' even': -0.1391169}
{' 1': -2.1791785, ' one': -4.694067, ' odd': -0.23996581, ' 0': -3.9669495, ' even': -3.5236437}
{' even': -0.16011305, ' 0': -2.8374727, ' ': -4.019895, '\n': -4.4158235, ' odd': -4.5077815}
{' odd': -0.41941583, ' 1': -1.6333156, ' 0': -3.4816117, ' even': -3.6103356, ' Odd': -3.9010167}
{' 0': -0.23478015, ' even': -1.9555147, ' ': -4.4339185, ' false': -4.685803, ' 8': -4.726207}
{' odd': -0.81374085, ' 1': -0.9405491, ' even': -3.2372208, ' 0': -3.3633642, ' Odd': -3.6257575}
{' Even': -4.58863, ' EVEN': -3.8496716, ' odd': -3.675646, ' 0': -2.9618363, ' even': -0.16831914}
{' Odd': -4.545297, ' ': -6.070161, ' 1': -5.1374354, ' odd': -0.15277472, ' even': -2.159726}
{'\n': -4.709827, ' ': -4.165271, ' Even': -4.6785674, ' 0': -4.8600793, ' even': -0.07202013}
{' ': -3.7379944, ' 1': -2.654582, ' odd': -1.1018785, ' 0': -3.9052308, ' even': -0.8011296}
{' even': -0.4490927, ' odd': -1.6010759, ' 0': -3.288655, ' Even': -4.1845684, ':': -4.2263956}
{' ': -3.155293, ' 1': -1.4017082, ' odd': -0.7391497, ' 0': -2.4036138, ' even': -2.6152472}
{' even': -0.076751485, ' 0': -4.212504, ' Even': -4.4236407, ' ': -4.5207963, ' odd': -4.9250255}
{' odd': -1.0332501, ' 1': -1.7906535, ' even': -1.9024116, ' 0': -2.1297038, ' false': -3.2360067}
{' even': -0.39142108, ' 0': -2.2855546, '\n': -2.8022351, ' ': -3.1908746, ' odd': -3.4230018}
{' Odd': -3.0426147, ' 1': -4.7629313, ' odd': -0.26191017, ' 0': -3.8383396, ' even': -2.065337}
{' ': -5.0236783, ' Even': -4.1381617, ' odd': -3.1095395, ' 0': -4.831792, ' even': -0.12277793}
{' odd': -0.8145564, ' even': -1.1073831, ' 1': -2.155122, ' 0': -3.2115517, ' Even': -5.053056}
{' even': -0.076037616, '\n': -3.8077154, ' odd': -4.44462, ' Even': -4.981694, ' ': -5.0347924}
{' Odd': -3.639844, ' 1': -1.7217066, ' odd': -0.4525781, ' 0': -3.6198676, ' even': -2.973596}
{' even': -0.67527986, ' an': -2.2128756, ' odd': -2.3762982, ' the': -3.3744316, ' a': -3.3816526}
{' odd': -0.6787003, ' 1': -2.0324361, ' even': -2.0709083, ' 0': -2.4155731, ' Odd': -3.5751262}
{' even': -0.13173361, ' 0': -3.2142415, '\n': -4.348699, ' Even': -4.5176024, ' EVEN': -4.643767}
{' odd': -0.7792415, ' even': -0.9714459, ' 0': -2.570317, ' 1': -3.5633998, ' Odd': -4.262527}
{' even': -0.40378648, ' 0': -2.1451032, '\n': -2.6492279, ' odd': -3.75652, ' ': -4.003982}
{' ': -5.2080936, ' 1': -2.7790127, ' odd': -0.23671626, ' 0': -2.4836378, ' even': -3.4656134}
{'\n': -4.6245756, ' ': -4.1753116, ' 1': -4.407404, ' 0': -0.6019627, ' even': -1.0219151}
{' Odd': -5.3407593, ' 1': -2.278497, ' odd': -0.29878086, ' 0': -2.7799504, ' even': -2.6911576}
{' even': -0.02020375, ' 0': -5.3031187, ' Even': -5.409115, ' odd': -5.520747, ' ': -6.467435}
{' odd': -0.52589774, ' 1': -1.8885124, ' 0': -2.1646812, ' even': -3.0797622, ' 11': -3.944652}
{' even': -0.29832, ' odd': -2.234462, ' 0': -3.359295, ' an': -3.4722157, ' Even': -4.841591}
{':': -3.68489, ' 1': -1.5976213, ' odd': -1.4721475, ' 0': -1.2289289, ' even': -1.6295714}
{' ': -4.782926, ':': -3.5938227, ' Even': -4.1809, ' 0': -3.963552, ' even': -0.1048556}
{' Odd': -4.2835445, ' 1': -1.3697798, ' odd': -0.38148138, ' 0': -4.1580963, ' even': -4.262641}
{' Even': -4.563896, ' odd': -2.4936292, ' 4': -3.9176302, ' 0': -1.979657, ' even': -0.35248843}
{' Odd': -3.919421, ' 1': -3.5309753, ' odd': -0.2200642, ' 0': -3.1346834, ' even': -2.5946846}
{' an': -5.619421, ' odd': -3.5381463, ' 0': -3.8822052, ' zero': -5.7825584, ' even': -0.07179014}
{' even': -0.57810444, ' odd': -0.904715, ' 1': -5.25271, ' an': -5.4938684, ' 0': -5.637732}
{' ': -5.1594877, ':': -5.1607018, ' odd': -3.9307964, ' 0': -3.8284044, ' even': -0.08625305}
{' odd': -0.65724033, ' even': -0.90335023, ' Odd': -3.5782492, ' Even': -4.2448897, ' 0': -5.0659347}
{':': -4.5569916, ' Even': -5.1681023, ' odd': -4.087702, ' 0': -4.082629, ' even': -0.07856775}
{' 11': -4.215409, ' 1': -1.9560734, ' odd': -0.5466946, ' 0': -3.282561, ' even': -1.861532}
{' even': -0.077873774, ' an': -3.5736413, ' 0': -4.8860927, ' 4': -4.9129386, ' Even': -5.4730573}
{' Odd': -3.8718088, ' 1': -4.4311695, ' odd': -0.15788735, ' 0': -4.504555, ' even': -2.8126752}
{' an': -6.210719, ' Even': -5.296896, ' odd': -5.0525675, ' 0': -5.8780437, ' even': -0.027398506}
{' odd': -0.79750156, ' 0': -1.4948732, ' even': -1.9194365, ' 1': -2.307355, ' ': -4.159503}
{' ': -4.4633193, ' Even': -3.7472434, ' odd': -3.983041, ' 0': -1.8894917, ' even': -0.29362646}
{' odd': -0.33129668, ' 1': -2.560064, ' even': -2.9663541, ' ': -3.3499076, ' 0': -3.4294946}
{' ': -4.667701, ' Even': -4.2319875, ' odd': -3.6490211, ' 0': -3.3133316, ' even': -0.14277591}
{' Odd': -4.7009706, ' ': -5.370119, ' 1': -0.18770407, ' one': -4.330872, ' odd': -2.1679554}
{' even': -0.5122796, ' 0': -1.6781741, ' odd': -3.2183046, ' zero': -4.1230526, ' Even': -4.2902126}
{' Odd': -3.3851635, ' Even': -4.074463, ' odd': -0.70820445, ' 0': -4.7582684, ' even': -0.9305222}
{'\n': -3.118051, ' ': -3.3755612, ':': -4.7593617, ' 0': -1.9067056, ' even': -0.33882222}
{' odd': -0.2769454, ' 1': -2.0331433, ' 0': -3.398579, ' even': -4.248623, ' Odd': -4.376416}
{'\n': -5.18259, ' ': -4.646026, ' 1': -4.7819505, ' 0': -0.49373204, ' even': -1.0801692}
{' 1': -1.7128129, ' none': -3.4089491, ' odd': -0.7938295, ' 0': -2.1152513, ' even': -2.0524287}
{' even': -0.13894977, ' 0': -3.782653, ' odd': -3.8800392, ' Even': -3.9435358, ' EVEN': -4.2602615}
{' odd': -0.44663417, ' even': -1.4219139, ' 1': -3.1138008, ' 0': -4.1014624, ' Odd': -4.4427853}
{' ': -6.4288526, ':': -6.109973, ' Even': -5.0534453, ' odd': -6.1568966, ' even': -0.01909031}
{' odd': -0.30039075, ' 1': -1.9131541, ' Odd': -3.0844777, ' even': -3.8720746, ' 11': -4.7231293}
