{' Odd': -5.4475884, ':': -6.211091, ' 1': -7.2180753, ' odd': -0.51380754, ' even': -0.93456495}
{' Odd': -5.138956, ':': -5.8261385, ' 1': -3.536595, ' odd': -0.0444402, ' even': -5.6652985}
{' ': -5.6576996, ':': -4.0416055, ' 0': -3.1979842, ' zero': -6.275654, ' even': -0.07709291}
{' Odd': -4.4510636, ':': -4.551983, ' 1': -4.713364, ' odd': -0.06961871, ' even': -3.8045895}
{'\n': -6.056681, ' ': -5.521408, ':': -5.8497396, ' 0': -4.6236615, ' even': -0.024224224}
{' Odd': -5.7682037, ' an': -8.010035, ' 1': -3.4731078, ' odd': -0.04140434, ' even': -5.3153663}
{' even': -0.022334084, ':': -4.23439, '\n': -6.2833886, ' Even': -6.749269, ' odd': -6.8533897}
{' Odd': -4.954762, ':': -5.903315, ' 1': -5.268451, ' odd': -0.02631063, ' even': -4.8545394}
{' odd': -0.08374034, ' even': -2.9379404, ' 1': -4.3082514, ' Odd': -5.199276, ':': -5.484734}
{' even': -0.011379754, ':': -5.658112, ' 0': -6.019147, ' Even': -6.0923877, ' odd': -6.5450225}
{' odd': -0.2655759, ' Odd': -2.2334085, ' 1': -3.0153327, ':': -3.3606846, ' even': -3.6769128}
{'\n': -4.655783, ' ': -4.0236907, ':': -3.532725, ' 0': -3.7667816, ' even': -0.09408282}
{' odd': -0.13167848, ' 1': -2.4454165, ' even': -4.19057, ':': -4.4503617, ' Odd': -5.192302}
{' ': -7.7495832, ':': -6.928568, ' an': -8.0865, ' Even': -6.731209, ' even': -0.0037678755}
{' Odd': -4.535133, ' ': -6.859485, ':': -7.0567245, ' 1': -3.8212378, ' odd': -0.037763726}
{' ': -7.4896736, ':': -5.743267, ' an': -8.091737, ' Even': -7.373707, ' even': -0.00583966}
{' Odd': -4.961558, ':': -6.6135554, ' 1': -1.9154545, ' odd': -0.1833494, ' even': -4.616078}
{':': -6.3971825, ' 1': -5.8746996, ' odd': -0.14351016, ' 0': -6.6962113, ' even': -2.0715115}
{':': -5.4313498, ' Even': -7.4466743, ' odd': -8.482788, ' 0': -7.352086, ' even': -0.006533445}
{' Odd': -4.710709, ':': -5.5393643, ' 1': -1.3838385, ' odd': -0.32411835, ' 0': -6.0794516}
{'\n': -3.8289862, ' ': -3.231617, ':': -2.349307, ' 0': -2.08436, ' even': -0.3803615}
{' Odd': -5.614088, ':': -5.8087187, ' 1': -5.4687304, ' odd': -0.024472605, ' even': -4.4565043}
{' even': -0.001386127, ' Even': -8.17938, ':': -8.246437, ' ': -8.246884, ' odd': -8.4962}
{' Odd': -6.2083716, ' ': -6.58734, ':': -8.0050335, ' 1': -4.5230427, ' odd': -0.01631264}
{' ': -3.8733623, ':': -2.0772083, ' an': -5.6278977, ' 0': -4.3996043, ' even': -0.19393134}
{' odd': -0.05009498, ' even': -3.8071482, ' 1': -4.1694684, ' Odd': -4.8652825, ' ': -6.9356384}
{' Odd': -3.7479384, ':': -4.135796, ' 1': -4.1111417, ' odd': -0.20658916, ' even': -2.1371102}
{' even': -0.0049804067, ':': -6.085923, ' 0': -6.5683136, ' Even': -7.895643, ' ': -8.405048}
{' odd': -0.09265483, ' 1': -2.5310295, ' Odd': -5.658491, ' 0': -6.850016, ':': -6.9982333}
{' even': -0.004433826, ':': -6.462137, ' Even': -6.4696035, ' ': -7.8528113, ' 0': -8.354167}
{' 1': -0.38963562, ' odd': -1.1535193, ' 0': -6.2618985, ' Odd': -6.776692, ' ': -7.020573}
{' ': -7.8647394, ':': -7.8712406, ' an': -8.147665, ' Even': -8.031101, ' even': -0.0020142377}
{' Odd': -6.3127546, ' an': -8.124503, ' 1': -6.2651715, ' odd': -0.0070034973, ' even': -6.3246546}
{'\n': -4.1733613, ' ': -3.954355, ':': -2.4613638, ' 0': -6.204555, ' even': -0.13805665}
{' Odd': -5.009361, ' ': -6.713051, ' 1': -4.620218, ' odd': -0.062635496, ' even': -3.2024689}
{' even': -0.52680033, ' odd': -0.98558635, ' 0': -3.9570055, ' 1': -5.178198, ':': -5.511343}
{':': -6.8271008, ' Even': -7.0728145, ' odd': -6.703721, ' 0': -4.7920747, ' even': -0.013122}
{' odd': -0.063438684, ' 1': -3.0500596, ' Odd': -5.244813, ' even': -5.545988, ':': -6.5486007}
{' ': -6.0575867, ':': -5.7126226, ' Even': -6.166258, ' 0': -5.052879, ' even': -0.021314472}
{' Odd': -6.6445656, ':': -7.077253, ' 1': -4.952242, ' odd': -0.010662235, ' even': -7.0438275}
{' ': -7.8571057, ':': -6.8082123, ' an': -7.704215, ' Even': -7.571092, ' even': -0.0036739437}
{' Odd': -5.611144, ' ': -6.9549203, ':': -7.408262, ' 1': -4.0829654, ' odd': -0.024514874}
{' even': -0.002276523, ':': -6.9936657, ' odd': -8.045997, ' an': -8.336318, ' ': -8.347958}
{' Odd': -4.142424, ':': -5.2893925, ' 1': -3.9630425, ' odd': -0.05762892, ' even': -4.572201}
{' odd': -0.15773381, ' even': -2.0234258, ' Odd': -5.2107444, ' 1': -5.9846725, ':': -6.102328}
{':': -6.99828, ' Even': -6.972427, ' EVEN': -7.358869, ' odd': -6.175364, ' even': -0.0055974144}
{' Odd': -5.1965857, ' an': -6.9868193, ' 1': -4.440589, ' odd': -0.04664265, ' even': -3.7293863}
{' even': -0.20113438, ' 0': -1.9589926, ' ': -4.1808934, ':': -4.630153, '\n': -4.9900737}
{' odd': -0.09407078, ' 1': -2.556023, ' even': -5.09585, ' Odd': -5.8243384, ':': -6.405768}
{' even': -0.0017896959, ':': -7.496472, ' Even': -7.987171, ' odd': -8.502952, ' ': -8.8558855}
{' Odd': -6.07591, ':': -7.3597026, ' 1': -5.888542, ' odd': -0.012786515, ' even': -5.1215796}
{' even': -0.054845143, ':': -3.2114613, '\n': -5.2500057, ' ': -5.9742155, ' Even': -6.149723}
{' odd': -0.12520537, ' Odd': -2.5453827, ' even': -4.0513144, ':': -4.8092337, ' 1': -5.5473313}
{' Odd': -3.9790096, ':': -4.5338655, ' Even': -6.815687, ' odd': -0.18609671, ' even': -1.9942154}
{' even': -0.005263425, ':': -6.1242185, ' Even': -7.0104637, ' odd': -7.216204, ' 0': -7.914415}
{' odd': -0.040237393, ' even': -4.091825, ' 1': -4.6038876, ' Odd': -5.349145, ':': -5.4307127}
{' ': -7.6523547, ':': -5.8343678, ' Even': -6.9837213, ' 0': -4.4875755, ' even': -0.017527374}
{' Odd': -4.985084, ':': -4.820474, ' 1': -3.4311001, ' odd': -0.09870682, ' even': -3.2517514}
{' even': -0.0041180598, ':': -6.396811, ' Even': -6.947404, '\n': -7.754173, ' ': -7.94127}
{' odd': -0.011049132, ' 1': -5.419186, ' ': -6.2299385, ':': -6.7885456, ' Odd': -7.0537443}
{'\n': -5.3513174, ' ': -5.25598, ':': -3.8857598, ' Even': -6.2643957, ' even': -0.036149837}
{' Odd': -5.0026884, ':': -6.3293014, ' 1': -2.7265027, ' odd': -0.10179646, ' even': -3.9843006}
{' Odd': -3.2503626, ':': -5.738241, ' 1': -5.8704715, ' odd': -0.21810949, ' even': -1.9155886}
{' even': -0.013947658, ':': -5.3947325, ' Even': -6.121663, ' odd': -6.333686, ' an': -6.656283}
{' Odd': -5.3371673, ' 1': -2.039787, ' odd': -0.15640244, ' 0': -6.754528, ' even': -5.346657}
{' ': -8.165795, ':': -6.67338, ' Even': -8.253088, ' 0': -5.84225, ' even': -0.005486532}
{' Odd': -6.4191227, ' ': -7.378244, ' 1': -3.2195532, ' odd': -0.057997156, ' even': -4.406468}
{':': -7.1936703, ' Even': -6.5533714, ' odd': -6.4291725, ' 0': -7.3124475, ' even': -0.0058164564}
{' Odd': -5.5889363, ':': -8.0865135, ' 1': -6.4644046, ' odd': -0.00788856, ' even': -6.5797276}
{' ': -8.34792, ':': -6.889245, ' an': -7.314485, ' Even': -7.3049436, ' even': -0.0030107093}
{' Odd': -5.2515335, ':': -6.7841287, ' 1': -4.53926, ' odd': -0.044826802, ' even': -3.6918564}
{' odd': -0.3291719, ' even': -1.3755548, ':': -4.4390645, ' Odd': -4.9405427, ' 1': -5.28019}
{':': -5.6368494, ' Even': -6.5638494, ' EVEN': -7.6502223, ' 0': -6.772435, ' even': -0.00751725}
{' odd': -0.040581778, ' 1': -4.0027533, ' even': -4.2468767, ' Odd': -5.331689, ':': -7.6065207}
{' ': -5.9531107, ':': -3.690389, ' Even': -4.821375, ' ->': -5.9257774, ' even': -0.044418953}
{' odd': -0.048683073, ' 1': -3.5090606, ' even': -4.3645873, ' Odd': -6.245977, ':': -7.0341697}
{' ': -5.5885096, ':': -4.3252196, ' odd': -6.917488, ' 0': -4.5649457, ' even': -0.03304637}
{' Odd': -5.3376575, ' ': -7.422291, ' 1': -6.972942, ' odd': -0.012236982, ' even': -5.4001684}
{' even': -0.013154369, ':': -4.871389, ' Even': -6.3803062, ' ': -7.272065, ' odd': -7.3745575}
{' Odd': -5.1457386, ':': -6.13781, ' 1': -4.2479415, ' odd': -0.038104847, ' even': -4.3513794}
{' Odd': -4.0605454, ':': -4.5965605, ' 1': -3.7481165, ' odd': -0.13527024, ' even': -2.7172577}
{':': -4.1487556, ' Even': -6.3559647, ' odd': -7.3873677, ' 0': -4.565431, ' even': -0.032093402}
{' Odd': -3.9524257, ':': -5.470697, ' 1': -5.2518673, ' odd': -0.03853126, ' even': -5.633097}
{' even': -0.026715813, ':': -4.5823927, ' 0': -5.1998982, ' ': -5.8802457, ' Even': -6.270862}
{' odd': -0.02427161, ' 1': -4.289292, ' Odd': -5.1214414, ':': -6.42025, ' even': -6.6164474}
{' ': -7.62861, ':': -7.581898, ' Even': -8.232991, ' 0': -5.0012674, ' even': -0.008949711}
{' Odd': -5.4532475, ':': -5.9624696, ' 1': -6.7063932, ' odd': -0.01771173, ' even': -4.8691916}
{' even': -0.00672017, ':': -6.0808725, ' ': -6.363362, ' Even': -7.3086686, ' 0': -7.6400247}
{' odd': -0.25846556, ' 1': -1.5870026, ' Odd': -4.6481376, ':': -4.951835, ' even': -5.923962}
{' odd': -0.21208096, ' even': -1.7963818, ' Odd': -4.3831463, ':': -5.056646, ' 1': -6.148232}
{':': -5.3905387, ' Even': -5.4147224, ' EVEN': -7.055633, ' odd': -6.461781, ' even': -0.013888123}
{' Odd': -6.6073465, ':': -7.447381, ' 1': -2.1532893, ' odd': -0.13742389, ' even': -4.876827}
{'\n': -8.9847145, ' ': -8.765913, ':': -7.051605, ' Even': -6.8655643, ' even': -0.002692585}
{' Odd': -5.989453, ':': -6.4193726, ' 1': -5.022548, ' odd': -0.01677658, ' even': -5.3995132}
{':': -6.9483004, ' an': -7.5337186, ' Even': -7.0651636, ' 0': -5.693068, ' even': -0.0069530797}
{' Odd': -5.2271743, ' ': -6.080859, ':': -5.835015, ' 1': -4.5042653, ' odd': -0.025110798}
{'\n': -7.6504273, ' ': -6.9753704, ':': -5.492396, ' Even': -7.4304895, ' even': -0.006819664}
{' odd': -0.16482352, ' 1': -2.0465698, ' Odd': -4.5864935, ':': -5.438595, ' ': -5.9524965}
{' Odd': -4.1677313, ':': -4.6483364, ' Even': -5.4468307, ' odd': -0.5889351, ' even': -0.90242124}
{' even': -0.004965011, ' Even': -5.9642634, ':': -6.636089, ' EVEN': -8.502246, ' odd': -8.750661}
{' Odd': -5.048279, ':': -6.3037724, ' 1': -2.236841, ' not': -6.7049427, ' odd': -0.1317634}
{' ': -7.9142137, ':': -6.0099206, ' Even': -6.5750957, ' 0': -6.973719, ' even': -0.0061939885}
{' odd': -0.04328078, ' even': -3.5901308, ' Odd': -5.2016277, ':': -5.522668, ' 1': -5.7541347}
{' ': -7.5907054, ':': -5.8522177, ' EVEN': -7.7999716, ' 0': -3.6364112, ' even': -0.032283664}
{' Odd': -5.1172485, ':': -6.4496784, ' 1': -5.3696585, ' odd': -0.024498196, ' even': -4.651902}
{' even': -0.10376623, ':': -2.6732154, ' ': -4.447906, ' 0': -4.950226, '\n': -6.2098265}
{' Odd': -6.0536823, ':': -5.9360485, ' 1': -0.9969543, ' odd': -0.48997733, ' even': -4.8775015}
{' even': -0.40194693, ' odd': -1.2271175, ' 0': -3.6124334, ' 1': -5.777096, ' Odd': -5.9538674}
{' even': -0.005020722, ' Even': -6.3485293, ':': -6.770225, ' 0': -7.2522087, ' EVEN': -7.983109}
{'\n': -5.724343, ' Odd': -4.487729, ':': -5.391352, ' 1': -6.112762, ' odd': -0.025473671}
{' ': -7.5287814, ':': -5.3383636, ' Even': -6.8606625, ' 0': -7.9989815, ' even': -0.0073504946}
{' odd': -0.31179225, ' 1': -1.3543376, ' even': -5.098414, ' Odd': -6.888843, ':': -7.344378}
{' even': -0.0018098177, ':': -7.4419804, ' Even': -7.8436193, ' ': -8.313483, ' EVEN': -8.860892}
{' odd': -0.012110579, ' Odd': -4.717789, ' even': -6.3145175, ' 1': -7.9618573, ':': -8.130001}
{' even': -0.030158883, ':': -3.8141706, ' Even': -5.7385764, '\n': -6.959548, ' ': -6.9615164}
{' odd': -0.06778307, ' even': -2.9770236, ':': -5.407983, ' Odd': -5.590342, ' 1': -5.858133}
{' Odd': -5.4085817, ':': -5.5516133, ' 1': -4.907619, ' odd': -0.050012514, ' even': -3.5114343}
{' even': -0.005811602, ' odd': -6.321309, ':': -6.4024997, ' 0': -7.108827, ' Even': -7.3651567}
{' Odd': -4.2216, ':': -5.528323, ' 1': -3.8005714, ' odd': -0.056585323, ' even': -4.664423}
{'\n': -4.488959, ' ': -3.7150545, ':': -3.3803358, ' 0': -3.9705594, ' even': -0.1044325}
{' Odd': -4.02827, ' ': -6.7243934, ':': -5.07474, ' 1': -3.1757414, ' odd': -0.0726503}
{'\n': -8.124749, ' ': -7.4577894, ':': -6.4704165, ' Even': -6.944157, ' even': -0.0040246984}
{' odd': -0.01780298, ' even': -4.321769, ' Odd': -6.6318703, ' 1': -7.0211573, ' ': -7.12722}
{' even': -0.0051609697, ':': -6.039686, ' Even': -6.90873, ' ': -7.3600264, ' an': -7.7296023}
{' odd': -0.046717215, ' even': -3.931368, ' Odd': -4.4319825, ' 1': -4.5119414, ':': -6.698538}
{' even': -0.41888633, ' odd': -1.1163046, ' Odd': -5.6028523, ':': -5.6136713, ' Even': -6.1764655}
{' even': -0.02637984, ' 0': -4.579402, ':': -5.1872435, ' odd': -5.787468, ' "': -6.323191}
{' odd': -0.049140003, ' 1': -3.8386886, ' even': -4.416108, ' Odd': -4.636927, ':': -6.378491}
{':': -6.3930964, ' Even': -7.4892435, ' 0': -4.740232, ' zero': -7.5514917, ' even': -0.01354012}
{' Odd': -6.1317286, ':': -5.5619693, ' 1': -3.8150296, ' odd': -0.07903067, ' even': -3.0916123}
{'\n': -8.888387, ' ': -8.225362, ':': -6.5571837, ' Even': -7.622781, ' even': -0.002658283}
{' odd': -0.024793148, ' Odd': -4.707467, ' 1': -5.3510847, ' ': -5.6195574, ':': -5.831873}
{' even': -0.07979698, ':': -3.20251, ' an': -4.132519, ' ': -4.887334, ' odd': -5.574867}
{' odd': -0.0760944, ' even': -3.3154263, ' 1': -3.6679332, ' Odd': -5.2047143, ':': -5.698633}
{' Odd': -3.3703034, ':': -4.336973, ' 1': -5.9658585, ' odd': -0.10752326, ' even': -3.075864}
{'\n': -7.9835873, ':': -6.273157, ' Even': -7.69557, ' odd': -7.13579, ' even': -0.004795145}
{' odd': -0.18979216, ' 1': -2.1545603, ' Odd': -4.2077656, ':': -4.255894, ' -->': -4.9652543}
{' even': -0.0019998436, ' Even': -7.067338, ':': -7.8519177, ' ': -8.718903, ' an': -8.73468}
{' Odd': -4.9436393, ':': -5.591538, ' 1': -4.846336, ' odd': -0.065789916, ' even': -3.1594462}
{'\n': -8.157618, ' ': -7.1550293, ':': -6.0291705, ' Even': -8.109629, ' even': -0.0044645406}
{' odd': -0.02260931, ' 1': -4.3701243, ' ': -5.7048573, '\n': -6.1908393, ':': -6.671273}
{'\n': -6.321213, ' ': -6.086671, ':': -4.1614833, ' Even': -6.573365, ' even': -0.022926696}
{' Odd': -4.485628, ':': -5.6439147, ' 1': -3.3228257, ' odd': -0.057649318, ' even': -5.839305}
{' Odd': -4.2842298, ':': -4.6080065, ' Even': -6.278444, ' odd': -0.49541372, ' even': -1.0201768}
{' even': -0.039480355, ' 0': -4.003626, ':': -4.690682, ' odd': -5.18256, ' Even': -6.469564}
{' Odd': -4.749241, ' 1': -1.8569549, ' not': -5.7137337, ' odd': -0.21185438, ' even': -4.482184}
{' even': -0.0010913146, ':': -8.216582, ' Even': -8.578138, ' 0': -8.732587, ' ': -8.838108}
{' odd': -0.10574795, ' Odd': -2.879767, ':': -4.039784, ' -->': -4.9317822, ' even': -5.3149447}
{'\n': -5.216518, ' ': -4.7449565, ':': -4.6993203, ' 0': -3.4721236, ' even': -0.06642982}
{' odd': -0.07635009, ' 1': -2.956703, ':': -4.8122764, ' ': -5.2195034, '\n': -5.945246}
{' ': -7.2641735, ':': -6.8019924, ' an': -7.757248, ' 0': -7.999988, ' even': -0.0034835425}
{' Odd': -5.9010777, ' 1': -1.3805454, ' one': -6.367745, ' odd': -0.31090227, ' even': -4.881887}
{' Odd': -5.0987306, ':': -3.3582897, ' 1': -4.869492, ' odd': -0.36571482, ' even': -1.4035928}
{' even': -0.012413126, ':': -5.4010277, ' 0': -5.781662, ' Even': -6.4725847, ' EVEN': -6.82392}
{' Odd': -5.0309443, ':': -4.986514, ' 1': -3.0569317, ' odd': -0.073665045, ' even': -5.049761}
{' ': -5.164551, ':': -3.449234, ' 0': -1.8780166, ' zero': -4.8696585, ' even': -0.23621084}
{' odd': -0.27510783, ' 1': -1.4600786, ':': -5.7171507, ' Odd': -6.1762495, ' even': -6.8549786}
{'\n': -7.6910233, ' ': -7.4766665, ':': -7.2405367, ' an': -7.83957, ' even': -0.0029142238}
{' Odd': -5.767791, ' ': -5.8528543, ':': -5.4831033, ' 1': -4.34696, ' odd': -0.028053038}
{'\n': -6.2160244, ' ': -6.467779, ':': -4.846308, ' Even': -5.846277, ' even': -0.015991595}
{' Odd': -5.1447268, ':': -6.4024563, ' 1': -3.482863, ' odd': -0.061686546, ' even': -3.9254816}
{' Odd': -4.528119, ':': -4.680579, ' 1': -5.135359, ' odd': -0.21942064, ' even': -1.794759}
{' even': -0.0077247564, ':': -5.8827543, ' 0': -6.124617, ' Even': -7.057197, ' odd': -7.680453}
{' Odd': -5.0514684, ':': -6.278679, ' 1': -3.5208268, ' odd': -0.052466944, ' even': -4.5669837}
{' even': -0.0032215347, ' 0': -6.5083127, ':': -7.5766587, ' Even': -7.6393685, ' an': -8.838761}
{' Odd': -5.140171, ':': -5.8123474, ' 1': -4.7442646, ' odd': -0.05665717, ' even': -3.3313553}
{'\n': -8.324829, ' ': -7.5795918, ':': -6.9338646, ' Even': -7.3730445, ' even': -0.0029012514}
{' Odd': -5.810123, ':': -6.353227, ' 1': -5.8524046, ' odd': -0.010440683, ' even': -7.3070903}
{'\n': -4.106609, ' ': -3.4782481, ':': -2.8527606, ' 0': -6.3936462, ' even': -0.12229991}
{' Odd': -4.8444433, ':': -5.9017506, ' 1': -2.250163, ' odd': -0.14788549, ' even': -4.1154413}
{' Odd': -3.431905, ':': -3.1237645, ' 1': -5.1410184, ' odd': -0.3330436, ' even': -1.6525931}
{' even': -0.010209786, ':': -5.412147, ' Even': -6.229799, ' 0': -6.6505685, ' EVEN': -6.991438}
{' Odd': -4.109659, ' ': -5.3042045, ':': -5.497469, ' 1': -2.1948938, ' odd': -0.16088092}
{' even': -0.021884367, ' 0': -3.9958682, ':': -7.2595496, ' Even': -7.43028, ' zero': -7.546171}
{' Odd': -3.502323, ':': -4.323493, ' 1': -4.367057, ' odd': -0.07144156, ' even': -4.75542}
{' even': -0.001887031, ' Even': -7.2989197, ':': -7.5000277, ' ': -8.376784, ' an': -8.801867}
{'\n': -7.7250237, ' Odd': -6.755957, ' ': -7.2262464, ' 1': -3.7257936, ' odd': -0.028621694}
{' ': -7.4533935, ':': -5.1248484, ' Even': -6.4315934, ' EVEN': -8.319904, ' even': -0.009286133}
{' odd': -0.04627501, ' 1': -3.5712173, ' even': -4.907928, ' Odd': -5.1116014, ' ': -7.0116005}
{' odd': -0.13116159, ' even': -2.2983408, ':': -4.875349, ' 1': -5.049073, ' Odd': -5.296355}
{' even': -0.018562742, ' 0': -4.799966, ':': -5.4639716, ' odd': -6.195652, ' Even': -6.4038754}
{' odd': -0.063602105, ' 1': -3.0337117, ' Odd': -5.0375113, ' even': -5.6893754, ':': -6.570939}
{'\n': -7.402641, ':': -5.8955617, ' Even': -6.584312, ' 0': -7.7616425, ' even': -0.0062876744}
{' ': -6.020592, ':': -5.1408343, ' 1': -3.6875768, ' odd': -0.058277834, ' even': -3.9732766}
{':': -7.8593616, ' an': -8.890221, ' Even': -7.959378, ' 0': -8.836925, ' even': -0.0013660116}
{' Odd': -5.2967916, ':': -7.3320985, ' 1': -4.7783265, ' odd': -0.019835182, ' even': -5.4513383}
{' even': -0.0050264127, ':': -5.8360877, ' ': -7.487822, '\n': -7.617117, ' Even': -7.679436}
{' Odd': -5.0117917, ':': -5.1363764, ' 1': -5.9817457, ' odd': -0.14859703, ' even': -2.1453946}
{' Odd': -4.768694, ':': -5.035088, ' odd': -0.47635737, ' 0': -5.7468534, ' even': -1.0371827}
{':': -5.806095, ' Even': -6.4479446, ' odd': -6.428105, ' 0': -5.8970213, ' even': -0.011143218}
{' Odd': -5.229405, ':': -7.9312444, ' 1': -5.9365454, ' odd': -0.010396535, ' even': -6.639164}
{' even': -0.17864753, ' 0': -2.687409, ':': -2.8783238, ' ': -4.3736715, '\n': -4.424415}
{' Odd': -6.3543787, ':': -6.06621, ' 1': -3.8648999, ' odd': -0.040618587, ' even': -4.3330073}
{' ': -7.3503065, ':': -6.155857, ' Even': -5.1339817, ' ->': -5.812649, ' even': -0.013412466}
{' Odd': -5.593109, ':': -7.597746, ' 1': -6.390867, ' odd': -0.009487632, ' even': -5.9592576}
{' even': -0.0041346396, ':': -6.721929, ' ': -6.8900332, ' an': -7.67847, '\n': -7.9604006}
{'\n': -4.3218946, ' Odd': -3.128484, ':': -4.4624205, ' 1': -3.9956334, ' odd': -0.10841307}
{' Odd': -5.1263385, ' 1': -4.37935, ' odd': -0.13736522, ' 0': -4.5330334, ' even': -2.3655872}
{':': -5.3783355, ' 1': -7.149856, ' 0': -3.7787287, ' zero': -6.8452487, ' even': -0.033170268}
{' odd': -0.035697076, ' even': -3.9152715, ' 1': -4.940131, ' Odd': -5.298069, ':': -7.0752435}
{' even': -0.0040128487, ' Even': -6.676848, ' 0': -6.853043, ':': -7.251659, ' EVEN': -8.53707}
{' Odd': -6.3886094, ':': -6.8470416, ' 1': -2.9772196, ' odd': -0.08818725, ' even': -3.522521}
{':': -6.968238, ' an': -8.085257, ' Even': -7.498473, ' 0': -8.273862, ' even': -0.0028650872}
{' Odd': -5.2546444, ':': -6.752798, ' 1': -6.2181883, ' odd': -0.011871818, ' even': -6.197324}
{'\n': -5.69501, ' ': -4.6673326, ':': -3.0869024, ' 0': -5.2090054, ' even': -0.07703394}
{' Odd': -5.4548903, ':': -7.0778403, ' 1': -3.059925, ' odd': -0.067947716, ' even': -4.4351444}
