{' 2': -0.5821651, ' 1': -1.0164589, ' two': -2.836449, ' one': -4.4423275, ' number': -5.336175}
{' 1': -0.05923992, ' 2': -3.4779983, ' one': -4.0324626, ' #': -5.472512, ' number': -5.9465075}
{' number': -5.918354, ' #': -5.457663, ' 1': -0.052841336, ' 2': -3.6851902, ' one': -4.0361767}
{' number': -6.0548415, ' #': -5.553497, ' 1': -0.04987893, ' 2': -3.7343957, ' one': -4.083042}
{' #': -5.401235, ' 1': -0.21236764, ' 2': -1.8431946, ' one': -4.2377276, ' two': -4.6483817}
{' number': -5.8594503, ' #': -5.694201, ' 1': -0.0545874, ' 2': -3.6384933, ' one': -3.9864795}
{' 1': -0.5023311, ' 2': -1.0559028, ' two': -3.6989768, ' one': -4.3447933, ' #': -5.405251}
{' 1': -0.31527373, ' 2': -1.4507773, ' two': -4.258606, ' one': -4.2971025, ' number': -5.4582887}
{' #': -5.424788, ' 1': -0.3784614, ' 2': -1.2972542, ' one': -4.253841, ' two': -3.9821942}
{' #': -5.433103, ' 1': -0.20347849, ' 2': -1.9018903, ' one': -4.09677, ' two': -4.6298146}
{' #': -5.352093, ' 1': -0.35699224, ' 2': -1.3589244, ' one': -4.167682, ' two': -4.003654}
{' number': -5.469052, ' 1': -0.21642764, ' 2': -1.819331, ' one': -4.2378526, ' two': -4.636172}
{' #': -5.413938, ' 1': -0.18462698, ' 2': -2.008262, ' one': -4.075149, ' two': -4.757401}
{' 1': -0.19019751, ' 2': -1.9703243, ' one': -4.0895066, ' two': -4.7288632, ' #': -5.4636683}
{' #': -5.292779, ' 1': -0.26427266, ' 2': -1.6452998, ' one': -4.101282, ' two': -4.335886}
{' #': -5.343657, ' 1': -0.19723208, ' 2': -1.9421946, ' one': -4.055878, ' two': -4.681751}
{' #': -5.385823, ' 1': -0.1910609, ' 2': -1.9763621, ' one': -4.063812, ' two': -4.6675572}
{' #': -5.4031916, ' 1': -0.17005736, ' 2': -2.1011543, ' one': -4.0409775, ' two': -4.8681707}
{' #': -5.388701, ' 1': -0.15388112, ' 2': -2.2205677, ' one': -4.0143223, ' two': -4.9473467}
{' 1': -0.09349056, ' 2': -2.7678776, ' one': -4.1299076, ' #': -5.576739, ' two': -5.654937}
{' 1': -0.24029297, ' 2': -1.7281202, ' one': -4.1670732, ' two': -4.508355, ' #': -5.2741685}
{' number': -5.58591, ' 1': -0.12626174, ' 2': -2.3968878, ' one': -4.2205706, ' two': -5.170768}
{' #': -5.542025, ' 1': -0.13334131, ' 2': -2.3525736, ' one': -4.109957, ' two': -5.1558003}
{' #': -5.5833583, ' 1': -0.09670985, ' 2': -2.7611003, ' one': -4.0340266, ' two': -5.5174975}
{' 1': -0.15869735, ' 2': -2.1620808, ' one': -4.107218, ' two': -4.998005, ' #': -5.3772144}
{' #': -5.4889255, ' 1': -0.12455172, ' 2': -2.4643228, ' one': -3.9839704, ' two': -5.1941524}
{' 1': -0.117766894, ' 2': -2.5381045, ' one': -3.972919, ' two': -5.221068, ' #': -5.493142}
{' #': -5.598273, ' 1': -0.08911411, ' 2': -2.92648, ' one': -3.88745, ' two': -5.580951}
{' #': -5.4929323, ' 1': -0.11905598, ' 2': -2.5264578, ' one': -3.9692795, ' two': -5.2522516}
{' #': -5.6008782, ' 1': -0.08514449, ' 2': -2.9528203, ' one': -3.972445, ' two': -5.649518}
{' #': -5.3673725, ' 1': -0.17865111, ' 2': -2.0729916, ' one': -3.9166634, ' two': -4.7238693}
{' number': -5.866951, ' #': -5.739025, ' 1': -0.058446795, ' 2': -3.514652, ' one': -3.984659}
{' 1': -0.070532605, ' 2': -3.2382839, ' one': -3.949042, ' #': -5.628126, ' number': -5.773705}
{' number': -5.810804, ' #': -5.633921, ' 1': -0.056804404, ' 2': -3.6514144, ' one': -3.8835196}
{' #': -5.4266844, ' 1': -0.12511855, ' 2': -2.4669173, ' one': -3.9781342, ' two': -5.221302}
{' 1': -0.064503595, ' 2': -3.4453287, ' one': -3.867255, ' #': -5.536421, ' number': -5.788621}
{' number': -5.7323203, ' #': -5.5732822, ' 1': -0.08082464, ' 2': -3.0112903, ' one': -4.0213685}
{' number': -5.846519, ' #': -5.6583037, ' 1': -0.06629587, ' 2': -3.304512, ' one': -3.994978}
{' number': -5.7566643, ' #': -5.6041465, ' 1': -0.069076836, ' 2': -3.2376578, ' one': -4.024149}
{' number': -5.8713307, ' #': -5.7267723, ' 1': -0.060291756, ' 2': -3.451792, ' one': -3.9981463}
{' number': -5.6525383, ' 1': -0.12746982, ' 2': -2.3797035, ' one': -4.21784, ' two': -5.2321343}
{' number': -6.031635, ' #': -6.1908035, ' 1': -0.03406753, ' 2': -4.526945, ' one': -4.059576}
{' #': -5.3626885, ' 1': -0.74844545, ' 2': -0.76353633, ' one': -4.4134364, ' two': -3.2229574}
{' #': -5.331941, ' 1': -0.5137207, ' 2': -1.0529587, ' one': -4.1740313, ' two': -3.5627298}
{' #': -5.3336797, ' 1': -0.47643384, ' 2': -1.1159735, ' one': -4.16389, ' two': -3.61951}
{' #': -5.3866463, ' 1': -0.26637265, ' 2': -1.6462251, ' one': -4.0085983, ' two': -4.2253036}
{' #': -5.2827134, ' 1': -0.4374743, ' 2': -1.1971484, ' one': -4.072734, ' two': -3.654847}
{' 1': -0.40468937, ' 2': -1.26395, ' two': -3.7447143, ' one': -4.1023326, ' #': -5.196222}
{' #': -5.286202, ' 1': -0.3372792, ' 2': -1.4214886, ' one': -4.0543523, ' two': -3.998301}
{' #': -5.31363, ' 1': -0.38562727, ' 2': -1.2979198, ' one': -4.090764, ' two': -3.8549933}
{' #': -5.2306685, ' 1': -0.3856648, ' 2': -1.3063992, ' one': -4.0388665, ' two': -3.8188884}
{' 1': -0.26167187, ' 2': -1.6780385, ' one': -3.9271495, ' two': -4.225039, ' #': -5.2663503}
{' #': -5.2982326, ' 1': -0.31831327, ' 2': -1.4867017, ' one': -4.0038943, ' two': -3.9591765}
{' #': -5.2419505, ' 1': -0.28154022, ' 2': -1.6053296, ' one': -3.9326727, ' two': -4.167158}
{' #': -5.277795, ' 1': -0.24311088, ' 2': -1.755978, ' one': -3.908453, ' two': -4.287615}
{' #': -5.3440857, ' 1': -0.22440837, ' 2': -1.8269645, ' one': -3.939872, ' two': -4.4043913}
{' #': -5.1794634, ' 1': -0.37666163, ' 2': -1.3275875, ' one': -4.066221, ' two': -3.8412113}
{' #': -5.397993, ' 1': -0.21557817, ' 2': -1.8634281, ' one': -4.0436916, ' two': -4.361212}
{' 1': -0.23926064, ' 2': -1.7557783, ' one': -3.9952781, ' two': -4.3525763, ' #': -5.3248606}
{' #': -5.4099565, ' 1': -0.13837373, ' 2': -2.39142, ' one': -3.7940345, ' two': -4.927142}
{' #': -5.2052937, ' 1': -0.3999684, ' 2': -1.278827, ' one': -4.014241, ' two': -3.7618992}
{' #': -5.3761835, ' 1': -0.16458885, ' 2': -2.1807575, ' one': -3.8311212, ' two': -4.723781}
{' 1': -0.19189772, ' 2': -2.017999, ' one': -3.8178742, ' two': -4.494903, ' #': -5.3541083}
{' #': -5.43226, ' 1': -0.113981724, ' 2': -2.6657264, ' one': -3.7124448, ' two': -5.148859}
{' 1': -0.14015949, ' 2': -2.3809373, ' one': -3.7932165, ' two': -4.9091444, ' #': -5.372539}
{' #': -5.4356937, ' 1': -0.12614678, ' 2': -2.4911828, ' one': -3.8392642, ' two': -5.0353208}
{' #': -5.2745194, ' 1': -0.29822797, ' 2': -1.5559012, ' one': -3.9116788, ' two': -4.045977}
{' #': -5.6340857, ' 1': -0.07864094, ' 2': -3.1431513, ' one': -3.809552, ' two': -5.5978966}
{' #': -5.5034323, ' 1': -0.094520815, ' 2': -2.8632433, ' one': -3.833664, ' two': -5.4504166}
{' 1': -0.09696214, ' 2': -2.8627264, ' one': -3.7595599, ' two': -5.397364, ' #': -5.455596}
{' #': -5.2435694, ' 1': -0.17890562, ' 2': -2.1160505, ' one': -3.7441368, ' two': -4.5988917}
{' #': -5.412211, ' 1': -0.07530265, ' 2': -3.3206983, ' one': -3.665299, ' two': -5.7656703}
{' #': -5.4358554, ' 1': -0.121560924, ' 2': -2.5096776, ' one': -3.947662, ' two': -5.106275}
{' #': -5.6804037, ' 1': -0.062272325, ' 2': -3.3890374, ' one': -3.9858944, ' two': -6.120111}
{' #': -5.4979424, ' 1': -0.08233713, ' 2': -3.0753312, ' one': -3.8182132, ' two': -5.6389556}
{' #': -5.6382017, ' 1': -0.07365606, ' 2': -3.1884894, ' one': -3.8896446, ' two': -5.791402}
{' #': -5.4104123, ' 1': -0.18470341, ' 2': -2.0249228, ' one': -3.977916, ' two': -4.614734}
{' number': -6.0132904, ' #': -5.7970767, ' 1': -0.050587296, ' 2': -3.9963477, ' one': -3.7510247}
{' number': -5.639962, ' 1': -0.6185341, ' 2': -0.8871574, ' one': -4.4927745, ' two': -3.4740312}
{' 1': -0.4691185, ' 2': -1.1135124, ' two': -3.70751, ' one': -4.281061, ' number': -5.584784}
{' 1': -0.3790684, ' 2': -1.2908288, ' two': -3.940426, ' one': -4.2756023, ' #': -5.6689515}
{' #': -5.715134, ' 1': -0.2047446, ' 2': -1.8795513, ' one': -4.1592426, ' two': -4.574255}
{' 1': -0.3216987, ' 2': -1.4473778, ' two': -4.0588675, ' one': -4.1961718, ' #': -5.581264}
{' #': -5.5624676, ' 1': -0.28232908, ' 2': -1.5727285, ' one': -4.171079, ' two': -4.1799026}
{' #': -5.5836577, ' 1': -0.26464435, ' 2': -1.6266705, ' one': -4.174657, ' two': -4.3283668}
{' #': -5.693924, ' 1': -0.25153223, ' 2': -1.670117, ' one': -4.199284, ' two': -4.3837285}
{' #': -5.534424, ' 1': -0.3289098, ' 2': -1.4252405, ' one': -4.1882806, ' two': -4.082202}
{' #': -5.5721273, ' 1': -0.20558688, ' 2': -1.8893789, ' one': -4.0586367, ' two': -4.586883}
{' #': -5.622271, ' 1': -0.24910472, ' 2': -1.6881669, ' one': -4.173955, ' two': -4.3476152}
{' #': -5.592618, ' 1': -0.20124197, ' 2': -1.9145063, ' one': -4.0368567, ' two': -4.6121187}
{' #': -5.6225953, ' 1': -0.16423519, ' 2': -2.137763, ' one': -4.000907, ' two': -4.8051662}
{' 1': -0.14574555, ' 2': -2.2596447, ' one': -4.041728, ' two': -4.974223, ' #': -5.6186724}
{' #': -5.4888883, ' 1': -0.41324177, ' 2': -1.2331444, ' one': -4.1635013, ' two': -3.7620578}
{' 1': -0.18793297, ' 2': -1.993141, ' one': -4.074308, ' two': -4.522344, ' #': -5.6619425}
{' #': -5.6961985, ' 1': -0.1367126, ' 2': -2.31562, ' one': -4.107759, ' two': -5.078034}
{' 1': -0.12110098, ' 2': -2.4734511, ' one': -4.0105777, ' two': -5.182245, ' #': -5.7943983}
{' 1': -0.29309478, ' 2': -1.5432339, ' one': -4.103441, ' two': -4.1629333, ' #': -5.452147}
{' #': -5.732278, ' 1': -0.11454241, ' 2': -2.5466123, ' one': -3.9922717, ' two': -5.247524}
{' #': -5.716237, ' 1': -0.14071713, ' 2': -2.2924447, ' one': -4.077425, ' two': -4.980513}
{' #': -5.8262568, ' 1': -0.07967245, ' 2': -3.0645072, ' one': -3.8816533, ' two': -5.688876}
{' #': -5.670389, ' 1': -0.12477411, ' 2': -2.4594223, ' one': -3.956338, ' two': -5.1284904}
{' 1': -0.09284291, ' 2': -2.8342388, ' one': -3.9280002, ' two': -5.477361, ' #': -5.7545533}
{' 1': -0.16999426, ' 2': -2.1014745, ' one': -4.001644, ' two': -4.7798557, ' #': -5.553798}
{' number': -6.0771003, ' #': -5.979213, ' 1': -0.055269364, ' 2': -3.5832121, ' one': -3.9712543}
{' number': -6.0473146, ' #': -5.9071255, ' 1': -0.062118255, ' 2': -3.4104323, ' one': -3.933027}
{' number': -6.066467, ' #': -5.89562, ' 1': -0.060562946, ' 2': -3.448302, ' one': -3.9406362}
{' #': -5.6170387, ' 1': -0.12508965, ' 2': -2.4539452, ' one': -3.9737663, ' two': -5.144223}
{' number': -6.0424495, ' #': -5.8285756, ' 1': -0.055847976, ' 2': -3.635632, ' one': -3.8888388}
{' #': -5.8797646, ' 1': -0.07129472, ' 2': -3.137714, ' one': -4.072206, ' two': -5.8492336}
{' 1': -0.048595525, ' 2': -3.7671432, ' one': -4.021206, ' #': -5.9977875, ' number': -6.165656}
{' number': -6.0383024, ' #': -5.905091, ' 1': -0.06251055, ' 2': -3.3580313, ' one': -4.009301}
{' #': -5.965158, ' 1': -0.060550284, ' 2': -3.3407702, ' one': -4.121013, ' two': -6.1020303}
{' 1': -0.13297123, ' 2': -2.3370042, ' one': -4.165945, ' two': -5.0737805, ' #': -5.7606754}
{' 1': -0.03646945, ' one': -3.8549662, ' 2': -4.666108, ' #': -6.1648235, ' number': -6.1680384}
{' #': -5.069994, ' 1': -0.9104586, ' 2': -0.62914175, ' one': -4.53133, ' two': -3.1496856}
{' #': -5.0214334, ' 1': -0.5324943, ' 2': -1.0312755, ' one': -4.108395, ' two': -3.5497901}
{' #': -5.0892186, ' 1': -0.40900764, ' 2': -1.2558743, ' one': -4.0466495, ' two': -3.783277}
{' #': -5.035437, ' 1': -0.3318058, ' 2': -1.4464526, ' one': -4.004747, ' two': -4.0232387}
{' #': -4.975494, ' 1': -0.47759277, ' 2': -1.1204798, ' one': -4.1315746, ' two': -3.6512053}
{' #': -4.9480844, ' 1': -0.46791688, ' 2': -1.1419718, ' one': -4.1101556, ' two': -3.6495214}
{' #': -5.036137, ' 1': -0.3395628, ' 2': -1.4262191, ' one': -3.9812787, ' two': -4.0139227}
{' #': -5.056556, ' 1': -0.33420798, ' 2': -1.4319596, ' one': -4.054743, ' two': -4.0610147}
{' #': -4.917302, ' 1': -0.5095882, ' 2': -1.0686474, ' one': -4.1350822, ' two': -3.5944939}
{' 1': -0.2795476, ' 2': -1.6249131, ' one': -3.8972385, ' two': -4.172019, ' #': -5.003494}
{' 1': -0.39217874, ' 2': -1.299474, ' two': -3.7976427, ' one': -4.0374765, ' #': -4.976318}
{' 1': -0.28981704, ' 2': -1.5901808, ' one': -3.865985, ' two': -4.153573, ' #': -5.0156984}
{' 1': -0.25079003, ' 2': -1.7411312, ' one': -3.844252, ' two': -4.279548, ' #': -4.998446}
{' 1': -0.221064, ' 2': -1.8686659, ' one': -3.8350317, ' two': -4.4416924, ' #': -5.0329638}
{' #': -4.991964, ' 1': -0.70313674, ' 2': -0.8194813, ' one': -4.224936, ' two': -3.2683737}
{' #': -5.2043686, ' 1': -0.19858994, ' 2': -1.966784, ' one': -3.9498372, ' two': -4.4771295}
{' #': -5.0776176, ' 1': -0.24599452, ' 2': -1.7399176, ' one': -3.9449596, ' two': -4.3587036}
{' #': -5.1942506, ' 1': -0.14747204, ' 2': -2.329019, ' one': -3.772413, ' two': -4.8924584}
{' #': -4.9299364, ' 1': -0.41629308, ' 2': -1.2522497, ' one': -3.9610643, ' two': -3.7452989}
{' 1': -0.18959537, ' 2': -2.044633, ' one': -3.7753649, ' two': -4.5911064, ' #': -5.091872}
{' 1': -0.23883735, ' 2': -1.7930326, ' one': -3.8361006, ' two': -4.293391, ' #': -5.050889}
{' #': -5.1567445, ' 1': -0.13051021, ' 2': -2.5165555, ' one': -3.6753595, ' two': -5.026066}
{' 1': -0.1921115, ' 2': -2.040771, ' one': -3.7525287, ' two': -4.558698, ' #': -5.0270267}
{' #': -5.177366, ' 1': -0.14915699, ' 2': -2.319838, ' one': -3.7610686, ' two': -4.864819}
{' #': -4.961413, ' 1': -0.3038086, ' 2': -1.5486147, ' one': -3.8736498, ' two': -4.0704713}
{' #': -5.326603, ' 1': -0.080253616, ' 2': -3.155365, ' one': -3.792629, ' two': -5.620934}
{' #': -5.2623467, ' 1': -0.11120165, ' 2': -2.6734822, ' one': -3.8019269, ' two': -5.284957}
{' #': -5.1974826, ' 1': -0.10541536, ' 2': -2.7811372, ' one': -3.7233884, ' two': -5.339302}
{' #': -4.9962583, ' 1': -0.17746598, ' 2': -2.1216667, ' one': -3.7889273, ' two': -4.716059}
{' #': -5.192592, ' 1': -0.08637476, ' 2': -3.1057951, ' one': -3.6796973, ' two': -5.6280828}
{' #': -5.183925, ' 1': -0.1373977, ' 2': -2.402456, ' one': -3.8282146, ' two': -4.9930806}
{' #': -5.267382, ' 1': -0.09925339, ' 2': -2.8428676, ' one': -3.7606416, ' two': -5.432788}
{' #': -5.216762, ' 1': -0.09124847, ' 2': -2.972674, ' one': -3.7611113, ' two': -5.5629864}
{' #': -5.292094, ' 1': -0.091406964, ' 2': -2.9538414, ' one': -3.7773638, ' two': -5.521017}
{' #': -5.108997, ' 1': -0.22570361, ' 2': -1.8307471, ' one': -3.9317105, ' two': -4.4172816}
{' number': -5.8684945, ' #': -5.4609985, ' 1': -0.05580266, ' 2': -3.9037771, ' one': -3.694419}
{' number': -5.513284, ' 1': -0.7095242, ' 2': -0.79914105, ' one': -4.451704, ' two': -3.2574139}
{' 1': -0.3700432, ' 2': -1.3309729, ' two': -3.863945, ' one': -4.112032, ' #': -5.5906973}
{' #': -5.555409, ' 1': -0.3881703, ' 2': -1.2918035, ' one': -4.0963516, ' two': -3.7945766}
{' 1': -0.19625306, ' 2': -1.9499838, ' one': -4.000496, ' two': -4.5394745, ' #': -5.6457667}
{' #': -5.512776, ' 1': -0.3626928, ' 2': -1.3541878, ' one': -4.0876665, ' two': -3.851937}
{' #': -5.4621153, ' 1': -0.29122093, ' 2': -1.5674146, ' one': -4.0083075, ' two': -4.0474215}
{' #': -5.5354385, ' 1': -0.22094579, ' 2': -1.8393408, ' one': -3.943076, ' two': -4.410116}
{' #': -5.5872254, ' 1': -0.24110019, ' 2': -1.7410144, ' one': -4.0051284, ' two': -4.31341}
{' #': -5.438056, ' 1': -0.3115199, ' 2': -1.5037386, ' one': -3.974064, ' two': -4.006766}
{' #': -5.534486, ' 1': -0.19419476, ' 2': -1.9759463, ' one': -3.9139519, ' two': -4.564722}
{' #': -5.5276394, ' 1': -0.24256536, ' 2': -1.7412453, ' one': -4.0206165, ' two': -4.2597694}
{' #': -5.558669, ' 1': -0.18018523, ' 2': -2.062391, ' one': -3.8770308, ' two': -4.646322}
{' #': -5.5623374, ' 1': -0.15577398, ' 2': -2.2356155, ' one': -3.847636, ' two': -4.7699423}
{' #': -5.5921254, ' 1': -0.1540769, ' 2': -2.236068, ' one': -3.8775284, ' two': -4.809475}
{' #': -5.424393, ' 1': -0.42733175, ' 2': -1.2158124, ' one': -4.068363, ' two': -3.6710145}
{' number': -5.6817756, ' 1': -0.12237078, ' 2': -2.5114279, ' one': -3.9179523, ' two': -4.9294534}
{' #': -5.669885, ' 1': -0.12233009, ' 2': -2.487307, ' one': -3.9488852, ' two': -5.1028843}
{' #': -5.7413983, ' 1': -0.09581161, ' 2': -2.8481271, ' one': -3.7974815, ' two': -5.361244}
{' #': -5.4508452, ' 1': -0.2686917, ' 2': -1.6508766, ' one': -3.9296336, ' two': -4.152881}
{' #': -5.6540456, ' 1': -0.12066087, ' 2': -2.545948, ' one': -3.8087957, ' two': -5.056158}
{' #': -5.6185517, ' 1': -0.15111727, ' 2': -2.2649345, ' one': -3.8769433, ' two': -4.766189}
{' #': -5.7946634, ' 1': -0.07744333, ' 2': -3.1796103, ' one': -3.7512674, ' two': -5.6895943}
{' #': -5.6247363, ' 1': -0.11221399, ' 2': -2.6512403, ' one': -3.7772834, ' two': -5.171514}
{' #': -5.765161, ' 1': -0.079986654, ' 2': -3.1176186, ' one': -3.7760084, ' two': -5.6152253}
{' #': -5.5510125, ' 1': -0.18906085, ' 2': -2.0172772, ' one': -3.8617578, ' two': -4.546389}
{' number': -5.9966154, ' #': -5.9392533, ' 1': -0.055637803, ' 2': -3.6931558, ' one': -3.8291683}
{' #': -5.865422, ' 1': -0.06617347, ' 2': -3.3806896, ' one': -3.821413, ' two': -5.951013}
{' number': -6.008699, ' #': -5.8405676, ' 1': -0.060579218, ' 2': -3.564817, ' one': -3.7887418}
{' 1': -0.12907004, ' 2': -2.4535062, ' one': -3.8292136, ' two': -5.0480275, ' #': -5.6494737}
{' number': -6.041061, ' #': -5.8341713, ' 1': -0.051327415, ' 2': -3.9251292, ' one': -3.766539}
{' #': -5.7252374, ' 1': -0.07732265, ' 2': -3.1234498, ' one': -3.8842623, ' two': -5.6582584}
{' #': -5.860913, ' 1': -0.06509889, ' 2': -3.3971355, ' one': -3.845178, ' two': -5.9546647}
{' number': -5.972063, ' #': -5.847474, ' 1': -0.05889101, ' 2': -3.5832705, ' one': -3.8364735}
{' number': -6.1204076, ' #': -6.0018115, ' 1': -0.05326848, ' 2': -3.6878564, ' one': -3.9103813}
{' #': -5.7364645, ' 1': -0.14469272, ' 2': -2.2822812, ' one': -3.9972336, ' two': -4.849923}
{' number': -6.041277, ' #': -6.1046414, ' 1': -0.040482715, ' 2': -4.7846746, ' one': -3.6647215}
{' number': -5.4687314, ' 1': -0.5948672, ' 2': -0.95465815, ' one': -4.208154, ' two': -3.1995556}
{' number': -5.589288, ' 1': -0.33021146, ' 2': -1.4610649, ' one': -3.9491744, ' two': -3.7781234}
{' number': -5.595277, ' 1': -0.34566328, ' 2': -1.4122546, ' one': -4.03174, ' two': -3.737726}
{' number': -5.736182, ' 1': -0.19521295, ' 2': -1.9840142, ' one': -3.8861763, ' two': -4.339945}
{' number': -5.53389, ' 1': -0.30667427, ' 2': -1.5461112, ' one': -3.8565495, ' two': -3.7941182}
{' number': -5.539173, ' 1': -0.25500572, ' 2': -1.7088573, ' one': -3.9541826, ' two': -4.040171}
{' number': -5.6652865, ' 1': -0.17894141, ' 2': -2.079002, ' one': -3.8791044, ' two': -4.4702144}
{' number': -5.856699, ' 1': -0.13515145, ' 2': -2.3585172, ' one': -3.9767041, ' two': -4.9275346}
{' number': -5.7084336, ' 1': -0.18414377, ' 2': -2.0287652, ' one': -3.96716, ' two': -4.5179753}
{' #': -5.803231, ' 1': -0.11559126, ' 2': -2.5649836, ' one': -3.91029, ' two': -5.10678}
{' number': -5.5258756, ' 1': -0.22844754, ' 2': -1.8281313, ' one': -3.8750823, ' two': -4.178658}
{' number': -5.820343, ' 1': -0.11136801, ' 2': -2.6123788, ' one': -3.896667, ' two': -5.1773963}
{' number': -5.8834896, ' 1': -0.09230394, ' 2': -2.8438716, ' one': -3.915357, ' two': -5.431846}
{' #': -5.9851775, ' 1': -0.08579853, ' 2': -2.9297638, ' one': -3.9377878, ' two': -5.5081577}
{' number': -5.6365776, ' 1': -0.20052147, ' 2': -1.9542007, ' one': -3.8985133, ' two': -4.380213}
{' number': -5.72519, ' 1': -0.12222616, ' 2': -2.4995167, ' one': -3.9335225, ' two': -4.891469}
{' number': -6.083999, ' 1': -0.07182875, ' 2': -3.128944, ' one': -4.038425, ' two': -5.7487226}
{' 1': -0.05509792, ' 2': -3.6111128, ' one': -3.9212112, ' number': -6.106817, ' two': -6.126342}
{' number': -5.789831, ' 1': -0.14037928, ' 2': -2.327988, ' one': -3.9505177, ' two': -4.839287}
{' number': -5.9746027, ' 1': -0.07927408, ' 2': -3.0587964, ' one': -3.9014804, ' two': -5.5828342}
{' number': -5.636747, ' 1': -0.15190855, ' 2': -2.2895465, ' one': -3.760782, ' two': -4.6387434}
{' number': -5.985606, ' 1': -0.060225155, ' 2': -3.5404723, ' one': -3.8190312, ' two': -6.003473}
{' number': -5.936423, ' 1': -0.07034688, ' 2': -3.2561932, ' one': -3.8626, ' two': -5.7940755}
{' number': -6.0193834, ' 1': -0.061875045, ' 2': -3.4989705, ' one': -3.799075, ' two': -5.973641}
{' number': -5.84334, ' 1': -0.1026945, ' 2': -2.7486446, ' one': -3.8012722, ' two': -5.204118}
{' 1': -0.06671772, ' 2': -3.3551795, ' one': -3.8384311, ' two': -5.725849, ' number': -5.9590735}
{' number': -6.188131, ' #': -6.270581, ' 1': -0.044657633, ' 2': -3.9643998, ' one': -3.9592407}
{' number': -6.0510855, ' #': -6.172451, ' 1': -0.05089457, ' 2': -3.8581054, ' one': -3.8155162}
{' number': -5.8698516, ' 1': -0.079624236, ' 2': -3.0624886, ' one': -3.8910866, ' two': -5.6044846}
{' number': -6.168141, ' #': -6.190116, ' 1': -0.04160428, ' 2': -4.1956058, ' one': -3.9073665}
{' 1': -0.050036453, ' 2': -3.7920237, ' one': -3.91401, ' number': -6.0880995, ' #': -6.222879}
{' number': -6.129881, ' #': -6.201426, ' 1': -0.047641717, ' 2': -3.8930871, ' one': -3.9086816}
{' number': -6.146935, ' #': -6.305492, ' 1': -0.042364072, ' 2': -4.194141, ' one': -3.8647096}
{' number': -6.2840896, ' #': -6.43565, ' 1': -0.03912023, ' 2': -4.28987, ' one': -3.9201703}
{' number': -6.108612, ' 1': -0.06070189, ' 2': -3.4284499, ' one': -3.9391577, ' two': -5.967823}
{' number': -6.329803, ' #': -6.6098833, ' 1': -0.028821852, ' 2': -5.641826, ' one': -3.8565726}
{' #': -5.5491495, ' 1': -0.326629, ' 2': -1.4436963, ' one': -4.132413, ' two': -3.9767256}
{' #': -5.6821136, ' 1': -0.19511412, ' 2': -1.945347, ' one': -4.063539, ' two': -4.5725346}
{' #': -5.674129, ' 1': -0.18859397, ' 2': -1.9756958, ' one': -4.1095266, ' two': -4.5953703}
{' 1': -0.1166666, ' 2': -2.4905488, ' one': -4.144613, ' two': -5.1982903, ' #': -5.768003}
{' #': -5.5771704, ' 1': -0.15673953, ' 2': -2.191867, ' one': -4.024001, ' two': -4.7892466}
{' 1': -0.1387661, ' 2': -2.3291233, ' one': -4.0025964, ' two': -4.9437523, ' #': -5.6807423}
{' #': -5.6942143, ' 1': -0.12040744, ' 2': -2.461552, ' one': -4.126278, ' two': -5.1773057}
{' #': -5.7037187, ' 1': -0.1457034, ' 2': -2.2527437, ' one': -4.079713, ' two': -4.9368696}
{' 1': -0.1717726, ' 2': -2.0878608, ' one': -4.064143, ' two': -4.705465, ' #': -5.4776134}
{' 1': -0.10370368, ' 2': -2.6635752, ' one': -4.0322795, ' two': -5.3441477, ' #': -5.685107}
{' #': -5.6928215, ' 1': -0.120237686, ' 2': -2.4941924, ' one': -4.008099, ' two': -5.1229973}
{' #': -5.67896, ' 1': -0.11897186, ' 2': -2.5131845, ' one': -3.9647644, ' two': -5.186265}
{' 1': -0.10686634, ' 2': -2.6376052, ' one': -3.9888833, ' two': -5.302728, ' #': -5.733009}
{' #': -5.6436505, ' 1': -0.10706521, ' 2': -2.6296978, ' one': -4.015463, ' two': -5.31506}
{' #': -5.4535995, ' 1': -0.26544175, ' 2': -1.645002, ' one': -4.092685, ' two': -4.1836243}
{' #': -5.8618855, ' 1': -0.07603144, ' 2': -3.0682092, ' one': -4.052571, ' two': -5.6490064}
{' #': -5.7958393, ' 1': -0.103432305, ' 2': -2.6323915, ' one': -4.135035, ' two': -5.403018}
{' #': -5.9077163, ' 1': -0.06524941, ' 2': -3.2960765, ' one': -4.005833, ' two': -5.9487424}
{' #': -5.557751, ' 1': -0.15890092, ' 2': -2.1663778, ' one': -4.080169, ' two': -4.801115}
{' 1': -0.08050572, ' 2': -3.0009062, ' one': -4.00343, ' two': -5.67886, ' #': -5.733917}
{' 1': -0.08133296, ' 2': -3.0149324, ' one': -3.935011, ' two': -5.6120505, ' #': -5.821106}
{' 1': -0.06513693, ' 2': -3.3617048, ' one': -3.9078016, ' #': -5.849207, ' two': -5.950928}
{' #': -5.8111944, ' 1': -0.075098954, ' 2': -3.1087444, ' one': -3.978497, ' two': -5.7578588}
{' number': -6.10618, ' #': -5.906961, ' 1': -0.05690428, ' 2': -3.5296538, ' one': -3.9822943}
{' #': -5.653691, ' 1': -0.10981815, ' 2': -2.59743, ' one': -4.0223985, ' two': -5.2925315}
{' number': -6.2382684, ' #': -6.2073417, ' 1': -0.03483074, ' 2': -4.5118566, ' one': -4.008309}
