{' Odd': -4.4407353, ' 1': -2.4530902, ' odd': -0.20778708, ' 0': -4.4610972, ' even': -2.702409}
{' Odd': -5.534735, ' ': -7.392885, ' 1': -3.2197018, ' odd': -0.067630574, ' even': -3.9925454}
{' an': -7.403799, ' Even': -6.908362, ' odd': -6.724699, ' 0': -6.1818166, ' even': -0.0070792506}
{' Odd': -5.284502, ' ': -7.4780564, ' 1': -2.0699003, ' odd': -0.14709647, ' even': -6.057599}
{' ': -7.935706, ' an': -7.361999, ' Even': -7.2670393, ' odd': -6.6264277, ' even': -0.0042014965}
{' Odd': -4.251168, ' ': -6.9081993, ' 1': -2.4909568, ' odd': -0.11429767, ' even': -5.2674613}
{' Odd': -4.7243557, ' 1': -4.576932, ' odd': -0.08334747, ' 0': -5.6050186, ' even': -2.9436798}
{' Even': -6.2196417, ' 1': -6.0133924, ' odd': -5.6331787, ' 0': -4.4591026, ' even': -0.026015662}
{' Odd': -5.0737715, ' 1': -1.7071465, ' odd': -0.22413918, ' 0': -6.00138, ' even': -5.2031927}
{' ': -7.410894, ' Even': -6.355544, ' odd': -6.8678126, ' 0': -5.6710243, ' even': -0.009168825}
{' odd': -0.08139164, ' 1': -2.780286, ' even': -4.821103, ' Odd': -5.5221033, ' 0': -7.1519156}
{' ': -8.4545765, ' an': -8.361621, ' Even': -7.9090996, ' odd': -7.669592, ' even': -0.0018205671}
{' odd': -0.18217243, ' 1': -1.8669734, ' Odd': -5.1717668, ' even': -5.9608636, ' ': -7.1258273}
{' even': -0.00727454, ' 0': -6.3185883, ' odd': -6.8483768, ' Even': -6.941419, ' an': -7.0288477}
{' Odd': -4.14492, ' ': -7.036371, ' 1': -2.687215, ' odd': -0.10382792, ' even': -4.5215793}
{' Odd': -4.345609, ' 1': -4.933911, ' odd': -0.14134753, ' 0': -6.0300503, ' even': -2.2803712}
{' even': -0.045724113, ' 0': -3.844094, ' 1': -4.996771, ' odd': -5.309203, ':': -5.9940963}
{' odd': -0.04312251, ' 1': -3.5244172, ' Odd': -5.1400757, ' even': -5.6648946, ' 0': -7.2782073}
{' even': -0.005809324, ' 0': -6.2760396, ' Even': -6.783319, ' ': -7.3024693, ' odd': -7.632381}
{' odd': -0.21231905, ' 1': -1.8466573, ' even': -3.869271, ' Odd': -4.921292, '\n': -6.8825884}
{' ': -7.095587, ' Even': -7.010625, ' odd': -6.130445, ' 0': -6.3531895, ' even': -0.008881994}
{' Odd': -4.8964167, ' ': -7.272912, ' 1': -2.3571942, ' odd': -0.113717355, ' even': -6.1515055}
{' an': -7.4417973, ' Even': -6.9876647, ' "': -8.319831, ' odd': -6.3008814, ' even': -0.004408978}
{' odd': -0.057890736, ' 1': -3.5187593, ' Odd': -4.248672, ' even': -4.7073765, ' an': -7.425727}
{' odd': -0.44490516, ' even': -1.6135864, ' 1': -2.1096754, ' 0': -4.0477343, ' Odd': -4.999604}
{' even': -0.015770193, ' 0': -5.484723, ' odd': -5.798235, ' Even': -6.4244285, ' 1': -6.452116}
{' Odd': -4.9909763, ' 1': -3.1013691, ' odd': -0.061672535, ' 0': -7.159269, ' even': -5.5241623}
{' even': -0.008129314, ' 0': -5.6081386, ' Even': -6.6333785, ' ': -7.4069285, ' odd': -7.6829963}
{' Odd': -4.837397, ' 1': -1.8492609, ' odd': -0.21398246, ' 0': -6.4481263, ' even': -3.9096467}
{' ': -7.8821993, ' Even': -7.692263, ' odd': -6.961547, ' 0': -6.9129124, ' even': -0.0040476182}
{'\n': -7.654963, ' Odd': -4.5157495, ' 1': -2.9316375, ' odd': -0.072295085, ' even': -5.7386594}
{' an': -6.60503, ' Even': -6.2210636, ' odd': -6.106057, ' 0': -6.8573604, ' even': -0.009359711}
{' Odd': -4.1715994, ' ': -7.1909466, ' 1': -3.3617115, ' odd': -0.060621522, ' even': -5.167753}
{' odd': -0.4223182, ' 1': -1.838967, ' even': -2.0581746, ' 0': -3.440001, ' Odd': -4.669703}
{' even': -0.015647445, ' 0': -5.08289, ' odd': -6.184577, ' Even': -6.354467, ' 1': -6.650939}
{' Odd': -5.024528, ' 1': -2.2186809, ' odd': -0.14228, ' 0': -7.013438, ' even': -4.4498534}
{' ': -7.7781496, ' Even': -6.865316, ' odd': -8.047541, ' 0': -7.6982617, ' even': -0.0035038183}
{' Odd': -5.791493, ' 1': -0.9065171, ' odd': -0.5696011, ' 0': -5.6928577, ' even': -4.008749}
{' an': -7.09285, ' Even': -6.6283965, ' EVEN': -7.89316, ' odd': -6.33652, ' even': -0.005534121}
{' Odd': -5.0974975, ' ': -7.5172043, ' 1': -2.38617, ' odd': -0.108503945, ' even': -6.2367287}
{' even': -0.0072583305, ' Even': -6.4209633, ' an': -6.696431, ' odd': -6.807983, ' 0': -7.081514}
{' odd': -0.082770854, ' 1': -2.975015, ' Odd': -4.167522, ' even': -4.676955, ' ': -7.24636}
{' Odd': -5.0401025, ' 1': -1.3359631, ' odd': -0.56018144, ' 0': -3.430433, ' even': -2.1919506}
{':': -7.2016144, ' Even': -6.720016, ' "': -7.222402, ' odd': -6.1372876, ' even': -0.008482229}
{' odd': -0.19311118, ' 1': -1.8613355, ' Odd': -4.6043124, ' even': -5.558843, ' 0': -6.236886}
{' Even': -6.510851, ' EVEN': -7.214217, ' odd': -6.7443767, ' 0': -6.986375, ' even': -0.0057785083}
{' Odd': -5.263015, ' 1': -2.7370493, ' odd': -0.10120323, ' 0': -7.0884523, ' even': -3.838891}
{' ': -7.720083, ' an': -7.611247, ' Even': -6.88943, ' odd': -7.2881103, ' even': -0.0040488145}
{' odd': -0.12270333, ' 1': -2.242771, ' Odd': -5.330876, ' ': -6.9737544, ' even': -7.1359115}
{' ': -6.7377286, ' an': -6.5247545, ' Even': -6.1682453, ' odd': -5.9620366, ' even': -0.011108804}
{' odd': -0.031648587, ' Odd': -4.2394943, ' even': -4.6797233, ' 1': -5.387089, ' "': -7.389899}
{' Odd': -4.604645, ' 1': -3.5301952, ' odd': -0.28741288, ' 0': -4.5295944, ' even': -1.653438}
{' even': -0.012110158, ' odd': -5.8566103, ' Even': -6.425796, ' "': -6.6222553, ' 0': -6.67896}
{' Odd': -4.7087517, ' 1': -1.6389905, ' odd': -0.24230392, ' 0': -5.9654307, ' even': -5.495008}
{' Even': -7.0948925, ' EVEN': -8.262212, ' odd': -6.498318, ' 0': -6.44096, ' even': -0.0052057854}
{' odd': -0.2490012, ' 1': -1.6208999, ' even': -4.4645505, ' Odd': -5.3635774, ' 0': -6.239397}
{' an': -6.9705186, ' Even': -6.766859, ' odd': -6.4038167, ' 0': -5.5192094, ' even': -0.011266242}
{' odd': -0.013698609, ' 1': -5.1794314, ' Odd': -5.400492, ' even': -6.171638, '\n': -8.288618}
{' even': -0.01079454, ' 0': -6.2335525, ' odd': -6.271884, ' Even': -6.3745775, ' an': -6.4283237}
{' Odd': -4.4007516, ' ': -7.1486096, ' 1': -2.5510588, ' odd': -0.11032566, ' even': -4.5419827}
{' Odd': -4.380603, ' 1': -2.4563305, ' odd': -0.21214786, ' 0': -3.7302246, ' even': -2.8884213}
{' even': -0.03374739, ' 0': -4.1994405, ' 1': -5.067612, ' odd': -5.4877, ' Even': -6.330376}
{' Odd': -5.0348597, ' 1': -3.7109535, ' "': -7.4560666, ' odd': -0.0388468, ' even': -5.56533}
{' Even': -6.597915, ' EVEN': -7.3934464, ' odd': -6.859929, ' 0': -7.0138726, ' even': -0.005472329}
{' Odd': -5.408463, ' 1': -1.6951282, ' "': -7.2017193, ' odd': -0.2307059, ' even': -4.3045316}
{' even': -0.008929984, ' 0': -5.875805, ' odd': -6.412688, ' 1': -6.96559, ' Even': -7.1268215}
{' Odd': -5.6191845, ' ': -8.343601, ' 1': -3.0227954, ' odd': -0.05677488, ' even': -6.483037}
{' even': -0.0046786037, ' odd': -6.969845, ' Even': -7.043713, ' an': -7.2951674, ' 0': -7.7734137}
{' odd': -0.052342955, ' 1': -3.3754096, ' Odd': -4.452251, ' even': -5.753404, ' ': -8.012816}
{' Odd': -4.69075, ' 1': -1.779625, ' odd': -0.37037292, ' 0': -3.933737, ' even': -2.3189003}
{' Even': -6.7422733, ' "': -7.0398593, ' odd': -5.820094, ' 0': -6.893491, ' even': -0.010299935}
{' Odd': -5.3043785, ' 1': -1.1712457, ' odd': -0.3959847, ' 0': -6.3360343, ' even': -5.125037}
{' ': -7.639469, ' Even': -6.5980515, ' odd': -7.458569, ' 0': -6.2585406, ' even': -0.006071587}
{' Odd': -5.6078224, ' ': -7.092165, ' 1': -2.4831474, ' odd': -0.1009777, ' even': -5.2596297}
{' even': -0.007795278, ' 0': -5.891987, ' odd': -6.7767034, ' Even': -6.9270043, ' ': -7.3675804}
{' odd': -0.063300945, ' 1': -3.1857278, ' even': -4.6687775, ' Odd': -4.7791195, '\n': -7.862678}
{' an': -6.3416123, ' Even': -6.173002, ' odd': -5.9811177, ' 0': -5.9327183, ' even': -0.014462269}
{' odd': -0.10008951, ' 1': -2.673074, ' Odd': -3.921782, ' even': -5.8301682, ' ': -7.294744}
{' Odd': -4.627141, ' 1': -3.3389874, ' odd': -0.21963045, ' 0': -4.7710376, ' even': -1.9976741}
{' an': -7.653155, ' Even': -6.879667, ' "': -7.2968116, ' odd': -5.248423, ' even': -0.009333238}
{' Odd': -4.9281898, ' 1': -1.66568, ' odd': -0.23305337, ' 0': -6.250539, ' even': -5.5609407}
{' Even': -6.847129, ' EVEN': -7.6823044, ' odd': -7.5004816, ' 0': -4.9899793, ' even': -0.010434658}
{' Odd': -5.8381763, ' ': -7.3776155, ' 1': -2.1651351, ' odd': -0.13356298, ' even': -5.4459233}
{' an': -6.818721, ' Even': -7.1908693, ' odd': -6.7534943, ' 0': -6.4280124, ' even': -0.0066442033}
{' Odd': -6.178249, ' ': -7.8633676, ' 1': -4.257368, ' odd': -0.018814161, ' even': -7.6884866}
{' even': -0.010717661, ' 0': -5.9833865, ' odd': -6.07744, ':': -6.7812505, ' Even': -6.8742847}
{' odd': -0.11089753, ' 1': -2.5310693, ' Odd': -4.0174108, ' even': -5.966555, ' ': -6.89852}
{' odd': -0.39486918, ' even': -1.713303, ' 1': -2.2048354, ' 0': -4.1007624, ' Odd': -5.084194}
{' even': -0.055944726, ' 0': -3.7290633, ' 1': -4.3763885, ' odd': -5.0368176, ' Even': -5.8285766}
{' Odd': -5.0813456, ' 1': -1.9826537, ' odd': -0.16886823, ' 0': -6.238398, ' even': -5.170827}
{' ': -7.023158, ' Even': -6.2292323, ' EVEN': -7.1951065, ' 0': -4.51517, ' even': -0.01774607}
{' Odd': -5.4204235, ' 1': -1.4818039, ' odd': -0.2798043, ' 0': -6.895214, ' even': -4.8510942}
{' even': -0.004758313, ' odd': -6.556962, ' Even': -6.7295194, ' an': -7.392127, ' EVEN': -7.922431}
{' Odd': -5.2873573, ' ': -7.6108227, ' 1': -3.414337, ' odd': -0.042370044, ' even': -6.514949}
{' an': -6.378621, ' Even': -6.5039787, ' odd': -6.866621, ' 0': -6.5020156, ' even': -0.008423682}
{' odd': -0.05895423, ' 1': -3.4082232, ' Odd': -4.1563473, ' even': -5.28936, ' "': -7.4053273}
{' odd': -0.22002438, ' even': -1.790131, ' Odd': -4.5854306, ' 1': -4.5995417, ' 0': -5.6039557}
{' even': -0.03089759, ' 0': -4.594228, ' 1': -5.091219, ' odd': -5.327222, ' Even': -5.9893956}
{' Odd': -4.909982, ' ': -7.5237317, ' 1': -3.7316127, ' odd': -0.040145624, ' even': -5.306496}
{' even': -0.009375896, ' 0': -5.6094837, ' Even': -6.218408, ' odd': -7.010856, ' ': -7.267656}
{' Odd': -5.530137, ' 1': -1.6967257, ' odd': -0.22911446, ' 0': -6.474435, ' even': -4.475697}
{' even': -0.005286317, ' odd': -6.427872, ' an': -7.2023535, ' 0': -7.2370887, ' Even': -7.4951158}
{' odd': -0.09140089, ' 1': -2.6168828, ' Odd': -4.728392, ' even': -5.8340926, '\n': -7.6189904}
{' even': -0.005549405, ' Even': -6.432518, ' odd': -6.838029, ' an': -7.255416, ' ': -7.6226664}
{' odd': -0.02590555, ' Odd': -4.5932717, ' 1': -4.6148505, ' even': -5.868152, ' "': -7.34802}
{' Odd': -4.6910696, ' 1': -1.8591633, ' odd': -0.4339924, ' 0': -3.9822464, ' even': -1.8768253}
{':': -6.1372156, ' 1': -4.95034, ' odd': -5.285231, ' 0': -4.582558, ' even': -0.033406954}
{' Odd': -4.7678375, ' 1': -2.123023, ' odd': -0.1498137, ' 0': -6.411997, ' even': -5.4146376}
{' even': -0.005716281, ' Even': -6.5161624, ' odd': -6.7804747, ' 0': -6.983045, ' EVEN': -7.2230563}
{' odd': -0.17619608, ' 1': -1.923007, ' even': -4.8056293, ' Odd': -5.746373, ' 0': -7.075942}
{' ': -7.3675804, ' Even': -6.9270043, ' odd': -6.7767034, ' 0': -5.891987, ' even': -0.007795278}
{' Odd': -5.2223425, ' ': -7.4205036, ' 1': -2.467806, ' odd': -0.0994343, ' even': -6.6237445}
{' even': -0.007963657, ' odd': -5.8859677, ' Even': -6.468722, ' an': -6.975914, ' ': -7.6277905}
{' odd': -0.08052465, ' 1': -2.9463198, ' Odd': -4.3164845, ' even': -4.8454676, ' ': -7.3585286}
{' Odd': -4.9599648, ' 1': -4.1302605, ' odd': -0.20648022, ' 0': -5.895982, ' even': -1.8612043}
{' even': -0.056109257, ' 0': -3.7299688, ' 1': -4.1966963, ' odd': -5.2042775, ':': -6.088962}
{' Odd': -4.820744, ' 1': -1.8347144, ' odd': -0.19577369, ' 0': -6.513746, ' even': -5.821703}
{' Even': -6.6668906, ' EVEN': -7.4550934, ' odd': -7.11282, ' 0': -6.9809756, ' even': -0.0051399423}
{' odd': -0.23475647, ' 1': -1.6377658, ' even': -5.2709727, ' Odd': -5.5856314, ' ': -6.8768926}
{' ': -6.9631686, ' Even': -6.478038, ' odd': -6.0525093, ' 0': -5.8890014, ' even': -0.010616088}
{' Odd': -5.2625437, ' an': -7.9324512, ' 1': -5.8573394, ' odd': -0.018106708, ' even': -4.8068256}
{' Even': -6.9040203, ' 1': -7.1482205, ' odd': -6.4734674, ' 0': -6.2467523, ' even': -0.008297583}
{' odd': -0.05871881, ' 1': -3.5458, ' Odd': -3.9015834, ' even': -5.340824, ' ': -7.328659}
{' Odd': -4.7294946, ' 1': -2.5480201, ' odd': -0.25508088, ' 0': -4.092055, ' even': -2.2068746}
{' Even': -6.5438704, ' 1': -5.7894716, ' odd': -5.5055785, ' 0': -4.9003677, ' even': -0.02144996}
{' odd': -0.17401792, ' 1': -1.9460992, ' Odd': -5.032667, ' even': -5.4126596, ' 0': -6.488656}
{' ': -7.5598702, ' Even': -6.579107, ' odd': -7.76555, ' 0': -5.955483, ' even': -0.006532606}
{' odd': -0.26944703, ' 1': -1.5492951, ' even': -4.3311086, ' Odd': -5.4831758, ' 0': -6.1696873}
{' an': -7.9396024, ' Even': -7.355248, ' "': -9.109121, ' odd': -6.9839516, ' even': -0.0025493389}
{' Odd': -5.659672, ' ': -7.968809, ' 1': -3.6477597, ' odd': -0.033740364, ' even': -6.245654}
{' ': -7.601498, ' an': -7.282384, ' Even': -6.408901, ' odd': -6.6578035, ' even': -0.0058271294}
{'\n': -7.3791347, ' Odd': -3.9468033, ' 1': -3.727524, ' odd': -0.07025365, ' even': -3.8692636}
{' Odd': -4.4305086, ' 1': -3.3917503, ' odd': -0.4996224, ' 0': -4.132327, ' even': -1.1372967}
{' even': -0.08881103, ' 0': -2.9897776, ' 1': -4.122203, ' odd': -5.3057537, ':': -5.7965336}
{' odd': -0.024398154, ' 1': -4.497393, ' Odd': -4.977187, ' even': -5.6694036, ' "': -7.7500806}
{' even': -0.009218935, ' 0': -5.3739, ' odd': -6.9180884, ' Even': -7.254288, ' EVEN': -7.2573886}
{' odd': -0.30193534, ' 1': -1.4765358, ' even': -3.9210937, ' Odd': -5.7115974, ' 0': -5.8567934}
{' ': -7.376442, ' Even': -6.7361083, ' odd': -6.636854, ' 0': -6.2509103, ' even': -0.0072655347}
{' Odd': -5.2488084, ' ': -7.851829, ' 1': -3.1032434, ' odd': -0.055651166, ' even': -6.291362}
{' even': -0.006871634, ' odd': -5.9327974, ' Even': -6.649099, ' an': -6.9333816, ' "': -7.839694}
{' Odd': -4.513245, ' ': -6.7115192, ' 1': -1.7676836, ' odd': -0.21896233, ' even': -4.7063107}
{' odd': -0.28912714, ' 1': -2.0895324, ' even': -2.4907737, ' 0': -3.9562166, ' Odd': -4.317736}
{' even': -0.09709829, ' 0': -2.94161, ' 1': -3.896862, ' odd': -4.958809, ':': -5.7962246}
{'\n': -7.7030015, ' Odd': -5.154988, ' 1': -3.0839581, ' odd': -0.057903934, ' even': -6.0821013}
{' Even': -7.242028, ' "': -8.878279, ' EVEN': -8.948793, ' odd': -7.618951, ' even': -0.0021138024}
{' odd': -0.3697534, ' 1': -1.2517992, ' even': -4.566592, ' Odd': -5.3259954, ' 0': -6.177782}
{' even': -0.0043542613, ' odd': -6.6247673, ' an': -7.4148088, ' Even': -7.54594, ' ': -7.6346335}
{' odd': -0.023021046, ' 1': -4.2634616, ' Odd': -5.341159, ' even': -6.1408124, ' an': -8.027422}
{' an': -7.065516, ' Even': -6.90433, ' odd': -6.424408, ' 0': -6.27772, ' even': -0.008245054}
{' Odd': -4.7570515, ' ': -7.164172, ' 1': -4.4070654, ' odd': -0.02500861, ' even': -6.9806013}
{' Odd': -4.675488, ' 1': -4.157125, ' odd': -0.19593203, ' 0': -5.235537, ' even': -1.9644133}
{' Even': -6.3171077, ' 1': -6.250979, ' odd': -5.996967, ' 0': -4.8576856, ' even': -0.018609073}
{' Odd': -4.5111723, ' 1': -2.454298, ' odd': -0.11804957, ' 0': -6.1553855, ' even': -5.1421394}
{' Even': -6.6043015, ' EVEN': -7.4061437, ' odd': -7.0522695, ' 0': -5.6464815, ' even': -0.008827154}
{' Odd': -5.6480517, ' 1': -1.7006572, ' odd': -0.23265307, ' 0': -5.8562794, ' even': -4.3269677}
{' an': -7.1273203, ' Even': -6.386505, ' odd': -6.5312304, ' 0': -6.8552656, ' even': -0.007314288}
{' Odd': -5.309013, ' ': -8.425324, ' 1': -4.7631993, ' odd': -0.016214013, ' even': -6.753539}
{' even': -0.0059965695, ' Even': -6.3666625, ' odd': -6.7800746, ' ': -7.2438216, ':': -7.390896}
{' Odd': -3.9800491, ' ': -7.2333403, ' 1': -2.6476033, ' odd': -0.10524112, ' even': -5.030572}
{' Odd': -4.4344215, ' 1': -2.1077664, ' odd': -0.27159908, ' 0': -4.3794746, ' even': -2.5212414}
{' even': -0.040172424, ' 0': -3.9544168, ' 1': -5.0556564, ' odd': -5.099878, ' Even': -6.5323744}
{' odd': -0.19380948, ' 1': -1.8451192, ' Odd': -4.8148365, ' even': -5.816162, ' 0': -6.509966}
{' even': -0.0048231157, ' 0': -6.6251006, ' Even': -6.780283, ' odd': -7.2934866, ' ': -7.867698}
{' odd': -0.37713087, ' 1': -1.2346958, ' even': -4.382306, ' Odd': -5.474439, ':': -6.7708077}
{' an': -7.0239587, ' Even': -6.554037, ' odd': -6.5863466, ' 0': -5.983379, ' even': -0.008778506}
{' Odd': -5.325269, ' an': -7.6687794, ' 1': -2.6529188, ' odd': -0.08383848, ' even': -5.942492}
{' ': -6.840142, ' an': -6.541845, ' Even': -6.3473606, ' odd': -6.4474187, ' even': -0.008480665}
{' Odd': -4.4294887, ' 1': -4.7675643, ' "': -7.4711637, ' odd': -0.030761555, ' even': -4.961313}
{' odd': -0.3714074, ' even': -1.9297636, ' 1': -2.1109178, ' 0': -3.8430836, ' Odd': -4.856934}
{' Even': -6.410584, ' 1': -5.4229536, ' odd': -5.6960907, ' 0': -4.3611445, ' even': -0.02818239}
{' Odd': -4.7742796, ' 1': -2.4578352, ' odd': -0.11491316, ' 0': -6.0711083, ' even': -5.1148386}
{' even': -0.0017850974, ' Even': -7.359738, ' odd': -7.7918696, ' EVEN': -9.09603, ' "': -9.098871}
{' odd': -0.2903377, ' 1': -1.4472038, ' even': -5.277939, ' Odd': -5.727397, ' 0': -6.1310973}
{' an': -7.5046506, ' Even': -7.206016, ' odd': -6.6302657, ' 0': -7.4171157, ' even': -0.0048378487}
{' odd': -0.085141115, ' 1': -2.7419841, ' Odd': -4.4910307, ' even': -5.7594523, ':': -7.748897}
{':': -7.2242227, ' Even': -6.812464, ' odd': -5.871677, ' 0': -6.788254, ' even': -0.008964144}
{' Odd': -4.5012035, ' 1': -4.463991, ' "': -7.4057083, ' odd': -0.02787896, ' even': -6.06212}
{' odd': -0.17449673, ' even': -2.2857018, ' 1': -3.4190245, ' Odd': -4.483342, ' 0': -4.7437534}
{':': -5.111513, ' 1': -4.399001, ' odd': -5.000901, ' 0': -3.0192995, ' even': -0.09354592}
{' odd': -0.27579445, ' 1': -1.548492, ' even': -4.4554524, ' Odd': -4.965397, ' 0': -5.589927}
{' ': -7.2985754, ' Even': -6.410955, ' odd': -7.25417, ' 0': -5.4027996, ' even': -0.009474995}
{' odd': -0.14684841, ' 1': -2.2781675, ' even': -3.7482727, ' Odd': -5.026382, ' 0': -6.9154015}
{' even': -0.004673872, ' 0': -6.6706867, ' odd': -6.763116, ' Even': -7.626864, ' ': -7.9620595}
{' Odd': -5.119177, ' ': -7.68399, ' 1': -2.4576397, ' odd': -0.10184483, ' even': -6.046979}
{' an': -5.9847813, ' Even': -5.8922715, ' odd': -5.9759574, ' 0': -5.67388, ' even': -0.017963843}
{' Odd': -4.409228, ' 1': -5.1332583, ' "': -7.7094, ' odd': -0.025857594, ' even': -5.2582946}
{' Odd': -4.5266457, ' 1': -4.3004475, ' odd': -0.16089241, ' 0': -5.4957476, ' even': -2.1743314}
{' Even': -6.3543754, ' 1': -4.7145696, ' odd': -5.5512695, ' 0': -3.0810087, ' even': -0.07222422}
{' Odd': -5.2067246, ' 1': -3.6236444, ' odd': -0.040314525, ' 0': -7.168899, ' even': -5.578652}
{' even': -0.0028850513, ' Even': -6.939635, ' odd': -7.510536, ' EVEN': -8.1376505, ' ': -8.659482}
{' Odd': -5.34325, ' 1': -1.6258689, ' odd': -0.24614249, ' 0': -6.1386786, ' even': -4.6195116}
{' Even': -6.8432956, ' 1': -7.0062385, ' odd': -6.329658, ' 0': -5.6535597, ' even': -0.010253564}
{' Odd': -4.9971457, ' an': -7.2957673, ' 1': -2.8727467, ' odd': -0.07305667, ' even': -5.859603}
{' even': -0.009259902, ' odd': -5.9144425, ' Even': -6.3444166, ' an': -6.6706123, ' ': -6.9989247}
{' Odd': -4.5438895, ' 1': -5.115663, ' "': -7.7002916, ' odd': -0.02656131, ' even': -4.927572}
{' Odd': -4.577943, ' 1': -4.226751, ' odd': -0.14691828, ' 0': -5.743074, ' even': -2.2803755}
{' even': -0.014140786, ' 0': -5.428842, ' odd': -5.982335, ' 1': -6.2202196, ' Even': -6.665722}
{' odd': -0.32141095, ' 1': -1.3539866, ' Odd': -5.1595893, ' even': -5.310764, ' 0': -6.260035}
{' ': -8.501824, ' Even': -6.903423, ' EVEN': -8.075256, ' odd': -7.2166767, ' even': -0.0033022033}
{' odd': -0.18966798, ' 1': -1.8182251, ' Odd': -5.8617587, ' even': -6.4984183, ' ': -6.709394}
{' Even': -6.7415996, ' EVEN': -7.4802127, ' odd': -6.47117, ' 0': -7.7499547, ' even': -0.0052355058}
{' Odd': -5.498104, ' ': -8.289257, ' 1': -4.715116, ' odd': -0.015672209, ' even': -6.690211}
{' even': -0.0093527315, ' Even': -6.15583, ' odd': -6.51952, ' an': -6.6302905, ' 0': -6.7173285}
{' Odd': -4.135314, ' ': -6.974555, ' 1': -2.4882393, ' odd': -0.12045114, ' even': -4.5761967}
{' odd': -0.39587206, ' even': -1.346914, ' 1': -3.6647682, ' Odd': -4.2552586, ' 0': -4.324417}
{' Even': -6.3896933, ' 1': -5.9485645, ' odd': -5.9200554, ' 0': -4.426367, ' even': -0.024814898}
{' odd': -0.064578466, ' 1': -3.1655715, ' Odd': -4.4592915, ' even': -5.214375, ' 0': -6.9898696}
{' ': -7.7791305, ' Even': -6.7729745, ' EVEN': -8.009737, ' 0': -7.4859447, ' even': -0.0038041917}
{' Odd': -5.7489533, ' 1': -1.520145, ' odd': -0.27930593, ' 0': -5.855457, ' even': -4.269674}
{' an': -6.926502, ' Even': -6.260103, ' odd': -6.0286727, ' 0': -6.1079407, ' even': -0.011062573}
{' odd': -0.032322876, ' 1': -3.7668352, ' Odd': -5.451144, ' even': -5.8456173, ' ': -8.168254}
{' an': -6.682025, ' Even': -6.0931683, ' odd': -6.4930987, ' 0': -7.1460457, ' even': -0.008518479}
{' Odd': -4.1254563, ' ': -6.607385, ' 1': -2.5972657, ' odd': -0.10908754, ' even': -5.003083}
