{' No': -0.01724444, 'No': -4.245142, '\n': -6.1593676, ' Yes': -7.7318993, ' ': -9.192548}
{' No': -0.05303572, '\n': -3.537218, ' ': -7.331789, 'No': -3.8311825, ' no': -9.438977}
{' No': -0.022256311, '\n': -6.5257745, ' ': -9.11234, 'No': -3.8987648, ' Yes': -9.012268}
{' No': -0.02823591, '\n': -8.394515, 'No': -3.5957694, ' Yes': -9.753009, ' no': -9.678745}
{' No': -0.026292088, '\n': -7.2312307, ' ': -9.560832, 'No': -3.6840565, ' Yes': -11.172032}
{' No': -0.008770327, '\n': -6.9542637, ' ': -9.763457, 'No': -5.0451226, ' Yes': -6.6960278}
{' No': -0.05690415, ' Yes': -3.0845912, 'No': -4.8895454, '\n': -6.5335603, 'Yes': -8.091501}
{' No': -0.018033393, '\n': -4.9892344, 'No': -5.063102, ' Yes': -6.526353, ' Hospital': -6.5791883}
{' No': -0.03658283, '\n': -3.57884, ' ': -7.0111895, 'No': -5.045673, ' Yes': -7.8027663}
{' No': -0.009421382, 'No': -4.9859056, '\n': -6.309462, ' Yes': -7.605952, ' ': -8.737755}
{' No': -0.014302028, 'No': -4.546263, '\n': -6.7407265, ' Yes': -6.8143964, ' Patient': -8.141759}
{' No': -0.008820538, '\n': -7.9802785, ' ': -10.010087, 'No': -4.7949986, ' Yes': -9.241028}
{' No': -0.06287488, '\n': -4.218854, ' ': -8.033187, 'No': -3.0918398, ' Yes': -8.118902}
{' No': -0.08685958, 'No': -2.9830103, '\n': -4.041018, ' Yes': -4.2804875, 'Yes': -7.562709}
{' No': -0.11697864, ' Not': -8.503629, '\n': -2.90935, ' ': -6.6128573, 'No': -2.9226522}
{' No': -0.092904985, '\n': -3.239048, ' ': -7.2515473, 'No': -3.0271165, ' Yes': -9.204884}
{' No': -0.06979004, '\n': -4.9506893, 'No': -2.8361986, ' Yes': -7.198171, ' Unfortunately': -7.9409595}
{' No': -0.061303824, '\n': -5.3228164, ' ': -8.465613, 'No': -2.9203446, ' Yes': -8.47552}
{' No': -0.12201462, '\n': -4.2403827, ' ': -7.6431494, 'No': -2.308267, ' Unfortunately': -8.279363}
{' No': -0.6082896, '\n': -2.5084896, 'No': -2.7685413, ' Yes': -1.2325382, 'Yes': -4.0988865}
{' No': -0.9603221, '\n': -2.9516015, 'No': -3.2493863, ' Yes': -0.6989523, 'Yes': -3.6334383}
{' No': -0.50613636, '\n': -1.4177287, 'No': -2.2121108, ' Unfortunately': -4.0298886, ' Yes': -4.1075616}
{' No': -0.39730263, '\n': -1.739908, 'No': -2.2434194, ' Yes': -3.6416206, ' Unfortunately': -4.6608467}
{' No': -0.35189873, '\n': -2.2256837, 'No': -2.1275659, ' Yes': -3.0834887, ' Unfortunately': -4.3110714}
{' No': -0.45728144, '\n': -2.45883, 'No': -1.9496386, ' Yes': -2.138102, 'Yes': -4.2331924}
{' No': -0.30611363, 'No': -1.9517434, '\n': -2.2600722, ' Yes': -4.5485373, ' Unfortunately': -5.793094}
{' No': -0.10198218, '\n': -5.9514275, 'No': -4.600191, ' Yes': -2.4864655, 'Yes': -6.983389}
{' No': -0.7820297, '\n': -4.8187346, 'No': -5.073428, ' Yes': -0.6584773, 'Yes': -5.249149}
{' No': -0.022494396, 'No': -4.7416506, '\n': -5.005206, ' Yes': -5.769957, ' Hospital': -6.322892}
{' No': -0.061806124, '\n': -3.4347878, ' ': -6.6800823, 'No': -3.7747157, ' Yes': -5.9295635}
{' No': -0.017936356, '\n': -5.584916, ' ': -8.546643, 'No': -4.406362, ' Yes': -6.477437}
{' No': -0.031090945, '\n': -5.094119, ' ': -8.213788, 'No': -3.9636338, ' Yes': -5.473708}
{' No': -0.017760448, '\n': -6.5250025, ' ': -9.121889, 'No': -4.2563334, ' Yes': -6.3639708}
{' Yes': -0.4295061, ' No': -1.3463228, '\n': -3.3414915, 'Yes': -3.5282552, 'No': -3.7946374}
{' No': -0.20710653, '\n': -2.0842407, 'No': -3.1776779, ' Yes': -5.3583593, ' Hospital': -5.3110642}
{' No': -1.0616143, '\n': -2.1834097, 'No': -4.262681, ' Yes': -0.67131156, 'Yes': -4.265815}
{' No': -0.049999043, '\n': -4.5655513, ' ': -7.868908, 'No': -3.4585207, ' Yes': -5.155166}
{' No': -0.07519668, '\n': -3.804702, 'No': -3.2193425, ' Yes': -4.8669825, ' Patient': -6.5790486}
{' No': -0.03952835, 'No': -3.8310285, ' Yes': -4.4991765, '\n': -5.2089353, 'Yes': -8.250685}
{' No': -1.5499188, '\n': -2.4197955, 'No': -4.2621875, ' Yes': -0.41708535, 'Yes': -3.7255342}
{' No': -0.30512342, '\n': -1.8834866, 'No': -2.6737893, ' Unfortunately': -3.5551996, ' ': -5.5750422}
{' No': -0.8053621, '\n': -0.9712634, ' Yes': -2.0445647, 'No': -3.5684865, 'Yes': -4.906099}
{' No': -0.26213044, ' Not': -5.394693, '\n': -1.9978101, 'No': -2.803104, ' Unfortunately': -3.7879765}
{' No': -0.27533445, '\n': -2.0392237, 'No': -2.8543727, ' Yes': -3.0717955, 'Yes': -6.065982}
{' No': -0.2637524, '\n': -1.9942135, 'No': -2.990946, ' Yes': -3.2001252, 'Yes': -6.226563}
{' No': -2.3661175, '\n': -5.3196125, 'No': -6.089836, ' Yes': -0.12086882, 'Yes': -4.389063}
{' No': -3.4317756, '\n': -5.947107, 'No': -7.125373, ' Yes': -0.051078666, 'Yes': -4.3725147}
{' Yes': -0.68125296, ' No': -0.8735976, '\n': -3.5997307, ' Sur': -3.722503, 'No': -4.46401}
{' No': -0.03519587, '\n': -5.4712443, ' ': -8.019748, 'No': -3.549623, ' Yes': -6.9919066}
{' No': -0.108943306, '\n': -5.0369406, 'No': -3.8564255, ' Yes': -2.6286461, ' Patient': -6.5173764}
{' No': -0.017144267, '\n': -7.3837843, ' ': -9.662975, 'No': -4.2646685, ' Yes': -6.1225004}
{' No': -0.12634243, '\n': -5.6051097, 'No': -4.1699786, ' Yes': -2.327339, 'Yes': -6.3942785}
{' No': -0.16145992, ' Yes': -2.139178, 'No': -4.015479, '\n': -4.9983664, ' Doctor': -5.5349526}
{' No': -0.11218491, ' Hospital': -3.1560006, '\n': -3.442162, 'No': -3.854256, ' ': -5.8341885}
{' No': -0.025741387, 'No': -3.9913552, '\n': -5.305561, ' Yes': -6.5546618, ' ': -7.914446}
{' No': -0.06593488, '\n': -3.824062, 'No': -4.1887584, ' Yes': -3.948114, ' Patient': -5.117288}
{' No': -0.015317171, '\n': -6.510724, ' ': -8.86374, 'No': -4.37951, ' Yes': -6.927123}
{' No': -0.025505159, '\n': -5.25292, ' ': -8.244701, 'No': -4.0773067, ' Yes': -5.9441047}
{' No': -0.14695391, '\n': -4.302555, 'No': -4.260515, ' Yes': -2.371525, ' Doctor': -4.351288}
{' No': -0.015468373, 'No': -4.760198, '\n': -5.3641524, ' Yes': -6.7411575, ' ': -7.5042315}
{' No': -0.026499553, '\n': -4.30312, ' ': -7.396846, 'No': -4.575402, ' Yes': -6.530607}
{' No': -0.016860293, 'No': -4.714818, ' Yes': -5.4996614, '\n': -5.773181, ' ': -8.717356}
{' No': -0.00968893, '\n': -7.8819075, ' ': -9.612374, 'No': -4.6975646, ' Yes': -9.785139}
{' No': -0.7083386, '\n': -2.693011, 'No': -3.583268, ' Yes': -0.9350022, 'Yes': -4.2847733}
{' Yes': -0.2012973, ' No': -2.5357203, '\n': -2.81076, 'Yes': -3.4012656, 'No': -5.120479}
{' No': -0.4737676, '\n': -1.3222822, 'No': -2.5495827, ' Unfortunately': -3.7682052, ' Not': -5.790375}
{' No': -0.4526349, '\n': -1.7332535, ' Yes': -2.1150112, 'No': -3.122135, ' Unfortunately': -4.908651}
{' No': -0.20239922, ' Not': -5.103301, '\n': -2.8378932, 'No': -2.2303305, ' Unfortunately': -5.054469}
{' No': -0.130979, '\n': -2.9315102, 'No': -2.8473468, ' Yes': -5.416757, ' Unfortunately': -5.3155336}
{' No': -0.03753355, ' Yes': -3.9968019, 'No': -4.2172475, '\n': -5.7187176, 'Yes': -8.215269}
{' Yes': -0.21659009, ' No': -1.7278302, 'Yes': -4.7283106, 'No': -5.759993, '\n': -6.0391164}
{' No': -0.030338394, 'No': -4.4094124, '\n': -4.443865, ' Hospital': -6.006538, ' ': -6.6093135}
{' No': -0.03646024, '\n': -3.9893982, ' ': -7.2066507, 'No': -4.149165, ' Yes': -7.8057985}
{' No': -0.019064732, '\n': -6.523457, ' ': -9.111883, 'No': -4.068938, ' Yes': -8.976367}
{' No': -0.039797936, 'No': -4.1790895, ' Yes': -4.4524674, '\n': -5.1947293, ' Patient': -5.1981897}
{' No': -0.013958777, '\n': -6.1577363, ' ': -9.220135, 'No': -4.4626074, ' Yes': -9.431886}
{' No': -0.051784806, 'No': -3.1810627, '\n': -4.9650345, ' Yes': -6.784168, ' ': -7.90098}
{' No': -0.037003644, '\n': -4.3924646, ' ': -7.0979395, 'No': -3.9438334, ' Yes': -5.894593}
{' No': -0.03975359, '\n': -3.9908068, 'No': -4.0530324, ' Yes': -6.1632657, ' ': -7.4423313}
{' No': -0.019759307, '\n': -6.588195, ' ': -8.811879, 'No': -4.1448812, ' Yes': -6.173476}
{' No': -0.017861046, '\n': -5.661614, ' ': -9.022358, 'No': -4.584929, ' Yes': -5.669525}
{' No': -0.019942677, '\n': -6.8156457, ' ': -9.394731, 'No': -4.002506, ' Yes': -8.482957}
{' No': -0.013678123, 'No': -4.4788346, '\n': -6.2127037, ' Yes': -8.796551, ' ': -9.751041}
{' No': -0.03464641, ' Yes': -4.0439253, 'No': -4.594653, '\n': -5.7590723, ' Doctor': -5.93834}
{' No': -0.031419087, '\n': -4.289029, ' ': -6.800409, 'No': -4.260144, ' Yes': -6.902878}
{' No': -0.031771995, '\n': -4.2780714, ' ': -7.3581414, 'No': -4.12263, ' Yes': -8.528961}
{' No': -0.013211203, 'No': -4.531581, '\n': -6.3711796, ' Yes': -7.796038, ' ': -8.78956}
{'Pat': -3.7563586, ' No': -0.0992201, 'No': -4.016628, ' Pat': -3.4347663, ' Patient': -4.765678}
{' No': -0.016266111, '\n': -6.540508, ' ': -9.208011, 'No': -4.2509065, ' Yes': -8.303601}
{' No': -0.020975988, '\n': -5.8553853, ' ': -9.217338, 'No': -4.0350537, ' Yes': -9.516115}
{' No': -0.027162006, 'No': -3.8259804, ' Yes': -5.559011, '\n': -6.930988, ' ': -9.435226}
{' No': -0.016252842, '\n': -5.2887383, ' ': -7.449698, 'No': -4.6456513, ' Yes': -7.702333}
{' No': -0.026444774, '\n': -4.588289, ' ': -7.5464525, 'No': -4.193216, ' no': -9.07508}
{' No': -0.018742919, '\n': -6.9122877, ' ': -8.970054, 'No': -4.05857, ' Yes': -9.18677}
{' No': -0.026153315, '\n': -8.21117, 'No': -3.676084, ' Yes': -9.884495, ' no': -9.427475}
{' No': -0.018023135, 'No': -4.0531416, '\n': -7.790825, ' ': -10.014135, ' Yes': -11.305832}
{' No': -0.012503775, 'No': -4.5956163, '\n': -6.163298, ' Yes': -9.024049, ' ': -9.434556}
{' No': -0.02747159, '\n': -6.6257133, 'No': -4.7275844, ' Yes': -4.104019, 'Yes': -8.987162}
{' No': -0.023055445, 'No': -4.387393, '\n': -4.957311, ' ': -6.818904, ' Not': -7.2995906}
{' No': -0.028052116, '\n': -4.105866, 'No': -4.6014295, ' ': -7.2274675, ' Yes': -8.719123}
{' No': -0.009098568, '\n': -6.8911214, ' ': -8.932661, 'No': -4.872273, ' Yes': -8.667899}
{' No': -0.0108490065, '\n': -6.1224494, 'No': -4.981752, ' Pat': -8.107171, ' Yes': -7.8444915}
{' No': -0.012554776, 'No': -4.4428353, '\n': -7.4341545, ' ': -9.935371, ' Yes': -10.047583}
{' No': -0.070309974, '\n': -4.501226, ' ': -7.9632006, 'No': -2.8793766, ' Unfortunately': -8.8212385}
{' No': -0.058305826, '\n': -4.6374054, ' ': -8.057881, 'No': -3.111496, ' Yes': -6.275024}
{' No': -0.10543457, 'No': -2.8406427, '\n': -3.232458, ' ': -6.5924973, ' Unfortunately': -8.148941}
{' No': -0.13314404, '\n': -3.415941, ' ': -7.1360526, 'No': -2.4096942, ' Unfortunately': -7.1552577}
{' No': -0.066186965, '\n': -5.5198383, ' ': -8.315607, 'No': -2.8306901, ' Unfortunately': -7.7919216}
{' No': -0.06414642, 'No': -2.8682063, '\n': -5.4352703, ' Unfortunately': -7.7711773, ' ': -8.339648}
{' No': -0.11586536, 'No': -2.316875, '\n': -4.6186748, ' ': -7.965863, ' Unfortunately': -7.987594}
{' No': -0.13320266, 'No': -2.785447, '\n': -3.2050238, ' Yes': -4.121625, ' Unfortunately': -5.555066}
{' No': -0.7582659, '\n': -3.7517066, 'No': -3.4747634, ' Yes': -0.7786746, 'Yes': -4.2109537}
{' No': -0.30870196, '\n': -2.0998797, 'No': -2.362842, ' Yes': -4.204236, ' Unfortunately': -3.741729}
{' No': -0.25325084, '\n': -2.9584165, 'No': -2.2594306, ' Yes': -3.0026233, ' Unfortunately': -4.8236012}
{' No': -0.2335045, '\n': -3.0681884, 'No': -2.3515904, ' Yes': -3.2187796, ' Unfortunately': -4.0301046}
{' No': -0.24396785, '\n': -3.629382, 'No': -2.2644298, ' Yes': -2.6409805, ' Unfortunately': -5.2419615}
{' No': -0.17876342, '\n': -3.0659723, 'No': -2.2787333, ' Yes': -5.143836, ' Unfortunately': -5.035907}
{' No': -0.016374318, '\n': -5.9213, ' ': -8.983514, 'No': -4.4906974, ' Yes': -6.1465635}
{' No': -0.10736738, ' Yes': -2.5696895, 'No': -4.197411, '\n': -4.880032, ' Doctor': -6.952597}
{' No': -0.018000195, 'No': -5.036625, '\n': -5.1323113, ' Yes': -5.903368, ' ': -7.068753}
{' No': -0.017792668, 'No': -4.7374597, '\n': -4.820439, ' ': -8.063981, ' Yes': -8.290518}
{' No': -0.024985507, 'No': -3.8915513, '\n': -5.8189306, ' Yes': -7.3149233, ' ': -8.17081}
{' No': -0.0136860395, ' Not': -9.020575, '\n': -6.778322, 'No': -4.425341, ' Yes': -8.602682}
{' No': -0.018680792, '\n': -6.3934555, ' ': -9.521448, 'No': -4.114002, ' Yes': -8.054485}
{' No': -1.3153353, '\n': -3.1205795, 'No': -3.9899244, ' Yes': -0.43784234, 'Yes': -3.8366919}
{' No': -0.2889407, '\n': -1.7638894, 'No': -3.000624, ' Unfortunately': -4.618284, ' Not': -5.0312047}
{' No': -0.49827337, '\n': -1.7549167, 'No': -3.3731167, ' Yes': -1.7429043, 'Yes': -5.033988}
{' No': -0.071026295, 'No': -3.3802168, '\n': -3.6604178, ' Yes': -5.222948, ' Unfortunately': -6.8699856}
{' No': -0.09920101, 'No': -3.041347, '\n': -3.3416705, ' Yes': -4.979187, ' Patient': -6.122117}
{' No': -0.05197578, '\n': -4.0991216, ' ': -8.128592, 'No': -3.7242303, ' Yes': -4.686772}
{' No': -0.28005475, ' Yes': -2.380658, '\n': -2.426173, 'No': -2.895245, 'Yes': -5.606127}
{' No': -0.1546412, '\n': -2.911763, ' ': -6.0262084, 'No': -2.7557364, ' Unfortunately': -4.0195665}
{' No': -0.12696369, '\n': -2.8973455, 'No': -3.1470234, ' Yes': -4.580329, ' Unfortunately': -5.034045}
{' No': -0.14732347, '\n': -2.9517307, 'No': -2.8407247, ' Yes': -6.0720744, ' Unfortunately': -3.9478755}
{' No': -0.2461399, '\n': -2.294224, 'No': -2.2852883, ' Yes': -5.071205, ' Unfortunately': -5.2304897}
{' No': -0.14597374, '\n': -2.6920896, 'No': -2.7798963, ' Yes': -5.637993, ' Unfortunately': -6.855776}
{' No': -0.13655755, '\n': -5.4563413, 'No': -4.347544, ' Yes': -2.216735, 'Yes': -6.698682}
{' Yes': -0.3765514, ' No': -1.246621, 'Yes': -4.555817, 'No': -4.810557, '\n': -5.0859017}
{' No': -0.1482901, ' Yes': -2.7657351, 'No': -3.2956195, '\n': -3.4325156, 'Yes': -6.3362236}
{' No': -0.036804996, '\n': -5.456515, ' ': -8.255514, 'No': -3.4806945, ' Yes': -7.7343445}
{' No': -0.08953252, ' Yes': -3.4253263, 'No': -3.4815288, '\n': -4.049234, ' Patient': -5.8363013}
{' No': -0.017335953, 'No': -4.1605434, '\n': -7.078666, ' Yes': -7.3859386, ' ': -9.571616}
{' No': -0.6679084, ' Yes': -0.776387, '\n': -4.448926, 'No': -4.82721, 'Yes': -5.0302777}
{' No': -0.09740422, ' Yes': -2.8704202, 'No': -3.9273791, '\n': -4.4286857, ' Doctor': -5.9807234}
{' No': -0.052802503, '\n': -3.7721188, 'No': -4.02365, ' Hospital': -5.214034, ' ': -6.35489}
{' No': -0.023817614, '\n': -5.3677616, ' ': -8.077915, 'No': -4.0405507, ' Yes': -7.4591007}
{' No': -0.03709402, 'No': -3.9178483, '\n': -4.3224907, ' Patient': -6.5606337, ' Yes': -6.7811317}
{' No': -0.010716337, 'No': -4.706168, '\n': -6.720965, ' Yes': -8.142306, ' ': -9.358214}
{' No': -0.020151993, 'No': -4.005084, '\n': -6.482569, ' Yes': -9.322508, ' ': -9.414945}
{' No': -0.022275573, '\n': -5.617273, 'No': -4.13587, ' Yes': -6.424367, ' Doctor': -7.8766932}
{' No': -0.017768882, '\n': -5.324537, ' ': -7.6344275, 'No': -4.470852, ' Yes': -7.5538363}
{' No': -0.02358416, 'No': -4.452944, '\n': -4.676868, ' Yes': -6.350776, ' ': -7.8746715}
{' No': -0.012710875, 'No': -4.884768, '\n': -5.888557, ' Yes': -6.5122523, ' Patient': -8.354971}
{' No': -0.010865998, '\n': -7.952779, ' ': -9.728522, 'No': -4.5707374, ' Yes': -10.769199}
{' No': -0.2211808, '\n': -2.7991304, 'No': -3.0452585, ' Yes': -2.5639656, ' Unfortunately': -4.800063}
{' No': -1.3415107, '\n': -3.5001276, 'No': -3.9750078, ' Yes': -0.41758513, 'Yes': -3.732271}
{' No': -0.48281705, '\n': -1.3252567, 'No': -2.7048874, ' Unfortunately': -3.233601, ' ': -5.4622307}
{' No': -0.2007266, '\n': -2.7158592, 'No': -2.679803, ' Yes': -5.501239, ' Unfortunately': -3.3862941}
{' No': -0.20356697, ' Not': -5.290895, '\n': -3.018964, 'No': -2.421455, ' Unfortunately': -3.4037929}
{' No': -0.12236592, '\n': -3.4377, 'No': -2.5604818, ' Yes': -7.6153903, ' Unfortunately': -5.538191}
{' No': -0.025712462, '\n': -5.4277544, ' ': -8.888418, 'No': -3.8774333, ' Yes': -9.37054}
{' No': -0.13862129, '\n': -5.769427, 'No': -4.2987967, ' Yes': -2.1970222, 'Yes': -6.751749}
{' No': -0.020915184, 'No': -4.2936525, '\n': -5.1356936, ' ': -7.772595, ' Not': -8.128503}
{' No': -0.023489634, 'No': -4.2711225, '\n': -4.748036, ' ': -8.020653, ' Yes': -9.59589}
{' No': -0.020946592, '\n': -5.994165, ' ': -8.910435, 'No': -4.022608, ' Yes': -9.504744}
{' No': -0.019710734, 'No': -4.246844, '\n': -5.430151, ' Patient': -8.145657, ' ': -8.696962}
{' No': -0.049598902, '\n': -5.0429077, ' ': -8.479326, 'No': -3.218197, ' Yes': -6.628015}
{' No': -0.05099994, '\n': -4.9881372, ' ': -7.993768, 'No': -3.4229631, ' Yes': -4.698297}
{' No': -0.020761635, 'No': -4.2813263, '\n': -5.2896442, ' ': -7.707947, ' Yes': -7.804302}
{' No': -0.0334541, '\n': -4.0604215, ' ': -7.9267173, 'No': -4.244039, ' Yes': -7.3457427}
{' No': -0.030523283, 'No': -3.7653806, '\n': -5.3175335, ' Yes': -6.536825, ' ': -8.117352}
{' No': -0.016019031, 'No': -4.7704782, ' Yes': -5.306035, '\n': -6.16673, ' Not': -9.184253}
{' No': -0.016596641, ' Not': -9.62061, '\n': -6.7465076, 'No': -4.2094984, ' Yes': -8.337148}
{' No': -0.057698824, 'No': -3.6048272, ' Yes': -3.8644786, '\n': -5.018066, 'Yes': -7.477231}
{' No': -0.37021446, ' Yes': -1.284895, 'No': -4.3273997, '\n': -4.672146, ' Doctor': -5.3525443}
{' No': -0.026511302, ' Not': -7.078618, '\n': -4.4641924, 'No': -4.515006, ' Yes': -6.640839}
{' No': -0.07286247, '\n': -3.0551507, ' ': -6.8893847, 'No': -3.9561365, ' Yes': -6.354026}
{' No': -0.013942822, '\n': -6.41115, ' ': -9.112549, 'No': -4.6088843, ' Yes': -6.222919}
{'Pat': -5.334987, ' No': -0.03954509, '\n': -5.124006, 'No': -4.210075, ' Pat': -4.968384}
{' No': -0.013901056, ' Not': -9.294938, '\n': -6.97053, 'No': -4.425915, ' Yes': -7.326}
{' No': -0.01935705, 'No': -4.070979, '\n': -6.254147, ' ': -9.315388, ' Yes': -9.720662}
{' No': -0.03019789, '\n': -6.844076, ' ': -9.427694, 'No': -3.7156358, ' Yes': -5.4869637}
{' No': -0.025479296, ' Not': -9.192415, '\n': -4.6176705, ' ': -7.7527356, 'No': -4.23446}
{' No': -0.039644994, '\n': -3.9445767, 'No': -3.9739213, ' ': -7.530285, ' no': -9.498343}
{' No': -0.02223882, 'No': -3.930991, '\n': -6.200448, ' ': -8.737655, ' Yes': -9.025357}
{' No': -0.018436814, '\n': -6.837959, ' ': -10.058287, 'No': -4.0700307, ' Yes': -10.146218}
{' No': -0.02377909, '\n': -7.461637, ' ': -9.683685, 'No': -3.780182, ' no': -11.541071}
{' No': -0.012154081, '\n': -6.6882534, ' ': -9.438202, 'No': -4.5959835, ' Yes': -7.4390144}
{' No': -0.08054997, '\n': -4.9829035, 'No': -4.6069746, ' Yes': -2.8303018, 'Yes': -7.578301}
{' No': -0.01761066, '\n': -4.9873295, ' ': -7.0431075, 'No': -4.9175606, ' Yes': -7.0563564}
{' No': -0.03216523, '\n': -3.7382483, 'No': -5.031139, ' ': -7.2255154, ' Yes': -8.249131}
{' No': -0.011142011, 'No': -4.865617, '\n': -5.990601, ' Yes': -7.660268, ' ': -8.3951235}
{' No': -0.009356162, 'No': -5.1981587, '\n': -5.901306, ' Yes': -7.868128, ' ': -8.737067}
{' No': -0.009489257, '\n': -7.224758, ' ': -9.461096, 'No': -4.768379, ' Yes': -9.248476}
{' No': -0.09502488, '\n': -3.930985, ' ': -7.4864817, 'No': -2.6613204, ' Yes': -8.185695}
{' No': -0.117042564, '\n': -3.4647462, ' ': -6.9759693, 'No': -2.6390362, ' Yes': -5.101446}
{' No': -0.15003349, ' Not': -8.28351, '\n': -2.8026557, ' ': -6.168691, 'No': -2.583488}
{' No': -0.23531495, '\n': -1.9571015, 'No': -2.7311034, ' ': -6.054508, ' Unfortunately': -8.207344}
{' No': -0.12987834, 'No': -2.2979748, '\n': -3.938033, ' ': -7.2603025, ' Unfortunately': -7.637055}
{' No': -0.104317114, 'No': -2.5292647, '\n': -4.0185623, ' ': -7.4702916, ' Unfortunately': -7.9717216}
{' No': -0.1613816, '\n': -3.8270824, ' ': -7.233298, 'No': -2.0738268, ' Unfortunately': -7.6193776}
{' No': -0.30548757, ' Yes': -2.2254648, '\n': -2.6473892, 'No': -2.6497104, 'Yes': -5.2473435}
{' No': -0.53234035, ' Yes': -1.2237236, 'No': -2.8422844, '\n': -3.2006543, 'Yes': -4.237506}
{' No': -0.38618398, '\n': -1.7536824, 'No': -2.441436, ' Yes': -4.3476152, ' Unfortunately': -3.3458605}
{' No': -0.5209363, '\n': -1.4978212, 'No': -2.2178547, ' Yes': -3.32228, ' Unfortunately': -3.9016926}
{' No': -0.302839, 'No': -2.2713504, '\n': -2.4198108, ' Yes': -3.4697983, ' Unfortunately': -3.5625286}
{' No': -0.2906517, '\n': -2.756018, 'No': -2.1192899, ' Yes': -2.952099, ' Unfortunately': -5.057068}
{' No': -0.2594952, '\n': -2.664744, 'No': -2.002318, ' Yes': -4.29508, ' Unfortunately': -5.1449265}
{' No': -0.039230257, '\n': -4.7962112, ' ': -8.112098, 'No': -3.9642868, ' Yes': -4.566883}
{' No': -1.5474012, '\n': -4.040382, 'No': -5.244064, ' Yes': -0.28849208, 'Yes': -4.4409294}
{' No': -0.045075, '\n': -3.7586389, ' ': -6.820999, 'No': -4.5357895, ' Yes': -4.9919243}
{' No': -0.090050176, '\n': -2.898224, 'No': -4.042832, ' Yes': -4.5998707, ' ': -6.757639}
{' No': -0.025923533, '\n': -5.446608, 'No': -4.047108, ' Yes': -5.9432874, ' Unfortunately': -7.383595}
{' No': -0.022204082, 'No': -4.3987164, '\n': -5.1484838, ' Yes': -5.772007, ' ': -8.552786}
{' No': -0.03706878, 'No': -3.5188227, '\n': -5.1788363, ' Yes': -7.6899266, ' Unfortunately': -8.490087}
{' Yes': -0.79279035, ' No': -0.8174505, '\n': -2.9602993, 'No': -3.379798, 'Yes': -4.0342646}
{' No': -0.31992823, '\n': -1.593627, 'No': -3.1005125, ' Yes': -5.284871, ' Hospital': -5.149686}
{' No': -0.34809527, '\n': -1.6798327, 'No': -3.5237582, ' Yes': -2.6396658, 'Yes': -5.9925466}
{' No': -0.08981723, '\n': -3.536419, 'No': -3.0503445, ' Yes': -5.134861, ' Unfortunately': -6.752902}
{' No': -0.120166436, '\n': -2.9343104, 'No': -3.278751, ' Yes': -4.035642, ' Patient': -6.1383486}
{' No': -0.067100674, '\n': -3.9003942, 'No': -3.9478567, ' Yes': -3.719757, 'Yes': -7.636751}
{' No': -1.44543, '\n': -2.255893, 'No': -3.9475682, ' Yes': -0.49318823, 'Yes': -3.7957242}
{' No': -0.6115744, '\n': -1.0977213, ' ': -4.6946497, 'No': -2.673693, ' Unfortunately': -3.297083}
{' No': -0.8823062, '\n': -1.5237018, 'No': -3.695445, ' Yes': -1.1636097, 'Yes': -4.230542}
{' No': -0.32283583, '\n': -1.8746394, 'No': -2.8113668, ' Unfortunately': -3.0756776, ' Yes': -5.0925255}
{' No': -0.20494601, '\n': -2.371244, 'No': -2.6343608, ' Yes': -4.5302057, ' Unfortunately': -5.2034163}
{' No': -0.26016787, '\n': -1.850767, 'No': -3.0218122, ' Yes': -4.158672, ' Unfortunately': -5.488588}
{' No': -0.6022825, '\n': -5.217786, 'No': -4.8123636, ' Yes': -0.83516985, 'Yes': -5.361743}
{' No': -0.8934127, '\n': -4.6827803, 'No': -4.3296294, ' Yes': -0.5864956, 'Yes': -4.5758886}
{' No': -2.3950372, '\n': -3.8220487, ' Yes': -0.41102445, ' Sur': -1.6484892, 'Yes': -3.9427512}
{' No': -0.028834675, 'No': -3.7171526, '\n': -5.849562, ' Yes': -7.4024878, ' ': -7.8330173}
{' No': -0.11386236, '\n': -3.7589028, 'No': -3.7194433, ' Yes': -3.2226248, ' Patient': -4.0660295}
{' No': -0.016126057, '\n': -6.710895, ' ': -9.164085, 'No': -4.297668, ' Yes': -6.9067874}
{' No': -0.03518284, 'No': -4.2094398, ' Yes': -4.4704146, '\n': -4.866903, ' ': -8.280303}
{' No': -0.062330306, ' Yes': -3.543583, 'No': -3.7369764, '\n': -5.068228, 'Yes': -7.6902046}
{' No': -0.06044358, '\n': -3.6085944, 'No': -4.0060115, ' Hospital': -5.09824, ' ': -6.232472}
{' No': -0.023792949, '\n': -5.213938, ' ': -8.229864, 'No': -4.081145, ' Yes': -7.397471}
{' No': -0.03822083, 'No': -4.145391, '\n': -4.1664767, ' Yes': -5.548747, ' Patient': -6.5266256}
{' No': -0.01038497, 'No': -4.799176, '\n': -6.6610446, ' Yes': -7.3157587, ' ': -9.269301}
{' No': -0.015647445, 'No': -4.2401557, '\n': -7.141547, ' Yes': -8.34635, ' ': -9.815665}
{' No': -0.056562997, '\n': -5.171658, 'No': -4.3885617, ' Yes': -3.5780892, ' Doctor': -4.8455224}
{' No': -0.01571114, 'No': -4.4779186, '\n': -5.972725, ' Yes': -7.6225505, ' ': -7.773205}
