{' odd': -0.16390109, ' even': -2.1779258, ' 1': -4.3650184, ' 0': -4.76874, ' Odd': -4.793174}
{' Odd': -4.6254, ':': -6.2796903, ' 1': -5.7017612, ' odd': -0.036654122, ' even': -4.127817}
{':': -5.2477913, ' Even': -5.6400414, ' odd': -5.5834513, ' 0': -5.062108, ' even': -0.029291268}
{' Odd': -5.132348, ' 1': -3.0054967, ' odd': -0.08416715, ' 0': -6.2539253, ' even': -4.1358466}
{' odd': -0.4516488, ' even': -1.3457872, ':': -3.6586664, ' Odd': -3.732211, ' 0': -4.174453}
{':': -4.7891026, ' Even': -5.5489917, ' odd': -5.7538934, ' 0': -4.302657, ' even': -0.037087582}
{' odd': -0.18901931, ' 1': -2.6797934, ' even': -2.8539732, ' 0': -3.6150491, ' Odd': -4.6974545}
{' even': -0.0117977485, ' 0': -4.9442954, ' Even': -7.1995196, ' zero': -7.2057185, ' odd': -7.3145394}
{' Odd': -5.059385, ' 1': -2.7032926, ' odd': -0.09416651, ' 0': -5.8140316, ' even': -4.6053042}
{' an': -7.7031026, ' Even': -7.1146564, ' odd': -6.6293006, ' 0': -4.997419, ' even': -0.011379632}
{' odd': -0.016326696, ' 1': -4.8496914, ' even': -5.7803016, ' Odd': -6.02557, ' "': -7.6480355}
{':': -5.5494766, ' Even': -6.2619753, ' EVEN': -7.2434506, ' odd': -6.813639, ' even': -0.010662115}
{' Odd': -4.05524, ' 1': -4.1340947, ' odd': -0.04617644, ' 0': -7.07265, ' even': -4.9144263}
{' odd': -0.1689072, ' even': -2.2832851, ' 0': -4.111369, ' 1': -4.3197117, ' Odd': -4.5393867}
{':': -5.715965, ' Even': -6.1488185, ' odd': -5.786383, ' 0': -4.8244553, ' even': -0.022786863}
{' odd': -0.12787183, ' 1': -3.0175257, ' even': -3.3385575, ' 0': -4.2413807, ' Odd': -4.3368626}
{' Even': -6.1664515, ' odd': -5.962369, ' 0': -3.292891, ' zero': -5.9835424, ' even': -0.050756223}
{' Odd': -5.4214425, ' 1': -2.483152, ' odd': -0.11354975, ' 0': -6.2903047, ' even': -4.2445517}
{':': -7.333398, ' Even': -6.4788027, ' odd': -5.915227, ' 0': -5.906399, ' even': -0.0099722}
{' Odd': -5.849163, ' an': -7.6266675, ' 1': -4.8266544, ' odd': -0.017839752, ' even': -5.5766044}
{':': -5.698613, ' an': -6.8421087, ' Even': -6.2559347, ' odd': -6.4091167, ' even': -0.012197521}
{' odd': -0.0634399, ' 1': -3.3307688, ' even': -4.261903, ' Odd': -5.475808, ' one': -6.540876}
{' odd': -0.5731373, ' even': -0.93178946, ' 0': -4.304843, ' Odd': -4.588806, ':': -5.3278484}
{' even': -0.030532438, ' 0': -4.7144723, ' odd': -5.130589, ':': -5.3203897, ' Even': -5.735183}
{' odd': -0.21619736, ' 1': -2.455192, ' even': -2.835396, ' 0': -4.107018, ' Odd': -4.1775374}
{':': -6.4654655, ' Even': -6.052106, ' 0': -4.259873, ' zero': -6.441447, ' even': -0.024377447}
{' Odd': -4.4388227, ' 1': -1.7411463, ' odd': -0.23171456, ' 0': -5.53117, ' even': -4.8246427}
{':': -7.438631, ' Even': -6.9435687, ' odd': -6.948796, ' 0': -5.908031, ' even': -0.0066494825}
{' Odd': -4.471109, ' 1': -4.0338597, ' odd': -0.0481269, ' 0': -6.0467343, ' even': -4.7221103}
{':': -5.7196727, ' Even': -6.408359, ' odd': -6.744736, ' 0': -7.1574035, ' even': -0.010016571}
{' Odd': -5.3481455, ' 1': -2.771622, ' one': -5.6691227, ' odd': -0.096909866, ' even': -4.3101854}
{' odd': -0.2708977, ' even': -1.8069693, ' 0': -3.6758904, ' Odd': -4.125979, ':': -4.399299}
{':': -5.5001864, ' Even': -5.5807424, ' odd': -5.742494, ' 0': -5.3654456, ' even': -0.022223461}
{' Odd': -4.31802, ' 1': -3.3974514, ' odd': -0.08107683, ' 0': -5.8646526, ' even': -4.0433936}
{' Even': -6.0017686, ' odd': -6.4658046, ' 0': -4.0942755, ' zero': -6.4129877, ' even': -0.027745051}
{' Odd': -4.3518667, ' 1': -2.3031378, ' odd': -0.13670652, ' 0': -6.2703896, ' even': -4.9388504}
{':': -6.6865497, ' Even': -6.5537553, ' odd': -5.2422338, ' 0': -4.924165, ' even': -0.019472947}
{' Odd': -5.5837746, ' an': -7.5233245, ' 1': -4.947786, ' odd': -0.020089839, ' even': -5.151692}
{' even': -0.009657393, ' 0': -6.000025, ' odd': -6.2472095, ':': -6.349885, ' Even': -7.2955995}
{' Odd': -5.098032, ' 1': -3.2247167, ' odd': -0.06519572, ' 0': -6.401367, ' even': -4.5161977}
{' Odd': -4.6532717, ' 1': -4.4502363, ' odd': -0.15275972, ' 0': -4.3850965, ' even': -2.3377438}
{':': -4.671289, ' Even': -5.45742, ' odd': -5.70006, ' 0': -3.9248292, ' even': -0.04526382}
{' Odd': -5.1653714, ' 1': -2.801025, ' odd': -0.1585489, ' 0': -4.212191, ' even': -2.9650123}
{':': -6.570432, ' Even': -5.9732547, ' 0': -4.6526537, ' zero': -6.656201, ' even': -0.019158538}
{' odd': -0.14363159, ' even': -2.831904, ' 1': -3.2291076, ' Odd': -4.146573, ' 0': -4.832787}
{' even': -0.01001934, ' 0': -5.1326065, ' odd': -7.028404, ' Even': -7.0802135, ' an': -7.633854}
{' Odd': -5.940154, ' uneven': -7.88687, ' 1': -4.743387, ' odd': -0.016981235, ' even': -5.773641}
{' even': -0.0091356225, ' 0': -5.764236, ':': -6.8641877, ' odd': -6.998271, ' an': -7.006963}
{' Odd': -4.5368547, ' 1': -3.0243213, ' odd': -0.1019276, ' 0': -5.0757675, ' even': -4.0902977}
{' Odd': -3.9045649, ':': -4.931841, ' odd': -0.1645233, ' 0': -5.017786, ' even': -2.2642395}
{':': -5.662596, ' Even': -6.1085835, ' odd': -6.830792, ' 0': -4.7807503, ' even': -0.019316822}
{' Odd': -4.3781414, ' 1': -2.5309381, ' odd': -0.14216141, ' 0': -4.2064633, ' even': -4.0556555}
{' even': -0.025984094, ' 0': -3.9570725, ' Even': -6.66828, ':': -6.685346, ' odd': -6.955324}
{' odd': -0.14108448, ' 1': -2.25099, ' even': -4.3491206, ' Odd': -5.699845, ' one': -5.943789}
{' even': -0.010468631, ' Even': -5.956039, ' 0': -6.1334295, ' odd': -6.447743, ':': -6.836815}
{' Odd': -5.3333464, ' 1': -4.469155, ' "': -6.764689, ' odd': -0.031389255, ' even': -4.797426}
{':': -6.0030346, ' Even': -6.084693, ' odd': -6.243462, ' 0': -5.5423784, ' even': -0.014716045}
{' Odd': -4.866137, ' 1': -3.885355, ' odd': -0.041028313, ' 0': -6.919275, ' even': -4.782449}
{' odd': -0.19274387, ' even': -2.031205, ' 0': -4.211329, ' 1': -4.3061814, ' Odd': -4.9003053}
{':': -5.3872423, ' Even': -5.606884, ' odd': -5.9451485, ' 0': -5.247793, ' even': -0.022520365}
{' odd': -0.18863723, ' even': -2.4249156, ' 1': -3.2058136, ' Odd': -4.119031, ' 0': -4.6598287}
{':': -6.9472833, ' Even': -6.6636667, ' odd': -6.4182434, ' 0': -3.8915288, ' even': -0.028405944}
{' odd': -0.12654582, ' even': -2.6732128, ' 1': -4.0458865, ' Odd': -4.3535614, ':': -4.8409953}
{' an': -8.195073, ' Even': -7.046091, ' odd': -7.7161684, ' 0': -6.375539, ' even': -0.0043386365}
{' Odd': -4.678478, ' uneven': -6.917323, ' 1': -5.344172, ' odd': -0.032775644, ' even': -4.4126925}
{' even': -0.013501637, ' 0': -5.573414, ' odd': -6.157243, ':': -6.1942058, ' Even': -6.5576243}
{' Odd': -5.2376375, ' 1': -3.1729598, ' "': -6.287022, ' odd': -0.0666923, ' even': -4.722116}
{' odd': -0.37184387, ' even': -1.591947, ' Odd': -3.6137738, ':': -3.7372518, ' 0': -4.041811}
{':': -5.472164, ' Even': -6.2794094, ' odd': -6.572466, ' 0': -4.07771, ' even': -0.029941754}
{' Odd': -4.4100494, ' 1': -2.3917449, ' odd': -0.19754817, ' 0': -4.3688645, ' even': -3.117801}
{' even': -0.09099403, ' 0': -2.6567326, ' zero': -5.5232706, ' odd': -5.7075005, ' Even': -5.8852}
{' Odd': -4.390717, ' 1': -3.6210227, ' odd': -0.12441225, ' 0': -5.390653, ' even': -2.7398965}
{' an': -7.525402, ' Even': -7.3493614, ' odd': -6.286549, ' 0': -5.292998, ' even': -0.009929637}
{' odd': -0.020935573, ' 1': -5.20279, ' even': -5.2116704, ' Odd': -5.220057, ' uneven': -7.227086}
{':': -6.8282666, ' Even': -6.7307224, ' odd': -7.033212, ' 0': -6.6337748, ' even': -0.0071638944}
{' odd': -0.0909063, ' 1': -3.3630505, ' even': -3.9942417, ' Odd': -4.160693, ' "': -5.360547}
{' Odd': -3.6589117, ':': -4.7073445, ' odd': -0.17652877, ' 0': -4.5107102, ' even': -2.3044012}
{':': -5.3417535, ' Even': -5.5243745, ' odd': -4.8673477, ' 0': -4.6411967, ' even': -0.035823714}
{' odd': -0.23174408, ' 1': -2.386841, ' even': -2.7846813, ' 0': -3.9197896, ' Odd': -4.274727}
{':': -6.436836, ' Even': -5.7392507, ' EVEN': -6.732183, ' 0': -5.4165845, ' even': -0.014212548}
{' odd': -0.12695171, ' even': -2.8106997, ' 1': -3.5120308, ' Odd': -4.474828, ':': -5.1293135}
{' Even': -6.675603, ' EVEN': -7.644649, ' odd': -6.266945, ' 0': -5.5335827, ' even': -0.009102118}
{' odd': -0.04179786, ' Odd': -4.3967495, ' 1': -4.5654335, ' even': -4.6007214, ' 0': -6.4089255}
{':': -5.211221, ' Even': -5.843067, ' odd': -6.1949105, ' 0': -5.5024457, ' even': -0.022415696}
{' Odd': -4.248159, ' 1': -3.02434, ' odd': -0.07949302, ' 0': -6.5441976, ' even': -4.995442}
{' odd': -0.35949486, ' even': -1.4607788, ' 0': -3.531814, ':': -4.3471866, ' Odd': -4.5756392}
{' even': -0.049759142, ' 0': -3.7172174, ':': -4.7404957, ' Even': -5.5378475, ' odd': -5.669956}
{' odd': -0.32157317, ' even': -1.6777058, ' 1': -3.401908, ' 0': -3.9439077, ' Odd': -4.204607}
{':': -6.120098, ' Even': -5.8832417, ' odd': -6.3533716, ' 0': -4.219308, ' even': -0.027650379}
{' Odd': -5.1859403, ' 1': -2.1933885, ' odd': -0.1912333, ' 0': -4.733393, ' even': -3.2203186}
{' an': -7.525402, ' Even': -7.3493614, ' odd': -6.286549, ' 0': -5.292998, ' even': -0.009929637}
{' Odd': -5.7052827, ' an': -7.980285, ' 1': -5.3419137, ' odd': -0.013391988, ' even': -5.7331557}
{':': -6.7948956, ' an': -6.992621, ' Even': -7.108325, ' 0': -6.284586, ' even': -0.0073875412}
{' Odd': -4.496394, ' 1': -2.5042012, ' odd': -0.12233662, ' 0': -5.8276534, ' even': -4.368866}
{' Odd': -4.582921, ':': -5.259618, ' odd': -0.6245719, ' 0': -4.176915, ' even': -0.8650199}
{':': -5.405272, ' Even': -5.2835965, ' odd': -5.151637, ' 0': -3.851359, ' even': -0.044268478}
{' Odd': -4.615244, ' 1': -3.7575214, ' odd': -0.09676553, ' 0': -5.0632343, ' even': -3.021778}
{' Even': -6.290332, ' odd': -6.6678286, ' 0': -4.251092, ' zero': -6.54665, ' even': -0.023402136}
{' odd': -0.17844951, ' even': -2.166126, ' 1': -4.056318, ' Odd': -4.392837, ':': -5.048535}
{':': -7.286123, ' Even': -6.6492596, ' odd': -6.439577, ' 0': -6.53389, ' even': -0.0074749705}
{' odd': -0.033408806, ' 1': -4.006129, ' Odd': -4.8621726, ' even': -5.6820135, ' 0': -7.1459603}
{' even': -0.020257456, ' 0': -5.4269342, ':': -5.618656, ' Even': -5.681881, ' odd': -6.1174626}
{' odd': -0.06306157, ' 1': -3.3750048, ' even': -4.187498, ' Odd': -5.332058, ' 0': -6.468609}
{' Odd': -3.7979333, ':': -4.2542987, ' odd': -0.32515106, ' 0': -3.3150315, ' even': -1.7291418}
{':': -5.9101925, ' Even': -5.928048, ' odd': -6.569323, ' 0': -4.094211, ' even': -0.027755346}
{' odd': -0.10163467, ' 1': -3.1707807, ' even': -3.6861768, ' Odd': -4.415468, ' 0': -4.627313}
{' even': -0.008409255, ' 0': -5.821, ' Even': -6.441873, ' odd': -7.1568184, ' EVEN': -7.5529046}
{' Odd': -5.3134627, ' 1': -2.1744144, ' odd': -0.15689719, ' 0': -5.8159623, ' even': -3.9859126}
{' even': -0.0060173166, ' Even': -6.4320164, ' odd': -6.7501183, ' 0': -6.779627, ' EVEN': -7.557294}
{' Odd': -5.180813, ' 1': -4.374072, ' odd': -0.024920488, ' 0': -7.255383, ' even': -5.624729}
{':': -5.3273945, ' an': -6.407677, ' Even': -6.1621923, ' odd': -6.4185, ' even': -0.0155602675}
{' Odd': -4.979455, ' 1': -3.7973278, ' odd': -0.047986154, ' 0': -6.595215, ' even': -4.3386097}
{' odd': -0.30584854, ' even': -1.59485, ' 0': -3.6894991, ' Odd': -4.4417396, ':': -4.7230625}
{' even': -0.029954711, ' 0': -4.1129937, ':': -5.52865, ' Even': -5.821765, ' odd': -6.2895317}
{' Odd': -4.3402553, ' 1': -1.4578012, ' odd': -0.515281, ' 0': -2.9213498, ' even': -2.6318257}
{':': -6.99514, ' Even': -6.0797973, ' odd': -6.118587, ' 0': -4.4241543, ' even': -0.021730851}
{' odd': -0.1599251, ' 1': -2.0280626, ' even': -5.120011, ' one': -5.9741697, ' Odd': -6.0933423}
{':': -7.073777, ' Even': -6.6017427, ' odd': -5.988419, ' 0': -5.5070624, ' even': -0.011475496}
{' Odd': -5.6854773, ' uneven': -8.190163, ' 1': -5.354013, ' odd': -0.013071815, ' even': -5.77787}
{' even': -0.014537016, ':': -5.2016754, ' Even': -6.2079816, ' odd': -6.3669734, ' 0': -6.876493}
{' Odd': -4.724487, ' 1': -3.2185495, ' odd': -0.082172245, ' 0': -5.9739075, ' even': -3.9812753}
{' Odd': -3.590235, ':': -3.8640828, ' odd': -0.4119238, ' 0': -4.1761703, ' even': -1.4178653}
{' even': -0.015953502, ' 0': -4.9983478, ':': -5.7108, ' odd': -6.428179, ' Even': -6.466718}
{' Odd': -4.982568, ' 1': -3.1576018, ' odd': -0.16719826, ' 0': -4.298355, ' even': -2.5083535}
{' even': -0.014573907, ' 0': -4.856112, ' odd': -6.6009707, ' Even': -6.646207, ' zero': -7.270833}
{' odd': -0.16748384, ' 1': -2.1079743, ' even': -4.3297825, ' 0': -4.8043895, ' Odd': -5.088083}
{' an': -7.5750136, ' Even': -6.9327726, ' odd': -6.625886, ' 0': -6.495407, ' even': -0.0061886497}
{' Odd': -5.5760074, ' uneven': -7.3232074, ' 1': -5.215156, ' odd': -0.019225981, ' even': -5.1730704}
{':': -6.631828, ' Even': -6.43017, ' EVEN': -7.0407557, ' 0': -5.51929, ' even': -0.010285662}
{' Odd': -4.965087, ' 1': -3.395378, ' "': -6.7477236, ' odd': -0.05425389, ' even': -5.017229}
{' Odd': -4.848275, ' 1': -4.5919585, ' odd': -0.14337876, ' 0': -5.2575464, ' even': -2.2893424}
{':': -6.01148, ' Even': -6.379513, ' EVEN': -7.2465754, ' 0': -4.505182, ' even': -0.01905829}
{' Odd': -4.332905, ' 1': -2.9791787, ' odd': -0.14810768, ' 0': -4.6570168, ' even': -3.0351222}
{' even': -0.021950353, ' 0': -4.4268184, ' Even': -6.3473525, ' zero': -6.50011, ':': -6.5118093}
{' Odd': -5.3227377, ' 1': -3.7779548, ' odd': -0.06128019, ' 0': -6.404541, ' even': -3.70633}
{' even': -0.006703607, ' 0': -5.6314588, ' odd': -6.83514, ' Even': -7.4614673, ':': -8.020135}
{' Odd': -5.296723, ' 1': -4.5422883, ' odd': -0.023819504, ' 0': -7.3721676, ' even': -5.276654}
{':': -5.5274453, ' Even': -6.251536, ' odd': -6.501657, ' 0': -6.926484, ' even': -0.011751555}
{' Odd': -4.44117, ' 1': -2.7923105, ' one': -6.293958, ' odd': -0.09348662, ' even': -4.79223}
{' odd': -0.16767271, ' even': -2.0957391, ' 1': -4.7231507, ' Odd': -4.7444615, ' 0': -5.110926}
{':': -5.3740015, ' Even': -6.0453906, ' odd': -5.9054523, ' 0': -4.197831, ' even': -0.029331287}
{' Odd': -4.330111, ' 1': -1.8507172, ' odd': -0.41352808, ' 0': -2.9997993, ' even': -2.368882}
{' Even': -6.117983, ' odd': -5.9366307, ' 0': -3.1241395, ' zero': -6.153095, ' even': -0.05824182}
{' Odd': -4.5428567, ' 1': -2.614404, ' odd': -0.17964308, ' 0': -4.424388, ' even': -2.8763118}
{':': -6.586223, ' Even': -6.102555, ' odd': -6.5676246, ' 0': -6.6096587, ' even': -0.008628674}
{' odd': -0.029342886, ' 1': -4.24527, ' even': -5.105754, ' Odd': -5.5859213, ' 0': -7.0797825}
{' even': -0.0120419245, ':': -5.899957, ' Even': -6.1920757, ' an': -6.560775, ' odd': -6.6212015}
{' odd': -0.08009384, ' 1': -3.0413213, ' even': -4.2710776, ' Odd': -4.853968, ' 0': -6.0074105}
{' Odd': -4.6634407, ' 1': -4.8297954, ' odd': -0.15121044, ' 0': -4.973696, ' even': -2.224116}
{' even': -0.028907986, ' 0': -4.1700897, ':': -5.330306, ' Even': -6.260937, ' odd': -6.612284}
{' Odd': -4.628855, ' 1': -2.9833302, ' odd': -0.13531835, ' 0': -4.2744956, ' even': -3.125504}
{' even': -0.025572358, ' 0': -4.1864743, ' Even': -5.9329567, ' zero': -6.52194, ' odd': -6.6697965}
{' odd': -0.09093593, ' even': -3.2732677, ' 1': -3.5309715, ' Odd': -4.685935, ' 0': -5.64405}
{':': -7.624503, ' Even': -6.859375, ' odd': -6.581728, ' 0': -6.950843, ' even': -0.005405206}
{' Odd': -5.413223, ' an': -7.77366, ' 1': -6.2007575, ' odd': -0.012974713, ' even': -5.615263}
{':': -6.536206, ' Even': -6.8855615, ' odd': -6.479169, ' 0': -5.822968, ' even': -0.0097753}
{' Odd': -4.1515803, ' 1': -3.0857568, ' odd': -0.10292576, ' 0': -5.225882, ' even': -4.037853}
{' Odd': -4.205883, ' 1': -4.6008596, ' odd': -0.17704396, ' 0': -4.025778, ' even': -2.2247744}
{':': -4.595481, ' Even': -5.396202, ' EVEN': -5.7204065, ' 0': -4.3074675, ' even': -0.038818423}
{' Odd': -4.4980345, ' 1': -2.9526722, ' odd': -0.18795045, ' 0': -3.9065535, ' even': -2.5748787}
{':': -6.4965744, ' Even': -5.7603054, ' EVEN': -7.0118136, ' 0': -5.3139205, ' even': -0.014308558}
{' odd': -0.14830828, ' 1': -2.2931466, ' even': -3.884372, ' 0': -5.123961, ' Odd': -5.2644773}
{' even': -0.006036266, ' 0': -5.696891, ' Even': -7.2223253, ' odd': -7.60943, ' an': -8.197664}
{' Odd': -5.9255385, ' 1': -3.9072015, ' "': -7.3902807, ' odd': -0.028228614, ' even': -6.0996714}
{':': -6.8210945, ' Even': -6.377606, ' odd': -6.966898, ' 0': -5.2551665, ' even': -0.0116172545}
{' odd': -0.078141585, ' 1': -2.9895146, ' even': -4.3701315, ' Odd': -5.377862, ' one': -6.637078}
{' odd': -0.15354937, ' even': -2.4076843, ' Odd': -3.8703134, ' 0': -4.5363865, ':': -4.709299}
{' even': -0.026231935, ' 0': -4.9235706, ':': -5.243928, ' Even': -5.607004, ' odd': -5.9263406}
{' odd': -0.12854886, ' even': -2.7526858, ' 1': -3.3391418, ' 0': -4.8586016, ' Odd': -5.016776}
{' even': -0.031046245, ' 0': -3.773925, ' zero': -6.56502, ' odd': -6.6668887, ' Even': -6.740429}
{' Odd': -3.8560708, ' 1': -3.859135, ' odd': -0.13765362, ' 0': -5.601987, ' even': -2.6022646}
{' an': -7.795499, ' Even': -7.223795, ' odd': -6.744149, ' 0': -5.316969, ' even': -0.008739603}
{' Odd': -5.4594216, ' an': -7.371879, ' 1': -4.5366187, ' odd': -0.023788495, ' even': -5.3069744}
{':': -5.8485947, ' an': -6.26727, ' Even': -5.993767, ' odd': -6.2566643, ' even': -0.013629724}
{' odd': -0.0367486, ' 1': -4.323566, ' even': -4.6300855, ' Odd': -4.8303847, ' "': -6.8588214}
{' Odd': -4.6082387, ' 1': -4.2922473, ' odd': -0.16359104, ' 0': -4.09201, ' even': -2.297444}
{' even': -0.019812867, ' 0': -4.8628035, ':': -5.5442715, ' odd': -5.8681903, ' Even': -6.1739655}
{' odd': -0.33576888, ' even': -2.090087, ' 1': -2.428902, ' 0': -3.7339551, ' Odd': -4.316474}
{' even': -0.02650047, ' 0': -4.026689, ' zero': -6.4443197, ' odd': -6.5432525, ' Even': -6.6169333}
{' odd': -0.10536516, ' 1': -2.5304863, ' even': -4.568637, ' Odd': -5.510167, ' 0': -6.312747}
{' even': -0.006372008, ' 0': -6.080585, ' odd': -6.5457087, ' Even': -6.9852347, ':': -7.6990075}
{' Odd': -5.0862536, ' uneven': -7.629613, ' 1': -5.53604, ' odd': -0.019582352, ' even': -5.1573586}
{':': -5.556699, ' an': -6.7952857, ' Even': -6.294771, ' odd': -6.2534637, ' even': -0.013335205}
{' odd': -0.09080624, ' 1': -3.3714876, ' Odd': -3.8654568, ' even': -4.19967, ' 0': -5.490903}
{' odd': -0.11798813, ' even': -2.666656, ' Odd': -4.2662044, ' 1': -4.591928, ' 0': -4.6371694}
{' even': -0.045878362, ' 0': -3.6845214, ' odd': -5.1781526, ':': -5.4010267, ' Even': -5.561769}
{' Odd': -4.124445, ' 1': -2.5229099, ' odd': -0.21238974, ' 0': -4.065833, ' even': -2.8356767}
{' even': -0.010105919, ' 0': -5.3534994, ' Even': -6.5028048, ' odd': -7.053369, ':': -7.3301115}
{' odd': -0.12495645, ' 1': -2.351885, ' even': -4.5773225, ' Odd': -5.599802, ' one': -6.167832}
{' even': -0.010520913, ' Even': -5.9428573, ' 0': -6.1313853, ' odd': -6.4425235, ':': -6.8478236}
{' odd': -0.04189761, ' even': -3.863051, ' Odd': -4.9374986, ' 1': -5.4290943, ' 0': -6.287582}
{' even': -0.008677553, ':': -5.8326597, ' odd': -6.585496, ' Even': -6.7292767, ' EVEN': -7.270643}
{' Odd': -4.4583488, ' 1': -2.733231, ' odd': -0.10051611, ' 0': -6.200708, ' even': -4.4831586}
{' Odd': -3.8094885, ':': -4.101756, ' odd': -0.3765024, ' 0': -3.5890744, ' even': -1.5221779}
{':': -5.876674, ' Even': -6.2171707, ' odd': -6.926138, ' 0': -4.7125516, ' even': -0.018023802}
{' odd': -0.15041356, ' even': -2.540789, ' 1': -3.3393903, ' 0': -4.5786686, ' Odd': -5.01429}
{':': -7.607704, ' Even': -6.5912256, ' odd': -6.6402225, ' 0': -5.172458, ' even': -0.011389461}
{' odd': -0.20437074, ' 1': -1.8392031, ' even': -4.4148827, ' 0': -5.456029, ' Odd': -5.595914}
{' even': -0.0068535125, ' 0': -5.531389, ' Even': -7.304426, ' odd': -7.412576, ':': -7.918238}
{' odd': -0.017134564, ' Odd': -5.2869496, ' 1': -5.3990197, ' even': -5.555467, ' "': -7.3285956}
{':': -5.100191, ' Even': -5.632676, ' odd': -5.6695976, ' 0': -5.5256896, ' even': -0.026038539}
{' odd': -0.092526875, ' 1': -2.826133, ' Odd': -4.214783, ' even': -4.91304, ' 0': -6.235881}
{' odd': -0.29028153, ' even': -1.6716425, ' 0': -3.935085, ' Odd': -4.151169, ':': -4.551346}
{' even': -0.028839212, ' 0': -4.4720173, ':': -5.2488556, ' Even': -5.5887833, ' odd': -6.084259}
{' Odd': -5.02072, ' 1': -3.1662595, ' odd': -0.10073283, ' 0': -5.504013, ' even': -3.3284204}
{' Even': -6.404539, ' odd': -6.117873, ' 0': -4.233503, ' zero': -6.5102367, ' even': -0.02499376}
{' Odd': -4.3801517, ' 1': -2.2501194, ' one': -6.212678, ' odd': -0.13808574, ' even': -5.5317626}
{' even': -0.004443044, ' 0': -6.2830076, ' Even': -7.2967706, ' odd': -7.762552, ' an': -8.029641}
{' Odd': -5.1761727, ' 1': -3.6559908, ' odd': -0.03732539, ' 0': -7.796536, ' even': -5.9693537}
{':': -6.872127, ' an': -6.8269773, ' Even': -6.946531, ' 0': -6.299931, ' even': -0.0074869217}
{' Odd': -4.8007836, ' 1': -3.4086077, ' odd': -0.058311887, ' 0': -6.3840117, ' even': -4.614226}
